time,Phoenix,pts.away,score,pts.home,Detroit
1:41.0,T. Ulis makes 3-pt shot from 28 ft (assist by G. Monroe),3,35-64,,
1:23.0,,,35-64,,Turnover by A. Drummond (bad pass; steal by M. Chriss)
1:16.0,G. Monroe makes 2-pt shot from 2 ft (assist by M. Chriss),2,37-64,,
1:06.0,,,37-64,,R. Jackson misses 2-pt shot from 3 ft
1:02.0,Defensive rebound by G. Monroe,,37-64,,
0:58.0,T. Ulis makes 2-pt shot from 1 ft,2,39-64,,
0:45.0,,,39-66,2,R. Jackson makes 2-pt shot from 8 ft
0:30.0,G. Monroe makes 2-pt shot from 2 ft,2,41-66,,
0:13.0,,,41-69,3,R. Jackson makes 3-pt shot from 26 ft (assist by A. Drummond)
0:02.0,T. Ulis misses 3-pt shot from 23 ft,,41-69,,
0:00.0,,,41-69,,Defensive rebound by T. Harris
0:00.0,,,41-69,,T. Harris misses 3-pt shot from 49 ft
0:00.0,,,41-69,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,D. Booker misses 3-pt shot from 27 ft,,41-69,,
11:44.0,,,41-69,,Defensive rebound by A. Drummond
11:30.0,,,41-71,2,S. Johnson makes 2-pt shot from 2 ft (assist by R. Jackson)
11:09.0,G. Monroe misses 2-pt shot from 5 ft (block by A. Drummond),,41-71,,
11:04.0,Offensive rebound by M. Chriss,,41-71,,
11:04.0,Turnover by Team (shot clock),,41-71,,
10:49.0,,,41-71,,T. Harris misses 2-pt shot from 2 ft
10:49.0,Defensive rebound by Team,,41-71,,
10:35.0,Shooting foul by R. Jackson (drawn by T. Warren),,41-71,,
10:35.0,T. Warren makes free throw 1 of 2,1,42-71,,
10:35.0,T. Warren makes free throw 2 of 2,1,43-71,,
10:17.0,,,43-71,,Turnover by R. Jackson (bad pass; steal by T. Ulis)
10:12.0,Turnover by G. Monroe (bad pass; steal by S. Johnson),,43-71,,
10:05.0,,,43-71,,R. Jackson misses 3-pt shot from 23 ft
10:04.0,,,43-71,,Offensive rebound by Team
10:04.0,Personal foul by M. Chriss (drawn by A. Drummond),,43-71,,
9:53.0,,,43-73,2,A. Bradley makes 2-pt shot from 10 ft
9:40.0,Turnover by G. Monroe (bad pass; steal by S. Johnson),,43-73,,
9:35.0,,,43-75,2,S. Johnson makes 2-pt shot at rim
9:17.0,T. Warren misses 2-pt shot from 5 ft,,43-75,,
9:15.0,,,43-75,,Defensive rebound by T. Harris
9:15.0,Personal foul by T. Ulis (drawn by T. Harris),,43-75,,
8:57.0,,,43-77,2,T. Harris makes 2-pt shot from 9 ft (assist by R. Jackson)
8:57.0,,,43-77,,Shooting foul by M. Chriss (drawn by T. Harris)
8:57.0,,,43-77,,T. Harris misses free throw 1 of 1
8:54.0,Defensive rebound by M. Chriss,,43-77,,
8:45.0,M. Chriss makes 2-pt shot at rim (assist by G. Monroe),2,45-77,,
8:30.0,,,45-77,,T. Harris misses 3-pt shot from 27 ft
8:30.0,Defensive rebound by T. Ulis,,45-77,,
8:14.0,Shooting foul by T. Harris (drawn by T. Warren),,45-77,,
8:14.0,T. Warren makes free throw 1 of 2,1,46-77,,
8:14.0,D. Bender enters the game for M. Chriss,,46-77,,
8:14.0,T. Warren misses free throw 2 of 2,,46-77,,
8:12.0,,,46-77,,Defensive rebound by T. Harris
8:02.0,,,46-80,3,A. Bradley makes 3-pt shot from 26 ft (assist by A. Drummond)
7:42.0,D. Bender makes 3-pt shot from 24 ft (assist by T. Ulis),3,49-80,,
7:20.0,,,49-80,,Shooting foul by T. Ulis (drawn by R. Jackson)
7:20.0,,,49-80,,R. Jackson misses free throw 1 of 3
7:20.0,,,49-80,,Offensive rebound by Team
7:20.0,,,49-81,1,R. Jackson makes free throw 2 of 3
7:20.0,,,49-82,1,R. Jackson makes free throw 3 of 3
7:09.0,G. Monroe makes 2-pt shot at rim (assist by D. Bender),2,51-82,,
6:55.0,,,51-84,2,R. Jackson makes 2-pt shot from 1 ft
6:35.0,G. Monroe makes 2-pt shot from 2 ft (assist by D. Bender),2,53-84,,
6:21.0,,,53-86,2,A. Drummond makes 2-pt shot from 1 ft (assist by R. Jackson)
6:07.0,T. Ulis makes 2-pt shot from 2 ft (assist by G. Monroe),2,55-86,,
6:00.0,,,55-86,,Technical foul by R. Jackson (drawn by T. Ulis)
6:00.0,,,55-86,,Turnover by R. Jackson (turnover)
6:00.0,,,55-86,,Detroit full timeout
6:00.0,T. Ulis makes flagrant free throw 2 of 2,1,56-86,,
6:00.0,T. Ulis makes flagrant free throw 1 of 2,1,57-86,,
6:00.0,J. Jackson enters the game for T. Ulis,,57-86,,
5:58.0,Turnover by J. Jackson (bad pass; steal by A. Drummond),,57-86,,
5:58.0,Personal foul by G. Monroe (drawn by A. Drummond),,57-86,,
5:58.0,,,57-87,1,A. Drummond makes free throw 1 of 2
5:58.0,,,57-88,1,A. Drummond makes free throw 2 of 2
5:42.0,D. Bender misses 3-pt shot from 24 ft,,57-88,,
5:38.0,,,57-88,,Defensive rebound by S. Johnson
5:24.0,,,57-88,,A. Bradley misses 2-pt shot from 22 ft
5:24.0,Defensive rebound by D. Booker,,57-88,,
5:13.0,D. Bender misses 3-pt shot from 25 ft,,57-88,,
5:13.0,,,57-88,,Defensive rebound by A. Drummond
5:06.0,,,57-88,,Turnover by R. Jackson (turnover)
4:55.0,Turnover by D. Bender (lost ball; steal by R. Jackson),,57-88,,
4:51.0,,,57-90,2,R. Jackson makes 2-pt shot from 2 ft
4:43.0,J. Jackson misses 2-pt shot from 5 ft,,57-90,,
4:43.0,Offensive rebound by T. Warren,,57-90,,
4:33.0,T. Warren makes 2-pt shot at rim,2,59-90,,
4:29.0,,,59-92,2,R. Jackson makes 2-pt shot from 2 ft
4:12.0,Turnover by G. Monroe (bad pass),,59-92,,
4:01.0,,,59-92,,Turnover by A. Bradley (bad pass; steal by G. Monroe)
3:56.0,D. Booker makes 2-pt shot from 1 ft,2,61-92,,
3:37.0,,,61-92,,T. Harris misses 2-pt shot from 17 ft
3:34.0,Defensive rebound by G. Monroe,,61-92,,
3:30.0,D. Booker makes 2-pt shot from 11 ft,2,63-92,,
3:10.0,,,63-94,2,A. Drummond makes 2-pt shot from 1 ft (assist by R. Jackson)
3:10.0,,,63-94,,Shooting foul by D. Bender (drawn by A. Drummond)
3:10.0,,,63-94,,I. Smith enters the game for R. Jackson
3:10.0,A. Len enters the game for T. Warren,,63-94,,
3:10.0,T. Daniels enters the game for G. Monroe,,63-94,,
3:10.0,J. Dudley enters the game for D. Bender,,63-94,,
3:10.0,,,63-95,1,A. Drummond makes free throw 1 of 1
2:55.0,J. Jackson misses 3-pt shot from 25 ft,,63-95,,
2:52.0,,,63-95,,Defensive rebound by T. Harris
2:48.0,,,63-97,2,T. Harris makes 2-pt shot from 1 ft
2:43.0,Turnover by D. Booker (lost ball; steal by A. Bradley),,63-97,,
2:40.0,,,63-99,2,A. Bradley makes 2-pt shot at rim
2:40.0,Phoenix full timeout,,63-99,,
2:40.0,,,63-99,,A. Tolliver enters the game for S. Johnson
2:40.0,,,63-99,,L. Kennard enters the game for T. Harris
2:18.0,J. Jackson misses 2-pt shot from 10 ft,,63-99,,
2:08.0,Offensive rebound by J. Dudley,,63-99,,
2:08.0,J. Dudley misses 2-pt shot at rim,,63-99,,
2:07.0,,,63-99,,Defensive rebound by I. Smith
2:05.0,,,63-99,,A. Bradley misses 3-pt shot from 23 ft
1:59.0,Defensive rebound by J. Jackson,,63-99,,
1:59.0,D. Booker makes 2-pt shot from 5 ft,2,65-99,,
1:59.0,Shooting foul by A. Drummond (drawn by D. Booker),,65-99,,
1:59.0,D. Booker makes free throw 1 of 1,1,66-99,,
1:44.0,,,66-99,,L. Kennard misses 2-pt shot from 14 ft
1:39.0,,,66-99,,Offensive rebound by A. Drummond
1:37.0,,,66-99,,Turnover by A. Drummond (bad pass; steal by D. Booker)
1:37.0,Shooting foul by A. Bradley (drawn by D. Booker),,66-99,,
1:37.0,D. Booker makes free throw 1 of 2,1,67-99,,
1:37.0,,,67-99,,E. Moreland enters the game for A. Drummond
1:37.0,D. Booker makes free throw 2 of 2,1,68-99,,
1:24.0,,,68-102,3,A. Bradley makes 3-pt shot from 26 ft (assist by L. Kennard)
0:59.0,A. Len misses 2-pt shot from 2 ft,,68-102,,
0:53.0,,,68-102,,Defensive rebound by A. Tolliver
0:47.0,,,68-102,,I. Smith misses 2-pt shot from 10 ft
0:44.0,Defensive rebound by A. Len,,68-102,,
0:42.0,,,68-102,,Personal foul by A. Bradley (drawn by D. Booker)
0:42.0,D. Booker makes free throw 1 of 2,1,69-102,,
0:42.0,D. Booker makes free throw 2 of 2,1,70-102,,
0:32.0,,,70-102,,L. Kennard misses 2-pt shot from 15 ft
0:30.0,Defensive rebound by D. Booker,,70-102,,
0:24.0,Shooting foul by E. Moreland (drawn by J. Jackson),,70-102,,
0:24.0,J. Jackson misses free throw 1 of 2,,70-102,,
0:24.0,Offensive rebound by Team,,70-102,,
0:24.0,J. Jackson misses free throw 2 of 2,,70-102,,
0:22.0,,,70-102,,Defensive rebound by A. Tolliver
0:02.0,,,70-102,,Shooting foul by J. Jackson (drawn by I. Smith)
0:02.0,,,70-103,1,I. Smith makes free throw 1 of 2
0:02.0,,,70-104,1,I. Smith makes free throw 2 of 2
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:51.0,Violation by J. Jackson (kicked ball),,70-104,,
11:48.0,,,70-106,2,L. Kennard makes 2-pt shot from 16 ft (assist by E. Moreland)
11:29.0,J. Jackson makes 2-pt shot from 4 ft (assist by J. Dudley),2,72-106,,
11:23.0,,,72-106,,Offensive foul by A. Tolliver (drawn by D. Booker)
11:23.0,,,72-106,,Turnover by A. Tolliver (offensive foul)
11:16.0,,,72-106,,Personal foul by L. Kennard (drawn by D. Booker)
11:15.0,,,72-106,,Personal foul by L. Galloway (drawn by J. Jackson)
11:09.0,T. Daniels makes 3-pt shot from 25 ft (assist by J. Dudley),3,75-106,,
10:54.0,,,75-106,,L. Galloway misses 3-pt shot from 23 ft
10:53.0,,,75-106,,Offensive rebound by Team
10:53.0,,,75-106,,Shooting foul by T. Daniels (drawn by L. Kennard)
10:53.0,,,75-107,1,L. Kennard makes free throw 1 of 2
10:53.0,,,75-108,1,L. Kennard makes free throw 2 of 2
10:42.0,T. Daniels misses 2-pt shot from 11 ft (block by I. Smith),,75-108,,
10:39.0,,,75-108,,Defensive rebound by I. Smith
10:36.0,,,75-108,,L. Galloway misses 3-pt shot from 26 ft
10:33.0,Defensive rebound by J. Jackson,,75-108,,
10:29.0,J. Jackson makes 2-pt shot from 2 ft,2,77-108,,
10:10.0,,,77-111,3,L. Galloway makes 3-pt shot from 24 ft (assist by L. Kennard)
10:03.0,D. Booker makes 3-pt shot from 24 ft (assist by J. Jackson),3,80-111,,
9:53.0,,,80-111,,Detroit full timeout
9:35.0,,,80-111,,I. Smith misses 2-pt shot from 18 ft
9:32.0,Defensive rebound by A. Len,,80-111,,
9:25.0,A. Len misses 2-pt shot from 4 ft (block by A. Tolliver),,80-111,,
9:22.0,Offensive rebound by J. Jackson,,80-111,,
9:20.0,J. Jackson misses 2-pt shot from 1 ft (block by E. Moreland),,80-111,,
9:20.0,,,80-111,,Defensive rebound by L. Galloway
9:15.0,,,80-114,3,L. Kennard makes 3-pt shot from 25 ft (assist by I. Smith)
8:52.0,,,80-114,,Violation by E. Moreland (kicked ball)
8:52.0,M. James enters the game for D. Booker,,80-114,,
8:42.0,J. Jackson makes 2-pt shot from 14 ft,2,82-114,,
8:17.0,,,82-116,2,I. Smith makes 2-pt shot from 15 ft
7:57.0,J. Jackson misses 2-pt shot from 13 ft,,82-116,,
7:55.0,,,82-116,,Defensive rebound by L. Galloway
7:44.0,,,82-116,,I. Smith misses 2-pt shot from 1 ft
7:40.0,,,82-116,,Offensive rebound by E. Moreland
7:40.0,,,82-118,2,E. Moreland makes 2-pt shot at rim
7:26.0,T. Daniels misses 2-pt shot from 20 ft,,82-118,,
7:26.0,,,82-118,,Defensive rebound by A. Tolliver
7:13.0,,,82-118,,A. Tolliver misses 3-pt shot from 26 ft
7:09.0,Defensive rebound by M. James,,82-118,,
7:00.0,A. Len makes 2-pt shot from 1 ft (assist by J. Dudley),2,84-118,,
6:39.0,,,84-118,,E. Moreland misses 2-pt shot from 6 ft
6:36.0,Defensive rebound by J. Jackson,,84-118,,
6:30.0,J. Jackson misses 2-pt shot from 14 ft,,84-118,,
6:27.0,,,84-118,,Defensive rebound by L. Galloway
6:24.0,Personal foul by J. Dudley (drawn by L. Galloway),,84-118,,
6:24.0,M. Chriss enters the game for A. Len,,84-118,,
6:24.0,D. Bender enters the game for T. Daniels,,84-118,,
6:16.0,,,84-118,,Shooting foul by J. Jackson (drawn by E. Moreland)
6:16.0,,,84-119,1,E. Moreland makes free throw 1 of 2
6:16.0,,,84-120,1,E. Moreland makes free throw 2 of 2
6:10.0,Shooting foul by L. Kennard (drawn by M. Chriss),,84-120,,
6:10.0,M. Chriss makes free throw 1 of 2,1,85-120,,
6:10.0,M. Chriss makes free throw 2 of 2,1,86-120,,
6:01.0,,,86-120,,L. Galloway misses 3-pt shot from 27 ft
5:57.0,Defensive rebound by M. James,,86-120,,
5:51.0,M. James misses 2-pt shot from 3 ft,,86-120,,
5:49.0,,,86-120,,Defensive rebound by E. Moreland
5:44.0,,,86-122,2,I. Smith makes 2-pt shot from 1 ft
5:32.0,J. Dudley misses 3-pt shot from 23 ft,,86-122,,
5:30.0,Offensive rebound by J. Jackson,,86-122,,
5:28.0,J. Jackson makes 2-pt shot from 1 ft,2,88-122,,
5:23.0,,,88-122,,Detroit full timeout
5:23.0,,,88-122,,H. Ellenson enters the game for I. Smith
5:23.0,,,88-122,,B. Marjanovic enters the game for E. Moreland
5:23.0,,,88-122,,R. Bullock enters the game for A. Tolliver
5:10.0,,,88-124,2,B. Marjanovic makes 2-pt shot from 4 ft (assist by L. Kennard)
4:51.0,J. Jackson makes 2-pt shot from 2 ft (assist by M. James),2,90-124,,
4:31.0,,,90-124,,Turnover by B. Marjanovic (traveling)
4:21.0,D. Bender misses 3-pt shot from 24 ft,,90-124,,
4:18.0,,,90-124,,Defensive rebound by H. Ellenson
4:14.0,,,90-124,,Turnover by R. Bullock (bad pass; steal by M. Chriss)
4:14.0,,,90-124,,Personal foul by B. Marjanovic (drawn by M. Chriss)
