time,Atlanta,pts.away,score,pts.home,Charlotte
4:40.0,,,17-14,2,D. Howard makes 2-pt shot at rim (assist by J. Lamb)
4:29.0,M. Belinelli misses 2-pt shot from 7 ft,,17-14,,
4:22.0,,,17-14,,Defensive rebound by M. Monk
4:12.0,,,17-14,,Turnover by F. Kaminsky (bad pass; steal by J. Collins)
3:59.0,M. Delaney misses 2-pt shot from 19 ft,,17-14,,
3:57.0,,,17-14,,Defensive rebound by F. Kaminsky
3:52.0,Personal foul by M. Muscala (drawn by F. Kaminsky),,17-14,,
3:39.0,,,17-14,,Personal foul by D. Howard (drawn by M. Belinelli)
3:39.0,,,17-14,,J. O'Bryant enters the game for D. Howard
3:39.0,,,17-14,,J. Stone enters the game for K. Walker
3:38.0,,,17-14,,M. Monk misses 3-pt shot from 22 ft
3:38.0,,,17-14,,Offensive rebound by Team
3:24.0,J. Collins makes 2-pt shot from 1 ft (assist by M. Delaney),2,19-14,,
3:12.0,,,19-16,2,J. O'Bryant makes 2-pt shot from 12 ft (assist by J. Stone)
3:01.0,M. Muscala misses 3-pt shot from 26 ft,,19-16,,
3:01.0,,,19-16,,Defensive rebound by J. Lamb
2:49.0,,,19-16,,J. O'Bryant misses 2-pt shot from 13 ft
2:49.0,Defensive rebound by M. Belinelli,,19-16,,
2:37.0,T. Waller-Prince makes 2-pt shot from 10 ft,2,21-16,,
2:37.0,Shooting foul by F. Kaminsky (drawn by T. Waller-Prince),,21-16,,
2:37.0,,,21-16,,Charlotte full timeout
2:37.0,,,21-16,,T. Graham enters the game for J. Lamb
2:37.0,T. Waller-Prince makes free throw 1 of 1,1,22-16,,
2:37.0,K. Bazemore enters the game for M. Belinelli,,22-16,,
2:30.0,,,22-16,,Turnover by J. Stone (out of bounds lost ball)
2:30.0,M. Belinelli enters the game for T. Waller-Prince,,22-16,,
2:16.0,,,22-16,,Personal foul by T. Graham (drawn by M. Muscala)
2:16.0,M. Muscala makes free throw 1 of 2,1,23-16,,
2:16.0,M. Muscala makes free throw 2 of 2,1,24-16,,
1:58.0,,,24-16,,J. Stone misses 3-pt shot from 23 ft
1:55.0,Defensive rebound by M. Muscala,,24-16,,
1:36.0,M. Delaney makes 2-pt shot at rim,2,26-16,,
1:18.0,,,26-16,,Shooting foul by J. Collins (drawn by J. O'Bryant)
1:18.0,,,26-17,1,J. O'Bryant makes free throw 1 of 2
1:18.0,,,26-18,1,J. O'Bryant makes free throw 2 of 2
1:05.0,J. Collins makes 2-pt shot at rim (assist by K. Bazemore),2,28-18,,
0:48.0,,,28-18,,F. Kaminsky misses 2-pt shot from 4 ft
0:46.0,Defensive rebound by M. Belinelli,,28-18,,
0:33.0,M. Belinelli misses 2-pt shot from 16 ft,,28-18,,
0:30.0,,,28-18,,Defensive rebound by J. O'Bryant
0:25.0,,,28-18,,F. Kaminsky misses 2-pt shot from 11 ft
0:25.0,Defensive rebound by J. Collins,,28-18,,
0:02.0,M. Muscala misses 3-pt shot from 23 ft,,28-18,,
0:02.0,,,28-18,,Defensive rebound by M. Monk
0:00.0,,,28-18,,M. Monk misses 3-pt shot from 62 ft
0:00.0,,,28-18,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,,,28-18,,Def 3 sec tech foul by T. Graham
11:48.0,D. Schroder makes technical free throw,1,29-18,,
11:36.0,L. Babbitt misses 3-pt shot from 26 ft,,29-18,,
11:31.0,,,29-18,,Defensive rebound by J. Stone
11:20.0,,,29-18,,M. Monk misses 3-pt shot from 25 ft
11:19.0,Defensive rebound by Team,,29-18,,
11:09.0,,,29-18,,Personal foul by M. Monk (drawn by D. Schroder)
10:56.0,D. Schroder misses 2-pt shot from 1 ft (block by J. O'Bryant),,29-18,,
10:53.0,,,29-18,,Defensive rebound by J. Stone
10:48.0,,,29-18,,T. Graham misses 3-pt shot from 23 ft
10:44.0,Defensive rebound by K. Bazemore,,29-18,,
10:33.0,M. Muscala makes 2-pt shot from 2 ft (assist by D. Schroder),2,31-18,,
10:16.0,,,31-20,2,T. Graham makes 2-pt shot from 1 ft
10:10.0,Shooting foul by J. O'Bryant (drawn by D. Schroder),,31-20,,
10:10.0,D. Schroder makes free throw 1 of 2,1,32-20,,
10:10.0,J. Magette enters the game for M. Delaney,,32-20,,
10:10.0,D. Schroder makes free throw 2 of 2,1,33-20,,
10:00.0,,,33-20,,Turnover by M. Monk (lost ball; steal by K. Bazemore)
9:57.0,K. Bazemore makes 2-pt shot from 1 ft,2,35-20,,
9:57.0,,,35-20,,Charlotte full timeout
9:57.0,,,35-20,,K. Walker enters the game for J. Stone
9:57.0,E. Ilyasova enters the game for M. Muscala,,35-20,,
9:38.0,,,35-20,,M. Monk misses 2-pt shot from 9 ft
9:36.0,Defensive rebound by E. Ilyasova,,35-20,,
9:27.0,L. Babbitt makes 3-pt shot from 25 ft (assist by D. Schroder),3,38-20,,
9:16.0,Personal foul by E. Ilyasova (drawn by K. Walker),,38-20,,
9:16.0,,,38-20,,J. Lamb enters the game for M. Monk
9:16.0,,,38-20,,D. Howard enters the game for J. O'Bryant
9:10.0,,,38-20,,Turnover by D. Howard (out of bounds lost ball)
8:52.0,D. Schroder makes 2-pt shot from 17 ft,2,40-20,,
8:39.0,Personal foul by E. Ilyasova (drawn by J. Lamb),,40-20,,
8:39.0,T. Waller-Prince enters the game for K. Bazemore,,40-20,,
8:30.0,,,40-22,2,F. Kaminsky makes 2-pt shot from 10 ft
8:09.0,E. Ilyasova misses 3-pt shot from 25 ft,,40-22,,
8:06.0,,,40-22,,Defensive rebound by D. Howard
7:54.0,,,40-22,,D. Howard misses 2-pt shot from 6 ft
7:54.0,,,40-22,,Offensive rebound by Team
7:51.0,,,40-25,3,K. Walker makes 3-pt shot from 25 ft (assist by F. Kaminsky)
7:27.0,D. Schroder misses 2-pt shot from 17 ft,,40-25,,
7:23.0,,,40-25,,Defensive rebound by D. Howard
7:16.0,,,40-25,,Turnover by K. Walker (bad pass; steal by L. Babbitt)
7:07.0,E. Ilyasova misses 3-pt shot from 22 ft,,40-25,,
7:04.0,,,40-25,,Defensive rebound by F. Kaminsky
6:56.0,,,40-27,2,F. Kaminsky makes 2-pt shot from 1 ft
6:56.0,,,40-27,,Shooting foul by T. Waller-Prince (drawn by F. Kaminsky)
6:56.0,Atlanta full timeout,,40-27,,
6:56.0,M. Belinelli enters the game for J. Magette,,40-27,,
6:56.0,,,40-28,1,F. Kaminsky makes free throw 1 of 1
6:44.0,L. Babbitt misses 3-pt shot from 25 ft,,40-28,,
6:40.0,,,40-28,,Defensive rebound by F. Kaminsky
6:35.0,,,40-28,,J. Lamb misses 3-pt shot from 26 ft
6:31.0,Defensive rebound by D. Schroder,,40-28,,
6:16.0,T. Waller-Prince makes 2-pt shot from 12 ft,2,42-28,,
6:02.0,,,42-28,,Shooting foul by T. Waller-Prince (drawn by T. Graham)
6:02.0,,,42-29,1,T. Graham makes free throw 1 of 2
6:02.0,D. Dedmon enters the game for L. Babbitt,,42-29,,
6:02.0,,,42-30,1,T. Graham makes free throw 2 of 2
5:50.0,Offensive foul by M. Belinelli (drawn by T. Graham),,42-30,,
5:50.0,Turnover by M. Belinelli (offensive foul),,42-30,,
5:37.0,,,42-30,,Turnover by D. Howard (traveling)
5:29.0,D. Schroder makes 2-pt shot from 12 ft,2,44-30,,
5:14.0,,,44-33,3,F. Kaminsky makes 3-pt shot from 22 ft (assist by K. Walker)
4:54.0,Turnover by T. Waller-Prince (traveling),,44-33,,
4:54.0,M. Delaney enters the game for D. Schroder,,44-33,,
4:49.0,Personal foul by M. Delaney (drawn by K. Walker),,44-33,,
4:49.0,,,44-34,1,K. Walker makes free throw 1 of 2
4:49.0,,,44-35,1,K. Walker makes free throw 2 of 2
4:41.0,M. Belinelli makes 3-pt shot from 27 ft (assist by M. Delaney),3,47-35,,
4:19.0,,,47-35,,Turnover by D. Howard (turnover)
4:19.0,M. Muscala enters the game for E. Ilyasova,,47-35,,
4:09.0,M. Belinelli misses 2-pt shot from 20 ft,,47-35,,
4:05.0,,,47-35,,Defensive rebound by D. Howard
3:51.0,,,47-37,2,D. Howard makes 2-pt shot from 6 ft
3:38.0,M. Delaney misses 2-pt shot from 15 ft,,47-37,,
3:35.0,,,47-37,,Defensive rebound by K. Walker
3:32.0,,,47-37,,K. Walker misses 2-pt shot from 10 ft
3:28.0,Defensive rebound by T. Waller-Prince,,47-37,,
3:13.0,D. Dedmon makes 2-pt shot from 21 ft (assist by M. Belinelli),2,49-37,,
2:46.0,,,49-39,2,T. Graham makes 2-pt shot from 3 ft
2:30.0,T. Waller-Prince misses 2-pt shot from 11 ft,,49-39,,
2:28.0,,,49-39,,Defensive rebound by F. Kaminsky
2:28.0,Personal foul by T. Waller-Prince (drawn by F. Kaminsky),,49-39,,
2:28.0,,,49-40,1,F. Kaminsky makes free throw 1 of 2
2:28.0,,,49-40,,M. Monk enters the game for T. Graham
2:28.0,K. Bazemore enters the game for T. Waller-Prince,,49-40,,
2:28.0,,,49-41,1,F. Kaminsky makes free throw 2 of 2
2:14.0,M. Muscala makes 3-pt shot from 22 ft (assist by M. Delaney),3,52-41,,
1:52.0,,,52-43,2,J. Lamb makes 2-pt shot at rim
1:47.0,Shooting foul by D. Howard (drawn by M. Delaney),,52-43,,
1:47.0,M. Delaney makes free throw 2 of 2,1,53-43,,
1:47.0,M. Delaney misses free throw 1 of 2,,53-43,,
1:47.0,Offensive rebound by Team,,53-43,,
1:47.0,D. Schroder enters the game for M. Belinelli,,53-43,,
1:47.0,J. Collins enters the game for D. Dedmon,,53-43,,
1:38.0,Def 3 sec tech foul by M. Muscala,,53-43,,
1:38.0,,,53-44,1,K. Walker makes technical free throw
1:32.0,,,53-44,,Shooting foul by M. Muscala (drawn by F. Kaminsky)
1:32.0,,,53-45,1,F. Kaminsky makes free throw 1 of 2
1:32.0,,,53-46,1,F. Kaminsky makes free throw 2 of 2
1:14.0,M. Delaney misses 3-pt shot from 25 ft,,53-46,,
1:08.0,Offensive rebound by M. Muscala,,53-46,,
1:08.0,M. Muscala makes 2-pt shot at rim,2,55-46,,
0:55.0,,,55-46,,Turnover by F. Kaminsky (lost ball; steal by K. Bazemore)
0:53.0,Offensive charge foul by J. Collins (drawn by K. Walker),,55-46,,
0:53.0,Turnover by J. Collins (offensive foul),,55-46,,
0:53.0,,,55-46,,M. Williams enters the game for D. Howard
0:42.0,,,55-49,3,F. Kaminsky makes 3-pt shot from 26 ft (assist by K. Walker)
0:31.0,D. Schroder misses 2-pt shot from 17 ft,,55-49,,
0:27.0,,,55-49,,Defensive rebound by M. Monk
0:05.0,,,55-49,,Turnover by K. Walker (bad pass; steal by M. Delaney)
0:00.0,M. Delaney misses 2-pt shot from 15 ft,,55-49,,
0:00.0,Offensive rebound by Team,,55-49,,
0:00.0,,,55-49,,Personal foul by J. Lamb (drawn by J. Collins)
0:00.0,J. Collins makes free throw 2 of 2,1,56-49,,
0:00.0,J. Collins misses free throw 1 of 2,,56-49,,
0:00.0,Offensive rebound by Team,,56-49,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,E. Ilyasova misses 2-pt shot from 13 ft,,56-49,,
11:38.0,,,56-49,,Defensive rebound by D. Bacon
11:36.0,,,56-49,,Offensive foul by D. Howard (drawn by E. Ilyasova)
11:36.0,,,56-49,,Turnover by D. Howard (offensive foul)
11:21.0,Turnover by D. Schroder (bad pass; steal by M. Williams),,56-49,,
11:07.0,,,56-49,,M. Williams misses 3-pt shot from 22 ft
11:03.0,Defensive rebound by T. Waller-Prince,,56-49,,
10:56.0,K. Bazemore makes 3-pt shot from 23 ft (assist by D. Dedmon),3,59-49,,
10:46.0,Personal foul by K. Bazemore (drawn by M. Williams),,59-49,,
10:40.0,,,59-52,3,D. Bacon makes 3-pt shot from 23 ft (assist by K. Walker)
10:29.0,Offensive foul by E. Ilyasova (drawn by K. Walker),,59-52,,
10:29.0,Turnover by E. Ilyasova (offensive foul),,59-52,,
10:17.0,,,59-52,,M. Williams misses 3-pt shot from 26 ft
10:12.0,Defensive rebound by T. Waller-Prince,,59-52,,
10:07.0,D. Schroder misses 2-pt shot from 1 ft,,59-52,,
10:04.0,,,59-52,,Defensive rebound by D. Bacon
10:02.0,,,59-52,,J. Lamb misses 3-pt shot from 22 ft
10:02.0,Defensive rebound by E. Ilyasova,,59-52,,
9:52.0,D. Schroder makes 2-pt shot from 10 ft,2,61-52,,
9:49.0,Technical foul by D. Schroder,,61-52,,
9:49.0,,,61-52,,K. Walker misses technical free throw
9:49.0,,,61-52,,Offensive rebound by Team
9:26.0,,,61-54,2,J. Lamb makes 2-pt shot from 11 ft
9:18.0,K. Bazemore misses 2-pt shot from 16 ft,,61-54,,
9:14.0,,,61-54,,Defensive rebound by D. Bacon
9:09.0,Personal foul by E. Ilyasova (drawn by D. Howard),,61-54,,
9:04.0,,,61-56,2,J. Lamb makes 2-pt shot from 10 ft
8:55.0,E. Ilyasova misses 3-pt shot from 26 ft,,61-56,,
8:52.0,,,61-56,,Defensive rebound by D. Bacon
8:43.0,,,61-58,2,D. Howard makes 2-pt shot from 2 ft (assist by J. Lamb)
8:43.0,,,61-58,,Shooting foul by E. Ilyasova (drawn by D. Howard)
8:43.0,M. Muscala enters the game for E. Ilyasova,,61-58,,
8:43.0,,,61-58,,D. Howard misses free throw 1 of 1
8:40.0,Defensive rebound by D. Dedmon,,61-58,,
8:32.0,T. Waller-Prince makes 3-pt shot from 26 ft (assist by K. Bazemore),3,64-58,,
8:16.0,,,64-58,,Turnover by K. Walker (bad pass; steal by M. Muscala)
8:06.0,D. Dedmon misses 2-pt shot from 18 ft,,64-58,,
8:01.0,Offensive rebound by M. Muscala,,64-58,,
7:52.0,D. Schroder misses 3-pt shot from 24 ft,,64-58,,
7:48.0,Offensive rebound by D. Dedmon,,64-58,,
7:37.0,D. Schroder misses 3-pt shot from 25 ft,,64-58,,
7:34.0,,,64-58,,Defensive rebound by D. Bacon
7:16.0,,,64-58,,J. Lamb misses 2-pt shot from 1 ft
7:15.0,,,64-58,,Offensive rebound by D. Howard
7:15.0,,,64-58,,Shooting foul by K. Bazemore (drawn by D. Howard)
7:15.0,,,64-59,1,D. Howard makes free throw 1 of 2
7:15.0,M. Belinelli enters the game for K. Bazemore,,64-59,,
7:15.0,,,64-60,1,D. Howard makes free throw 2 of 2
7:04.0,M. Muscala misses 2-pt shot from 10 ft (block by M. Williams),,64-60,,
7:04.0,Offensive rebound by Team,,64-60,,
7:00.0,D. Schroder makes 2-pt shot from 13 ft,2,66-60,,
6:44.0,,,66-60,,M. Williams misses 3-pt shot from 24 ft
6:41.0,Defensive rebound by D. Dedmon,,66-60,,
6:32.0,T. Waller-Prince makes 3-pt shot from 26 ft (assist by M. Belinelli),3,69-60,,
6:13.0,,,69-60,,Turnover by M. Williams (bad pass; steal by T. Waller-Prince)
5:56.0,M. Muscala misses 2-pt shot from 1 ft,,69-60,,
5:53.0,,,69-60,,Defensive rebound by K. Walker
5:53.0,Personal foul by D. Schroder (drawn by K. Walker),,69-60,,
5:53.0,,,69-60,,Charlotte full timeout
5:53.0,J. Collins enters the game for D. Dedmon,,69-60,,
5:53.0,,,69-60,,K. Walker misses free throw 1 of 2
5:53.0,,,69-60,,Offensive rebound by Team
5:53.0,,,69-61,1,K. Walker makes free throw 2 of 2
5:42.0,,,69-61,,Loose ball foul by K. Walker (drawn by D. Schroder)
5:41.0,J. Collins misses 2-pt shot from 6 ft (block by D. Howard),,69-61,,
5:41.0,Offensive rebound by Team,,69-61,,
5:31.0,D. Schroder misses 2-pt shot from 17 ft,,69-61,,
5:27.0,,,69-61,,Defensive rebound by D. Howard
5:16.0,,,69-61,,J. Lamb misses 2-pt shot from 6 ft
5:15.0,,,69-61,,Offensive rebound by D. Howard
5:15.0,,,69-61,,Shooting foul by M. Muscala (drawn by D. Howard)
5:15.0,,,69-61,,D. Howard misses free throw 1 of 2
5:15.0,,,69-61,,Offensive rebound by Team
5:15.0,M. Delaney enters the game for D. Schroder,,69-61,,
5:15.0,,,69-62,1,D. Howard makes free throw 2 of 2
5:08.0,M. Belinelli misses 3-pt shot from 26 ft,,69-62,,
5:05.0,,,69-62,,Defensive rebound by D. Howard
5:01.0,,,69-62,,K. Walker misses 2-pt shot from 1 ft
4:57.0,,,69-62,,Offensive rebound by K. Walker
4:55.0,,,69-62,,M. Williams misses 2-pt shot from 2 ft
4:55.0,,,69-62,,Offensive rebound by Team
4:48.0,,,69-64,2,D. Howard makes 2-pt shot from 1 ft (assist by K. Walker)
4:28.0,T. Waller-Prince misses 2-pt shot from 17 ft,,69-64,,
4:25.0,,,69-64,,Defensive rebound by D. Bacon
4:20.0,,,69-66,2,D. Howard makes 2-pt shot at rim (assist by K. Walker)
4:20.0,,,69-66,,Shooting foul by T. Waller-Prince (drawn by D. Howard)
4:20.0,Atlanta full timeout,,69-66,,
4:20.0,,,69-66,,F. Kaminsky enters the game for M. Williams
4:20.0,K. Bazemore enters the game for T. Waller-Prince,,69-66,,
4:20.0,,,69-67,1,D. Howard makes free throw 1 of 1
4:07.0,Offensive foul by J. Collins (drawn by K. Walker),,69-67,,
4:07.0,Turnover by J. Collins (offensive foul),,69-67,,
3:52.0,,,69-70,3,D. Bacon makes 3-pt shot from 22 ft (assist by F. Kaminsky)
3:39.0,M. Muscala misses 3-pt shot from 25 ft,,69-70,,
3:35.0,,,69-70,,Defensive rebound by K. Walker
3:32.0,,,69-72,2,K. Walker makes 2-pt shot from 2 ft
3:17.0,M. Belinelli misses 2-pt shot from 2 ft,,69-72,,
3:14.0,,,69-72,,Defensive rebound by D. Bacon
3:11.0,,,69-72,,Shooting foul by J. Collins (drawn by K. Walker)
3:11.0,Atlanta full timeout,,69-72,,
3:11.0,D. Dedmon enters the game for M. Belinelli,,69-72,,
3:11.0,D. Schroder enters the game for J. Collins,,69-72,,
3:11.0,L. Babbitt enters the game for M. Muscala,,69-72,,
3:11.0,,,69-73,1,K. Walker makes free throw 1 of 3
3:11.0,,,69-74,1,K. Walker makes free throw 2 of 3
3:11.0,,,69-75,1,K. Walker makes free throw 3 of 3
2:50.0,K. Bazemore misses 2-pt shot from 10 ft,,69-75,,
2:47.0,,,69-75,,Defensive rebound by D. Howard
2:33.0,,,69-77,2,F. Kaminsky makes 2-pt shot from 9 ft
2:25.0,D. Schroder misses 2-pt shot from 12 ft,,69-77,,
2:24.0,Offensive rebound by Team,,69-77,,
2:24.0,,,69-77,,M. Monk enters the game for J. Lamb
2:19.0,K. Bazemore misses 3-pt shot from 23 ft,,69-77,,
2:15.0,Offensive rebound by D. Schroder,,69-77,,
2:13.0,L. Babbitt misses 3-pt shot from 23 ft,,69-77,,
2:10.0,,,69-77,,Defensive rebound by D. Bacon
1:59.0,,,69-77,,F. Kaminsky misses 3-pt shot from 26 ft
1:54.0,Defensive rebound by M. Delaney,,69-77,,
1:48.0,Turnover by D. Schroder (bad pass; steal by F. Kaminsky),,69-77,,
1:43.0,,,69-79,2,F. Kaminsky makes 2-pt shot from 1 ft
1:29.0,L. Babbitt misses 3-pt shot from 23 ft,,69-79,,
1:25.0,,,69-79,,Defensive rebound by D. Bacon
1:15.0,,,69-82,3,M. Monk makes 3-pt shot from 26 ft (assist by F. Kaminsky)
0:58.0,D. Dedmon misses 2-pt shot from 10 ft,,69-82,,
0:54.0,,,69-82,,Defensive rebound by D. Howard
0:45.0,,,69-82,,Shooting foul by L. Babbitt (drawn by K. Walker)
0:45.0,,,69-83,1,K. Walker makes free throw 1 of 2
0:45.0,,,69-83,,J. O'Bryant enters the game for D. Howard
0:45.0,,,69-84,1,K. Walker makes free throw 2 of 2
0:33.0,D. Schroder makes 2-pt shot from 1 ft,2,71-84,,
0:13.0,,,71-84,,K. Walker misses 3-pt shot from 22 ft
0:10.0,Defensive rebound by M. Delaney,,71-84,,
0:02.0,D. Schroder makes 2-pt shot from 12 ft,2,73-84,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,,,73-84,,Turnover by M. Monk (lost ball; steal by D. Schroder)
11:39.0,K. Bazemore makes 2-pt shot at rim (assist by D. Schroder),2,75-84,,
11:26.0,,,75-86,2,F. Kaminsky makes 2-pt shot from 1 ft
11:13.0,,,75-86,,Personal foul by M. Monk (drawn by D. Schroder)
11:09.0,,,75-86,,Personal foul by J. Lamb (drawn by K. Bazemore)
10:56.0,Turnover by K. Bazemore (lost ball; steal by J. O'Bryant),,75-86,,
10:50.0,,,75-86,,T. Graham misses 3-pt shot from 23 ft (block by M. Delaney)
10:50.0,,,75-86,,Offensive rebound by J. O'Bryant
10:50.0,,,75-86,,J. O'Bryant misses 2-pt shot from 2 ft
10:50.0,Defensive rebound by L. Babbitt,,75-86,,
10:50.0,Technical foul by K. Bazemore,,75-86,,
10:50.0,,,75-87,1,J. Lamb makes technical free throw
10:44.0,D. Schroder makes 2-pt shot from 16 ft,2,77-87,,
10:32.0,,,77-87,,Offensive foul by M. Monk (drawn by M. Delaney)
10:32.0,,,77-87,,Turnover by M. Monk (offensive foul)
10:24.0,D. Schroder makes 2-pt shot from 8 ft,2,79-87,,
10:10.0,,,79-87,,F. Kaminsky misses 2-pt shot from 11 ft
10:04.0,,,79-87,,Offensive rebound by J. O'Bryant
9:53.0,,,79-87,,Turnover by J. Lamb (lost ball; steal by K. Bazemore)
9:53.0,,,79-87,,Personal foul by J. Lamb (drawn by K. Bazemore)
9:53.0,,,79-87,,K. Walker enters the game for M. Monk
9:44.0,D. Schroder misses 2-pt shot from 22 ft,,79-87,,
9:41.0,,,79-87,,Defensive rebound by J. Lamb
9:35.0,,,79-87,,K. Walker misses 2-pt shot from 14 ft
9:35.0,,,79-87,,Offensive rebound by T. Graham
9:29.0,,,79-90,3,K. Walker makes 3-pt shot from 25 ft (assist by J. O'Bryant)
9:18.0,L. Babbitt misses 3-pt shot from 22 ft,,79-90,,
9:18.0,,,79-90,,Defensive rebound by Team
9:18.0,T. Waller-Prince enters the game for K. Bazemore,,79-90,,
9:04.0,,,79-90,,J. Lamb misses 2-pt shot from 13 ft
8:56.0,,,79-90,,Offensive rebound by J. O'Bryant
8:56.0,,,79-92,2,J. O'Bryant makes 2-pt shot at rim
8:45.0,Turnover by L. Babbitt (bad pass; steal by K. Walker),,79-92,,
8:41.0,,,79-94,2,K. Walker makes 2-pt shot from 1 ft
8:41.0,,,79-94,,Shooting foul by L. Babbitt (drawn by K. Walker)
8:41.0,E. Ilyasova enters the game for M. Delaney,,79-94,,
8:41.0,M. Belinelli enters the game for L. Babbitt,,79-94,,
8:41.0,,,79-95,1,K. Walker makes free throw 1 of 1
8:30.0,D. Dedmon makes 2-pt shot from 2 ft (assist by T. Waller-Prince),2,81-95,,
