time,Phoenix,pts.away,score,pts.home,Sacramento
7:31.0,,,6-4,,Defensive rebound by Z. Randolph
7:15.0,,,6-4,,Turnover by S. Labissiere (lost ball; steal by T. Chandler)
7:13.0,M. Chriss misses 2-pt shot from 2 ft (block by G. Temple),,6-4,,
7:13.0,,,6-4,,Defensive rebound by Team
7:13.0,,,6-4,,Sacramento full timeout
6:59.0,,,6-7,3,G. Hill makes 3-pt shot from 25 ft (assist by Z. Randolph)
6:33.0,M. Chriss makes 2-pt shot from 5 ft (assist by T. Ulis),2,8-7,,
6:14.0,,,8-7,,G. Temple misses 2-pt shot from 15 ft
6:14.0,Defensive rebound by Team,,8-7,,
6:14.0,,,8-7,,Loose ball foul by S. Labissiere (drawn by T. Chandler)
6:01.0,T. Ulis makes 2-pt shot from 20 ft,2,10-7,,
5:41.0,,,10-7,,Shooting foul by J. Jackson (drawn by G. Hill)
5:41.0,,,10-8,1,G. Hill makes free throw 1 of 2
5:41.0,,,10-8,,W. Cauley-Stein enters the game for S. Labissiere
5:41.0,,,10-9,1,G. Hill makes free throw 2 of 2
5:21.0,T. Warren makes 2-pt shot from 21 ft,2,12-9,,
5:01.0,,,12-9,,G. Temple misses 3-pt shot from 23 ft
4:59.0,,,12-9,,Offensive rebound by Z. Randolph
4:58.0,,,12-11,2,Z. Randolph makes 2-pt shot from 2 ft
4:38.0,M. Chriss misses 2-pt shot from 21 ft,,12-11,,
4:34.0,,,12-11,,Defensive rebound by G. Hill
4:20.0,,,12-11,,Z. Randolph misses 2-pt shot from 11 ft (block by T. Chandler)
4:15.0,,,12-11,,Offensive rebound by Z. Randolph
4:14.0,,,12-11,,Z. Randolph misses 2-pt shot from 14 ft
4:11.0,Defensive rebound by M. Chriss,,12-11,,
4:10.0,Turnover by J. Jackson (lost ball; steal by G. Hill),,12-11,,
4:08.0,,,12-11,,W. Cauley-Stein misses 2-pt shot from 2 ft
4:02.0,,,12-11,,Offensive rebound by W. Cauley-Stein
4:02.0,,,12-11,,W. Cauley-Stein misses 2-pt shot at rim
4:00.0,,,12-11,,Offensive rebound by Z. Randolph
3:59.0,,,12-13,2,Z. Randolph makes 2-pt shot from 1 ft
3:49.0,Turnover by J. Jackson (out of bounds lost ball),,12-13,,
3:49.0,,,12-13,,B. Bogdanovic enters the game for G. Temple
3:49.0,D. Bender enters the game for M. Chriss,,12-13,,
3:49.0,A. Len enters the game for T. Chandler,,12-13,,
3:49.0,T. Daniels enters the game for J. Jackson,,12-13,,
3:29.0,,,12-16,3,G. Hill makes 3-pt shot from 22 ft (assist by Z. Randolph)
3:11.0,A. Len makes 2-pt shot from 1 ft (assist by T. Daniels),2,14-16,,
3:11.0,Shooting foul by W. Cauley-Stein (drawn by A. Len),,14-16,,
3:11.0,A. Len makes free throw 1 of 1,1,15-16,,
2:50.0,,,15-18,2,W. Cauley-Stein makes 2-pt shot from 2 ft (assist by B. Bogdanovic)
2:30.0,T. Warren misses 2-pt shot from 2 ft,,15-18,,
2:27.0,,,15-18,,Defensive rebound by D. Fox
2:21.0,,,15-18,,Z. Randolph misses 3-pt shot from 25 ft
2:17.0,Defensive rebound by T. Ulis,,15-18,,
2:06.0,T. Daniels misses 3-pt shot from 24 ft,,15-18,,
2:03.0,,,15-18,,Defensive rebound by G. Hill
1:50.0,,,15-18,,Turnover by G. Hill (bad pass; steal by T. Ulis)
1:47.0,T. Warren makes 2-pt shot from 1 ft (assist by T. Daniels),2,17-18,,
1:30.0,,,17-18,,G. Hill misses 2-pt shot from 1 ft
1:28.0,Defensive rebound by A. Len,,17-18,,
1:25.0,T. Ulis makes 2-pt shot from 17 ft (assist by A. Len),2,19-18,,
1:07.0,,,19-18,,Shooting foul by D. Bender (drawn by W. Cauley-Stein)
1:07.0,Phoenix full timeout,,19-18,,
1:07.0,,,19-18,,B. Hield enters the game for G. Hill
1:07.0,,,19-18,,K. Koufos enters the game for Z. Randolph
1:07.0,M. James enters the game for T. Ulis,,19-18,,
1:07.0,,,19-19,1,W. Cauley-Stein makes free throw 1 of 2
1:07.0,,,19-19,,W. Cauley-Stein misses free throw 2 of 2
1:04.0,Defensive rebound by A. Len,,19-19,,
0:49.0,A. Len makes 2-pt shot from 3 ft (assist by T. Daniels),2,21-19,,
0:30.0,,,21-19,,D. Fox misses 2-pt shot from 4 ft (block by A. Len)
0:29.0,,,21-19,,Offensive rebound by K. Koufos
0:29.0,,,21-21,2,K. Koufos makes 2-pt shot from 2 ft
0:24.0,D. Bender misses 3-pt shot from 25 ft,,21-21,,
0:24.0,,,21-21,,Defensive rebound by B. Hield
0:06.0,,,21-21,,B. Hield misses 3-pt shot from 25 ft
0:03.0,Defensive rebound by A. Len,,21-21,,
0:02.0,T. Warren makes 2-pt shot from 5 ft,2,23-21,,
0:00.0,,,23-21,,B. Bogdanovic misses 3-pt shot from 59 ft
0:00.0,,,23-21,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:33.0,D. Bender makes 2-pt shot from 23 ft (assist by T. Daniels),2,25-21,,
11:21.0,,,25-23,2,W. Cauley-Stein makes 2-pt shot from 18 ft (assist by F. Mason)
11:02.0,J. Jackson misses 3-pt shot from 23 ft,,25-23,,
10:59.0,,,25-23,,Defensive rebound by F. Mason
10:57.0,,,25-23,,Shooting foul by M. James (drawn by F. Mason)
10:57.0,,,25-24,1,F. Mason makes free throw 1 of 2
10:57.0,,,25-25,1,F. Mason makes free throw 2 of 2
10:40.0,T. Daniels makes 3-pt shot from 25 ft (assist by A. Len),3,28-25,,
10:23.0,,,28-25,,B. Hield misses 2-pt shot from 17 ft
10:20.0,Defensive rebound by A. Len,,28-25,,
10:14.0,M. James makes 3-pt shot from 24 ft,3,31-25,,
9:55.0,,,31-27,2,W. Cauley-Stein makes 2-pt shot from 3 ft
9:41.0,J. Jackson makes 3-pt shot from 24 ft (assist by A. Len),3,34-27,,
9:31.0,,,34-27,,F. Mason misses 2-pt shot from 17 ft
9:29.0,Defensive rebound by A. Len,,34-27,,
9:22.0,D. Bender makes 3-pt shot from 24 ft (assist by M. James),3,37-27,,
9:21.0,,,37-27,,Sacramento full timeout
9:09.0,,,37-27,,B. Bogdanovic misses 3-pt shot from 25 ft
9:07.0,,,37-27,,Offensive rebound by W. Cauley-Stein
9:07.0,,,37-27,,Shooting foul by A. Len (drawn by W. Cauley-Stein)
9:07.0,,,37-27,,W. Cauley-Stein misses free throw 1 of 2
9:07.0,,,37-27,,Offensive rebound by Team
9:07.0,,,37-28,1,W. Cauley-Stein makes free throw 2 of 2
8:48.0,J. Jackson misses 2-pt shot from 16 ft,,37-28,,
8:45.0,,,37-28,,Defensive rebound by W. Cauley-Stein
8:33.0,,,37-30,2,F. Mason makes 2-pt shot from 16 ft (assist by W. Cauley-Stein)
8:14.0,M. James misses 3-pt shot from 27 ft,,37-30,,
8:12.0,,,37-30,,Defensive rebound by W. Cauley-Stein
8:01.0,,,37-30,,Shooting foul by M. James (drawn by K. Koufos)
8:01.0,,,37-31,1,K. Koufos makes free throw 1 of 2
8:01.0,,,37-32,1,K. Koufos makes free throw 2 of 2
7:49.0,,,37-32,,Personal foul by W. Cauley-Stein (drawn by J. Jackson)
7:41.0,M. James makes 2-pt shot from 2 ft,2,39-32,,
7:25.0,,,39-32,,K. Koufos misses 2-pt shot from 2 ft
7:24.0,Defensive rebound by A. Len,,39-32,,
7:21.0,T. Daniels makes 3-pt shot from 25 ft (assist by M. James),3,42-32,,
6:56.0,,,42-35,3,B. Hield makes 3-pt shot from 25 ft (assist by K. Koufos)
6:47.0,Turnover by A. Len (out of bounds lost ball),,42-35,,
6:32.0,,,42-37,2,B. Bogdanovic makes 2-pt shot from 3 ft
6:21.0,,,42-37,,Personal foul by B. Bogdanovic (drawn by T. Daniels)
6:19.0,Turnover by J. Jackson (bad pass; steal by F. Mason),,42-37,,
6:13.0,,,42-39,2,B. Hield makes 2-pt shot from 19 ft (assist by F. Mason)
6:13.0,Phoenix full timeout,,42-39,,
6:13.0,T. Chandler enters the game for A. Len,,42-39,,
6:13.0,T. Warren enters the game for T. Daniels,,42-39,,
6:13.0,T. Ulis enters the game for M. James,,42-39,,
5:49.0,Shooting foul by K. Koufos (drawn by T. Ulis),,42-39,,
5:49.0,T. Ulis makes free throw 1 of 2,1,43-39,,
5:49.0,T. Ulis makes free throw 2 of 2,1,44-39,,
5:32.0,,,44-41,2,B. Hield makes 2-pt shot from 13 ft
5:16.0,D. Bender misses 3-pt shot from 25 ft,,44-41,,
5:12.0,,,44-41,,Defensive rebound by B. Hield
5:08.0,,,44-41,,B. Hield misses 3-pt shot from 24 ft
5:07.0,,,44-41,,Offensive rebound by K. Koufos
5:07.0,Personal foul by J. Jackson (drawn by K. Koufos),,44-41,,
5:07.0,T. Daniels enters the game for J. Jackson,,44-41,,
5:07.0,M. Chriss enters the game for D. Bender,,44-41,,
4:59.0,,,44-41,,B. Hield misses 2-pt shot from 14 ft
4:54.0,Defensive rebound by T. Chandler,,44-41,,
4:48.0,Shooting foul by K. Koufos (drawn by T. Chandler),,44-41,,
4:48.0,T. Chandler makes free throw 1 of 2,1,45-41,,
4:48.0,T. Chandler makes free throw 2 of 2,1,46-41,,
4:28.0,,,46-41,,B. Bogdanovic misses 3-pt shot from 25 ft
4:25.0,Defensive rebound by T. Chandler,,46-41,,
4:21.0,Turnover by T. Warren (step out of bounds),,46-41,,
4:10.0,,,46-43,2,B. Hield makes 2-pt shot from 17 ft
3:45.0,T. Ulis misses 3-pt shot from 28 ft,,46-43,,
3:41.0,,,46-43,,Defensive rebound by K. Koufos
3:34.0,,,46-45,2,K. Koufos makes 2-pt shot from 8 ft (assist by F. Mason)
3:24.0,T. Daniels misses 3-pt shot from 27 ft,,46-45,,
3:21.0,,,46-45,,Defensive rebound by W. Cauley-Stein
3:15.0,,,46-47,2,F. Mason makes 2-pt shot from 19 ft
3:00.0,T. Warren misses 2-pt shot from 8 ft,,46-47,,
2:57.0,,,46-47,,Defensive rebound by K. Koufos
2:39.0,,,46-47,,F. Mason misses 2-pt shot from 15 ft
2:36.0,Defensive rebound by M. Chriss,,46-47,,
2:32.0,T. Warren misses 2-pt shot from 9 ft,,46-47,,
2:29.0,,,46-47,,Defensive rebound by K. Koufos
2:09.0,,,46-47,,W. Cauley-Stein misses 2-pt shot from 2 ft (block by M. Chriss)
2:09.0,,,46-47,,Offensive rebound by Team
2:09.0,,,46-47,,Z. Randolph enters the game for K. Koufos
2:05.0,Jump ball: W. Cauley-Stein vs. M. Chriss (Z. Randolph gains possession),,,,Jump ball: W. Cauley-Stein vs. M. Chriss (Z. Randolph gains possession)
1:50.0,,,46-47,,F. Mason misses 2-pt shot from 19 ft
1:46.0,,,46-47,,Offensive rebound by F. Mason
1:36.0,,,46-49,2,W. Cauley-Stein makes 2-pt shot from 2 ft (assist by B. Bogdanovic)
1:15.0,T. Chandler makes 2-pt shot from 18 ft (assist by M. Chriss),2,48-49,,
1:01.0,,,48-49,,Turnover by B. Bogdanovic (bad pass; steal by T. Warren)
0:56.0,T. Daniels misses 3-pt shot from 22 ft,,48-49,,
0:49.0,,,48-49,,Defensive rebound by W. Cauley-Stein
0:41.0,,,48-49,,W. Cauley-Stein misses 2-pt shot from 1 ft
0:39.0,Defensive rebound by T. Chandler,,48-49,,
0:38.0,,,48-49,,Personal foul by B. Hield (drawn by T. Chandler)
0:38.0,T. Chandler misses free throw 1 of 2,,48-49,,
0:38.0,Offensive rebound by Team,,48-49,,
0:38.0,T. Chandler makes free throw 2 of 2,1,49-49,,
0:26.0,,,49-49,,B. Hield misses 3-pt shot from 24 ft
0:25.0,Defensive rebound by Team,,49-49,,
0:21.0,Jump ball: W. Cauley-Stein vs. T. Chandler (M. Chriss gains possession),,,,Jump ball: W. Cauley-Stein vs. T. Chandler (M. Chriss gains possession)
0:02.0,T. Warren makes 2-pt shot from 17 ft,2,51-49,,
0:00.0,,,51-49,,F. Mason misses 3-pt shot from 44 ft
0:00.0,,,51-49,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,T. Warren misses 3-pt shot from 25 ft,,51-49,,
11:39.0,,,51-49,,Defensive rebound by G. Hill
11:17.0,,,51-51,2,S. Labissiere makes 2-pt shot from 12 ft (assist by G. Hill)
11:00.0,J. Jackson misses 3-pt shot from 24 ft,,51-51,,
10:58.0,,,51-51,,Defensive rebound by Z. Randolph
10:53.0,,,51-53,2,D. Fox makes 2-pt shot from 3 ft
10:45.0,,,51-53,,Personal foul by Z. Randolph (drawn by T. Chandler)
10:36.0,M. Chriss misses 3-pt shot from 25 ft,,51-53,,
10:30.0,,,51-53,,Defensive rebound by Team
10:24.0,Personal foul by T. Ulis (drawn by D. Fox),,51-53,,
10:12.0,,,51-53,,Z. Randolph misses 3-pt shot from 25 ft
10:10.0,Defensive rebound by T. Ulis,,51-53,,
9:56.0,T. Warren misses 2-pt shot from 9 ft,,51-53,,
9:52.0,,,51-53,,Defensive rebound by D. Fox
9:39.0,,,51-53,,S. Labissiere misses 2-pt shot from 9 ft (block by T. Chandler)
9:39.0,,,51-53,,Offensive rebound by Team
9:31.0,Jump ball: S. Labissiere vs. M. Chriss (G. Temple gains possession),,,,Jump ball: S. Labissiere vs. M. Chriss (G. Temple gains possession)
9:28.0,,,51-53,,G. Temple misses 3-pt shot from 24 ft
9:26.0,Defensive rebound by T. Chandler,,51-53,,
9:21.0,Phoenix full timeout,,51-53,,
9:21.0,M. James enters the game for T. Ulis,,51-53,,
9:10.0,M. Chriss makes 2-pt shot from 13 ft (assist by T. Warren),2,53-53,,
8:51.0,,,53-53,,Z. Randolph misses 2-pt shot from 8 ft
8:51.0,,,53-53,,Offensive rebound by Team
8:45.0,,,53-55,2,G. Hill makes 2-pt shot from 6 ft
8:26.0,J. Jackson misses 3-pt shot from 24 ft,,53-55,,
8:23.0,,,53-55,,Defensive rebound by S. Labissiere
8:14.0,,,53-55,,S. Labissiere misses 2-pt shot from 7 ft
8:14.0,,,53-55,,Offensive rebound by Team
8:14.0,Loose ball foul by T. Chandler (drawn by Z. Randolph),,53-55,,
8:05.0,,,53-57,2,Z. Randolph makes 2-pt shot from 3 ft (assist by G. Hill)
7:44.0,M. James makes 2-pt shot from 6 ft,2,55-57,,
7:44.0,Shooting foul by D. Fox (drawn by M. James),,55-57,,
7:44.0,M. James makes free throw 1 of 1,1,56-57,,
7:29.0,,,56-57,,G. Temple misses 2-pt shot from 16 ft
7:25.0,Defensive rebound by M. Chriss,,56-57,,
7:20.0,T. Chandler makes 2-pt shot from 3 ft (assist by M. James),2,58-57,,
7:10.0,Personal foul by J. Jackson (drawn by G. Hill),,58-57,,
7:00.0,,,58-60,3,D. Fox makes 3-pt shot from 24 ft (assist by S. Labissiere)
6:43.0,T. Warren makes 2-pt shot from 18 ft,2,60-60,,
6:26.0,,,60-62,2,S. Labissiere makes 2-pt shot from 10 ft (assist by Z. Randolph)
6:10.0,T. Warren misses 2-pt shot from 2 ft (block by G. Temple),,60-62,,
6:09.0,T. Warren misses 2-pt shot from 2 ft,,60-62,,
6:09.0,Offensive rebound by T. Warren,,60-62,,
6:08.0,Offensive rebound by T. Warren,,60-62,,
6:08.0,T. Warren misses 2-pt shot from 2 ft,,60-62,,
6:05.0,,,60-62,,Defensive rebound by G. Hill
5:49.0,,,60-62,,S. Labissiere misses 2-pt shot from 9 ft
5:49.0,Defensive rebound by M. James,,60-62,,
5:41.0,Turnover by M. James (bad pass; steal by S. Labissiere),,60-62,,
5:41.0,,,60-62,,Turnover by S. Labissiere (bad pass)
5:35.0,Shooting foul by G. Temple (drawn by M. James),,60-62,,
5:35.0,M. James makes free throw 1 of 2,1,61-62,,
5:35.0,T. Daniels enters the game for T. Warren,,61-62,,
5:35.0,M. James misses free throw 2 of 2,,61-62,,
5:32.0,,,61-62,,Defensive rebound by S. Labissiere
5:22.0,,,61-62,,Turnover by G. Hill (lost ball; steal by J. Jackson)
5:18.0,M. James makes 2-pt shot from 1 ft,2,63-62,,
5:13.0,,,63-62,,D. Fox misses 2-pt shot from 2 ft
5:11.0,Defensive rebound by T. Chandler,,63-62,,
5:06.0,M. Chriss makes 2-pt shot from 2 ft (assist by M. James),2,65-62,,
4:58.0,,,65-62,,Sacramento full timeout
4:58.0,,,65-62,,W. Cauley-Stein enters the game for S. Labissiere
4:58.0,,,65-62,,B. Bogdanovic enters the game for G. Temple
4:40.0,,,65-64,2,G. Hill makes 2-pt shot from 6 ft (assist by Z. Randolph)
4:22.0,M. James makes 2-pt shot from 6 ft (assist by J. Jackson),2,67-64,,
4:06.0,,,67-64,,B. Bogdanovic misses 2-pt shot from 2 ft
4:03.0,Defensive rebound by M. Chriss,,67-64,,
4:03.0,,,67-64,,K. Koufos enters the game for Z. Randolph
3:56.0,,,67-64,,Personal foul by B. Bogdanovic (drawn by J. Jackson)
3:46.0,M. James misses 2-pt shot from 17 ft,,67-64,,
3:43.0,,,67-64,,Defensive rebound by K. Koufos
3:34.0,,,67-64,,W. Cauley-Stein misses 2-pt shot from 2 ft
3:31.0,Defensive rebound by M. Chriss,,67-64,,
3:28.0,M. Chriss misses 3-pt shot from 24 ft,,67-64,,
3:11.0,,,67-64,,Defensive rebound by B. Bogdanovic
3:09.0,,,67-66,2,K. Koufos makes 2-pt shot from 3 ft (assist by W. Cauley-Stein)
2:49.0,J. Jackson misses 2-pt shot from 14 ft,,67-66,,
2:47.0,Offensive rebound by J. Jackson,,67-66,,
2:47.0,J. Jackson misses 2-pt shot at rim,,67-66,,
2:47.0,Offensive rebound by J. Jackson,,67-66,,
2:47.0,J. Jackson misses 2-pt shot at rim,,67-66,,
2:47.0,Offensive rebound by M. Chriss,,67-66,,
2:47.0,Shooting foul by W. Cauley-Stein (drawn by M. Chriss),,67-66,,
2:47.0,M. Chriss makes free throw 1 of 2,1,68-66,,
2:47.0,,,68-66,,F. Mason enters the game for D. Fox
2:47.0,A. Len enters the game for T. Chandler,,68-66,,
2:47.0,M. Chriss misses free throw 2 of 2,,68-66,,
2:44.0,Offensive rebound by A. Len,,68-66,,
2:39.0,A. Len makes 2-pt shot from 4 ft,2,70-66,,
2:20.0,,,70-68,2,W. Cauley-Stein makes 2-pt shot from 5 ft (assist by B. Bogdanovic)
2:20.0,,,70-68,,Shooting foul by M. Chriss (drawn by W. Cauley-Stein)
2:20.0,D. Bender enters the game for M. Chriss,,70-68,,
2:20.0,,,70-68,,W. Cauley-Stein misses free throw 1 of 1
2:16.0,,,70-68,,Offensive rebound by B. Bogdanovic
2:15.0,,,70-71,3,B. Bogdanovic makes 3-pt shot from 24 ft
1:58.0,T. Daniels misses 3-pt shot from 25 ft,,70-71,,
1:55.0,,,70-71,,Defensive rebound by K. Koufos
1:52.0,Personal foul by T. Daniels (drawn by G. Hill),,70-71,,
1:52.0,,,70-71,,G. Hill misses free throw 1 of 2
1:52.0,,,70-71,,Offensive rebound by Team
1:52.0,T. Warren enters the game for J. Jackson,,70-71,,
1:52.0,,,70-72,1,G. Hill makes free throw 2 of 2
1:37.0,M. James makes 2-pt shot from 8 ft,2,72-72,,
1:30.0,,,72-74,2,G. Hill makes 2-pt shot from 1 ft
1:07.0,T. Warren makes 2-pt shot from 1 ft (assist by M. James),2,74-74,,
0:56.0,,,74-74,,W. Cauley-Stein misses 2-pt shot from 9 ft
0:53.0,Defensive rebound by D. Bender,,74-74,,
0:38.0,M. James misses 2-pt shot from 13 ft,,74-74,,
0:38.0,,,74-74,,Defensive rebound by B. Bogdanovic
0:29.0,,,74-74,,G. Hill misses 2-pt shot from 18 ft
0:22.0,Defensive rebound by T. Warren,,74-74,,
0:06.0,D. Bender misses 3-pt shot from 23 ft,,74-74,,
0:03.0,,,74-74,,Defensive rebound by G. Hill
0:00.0,,,74-74,,B. Bogdanovic misses 3-pt shot from 30 ft
0:00.0,,,74-74,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,,,74-74,,B. Hield misses 2-pt shot from 2 ft
11:39.0,Defensive rebound by A. Len,,74-74,,
11:22.0,T. Ulis misses 2-pt shot from 4 ft,,74-74,,
11:22.0,Offensive rebound by Team,,74-74,,
11:22.0,,,74-74,,Loose ball foul by W. Cauley-Stein (drawn by A. Len)
11:15.0,T. Warren makes 2-pt shot from 2 ft,2,76-74,,
10:51.0,,,76-77,3,B. Bogdanovic makes 3-pt shot from 26 ft (assist by K. Koufos)
10:29.0,D. Bender misses 3-pt shot from 23 ft,,76-77,,
10:29.0,,,76-77,,Defensive rebound by Team
10:29.0,Loose ball foul by A. Len (drawn by K. Koufos),,76-77,,
10:14.0,,,76-79,2,B. Hield makes 2-pt shot from 19 ft
9:56.0,T. Daniels misses 3-pt shot from 25 ft,,76-79,,
9:52.0,Offensive rebound by D. Bender,,76-79,,
9:46.0,A. Len makes 2-pt shot from 4 ft (assist by D. Bender),2,78-79,,
9:27.0,,,78-79,,Offensive foul by K. Koufos (drawn by T. Ulis)
9:27.0,,,78-79,,Turnover by K. Koufos (offensive foul)
9:16.0,T. Ulis makes 2-pt shot from 11 ft,2,80-79,,
9:07.0,,,80-79,,Sacramento full timeout
8:59.0,,,80-79,,B. Hield misses 2-pt shot from 20 ft
8:56.0,Defensive rebound by D. Bender,,80-79,,
8:45.0,T. Daniels misses 3-pt shot from 26 ft,,80-79,,
8:45.0,,,80-79,,Defensive rebound by Team
8:26.0,,,80-79,,F. Mason misses 2-pt shot from 10 ft
8:23.0,,,80-79,,Offensive rebound by K. Koufos
8:21.0,,,80-79,,W. Cauley-Stein misses 2-pt shot from 5 ft
8:21.0,Defensive rebound by D. Bender,,80-79,,
8:05.0,T. Warren makes 2-pt shot from 2 ft (assist by T. Ulis),2,82-79,,
7:41.0,,,82-79,,B. Bogdanovic misses 3-pt shot from 25 ft
7:38.0,Defensive rebound by D. Bender,,82-79,,
7:30.0,Turnover by T. Ulis (bad pass; steal by K. Koufos),,82-79,,
7:20.0,,,82-79,,Shooting foul by T. Warren (drawn by W. Cauley-Stein)
7:20.0,,,82-79,,W. Cauley-Stein misses free throw 1 of 2
7:20.0,,,82-79,,Offensive rebound by Team
7:20.0,,,82-80,1,W. Cauley-Stein makes free throw 2 of 2
7:04.0,D. Bender makes 3-pt shot from 25 ft (assist by T. Ulis),3,85-80,,
6:49.0,,,85-80,,K. Koufos misses 2-pt shot from 8 ft
6:47.0,Defensive rebound by D. Bender,,85-80,,
6:35.0,T. Ulis misses 2-pt shot from 1 ft (block by F. Mason),,85-80,,
6:35.0,Offensive rebound by Team,,85-80,,
6:35.0,,,85-80,,Z. Randolph enters the game for K. Koufos
6:26.0,T. Warren misses 3-pt shot from 26 ft,,85-80,,
6:23.0,Offensive rebound by D. Bender,,85-80,,
6:04.0,T. Warren misses 2-pt shot from 8 ft,,85-80,,
6:03.0,,,85-80,,Defensive rebound by Team
6:03.0,Loose ball foul by A. Len (drawn by Z. Randolph),,85-80,,
5:49.0,,,85-82,2,Z. Randolph makes 2-pt shot from 1 ft
5:44.0,Phoenix full timeout,,85-82,,
5:44.0,T. Chandler enters the game for A. Len,,85-82,,
5:44.0,J. Jackson enters the game for T. Daniels,,85-82,,
5:32.0,Turnover by D. Bender (bad pass; steal by Z. Randolph),,85-82,,
5:28.0,,,85-82,,B. Hield misses 2-pt shot from 1 ft
5:26.0,Defensive rebound by T. Ulis,,85-82,,
5:10.0,J. Jackson misses 2-pt shot from 5 ft,,85-82,,
5:07.0,Offensive rebound by J. Jackson,,85-82,,
5:07.0,J. Jackson misses 2-pt shot at rim,,85-82,,
5:07.0,Offensive rebound by J. Jackson,,85-82,,
5:07.0,J. Jackson misses 2-pt shot at rim,,85-82,,
5:07.0,Offensive rebound by Team,,85-82,,
5:07.0,,,85-82,,G. Hill enters the game for W. Cauley-Stein
5:02.0,Turnover by T. Warren (bad pass; steal by B. Bogdanovic),,85-82,,
4:53.0,,,85-84,2,Z. Randolph makes 2-pt shot from 4 ft
4:42.0,T. Chandler misses 2-pt shot from 5 ft,,85-84,,
4:39.0,,,85-84,,Defensive rebound by B. Bogdanovic
4:25.0,,,85-86,2,G. Hill makes 2-pt shot from 2 ft (assist by Z. Randolph)
4:09.0,,,85-86,,Personal foul by Z. Randolph (drawn by T. Chandler)
4:09.0,M. James enters the game for D. Bender,,85-86,,
3:54.0,T. Warren misses 2-pt shot from 8 ft,,85-86,,
3:52.0,,,85-86,,Defensive rebound by F. Mason
3:46.0,,,85-89,3,B. Hield makes 3-pt shot from 24 ft (assist by F. Mason)
3:45.0,Phoenix full timeout,,85-89,,
3:32.0,M. James misses 3-pt shot from 24 ft,,85-89,,
3:28.0,Offensive rebound by T. Warren,,85-89,,
3:11.0,M. James misses 2-pt shot from 21 ft,,85-89,,
3:07.0,,,85-89,,Defensive rebound by F. Mason
2:52.0,,,85-89,,Shooting foul by T. Chandler (drawn by Z. Randolph)
2:52.0,,,85-90,1,Z. Randolph makes free throw 1 of 2
2:52.0,,,85-91,1,Z. Randolph makes free throw 2 of 2
2:43.0,,,85-91,,Personal foul by B. Bogdanovic (drawn by T. Warren)
2:35.0,J. Jackson misses 2-pt shot from 8 ft,,85-91,,
2:33.0,,,85-91,,Defensive rebound by B. Bogdanovic
2:17.0,,,85-91,,Turnover by F. Mason (turnover)
