time,LA Clippers,pts.away,score,pts.home,Indiana
7:56.0,L. Williams misses 2-pt shot from 21 ft,,37-34,,
7:53.0,,,37-34,,Defensive rebound by Team
7:44.0,,,37-34,,B. Bogdanovic misses 3-pt shot from 26 ft
7:39.0,,,37-34,,Offensive rebound by T. Booker
7:39.0,,,37-36,2,T. Booker makes 2-pt shot at rim
7:27.0,M. Harrell makes 2-pt shot from 3 ft (assist by L. Williams),2,39-36,,
7:11.0,,,39-36,,T. Booker misses 2-pt shot from 2 ft
7:09.0,,,39-36,,Offensive rebound by L. Stephenson
7:09.0,,,39-38,2,L. Stephenson makes 2-pt shot at rim
7:03.0,L. Williams misses 3-pt shot from 25 ft,,39-38,,
6:58.0,,,39-38,,Defensive rebound by C. Joseph
6:52.0,,,39-40,2,B. Bogdanovic makes 2-pt shot from 1 ft (assist by C. Joseph)
6:52.0,LA Clippers full timeout,,39-40,,
6:52.0,,,39-40,,T. Young enters the game for T. Booker
6:52.0,,,39-40,,M. Turner enters the game for B. Bogdanovic
6:52.0,T. Harris enters the game for S. Dekker,,39-40,,
6:41.0,L. Williams makes 2-pt shot from 14 ft,2,41-40,,
6:24.0,,,41-42,2,G. Robinson makes 2-pt shot at rim (assist by L. Stephenson)
6:09.0,W. Johnson misses 2-pt shot from 19 ft,,41-42,,
6:06.0,,,41-42,,Defensive rebound by L. Stephenson
6:01.0,,,41-42,,Offensive charge foul by L. Stephenson (drawn by M. Teodosic)
6:01.0,,,41-42,,Turnover by L. Stephenson (offensive foul)
6:01.0,D. Jordan enters the game for M. Harrell,,41-42,,
6:01.0,,,41-42,,V. Oladipo enters the game for G. Robinson
6:01.0,A. Rivers enters the game for W. Johnson,,41-42,,
5:53.0,M. Teodosic makes 2-pt shot from 11 ft,2,43-42,,
5:30.0,,,43-42,,Turnover by T. Young (out of bounds lost ball)
5:11.0,Turnover by T. Harris (bad pass; steal by V. Oladipo),,43-42,,
5:05.0,,,43-44,2,L. Stephenson makes 2-pt shot at rim (assist by V. Oladipo)
4:54.0,Offensive foul by D. Jordan (drawn by V. Oladipo),,43-44,,
4:54.0,Turnover by D. Jordan (offensive foul),,43-44,,
4:44.0,,,43-46,2,M. Turner makes 2-pt shot at rim (assist by C. Joseph)
4:23.0,A. Rivers misses 3-pt shot from 22 ft,,43-46,,
4:20.0,,,43-46,,Defensive rebound by C. Joseph
4:08.0,,,43-46,,L. Stephenson misses 3-pt shot from 27 ft
4:05.0,Defensive rebound by L. Williams,,43-46,,
3:56.0,L. Williams makes 2-pt shot from 2 ft,2,45-46,,
3:41.0,,,45-46,,V. Oladipo misses 2-pt shot from 1 ft
3:40.0,,,45-46,,Offensive rebound by V. Oladipo
3:35.0,,,45-46,,V. Oladipo misses 3-pt shot from 26 ft
3:33.0,Defensive rebound by L. Williams,,45-46,,
3:21.0,T. Harris makes 2-pt shot from 1 ft,2,47-46,,
3:01.0,,,47-48,2,C. Joseph makes 2-pt shot from 6 ft
2:46.0,,,47-48,,Def 3 sec tech foul by L. Stephenson
2:46.0,L. Williams makes technical free throw,1,48-48,,
2:46.0,,,48-48,,B. Bogdanovic enters the game for L. Stephenson
2:44.0,M. Teodosic misses 3-pt shot from 26 ft,,48-48,,
2:41.0,,,48-48,,Defensive rebound by T. Young
2:36.0,,,48-51,3,C. Joseph makes 3-pt shot from 27 ft (assist by B. Bogdanovic)
2:26.0,T. Harris makes 2-pt shot from 2 ft,2,50-51,,
2:11.0,,,50-51,,M. Turner misses 2-pt shot from 1 ft (block by T. Harris)
2:11.0,Defensive rebound by Team,,50-51,,
2:11.0,W. Johnson enters the game for M. Teodosic,,50-51,,
2:00.0,,,50-51,,Personal foul by M. Turner (drawn by D. Jordan)
1:54.0,T. Harris misses 2-pt shot from 2 ft (block by M. Turner),,50-51,,
1:54.0,Offensive rebound by Team,,50-51,,
1:46.0,T. Harris misses 3-pt shot from 26 ft,,50-51,,
1:43.0,,,50-51,,Defensive rebound by C. Joseph
1:35.0,,,50-53,2,T. Young makes 2-pt shot from 10 ft (assist by C. Joseph)
1:20.0,L. Williams makes 3-pt shot from 24 ft (assist by D. Jordan),3,53-53,,
0:55.0,,,53-53,,Shooting foul by D. Jordan (drawn by M. Turner)
0:55.0,,,53-54,1,M. Turner makes free throw 1 of 2
0:55.0,M. Harrell enters the game for D. Jordan,,53-54,,
0:55.0,,,53-55,1,M. Turner makes free throw 2 of 2
0:39.0,T. Harris misses 2-pt shot from 8 ft,,53-55,,
0:35.0,,,53-55,,Defensive rebound by T. Young
0:31.0,,,53-55,,V. Oladipo misses 3-pt shot from 29 ft
0:28.0,,,53-55,,Offensive rebound by B. Bogdanovic
0:28.0,,,53-57,2,B. Bogdanovic makes 2-pt shot from 3 ft
0:28.0,,,53-57,,Shooting foul by A. Rivers (drawn by B. Bogdanovic)
0:28.0,,,53-58,1,B. Bogdanovic makes free throw 1 of 1
0:08.0,L. Williams misses 3-pt shot from 27 ft,,53-58,,
0:03.0,Offensive rebound by M. Harrell,,53-58,,
0:01.0,Turnover by T. Harris (lost ball; steal by C. Joseph),,53-58,,
0:00.0,,,53-58,,C. Joseph misses 3-pt shot from 46 ft
0:00.0,,,53-58,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,53-61,3,V. Oladipo makes 3-pt shot from 26 ft
11:22.0,T. Harris misses 3-pt shot from 25 ft,,53-61,,
11:19.0,,,53-61,,Defensive rebound by V. Oladipo
11:10.0,,,53-63,2,M. Turner makes 2-pt shot from 21 ft (assist by B. Bogdanovic)
10:57.0,M. Teodosic misses 3-pt shot from 23 ft,,53-63,,
10:54.0,Offensive rebound by W. Johnson,,53-63,,
10:38.0,A. Rivers misses 3-pt shot from 28 ft,,53-63,,
10:36.0,Offensive rebound by D. Jordan,,53-63,,
10:35.0,D. Jordan makes 2-pt shot at rim,2,55-63,,
10:22.0,Personal foul by M. Teodosic (drawn by T. Young),,55-63,,
10:18.0,,,55-66,3,V. Oladipo makes 3-pt shot from 25 ft (assist by D. Collison)
10:06.0,M. Teodosic makes 2-pt shot from 18 ft,2,57-66,,
9:52.0,Personal foul by W. Johnson (drawn by V. Oladipo),,57-66,,
9:46.0,,,57-68,2,V. Oladipo makes 2-pt shot from 17 ft (assist by D. Collison)
9:34.0,Turnover by M. Teodosic (bad pass; steal by M. Turner),,57-68,,
9:32.0,,,57-68,,Turnover by B. Bogdanovic (step out of bounds)
9:11.0,A. Rivers misses 3-pt shot from 23 ft,,57-68,,
9:08.0,,,57-68,,Defensive rebound by B. Bogdanovic
9:02.0,,,57-70,2,T. Young makes 2-pt shot from 1 ft
9:02.0,LA Clippers full timeout,,57-70,,
8:49.0,LA Clippers full timeout,,57-70,,
8:38.0,W. Johnson misses 2-pt shot from 20 ft,,57-70,,
8:35.0,,,57-70,,Defensive rebound by B. Bogdanovic
8:14.0,,,57-70,,M. Turner misses 2-pt shot from 6 ft
8:13.0,Defensive rebound by D. Jordan,,57-70,,
8:05.0,A. Rivers misses 2-pt shot at rim (block by V. Oladipo),,57-70,,
8:01.0,,,57-70,,Defensive rebound by B. Bogdanovic
7:52.0,,,57-70,,B. Bogdanovic misses 2-pt shot from 9 ft
7:49.0,,,57-70,,Offensive rebound by M. Turner
7:49.0,,,57-70,,M. Turner misses 2-pt shot at rim
7:49.0,,,57-70,,Offensive rebound by Team
7:49.0,S. Thornwell enters the game for W. Johnson,,57-70,,
7:43.0,,,57-70,,V. Oladipo misses 3-pt shot from 27 ft
7:41.0,Defensive rebound by M. Teodosic,,57-70,,
7:25.0,,,57-70,,Personal foul by D. Collison (drawn by T. Harris)
7:20.0,,,57-70,,Personal foul by M. Turner (drawn by D. Jordan)
7:12.0,Turnover by M. Teodosic (lost ball; steal by M. Turner),,57-70,,
7:07.0,,,57-72,2,B. Bogdanovic makes 2-pt shot at rim (assist by D. Collison)
6:44.0,L. Williams enters the game for M. Teodosic,,57-72,,
6:42.0,T. Harris misses 3-pt shot from 25 ft,,57-72,,
6:40.0,,,57-72,,Defensive rebound by V. Oladipo
6:20.0,,,57-75,3,B. Bogdanovic makes 3-pt shot from 26 ft
6:04.0,L. Williams makes 3-pt shot from 26 ft (assist by A. Rivers),3,60-75,,
5:37.0,Loose ball foul by L. Williams (drawn by B. Bogdanovic),,60-75,,
5:31.0,,,60-75,,Turnover by D. Collison (bad pass)
5:23.0,T. Harris makes 2-pt shot from 12 ft (assist by A. Rivers),2,62-75,,
5:06.0,,,62-77,2,B. Bogdanovic makes 2-pt shot from 17 ft (assist by V. Oladipo)
4:59.0,Shooting foul by M. Turner (drawn by L. Williams),,62-77,,
4:59.0,L. Williams makes free throw 1 of 2,1,63-77,,
4:59.0,,,63-77,,C. Joseph enters the game for B. Bogdanovic
4:59.0,L. Williams makes free throw 2 of 2,1,64-77,,
4:45.0,,,64-77,,V. Oladipo misses 3-pt shot from 23 ft
4:42.0,,,64-77,,Offensive rebound by V. Oladipo
4:34.0,,,64-77,,T. Young misses 2-pt shot from 5 ft
4:32.0,Defensive rebound by D. Jordan,,64-77,,
4:09.0,D. Jordan makes 2-pt shot at rim (assist by A. Rivers),2,66-77,,
4:08.0,,,66-77,,Indiana full timeout
3:53.0,,,66-77,,Turnover by M. Turner (lost ball; steal by A. Rivers)
3:51.0,S. Thornwell misses 2-pt shot from 2 ft,,66-77,,
3:50.0,Offensive rebound by D. Jordan,,66-77,,
3:50.0,D. Jordan makes 2-pt shot at rim,2,68-77,,
3:32.0,,,68-80,3,T. Young makes 3-pt shot from 23 ft (assist by D. Collison)
3:20.0,A. Rivers makes 3-pt shot from 24 ft (assist by L. Williams),3,71-80,,
2:59.0,,,71-82,2,D. Collison makes 2-pt shot from 20 ft
2:44.0,T. Harris makes 3-pt shot from 28 ft (assist by A. Rivers),3,74-82,,
2:28.0,,,74-82,,T. Young misses 3-pt shot from 23 ft
2:28.0,Defensive rebound by D. Jordan,,74-82,,
2:16.0,A. Rivers misses 2-pt shot from 1 ft,,74-82,,
2:13.0,,,74-82,,Defensive rebound by T. Young
2:06.0,Personal foul by S. Thornwell (drawn by C. Joseph),,74-82,,
2:06.0,,,74-82,,G. Robinson enters the game for D. Collison
2:06.0,,,74-82,,T. Booker enters the game for M. Turner
2:06.0,M. Teodosic enters the game for T. Harris,,74-82,,
2:06.0,S. Dekker enters the game for A. Rivers,,74-82,,
1:53.0,,,74-82,,V. Oladipo misses 2-pt shot at rim
1:51.0,Defensive rebound by D. Jordan,,74-82,,
1:46.0,,,74-82,,Personal foul by C. Joseph (drawn by L. Williams)
1:46.0,,,74-82,,L. Stephenson enters the game for V. Oladipo
1:39.0,L. Williams misses 2-pt shot from 20 ft,,74-82,,
1:35.0,,,74-82,,Defensive rebound by L. Stephenson
1:18.0,,,74-82,,G. Robinson misses 2-pt shot from 18 ft
1:15.0,Defensive rebound by S. Thornwell,,74-82,,
1:13.0,Turnover by S. Thornwell (bad pass),,74-82,,
1:13.0,,,74-82,,B. Bogdanovic enters the game for T. Young
1:13.0,M. Harrell enters the game for D. Jordan,,74-82,,
0:59.0,,,74-82,,G. Robinson misses 2-pt shot from 1 ft
