time,Utah,pts.away,score,pts.home,Phoenix
6:21.0,J. Johnson enters the game for D. Favors,,6-10,,
6:05.0,,,6-12,2,M. Chriss makes 2-pt shot at rim (assist by D. Booker)
5:53.0,R. Rubio makes 2-pt shot from 15 ft,2,8-12,,
5:34.0,,,8-12,,M. James misses 2-pt shot from 2 ft
5:30.0,,,8-12,,Offensive rebound by T. Chandler
5:30.0,,,8-14,2,T. Chandler makes 2-pt shot at rim
5:26.0,R. Rubio misses 2-pt shot from 1 ft,,8-14,,
5:26.0,Offensive rebound by Team,,8-14,,
5:26.0,,,8-14,,Loose ball foul by T. Chandler (drawn by R. Gobert)
5:26.0,,,8-14,,J. Jackson enters the game for T. Warren
5:24.0,R. Hood misses 2-pt shot from 10 ft,,8-14,,
5:20.0,,,8-14,,Defensive rebound by D. Booker
5:14.0,,,8-14,,Turnover by J. Jackson (lost ball; steal by J. Ingles)
5:14.0,,,8-14,,Personal foul by J. Jackson (drawn by R. Gobert)
5:14.0,D. Mitchell enters the game for J. Ingles,,8-14,,
5:14.0,T. Sefolosha enters the game for R. Hood,,8-14,,
5:00.0,D. Mitchell misses 3-pt shot from 25 ft,,8-14,,
4:58.0,,,8-14,,Defensive rebound by M. Chriss
4:52.0,,,8-17,3,M. James makes 3-pt shot from 24 ft
4:33.0,D. Mitchell misses 3-pt shot from 23 ft,,8-17,,
4:32.0,,,8-17,,Defensive rebound by M. James
4:29.0,,,8-17,,Turnover by D. Booker (out of bounds lost ball)
4:29.0,,,8-17,,A. Len enters the game for T. Chandler
4:20.0,R. Rubio makes 2-pt shot at rim,2,10-17,,
4:06.0,,,10-17,,J. Jackson misses 2-pt shot from 7 ft
4:04.0,Defensive rebound by R. Gobert,,10-17,,
3:48.0,R. Rubio misses 2-pt shot from 16 ft,,10-17,,
3:46.0,,,10-17,,Defensive rebound by M. Chriss
3:36.0,,,10-17,,M. James misses 3-pt shot from 24 ft
3:34.0,Defensive rebound by R. Gobert,,10-17,,
3:19.0,R. Gobert makes 2-pt shot at rim (assist by D. Mitchell),2,12-17,,
3:19.0,,,12-17,,Phoenix full timeout
3:19.0,,,12-17,,T. Ulis enters the game for M. Chriss
3:19.0,,,12-17,,D. Bender enters the game for M. James
3:19.0,E. Udoh enters the game for R. Rubio,,12-17,,
3:19.0,R. Neto enters the game for R. Gobert,,12-17,,
3:10.0,,,12-17,,Offensive foul by A. Len (drawn by D. Mitchell)
3:10.0,,,12-17,,Turnover by A. Len (offensive foul)
2:51.0,D. Mitchell misses 2-pt shot from 1 ft,,12-17,,
2:49.0,,,12-17,,Defensive rebound by J. Jackson
2:43.0,,,12-17,,J. Jackson misses 2-pt shot from 18 ft
2:39.0,Defensive rebound by R. Neto,,12-17,,
2:34.0,Turnover by T. Sefolosha (out of bounds lost ball),,12-17,,
2:23.0,,,12-17,,T. Ulis misses 2-pt shot from 1 ft (block by E. Udoh)
2:23.0,,,12-17,,Offensive rebound by A. Len
2:23.0,,,12-17,,Shooting foul by D. Mitchell (drawn by A. Len)
2:23.0,,,12-18,1,A. Len makes free throw 1 of 2
2:23.0,,,12-18,,T. Daniels enters the game for D. Booker
2:23.0,,,12-18,,A. Len misses free throw 2 of 2
2:20.0,Defensive rebound by E. Udoh,,12-18,,
1:59.0,J. Johnson misses 3-pt shot from 23 ft,,12-18,,
1:55.0,,,12-18,,Defensive rebound by J. Jackson
1:51.0,,,12-18,,Turnover by D. Bender (bad pass; steal by D. Mitchell)
1:49.0,,,12-18,,Violation by J. Jackson (kicked ball)
1:41.0,Shooting foul by J. Jackson (drawn by T. Sefolosha),,12-18,,
1:41.0,T. Sefolosha makes free throw 1 of 2,1,13-18,,
1:41.0,T. Sefolosha misses free throw 2 of 2,,13-18,,
1:39.0,,,13-18,,Defensive rebound by A. Len
1:27.0,,,13-18,,J. Jackson misses 3-pt shot from 23 ft
1:25.0,Defensive rebound by D. Mitchell,,13-18,,
1:08.0,J. Johnson misses 2-pt shot from 19 ft,,13-18,,
1:04.0,,,13-18,,Defensive rebound by J. Jackson
0:52.0,,,13-20,2,T. Daniels makes 2-pt shot at rim (assist by T. Ulis)
0:40.0,J. Johnson misses 2-pt shot from 9 ft,,13-20,,
0:37.0,Offensive rebound by J. Johnson,,13-20,,
0:29.0,Turnover by D. Mitchell (traveling),,13-20,,
0:06.0,,,13-23,3,T. Daniels makes 3-pt shot from 25 ft
0:00.0,Turnover by T. Sefolosha (lost ball; steal by D. Bender),,13-23,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:52.0,D. Favors makes 2-pt shot at rim (assist by R. Neto),2,15-23,,
11:52.0,Shooting foul by T. Ulis (drawn by D. Favors),,15-23,,
11:52.0,D. Favors misses free throw 1 of 1,,15-23,,
11:49.0,,,15-23,,Defensive rebound by J. Jackson
11:32.0,Personal foul by D. Mitchell (drawn by A. Len),,15-23,,
11:23.0,,,15-26,3,D. Bender makes 3-pt shot from 23 ft (assist by T. Daniels)
11:02.0,Offensive charge foul by J. Ingles (drawn by J. Jackson),,15-26,,
11:02.0,Turnover by J. Ingles (offensive foul),,15-26,,
11:02.0,R. Hood enters the game for D. Mitchell,,15-26,,
10:46.0,,,15-26,,T. Ulis misses 2-pt shot from 2 ft (block by R. Neto)
10:40.0,,,15-26,,Offensive rebound by A. Len
10:39.0,,,15-28,2,A. Len makes 2-pt shot at rim
10:34.0,,,15-28,,Personal foul by T. Daniels (drawn by R. Hood)
10:20.0,R. Hood misses 3-pt shot from 25 ft,,15-28,,
10:16.0,,,15-28,,Defensive rebound by A. Len
10:07.0,,,15-30,2,A. Len makes 2-pt shot from 5 ft (assist by D. Bender)
10:00.0,Offensive charge foul by R. Neto (drawn by T. Ulis),,15-30,,
10:00.0,Turnover by R. Neto (offensive foul),,15-30,,
9:42.0,,,15-32,2,A. Len makes 2-pt shot at rim (assist by J. Jackson)
9:42.0,Utah full timeout,,15-32,,
9:29.0,R. Hood makes 2-pt shot from 19 ft (assist by R. Neto),2,17-32,,
9:13.0,,,17-34,2,T. Ulis makes 2-pt shot at rim
9:07.0,R. Hood makes 2-pt shot from 1 ft,2,19-34,,
8:51.0,,,19-34,,Offensive foul by T. Daniels (drawn by R. Hood)
8:51.0,,,19-34,,Turnover by T. Daniels (offensive foul)
8:51.0,R. Rubio enters the game for R. Neto,,19-34,,
8:51.0,R. Gobert enters the game for E. Udoh,,19-34,,
8:38.0,J. Ingles misses 3-pt shot from 25 ft,,19-34,,
8:35.0,,,19-34,,Defensive rebound by D. Bender
8:27.0,,,19-34,,D. Bender misses 3-pt shot from 25 ft
8:24.0,Defensive rebound by J. Ingles,,19-34,,
8:14.0,R. Rubio misses 3-pt shot from 25 ft,,19-34,,
8:11.0,Offensive rebound by R. Rubio,,19-34,,
8:09.0,R. Rubio makes 2-pt shot from 19 ft,2,21-34,,
7:59.0,,,21-36,2,J. Jackson makes 2-pt shot from 1 ft
7:43.0,R. Hood makes 2-pt shot from 17 ft (assist by R. Rubio),2,23-36,,
7:43.0,Shooting foul by T. Daniels (drawn by R. Hood),,23-36,,
7:43.0,,,23-36,,D. Booker enters the game for T. Daniels
7:43.0,R. Hood makes free throw 1 of 1,1,24-36,,
7:35.0,,,24-36,,J. Jackson misses 3-pt shot from 25 ft
7:33.0,Defensive rebound by J. Ingles,,24-36,,
7:24.0,R. Gobert makes 2-pt shot at rim (assist by D. Favors),2,26-36,,
7:11.0,,,26-36,,A. Len misses 2-pt shot at rim (block by R. Gobert)
7:09.0,Defensive rebound by R. Gobert,,26-36,,
7:06.0,Turnover by R. Hood (discontinued dribble),,26-36,,
7:06.0,,,26-36,,M. Chriss enters the game for D. Bender
6:50.0,,,26-38,2,T. Ulis makes 2-pt shot from 19 ft
6:32.0,Turnover by R. Rubio (discontinued dribble),,26-38,,
6:32.0,,,26-38,,T. Chandler enters the game for A. Len
6:18.0,,,26-40,2,T. Ulis makes 2-pt shot from 19 ft
5:53.0,R. Rubio misses 2-pt shot from 16 ft (block by M. Chriss),,26-40,,
5:49.0,Offensive rebound by D. Favors,,26-40,,
5:49.0,J. Ingles misses 2-pt shot from 18 ft,,26-40,,
5:49.0,,,26-40,,Defensive rebound by M. Chriss
5:45.0,,,26-40,,Turnover by M. Chriss (bad pass; steal by R. Rubio)
5:41.0,R. Rubio makes 2-pt shot at rim,2,28-40,,
5:34.0,Personal block foul by R. Rubio (drawn by D. Booker),,28-40,,
5:34.0,,,28-40,,T. Warren enters the game for T. Ulis
5:34.0,,,28-40,,M. James enters the game for J. Jackson
5:34.0,T. Sefolosha enters the game for J. Ingles,,28-40,,
5:21.0,,,28-40,,T. Warren misses 2-pt shot from 9 ft
5:19.0,Defensive rebound by R. Gobert,,28-40,,
5:12.0,R. Hood misses 2-pt shot from 20 ft,,28-40,,
5:08.0,,,28-40,,Defensive rebound by M. James
5:03.0,,,28-40,,Turnover by M. James (bad pass; steal by R. Rubio)
4:59.0,Shooting foul by T. Chandler (drawn by R. Gobert),,28-40,,
4:59.0,R. Gobert makes free throw 1 of 2,1,29-40,,
4:59.0,D. Mitchell enters the game for R. Hood,,29-40,,
4:59.0,J. Johnson enters the game for D. Favors,,29-40,,
4:59.0,R. Gobert makes free throw 2 of 2,1,30-40,,
4:49.0,,,30-40,,D. Booker misses 2-pt shot from 15 ft
4:46.0,Defensive rebound by J. Johnson,,30-40,,
4:41.0,Shooting foul by M. James (drawn by R. Rubio),,30-40,,
4:41.0,R. Rubio makes free throw 1 of 2,1,31-40,,
4:41.0,R. Rubio makes free throw 2 of 2,1,32-40,,
4:25.0,,,32-40,,M. James misses 2-pt shot from 4 ft (block by R. Gobert)
4:23.0,,,32-40,,Offensive rebound by D. Booker
4:22.0,,,32-42,2,D. Booker makes 2-pt shot from 12 ft
4:08.0,R. Gobert makes 2-pt shot from 16 ft (assist by R. Rubio),2,34-42,,
3:45.0,,,34-42,,D. Booker misses 3-pt shot from 24 ft
3:44.0,Defensive rebound by R. Gobert,,34-42,,
3:26.0,D. Mitchell misses 2-pt shot from 15 ft,,34-42,,
3:22.0,,,34-42,,Defensive rebound by M. Chriss
3:14.0,,,34-42,,Phoenix full timeout
3:14.0,R. Hood enters the game for D. Mitchell,,34-42,,
3:08.0,,,34-42,,T. Warren misses 2-pt shot from 1 ft (block by J. Johnson)
3:08.0,,,34-42,,Offensive rebound by T. Chandler
3:08.0,,,34-42,,T. Chandler misses 2-pt shot at rim
3:08.0,,,34-42,,Offensive rebound by Team
3:05.0,,,34-42,,Turnover by T. Chandler (offensive goaltending)
2:55.0,,,34-42,,T. Ulis enters the game for M. James
2:52.0,R. Hood makes 3-pt shot from 25 ft (assist by J. Johnson),3,37-42,,
2:40.0,,,37-42,,Shooting foul by R. Gobert (drawn by T. Warren)
2:40.0,,,37-42,,T. Warren misses free throw 1 of 2
2:40.0,,,37-42,,Offensive rebound by Team
2:40.0,,,37-43,1,T. Warren makes free throw 2 of 2
2:32.0,Shooting foul by D. Booker (drawn by R. Hood),,37-43,,
2:32.0,R. Hood makes free throw 1 of 3,1,38-43,,
2:32.0,R. Hood makes free throw 2 of 3,1,39-43,,
2:32.0,R. Hood makes free throw 3 of 3,1,40-43,,
2:25.0,,,40-43,,Turnover by D. Booker (bad pass; steal by R. Rubio)
2:21.0,R. Rubio misses 2-pt shot at rim,,40-43,,
2:19.0,,,40-43,,Defensive rebound by D. Booker
2:00.0,,,40-46,3,T. Ulis makes 3-pt shot from 31 ft (assist by T. Warren)
1:36.0,J. Johnson misses 3-pt shot from 23 ft,,40-46,,
1:33.0,,,40-46,,Defensive rebound by T. Warren
1:22.0,,,40-46,,M. Chriss misses 2-pt shot at rim
1:20.0,Defensive rebound by J. Johnson,,40-46,,
1:07.0,R. Rubio misses 2-pt shot from 16 ft,,40-46,,
1:05.0,Offensive rebound by Team,,40-46,,
0:59.0,Shooting foul by T. Chandler (drawn by R. Gobert),,40-46,,
0:59.0,R. Gobert makes free throw 1 of 2,1,41-46,,
0:59.0,,,41-46,,A. Len enters the game for T. Chandler
0:59.0,R. Gobert misses free throw 2 of 2,,41-46,,
0:57.0,,,41-46,,Defensive rebound by M. Chriss
0:43.0,,,41-46,,T. Warren misses 3-pt shot from 23 ft
0:42.0,,,41-46,,Offensive rebound by Team
0:40.0,,,41-46,,Shooting foul by R. Gobert (drawn by T. Warren)
0:40.0,,,41-47,1,T. Warren makes free throw 1 of 2
0:40.0,J. Ingles enters the game for T. Sefolosha,,41-47,,
0:40.0,,,41-48,1,T. Warren makes free throw 2 of 2
0:22.0,Turnover by R. Rubio (out of bounds lost ball),,41-48,,
0:22.0,T. Sefolosha enters the game for J. Ingles,,41-48,,
0:08.0,,,41-48,,Offensive foul by D. Booker (drawn by R. Rubio)
0:08.0,,,41-48,,Turnover by D. Booker (offensive foul)
0:08.0,,,41-48,,J. Jackson enters the game for M. Chriss
0:08.0,J. Ingles enters the game for T. Sefolosha,,41-48,,
0:00.0,R. Hood misses 3-pt shot from 25 ft,,41-48,,
0:00.0,Offensive rebound by Team,,41-48,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,Turnover by R. Rubio (bad pass),,41-48,,
11:35.0,,,41-50,2,T. Warren makes 2-pt shot from 18 ft (assist by M. Chriss)
11:19.0,R. Rubio misses 2-pt shot from 17 ft,,41-50,,
11:16.0,,,41-50,,Defensive rebound by T. Chandler
11:02.0,,,41-52,2,T. Warren makes 2-pt shot from 12 ft
10:45.0,R. Gobert misses 2-pt shot from 3 ft,,41-52,,
10:43.0,,,41-52,,Defensive rebound by D. Booker
10:33.0,,,41-52,,M. Chriss misses 3-pt shot from 23 ft
10:30.0,Defensive rebound by R. Rubio,,41-52,,
10:20.0,,,41-52,,Personal foul by M. Chriss (drawn by D. Favors)
10:12.0,R. Gobert makes 2-pt shot from 1 ft (assist by R. Rubio),2,43-52,,
10:01.0,,,43-54,2,T. Warren makes 2-pt shot at rim (assist by T. Chandler)
9:53.0,,,43-54,,Personal foul by T. Warren (drawn by J. Ingles)
9:43.0,Shooting foul by T. Warren (drawn by D. Favors),,43-54,,
9:43.0,D. Favors misses free throw 1 of 2,,43-54,,
9:43.0,Offensive rebound by Team,,43-54,,
9:43.0,D. Favors misses free throw 2 of 2,,43-54,,
9:41.0,,,43-54,,Defensive rebound by T. Warren
9:39.0,Personal foul by R. Hood (drawn by D. Booker),,43-54,,
9:25.0,,,43-54,,Turnover by T. Warren (bad pass; steal by J. Ingles)
9:19.0,R. Hood misses 3-pt shot from 22 ft,,43-54,,
9:17.0,,,43-54,,Defensive rebound by M. James
9:14.0,,,43-54,,M. James misses 2-pt shot from 5 ft
9:14.0,Defensive rebound by R. Gobert,,43-54,,
9:07.0,R. Hood makes 3-pt shot from 25 ft (assist by R. Rubio),3,46-54,,
8:42.0,,,46-56,2,T. Warren makes 2-pt shot from 23 ft (assist by T. Chandler)
8:31.0,Shooting foul by T. Chandler (drawn by R. Gobert),,46-56,,
8:31.0,R. Gobert makes free throw 1 of 2,1,47-56,,
8:31.0,,,47-56,,D. Bender enters the game for T. Chandler
8:31.0,,,47-56,,A. Len enters the game for M. Chriss
8:31.0,T. Sefolosha enters the game for J. Ingles,,47-56,,
8:31.0,R. Gobert makes free throw 2 of 2,1,48-56,,
8:13.0,,,48-56,,Turnover by A. Len (traveling)
8:01.0,,,48-56,,Personal foul by D. Bender (drawn by D. Favors)
8:01.0,D. Favors makes free throw 1 of 2,1,49-56,,
8:01.0,D. Favors misses free throw 2 of 2,,49-56,,
7:59.0,,,49-56,,Defensive rebound by D. Bender
7:49.0,,,49-56,,M. James misses 2-pt shot from 1 ft
7:47.0,Defensive rebound by T. Sefolosha,,49-56,,
7:44.0,Turnover by R. Gobert (traveling),,49-56,,
7:26.0,,,49-59,3,D. Booker makes 3-pt shot from 27 ft (assist by M. James)
7:14.0,Offensive foul by T. Sefolosha (drawn by D. Booker),,49-59,,
7:14.0,Turnover by T. Sefolosha (offensive foul),,49-59,,
7:14.0,J. Ingles enters the game for T. Sefolosha,,49-59,,
7:00.0,,,49-59,,T. Warren misses 2-pt shot from 18 ft
6:58.0,Defensive rebound by J. Ingles,,49-59,,
6:51.0,J. Ingles misses 2-pt shot from 5 ft (block by D. Bender),,49-59,,
6:49.0,,,49-59,,Defensive rebound by T. Warren
6:46.0,,,49-61,2,T. Warren makes 2-pt shot from 1 ft
6:46.0,Violation by R. Hood (def goaltending),,49-61,,
6:34.0,Turnover by R. Gobert (bad pass; steal by T. Warren),,49-61,,
6:27.0,,,49-63,2,D. Booker makes 2-pt shot from 18 ft
6:09.0,R. Gobert misses 2-pt shot from 3 ft,,49-63,,
6:06.0,,,49-63,,Defensive rebound by A. Len
5:54.0,,,49-63,,T. Warren misses 2-pt shot from 15 ft
5:52.0,Defensive rebound by D. Favors,,49-63,,
5:42.0,D. Favors makes 2-pt shot from 15 ft (assist by R. Rubio),2,51-63,,
5:32.0,,,51-63,,Phoenix full timeout
5:32.0,,,51-63,,T. Ulis enters the game for T. Warren
5:32.0,,,51-63,,J. Jackson enters the game for M. James
5:17.0,,,51-65,2,T. Ulis makes 2-pt shot from 19 ft
4:58.0,R. Rubio misses 3-pt shot from 26 ft,,51-65,,
4:55.0,,,51-65,,Defensive rebound by J. Jackson
4:43.0,,,51-67,2,D. Booker makes 2-pt shot from 5 ft
4:24.0,Offensive foul by D. Favors (drawn by D. Bender),,51-67,,
4:24.0,Turnover by D. Favors (offensive foul),,51-67,,
4:24.0,R. Neto enters the game for R. Rubio,,51-67,,
4:07.0,,,51-67,,D. Booker misses 2-pt shot from 12 ft
4:04.0,,,51-67,,Offensive rebound by A. Len
4:00.0,,,51-67,,D. Booker misses 2-pt shot from 12 ft
3:57.0,Defensive rebound by R. Gobert,,51-67,,
3:56.0,Turnover by R. Gobert (bad pass),,51-67,,
3:56.0,J. Johnson enters the game for R. Hood,,51-67,,
3:56.0,D. Mitchell enters the game for D. Favors,,51-67,,
3:50.0,,,51-67,,A. Len misses 2-pt shot from 4 ft (block by R. Gobert)
3:47.0,,,51-67,,Offensive rebound by A. Len
3:47.0,,,51-67,,A. Len misses 2-pt shot at rim (block by D. Mitchell)
3:47.0,Defensive rebound by R. Neto,,51-67,,
3:41.0,Turnover by R. Neto (bad pass; steal by J. Jackson),,51-67,,
3:41.0,Personal take foul by D. Mitchell (drawn by J. Jackson),,51-67,,
3:32.0,,,51-69,2,T. Ulis makes 2-pt shot from 12 ft
3:19.0,J. Ingles makes 2-pt shot from 1 ft,2,53-69,,
3:19.0,Shooting foul by J. Jackson (drawn by J. Ingles),,53-69,,
3:19.0,,,53-69,,T. Daniels enters the game for D. Booker
3:19.0,J. Ingles makes free throw 1 of 1,1,54-69,,
3:11.0,Personal foul by J. Ingles (drawn by J. Jackson),,54-69,,
3:11.0,T. Sefolosha enters the game for J. Ingles,,54-69,,
3:03.0,,,54-71,2,J. Jackson makes 2-pt shot from 3 ft (assist by T. Ulis)
2:42.0,Turnover by D. Mitchell (step out of bounds),,54-71,,
2:42.0,Utah full timeout,,54-71,,
2:20.0,,,54-71,,T. Ulis misses 2-pt shot from 17 ft
2:17.0,Defensive rebound by T. Sefolosha,,54-71,,
2:04.0,D. Mitchell makes 2-pt shot from 14 ft,2,56-71,,
1:48.0,,,56-71,,J. Jackson misses 2-pt shot from 4 ft
1:42.0,,,56-71,,Offensive rebound by A. Len
1:42.0,,,56-71,,A. Len misses 2-pt shot at rim
1:41.0,Defensive rebound by J. Johnson,,56-71,,
1:22.0,R. Neto misses 3-pt shot from 23 ft,,56-71,,
1:21.0,Offensive rebound by R. Gobert,,56-71,,
1:21.0,Shooting foul by J. Jackson (drawn by R. Gobert),,56-71,,
1:21.0,R. Gobert makes free throw 1 of 2,1,57-71,,
1:21.0,,,57-71,,T. Warren enters the game for J. Jackson
1:21.0,R. Gobert misses free throw 2 of 2,,57-71,,
1:18.0,,,57-71,,Defensive rebound by D. Bender
1:04.0,,,57-71,,D. Bender misses 3-pt shot from 26 ft
1:00.0,Defensive rebound by R. Gobert,,57-71,,
0:55.0,D. Mitchell misses 2-pt shot from 4 ft (block by D. Bender),,57-71,,
0:51.0,,,57-71,,Defensive rebound by T. Daniels
0:51.0,,,57-71,,Turnover by D. Bender (traveling)
0:51.0,E. Udoh enters the game for R. Gobert,,57-71,,
0:36.0,J. Johnson misses 2-pt shot from 11 ft,,57-71,,
0:35.0,Offensive rebound by Team,,57-71,,
0:33.0,D. Mitchell misses 2-pt shot from 15 ft,,57-71,,
0:30.0,,,57-71,,Defensive rebound by A. Len
0:22.0,,,57-71,,T. Daniels misses 3-pt shot from 26 ft
0:19.0,Defensive rebound by J. Johnson,,57-71,,
0:15.0,J. Johnson misses 2-pt shot from 10 ft,,57-71,,
0:12.0,Offensive rebound by J. Johnson,,57-71,,
0:01.0,J. Johnson makes 2-pt shot from 18 ft,2,59-71,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,Personal foul by T. Sefolosha (drawn by T. Warren),,59-71,,
11:36.0,,,59-73,2,T. Warren makes 2-pt shot at rim
11:21.0,,,59-73,,Personal foul by T. Ulis (drawn by R. Neto)
11:13.0,Turnover by D. Mitchell (lost ball; steal by T. Ulis),,59-73,,
11:07.0,,,59-75,2,T. Warren makes 2-pt shot from 1 ft (assist by T. Ulis)
11:07.0,,,59-75,,Technical foul by T. Warren
11:07.0,J. Johnson makes technical free throw,1,60-75,,
11:07.0,R. Hood enters the game for D. Mitchell,,60-75,,
10:56.0,R. Neto misses 3-pt shot from 25 ft,,60-75,,
10:52.0,,,60-75,,Defensive rebound by T. Warren
10:30.0,,,60-77,2,T. Warren makes 2-pt shot at rim (assist by T. Ulis)
10:16.0,R. Hood makes 2-pt shot from 19 ft,2,62-77,,
10:03.0,Personal block foul by E. Udoh (drawn by T. Warren),,62-77,,
10:03.0,D. Favors enters the game for J. Johnson,,62-77,,
9:57.0,,,62-79,2,A. Len makes 2-pt shot from 2 ft (assist by T. Ulis)
9:45.0,T. Sefolosha makes 3-pt shot from 22 ft (assist by E. Udoh),3,65-79,,
9:30.0,,,65-79,,T. Ulis misses 2-pt shot from 2 ft
9:25.0,,,65-79,,Offensive rebound by A. Len
9:25.0,,,65-81,2,A. Len makes 2-pt shot at rim
9:19.0,T. Sefolosha misses 3-pt shot from 26 ft,,65-81,,
9:16.0,,,65-81,,Defensive rebound by D. Bender
9:02.0,,,65-83,2,T. Warren makes 2-pt shot from 1 ft
9:02.0,Utah full timeout,,65-83,,
9:02.0,J. Ingles enters the game for T. Sefolosha,,65-83,,
9:02.0,R. Rubio enters the game for R. Neto,,65-83,,
8:43.0,R. Hood misses 2-pt shot from 13 ft,,65-83,,
8:40.0,,,65-83,,Defensive rebound by T. Daniels
8:24.0,,,65-83,,D. Bender misses 3-pt shot from 26 ft
8:21.0,Defensive rebound by D. Favors,,65-83,,
8:12.0,D. Favors makes 2-pt shot from 7 ft (assist by R. Rubio),2,67-83,,
7:55.0,,,67-83,,Turnover by T. Ulis (bad pass; steal by J. Ingles)
7:49.0,R. Rubio makes 3-pt shot from 24 ft (assist by R. Hood),3,70-83,,
7:33.0,Personal foul by E. Udoh (drawn by A. Len),,70-83,,
7:33.0,,,70-83,,M. Chriss enters the game for A. Len
7:33.0,,,70-83,,T. Chandler enters the game for D. Bender
7:33.0,R. Gobert enters the game for E. Udoh,,70-83,,
7:28.0,,,70-85,2,T. Warren makes 2-pt shot from 20 ft (assist by M. Chriss)
7:05.0,Turnover by R. Hood (bad pass; steal by T. Ulis),,70-85,,
6:58.0,,,70-85,,Turnover by T. Daniels (bad pass; steal by R. Rubio)
6:55.0,Shooting foul by T. Ulis (drawn by R. Hood),,70-85,,
6:55.0,R. Hood makes free throw 1 of 2,1,71-85,,
6:55.0,,,71-85,,D. Booker enters the game for T. Daniels
6:55.0,R. Hood makes free throw 2 of 2,1,72-85,,
6:45.0,,,72-87,2,M. Chriss makes 2-pt shot from 13 ft (assist by D. Booker)
6:20.0,J. Ingles misses 2-pt shot from 16 ft,,72-87,,
6:17.0,Offensive rebound by D. Favors,,72-87,,
6:08.0,D. Favors makes 2-pt shot from 2 ft (assist by R. Rubio),2,74-87,,
5:43.0,,,74-87,,D. Booker misses 2-pt shot from 13 ft
5:42.0,Defensive rebound by J. Ingles,,74-87,,
5:42.0,,,74-87,,Personal foul by T. Chandler (drawn by J. Ingles)
5:42.0,,,74-87,,A. Len enters the game for T. Chandler
