time,Orlando,pts.away,score,pts.home,Sacramento
6:34.0,R. Purvis misses 3-pt shot from 24 ft,,21-28,,
6:32.0,,,21-28,,Defensive rebound by Team
6:23.0,,,21-28,,B. Hield misses 3-pt shot from 25 ft
6:20.0,Defensive rebound by B. Biyombo,,21-28,,
5:59.0,S. Mack misses 2-pt shot from 14 ft,,21-28,,
5:55.0,Offensive rebound by B. Biyombo,,21-28,,
5:52.0,S. Mack makes 3-pt shot from 25 ft (assist by B. Biyombo),3,24-28,,
5:43.0,,,24-28,,Shooting foul by R. Purvis (drawn by G. Temple)
5:43.0,,,24-29,1,G. Temple makes free throw 1 of 2
5:43.0,,,24-30,1,G. Temple makes free throw 2 of 2
5:43.0,D. Augustin enters the game for R. Purvis,,24-30,,
5:23.0,M. Hezonja misses 3-pt shot from 26 ft,,24-30,,
5:18.0,,,24-30,,Defensive rebound by K. Koufos
5:10.0,,,24-30,,K. Koufos misses 2-pt shot from 9 ft
5:07.0,Defensive rebound by B. Biyombo,,24-30,,
5:01.0,Turnover by S. Mack (traveling),,24-30,,
4:47.0,,,24-30,,Turnover by B. Hield (lost ball; steal by S. Mack)
4:43.0,S. Mack misses 2-pt shot at rim,,24-30,,
4:40.0,,,24-30,,Defensive rebound by J. Jackson
4:33.0,,,24-32,2,K. Koufos makes 2-pt shot from 2 ft (assist by B. Hield)
4:33.0,Orlando full timeout,,24-32,,
4:33.0,,,24-32,,F. Mason enters the game for G. Temple
4:33.0,J. Isaac enters the game for S. Mack,,24-32,,
4:33.0,N. Vucevic enters the game for B. Biyombo,,24-32,,
4:33.0,J. Simmons enters the game for W. Iwundu,,24-32,,
4:08.0,J. Simmons makes 2-pt shot from 9 ft,2,26-32,,
3:52.0,,,26-32,,Turnover by F. Mason (bad pass; steal by J. Simmons)
3:42.0,J. Isaac misses 2-pt shot from 14 ft,,26-32,,
3:38.0,,,26-32,,Defensive rebound by B. Hield
3:24.0,,,26-32,,Turnover by S. Labissiere (bad pass; steal by M. Hezonja)
3:22.0,M. Hezonja makes 2-pt shot at rim,2,28-32,,
3:12.0,,,28-32,,J. Jackson misses 3-pt shot from 25 ft
3:12.0,,,28-32,,Offensive rebound by S. Labissiere
3:06.0,,,28-34,2,S. Labissiere makes 2-pt shot from 1 ft
2:54.0,N. Vucevic makes 2-pt shot from 7 ft (assist by D. Augustin),2,30-34,,
2:40.0,,,30-34,,Turnover by F. Mason (step out of bounds)
2:22.0,,,30-34,,Personal foul by J. Jackson (drawn by N. Vucevic)
2:19.0,M. Hezonja misses 2-pt shot from 20 ft,,30-34,,
2:15.0,,,30-34,,Defensive rebound by K. Koufos
2:08.0,Personal foul by D. Augustin (drawn by F. Mason),,30-34,,
1:59.0,,,30-36,2,K. Koufos makes 2-pt shot from 1 ft (assist by F. Mason)
1:48.0,D. Augustin makes 3-pt shot from 25 ft,3,33-36,,
1:35.0,,,33-36,,F. Mason misses 2-pt shot from 2 ft (block by J. Isaac)
1:31.0,,,33-36,,Offensive rebound by B. Hield
1:28.0,,,33-36,,B. Hield misses 2-pt shot from 18 ft
1:23.0,,,33-36,,Offensive rebound by K. Koufos
1:23.0,,,33-36,,K. Koufos misses 2-pt shot at rim
1:23.0,Defensive rebound by J. Isaac,,33-36,,
1:22.0,Turnover by N. Vucevic (bad pass; steal by F. Mason),,33-36,,
1:22.0,Personal foul by D. Augustin (drawn by F. Mason),,33-36,,
1:09.0,,,33-36,,Shooting foul by D. Augustin (drawn by F. Mason)
1:09.0,,,33-37,1,F. Mason makes free throw 1 of 2
1:09.0,,,33-37,,V. Carter enters the game for S. Labissiere
1:09.0,S. Mack enters the game for D. Augustin,,33-37,,
1:09.0,,,33-38,1,F. Mason makes free throw 2 of 2
0:58.0,J. Isaac misses 2-pt shot from 15 ft,,33-38,,
0:55.0,,,33-38,,Defensive rebound by F. Mason
0:39.0,,,33-38,,F. Mason misses 2-pt shot from 4 ft (block by N. Vucevic)
0:38.0,,,33-38,,Offensive rebound by F. Mason
0:38.0,,,33-40,2,F. Mason makes 2-pt shot from 4 ft
0:38.0,,,33-40,,Shooting foul by N. Vucevic (drawn by F. Mason)
0:38.0,,,33-41,1,F. Mason makes free throw 1 of 1
0:32.0,Turnover by N. Vucevic (out of bounds lost ball),,33-41,,
0:28.0,,,33-41,,Turnover by F. Mason (out of bounds lost ball)
0:04.0,J. Isaac makes 3-pt shot from 24 ft (assist by J. Simmons),3,36-41,,
0:00.0,,,36-41,,V. Carter misses 3-pt shot from 26 ft
0:00.0,,,36-41,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,N. Vucevic misses 2-pt shot from 13 ft,,36-41,,
11:39.0,,,36-41,,Defensive rebound by J. Jackson
11:22.0,,,36-44,3,G. Temple makes 3-pt shot from 23 ft (assist by B. Bogdanovic)
11:07.0,D. Augustin misses 3-pt shot from 24 ft,,36-44,,
11:04.0,,,36-44,,Defensive rebound by S. Labissiere
10:53.0,,,36-44,,B. Bogdanovic misses 2-pt shot from 7 ft
10:48.0,Defensive rebound by J. Isaac,,36-44,,
10:42.0,J. Isaac misses 3-pt shot from 25 ft,,36-44,,
10:39.0,,,36-44,,Defensive rebound by K. Koufos
10:29.0,,,36-46,2,J. Jackson makes 2-pt shot at rim (assist by G. Temple)
10:14.0,Turnover by J. Simmons (lost ball; steal by G. Temple),,36-46,,
10:12.0,,,36-46,,Shooting foul by M. Hezonja (drawn by G. Temple)
10:12.0,,,36-47,1,G. Temple makes free throw 1 of 2
10:12.0,,,36-48,1,G. Temple makes free throw 2 of 2
9:53.0,D. Augustin makes 3-pt shot from 26 ft (assist by N. Vucevic),3,39-48,,
9:41.0,,,39-50,2,G. Temple makes 2-pt shot from 7 ft
9:23.0,M. Hezonja misses 2-pt shot from 6 ft,,39-50,,
9:20.0,,,39-50,,Defensive rebound by J. Jackson
9:12.0,,,39-50,,G. Temple misses 3-pt shot from 23 ft
9:09.0,Defensive rebound by N. Vucevic,,39-50,,
9:01.0,J. Simmons misses 2-pt shot from 5 ft,,39-50,,
8:58.0,Offensive rebound by J. Simmons,,39-50,,
8:48.0,N. Vucevic makes 2-pt shot from 9 ft,2,41-50,,
8:32.0,,,41-52,2,B. Bogdanovic makes 2-pt shot from 18 ft
8:14.0,N. Vucevic misses 2-pt shot from 21 ft,,41-52,,
8:10.0,,,41-52,,Defensive rebound by J. Jackson
8:04.0,,,41-54,2,K. Koufos makes 2-pt shot from 8 ft (assist by B. Bogdanovic)
8:04.0,Orlando full timeout,,41-54,,
7:45.0,D. Augustin misses 3-pt shot from 25 ft,,41-54,,
7:41.0,,,41-54,,Defensive rebound by K. Koufos
7:23.0,,,41-56,2,K. Koufos makes 2-pt shot from 5 ft (assist by B. Bogdanovic)
7:07.0,J. Simmons makes 2-pt shot from 1 ft,2,43-56,,
6:53.0,,,43-58,2,K. Koufos makes 2-pt shot from 11 ft (assist by B. Bogdanovic)
6:30.0,J. Isaac makes 3-pt shot from 22 ft (assist by D. Augustin),3,46-58,,
6:16.0,,,46-58,,B. Bogdanovic misses 3-pt shot from 25 ft
6:13.0,Defensive rebound by N. Vucevic,,46-58,,
5:57.0,,,46-58,,Personal foul by G. Temple (drawn by N. Vucevic)
5:53.0,J. Isaac misses 2-pt shot from 13 ft,,46-58,,
5:49.0,,,46-58,,Defensive rebound by K. Koufos
5:38.0,,,46-58,,S. Labissiere misses 2-pt shot from 10 ft
5:36.0,Defensive rebound by D. Augustin,,46-58,,
5:34.0,M. Hezonja makes 2-pt shot at rim (assist by D. Augustin),2,48-58,,
5:14.0,,,48-61,3,B. Bogdanovic makes 3-pt shot from 25 ft
4:58.0,J. Simmons misses 3-pt shot from 25 ft,,48-61,,
4:54.0,,,48-61,,Defensive rebound by G. Temple
4:50.0,,,48-61,,B. Bogdanovic misses 3-pt shot from 27 ft
4:48.0,,,48-61,,Offensive rebound by S. Labissiere
4:45.0,,,48-61,,J. Jackson misses 3-pt shot from 22 ft
4:45.0,Defensive rebound by Team,,48-61,,
4:44.0,,,48-61,,Loose ball foul by B. Bogdanovic (drawn by D. Augustin)
4:44.0,,,48-61,,V. Carter enters the game for S. Labissiere
4:44.0,W. Iwundu enters the game for M. Hezonja,,48-61,,
4:33.0,D. Augustin makes 3-pt shot from 25 ft,3,51-61,,
4:14.0,,,51-61,,Shooting foul by W. Iwundu (drawn by V. Carter)
4:14.0,,,51-61,,V. Carter misses free throw 1 of 3
4:14.0,,,51-61,,Offensive rebound by Team
4:14.0,,,51-62,1,V. Carter makes free throw 2 of 3
4:14.0,,,51-63,1,V. Carter makes free throw 3 of 3
4:01.0,J. Simmons makes 2-pt shot from 4 ft (assist by D. Augustin),2,53-63,,
4:01.0,Shooting foul by J. Jackson (drawn by J. Simmons),,53-63,,
4:01.0,,,53-63,,F. Mason enters the game for B. Bogdanovic
4:01.0,J. Simmons misses free throw 1 of 1,,53-63,,
3:59.0,,,53-63,,Defensive rebound by K. Koufos
3:37.0,,,53-63,,Turnover by Team (shot clock)
3:37.0,S. Mack enters the game for J. Isaac,,53-63,,
3:37.0,K. Birch enters the game for D. Augustin,,53-63,,
3:28.0,Shooting foul by F. Mason (drawn by J. Simmons),,53-63,,
3:28.0,J. Simmons makes free throw 1 of 2,1,54-63,,
3:28.0,J. Simmons misses free throw 2 of 2,,54-63,,
3:25.0,,,54-63,,Defensive rebound by K. Koufos
3:10.0,Personal foul by W. Iwundu (drawn by J. Jackson),,54-63,,
3:10.0,,,54-63,,Sacramento full timeout
2:57.0,,,54-63,,V. Carter misses 2-pt shot from 18 ft
2:54.0,Defensive rebound by W. Iwundu,,54-63,,
2:41.0,N. Vucevic misses 3-pt shot from 24 ft,,54-63,,
2:37.0,,,54-63,,Defensive rebound by J. Jackson
2:26.0,,,54-65,2,G. Temple makes 2-pt shot from 13 ft
2:06.0,,,54-65,,Personal foul by K. Koufos (drawn by N. Vucevic)
2:06.0,N. Vucevic misses free throw 1 of 2,,54-65,,
2:06.0,Offensive rebound by Team,,54-65,,
2:06.0,N. Vucevic makes free throw 2 of 2,1,55-65,,
1:58.0,,,55-65,,Shooting foul by K. Birch (drawn by V. Carter)
1:58.0,,,55-65,,V. Carter misses free throw 1 of 2
1:58.0,,,55-65,,Offensive rebound by Team
1:58.0,,,55-66,1,V. Carter makes free throw 2 of 2
1:46.0,J. Simmons makes 2-pt shot at rim,2,57-66,,
1:46.0,Shooting foul by V. Carter (drawn by J. Simmons),,57-66,,
1:46.0,J. Simmons makes free throw 1 of 1,1,58-66,,
1:32.0,,,58-69,3,J. Jackson makes 3-pt shot from 22 ft (assist by F. Mason)
1:12.0,J. Simmons makes 2-pt shot from 18 ft,2,60-69,,
0:59.0,,,60-69,,G. Temple misses 2-pt shot from 19 ft
0:56.0,Defensive rebound by W. Iwundu,,60-69,,
0:51.0,Shooting foul by K. Koufos (drawn by N. Vucevic),,60-69,,
0:51.0,N. Vucevic makes free throw 1 of 2,1,61-69,,
0:51.0,N. Vucevic makes free throw 2 of 2,1,62-69,,
0:37.0,,,62-71,2,G. Temple makes 2-pt shot from 11 ft
0:14.0,S. Mack misses 3-pt shot from 24 ft,,62-71,,
0:12.0,,,62-71,,Defensive rebound by F. Mason
0:01.0,,,62-74,3,G. Temple makes 3-pt shot from 24 ft (assist by F. Mason)
0:00.0,J. Simmons misses 3-pt shot from 67 ft,,62-74,,
0:00.0,Offensive rebound by Team,,62-74,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:36.0,,,62-74,,B. Hield misses 2-pt shot from 10 ft
11:34.0,Defensive rebound by Team,,62-74,,
11:34.0,,,62-74,,Loose ball foul by B. Hield (drawn by S. Mack)
11:14.0,M. Hezonja misses 2-pt shot from 3 ft,,62-74,,
11:11.0,,,62-74,,Defensive rebound by V. Carter
11:05.0,,,62-74,,F. Mason misses 2-pt shot from 1 ft
11:01.0,,,62-74,,Offensive rebound by J. Cooley
11:01.0,,,62-76,2,J. Cooley makes 2-pt shot from 2 ft
10:47.0,M. Hezonja makes 2-pt shot from 20 ft (assist by S. Mack),2,64-76,,
10:24.0,,,64-76,,F. Mason misses 2-pt shot from 7 ft
10:24.0,,,64-76,,Offensive rebound by Team
10:24.0,Loose ball foul by S. Mack (drawn by F. Mason),,64-76,,
10:24.0,,,64-76,,B. Bogdanovic enters the game for J. Jackson
10:12.0,,,64-76,,F. Mason misses 2-pt shot from 15 ft
10:11.0,,,64-76,,Offensive rebound by J. Cooley
10:11.0,Personal foul by B. Biyombo (drawn by J. Cooley),,64-76,,
10:00.0,,,64-76,,Turnover by B. Bogdanovic (lost ball; steal by S. Mack)
9:56.0,R. Purvis misses 3-pt shot from 25 ft,,64-76,,
9:52.0,,,64-76,,Defensive rebound by F. Mason
9:42.0,,,64-78,2,J. Cooley makes 2-pt shot from 5 ft
9:29.0,Shooting foul by J. Cooley (drawn by W. Iwundu),,64-78,,
9:29.0,W. Iwundu makes free throw 1 of 2,1,65-78,,
9:29.0,W. Iwundu makes free throw 2 of 2,1,66-78,,
9:06.0,,,66-80,2,J. Cooley makes 2-pt shot from 5 ft (assist by B. Bogdanovic)
8:57.0,,,66-80,,Personal foul by F. Mason (drawn by S. Mack)
8:57.0,D. Augustin enters the game for R. Purvis,,66-80,,
8:46.0,D. Augustin misses 3-pt shot from 26 ft,,66-80,,
8:43.0,Offensive rebound by W. Iwundu,,66-80,,
8:31.0,D. Augustin makes 3-pt shot from 24 ft (assist by W. Iwundu),3,69-80,,
8:06.0,Personal foul by W. Iwundu (drawn by B. Hield),,69-80,,
8:06.0,,,69-80,,Sacramento full timeout
8:06.0,,,69-80,,K. Koufos enters the game for J. Cooley
7:58.0,,,69-80,,Turnover by K. Koufos (bad pass)
7:36.0,D. Augustin misses 3-pt shot from 22 ft,,69-80,,
7:34.0,,,69-80,,Defensive rebound by F. Mason
7:18.0,,,69-80,,V. Carter misses 3-pt shot from 24 ft
7:16.0,Defensive rebound by Team,,69-80,,
7:16.0,J. Simmons enters the game for W. Iwundu,,69-80,,
7:03.0,Turnover by D. Augustin (bad pass; steal by B. Bogdanovic),,69-80,,
6:58.0,,,69-82,2,V. Carter makes 2-pt shot from 2 ft (assist by B. Hield)
6:36.0,B. Biyombo misses 2-pt shot from 4 ft,,69-82,,
6:35.0,Offensive rebound by B. Biyombo,,69-82,,
6:33.0,B. Biyombo makes 2-pt shot from 1 ft,2,71-82,,
6:22.0,Personal foul by S. Mack (drawn by B. Bogdanovic),,71-82,,
6:22.0,J. Isaac enters the game for M. Hezonja,,71-82,,
6:14.0,,,71-84,2,K. Koufos makes 2-pt shot from 2 ft (assist by B. Bogdanovic)
5:50.0,S. Mack makes 3-pt shot from 22 ft (assist by B. Biyombo),3,74-84,,
5:30.0,,,74-84,,B. Bogdanovic misses 3-pt shot from 24 ft
5:24.0,,,74-84,,Offensive rebound by F. Mason
5:24.0,,,74-84,,Turnover by F. Mason (bad pass; steal by J. Isaac)
5:20.0,B. Biyombo makes 2-pt shot from 1 ft (assist by D. Augustin),2,76-84,,
4:59.0,,,76-86,2,V. Carter makes 2-pt shot from 1 ft (assist by B. Bogdanovic)
4:54.0,Turnover by B. Biyombo (bad pass; steal by F. Mason),,76-86,,
4:49.0,,,76-86,,F. Mason misses 2-pt shot from 2 ft
4:47.0,,,76-86,,Offensive rebound by F. Mason
4:46.0,,,76-86,,B. Hield misses 2-pt shot from 2 ft
4:46.0,,,76-86,,Offensive rebound by F. Mason
4:43.0,,,76-86,,V. Carter misses 3-pt shot from 24 ft
4:43.0,Defensive rebound by B. Biyombo,,76-86,,
4:37.0,Turnover by B. Biyombo (bad pass; steal by F. Mason),,76-86,,
4:37.0,,,76-86,,Sacramento full timeout
4:37.0,M. Hezonja enters the game for S. Mack,,76-86,,
4:37.0,N. Vucevic enters the game for B. Biyombo,,76-86,,
4:18.0,,,76-89,3,V. Carter makes 3-pt shot from 23 ft (assist by B. Hield)
3:49.0,M. Hezonja makes 3-pt shot from 25 ft (assist by N. Vucevic),3,79-89,,
3:25.0,,,79-89,,B. Bogdanovic misses 2-pt shot from 17 ft
3:23.0,Defensive rebound by N. Vucevic,,79-89,,
3:17.0,Shooting foul by K. Koufos (drawn by J. Simmons),,79-89,,
3:17.0,J. Simmons makes free throw 1 of 2,1,80-89,,
3:17.0,,,80-89,,G. Temple enters the game for F. Mason
3:17.0,S. Mack enters the game for M. Hezonja,,80-89,,
3:17.0,J. Simmons makes free throw 2 of 2,1,81-89,,
3:05.0,,,81-92,3,B. Bogdanovic makes 3-pt shot from 24 ft
3:04.0,Orlando full timeout,,81-92,,
3:04.0,M. Hezonja enters the game for S. Mack,,81-92,,
2:43.0,J. Simmons misses 2-pt shot from 7 ft,,81-92,,
2:40.0,,,81-92,,Defensive rebound by B. Hield
2:32.0,,,81-92,,Turnover by G. Temple (bad pass; steal by J. Isaac)
2:30.0,Turnover by J. Isaac (out of bounds lost ball),,81-92,,
2:13.0,Violation by N. Vucevic (kicked ball),,81-92,,
2:02.0,,,81-92,,V. Carter misses 3-pt shot from 25 ft
1:59.0,Defensive rebound by M. Hezonja,,81-92,,
1:56.0,M. Hezonja makes 2-pt shot from 2 ft,2,83-92,,
1:39.0,,,83-94,2,V. Carter makes 2-pt shot from 11 ft
1:29.0,M. Hezonja misses 3-pt shot from 25 ft,,83-94,,
1:25.0,,,83-94,,Defensive rebound by K. Koufos
1:10.0,,,83-94,,K. Koufos misses 2-pt shot from 8 ft
1:07.0,Defensive rebound by M. Hezonja,,83-94,,
1:00.0,N. Vucevic misses 2-pt shot from 16 ft,,83-94,,
0:57.0,,,83-94,,Defensive rebound by B. Bogdanovic
0:38.0,,,83-94,,B. Bogdanovic misses 3-pt shot from 27 ft
