time,Chicago,pts.away,score,pts.home,Golden State
5:21.0,,,18-20,,K. Thompson misses 3-pt shot from 26 ft
5:17.0,Defensive rebound by L. Markkanen,,18-20,,
5:11.0,D. Valentine makes 3-pt shot from 29 ft,3,21-20,,
4:59.0,,,21-20,,Golden State full timeout
4:59.0,,,21-20,,A. Iguodala enters the game for O. Casspi
4:59.0,,,21-20,,J. McGee enters the game for Z. Pachulia
4:45.0,,,21-22,2,K. Thompson makes 2-pt shot from 2 ft
4:34.0,,,21-22,,Personal foul by A. Iguodala (drawn by L. Markkanen)
4:34.0,J. Grant enters the game for K. Dunn,,21-22,,
4:29.0,D. Valentine makes 2-pt shot from 12 ft (assist by J. Grant),2,23-22,,
4:18.0,,,23-22,,Offensive charge foul by J. Bell (drawn by J. Holiday)
4:18.0,,,23-22,,Turnover by J. Bell (offensive foul)
4:05.0,L. Markkanen misses 3-pt shot from 25 ft,,23-22,,
4:01.0,,,23-22,,Defensive rebound by Q. Cook
3:55.0,,,23-22,,K. Thompson misses 2-pt shot from 2 ft
3:49.0,Defensive rebound by R. Lopez,,23-22,,
3:43.0,R. Lopez misses 2-pt shot from 5 ft (block by J. Bell),,23-22,,
3:41.0,Offensive rebound by J. Grant,,23-22,,
3:41.0,,,23-22,,Personal foul by J. Bell (drawn by J. Holiday)
3:41.0,J. Holiday misses free throw 1 of 2,,23-22,,
3:41.0,Offensive rebound by Team,,23-22,,
3:41.0,,,23-22,,O. Casspi enters the game for J. Bell
3:41.0,B. Portis enters the game for L. Markkanen,,23-22,,
3:41.0,J. Holiday makes free throw 2 of 2,1,24-22,,
3:23.0,,,24-22,,Q. Cook misses 3-pt shot from 22 ft
3:19.0,Defensive rebound by B. Portis,,24-22,,
3:14.0,D. Valentine misses 2-pt shot from 18 ft,,24-22,,
3:08.0,,,24-22,,Defensive rebound by K. Thompson
3:06.0,Personal foul by D. Valentine (drawn by J. McGee),,24-22,,
3:06.0,A. Blakeney enters the game for J. Holiday,,24-22,,
2:56.0,,,24-22,,J. McGee misses 2-pt shot from 14 ft
2:53.0,Defensive rebound by B. Portis,,24-22,,
2:45.0,A. Blakeney makes 2-pt shot from 15 ft,2,26-22,,
2:22.0,,,26-25,3,K. Thompson makes 3-pt shot from 28 ft (assist by Q. Cook)
2:02.0,Turnover by J. Grant (bad pass; steal by O. Casspi),,26-25,,
1:57.0,,,26-27,2,Q. Cook makes 2-pt shot from 2 ft (assist by O. Casspi)
1:39.0,B. Portis makes 2-pt shot from 3 ft (assist by D. Valentine),2,28-27,,
1:39.0,,,28-27,,Violation by J. McGee (def goaltending)
1:22.0,,,28-27,,J. McGee misses 2-pt shot from 14 ft
1:19.0,Defensive rebound by B. Portis,,28-27,,
1:04.0,R. Lopez misses 2-pt shot from 12 ft,,28-27,,
1:02.0,,,28-27,,Defensive rebound by A. Iguodala
0:55.0,,,28-27,,O. Casspi misses 3-pt shot from 26 ft
0:53.0,Defensive rebound by D. Valentine,,28-27,,
0:40.0,A. Blakeney misses 2-pt shot from 7 ft (block by K. Thompson),,28-27,,
0:39.0,Offensive rebound by R. Lopez,,28-27,,
0:37.0,R. Lopez makes 2-pt shot from 8 ft,2,30-27,,
0:27.0,,,30-29,2,J. McGee makes 2-pt shot from 6 ft (assist by Q. Cook)
0:24.0,J. Grant makes 2-pt shot from 1 ft,2,32-29,,
0:04.0,,,32-29,,A. Iguodala misses 2-pt shot from 11 ft
0:01.0,Defensive rebound by R. Lopez,,32-29,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,,,32-31,2,K. Looney makes 2-pt shot from 1 ft (assist by S. Curry)
11:41.0,,,32-31,,Shooting foul by K. Dunn (drawn by K. Looney)
11:41.0,,,32-32,1,K. Looney makes free throw 1 of 1
11:33.0,A. Blakeney misses 2-pt shot from 18 ft,,32-32,,
11:30.0,,,32-32,,Defensive rebound by D. West
11:23.0,,,32-32,,Shooting foul by A. Blakeney (drawn by S. Curry)
11:23.0,,,32-33,1,S. Curry makes free throw 1 of 3
11:23.0,,,32-34,1,S. Curry makes free throw 2 of 3
11:23.0,,,32-35,1,S. Curry makes free throw 3 of 3
11:07.0,Turnover by C. Felicio (bad pass; steal by A. Iguodala),,32-35,,
10:47.0,,,32-37,2,S. Curry makes 2-pt shot from 16 ft
10:47.0,Chicago full timeout,,32-37,,
10:38.0,B. Portis makes 3-pt shot from 25 ft (assist by K. Dunn),3,35-37,,
10:16.0,,,35-37,,Turnover by A. Iguodala (bad pass; steal by B. Portis)
10:10.0,J. Grant makes 3-pt shot from 22 ft (assist by A. Blakeney),3,38-37,,
9:59.0,,,38-39,2,A. Iguodala makes 2-pt shot from 3 ft (assist by D. West)
9:59.0,,,38-39,,Shooting foul by J. Grant (drawn by A. Iguodala)
9:59.0,,,38-40,1,A. Iguodala makes free throw 1 of 1
9:48.0,A. Blakeney makes 2-pt shot from 10 ft (assist by C. Felicio),2,40-40,,
9:33.0,,,40-40,,S. Livingston misses 2-pt shot from 7 ft
9:29.0,Defensive rebound by Team,,40-40,,
9:28.0,,,40-40,,Personal foul by D. West (drawn by J. Grant)
9:22.0,B. Portis misses 2-pt shot from 3 ft,,40-40,,
9:22.0,,,40-40,,Defensive rebound by Team
9:22.0,Loose ball foul by C. Felicio (drawn by D. West),,40-40,,
9:02.0,,,40-42,2,A. Iguodala makes 2-pt shot from 13 ft
8:46.0,B. Portis misses 3-pt shot from 24 ft,,40-42,,
8:43.0,,,40-42,,Defensive rebound by S. Curry
8:38.0,,,40-44,2,D. West makes 2-pt shot from 19 ft (assist by S. Curry)
8:25.0,Turnover by A. Blakeney (step out of bounds),,40-44,,
8:16.0,,,40-44,,S. Curry misses 3-pt shot from 30 ft
8:13.0,Defensive rebound by B. Portis,,40-44,,
8:10.0,J. Grant makes 2-pt shot from 2 ft,2,42-44,,
8:10.0,Shooting foul by K. Looney (drawn by J. Grant),,42-44,,
8:10.0,L. Markkanen enters the game for C. Felicio,,42-44,,
8:10.0,J. Grant makes free throw 1 of 1,1,43-44,,
7:55.0,,,43-44,,Turnover by S. Livingston (lost ball; steal by A. Blakeney)
7:51.0,A. Blakeney misses 2-pt shot from 4 ft (block by D. West),,43-44,,
7:50.0,Offensive rebound by Team,,43-44,,
7:34.0,K. Dunn misses 2-pt shot from 17 ft,,43-44,,
7:30.0,,,43-44,,Defensive rebound by K. Looney
7:25.0,,,43-46,2,S. Curry makes 2-pt shot from 1 ft (assist by A. Iguodala)
7:10.0,J. Holiday enters the game for A. Blakeney,,43-46,,
7:07.0,J. Holiday misses 3-pt shot from 25 ft,,43-46,,
7:02.0,,,43-46,,Defensive rebound by D. West
6:54.0,,,43-49,3,S. Curry makes 3-pt shot from 22 ft (assist by S. Livingston)
6:41.0,L. Markkanen misses 2-pt shot from 13 ft,,43-49,,
6:36.0,,,43-49,,Defensive rebound by S. Curry
6:31.0,,,43-52,3,S. Curry makes 3-pt shot from 28 ft
6:31.0,Chicago full timeout,,43-52,,
6:31.0,R. Lopez enters the game for J. Grant,,43-52,,
6:31.0,D. Valentine enters the game for B. Portis,,43-52,,
6:16.0,L. Markkanen misses 2-pt shot from 10 ft,,43-52,,
6:11.0,Offensive rebound by D. Valentine,,43-52,,
6:04.0,D. Valentine misses 3-pt shot from 22 ft,,43-52,,
6:01.0,,,43-52,,Defensive rebound by K. Looney
5:56.0,,,43-52,,S. Curry misses 3-pt shot from 26 ft
5:50.0,Defensive rebound by D. Valentine,,43-52,,
5:32.0,K. Dunn misses 2-pt shot from 12 ft,,43-52,,
5:28.0,,,43-52,,Defensive rebound by D. West
5:17.0,,,43-54,2,K. Looney makes 2-pt shot from 1 ft (assist by S. Livingston)
5:09.0,Turnover by K. Dunn (bad pass),,43-54,,
4:57.0,,,43-54,,S. Livingston misses 2-pt shot from 1 ft (block by L. Markkanen)
4:51.0,Defensive rebound by L. Markkanen,,43-54,,
4:49.0,Turnover by J. Holiday (bad pass; steal by S. Curry),,43-54,,
4:48.0,,,43-54,,Shooting foul by D. Valentine (drawn by S. Curry)
4:48.0,,,43-55,1,S. Curry makes free throw 1 of 2
4:48.0,,,43-55,,Z. Pachulia enters the game for D. West
4:48.0,,,43-55,,N. Young enters the game for A. Iguodala
4:48.0,J. Grant enters the game for K. Dunn,,43-55,,
4:48.0,,,43-56,1,S. Curry makes free throw 2 of 2
4:40.0,L. Markkanen misses 3-pt shot from 25 ft,,43-56,,
4:35.0,,,43-56,,Defensive rebound by N. Young
4:28.0,,,43-56,,N. Young misses 2-pt shot from 19 ft
4:25.0,,,43-56,,Offensive rebound by K. Looney
4:23.0,,,43-56,,K. Looney misses 2-pt shot from 6 ft
4:19.0,Defensive rebound by L. Markkanen,,43-56,,
4:17.0,Offensive charge foul by D. Valentine (drawn by N. Young),,43-56,,
4:17.0,Turnover by D. Valentine (offensive foul),,43-56,,
4:17.0,,,43-56,,J. Bell enters the game for K. Looney
4:17.0,,,43-56,,K. Thompson enters the game for S. Livingston
4:17.0,P. Zipser enters the game for D. Valentine,,43-56,,
4:01.0,,,43-58,2,S. Curry makes 2-pt shot from 1 ft
3:44.0,J. Holiday makes 3-pt shot from 25 ft (assist by R. Lopez),3,46-58,,
3:34.0,Personal foul by J. Grant (drawn by S. Curry),,46-58,,
3:34.0,,,46-58,,Golden State full timeout
3:34.0,K. Dunn enters the game for J. Grant,,46-58,,
3:34.0,,,46-59,1,S. Curry makes free throw 1 of 2
3:34.0,,,46-60,1,S. Curry makes free throw 2 of 2
3:24.0,L. Markkanen makes 3-pt shot from 25 ft (assist by K. Dunn),3,49-60,,
3:02.0,,,49-63,3,K. Thompson makes 3-pt shot from 24 ft (assist by S. Curry)
2:51.0,L. Markkanen misses 2-pt shot from 2 ft,,49-63,,
2:45.0,,,49-63,,Defensive rebound by Z. Pachulia
2:40.0,,,49-65,2,S. Curry makes 2-pt shot from 2 ft
2:40.0,,,49-65,,Shooting foul by R. Lopez (drawn by S. Curry)
2:40.0,,,49-65,,O. Casspi enters the game for J. Bell
2:40.0,,,49-66,1,S. Curry makes free throw 1 of 1
2:27.0,J. Holiday misses 2-pt shot from 19 ft,,49-66,,
2:23.0,,,49-66,,Defensive rebound by S. Curry
2:19.0,,,49-66,,Shooting foul by R. Lopez (drawn by Z. Pachulia)
2:19.0,,,49-67,1,Z. Pachulia makes free throw 1 of 2
2:19.0,B. Portis enters the game for R. Lopez,,49-67,,
2:19.0,,,49-68,1,Z. Pachulia makes free throw 2 of 2
2:07.0,K. Dunn misses 2-pt shot from 12 ft,,49-68,,
2:03.0,,,49-68,,Defensive rebound by Z. Pachulia
1:55.0,,,49-71,3,S. Curry makes 3-pt shot from 25 ft (assist by K. Thompson)
1:31.0,K. Dunn misses 2-pt shot from 12 ft,,49-71,,
1:21.0,Offensive rebound by B. Portis,,49-71,,
1:21.0,B. Portis makes 2-pt shot at rim,2,51-71,,
1:12.0,,,51-73,2,K. Thompson makes 2-pt shot from 11 ft
0:54.0,P. Zipser misses 2-pt shot from 6 ft,,51-73,,
0:51.0,Offensive rebound by Team,,51-73,,
0:51.0,Technical foul by R. Lopez,,51-73,,
0:51.0,,,51-74,1,S. Curry makes technical free throw
0:51.0,Jump ball: O. Casspi vs. K. Dunn (L. Markkanen gains possession),,,,Jump ball: O. Casspi vs. K. Dunn (L. Markkanen gains possession)
0:36.0,P. Zipser misses 3-pt shot from 25 ft,,51-74,,
0:31.0,,,51-74,,Defensive rebound by N. Young
0:30.0,,,51-74,,S. Curry misses 3-pt shot from 27 ft
0:25.0,Defensive rebound by L. Markkanen,,51-74,,
0:25.0,Turnover by K. Dunn (bad pass; steal by K. Thompson),,51-74,,
0:25.0,,,51-74,,Turnover by K. Thompson (bad pass)
0:25.0,,,51-74,,P. McCaw enters the game for S. Curry
0:25.0,,,51-74,,J. Bell enters the game for Z. Pachulia
0:04.0,L. Markkanen makes 2-pt shot from 2 ft (assist by K. Dunn),2,53-74,,
0:02.0,,,53-74,,K. Thompson misses 3-pt shot from 30 ft
0:00.0,Defensive rebound by P. Zipser,,53-74,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,,,53-74,,Turnover by S. Curry (bad pass; steal by D. Valentine)
11:26.0,D. Valentine misses 2-pt shot from 1 ft (block by J. Bell),,53-74,,
11:21.0,,,53-74,,Defensive rebound by S. Curry
11:17.0,,,53-76,2,O. Casspi makes 2-pt shot from 5 ft (assist by Z. Pachulia)
11:00.0,Turnover by J. Holiday (bad pass; steal by O. Casspi),,53-76,,
10:52.0,,,53-78,2,S. Curry makes 2-pt shot from 1 ft (assist by O. Casspi)
10:40.0,J. Holiday misses 3-pt shot from 25 ft,,53-78,,
10:36.0,,,53-78,,Defensive rebound by Z. Pachulia
10:22.0,,,53-78,,Turnover by K. Thompson (bad pass; steal by J. Holiday)
10:17.0,K. Dunn misses 2-pt shot from 4 ft,,53-78,,
10:11.0,,,53-78,,Defensive rebound by J. Bell
10:01.0,,,53-78,,O. Casspi misses 2-pt shot from 8 ft
9:56.0,Defensive rebound by D. Valentine,,53-78,,
9:43.0,L. Markkanen misses 2-pt shot from 20 ft,,53-78,,
9:40.0,Offensive rebound by D. Valentine,,53-78,,
9:37.0,K. Dunn misses 2-pt shot from 16 ft,,53-78,,
9:33.0,,,53-78,,Defensive rebound by Z. Pachulia
9:28.0,,,53-78,,O. Casspi misses 3-pt shot from 28 ft
9:21.0,Defensive rebound by J. Holiday,,53-78,,
9:12.0,R. Lopez makes 2-pt shot from 1 ft (assist by K. Dunn),2,55-78,,
9:12.0,,,55-78,,Golden State full timeout
8:55.0,,,55-80,2,K. Thompson makes 2-pt shot from 18 ft
8:42.0,Turnover by R. Lopez (bad pass),,55-80,,
8:25.0,,,55-82,2,K. Thompson makes 2-pt shot from 10 ft (assist by Z. Pachulia)
8:16.0,,,55-82,,Personal foul by Z. Pachulia (drawn by R. Lopez)
8:10.0,L. Markkanen misses 3-pt shot from 25 ft,,55-82,,
8:05.0,Offensive rebound by D. Valentine,,55-82,,
8:03.0,D. Valentine misses 3-pt shot from 26 ft,,55-82,,
8:00.0,,,55-82,,Defensive rebound by O. Casspi
7:56.0,,,55-85,3,K. Thompson makes 3-pt shot from 25 ft
7:56.0,Chicago full timeout,,55-85,,
7:40.0,Shooting foul by O. Casspi (drawn by R. Lopez),,55-85,,
7:40.0,R. Lopez makes free throw 1 of 2,1,56-85,,
7:40.0,R. Lopez misses free throw 2 of 2,,56-85,,
7:37.0,Offensive rebound by R. Lopez,,56-85,,
7:35.0,R. Lopez misses 2-pt shot from 5 ft,,56-85,,
7:28.0,,,56-85,,Defensive rebound by O. Casspi
7:28.0,Personal foul by J. Holiday (drawn by S. Curry),,56-85,,
7:18.0,,,56-85,,S. Curry misses 2-pt shot from 13 ft
7:16.0,Defensive rebound by K. Dunn,,56-85,,
7:14.0,D. Valentine misses 2-pt shot from 1 ft (block by J. Bell),,56-85,,
7:11.0,,,56-85,,Defensive rebound by K. Thompson
7:11.0,,,56-85,,Shooting foul by K. Dunn (drawn by O. Casspi)
7:11.0,,,56-86,1,O. Casspi makes free throw 1 of 2
7:11.0,,,56-87,1,O. Casspi makes free throw 2 of 2
6:57.0,J. Holiday makes 3-pt shot from 26 ft,3,59-87,,
6:41.0,,,59-90,3,K. Thompson makes 3-pt shot from 25 ft (assist by Z. Pachulia)
6:25.0,,,59-90,,Violation by Z. Pachulia (kicked ball)
6:14.0,K. Dunn makes 2-pt shot from 20 ft,2,61-90,,
6:01.0,,,61-92,2,O. Casspi makes 2-pt shot from 2 ft (assist by J. Bell)
5:39.0,K. Dunn misses 3-pt shot from 25 ft,,61-92,,
5:39.0,,,61-92,,Personal foul by O. Casspi (drawn by L. Markkanen)
5:39.0,Defensive rebound by L. Markkanen,,61-92,,
5:39.0,A. Blakeney enters the game for D. Valentine,,61-92,,
5:30.0,K. Dunn misses 3-pt shot from 27 ft,,61-92,,
5:26.0,,,61-92,,Defensive rebound by K. Thompson
5:16.0,,,61-92,,S. Curry misses 3-pt shot from 26 ft
5:11.0,,,61-92,,Offensive rebound by J. Bell
5:11.0,,,61-92,,J. Bell misses 2-pt shot at rim
5:11.0,Defensive rebound by Team,,61-92,,
5:11.0,,,61-92,,A. Iguodala enters the game for O. Casspi
5:11.0,J. Grant enters the game for K. Dunn,,61-92,,
4:57.0,L. Markkanen misses 2-pt shot from 17 ft,,61-92,,
4:52.0,,,61-92,,Defensive rebound by K. Thompson
4:49.0,,,61-94,2,K. Thompson makes 2-pt shot from 16 ft
4:27.0,Turnover by R. Lopez (lost ball; steal by Z. Pachulia),,61-94,,
4:25.0,Technical foul by R. Lopez (drawn by Z. Pachulia),,61-94,,
4:25.0,,,61-95,1,Z. Pachulia makes flagrant free throw 2 of 2
4:25.0,,,61-96,1,Z. Pachulia makes flagrant free throw 1 of 2
4:25.0,,,61-96,,J. McGee enters the game for Z. Pachulia
4:06.0,,,61-99,3,K. Thompson makes 3-pt shot from 25 ft (assist by J. McGee)
3:49.0,L. Markkanen misses 3-pt shot from 26 ft,,61-99,,
3:47.0,,,61-99,,Defensive rebound by A. Iguodala
3:43.0,,,61-99,,K. Thompson misses 3-pt shot from 27 ft
3:37.0,Defensive rebound by J. Grant,,61-99,,
3:23.0,A. Blakeney misses 3-pt shot from 23 ft,,61-99,,
3:19.0,,,61-99,,Defensive rebound by A. Iguodala
3:16.0,,,61-99,,S. Curry misses 3-pt shot from 22 ft
3:11.0,Defensive rebound by A. Blakeney,,61-99,,
3:02.0,J. Grant misses 2-pt shot from 20 ft,,61-99,,
2:59.0,Offensive rebound by R. Lopez,,61-99,,
2:55.0,A. Blakeney misses 2-pt shot from 9 ft,,61-99,,
2:50.0,Offensive rebound by A. Blakeney,,61-99,,
2:49.0,A. Blakeney misses 2-pt shot from 3 ft (block by J. McGee),,61-99,,
2:45.0,,,61-99,,Defensive rebound by S. Curry
2:43.0,,,61-99,,K. Thompson misses 3-pt shot from 23 ft
2:38.0,,,61-99,,Offensive rebound by J. Bell
2:36.0,,,61-99,,S. Curry misses 3-pt shot from 28 ft
2:33.0,Defensive rebound by L. Markkanen,,61-99,,
2:29.0,Shooting foul by J. Bell (drawn by L. Markkanen),,61-99,,
2:29.0,L. Markkanen makes free throw 1 of 3,1,62-99,,
2:29.0,L. Markkanen makes free throw 2 of 3,1,63-99,,
2:29.0,,,63-99,,P. McCaw enters the game for J. Bell
2:29.0,,,63-99,,K. Looney enters the game for K. Thompson
2:29.0,,,63-99,,N. Young enters the game for S. Curry
2:29.0,B. Portis enters the game for R. Lopez,,63-99,,
2:29.0,L. Markkanen makes free throw 3 of 3,1,64-99,,
2:13.0,,,64-99,,K. Looney misses 2-pt shot from 9 ft
2:09.0,Defensive rebound by B. Portis,,64-99,,
2:01.0,B. Portis misses 2-pt shot from 16 ft,,64-99,,
1:57.0,,,64-99,,Defensive rebound by N. Young
1:42.0,,,64-102,3,A. Iguodala makes 3-pt shot from 26 ft (assist by P. McCaw)
1:28.0,J. Holiday misses 3-pt shot from 25 ft,,64-102,,
1:24.0,,,64-102,,Defensive rebound by K. Looney
1:18.0,,,64-102,,Shooting foul by J. Grant (drawn by A. Iguodala)
1:18.0,,,64-103,1,A. Iguodala makes free throw 1 of 2
1:18.0,C. Felicio enters the game for L. Markkanen,,64-103,,
1:18.0,,,64-104,1,A. Iguodala makes free throw 2 of 2
0:58.0,B. Portis makes 2-pt shot from 11 ft (assist by J. Grant),2,66-104,,
0:46.0,,,66-107,3,P. McCaw makes 3-pt shot from 26 ft (assist by K. Looney)
0:37.0,A. Blakeney misses 3-pt shot from 22 ft,,66-107,,
0:32.0,,,66-107,,Defensive rebound by J. McGee
0:20.0,,,66-110,3,N. Young makes 3-pt shot from 27 ft (assist by A. Iguodala)
0:01.0,B. Portis misses 3-pt shot from 23 ft,,66-110,,
0:00.0,Offensive rebound by Team,,66-110,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:51.0,Turnover by J. Grant (bad pass; steal by D. West),,66-110,,
11:36.0,,,66-112,2,N. Young makes 2-pt shot from 13 ft (assist by D. West)
11:12.0,B. Portis misses 2-pt shot from 3 ft (block by O. Casspi),,66-112,,
11:10.0,Offensive rebound by Team,,66-112,,
11:08.0,C. Felicio misses 2-pt shot from 17 ft,,66-112,,
11:05.0,,,66-112,,Defensive rebound by N. Young
10:56.0,,,66-114,2,N. Young makes 2-pt shot from 2 ft
10:56.0,Chicago full timeout,,66-114,,
10:48.0,J. Grant makes 2-pt shot from 12 ft,2,68-114,,
10:32.0,,,68-114,,P. McCaw misses 2-pt shot from 21 ft
10:28.0,,,68-114,,Offensive rebound by D. West
10:26.0,,,68-116,2,D. West makes 2-pt shot from 2 ft
10:10.0,C. Felicio makes 2-pt shot from 2 ft,2,70-116,,
9:57.0,,,70-116,,N. Young misses 3-pt shot from 22 ft
9:51.0,Defensive rebound by P. Zipser,,70-116,,
9:49.0,P. Zipser misses 3-pt shot from 25 ft,,70-116,,
9:45.0,Offensive rebound by A. Blakeney,,70-116,,
9:43.0,A. Blakeney makes 2-pt shot from 7 ft,2,72-116,,
9:17.0,,,72-118,2,D. West makes 2-pt shot from 2 ft (assist by P. McCaw)
9:03.0,J. Grant makes 2-pt shot from 17 ft,2,74-118,,
8:38.0,,,74-118,,N. Young misses 3-pt shot from 24 ft
8:37.0,,,74-118,,Offensive rebound by K. Looney
8:31.0,,,74-118,,N. Young misses 2-pt shot from 10 ft
8:28.0,Defensive rebound by P. Zipser,,74-118,,
8:21.0,B. Portis misses 2-pt shot from 9 ft,,74-118,,
8:13.0,,,74-118,,Defensive rebound by N. Young
8:03.0,,,74-120,2,N. Young makes 2-pt shot from 2 ft (assist by D. West)
7:47.0,A. Blakeney makes 2-pt shot from 19 ft,2,76-120,,
7:32.0,,,76-120,,O. Casspi misses 3-pt shot from 25 ft
7:28.0,Defensive rebound by P. Zipser,,76-120,,
7:20.0,J. Grant misses 3-pt shot from 28 ft,,76-120,,
7:17.0,Offensive rebound by Team,,76-120,,
7:13.0,A. Blakeney makes 3-pt shot from 24 ft,3,79-120,,
6:52.0,Personal foul by C. Felicio (drawn by P. McCaw),,79-120,,
6:52.0,,,79-120,,Q. Cook enters the game for O. Casspi
6:46.0,,,79-122,2,N. Young makes 2-pt shot from 17 ft
6:34.0,A. Blakeney misses 3-pt shot from 26 ft,,79-122,,
6:31.0,Offensive rebound by Team,,79-122,,
6:31.0,,,79-122,,J. Bell enters the game for D. West
6:29.0,A. Blakeney misses 2-pt shot from 18 ft,,79-122,,
6:25.0,Offensive rebound by B. Portis,,79-122,,
6:25.0,B. Portis misses 2-pt shot from 4 ft (block by J. Bell),,79-122,,
6:21.0,,,79-122,,Defensive rebound by P. McCaw
6:18.0,,,79-124,2,K. Looney makes 2-pt shot from 4 ft (assist by J. Bell)
5:58.0,J. Grant makes 3-pt shot from 26 ft (assist by A. Blakeney),3,82-124,,
5:52.0,K. Felder enters the game for A. Blakeney,,82-124,,
5:44.0,,,82-127,3,P. McCaw makes 3-pt shot from 25 ft (assist by Q. Cook)
5:30.0,K. Felder makes 3-pt shot from 27 ft (assist by J. Grant),3,85-127,,
5:14.0,,,85-127,,P. McCaw misses 2-pt shot from 2 ft
5:11.0,Defensive rebound by B. Portis,,85-127,,
5:08.0,J. Grant makes 3-pt shot from 26 ft (assist by P. Zipser),3,88-127,,
4:50.0,,,88-129,2,Q. Cook makes 2-pt shot from 2 ft (assist by K. Looney)
4:34.0,C. Felicio makes 2-pt shot from 2 ft (assist by K. Felder),2,90-129,,
4:10.0,,,90-132,3,N. Young makes 3-pt shot from 28 ft
