time,San Antonio,pts.away,score,pts.home,Philadelphia
5:47.0,,,33-45,,B. Simmons misses 2-pt shot from 5 ft (block by K. Anderson)
5:43.0,Defensive rebound by K. Anderson,,33-45,,
5:40.0,K. Anderson makes 2-pt shot from 3 ft,2,35-45,,
5:40.0,,,35-45,,Philadelphia full timeout
5:25.0,Personal foul by D. Bertans (drawn by R. Covington),,35-45,,
5:25.0,,,35-46,1,R. Covington makes free throw 1 of 2
5:25.0,P. Mills enters the game for D. White,,35-46,,
5:25.0,,,35-47,1,R. Covington makes free throw 2 of 2
5:09.0,Shooting foul by A. Johnson (drawn by L. Aldridge),,35-47,,
5:09.0,L. Aldridge makes free throw 1 of 2,1,36-47,,
5:09.0,L. Aldridge makes free throw 2 of 2,1,37-47,,
4:58.0,,,37-47,,Turnover by A. Johnson (bad pass; steal by L. Aldridge)
4:54.0,P. Mills misses 3-pt shot from 27 ft,,37-47,,
4:51.0,,,37-47,,Defensive rebound by R. Covington
4:30.0,,,37-47,,D. Saric misses 3-pt shot from 25 ft
4:27.0,,,37-47,,Offensive rebound by A. Johnson
4:25.0,,,37-50,3,J. Bayless makes 3-pt shot from 25 ft (assist by A. Johnson)
4:18.0,Turnover by B. Forbes (lost ball; steal by B. Simmons),,37-50,,
4:09.0,,,37-52,2,A. Johnson makes 2-pt shot from 3 ft (assist by D. Saric)
3:54.0,L. Aldridge misses 2-pt shot from 20 ft,,37-52,,
3:54.0,Offensive rebound by Team,,37-52,,
3:53.0,,,37-52,,Loose ball foul by A. Johnson (drawn by P. Mills)
3:46.0,Turnover by K. Anderson (traveling),,37-52,,
3:39.0,,,37-52,,Shooting foul by L. Aldridge (drawn by B. Simmons)
3:39.0,,,37-53,1,B. Simmons makes free throw 1 of 2
3:39.0,,,37-53,,T. Booker enters the game for D. Saric
3:39.0,,,37-53,,B. Simmons misses free throw 2 of 2
3:37.0,Defensive rebound by L. Aldridge,,37-53,,
3:24.0,B. Forbes misses 2-pt shot from 18 ft,,37-53,,
3:19.0,Offensive rebound by L. Aldridge,,37-53,,
3:09.0,L. Aldridge makes 2-pt shot from 11 ft,2,39-53,,
2:58.0,,,39-53,,B. Simmons misses 2-pt shot from 11 ft
2:56.0,Defensive rebound by D. Bertans,,39-53,,
2:53.0,Turnover by D. Bertans (bad pass; steal by T. Booker),,39-53,,
2:43.0,,,39-55,2,A. Johnson makes 2-pt shot from 4 ft
2:38.0,Shooting foul by A. Johnson (drawn by L. Aldridge),,39-55,,
2:38.0,L. Aldridge misses free throw 1 of 2,,39-55,,
2:38.0,Offensive rebound by Team,,39-55,,
2:38.0,,,39-55,,J. Embiid enters the game for J. Bayless
2:38.0,,,39-55,,J. Redick enters the game for A. Johnson
2:38.0,L. Aldridge makes free throw 2 of 2,1,40-55,,
2:22.0,,,40-55,,J. Embiid misses 2-pt shot from 12 ft
2:20.0,,,40-55,,Offensive rebound by T. Booker
2:08.0,,,40-55,,B. Simmons misses 2-pt shot from 10 ft
2:05.0,Defensive rebound by L. Aldridge,,40-55,,
2:02.0,K. Anderson makes 2-pt shot from 10 ft,2,42-55,,
1:44.0,,,42-55,,Shooting foul by L. Aldridge (drawn by J. Embiid)
1:44.0,,,42-55,,J. Embiid misses free throw 1 of 2
1:44.0,,,42-55,,Offensive rebound by Team
1:44.0,,,42-56,1,J. Embiid makes free throw 2 of 2
1:27.0,L. Aldridge makes 2-pt shot from 12 ft,2,44-56,,
1:14.0,,,44-58,2,J. Embiid makes 2-pt shot from 8 ft
1:00.0,K. Anderson makes 2-pt shot from 3 ft,2,46-58,,
