time,Oklahoma City,pts.away,score,pts.home,LA Lakers
5:18.0,,,47-39,,B. Ingram misses 3-pt shot from 26 ft
5:18.0,Defensive rebound by P. George,,47-39,,
5:06.0,P. George makes 2-pt shot from 14 ft,2,49-39,,
4:49.0,,,49-39,,K. Caldwell-Pope misses 2-pt shot from 18 ft
4:49.0,Defensive rebound by C. Anthony,,49-39,,
4:40.0,C. Anthony misses 3-pt shot from 27 ft,,49-39,,
4:40.0,Offensive rebound by C. Anthony,,49-39,,
4:27.0,S. Adams makes 2-pt shot from 2 ft (assist by R. Westbrook),2,51-39,,
4:02.0,,,51-39,,J. Randle misses 2-pt shot from 3 ft (block by S. Adams)
4:02.0,Defensive rebound by J. Huestis,,51-39,,
3:48.0,C. Anthony makes 2-pt shot from 14 ft,2,53-39,,
3:29.0,,,53-42,3,K. Kuzma makes 3-pt shot from 25 ft (assist by T. Ennis)
3:08.0,S. Adams misses 2-pt shot from 17 ft,,53-42,,
3:08.0,,,53-42,,Defensive rebound by B. Ingram
2:57.0,,,53-42,,B. Ingram misses 2-pt shot from 2 ft (block by S. Adams)
2:57.0,,,53-42,,Offensive rebound by B. Ingram
2:56.0,,,53-42,,B. Ingram misses 2-pt shot from 2 ft
2:56.0,,,53-42,,Offensive rebound by Team
2:45.0,,,53-42,,T. Ennis misses 3-pt shot from 27 ft
2:45.0,Defensive rebound by J. Huestis,,53-42,,
2:35.0,C. Anthony makes 2-pt shot from 17 ft (assist by R. Westbrook),2,55-42,,
2:23.0,,,55-42,,Turnover by K. Kuzma (bad pass)
2:10.0,J. Huestis makes 2-pt shot from 1 ft (assist by R. Westbrook),2,57-42,,
2:09.0,,,57-42,,LA Lakers full timeout
2:09.0,J. Grant enters the game for S. Adams,,57-42,,
1:54.0,,,57-44,2,B. Ingram makes 2-pt shot from 1 ft (assist by J. Randle)
1:37.0,R. Westbrook makes 2-pt shot from 1 ft,2,59-44,,
1:19.0,,,59-44,,K. Caldwell-Pope misses 2-pt shot from 4 ft
1:17.0,Defensive rebound by R. Westbrook,,59-44,,
1:10.0,Jump ball: T. Ennis vs. J. Grant (J. Huestis gains possession),,,,Jump ball: T. Ennis vs. J. Grant (J. Huestis gains possession)
1:04.0,Shooting foul by J. Randle (drawn by C. Anthony),,59-44,,
1:04.0,C. Anthony makes free throw 2 of 2,1,60-44,,
1:04.0,C. Anthony makes free throw 1 of 2,1,61-44,,
0:40.0,,,61-44,,J. Randle misses 2-pt shot from 2 ft
0:36.0,Defensive rebound by R. Westbrook,,61-44,,
0:35.0,R. Westbrook makes 2-pt shot from 2 ft,2,63-44,,
0:16.0,Personal foul by C. Anthony (drawn by B. Ingram),,63-44,,
0:04.0,,,63-44,,T. Ennis misses 2-pt shot from 3 ft
0:02.0,,,63-44,,Offensive rebound by T. Ennis
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,T. Ferguson makes 3-pt shot from 25 ft (assist by R. Westbrook),3,66-44,,
11:26.0,,,66-46,2,K. Kuzma makes 2-pt shot from 1 ft (assist by T. Ennis)
11:08.0,P. George makes 3-pt shot from 26 ft (assist by S. Adams),3,69-46,,
10:50.0,,,69-48,2,K. Caldwell-Pope makes 2-pt shot from 3 ft (assist by B. Ingram)
10:27.0,T. Ferguson misses 3-pt shot from 24 ft,,69-48,,
10:25.0,,,69-48,,Defensive rebound by B. Ingram
10:20.0,,,69-48,,Turnover by K. Kuzma (bad pass; steal by T. Ferguson)
10:15.0,S. Adams makes 2-pt shot from 1 ft (assist by R. Westbrook),2,71-48,,
9:58.0,,,71-48,,Turnover by B. Ingram (bad pass; steal by T. Ferguson)
9:56.0,Turnover by R. Westbrook (bad pass),,71-48,,
9:38.0,,,71-48,,T. Ennis misses 2-pt shot from 3 ft (block by S. Adams)
9:37.0,,,71-48,,Offensive rebound by J. Randle
9:31.0,,,71-51,3,K. Kuzma makes 3-pt shot from 23 ft (assist by T. Ennis)
9:11.0,C. Anthony misses 2-pt shot from 22 ft,,71-51,,
