time,Brooklyn,pts.away,score,pts.home,Philadelphia
7:32.0,,,6-9,2,B. Simmons makes 2-pt shot from 1 ft
7:32.0,Brooklyn full timeout,,6-9,,
7:32.0,,,6-9,,M. Belinelli enters the game for J. Redick
7:32.0,,,6-9,,T. McConnell enters the game for E. Ilyasova
7:20.0,D. Russell makes 3-pt shot from 27 ft,3,9-9,,
7:04.0,,,9-11,2,M. Belinelli makes 2-pt shot from 22 ft (assist by T. McConnell)
6:50.0,Turnover by J. Harris (bad pass; steal by R. Covington),,9-11,,
6:48.0,,,9-11,,Turnover by B. Simmons (bad pass)
6:48.0,S. Dinwiddie enters the game for D. Carroll,,9-11,,
6:25.0,Shooting foul by R. Covington (drawn by J. Allen),,9-11,,
6:25.0,J. Allen makes free throw 1 of 2,1,10-11,,
6:25.0,Q. Acy enters the game for R. Hollis-Jefferson,,10-11,,
6:25.0,J. Allen misses free throw 2 of 2,,10-11,,
6:21.0,,,10-11,,Defensive rebound by B. Simmons
6:15.0,,,10-11,,Shooting foul by J. Harris (drawn by M. Belinelli)
6:15.0,,,10-11,,M. Belinelli misses free throw 1 of 2
6:15.0,,,10-11,,Offensive rebound by Team
6:15.0,,,10-11,,R. Holmes enters the game for A. Johnson
6:15.0,,,10-11,,E. Ilyasova enters the game for R. Covington
6:15.0,,,10-12,1,M. Belinelli makes free throw 2 of 2
6:03.0,D. Russell misses 3-pt shot from 27 ft,,10-12,,
5:59.0,,,10-12,,Defensive rebound by B. Simmons
5:56.0,C. LeVert enters the game for D. Russell,,10-12,,
5:54.0,,,10-14,2,M. Belinelli makes 2-pt shot from 18 ft (assist by B. Simmons)
5:54.0,,,10-14,,Shooting foul by C. LeVert (drawn by M. Belinelli)
5:54.0,,,10-15,1,M. Belinelli makes free throw 1 of 1
5:38.0,S. Dinwiddie misses 3-pt shot from 25 ft,,10-15,,
5:34.0,,,10-15,,Defensive rebound by B. Simmons
5:29.0,,,10-15,,B. Simmons misses 2-pt shot from 14 ft (block by Q. Acy)
5:25.0,Defensive rebound by S. Dinwiddie,,10-15,,
5:25.0,J. Harris makes 3-pt shot from 27 ft (assist by S. Dinwiddie),3,13-15,,
5:03.0,,,13-15,,M. Belinelli misses 3-pt shot from 23 ft
5:03.0,Defensive rebound by S. Dinwiddie,,13-15,,
4:52.0,Q. Acy makes 3-pt shot from 26 ft (assist by S. Dinwiddie),3,16-15,,
4:50.0,,,16-15,,Philadelphia full timeout
4:50.0,D. Cunningham enters the game for J. Allen,,16-15,,
4:30.0,,,16-15,,T. McConnell misses 2-pt shot from 7 ft
4:26.0,Defensive rebound by S. Dinwiddie,,16-15,,
4:15.0,C. LeVert misses 2-pt shot from 13 ft,,16-15,,
4:13.0,Offensive rebound by Team,,16-15,,
4:13.0,D. Carroll enters the game for J. Harris,,16-15,,
4:07.0,S. Dinwiddie makes 3-pt shot from 24 ft,3,19-15,,
3:48.0,,,19-17,2,B. Simmons makes 2-pt shot from 5 ft
3:31.0,D. Cunningham makes 3-pt shot from 23 ft (assist by S. Dinwiddie),3,22-17,,
3:15.0,,,22-20,3,E. Ilyasova makes 3-pt shot from 25 ft (assist by T. McConnell)
2:56.0,D. Cunningham misses 3-pt shot from 26 ft,,22-20,,
2:53.0,,,22-20,,Defensive rebound by T. McConnell
2:48.0,,,22-22,2,T. McConnell makes 2-pt shot from 21 ft
2:30.0,D. Carroll misses 3-pt shot from 26 ft,,22-22,,
2:27.0,,,22-22,,Defensive rebound by B. Simmons
2:23.0,,,22-25,3,E. Ilyasova makes 3-pt shot from 26 ft (assist by B. Simmons)
1:54.0,Q. Acy misses 3-pt shot from 25 ft,,22-25,,
1:49.0,Offensive rebound by D. Cunningham,,22-25,,
1:44.0,C. LeVert misses 3-pt shot from 25 ft,,22-25,,
1:41.0,,,22-25,,Defensive rebound by B. Simmons
1:39.0,,,22-25,,Shooting foul by C. LeVert (drawn by E. Ilyasova)
1:39.0,,,22-25,,E. Ilyasova misses free throw 1 of 2
1:39.0,,,22-25,,Offensive rebound by Team
1:39.0,,,22-25,,J. Redick enters the game for T. McConnell
1:39.0,,,22-25,,M. Fultz enters the game for B. Simmons
1:39.0,,,22-26,1,E. Ilyasova makes free throw 2 of 2
1:18.0,D. Cunningham misses 2-pt shot from 2 ft (block by R. Holmes),,22-26,,
1:15.0,,,22-26,,Defensive rebound by E. Ilyasova
1:10.0,,,22-26,,Turnover by M. Fultz (out of bounds lost ball)
0:53.0,C. LeVert misses 2-pt shot from 15 ft,,22-26,,
0:53.0,,,22-26,,Defensive rebound by E. Ilyasova
0:33.0,,,22-26,,R. Holmes misses 2-pt shot from 7 ft (block by Q. Acy)
0:29.0,Defensive rebound by S. Dinwiddie,,22-26,,
0:28.0,C. LeVert misses 3-pt shot from 26 ft,,22-26,,
0:23.0,,,22-26,,Defensive rebound by E. Ilyasova
0:03.0,,,22-28,2,R. Holmes makes 2-pt shot from 2 ft (assist by M. Fultz)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,S. Dinwiddie misses 2-pt shot from 3 ft,,22-28,,
11:45.0,,,22-28,,Defensive rebound by J. Anderson
11:36.0,Personal foul by C. LeVert (drawn by R. Holmes),,22-28,,
11:36.0,D. Russell enters the game for C. LeVert,,22-28,,
11:28.0,,,22-31,3,R. Covington makes 3-pt shot from 26 ft (assist by J. Redick)
11:14.0,N. Stauskas misses 3-pt shot from 25 ft,,22-31,,
11:11.0,,,22-31,,Defensive rebound by R. Holmes
11:04.0,,,22-33,2,M. Fultz makes 2-pt shot from 3 ft
10:45.0,Turnover by D. Russell (bad pass; steal by J. Anderson),,22-33,,
10:45.0,Personal foul by Q. Acy (drawn by J. Anderson),,22-33,,
10:45.0,J. Allen enters the game for Q. Acy,,22-33,,
10:35.0,,,22-33,,R. Covington misses 2-pt shot from 21 ft
10:33.0,Defensive rebound by D. Russell,,22-33,,
10:31.0,D. Carroll misses 2-pt shot from 3 ft (block by J. Redick),,22-33,,
10:31.0,Offensive rebound by Team,,22-33,,
10:23.0,,,22-33,,Personal foul by M. Fultz (drawn by J. Allen)
10:14.0,Turnover by D. Carroll (lost ball; steal by R. Covington),,22-33,,
10:06.0,,,22-33,,R. Covington misses 3-pt shot from 27 ft
10:01.0,,,22-33,,Offensive rebound by R. Holmes
10:01.0,,,22-33,,R. Holmes misses 2-pt shot at rim
10:01.0,Defensive rebound by D. Russell,,22-33,,
9:54.0,D. Carroll makes 3-pt shot from 26 ft (assist by D. Russell),3,25-33,,
9:53.0,,,25-33,,Philadelphia full timeout
9:53.0,,,25-33,,A. Johnson enters the game for R. Holmes
9:45.0,,,25-35,2,J. Redick makes 2-pt shot from 20 ft (assist by A. Johnson)
9:25.0,S. Dinwiddie makes 3-pt shot from 26 ft (assist by N. Stauskas),3,28-35,,
9:11.0,,,28-35,,J. Redick misses 2-pt shot from 19 ft
9:08.0,Defensive rebound by D. Russell,,28-35,,
9:05.0,D. Carroll makes 3-pt shot from 25 ft (assist by D. Russell),3,31-35,,
8:51.0,,,31-37,2,J. Redick makes 2-pt shot from 3 ft
8:33.0,,,31-37,,Violation by R. Covington (kicked ball)
8:23.0,D. Russell misses 2-pt shot from 1 ft,,31-37,,
8:21.0,,,31-37,,Defensive rebound by R. Covington
8:19.0,Personal foul by D. Carroll (drawn by M. Fultz),,31-37,,
8:11.0,,,31-37,,J. Anderson misses 3-pt shot from 25 ft
8:06.0,Defensive rebound by D. Russell,,31-37,,
7:54.0,N. Stauskas misses 2-pt shot from 8 ft (block by R. Covington),,31-37,,
7:51.0,Offensive rebound by J. Allen,,31-37,,
7:49.0,D. Russell misses 3-pt shot from 27 ft,,31-37,,
7:47.0,,,31-37,,Defensive rebound by R. Covington
7:41.0,,,31-37,,A. Johnson misses 2-pt shot from 5 ft
7:39.0,Defensive rebound by D. Carroll,,31-37,,
7:33.0,Turnover by D. Carroll (lost ball; steal by R. Covington),,31-37,,
7:33.0,,,31-37,,T. McConnell enters the game for J. Anderson
7:33.0,C. LeVert enters the game for N. Stauskas,,31-37,,
7:33.0,Jump ball: A. Johnson vs. D. Carroll (T. McConnell gains possession),,,,Jump ball: A. Johnson vs. D. Carroll (T. McConnell gains possession)
7:23.0,,,31-37,,T. McConnell misses 2-pt shot from 17 ft
7:21.0,Defensive rebound by S. Dinwiddie,,31-37,,
7:18.0,Turnover by S. Dinwiddie (bad pass),,31-37,,
7:18.0,,,31-37,,B. Simmons enters the game for M. Fultz
7:18.0,R. Hollis-Jefferson enters the game for D. Carroll,,31-37,,
7:04.0,,,31-40,3,R. Covington makes 3-pt shot from 25 ft (assist by A. Johnson)
6:42.0,R. Hollis-Jefferson makes 2-pt shot from 1 ft (assist by D. Russell),2,33-40,,
6:42.0,Shooting foul by T. McConnell (drawn by R. Hollis-Jefferson),,33-40,,
6:42.0,,,33-40,,M. Belinelli enters the game for J. Redick
6:42.0,R. Hollis-Jefferson makes free throw 1 of 1,1,34-40,,
6:31.0,,,34-40,,M. Belinelli misses 2-pt shot from 9 ft (block by J. Allen)
6:28.0,Defensive rebound by D. Russell,,34-40,,
6:26.0,C. LeVert makes 2-pt shot from 1 ft (assist by D. Russell),2,36-40,,
6:08.0,,,36-40,,T. McConnell misses 2-pt shot from 5 ft
6:07.0,,,36-40,,Offensive rebound by A. Johnson
6:07.0,,,36-40,,Shooting foul by D. Russell (drawn by A. Johnson)
6:07.0,,,36-41,1,A. Johnson makes free throw 1 of 2
6:07.0,J. Harris enters the game for S. Dinwiddie,,36-41,,
6:07.0,,,36-42,1,A. Johnson makes free throw 2 of 2
5:59.0,,,36-42,,Personal foul by M. Belinelli (drawn by D. Russell)
5:59.0,,,36-42,,E. Ilyasova enters the game for R. Covington
5:48.0,J. Harris makes 2-pt shot from 2 ft (assist by C. LeVert),2,38-42,,
5:33.0,,,38-42,,E. Ilyasova misses 2-pt shot from 9 ft
5:30.0,Defensive rebound by C. LeVert,,38-42,,
5:24.0,J. Allen makes 2-pt shot from 1 ft (assist by C. LeVert),2,40-42,,
5:07.0,,,40-44,2,A. Johnson makes 2-pt shot from 11 ft
4:51.0,Turnover by J. Allen (bad pass; steal by T. McConnell),,40-44,,
4:46.0,,,40-46,2,T. McConnell makes 2-pt shot from 2 ft
4:24.0,D. Russell makes 3-pt shot from 27 ft,3,43-46,,
4:05.0,,,43-48,2,B. Simmons makes 2-pt shot from 6 ft
3:45.0,J. Harris makes 3-pt shot from 25 ft (assist by C. LeVert),3,46-48,,
3:24.0,,,46-48,,Turnover by B. Simmons (bad pass; steal by D. Russell)
3:22.0,,,46-48,,Personal foul by B. Simmons (drawn by C. LeVert)
3:22.0,,,46-48,,R. Holmes enters the game for A. Johnson
3:22.0,,,46-48,,R. Covington enters the game for T. McConnell
3:22.0,,,46-48,,J. Redick enters the game for M. Belinelli
3:22.0,D. Cunningham enters the game for J. Allen,,46-48,,
3:14.0,D. Russell misses 2-pt shot from 19 ft,,46-48,,
3:10.0,,,46-48,,Defensive rebound by E. Ilyasova
3:00.0,,,46-50,2,R. Holmes makes 2-pt shot at rim (assist by B. Simmons)
2:46.0,J. Harris misses 2-pt shot from 2 ft (block by R. Covington),,46-50,,
2:41.0,,,46-50,,Defensive rebound by J. Redick
2:40.0,,,46-53,3,R. Covington makes 3-pt shot from 26 ft (assist by B. Simmons)
2:37.0,Brooklyn full timeout,,46-53,,
2:37.0,S. Dinwiddie enters the game for D. Russell,,46-53,,
2:19.0,C. LeVert misses 2-pt shot from 2 ft (block by R. Holmes),,46-53,,
2:18.0,Offensive rebound by Team,,46-53,,
2:15.0,Jump ball: E. Ilyasova vs. C. LeVert (D. Cunningham gains possession),,,,Jump ball: E. Ilyasova vs. C. LeVert (D. Cunningham gains possession)
2:09.0,D. Cunningham misses 3-pt shot from 26 ft,,46-53,,
2:05.0,,,46-53,,Defensive rebound by R. Covington
1:56.0,Personal foul by J. Harris (drawn by J. Redick),,46-53,,
1:56.0,,,46-54,1,J. Redick makes free throw 1 of 2
1:56.0,,,46-54,,M. Belinelli enters the game for R. Covington
1:56.0,,,46-55,1,J. Redick makes free throw 2 of 2
1:39.0,Turnover by D. Cunningham (bad pass),,46-55,,
1:35.0,,,46-55,,Turnover by B. Simmons (bad pass)
1:23.0,R. Hollis-Jefferson misses 2-pt shot from 5 ft,,46-55,,
1:20.0,,,46-55,,Defensive rebound by B. Simmons
1:14.0,,,46-55,,J. Redick misses 3-pt shot from 25 ft
1:09.0,,,46-55,,Offensive rebound by E. Ilyasova
1:09.0,,,46-55,,E. Ilyasova misses 2-pt shot at rim
1:08.0,Defensive rebound by R. Hollis-Jefferson,,46-55,,
1:04.0,S. Dinwiddie misses 2-pt shot from 2 ft,,46-55,,
1:01.0,,,46-55,,Defensive rebound by B. Simmons
0:58.0,,,46-57,2,B. Simmons makes 2-pt shot from 1 ft
0:47.0,C. LeVert misses 3-pt shot from 26 ft,,46-57,,
0:43.0,,,46-57,,Defensive rebound by J. Redick
0:37.0,,,46-59,2,J. Redick makes 2-pt shot from 18 ft
0:31.0,Offensive charge foul by S. Dinwiddie (drawn by E. Ilyasova),,46-59,,
0:31.0,Turnover by S. Dinwiddie (offensive foul),,46-59,,
0:31.0,D. Carroll enters the game for C. LeVert,,46-59,,
0:15.0,,,46-61,2,J. Redick makes 2-pt shot from 19 ft (assist by R. Holmes)
0:02.0,S. Dinwiddie makes 2-pt shot from 4 ft,2,48-61,,
0:02.0,Shooting foul by M. Belinelli (drawn by S. Dinwiddie),,48-61,,
0:02.0,S. Dinwiddie misses free throw 1 of 1,,48-61,,
0:01.0,Offensive rebound by Team,,48-61,,
0:01.0,,,48-61,,Loose ball foul by R. Holmes (drawn by D. Carroll)
0:01.0,D. Carroll misses free throw 1 of 2,,48-61,,
0:01.0,Offensive rebound by Team,,48-61,,
0:01.0,D. Carroll makes free throw 2 of 2,1,49-61,,
0:01.0,,,49-61,,Turnover by B. Simmons (bad pass)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,Shooting foul by A. Johnson (drawn by J. Allen),,49-61,,
11:39.0,J. Allen makes free throw 1 of 2,1,50-61,,
11:39.0,J. Allen misses free throw 2 of 2,,50-61,,
11:36.0,,,50-61,,Defensive rebound by E. Ilyasova
11:26.0,,,50-61,,B. Simmons misses 2-pt shot from 7 ft
11:23.0,Defensive rebound by R. Hollis-Jefferson,,50-61,,
11:20.0,Turnover by R. Hollis-Jefferson (out of bounds lost ball),,50-61,,
11:05.0,,,50-61,,J. Redick misses 2-pt shot from 21 ft
11:02.0,Defensive rebound by D. Russell,,50-61,,
10:41.0,D. Russell misses 2-pt shot from 20 ft,,50-61,,
10:38.0,,,50-61,,Defensive rebound by R. Covington
10:30.0,,,50-64,3,R. Covington makes 3-pt shot from 26 ft (assist by B. Simmons)
10:28.0,,,50-64,,Loose ball foul by E. Ilyasova (drawn by J. Harris)
10:17.0,Turnover by J. Allen (bad pass; steal by R. Covington),,50-64,,
10:12.0,,,50-66,2,J. Redick makes 2-pt shot from 1 ft (assist by R. Covington)
10:11.0,Brooklyn full timeout,,50-66,,
9:56.0,J. Harris misses 3-pt shot from 25 ft,,50-66,,
9:53.0,,,50-66,,Defensive rebound by B. Simmons
9:40.0,,,50-68,2,B. Simmons makes 2-pt shot from 3 ft
9:15.0,Turnover by D. Russell (traveling),,50-68,,
9:04.0,,,50-70,2,J. Redick makes 2-pt shot from 14 ft (assist by A. Johnson)
8:41.0,Turnover by D. Carroll (lost ball; steal by J. Redick),,50-70,,
8:36.0,,,50-72,2,J. Redick makes 2-pt shot from 2 ft (assist by R. Covington)
8:32.0,Brooklyn full timeout,,50-72,,
8:32.0,C. LeVert enters the game for D. Carroll,,50-72,,
8:23.0,R. Hollis-Jefferson makes 2-pt shot from 9 ft,2,52-72,,
8:01.0,,,52-72,,R. Covington misses 3-pt shot from 25 ft
7:57.0,,,52-72,,Offensive rebound by B. Simmons
7:52.0,,,52-72,,Shooting foul by R. Hollis-Jefferson (drawn by B. Simmons)
7:52.0,,,52-73,1,B. Simmons makes free throw 1 of 2
7:52.0,,,52-73,,M. Fultz enters the game for J. Redick
7:52.0,,,52-73,,M. Belinelli enters the game for E. Ilyasova
7:52.0,S. Dinwiddie enters the game for D. Russell,,52-73,,
7:52.0,,,52-73,,B. Simmons misses free throw 2 of 2
7:50.0,,,52-73,,Offensive rebound by A. Johnson
7:45.0,,,52-73,,R. Covington misses 3-pt shot from 22 ft
7:43.0,Defensive rebound by S. Dinwiddie,,52-73,,
7:30.0,Shooting foul by A. Johnson (drawn by J. Allen),,52-73,,
7:30.0,J. Allen makes free throw 1 of 2,1,53-73,,
7:30.0,,,53-73,,R. Holmes enters the game for A. Johnson
7:30.0,Q. Acy enters the game for R. Hollis-Jefferson,,53-73,,
7:30.0,J. Allen misses free throw 2 of 2,,53-73,,
7:28.0,,,53-73,,Defensive rebound by B. Simmons
7:13.0,,,53-76,3,M. Belinelli makes 3-pt shot from 27 ft (assist by R. Holmes)
6:51.0,S. Dinwiddie misses 3-pt shot from 25 ft,,53-76,,
6:48.0,,,53-76,,Defensive rebound by R. Holmes
6:47.0,N. Stauskas enters the game for J. Harris,,53-76,,
6:47.0,D. Cunningham enters the game for J. Allen,,53-76,,
6:38.0,,,53-78,2,M. Fultz makes 2-pt shot from 11 ft (assist by R. Holmes)
6:18.0,N. Stauskas makes 3-pt shot from 25 ft (assist by D. Cunningham),3,56-78,,
6:06.0,,,56-80,2,M. Fultz makes 2-pt shot from 5 ft
6:00.0,Turnover by Q. Acy (bad pass),,56-80,,
5:52.0,,,56-80,,M. Fultz misses 2-pt shot from 10 ft
5:48.0,Defensive rebound by D. Cunningham,,56-80,,
5:47.0,Turnover by N. Stauskas (bad pass),,56-80,,
5:47.0,,,56-80,,Philadelphia full timeout
5:36.0,,,56-82,2,R. Holmes makes 2-pt shot from 3 ft (assist by M. Fultz)
5:13.0,N. Stauskas makes 3-pt shot from 26 ft,3,59-82,,
5:00.0,,,59-84,2,M. Belinelli makes 2-pt shot from 3 ft (assist by B. Simmons)
4:48.0,N. Stauskas makes 3-pt shot from 27 ft (assist by C. LeVert),3,62-84,,
4:25.0,,,62-84,,Shooting foul by Q. Acy (drawn by R. Holmes)
4:25.0,,,62-84,,R. Holmes misses free throw 1 of 2
4:25.0,,,62-84,,Offensive rebound by Team
4:25.0,,,62-84,,E. Ilyasova enters the game for B. Simmons
4:25.0,,,62-84,,J. Redick enters the game for R. Covington
4:25.0,J. Okafor enters the game for D. Cunningham,,62-84,,
4:25.0,,,62-85,1,R. Holmes makes free throw 2 of 2
4:12.0,N. Stauskas makes 2-pt shot from 2 ft (assist by S. Dinwiddie),2,64-85,,
4:07.0,,,64-85,,M. Fultz misses 2-pt shot from 5 ft
4:04.0,Defensive rebound by C. LeVert,,64-85,,
3:58.0,N. Stauskas misses 3-pt shot from 26 ft,,64-85,,
3:54.0,,,64-85,,Defensive rebound by E. Ilyasova
3:41.0,,,64-87,2,E. Ilyasova makes 2-pt shot from 1 ft (assist by M. Belinelli)
3:18.0,Shooting foul by R. Holmes (drawn by S. Dinwiddie),,64-87,,
3:18.0,S. Dinwiddie makes free throw 1 of 2,1,65-87,,
3:18.0,S. Dinwiddie misses free throw 2 of 2,,65-87,,
3:16.0,,,65-87,,Defensive rebound by M. Fultz
3:06.0,,,65-87,,J. Redick misses 2-pt shot from 6 ft (block by J. Okafor)
3:02.0,,,65-87,,Offensive rebound by R. Holmes
3:01.0,,,65-89,2,R. Holmes makes 2-pt shot from 6 ft
2:59.0,C. LeVert makes 2-pt shot at rim (assist by S. Dinwiddie),2,67-89,,
2:59.0,Shooting foul by E. Ilyasova (drawn by C. LeVert),,67-89,,
2:59.0,C. LeVert misses free throw 1 of 1,,67-89,,
2:54.0,,,67-89,,Defensive rebound by E. Ilyasova
2:42.0,,,67-89,,M. Belinelli misses 3-pt shot from 25 ft
2:38.0,Defensive rebound by Q. Acy,,67-89,,
2:34.0,Shooting foul by M. Fultz (drawn by C. LeVert),,67-89,,
2:34.0,C. LeVert misses free throw 1 of 2,,67-89,,
2:34.0,Offensive rebound by Team,,67-89,,
2:34.0,C. LeVert misses free throw 2 of 2,,67-89,,
2:30.0,,,67-89,,Defensive rebound by M. Belinelli
2:12.0,,,67-91,2,E. Ilyasova makes 2-pt shot at rim
1:56.0,S. Dinwiddie misses 2-pt shot from 3 ft (block by R. Holmes),,67-91,,
1:55.0,Offensive rebound by J. Okafor,,67-91,,
1:55.0,J. Okafor misses 2-pt shot at rim,,67-91,,
1:54.0,,,67-91,,Defensive rebound by M. Fultz
1:49.0,,,67-93,2,M. Fultz makes 2-pt shot from 2 ft
1:49.0,,,67-93,,Shooting foul by C. LeVert (drawn by M. Fultz)
1:49.0,,,67-93,,M. Fultz misses free throw 1 of 1
1:42.0,Defensive rebound by N. Stauskas,,67-93,,
1:38.0,J. Okafor makes 2-pt shot from 6 ft (assist by N. Stauskas),2,69-93,,
1:22.0,,,69-93,,Offensive foul by E. Ilyasova (drawn by C. LeVert)
1:22.0,,,69-93,,Turnover by E. Ilyasova (offensive foul)
1:05.0,N. Stauskas makes 2-pt shot from 7 ft,2,71-93,,
0:52.0,,,71-93,,J. Redick misses 2-pt shot from 14 ft
0:50.0,Defensive rebound by J. Okafor,,71-93,,
0:41.0,Turnover by S. Dinwiddie (bad pass; steal by E. Ilyasova),,71-93,,
0:35.0,,,71-93,,J. Redick misses 3-pt shot from 25 ft
0:32.0,Defensive rebound by C. LeVert,,71-93,,
0:20.0,Q. Acy misses 3-pt shot from 23 ft,,71-93,,
0:17.0,,,71-93,,Defensive rebound by E. Ilyasova
0:03.0,,,71-93,,J. Redick misses 2-pt shot from 16 ft
0:00.0,Defensive rebound by N. Stauskas,,71-93,,
0:00.0,N. Stauskas misses 3-pt shot from 42 ft,,71-93,,
0:00.0,Offensive rebound by Team,,71-93,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,,,71-93,,Turnover by M. Belinelli (bad pass; steal by M. Doyle)
11:36.0,M. Doyle makes 2-pt shot from 2 ft,2,73-93,,
11:24.0,,,73-95,2,M. Belinelli makes 2-pt shot from 19 ft (assist by A. Johnson)
10:56.0,S. Dinwiddie misses 3-pt shot from 23 ft,,73-95,,
10:52.0,,,73-95,,Defensive rebound by E. Ilyasova
10:36.0,,,73-95,,T. McConnell misses 2-pt shot from 16 ft
10:34.0,Defensive rebound by M. Doyle,,73-95,,
10:23.0,J. Okafor makes 2-pt shot from 4 ft,2,75-95,,
10:08.0,,,75-97,2,M. Belinelli makes 2-pt shot from 14 ft (assist by A. Johnson)
9:39.0,J. Okafor makes 2-pt shot from 1 ft,2,77-97,,
9:28.0,,,77-99,2,T. McConnell makes 2-pt shot from 8 ft
9:14.0,D. Cunningham misses 3-pt shot from 23 ft,,77-99,,
9:09.0,,,77-99,,Defensive rebound by A. Johnson
9:03.0,,,77-101,2,T. McConnell makes 2-pt shot from 5 ft
9:02.0,Brooklyn full timeout,,77-101,,
9:02.0,,,77-101,,J. Anderson enters the game for E. Ilyasova
9:02.0,J. Harris enters the game for N. Stauskas,,77-101,,
9:02.0,C. LeVert enters the game for S. Dinwiddie,,77-101,,
8:48.0,M. Doyle misses 3-pt shot from 26 ft,,77-101,,
8:44.0,,,77-101,,Defensive rebound by A. Johnson
8:30.0,,,77-101,,A. Johnson misses 2-pt shot from 5 ft
8:28.0,Defensive rebound by M. Doyle,,77-101,,
8:19.0,J. Okafor makes 2-pt shot from 3 ft (assist by M. Doyle),2,79-101,,
8:09.0,,,79-103,2,M. Belinelli makes 2-pt shot from 14 ft (assist by A. Johnson)
7:52.0,,,79-103,,Personal foul by J. Anderson (drawn by C. LeVert)
7:40.0,C. LeVert misses 3-pt shot from 25 ft,,79-103,,
7:37.0,,,79-103,,Defensive rebound by J. Anderson
7:29.0,,,79-103,,Turnover by M. Belinelli (lost ball; steal by D. Cunningham)
7:25.0,Turnover by D. Cunningham (bad pass),,79-103,,
7:25.0,,,79-103,,R. Holmes enters the game for A. Johnson
7:10.0,,,79-103,,Shooting foul by M. Doyle (drawn by J. Anderson)
7:10.0,,,79-104,1,J. Anderson makes free throw 1 of 2
7:10.0,,,79-105,1,J. Anderson makes free throw 2 of 2
6:51.0,J. Harris makes 2-pt shot from 2 ft,2,81-105,,
6:51.0,Shooting foul by R. Covington (drawn by J. Harris),,81-105,,
6:51.0,J. Harris misses free throw 1 of 1,,81-105,,
6:51.0,,,81-105,,Defensive rebound by J. Anderson
6:38.0,,,81-105,,M. Belinelli misses 3-pt shot from 24 ft
6:36.0,Defensive rebound by J. Okafor,,81-105,,
6:36.0,Q. Acy enters the game for D. Cunningham,,81-105,,
6:36.0,,,81-105,,Philadelphia full timeout
6:36.0,,,81-105,,M. Fultz enters the game for R. Covington
