time,Cleveland,pts.away,score,pts.home,Phoenix
4:20.0,,,55-37,,Def 3 sec tech foul by M. Chriss
4:20.0,K. Korver makes technical free throw,1,56-37,,
4:06.0,J. Smith misses 2-pt shot from 9 ft,,56-37,,
4:02.0,Offensive rebound by J. Smith,,56-37,,
3:55.0,J. Smith makes 3-pt shot from 22 ft,3,59-37,,
3:41.0,Personal foul by G. Hill (drawn by J. Dudley),,59-37,,
3:41.0,,,59-38,1,J. Dudley makes free throw 1 of 2
3:41.0,,,59-39,1,J. Dudley makes free throw 2 of 2
3:27.0,J. Smith misses 2-pt shot from 21 ft,,59-39,,
3:25.0,,,59-39,,Defensive rebound by T. Ulis
3:23.0,,,59-39,,Offensive charge foul by D. Booker (drawn by J. Smith)
3:23.0,,,59-39,,Turnover by D. Booker (offensive foul)
3:23.0,J. Clarkson enters the game for J. Smith,,59-39,,
3:11.0,G. Hill misses 2-pt shot from 22 ft,,59-39,,
3:08.0,,,59-39,,Defensive rebound by J. Dudley
2:52.0,,,59-41,2,T. Warren makes 2-pt shot from 6 ft (assist by D. Booker)
2:32.0,J. Clarkson misses 3-pt shot from 25 ft,,59-41,,
2:31.0,,,59-41,,Defensive rebound by J. Dudley
2:28.0,Violation by G. Hill (kicked ball),,59-41,,
2:28.0,,,59-41,,J. Jackson enters the game for J. Dudley
2:21.0,,,59-43,2,M. Chriss makes 2-pt shot at rim (assist by D. Booker)
2:06.0,K. Korver misses 3-pt shot from 25 ft,,59-43,,
2:03.0,,,59-43,,Defensive rebound by T. Warren
1:58.0,,,59-45,2,T. Warren makes 2-pt shot from 11 ft
1:41.0,Turnover by K. Korver (lost ball; steal by J. Jackson),,59-45,,
1:41.0,Personal foul by K. Korver (drawn by J. Jackson),,59-45,,
1:41.0,,,59-46,1,J. Jackson makes free throw 1 of 2
1:41.0,,,59-47,1,J. Jackson makes free throw 2 of 2
1:20.0,K. Korver makes 3-pt shot from 25 ft (assist by L. James),3,62-47,,
1:06.0,,,62-47,,Shooting foul by L. Nance (drawn by T. Warren)
1:06.0,,,62-47,,T. Warren misses free throw 1 of 2
1:06.0,,,62-47,,Offensive rebound by Team
1:06.0,J. Holland enters the game for G. Hill,,62-47,,
1:06.0,,,62-48,1,T. Warren makes free throw 2 of 2
0:50.0,K. Korver makes 3-pt shot from 22 ft (assist by L. James),3,65-48,,
0:41.0,,,65-48,,Shooting foul by L. James (drawn by T. Warren)
0:41.0,,,65-49,1,T. Warren makes free throw 1 of 2
0:41.0,,,65-50,1,T. Warren makes free throw 2 of 2
0:34.0,L. James makes 2-pt shot from 2 ft,2,67-50,,
0:34.0,Shooting foul by T. Warren (drawn by L. James),,67-50,,
0:34.0,L. James makes free throw 1 of 1,1,68-50,,
0:25.0,,,68-52,2,D. Booker makes 2-pt shot from 6 ft
0:02.0,L. James misses 2-pt shot from 1 ft (block by J. Jackson),,68-52,,
0:02.0,,,68-52,,Defensive rebound by T. Ulis
0:00.0,,,68-52,,T. Ulis misses 3-pt shot from 50 ft
0:00.0,,,68-52,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,68-52,,Turnover by D. Booker (bad pass; steal by J. Green)
11:25.0,Shooting foul by T. Warren (drawn by L. James),,68-52,,
11:25.0,L. James makes free throw 1 of 2,1,69-52,,
11:25.0,L. James makes free throw 2 of 2,1,70-52,,
11:16.0,,,70-52,,Turnover by E. Payton (traveling)
11:09.0,L. Nance makes 2-pt shot from 1 ft (assist by L. James),2,72-52,,
10:56.0,,,72-52,,D. Bender misses 3-pt shot from 24 ft
10:53.0,Defensive rebound by L. James,,72-52,,
10:51.0,L. Nance misses 2-pt shot from 1 ft (block by D. Bender),,72-52,,
10:49.0,,,72-52,,Defensive rebound by J. Jackson
10:42.0,J. Holland enters the game for L. Nance,,72-52,,
10:33.0,,,72-54,2,E. Payton makes 2-pt shot from 4 ft
10:11.0,J. Green makes 2-pt shot from 13 ft (assist by K. Korver),2,74-54,,
9:56.0,,,74-56,2,T. Warren makes 2-pt shot from 2 ft
9:44.0,K. Korver makes 3-pt shot from 25 ft (assist by L. James),3,77-56,,
9:30.0,,,77-56,,D. Booker misses 2-pt shot from 13 ft
9:27.0,Defensive rebound by K. Korver,,77-56,,
9:20.0,Turnover by G. Hill (bad pass; steal by E. Payton),,77-56,,
9:17.0,,,77-56,,Shooting foul by K. Korver (drawn by J. Jackson)
9:17.0,,,77-56,,J. Jackson misses free throw 1 of 2
9:17.0,,,77-56,,Offensive rebound by Team
9:17.0,,,77-56,,J. Jackson misses free throw 2 of 2
9:15.0,,,77-56,,Offensive rebound by Team
9:13.0,,,77-56,,D. Bender misses 2-pt shot from 1 ft (block by J. Green)
9:10.0,Defensive rebound by J. Holland,,77-56,,
9:06.0,J. Green misses 3-pt shot from 24 ft,,77-56,,
9:03.0,,,77-56,,Defensive rebound by J. Jackson
8:54.0,,,77-58,2,J. Jackson makes 2-pt shot from 10 ft
8:36.0,J. Green misses 2-pt shot from 6 ft,,77-58,,
8:34.0,Offensive rebound by J. Holland,,77-58,,
8:28.0,L. James makes 2-pt shot at rim (assist by J. Holland),2,79-58,,
8:28.0,Shooting foul by D. Booker (drawn by L. James),,79-58,,
8:28.0,,,79-58,,M. Chriss enters the game for D. Bender
8:28.0,L. James makes free throw 1 of 1,1,80-58,,
8:12.0,,,80-60,2,E. Payton makes 2-pt shot from 19 ft
7:57.0,G. Hill misses 3-pt shot from 24 ft,,80-60,,
7:54.0,,,80-60,,Defensive rebound by M. Chriss
7:50.0,,,80-60,,Turnover by E. Payton (bad pass; steal by L. James)
7:47.0,L. James makes 2-pt shot at rim,2,82-60,,
7:47.0,,,82-60,,Phoenix full timeout
7:32.0,,,82-60,,J. Jackson misses 2-pt shot from 3 ft (block by J. Green)
7:29.0,,,82-60,,Offensive rebound by M. Chriss
7:28.0,,,82-60,,Turnover by M. Chriss (bad pass; steal by G. Hill)
7:25.0,G. Hill makes 2-pt shot at rim,2,84-60,,
7:12.0,,,84-62,2,J. Jackson makes 2-pt shot from 16 ft (assist by D. Booker)
6:53.0,K. Korver makes 3-pt shot from 25 ft (assist by G. Hill),3,87-62,,
6:41.0,,,87-62,,J. Jackson misses 3-pt shot from 24 ft
6:38.0,Defensive rebound by L. James,,87-62,,
6:33.0,Turnover by L. James (bad pass),,87-62,,
6:33.0,,,87-62,,J. Dudley enters the game for E. Payton
6:33.0,,,87-62,,T. Ulis enters the game for J. Jackson
6:26.0,Personal foul by G. Hill (drawn by D. Booker),,87-62,,
6:21.0,,,87-62,,Turnover by D. Booker (lost ball; steal by J. Green)
6:17.0,J. Holland misses 2-pt shot at rim,,87-62,,
6:13.0,,,87-62,,Defensive rebound by T. Warren
6:11.0,,,87-62,,J. Dudley misses 2-pt shot at rim
6:09.0,,,87-62,,Offensive rebound by T. Warren
6:09.0,,,87-62,,T. Warren misses 2-pt shot at rim
6:09.0,,,87-62,,Offensive rebound by Team
6:06.0,,,87-62,,T. Warren misses 2-pt shot from 17 ft
6:02.0,Defensive rebound by L. James,,87-62,,
5:57.0,L. James makes 2-pt shot from 19 ft,2,89-62,,
5:43.0,,,89-64,2,D. Booker makes 2-pt shot from 21 ft
5:38.0,Turnover by J. Green (turnover),,89-64,,
5:36.0,,,89-64,,T. Warren misses 2-pt shot from 1 ft (block by J. Green)
5:32.0,,,89-64,,Offensive rebound by T. Warren
5:31.0,,,89-66,2,T. Warren makes 2-pt shot at rim
5:15.0,G. Hill makes 3-pt shot from 24 ft (assist by L. James),3,92-66,,
5:07.0,,,92-66,,T. Ulis misses 3-pt shot from 24 ft
5:05.0,,,92-66,,Offensive rebound by Team
5:03.0,,,92-66,,T. Warren misses 2-pt shot from 17 ft
4:59.0,,,92-66,,Offensive rebound by M. Chriss
4:58.0,Loose ball foul by K. Korver (drawn by M. Chriss),,92-66,,
4:54.0,,,92-66,,Shooting foul by J. Holland (drawn by T. Ulis)
4:54.0,,,92-67,1,T. Ulis makes free throw 1 of 2
4:54.0,,,92-68,1,T. Ulis makes free throw 2 of 2
4:45.0,J. Green makes 2-pt shot at rim (assist by L. James),2,94-68,,
4:31.0,,,94-70,2,D. Booker makes 2-pt shot from 17 ft
4:21.0,Offensive foul by K. Korver (drawn by J. Dudley),,94-70,,
4:21.0,Turnover by K. Korver (offensive foul),,94-70,,
4:07.0,,,94-70,,M. Chriss misses 2-pt shot from 1 ft (block by J. Holland)
4:06.0,,,94-70,,Offensive rebound by M. Chriss
4:06.0,,,94-70,,Shooting foul by L. James (drawn by M. Chriss)
4:06.0,,,94-71,1,M. Chriss makes free throw 1 of 2
4:06.0,,,94-71,,M. Chriss misses free throw 2 of 2
4:04.0,Defensive rebound by J. Holland,,94-71,,
3:45.0,J. Green misses 2-pt shot from 4 ft,,94-71,,
3:43.0,,,94-71,,Defensive rebound by M. Chriss
3:34.0,,,94-71,,T. Warren misses 3-pt shot from 23 ft
3:31.0,Defensive rebound by G. Hill,,94-71,,
3:24.0,Turnover by J. Holland (step out of bounds),,94-71,,
3:22.0,,,94-71,,D. Booker misses 3-pt shot from 26 ft
3:20.0,,,94-71,,Offensive rebound by Team
3:20.0,Loose ball foul by J. Green (drawn by M. Chriss),,94-71,,
3:20.0,,,94-72,1,M. Chriss makes free throw 1 of 2
3:20.0,J. Smith enters the game for K. Korver,,94-72,,
3:20.0,J. Clarkson enters the game for J. Green,,94-72,,
3:20.0,,,94-72,,T. Daniels enters the game for T. Warren
3:20.0,,,94-73,1,M. Chriss makes free throw 2 of 2
3:03.0,G. Hill misses 3-pt shot from 26 ft,,94-73,,
3:02.0,Offensive rebound by Team,,94-73,,
3:02.0,,,94-73,,J. Jackson enters the game for M. Chriss
2:58.0,L. James misses 2-pt shot from 16 ft,,94-73,,
2:55.0,,,94-73,,Defensive rebound by J. Dudley
2:51.0,,,94-73,,Turnover by D. Booker (bad pass; steal by G. Hill)
2:47.0,J. Clarkson makes 3-pt shot from 25 ft (assist by J. Smith),3,97-73,,
2:46.0,,,97-73,,Phoenix full timeout
2:35.0,,,97-73,,T. Ulis misses 2-pt shot from 2 ft
2:31.0,Defensive rebound by L. James,,97-73,,
2:26.0,J. Holland misses 2-pt shot at rim,,97-73,,
2:24.0,,,97-73,,Defensive rebound by T. Daniels
2:07.0,,,97-73,,J. Jackson misses 2-pt shot at rim
2:05.0,Defensive rebound by J. Smith,,97-73,,
2:01.0,J. Holland misses 3-pt shot from 23 ft,,97-73,,
1:59.0,Offensive rebound by Team,,97-73,,
1:44.0,,,97-73,,Personal block foul by J. Dudley (drawn by L. James)
1:32.0,G. Hill misses 3-pt shot from 26 ft,,97-73,,
1:29.0,,,97-73,,Defensive rebound by J. Dudley
1:23.0,,,97-73,,T. Ulis misses 2-pt shot from 2 ft (block by J. Holland)
1:21.0,,,97-73,,Offensive rebound by T. Ulis
1:19.0,,,97-73,,T. Ulis misses 2-pt shot from 12 ft
1:19.0,Defensive rebound by L. James,,97-73,,
1:12.0,L. James misses 2-pt shot from 12 ft,,97-73,,
1:10.0,,,97-73,,Defensive rebound by J. Dudley
1:02.0,,,97-75,2,D. Booker makes 2-pt shot from 2 ft
0:45.0,,,97-75,,Personal foul by J. Dudley (drawn by J. Smith)
0:45.0,J. Smith makes free throw 1 of 2,1,98-75,,
0:45.0,J. Smith makes free throw 2 of 2,1,99-75,,
0:38.0,,,99-78,3,J. Jackson makes 3-pt shot from 22 ft (assist by D. Booker)
0:16.0,Turnover by J. Smith (bad pass; steal by J. Jackson),,99-78,,
0:16.0,Personal foul by J. Holland (drawn by J. Jackson),,99-78,,
0:16.0,,,99-79,1,J. Jackson makes free throw 1 of 2
0:16.0,,,99-80,1,J. Jackson makes free throw 2 of 2
0:01.0,L. James makes 3-pt shot from 27 ft,3,102-80,,
0:00.0,,,102-80,,D. Booker misses 3-pt shot from 54 ft
0:00.0,,,102-80,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,Turnover by L. James (bad pass; steal by J. Dudley),,102-80,,
11:44.0,,,102-82,2,J. Jackson makes 2-pt shot at rim
11:24.0,J. Smith makes 2-pt shot from 12 ft,2,104-82,,
11:07.0,,,104-84,2,E. Payton makes 2-pt shot from 5 ft
10:59.0,J. Smith misses 2-pt shot from 20 ft,,104-84,,
10:56.0,,,104-84,,Defensive rebound by E. Payton
10:54.0,,,104-84,,Turnover by E. Payton (lost ball; steal by L. James)
10:50.0,J. Clarkson makes 2-pt shot at rim (assist by L. James),2,106-84,,
10:43.0,Personal foul by J. Clarkson (drawn by E. Payton),,106-84,,
10:31.0,,,106-84,,T. Daniels misses 3-pt shot from 22 ft
10:29.0,Defensive rebound by L. James,,106-84,,
10:20.0,J. Clarkson makes 3-pt shot from 25 ft (assist by L. James),3,109-84,,
10:02.0,,,109-84,,J. Jackson misses 2-pt shot from 9 ft
10:02.0,Defensive rebound by Team,,109-84,,
10:02.0,J. Holland enters the game for L. James,,109-84,,
9:43.0,J. Clarkson misses 3-pt shot from 25 ft,,109-84,,
9:40.0,,,109-84,,Defensive rebound by J. Dudley
9:34.0,,,109-86,2,T. Warren makes 2-pt shot at rim (assist by E. Payton)
9:05.0,J. Green misses 2-pt shot from 12 ft,,109-86,,
9:03.0,,,109-86,,Defensive rebound by Team
8:53.0,Personal block foul by J. Calderon (drawn by E. Payton),,109-86,,
8:42.0,,,109-89,3,T. Daniels makes 3-pt shot from 25 ft (assist by E. Payton)
8:24.0,J. Clarkson makes 2-pt shot from 6 ft,2,111-89,,
7:58.0,,,111-89,,T. Warren misses 2-pt shot from 8 ft
7:58.0,Defensive rebound by J. Green,,111-89,,
