time,New York,pts.away,score,pts.home,LA Lakers
3:06.0,,,19-21,2,J. Clarkson makes 2-pt shot from 2 ft
2:51.0,E. Kanter makes 2-pt shot from 2 ft (assist by F. Ntilikina),2,21-21,,
2:44.0,,,21-21,,B. Lopez misses 2-pt shot from 2 ft
2:40.0,,,21-21,,Offensive rebound by T. Ennis
2:38.0,,,21-21,,Shooting foul by K. Porzingis (drawn by J. Randle)
2:38.0,,,21-22,1,J. Randle makes free throw 1 of 2
2:38.0,,,21-22,,A. Caruso enters the game for T. Ennis
2:38.0,,,21-22,,K. Kuzma enters the game for B. Lopez
2:38.0,M. Beasley enters the game for E. Kanter,,21-22,,
2:38.0,K. O'Quinn enters the game for K. Porzingis,,21-22,,
2:38.0,,,21-23,1,J. Randle makes free throw 2 of 2
2:22.0,C. Lee misses 2-pt shot from 18 ft,,21-23,,
2:18.0,,,21-23,,Defensive rebound by C. Brewer
2:09.0,,,21-23,,L. Nance enters the game for J. Randle
1:57.0,,,21-23,,A. Caruso misses 2-pt shot from 14 ft
1:55.0,Defensive rebound by M. Beasley,,21-23,,
1:54.0,M. Beasley makes 3-pt shot from 25 ft (assist by F. Ntilikina),3,24-23,,
1:47.0,Personal foul by F. Ntilikina (drawn by A. Caruso),,24-23,,
1:34.0,,,24-25,2,K. Kuzma makes 2-pt shot from 17 ft
1:23.0,Turnover by L. Thomas (bad pass; steal by A. Caruso),,24-25,,
1:21.0,,,24-27,2,K. Kuzma makes 2-pt shot from 1 ft (assist by A. Caruso)
1:03.0,F. Ntilikina makes 3-pt shot from 23 ft (assist by L. Thomas),3,27-27,,
0:50.0,,,27-27,,Shooting foul by M. Beasley (drawn by J. Clarkson)
0:50.0,,,27-28,1,J. Clarkson makes free throw 1 of 2
0:50.0,,,27-28,,J. Clarkson misses free throw 2 of 2
0:48.0,Defensive rebound by K. O'Quinn,,27-28,,
0:34.0,C. Lee makes 2-pt shot from 13 ft,2,29-28,,
0:28.0,,,29-30,2,J. Clarkson makes 2-pt shot from 2 ft
0:02.0,Turnover by K. O'Quinn (bad pass; steal by C. Brewer),,29-30,,
0:01.0,,,29-30,,C. Brewer misses 3-pt shot from 26 ft
0:01.0,,,29-30,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,29-32,2,A. Caruso makes 2-pt shot from 6 ft
11:32.0,M. Beasley makes 2-pt shot from 11 ft (assist by R. Baker),2,31-32,,
11:16.0,,,31-35,3,J. Clarkson makes 3-pt shot from 24 ft (assist by L. Nance)
11:01.0,,,31-35,,Personal foul by C. Brewer (drawn by D. McDermott)
10:57.0,Turnover by K. O'Quinn (bad pass),,31-35,,
10:43.0,,,31-35,,A. Caruso misses 2-pt shot from 2 ft
10:41.0,Defensive rebound by D. McDermott,,31-35,,
10:33.0,D. McDermott makes 3-pt shot from 25 ft (assist by M. Beasley),3,34-35,,
10:23.0,,,34-37,2,K. Kuzma makes 2-pt shot from 3 ft (assist by A. Caruso)
10:23.0,,,34-37,,Shooting foul by D. McDermott (drawn by K. Kuzma)
10:23.0,,,34-37,,B. Ingram enters the game for C. Brewer
10:23.0,,,34-38,1,K. Kuzma makes free throw 1 of 1
10:12.0,Turnover by K. O'Quinn (bad pass),,34-38,,
9:59.0,,,34-40,2,A. Caruso makes 2-pt shot from 1 ft
9:54.0,Offensive foul by M. Beasley (drawn by A. Caruso),,34-40,,
9:54.0,Turnover by M. Beasley (offensive foul),,34-40,,
9:45.0,,,34-43,3,K. Kuzma makes 3-pt shot from 26 ft (assist by A. Caruso)
9:37.0,New York full timeout,,34-43,,
9:23.0,F. Ntilikina makes 2-pt shot from 17 ft (assist by K. O'Quinn),2,36-43,,
9:07.0,,,36-45,2,L. Nance makes 2-pt shot at rim (assist by A. Caruso)
8:47.0,Shooting foul by B. Ingram (drawn by K. O'Quinn),,36-45,,
8:47.0,K. O'Quinn makes free throw 1 of 2,1,37-45,,
8:47.0,K. O'Quinn makes free throw 2 of 2,1,38-45,,
8:28.0,,,38-45,,K. Kuzma misses 3-pt shot from 25 ft
8:24.0,Defensive rebound by K. O'Quinn,,38-45,,
8:17.0,F. Ntilikina makes 2-pt shot from 2 ft,2,40-45,,
8:03.0,,,40-47,2,B. Ingram makes 2-pt shot from 14 ft
7:45.0,M. Beasley misses 3-pt shot from 23 ft,,40-47,,
7:41.0,Offensive rebound by R. Baker,,40-47,,
7:38.0,M. Beasley makes 2-pt shot from 1 ft (assist by D. McDermott),2,42-47,,
7:27.0,,,42-47,,J. Clarkson misses 2-pt shot from 16 ft
7:25.0,,,42-47,,Offensive rebound by J. Clarkson
7:24.0,,,42-49,2,J. Clarkson makes 2-pt shot from 1 ft
7:01.0,M. Beasley makes 2-pt shot from 2 ft (assist by F. Ntilikina),2,44-49,,
6:50.0,,,44-49,,Shooting foul by M. Beasley (drawn by K. Kuzma)
6:50.0,,,44-49,,K. Kuzma misses free throw 1 of 2
6:50.0,,,44-49,,Offensive rebound by Team
6:50.0,T. Hardaway enters the game for K. O'Quinn,,44-49,,
6:50.0,K. Porzingis enters the game for R. Baker,,44-49,,
6:50.0,,,44-49,,K. Kuzma misses free throw 2 of 2
6:46.0,Defensive rebound by T. Hardaway,,44-49,,
6:42.0,Shooting foul by K. Kuzma (drawn by M. Beasley),,44-49,,
6:42.0,M. Beasley makes free throw 1 of 2,1,45-49,,
6:42.0,,,45-49,,J. Hart enters the game for K. Kuzma
6:42.0,M. Beasley makes free throw 2 of 2,1,46-49,,
6:23.0,,,46-49,,L. Nance misses 2-pt shot from 2 ft
6:23.0,,,46-49,,Offensive rebound by L. Nance
6:23.0,,,46-49,,Shooting foul by M. Beasley (drawn by L. Nance)
6:23.0,,,46-50,1,L. Nance makes free throw 1 of 2
6:23.0,E. Kanter enters the game for M. Beasley,,46-50,,
6:23.0,,,46-51,1,L. Nance makes free throw 2 of 2
6:14.0,Offensive foul by E. Kanter (drawn by A. Caruso),,46-51,,
6:14.0,Turnover by E. Kanter (offensive foul),,46-51,,
6:14.0,,,46-51,,J. Randle enters the game for A. Caruso
6:02.0,,,46-53,2,B. Ingram makes 2-pt shot from 15 ft
6:02.0,,,46-53,,Shooting foul by K. Porzingis (drawn by B. Ingram)
6:02.0,J. Jack enters the game for K. Porzingis,,46-53,,
6:02.0,L. Thomas enters the game for F. Ntilikina,,46-53,,
6:02.0,C. Lee enters the game for D. McDermott,,46-53,,
6:02.0,,,46-54,1,B. Ingram makes free throw 1 of 1
5:45.0,E. Kanter misses 2-pt shot from 8 ft (block by L. Nance),,46-54,,
5:41.0,,,46-54,,Defensive rebound by B. Ingram
5:38.0,,,46-54,,J. Hart misses 3-pt shot from 26 ft
5:32.0,,,46-54,,Offensive rebound by J. Clarkson
5:30.0,,,46-54,,J. Randle misses 2-pt shot from 4 ft (block by L. Thomas)
5:29.0,,,46-54,,Offensive rebound by L. Nance
5:28.0,Personal foul by C. Lee (drawn by L. Nance),,46-54,,
5:28.0,,,46-55,1,L. Nance makes free throw 1 of 2
5:28.0,,,46-55,,L. Nance misses free throw 2 of 2
5:25.0,Defensive rebound by E. Kanter,,46-55,,
5:07.0,C. Lee makes 2-pt shot from 17 ft,2,48-55,,
4:59.0,,,48-57,2,J. Clarkson makes 2-pt shot from 19 ft
4:42.0,T. Hardaway makes 3-pt shot from 28 ft (assist by J. Jack),3,51-57,,
4:20.0,,,51-57,,L. Nance misses 2-pt shot from 5 ft
4:17.0,,,51-57,,Offensive rebound by J. Clarkson
4:09.0,,,51-57,,J. Clarkson misses 3-pt shot from 26 ft
4:04.0,,,51-57,,Offensive rebound by L. Nance
3:49.0,,,51-57,,B. Ingram misses 2-pt shot from 16 ft
3:45.0,Defensive rebound by J. Jack,,51-57,,
3:43.0,T. Hardaway misses 2-pt shot from 2 ft (block by J. Hart),,51-57,,
3:39.0,Offensive rebound by E. Kanter,,51-57,,
3:37.0,T. Hardaway misses 3-pt shot from 22 ft,,51-57,,
3:37.0,,,51-57,,Defensive rebound by L. Nance
3:20.0,,,51-57,,L. Nance misses 2-pt shot from 2 ft
3:20.0,Defensive rebound by Team,,51-57,,
3:20.0,,,51-57,,Loose ball foul by L. Nance (drawn by L. Thomas)
3:20.0,,,51-57,,B. Lopez enters the game for L. Nance
3:20.0,W. Hernangomez enters the game for L. Thomas,,51-57,,
3:07.0,W. Hernangomez makes 2-pt shot from 2 ft (assist by J. Jack),2,53-57,,
3:01.0,,,53-57,,LA Lakers full timeout
2:46.0,,,53-60,3,B. Lopez makes 3-pt shot from 24 ft (assist by J. Clarkson)
2:32.0,Shooting foul by J. Hart (drawn by T. Hardaway),,53-60,,
2:32.0,T. Hardaway makes free throw 1 of 2,1,54-60,,
2:32.0,T. Hardaway misses free throw 2 of 2,,54-60,,
2:29.0,,,54-60,,Defensive rebound by J. Clarkson
2:19.0,,,54-60,,B. Lopez misses 2-pt shot from 2 ft
2:15.0,Defensive rebound by W. Hernangomez,,54-60,,
2:11.0,T. Hardaway makes 3-pt shot from 26 ft (assist by W. Hernangomez),3,57-60,,
1:57.0,Personal foul by T. Hardaway (drawn by B. Ingram),,57-60,,
1:57.0,,,57-60,,B. Ingram misses free throw 1 of 2
1:57.0,,,57-60,,Offensive rebound by Team
1:57.0,,,57-61,1,B. Ingram makes free throw 2 of 2
1:46.0,T. Hardaway misses 3-pt shot from 27 ft,,57-61,,
1:41.0,Offensive rebound by J. Jack,,57-61,,
1:34.0,E. Kanter misses 2-pt shot from 4 ft,,57-61,,
1:32.0,,,57-61,,Defensive rebound by B. Lopez
1:30.0,,,57-63,2,J. Randle makes 2-pt shot from 1 ft (assist by J. Clarkson)
1:12.0,J. Jack makes 2-pt shot from 17 ft,2,59-63,,
0:52.0,,,59-63,,B. Ingram misses 2-pt shot from 12 ft
0:49.0,Defensive rebound by E. Kanter,,59-63,,
0:43.0,J. Jack makes 2-pt shot from 7 ft,2,61-63,,
0:35.0,,,61-65,2,B. Ingram makes 2-pt shot from 2 ft (assist by J. Clarkson)
0:26.0,E. Kanter makes 2-pt shot from 2 ft (assist by C. Lee),2,63-65,,
0:05.0,,,63-67,2,J. Clarkson makes 2-pt shot from 16 ft
0:02.0,J. Jack misses 3-pt shot from 25 ft,,63-67,,
0:01.0,Offensive rebound by Team,,63-67,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,,,63-67,,Turnover by B. Lopez (traveling)
11:31.0,T. Hardaway makes 3-pt shot from 26 ft (assist by J. Jack),3,66-67,,
11:31.0,Shooting foul by J. Hart (drawn by T. Hardaway),,66-67,,
11:31.0,T. Hardaway makes free throw 1 of 1,1,67-67,,
11:16.0,,,67-67,,B. Ingram misses 2-pt shot from 19 ft
11:12.0,,,67-67,,Offensive rebound by J. Randle
11:10.0,,,67-69,2,J. Randle makes 2-pt shot from 2 ft
10:57.0,Turnover by J. Jack (bad pass; steal by T. Ennis),,67-69,,
10:44.0,,,67-69,,B. Ingram misses 2-pt shot from 11 ft
10:41.0,Defensive rebound by T. Hardaway,,67-69,,
10:25.0,T. Hardaway makes 3-pt shot from 27 ft (assist by K. Porzingis),3,70-69,,
10:11.0,,,70-69,,T. Ennis misses 2-pt shot from 2 ft (block by T. Hardaway)
10:11.0,Defensive rebound by Team,,70-69,,
10:11.0,,,70-69,,A. Caruso enters the game for T. Ennis
9:58.0,C. Lee makes 3-pt shot from 25 ft,3,73-69,,
9:58.0,,,73-69,,LA Lakers full timeout
9:58.0,,,73-69,,K. Kuzma enters the game for J. Hart
9:58.0,,,73-69,,C. Brewer enters the game for B. Lopez
9:58.0,,,73-69,,L. Nance enters the game for B. Ingram
9:58.0,,,73-69,,J. Clarkson enters the game for J. Randle
9:42.0,,,73-71,2,L. Nance makes 2-pt shot from 20 ft (assist by J. Clarkson)
9:26.0,K. Porzingis makes 3-pt shot from 25 ft (assist by J. Jack),3,76-71,,
9:02.0,,,76-74,3,K. Kuzma makes 3-pt shot from 23 ft (assist by A. Caruso)
8:44.0,Shooting foul by K. Kuzma (drawn by K. Porzingis),,76-74,,
8:44.0,K. Porzingis misses free throw 1 of 2,,76-74,,
8:44.0,Offensive rebound by Team,,76-74,,
8:44.0,K. Porzingis makes free throw 2 of 2,1,77-74,,
8:23.0,,,77-76,2,C. Brewer makes 2-pt shot from 2 ft (assist by A. Caruso)
8:12.0,K. Porzingis makes 3-pt shot from 27 ft (assist by J. Jack),3,80-76,,
8:00.0,,,80-78,2,K. Kuzma makes 2-pt shot from 12 ft
7:47.0,E. Kanter makes 2-pt shot at rim (assist by J. Jack),2,82-78,,
7:36.0,,,82-78,,K. Kuzma misses 3-pt shot from 25 ft
7:34.0,Defensive rebound by E. Kanter,,82-78,,
7:28.0,K. Porzingis makes 2-pt shot from 19 ft,2,84-78,,
7:27.0,,,84-78,,LA Lakers full timeout
7:27.0,,,84-78,,J. Randle enters the game for K. Kuzma
7:16.0,,,84-78,,J. Clarkson misses 3-pt shot from 26 ft
7:11.0,,,84-78,,Offensive rebound by A. Caruso
6:57.0,,,84-80,2,J. Clarkson makes 2-pt shot from 16 ft
6:27.0,J. Jack misses 2-pt shot from 14 ft,,84-80,,
6:24.0,,,84-80,,Defensive rebound by A. Caruso
6:09.0,,,84-82,2,C. Brewer makes 2-pt shot from 15 ft (assist by J. Randle)
5:52.0,C. Lee makes 2-pt shot from 3 ft (assist by J. Jack),2,86-82,,
5:39.0,,,86-84,2,J. Randle makes 2-pt shot from 2 ft (assist by A. Caruso)
5:18.0,,,86-84,,Personal foul by C. Brewer (drawn by T. Hardaway)
5:18.0,D. McDermott enters the game for T. Hardaway,,86-84,,
5:12.0,,,86-84,,Personal foul by J. Clarkson (drawn by K. Porzingis)
4:55.0,J. Jack misses 3-pt shot from 26 ft,,86-84,,
4:53.0,,,86-84,,Defensive rebound by C. Brewer
4:48.0,,,86-87,3,A. Caruso makes 3-pt shot from 25 ft (assist by C. Brewer)
4:29.0,C. Lee makes 3-pt shot from 22 ft (assist by E. Kanter),3,89-87,,
4:10.0,,,89-90,3,C. Brewer makes 3-pt shot from 25 ft (assist by J. Clarkson)
3:52.0,D. McDermott misses 3-pt shot from 25 ft,,89-90,,
3:47.0,,,89-90,,Defensive rebound by J. Clarkson
3:38.0,,,89-90,,J. Clarkson misses 2-pt shot from 15 ft
3:36.0,Defensive rebound by K. Porzingis,,89-90,,
3:28.0,J. Jack misses 2-pt shot from 5 ft,,89-90,,
3:25.0,,,89-90,,Defensive rebound by J. Randle
3:25.0,,,89-90,,Offensive charge foul by J. Randle (drawn by C. Lee)
3:25.0,,,89-90,,Turnover by J. Randle (offensive foul)
3:25.0,F. Ntilikina enters the game for J. Jack,,89-90,,
3:25.0,New York full timeout,,89-90,,
3:09.0,Turnover by F. Ntilikina (bad pass; steal by J. Clarkson),,89-90,,
3:04.0,,,89-90,,Turnover by J. Clarkson (bad pass; steal by K. Porzingis)
3:00.0,D. McDermott misses 3-pt shot from 25 ft,,89-90,,
2:55.0,,,89-90,,Defensive rebound by J. Clarkson
2:34.0,,,89-90,,C. Brewer misses 3-pt shot from 23 ft
2:31.0,Defensive rebound by E. Kanter,,89-90,,
2:25.0,Offensive foul by E. Kanter (drawn by J. Clarkson),,89-90,,
2:25.0,Turnover by E. Kanter (offensive foul),,89-90,,
2:25.0,K. O'Quinn enters the game for E. Kanter,,89-90,,
2:25.0,M. Beasley enters the game for K. Porzingis,,89-90,,
2:05.0,,,89-92,2,A. Caruso makes 2-pt shot from 2 ft (assist by J. Clarkson)
1:46.0,K. O'Quinn misses 2-pt shot from 16 ft,,89-92,,
1:43.0,,,89-92,,Defensive rebound by C. Brewer
1:32.0,,,89-92,,J. Randle misses 2-pt shot from 3 ft (block by K. O'Quinn)
1:31.0,,,89-92,,Offensive rebound by J. Randle
1:31.0,,,89-92,,Shooting foul by M. Beasley (drawn by J. Randle)
1:31.0,,,89-92,,J. Randle misses free throw 1 of 2
1:31.0,,,89-92,,Offensive rebound by Team
1:31.0,W. Hernangomez enters the game for M. Beasley,,89-92,,
1:31.0,,,89-93,1,J. Randle makes free throw 2 of 2
1:16.0,C. Lee misses 2-pt shot from 17 ft,,89-93,,
1:12.0,,,89-93,,Defensive rebound by C. Brewer
1:10.0,,,89-95,2,J. Clarkson makes 2-pt shot from 2 ft
0:45.0,Turnover by W. Hernangomez (bad pass; steal by J. Clarkson),,89-95,,
0:40.0,,,89-97,2,L. Nance makes 2-pt shot from 2 ft (assist by J. Clarkson)
0:18.0,F. Ntilikina misses 2-pt shot from 15 ft,,89-97,,
0:14.0,,,89-97,,Defensive rebound by J. Randle
0:03.0,,,89-97,,J. Clarkson misses 3-pt shot from 25 ft (block by K. O'Quinn)
0:01.0,Defensive rebound by Team,,89-97,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,K. O'Quinn makes 2-pt shot from 3 ft (assist by W. Hernangomez),2,91-97,,
11:19.0,,,91-99,2,J. Randle makes 2-pt shot from 1 ft (assist by J. Clarkson)
11:01.0,T. Burke makes 2-pt shot from 9 ft (assist by K. O'Quinn),2,93-99,,
10:50.0,,,93-101,2,J. Clarkson makes 2-pt shot from 15 ft (assist by J. Randle)
10:40.0,T. Hardaway misses 2-pt shot from 3 ft,,93-101,,
10:37.0,,,93-101,,Defensive rebound by J. Randle
10:34.0,Personal foul by W. Hernangomez (drawn by J. Randle),,93-101,,
10:13.0,,,93-103,2,J. Clarkson makes 2-pt shot from 15 ft (assist by C. Brewer)
10:04.0,T. Burke makes 2-pt shot from 1 ft,2,95-103,,
9:50.0,,,95-103,,L. Nance misses 2-pt shot from 21 ft
9:48.0,Defensive rebound by W. Hernangomez,,95-103,,
9:42.0,K. Porzingis enters the game for W. Hernangomez,,95-103,,
9:29.0,T. Burke misses 2-pt shot from 14 ft,,95-103,,
9:25.0,,,95-103,,Defensive rebound by J. Randle
9:20.0,,,95-105,2,L. Nance makes 2-pt shot from 1 ft (assist by J. Randle)
9:20.0,New York full timeout,,95-105,,
9:20.0,R. Baker enters the game for K. O'Quinn,,95-105,,
9:20.0,M. Beasley enters the game for F. Ntilikina,,95-105,,
9:09.0,M. Beasley makes 2-pt shot from 1 ft (assist by T. Burke),2,97-105,,
8:45.0,Jump ball: J. Clarkson vs. T. Burke (J. Randle gains possession),,,,Jump ball: J. Clarkson vs. T. Burke (J. Randle gains possession)
8:40.0,,,97-107,2,J. Randle makes 2-pt shot from 2 ft
8:25.0,M. Beasley makes 2-pt shot from 2 ft (assist by T. Burke),2,99-107,,
8:04.0,,,99-107,,Shooting foul by R. Baker (drawn by J. Clarkson)
8:04.0,Technical foul by K. Porzingis,,99-107,,
8:04.0,,,99-108,1,J. Clarkson makes technical free throw
8:04.0,,,99-109,1,J. Clarkson makes free throw 1 of 2
8:04.0,,,99-110,1,J. Clarkson makes free throw 2 of 2
7:55.0,,,99-110,,Personal foul by A. Caruso (drawn by T. Burke)
7:48.0,K. Porzingis makes 2-pt shot from 21 ft (assist by T. Burke),2,101-110,,
7:48.0,Shooting foul by J. Randle (drawn by K. Porzingis),,101-110,,
7:48.0,K. Porzingis misses free throw 1 of 1,,101-110,,
7:48.0,,,101-110,,Defensive rebound by Team
7:26.0,Violation by K. Porzingis (lane),,101-110,,
7:26.0,,,101-110,,J. Clarkson misses 2-pt shot from 14 ft
7:26.0,Defensive rebound by T. Hardaway,,101-110,,
7:26.0,,,101-110,,Personal foul by J. Randle (drawn by T. Hardaway)
7:14.0,Turnover by M. Beasley (lost ball; steal by J. Clarkson),,101-110,,
7:04.0,,,101-110,,J. Randle misses 2-pt shot from 2 ft
7:00.0,Defensive rebound by K. Porzingis,,101-110,,
7:00.0,,,101-110,,Personal foul by J. Clarkson (drawn by M. Beasley)
6:48.0,M. Beasley makes 2-pt shot from 11 ft (assist by T. Burke),2,103-110,,
6:31.0,,,103-110,,C. Brewer misses 3-pt shot from 24 ft
6:30.0,,,103-110,,Offensive rebound by Team
6:30.0,,,103-110,,LA Lakers full timeout
6:30.0,,,103-110,,B. Ingram enters the game for C. Brewer
6:11.0,,,103-112,2,J. Clarkson makes 2-pt shot from 4 ft (assist by J. Randle)
5:56.0,M. Beasley misses 2-pt shot from 6 ft,,103-112,,
5:50.0,,,103-112,,Defensive rebound by J. Randle
5:31.0,,,103-114,2,J. Randle makes 2-pt shot from 2 ft (assist by B. Ingram)
5:13.0,T. Burke misses 2-pt shot from 1 ft,,103-114,,
5:10.0,,,103-114,,Defensive rebound by L. Nance
4:50.0,,,103-114,,B. Ingram misses 3-pt shot from 26 ft
4:49.0,,,103-114,,Offensive rebound by J. Randle
4:49.0,,,103-116,2,J. Randle makes 2-pt shot at rim
4:49.0,New York full timeout,,103-116,,
4:49.0,C. Lee enters the game for M. Beasley,,103-116,,
4:49.0,J. Jack enters the game for T. Burke,,103-116,,
4:49.0,E. Kanter enters the game for R. Baker,,103-116,,
4:38.0,T. Hardaway misses 3-pt shot from 26 ft,,103-116,,
4:33.0,,,103-116,,Defensive rebound by J. Randle
4:15.0,,,103-118,2,B. Ingram makes 2-pt shot from 1 ft (assist by J. Clarkson)
4:00.0,K. Porzingis misses 2-pt shot from 15 ft,,103-118,,
3:56.0,Offensive rebound by E. Kanter,,103-118,,
3:55.0,J. Jack misses 3-pt shot from 25 ft,,103-118,,
3:51.0,,,103-118,,Defensive rebound by J. Randle
3:29.0,,,103-120,2,J. Clarkson makes 2-pt shot from 2 ft
3:14.0,J. Jack misses 2-pt shot from 3 ft,,103-120,,
3:11.0,,,103-120,,Defensive rebound by A. Caruso
2:49.0,,,103-120,,B. Ingram misses 3-pt shot from 27 ft
2:46.0,Defensive rebound by E. Kanter,,103-120,,
2:34.0,T. Hardaway misses 3-pt shot from 23 ft,,103-120,,
2:32.0,,,103-120,,Defensive rebound by A. Caruso
2:16.0,,,103-120,,J. Clarkson misses 3-pt shot from 25 ft
2:11.0,Defensive rebound by J. Jack,,103-120,,
2:08.0,K. Porzingis misses 2-pt shot from 6 ft (block by L. Nance),,103-120,,
2:06.0,D. McDermott enters the game for T. Hardaway,,103-120,,
2:06.0,,,103-120,,LA Lakers full timeout
2:06.0,Jump ball: L. Nance vs. K. Porzingis (D. McDermott gains possession),,,,Jump ball: L. Nance vs. K. Porzingis (D. McDermott gains possession)
2:06.0,Defensive rebound by Team,,103-120,,
1:54.0,K. Porzingis misses 2-pt shot from 2 ft,,103-120,,
