time,Chicago,pts.away,score,pts.home,Boston
8:25.0,R. Arcidiacono makes 2-pt shot from 2 ft,2,41-38,,
8:11.0,,,41-38,,Shooting foul by J. Grant (drawn by A. Nader)
8:11.0,,,41-38,,A. Nader misses free throw 1 of 2
8:11.0,,,41-38,,Offensive rebound by Team
8:11.0,,,41-38,,A. Nader misses free throw 2 of 2
8:09.0,Defensive rebound by B. Portis,,41-38,,
7:58.0,J. Grant makes 2-pt shot from 3 ft,2,43-38,,
7:58.0,Shooting foul by A. Nader (drawn by J. Grant),,43-38,,
7:58.0,J. Grant misses free throw 1 of 1,,43-38,,
7:58.0,,,43-38,,Defensive rebound by S. Ojeleye
7:38.0,,,43-40,2,J. Bird makes 2-pt shot at rim (assist by G. Monroe)
7:27.0,,,43-40,,Personal foul by G. Monroe (drawn by B. Portis)
7:27.0,,,43-40,,A. Baynes enters the game for J. Bird
7:27.0,,,43-40,,J. Brown enters the game for G. Monroe
7:20.0,L. Markkanen makes 2-pt shot from 2 ft (assist by J. Grant),2,45-40,,
7:05.0,,,45-40,,A. Nader misses 2-pt shot from 1 ft
7:03.0,Defensive rebound by L. Markkanen,,45-40,,
6:54.0,B. Portis misses 2-pt shot from 5 ft,,45-40,,
6:52.0,,,45-40,,Defensive rebound by J. Brown
6:41.0,,,45-40,,J. Brown misses 3-pt shot from 24 ft
6:38.0,Defensive rebound by B. Portis,,45-40,,
6:31.0,J. Grant makes 2-pt shot from 22 ft,2,47-40,,
6:23.0,,,47-40,,Boston full timeout
6:23.0,,,47-40,,T. Rozier enters the game for A. Nader
6:23.0,,,47-40,,G. Yabusele enters the game for S. Ojeleye
6:23.0,D. Nwaba enters the game for S. Kilpatrick,,47-40,,
6:23.0,C. Felicio enters the game for J. Grant,,47-40,,
6:23.0,J. Holiday enters the game for B. Portis,,47-40,,
6:18.0,,,47-40,,J. Brown misses 2-pt shot from 19 ft
6:16.0,Defensive rebound by L. Markkanen,,47-40,,
6:03.0,J. Holiday misses 3-pt shot from 27 ft,,47-40,,
6:00.0,,,47-40,,Defensive rebound by A. Baynes
5:51.0,,,47-40,,G. Yabusele misses 3-pt shot from 24 ft
5:47.0,Defensive rebound by J. Holiday,,47-40,,
5:33.0,D. Nwaba makes 2-pt shot from 6 ft,2,49-40,,
5:23.0,,,49-40,,Turnover by J. Brown (lost ball; steal by R. Arcidiacono)
5:18.0,L. Markkanen makes 2-pt shot from 3 ft (assist by R. Arcidiacono),2,51-40,,
5:09.0,Personal foul by D. Nwaba (drawn by T. Rozier),,51-40,,
5:09.0,J. Grant enters the game for R. Arcidiacono,,51-40,,
5:09.0,C. Payne enters the game for D. Nwaba,,51-40,,
5:03.0,,,51-42,2,T. Rozier makes 2-pt shot from 8 ft (assist by S. Larkin)
4:47.0,J. Holiday misses 2-pt shot from 21 ft,,51-42,,
4:45.0,,,51-42,,Defensive rebound by J. Brown
4:30.0,,,51-44,2,A. Baynes makes 2-pt shot from 18 ft (assist by S. Larkin)
4:16.0,Turnover by J. Holiday (bad pass),,51-44,,
4:16.0,,,51-44,,M. Morris enters the game for S. Larkin
4:03.0,,,51-44,,J. Brown misses 2-pt shot from 6 ft
4:00.0,Defensive rebound by C. Felicio,,51-44,,
3:56.0,Shooting foul by A. Baynes (drawn by C. Felicio),,51-44,,
3:56.0,C. Felicio misses free throw 1 of 2,,51-44,,
3:56.0,Offensive rebound by Team,,51-44,,
3:56.0,C. Felicio makes free throw 2 of 2,1,52-44,,
3:44.0,,,52-44,,M. Morris misses 2-pt shot from 16 ft
3:42.0,Defensive rebound by C. Felicio,,52-44,,
3:32.0,C. Felicio misses 2-pt shot from 17 ft,,52-44,,
3:30.0,Offensive rebound by L. Markkanen,,52-44,,
3:30.0,,,52-44,,Personal foul by A. Baynes (drawn by L. Markkanen)
3:30.0,L. Markkanen makes free throw 1 of 2,1,53-44,,
3:30.0,,,53-44,,G. Monroe enters the game for G. Yabusele
3:30.0,,,53-44,,J. Bird enters the game for A. Baynes
3:30.0,O. Asik enters the game for C. Felicio,,53-44,,
3:30.0,L. Markkanen misses free throw 2 of 2,,53-44,,
3:28.0,,,53-44,,Defensive rebound by G. Monroe
3:11.0,,,53-47,3,J. Brown makes 3-pt shot from 23 ft (assist by J. Bird)
2:59.0,J. Holiday misses 3-pt shot from 25 ft,,53-47,,
2:57.0,,,53-47,,Defensive rebound by Team
2:57.0,Chicago full timeout,,53-47,,
2:39.0,,,53-47,,Shooting foul by O. Asik (drawn by G. Monroe)
2:39.0,,,53-48,1,G. Monroe makes free throw 1 of 2
2:39.0,,,53-49,1,G. Monroe makes free throw 2 of 2
2:28.0,C. Payne misses 2-pt shot from 16 ft,,53-49,,
2:25.0,,,53-49,,Defensive rebound by G. Monroe
2:18.0,,,53-49,,M. Morris misses 2-pt shot from 17 ft
2:16.0,Defensive rebound by L. Markkanen,,53-49,,
1:54.0,J. Holiday misses 2-pt shot from 19 ft,,53-49,,
1:51.0,Offensive rebound by C. Payne,,53-49,,
1:42.0,C. Payne misses 2-pt shot from 8 ft,,53-49,,
