time,Washington,pts.away,score,pts.home,Cleveland
2:27.0,J. Wall makes free throw 2 of 2,1,20-27,,
2:18.0,,,20-27,,Shooting foul by M. Scott (drawn by L. James)
2:18.0,,,20-27,,L. James misses free throw 1 of 2
2:18.0,,,20-27,,Offensive rebound by Team
2:18.0,,,20-28,1,L. James makes free throw 2 of 2
2:08.0,Shooting foul by L. James (drawn by K. Oubre),,20-28,,
2:08.0,K. Oubre makes free throw 1 of 2,1,21-28,,
2:08.0,K. Oubre makes free throw 2 of 2,1,22-28,,
1:54.0,,,22-31,3,K. Korver makes 3-pt shot from 23 ft (assist by J. Smith)
1:38.0,J. Wall makes 2-pt shot at rim,2,24-31,,
1:26.0,Personal foul by J. Meeks (drawn by K. Korver),,24-31,,
1:26.0,,,24-32,1,K. Korver makes free throw 1 of 2
1:26.0,,,24-33,1,K. Korver makes free throw 2 of 2
1:08.0,K. Oubre misses 2-pt shot from 1 ft (block by K. Korver),,24-33,,
1:06.0,Offensive rebound by M. Scott,,24-33,,
1:04.0,M. Scott misses 2-pt shot from 2 ft (block by L. Nance),,24-33,,
1:02.0,,,24-33,,Defensive rebound by K. Korver
0:57.0,,,24-35,2,L. James makes 2-pt shot from 1 ft
0:45.0,J. Wall makes 2-pt shot from 5 ft,2,26-35,,
0:37.0,,,26-37,2,J. Clarkson makes 2-pt shot at rim
0:23.0,K. Oubre misses 2-pt shot from 5 ft,,26-37,,
0:23.0,Offensive rebound by K. Oubre,,26-37,,
0:19.0,K. Oubre misses 2-pt shot at rim,,26-37,,
0:17.0,,,26-37,,Defensive rebound by L. Nance
0:02.0,,,26-39,2,L. James makes 2-pt shot from 1 ft
0:00.0,J. Wall misses 3-pt shot from 45 ft,,26-39,,
0:00.0,Offensive rebound by Team,,26-39,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,26-39,,J. Smith misses 2-pt shot from 21 ft
11:38.0,,,26-39,,Offensive rebound by L. Nance
11:38.0,,,26-39,,L. Nance misses 2-pt shot at rim
11:37.0,,,26-39,,Offensive rebound by L. Nance
11:34.0,,,26-39,,Cleveland full timeout
11:34.0,I. Mahinmi enters the game for J. Meeks,,26-39,,
11:27.0,,,26-39,,Turnover by K. Korver (bad pass)
11:18.0,Turnover by T. Satoransky (lost ball; steal by J. Clarkson),,26-39,,
11:15.0,,,26-41,2,J. Clarkson makes 2-pt shot from 1 ft
10:52.0,M. Scott makes 2-pt shot from 13 ft (assist by T. Satoransky),2,28-41,,
10:31.0,,,28-41,,J. Clarkson misses 2-pt shot from 7 ft
10:28.0,Defensive rebound by I. Mahinmi,,28-41,,
10:25.0,Turnover by I. Mahinmi (bad pass; steal by J. Clarkson),,28-41,,
10:15.0,,,28-41,,J. Clarkson misses 2-pt shot from 16 ft
10:11.0,Defensive rebound by T. Satoransky,,28-41,,
10:10.0,K. Oubre misses 2-pt shot from 15 ft,,28-41,,
10:10.0,Offensive rebound by Team,,28-41,,
10:10.0,,,28-41,,Loose ball foul by T. Thompson (drawn by M. Scott)
10:10.0,,,28-41,,J. Green enters the game for J. Clarkson
9:58.0,B. Beal makes 2-pt shot from 18 ft,2,30-41,,
9:43.0,,,30-41,,J. Green misses 2-pt shot from 21 ft
9:39.0,Defensive rebound by B. Beal,,30-41,,
9:25.0,I. Mahinmi misses 2-pt shot from 3 ft (block by L. Nance),,30-41,,
9:21.0,,,30-41,,Defensive rebound by L. Nance
9:10.0,,,30-43,2,J. Green makes 2-pt shot from 16 ft
8:46.0,M. Scott misses 2-pt shot from 18 ft,,30-43,,
8:43.0,,,30-43,,Defensive rebound by L. Nance
8:33.0,,,30-43,,K. Korver misses 3-pt shot from 27 ft
8:30.0,Defensive rebound by B. Beal,,30-43,,
8:15.0,B. Beal misses 2-pt shot from 2 ft,,30-43,,
8:15.0,,,30-43,,Defensive rebound by Team
8:15.0,Loose ball foul by I. Mahinmi (drawn by J. Green),,30-43,,
8:15.0,,,30-43,,K. Love enters the game for L. Nance
8:15.0,M. Morris enters the game for K. Oubre,,30-43,,
8:15.0,O. Porter enters the game for M. Scott,,30-43,,
8:07.0,,,30-45,2,J. Smith makes 2-pt shot from 1 ft
8:00.0,Washington full timeout,,30-45,,
7:45.0,T. Satoransky misses 2-pt shot from 8 ft,,30-45,,
7:43.0,Offensive rebound by O. Porter,,30-45,,
7:38.0,Turnover by O. Porter (bad pass; steal by J. Smith),,30-45,,
7:22.0,,,30-45,,K. Love misses 2-pt shot from 5 ft (block by O. Porter)
7:18.0,,,30-45,,Offensive rebound by K. Love
7:17.0,,,30-45,,K. Love misses 2-pt shot from 12 ft (block by O. Porter)
7:12.0,Defensive rebound by O. Porter,,30-45,,
7:12.0,B. Beal makes 2-pt shot from 1 ft,2,32-45,,
7:12.0,Shooting foul by K. Korver (drawn by B. Beal),,32-45,,
7:12.0,,,32-45,,L. James enters the game for K. Korver
7:12.0,J. Wall enters the game for T. Satoransky,,32-45,,
7:12.0,B. Beal makes free throw 1 of 1,1,33-45,,
6:52.0,,,33-47,2,K. Love makes 2-pt shot from 12 ft
6:33.0,O. Porter makes 2-pt shot from 16 ft (assist by B. Beal),2,35-47,,
6:16.0,,,35-47,,Turnover by K. Love (bad pass; steal by M. Morris)
6:11.0,O. Porter misses 2-pt shot at rim,,35-47,,
6:05.0,Offensive rebound by B. Beal,,35-47,,
5:58.0,O. Porter makes 2-pt shot from 18 ft (assist by B. Beal),2,37-47,,
5:47.0,,,37-47,,R. Hood enters the game for T. Thompson
5:44.0,,,37-47,,J. Smith misses 2-pt shot from 1 ft (block by I. Mahinmi)
5:41.0,Defensive rebound by J. Wall,,37-47,,
5:36.0,I. Mahinmi misses 2-pt shot from 7 ft,,37-47,,
5:34.0,,,37-47,,Defensive rebound by K. Love
5:33.0,,,37-47,,Turnover by K. Love (bad pass; steal by J. Wall)
5:27.0,B. Beal makes 3-pt shot from 25 ft (assist by M. Morris),3,40-47,,
5:27.0,,,40-47,,Cleveland full timeout
5:11.0,,,40-50,3,J. Green makes 3-pt shot from 23 ft (assist by L. James)
4:42.0,Turnover by J. Wall (bad pass; steal by J. Green),,40-50,,
4:37.0,,,40-52,2,J. Green makes 2-pt shot at rim
4:22.0,B. Beal makes 2-pt shot from 21 ft (assist by J. Wall),2,42-52,,
4:07.0,,,42-52,,L. James misses 2-pt shot from 1 ft
4:05.0,Defensive rebound by M. Morris,,42-52,,
3:51.0,J. Wall makes 2-pt shot at rim,2,44-52,,
3:27.0,,,44-55,3,K. Love makes 3-pt shot from 24 ft (assist by L. James)
3:05.0,I. Mahinmi makes 2-pt shot from 1 ft (assist by B. Beal),2,46-55,,
2:49.0,Personal foul by O. Porter (drawn by L. James),,46-55,,
2:49.0,,,46-55,,J. Clarkson enters the game for J. Smith
2:35.0,,,46-57,2,L. James makes 2-pt shot from 17 ft
2:28.0,Offensive foul by I. Mahinmi (drawn by J. Green),,46-57,,
2:28.0,Turnover by I. Mahinmi (offensive foul),,46-57,,
2:28.0,Washington full timeout,,46-57,,
2:13.0,,,46-59,2,L. James makes 2-pt shot from 2 ft (assist by K. Love)
1:49.0,M. Morris makes 2-pt shot at rim (assist by B. Beal),2,48-59,,
1:32.0,,,48-59,,Turnover by J. Green (lost ball; steal by I. Mahinmi)
1:29.0,O. Porter makes 2-pt shot from 1 ft (assist by B. Beal),2,50-59,,
1:03.0,,,50-59,,K. Love misses 2-pt shot from 2 ft (block by I. Mahinmi)
1:00.0,Defensive rebound by O. Porter,,50-59,,
0:57.0,,,50-59,,Personal foul by L. James (drawn by I. Mahinmi)
0:57.0,,,50-59,,L. Nance enters the game for K. Love
0:57.0,,,50-59,,C. Osman enters the game for R. Hood
0:49.0,Offensive foul by I. Mahinmi (drawn by C. Osman),,50-59,,
0:49.0,Turnover by I. Mahinmi (offensive foul),,50-59,,
0:49.0,M. Scott enters the game for M. Morris,,50-59,,
0:36.0,,,50-59,,L. Nance misses 2-pt shot from 20 ft
0:33.0,Defensive rebound by I. Mahinmi,,50-59,,
0:33.0,,,50-59,,Personal foul by L. Nance (drawn by J. Wall)
0:33.0,J. Wall makes free throw 1 of 2,1,51-59,,
0:33.0,J. Wall makes free throw 2 of 2,1,52-59,,
0:13.0,,,52-59,,L. James misses 3-pt shot from 27 ft
0:11.0,Defensive rebound by Team,,52-59,,
0:11.0,,,52-59,,J. Smith enters the game for L. James
0:11.0,M. Morris enters the game for I. Mahinmi,,52-59,,
0:01.0,J. Wall makes 2-pt shot from 17 ft,2,54-59,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,,,54-61,2,R. Hood makes 2-pt shot from 1 ft (assist by K. Love)
11:29.0,M. Gortat makes 2-pt shot from 1 ft (assist by J. Wall),2,56-61,,
11:12.0,,,56-61,,R. Hood misses 2-pt shot from 18 ft
11:09.0,Defensive rebound by O. Porter,,56-61,,
11:01.0,J. Wall misses 2-pt shot from 17 ft,,56-61,,
10:59.0,,,56-61,,Defensive rebound by K. Love
10:51.0,Personal foul by M. Gortat (drawn by K. Love),,56-61,,
10:46.0,,,56-61,,Turnover by C. Osman (traveling)
10:37.0,M. Morris misses 3-pt shot from 27 ft,,56-61,,
10:34.0,,,56-61,,Defensive rebound by C. Osman
10:13.0,,,56-61,,R. Hood misses 3-pt shot from 25 ft
10:10.0,Defensive rebound by O. Porter,,56-61,,
10:01.0,B. Beal makes 3-pt shot from 23 ft (assist by J. Wall),3,59-61,,
10:01.0,,,59-61,,Cleveland full timeout
9:47.0,,,59-63,2,R. Hood makes 2-pt shot from 2 ft (assist by L. James)
9:21.0,O. Porter makes 2-pt shot from 22 ft (assist by M. Morris),2,61-63,,
9:04.0,,,61-63,,K. Love misses 3-pt shot from 26 ft
9:03.0,Defensive rebound by M. Morris,,61-63,,
8:56.0,Turnover by J. Wall (bad pass; steal by C. Osman),,61-63,,
8:52.0,,,61-65,2,L. James makes 2-pt shot from 1 ft (assist by C. Osman)
8:33.0,O. Porter misses 3-pt shot from 26 ft,,61-65,,
8:29.0,Offensive rebound by M. Morris,,61-65,,
8:27.0,J. Wall makes 3-pt shot from 25 ft (assist by M. Morris),3,64-65,,
8:08.0,,,64-65,,Turnover by K. Love (lost ball; steal by O. Porter)
8:02.0,J. Wall makes 3-pt shot from 24 ft (assist by O. Porter),3,67-65,,
7:32.0,,,67-67,2,L. James makes 2-pt shot from 19 ft
7:03.0,J. Wall misses 2-pt shot from 18 ft,,67-67,,
6:57.0,Offensive rebound by O. Porter,,67-67,,
6:57.0,O. Porter makes 2-pt shot at rim,2,69-67,,
6:37.0,,,69-70,3,C. Osman makes 3-pt shot from 25 ft (assist by R. Hood)
6:21.0,O. Porter misses 3-pt shot from 23 ft,,69-70,,
6:18.0,,,69-70,,Defensive rebound by R. Hood
6:07.0,,,69-73,3,J. Green makes 3-pt shot from 23 ft (assist by R. Hood)
5:48.0,M. Gortat makes 2-pt shot from 1 ft (assist by O. Porter),2,71-73,,
5:32.0,,,71-76,3,C. Osman makes 3-pt shot from 24 ft (assist by L. James)
5:15.0,O. Porter makes 2-pt shot from 18 ft (assist by J. Wall),2,73-76,,
5:01.0,,,73-76,,J. Green misses 3-pt shot from 24 ft
4:58.0,Defensive rebound by M. Gortat,,73-76,,
4:53.0,B. Beal makes 3-pt shot from 25 ft (assist by J. Wall),3,76-76,,
4:31.0,,,76-76,,L. James misses 3-pt shot from 24 ft
4:30.0,Defensive rebound by B. Beal,,76-76,,
4:28.0,Shooting foul by R. Hood (drawn by J. Wall),,76-76,,
4:28.0,J. Wall makes free throw 1 of 2,1,77-76,,
4:28.0,,,77-76,,L. Nance enters the game for J. Green
4:28.0,,,77-76,,J. Smith enters the game for K. Love
4:28.0,,,77-76,,J. Clarkson enters the game for R. Hood
4:28.0,K. Oubre enters the game for O. Porter,,77-76,,
4:28.0,J. Wall makes free throw 2 of 2,1,78-76,,
4:12.0,,,78-76,,J. Clarkson misses 2-pt shot from 7 ft
4:10.0,Defensive rebound by M. Morris,,78-76,,
4:05.0,M. Gortat makes 2-pt shot from 1 ft (assist by J. Wall),2,80-76,,
3:46.0,,,80-76,,J. Clarkson misses 2-pt shot from 18 ft
3:45.0,Defensive rebound by B. Beal,,80-76,,
3:39.0,J. Wall makes 2-pt shot from 16 ft,2,82-76,,
3:12.0,,,82-76,,Turnover by L. James (out of bounds lost ball)
3:12.0,,,82-76,,K. Korver enters the game for C. Osman
2:57.0,Turnover by J. Wall (turnover),,82-76,,
2:57.0,Loose ball foul by J. Wall (drawn by K. Korver),,82-76,,
2:57.0,Washington full timeout,,82-76,,
2:57.0,T. Satoransky enters the game for B. Beal,,82-76,,
2:48.0,,,82-76,,Shooting foul by K. Oubre (drawn by L. James)
2:48.0,,,82-77,1,L. James makes free throw 1 of 2
2:48.0,,,82-78,1,L. James makes free throw 2 of 2
2:39.0,M. Morris makes 2-pt shot at rim (assist by J. Wall),2,84-78,,
2:29.0,Personal foul by K. Oubre (drawn by L. Nance),,84-78,,
2:20.0,,,84-80,2,L. Nance makes 2-pt shot from 15 ft (assist by L. James)
1:59.0,M. Morris makes 2-pt shot from 10 ft,2,86-80,,
1:46.0,,,86-80,,L. Nance misses 2-pt shot at rim
1:44.0,Defensive rebound by M. Gortat,,86-80,,
1:40.0,J. Wall misses 3-pt shot from 24 ft,,86-80,,
1:37.0,Offensive rebound by M. Gortat,,86-80,,
1:35.0,T. Satoransky makes 2-pt shot at rim (assist by M. Gortat),2,88-80,,
1:11.0,,,88-80,,Turnover by L. James (bad pass; steal by K. Oubre)
1:07.0,K. Oubre makes 2-pt shot at rim,2,90-80,,
0:43.0,,,90-80,,K. Korver misses 2-pt shot from 13 ft (block by T. Satoransky)
0:39.0,Defensive rebound by M. Gortat,,90-80,,
0:32.0,M. Gortat misses 2-pt shot from 17 ft,,90-80,,
0:28.0,,,90-80,,Defensive rebound by J. Smith
0:20.0,,,90-80,,J. Clarkson misses 3-pt shot from 24 ft
0:15.0,Defensive rebound by J. Wall,,90-80,,
0:14.0,Turnover by J. Wall (lost ball; steal by L. Nance),,90-80,,
0:11.0,,,90-82,2,J. Clarkson makes 2-pt shot from 1 ft (assist by J. Smith)
0:04.0,,,90-82,,Personal foul by J. Clarkson (drawn by J. Wall)
0:00.0,J. Wall misses 3-pt shot from 33 ft,,90-82,,
0:00.0,Offensive rebound by Team,,90-82,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,M. Scott makes 2-pt shot from 1 ft (assist by T. Satoransky),2,92-82,,
11:16.0,,,92-84,2,J. Clarkson makes 2-pt shot from 1 ft
11:00.0,M. Scott makes 3-pt shot from 24 ft (assist by T. Satoransky),3,95-84,,
10:36.0,,,95-86,2,J. Smith makes 2-pt shot from 18 ft (assist by J. Clarkson)
10:10.0,B. Beal misses 2-pt shot from 18 ft,,95-86,,
10:08.0,Offensive rebound by M. Gortat,,95-86,,
9:51.0,T. Satoransky misses 2-pt shot from 20 ft,,95-86,,
9:47.0,,,95-86,,Defensive rebound by L. Nance
9:43.0,,,95-86,,Turnover by J. Clarkson (out of bounds lost ball)
9:31.0,M. Gortat misses 2-pt shot from 11 ft,,95-86,,
9:29.0,,,95-86,,Defensive rebound by L. Nance
9:21.0,,,95-86,,Turnover by J. Smith (bad pass; steal by K. Oubre)
9:17.0,B. Beal misses 2-pt shot from 14 ft,,95-86,,
9:14.0,Offensive rebound by T. Satoransky,,95-86,,
8:58.0,M. Scott makes 3-pt shot from 24 ft (assist by B. Beal),3,98-86,,
8:35.0,Shooting block foul by M. Gortat (drawn by L. Nance),,98-86,,
8:35.0,,,98-87,1,L. Nance makes free throw 1 of 2
8:35.0,,,98-87,,L. Nance misses free throw 2 of 2
8:30.0,Defensive rebound by M. Gortat,,98-87,,
8:23.0,K. Oubre misses 2-pt shot from 2 ft,,98-87,,
8:21.0,,,98-87,,Defensive rebound by L. Nance
8:06.0,,,98-87,,L. Nance misses 2-pt shot from 2 ft (block by M. Gortat)
8:02.0,Defensive rebound by B. Beal,,98-87,,
7:59.0,T. Satoransky makes 3-pt shot from 23 ft (assist by B. Beal),3,101-87,,
7:59.0,,,101-87,,Cleveland full timeout
7:59.0,,,101-87,,K. Love enters the game for L. Nance
7:48.0,,,101-87,,Turnover by J. Smith (turnover)
7:48.0,,,101-87,,Loose ball foul by J. Smith (drawn by K. Oubre)
7:48.0,,,101-87,,L. James enters the game for T. Thompson
7:35.0,B. Beal makes 3-pt shot from 24 ft (assist by T. Satoransky),3,104-87,,
7:23.0,,,104-89,2,K. Korver makes 2-pt shot from 1 ft (assist by L. James)
7:05.0,Offensive foul by M. Scott (drawn by J. Clarkson),,104-89,,
7:05.0,Turnover by M. Scott (offensive foul),,104-89,,
7:05.0,M. Morris enters the game for M. Gortat,,104-89,,
7:05.0,J. Wall enters the game for T. Satoransky,,104-89,,
7:05.0,,,104-89,,R. Hood enters the game for J. Smith
6:52.0,,,104-89,,Turnover by J. Clarkson (out of bounds lost ball)
6:32.0,M. Morris misses 2-pt shot from 15 ft,,104-89,,
6:30.0,,,104-89,,Defensive rebound by R. Hood
6:26.0,,,104-89,,Shooting foul by M. Scott (drawn by R. Hood)
6:26.0,,,104-89,,R. Hood misses free throw 1 of 2
6:26.0,,,104-89,,Offensive rebound by Team
6:26.0,,,104-89,,J. Green enters the game for J. Clarkson
6:26.0,,,104-90,1,R. Hood makes free throw 2 of 2
6:06.0,K. Oubre makes 2-pt shot from 1 ft (assist by M. Morris),2,106-90,,
5:55.0,,,106-90,,L. James misses 3-pt shot from 25 ft
5:53.0,,,106-90,,Offensive rebound by L. James
5:52.0,,,106-92,2,R. Hood makes 2-pt shot from 2 ft (assist by L. James)
5:52.0,,,106-92,,Shooting foul by K. Oubre (drawn by R. Hood)
5:52.0,,,106-93,1,R. Hood makes free throw 1 of 1
5:39.0,B. Beal misses 2-pt shot from 20 ft,,106-93,,
5:37.0,,,106-93,,Defensive rebound by R. Hood
5:34.0,,,106-96,3,L. James makes 3-pt shot from 25 ft
5:32.0,Washington full timeout,,106-96,,
5:32.0,O. Porter enters the game for K. Oubre,,106-96,,
5:14.0,M. Morris makes 2-pt shot from 10 ft,2,108-96,,
5:03.0,,,108-98,2,J. Green makes 2-pt shot from 2 ft
4:45.0,Turnover by B. Beal (traveling),,108-98,,
4:22.0,,,108-100,2,L. James makes 2-pt shot from 1 ft
4:03.0,J. Wall misses 2-pt shot from 22 ft,,108-100,,
4:00.0,Offensive rebound by M. Morris,,108-100,,
3:56.0,O. Porter misses 3-pt shot from 23 ft,,108-100,,
3:53.0,,,108-100,,Defensive rebound by K. Korver
3:48.0,Violation by M. Morris (kicked ball),,108-100,,
3:41.0,,,108-100,,K. Korver misses 3-pt shot from 24 ft
3:38.0,Defensive rebound by J. Wall,,108-100,,
3:30.0,M. Morris makes 2-pt shot from 1 ft (assist by J. Wall),2,110-100,,
3:16.0,,,110-102,2,L. James makes 2-pt shot at rim
2:59.0,M. Scott misses 2-pt shot from 3 ft,,110-102,,
2:57.0,,,110-102,,Defensive rebound by K. Korver
2:53.0,,,110-104,2,L. James makes 2-pt shot from 1 ft
2:53.0,Washington full timeout,,110-104,,
2:44.0,M. Morris misses 2-pt shot from 2 ft,,110-104,,
2:41.0,,,110-104,,Defensive rebound by K. Love
2:40.0,,,110-104,,Shooting foul by M. Scott (drawn by L. James)
2:40.0,,,110-105,1,L. James makes free throw 1 of 2
2:40.0,,,110-106,1,L. James makes free throw 2 of 2
2:25.0,M. Morris misses 3-pt shot from 24 ft,,110-106,,
2:22.0,,,110-106,,Defensive rebound by L. James
2:10.0,,,110-108,2,J. Green makes 2-pt shot from 1 ft (assist by L. James)
1:52.0,Turnover by O. Porter (bad pass; steal by R. Hood),,110-108,,
1:50.0,,,110-108,,Shooting foul by J. Wall (drawn by R. Hood)
1:50.0,,,110-109,1,R. Hood makes free throw 1 of 2
1:50.0,,,110-110,1,R. Hood makes free throw 2 of 2
1:40.0,,,110-110,,Personal block foul by K. Love (drawn by B. Beal)
1:35.0,M. Morris makes 2-pt shot from 2 ft (assist by B. Beal),2,112-110,,
1:35.0,Shooting foul by K. Love (drawn by M. Morris),,112-110,,
1:35.0,M. Morris makes free throw 1 of 1,1,113-110,,
1:19.0,,,113-113,3,K. Korver makes 3-pt shot from 22 ft (assist by L. James)
0:59.0,J. Wall makes 2-pt shot from 19 ft,2,115-113,,
0:58.0,,,115-113,,Cleveland full timeout
0:52.0,,,115-113,,Shooting foul by B. Beal (drawn by L. James)
0:52.0,,,115-113,,L. James misses free throw 1 of 2
0:52.0,,,115-113,,Offensive rebound by Team
0:52.0,,,115-113,,C. Osman enters the game for K. Love
0:52.0,,,115-113,,J. Smith enters the game for K. Korver
0:52.0,,,115-114,1,L. James makes free throw 2 of 2
0:32.0,J. Wall misses 2-pt shot from 22 ft,,115-114,,
0:28.0,,,115-114,,Defensive rebound by L. James
0:23.0,,,115-114,,L. James misses 3-pt shot from 25 ft
0:21.0,,,115-114,,Offensive rebound by Team
0:21.0,Loose ball foul by M. Scott (drawn by J. Green),,115-114,,
0:21.0,,,115-115,1,J. Green makes free throw 1 of 2
0:21.0,M. Gortat enters the game for M. Scott,,115-115,,
0:21.0,,,115-116,1,J. Green makes free throw 2 of 2
0:21.0,Washington full timeout,,115-116,,
