time,Memphis,pts.away,score,pts.home,Oklahoma City
3:30.0,,,14-26,3,P. George makes 3-pt shot from 24 ft
3:28.0,Memphis full timeout,,14-26,,
3:28.0,Technical foul by M. Chalmers,,14-26,,
3:28.0,T. Evans enters the game for M. Henry,,14-26,,
3:28.0,I. Rabb enters the game for M. Gasol,,14-26,,
3:28.0,,,14-27,1,P. George makes technical free throw
3:13.0,J. Martin misses 2-pt shot from 1 ft (block by S. Adams),,14-27,,
3:12.0,Offensive rebound by Team,,14-27,,
3:12.0,,,14-27,,P. Patterson enters the game for S. Adams
3:01.0,B. McLemore misses 2-pt shot from 6 ft,,14-27,,
2:57.0,,,14-27,,Defensive rebound by A. Abrines
2:41.0,,,14-27,,Turnover by J. Grant (out of bounds lost ball)
2:31.0,,,14-27,,Personal foul by J. Grant (drawn by M. Chalmers)
2:22.0,M. Chalmers misses 3-pt shot from 23 ft,,14-27,,
2:19.0,,,14-27,,Defensive rebound by P. Patterson
2:13.0,,,14-27,,P. George misses 3-pt shot from 26 ft
2:12.0,,,14-27,,Offensive rebound by A. Abrines
2:12.0,,,14-27,,A. Abrines misses 2-pt shot at rim
2:10.0,,,14-27,,Offensive rebound by A. Abrines
2:10.0,,,14-27,,A. Abrines misses 2-pt shot at rim
2:06.0,Defensive rebound by T. Evans,,14-27,,
1:59.0,T. Evans makes 2-pt shot from 2 ft,2,16-27,,
1:35.0,,,16-29,2,P. Patterson makes 2-pt shot at rim (assist by J. Grant)
1:23.0,T. Evans misses 3-pt shot from 24 ft,,16-29,,
1:20.0,,,16-29,,Defensive rebound by P. Patterson
1:16.0,,,16-31,2,P. George makes 2-pt shot at rim
1:16.0,,,16-31,,Shooting foul by J. Martin (drawn by P. George)
1:16.0,A. Harrison enters the game for M. Chalmers,,16-31,,
1:16.0,D. Brooks enters the game for I. Rabb,,16-31,,
1:16.0,,,16-31,,P. George misses free throw 1 of 1
1:14.0,Defensive rebound by J. Martin,,16-31,,
0:55.0,J. Martin makes 2-pt shot from 13 ft (assist by D. Brooks),2,18-31,,
0:47.0,,,18-34,3,A. Abrines makes 3-pt shot from 24 ft (assist by P. George)
0:29.0,Offensive foul by A. Harrison (drawn by J. Grant),,18-34,,
0:29.0,Turnover by A. Harrison (offensive foul),,18-34,,
0:29.0,J. Green enters the game for A. Harrison,,18-34,,
0:14.0,,,18-34,,Shooting foul by T. Evans (drawn by J. Grant)
0:14.0,,,18-34,,J. Grant misses free throw 1 of 2
0:14.0,,,18-34,,Offensive rebound by Team
0:14.0,,,18-35,1,J. Grant makes free throw 2 of 2
0:07.0,,,18-35,,Personal take foul by J. Huestis (drawn by T. Evans)
0:00.0,T. Evans misses 3-pt shot from 24 ft,,18-35,,
0:00.0,Offensive rebound by Team,,18-35,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,18-35,,Shooting foul by J. Martin (drawn by J. Grant)
11:46.0,,,18-35,,J. Grant misses free throw 1 of 2
11:46.0,,,18-35,,Offensive rebound by Team
11:46.0,,,18-36,1,J. Grant makes free throw 2 of 2
11:32.0,B. McLemore makes 3-pt shot from 23 ft (assist by T. Evans),3,21-36,,
11:14.0,Personal foul by J. Martin (drawn by J. Grant),,21-36,,
11:14.0,I. Rabb enters the game for J. Martin,,21-36,,
11:04.0,Personal foul by D. Brooks (drawn by J. Grant),,21-36,,
10:52.0,,,21-36,,R. Felton misses 3-pt shot from 24 ft
10:49.0,Defensive rebound by J. Green,,21-36,,
10:45.0,B. McLemore misses 3-pt shot from 25 ft,,21-36,,
10:43.0,,,21-36,,Defensive rebound by J. Grant
10:30.0,,,21-38,2,J. Grant makes 2-pt shot from 1 ft
10:30.0,,,21-38,,Shooting foul by I. Rabb (drawn by J. Grant)
10:30.0,A. Harrison enters the game for T. Evans,,21-38,,
10:30.0,,,21-38,,J. Grant misses free throw 1 of 1
10:28.0,Defensive rebound by I. Rabb,,21-38,,
10:12.0,J. Green misses 2-pt shot from 1 ft,,21-38,,
10:09.0,Offensive rebound by J. Green,,21-38,,
10:07.0,I. Rabb makes 2-pt shot at rim (assist by J. Green),2,23-38,,
9:54.0,,,23-38,,J. Huestis misses 3-pt shot from 24 ft
9:51.0,Defensive rebound by I. Rabb,,23-38,,
9:44.0,J. Green misses 3-pt shot from 23 ft,,23-38,,
9:40.0,,,23-38,,Defensive rebound by P. Patterson
9:28.0,Personal foul by J. Green (drawn by J. Grant),,23-38,,
9:28.0,,,23-39,1,J. Grant makes free throw 1 of 2
9:28.0,M. Gasol enters the game for J. Green,,23-39,,
9:28.0,,,23-40,1,J. Grant makes free throw 2 of 2
9:08.0,M. Gasol misses 2-pt shot from 6 ft,,23-40,,
9:07.0,Offensive rebound by Team,,23-40,,
9:07.0,,,23-40,,Loose ball foul by T. Ferguson (drawn by I. Rabb)
9:07.0,,,23-40,,S. Adams enters the game for J. Grant
8:54.0,M. Gasol makes 2-pt shot from 22 ft (assist by A. Harrison),2,25-40,,
8:43.0,Personal foul by A. Harrison (drawn by R. Felton),,25-40,,
8:43.0,,,25-41,1,R. Felton makes free throw 1 of 2
8:43.0,M. Chalmers enters the game for A. Harrison,,25-41,,
8:43.0,,,25-42,1,R. Felton makes free throw 2 of 2
8:28.0,M. Gasol makes 2-pt shot at rim (assist by M. Chalmers),2,27-42,,
8:15.0,,,27-45,3,P. Patterson makes 3-pt shot from 24 ft (assist by R. Felton)
7:58.0,,,27-45,,P. George enters the game for R. Felton
7:50.0,D. Brooks makes 2-pt shot from 1 ft,2,29-45,,
7:34.0,,,29-48,3,J. Huestis makes 3-pt shot from 22 ft (assist by S. Adams)
7:33.0,Memphis full timeout,,29-48,,
7:16.0,Technical foul by D. Brooks (drawn by J. Huestis),,29-48,,
7:16.0,Turnover by D. Brooks (turnover),,29-48,,
7:16.0,,,29-49,1,J. Huestis makes flagrant free throw 1 of 2
7:16.0,J. Green enters the game for I. Rabb,,29-49,,
7:16.0,T. Evans enters the game for D. Brooks,,29-49,,
7:16.0,,,29-49,,J. Huestis misses flagrant free throw 2 of 2
7:16.0,,,29-49,,Offensive rebound by Team
7:10.0,,,29-49,,P. George misses 2-pt shot from 17 ft
7:07.0,Defensive rebound by J. Green,,29-49,,
6:56.0,Shooting foul by P. Patterson (drawn by T. Evans),,29-49,,
6:56.0,T. Evans makes free throw 1 of 2,1,30-49,,
6:56.0,,,30-49,,R. Felton enters the game for T. Ferguson
6:56.0,,,30-49,,A. Abrines enters the game for J. Huestis
6:56.0,T. Evans makes free throw 2 of 2,1,31-49,,
6:41.0,,,31-49,,R. Felton misses 2-pt shot from 14 ft
6:39.0,,,31-49,,Offensive rebound by Team
6:39.0,Loose ball foul by M. Gasol (drawn by S. Adams),,31-49,,
6:39.0,,,31-49,,S. Adams misses free throw 1 of 2
6:39.0,,,31-49,,Offensive rebound by Team
6:39.0,,,31-49,,S. Adams misses free throw 2 of 2
6:37.0,Defensive rebound by M. Gasol,,31-49,,
6:32.0,B. McLemore misses 2-pt shot from 3 ft (block by P. Patterson),,31-49,,
6:30.0,Offensive rebound by Team,,31-49,,
6:30.0,M. Henry enters the game for B. McLemore,,31-49,,
6:28.0,T. Evans misses 2-pt shot from 20 ft (block by P. George),,31-49,,
6:28.0,Offensive rebound by Team,,31-49,,
6:21.0,Shooting foul by S. Adams (drawn by T. Evans),,31-49,,
6:21.0,T. Evans makes free throw 1 of 2,1,32-49,,
6:21.0,,,32-49,,Oklahoma City full timeout
6:21.0,T. Evans makes free throw 2 of 2,1,33-49,,
6:06.0,,,33-51,2,A. Abrines makes 2-pt shot from 11 ft (assist by R. Felton)
5:44.0,M. Chalmers makes 2-pt shot from 5 ft (assist by M. Henry),2,35-51,,
5:33.0,Personal foul by M. Chalmers (drawn by R. Felton),,35-51,,
5:33.0,,,35-52,1,R. Felton makes free throw 1 of 2
5:33.0,,,35-52,,J. Grant enters the game for P. Patterson
5:33.0,,,35-53,1,R. Felton makes free throw 2 of 2
5:16.0,M. Gasol misses 2-pt shot from 10 ft,,35-53,,
5:14.0,Offensive rebound by J. Green,,35-53,,
5:14.0,J. Green makes 2-pt shot at rim,2,37-53,,
4:55.0,,,37-53,,Shooting foul by T. Evans (drawn by S. Adams)
4:55.0,,,37-53,,S. Adams misses free throw 1 of 2
4:55.0,,,37-53,,Offensive rebound by Team
4:55.0,,,37-54,1,S. Adams makes free throw 2 of 2
4:46.0,,,37-54,,Personal foul by S. Adams (drawn by M. Chalmers)
4:39.0,,,37-54,,Personal foul by A. Abrines (drawn by M. Chalmers)
4:39.0,M. Chalmers makes free throw 1 of 2,1,38-54,,
4:39.0,M. Chalmers makes free throw 2 of 2,1,39-54,,
4:28.0,,,39-57,3,A. Abrines makes 3-pt shot from 22 ft (assist by P. George)
4:16.0,,,39-57,,Personal foul by R. Felton (drawn by T. Evans)
4:16.0,T. Evans misses free throw 1 of 2,,39-57,,
4:16.0,Offensive rebound by Team,,39-57,,
4:16.0,T. Evans makes free throw 2 of 2,1,40-57,,
4:09.0,,,40-60,3,P. George makes 3-pt shot from 24 ft
3:55.0,Offensive charge foul by M. Gasol (drawn by P. George),,40-60,,
3:55.0,Turnover by M. Gasol (offensive foul),,40-60,,
3:42.0,,,40-62,2,R. Felton makes 2-pt shot from 8 ft
3:30.0,M. Gasol misses 3-pt shot from 25 ft,,40-62,,
3:28.0,Offensive rebound by J. Green,,40-62,,
3:24.0,M. Gasol makes 2-pt shot from 4 ft (assist by T. Evans),2,42-62,,
3:07.0,,,42-64,2,S. Adams makes 2-pt shot from 1 ft (assist by P. George)
2:52.0,,,42-64,,Personal foul by J. Grant (drawn by J. Green)
2:52.0,J. Green makes free throw 1 of 2,1,43-64,,
2:52.0,,,43-64,,P. Patterson enters the game for J. Grant
2:52.0,B. McLemore enters the game for M. Henry,,43-64,,
2:52.0,J. Green makes free throw 2 of 2,1,44-64,,
2:41.0,,,44-64,,P. George misses 3-pt shot from 25 ft
2:36.0,Defensive rebound by J. Green,,44-64,,
2:32.0,T. Evans makes 2-pt shot at rim,2,46-64,,
2:15.0,,,46-64,,R. Felton misses 3-pt shot from 24 ft
2:13.0,Defensive rebound by M. Gasol,,46-64,,
2:03.0,T. Evans misses 2-pt shot at rim,,46-64,,
2:02.0,Offensive rebound by J. Green,,46-64,,
2:02.0,J. Green misses 2-pt shot at rim,,46-64,,
1:59.0,Offensive rebound by Team,,46-64,,
1:54.0,B. McLemore makes 3-pt shot from 26 ft (assist by M. Chalmers),3,49-64,,
1:41.0,Personal foul by B. McLemore (drawn by P. George),,49-64,,
1:41.0,,,49-65,1,P. George makes free throw 1 of 2
1:41.0,,,49-65,,P. George misses free throw 2 of 2
1:39.0,Defensive rebound by Team,,49-65,,
1:29.0,M. Gasol makes 3-pt shot from 26 ft (assist by M. Chalmers),3,52-65,,
1:16.0,,,52-68,3,A. Abrines makes 3-pt shot from 24 ft (assist by P. Patterson)
1:00.0,M. Gasol makes 2-pt shot from 1 ft,2,54-68,,
0:47.0,,,54-68,,Shooting foul by J. Green (drawn by P. Patterson)
0:47.0,,,54-69,1,P. Patterson makes free throw 1 of 2
0:47.0,,,54-70,1,P. Patterson makes free throw 2 of 2
0:35.0,Turnover by T. Evans (bad pass; steal by P. George),,54-70,,
0:32.0,,,54-72,2,A. Abrines makes 2-pt shot from 1 ft (assist by P. Patterson)
0:08.0,J. Green misses 2-pt shot from 7 ft,,54-72,,
0:06.0,,,54-72,,Defensive rebound by A. Abrines
0:01.0,Personal foul by M. Chalmers (drawn by P. George),,54-72,,
0:01.0,,,54-73,1,P. George makes free throw 1 of 2
0:01.0,,,54-74,1,P. George makes free throw 2 of 2
0:00.0,M. Chalmers misses 3-pt shot from 61 ft,,54-74,,
0:00.0,Offensive rebound by Team,,54-74,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,,,54-77,3,R. Felton makes 3-pt shot from 23 ft (assist by P. George)
11:32.0,Turnover by A. Harrison (traveling),,54-77,,
11:23.0,,,54-77,,P. George misses 2-pt shot from 17 ft
11:22.0,Defensive rebound by J. Green,,54-77,,
11:12.0,A. Harrison misses 3-pt shot from 23 ft,,54-77,,
11:07.0,Offensive rebound by D. Brooks,,54-77,,
11:02.0,Turnover by T. Evans (bad pass; steal by P. George),,54-77,,
10:47.0,,,54-77,,Shooting foul by A. Harrison (drawn by P. Patterson)
10:47.0,,,54-78,1,P. Patterson makes free throw 1 of 2
10:47.0,J. Martin enters the game for A. Harrison,,54-78,,
10:47.0,,,54-79,1,P. Patterson makes free throw 2 of 2
10:33.0,M. Gasol misses 3-pt shot from 24 ft,,54-79,,
10:30.0,,,54-79,,Defensive rebound by R. Felton
10:24.0,,,54-82,3,P. George makes 3-pt shot from 25 ft
10:11.0,D. Brooks misses 2-pt shot from 17 ft,,54-82,,
10:07.0,,,54-82,,Defensive rebound by R. Felton
10:01.0,,,54-82,,P. George misses 3-pt shot from 24 ft
9:59.0,Defensive rebound by J. Martin,,54-82,,
9:48.0,Shooting foul by S. Adams (drawn by M. Gasol),,54-82,,
9:48.0,M. Gasol makes free throw 1 of 2,1,55-82,,
9:48.0,M. Gasol makes free throw 2 of 2,1,56-82,,
9:38.0,,,56-82,,Shooting foul by D. Brooks (drawn by P. George)
9:38.0,,,56-83,1,P. George makes free throw 1 of 2
9:38.0,,,56-83,,P. George misses free throw 2 of 2
9:36.0,Defensive rebound by J. Martin,,56-83,,
9:22.0,T. Evans makes 3-pt shot from 24 ft (assist by D. Brooks),3,59-83,,
9:04.0,,,59-83,,R. Felton misses 3-pt shot from 25 ft
9:02.0,Defensive rebound by T. Evans,,59-83,,
8:48.0,J. Martin misses 3-pt shot from 23 ft,,59-83,,
8:45.0,Offensive rebound by J. Green,,59-83,,
8:45.0,Shooting foul by A. Abrines (drawn by J. Green),,59-83,,
8:45.0,J. Green makes free throw 1 of 2,1,60-83,,
8:45.0,J. Green makes free throw 2 of 2,1,61-83,,
8:32.0,,,61-83,,P. Patterson misses 3-pt shot from 25 ft
8:28.0,Defensive rebound by M. Gasol,,61-83,,
8:24.0,T. Evans misses 2-pt shot from 2 ft,,61-83,,
8:22.0,,,61-83,,Defensive rebound by S. Adams
8:19.0,,,61-83,,Shooting foul by J. Martin (drawn by P. George)
8:19.0,,,61-84,1,P. George makes free throw 1 of 2
8:19.0,,,61-85,1,P. George makes free throw 2 of 2
7:59.0,Turnover by M. Gasol (bad pass),,61-85,,
7:37.0,,,61-85,,R. Felton misses 3-pt shot from 25 ft
7:34.0,Defensive rebound by T. Evans,,61-85,,
7:29.0,,,61-85,,Personal foul by P. George (drawn by T. Evans)
7:29.0,B. McLemore enters the game for D. Brooks,,61-85,,
7:20.0,B. McLemore misses 2-pt shot from 5 ft,,61-85,,
7:19.0,Offensive rebound by T. Evans,,61-85,,
7:19.0,T. Evans misses 2-pt shot at rim,,61-85,,
7:18.0,,,61-85,,Defensive rebound by A. Abrines
7:09.0,,,61-85,,Oklahoma City full timeout
7:01.0,,,61-85,,A. Abrines misses 3-pt shot from 26 ft
6:58.0,Defensive rebound by M. Gasol,,61-85,,
6:40.0,M. Gasol makes 2-pt shot from 3 ft (assist by J. Green),2,63-85,,
6:40.0,Shooting foul by S. Adams (drawn by M. Gasol),,63-85,,
6:40.0,,,63-85,,J. Grant enters the game for S. Adams
6:40.0,M. Gasol makes free throw 1 of 1,1,64-85,,
6:24.0,,,64-87,2,P. George makes 2-pt shot from 15 ft (assist by R. Felton)
6:07.0,,,64-87,,Violation by A. Abrines (kicked ball)
6:01.0,B. McLemore misses 3-pt shot from 24 ft,,64-87,,
5:59.0,Offensive rebound by Team,,64-87,,
5:59.0,,,64-87,,Loose ball foul by P. Patterson (drawn by M. Gasol)
5:59.0,M. Gasol makes free throw 1 of 2,1,65-87,,
5:59.0,M. Chalmers enters the game for T. Evans,,65-87,,
5:59.0,M. Gasol makes free throw 2 of 2,1,66-87,,
5:46.0,,,66-89,2,P. Patterson makes 2-pt shot from 6 ft
5:30.0,M. Gasol misses 2-pt shot from 1 ft,,66-89,,
5:29.0,Offensive rebound by J. Green,,66-89,,
5:29.0,J. Green makes 2-pt shot at rim,2,68-89,,
5:11.0,,,68-89,,P. George misses 2-pt shot from 2 ft (block by M. Gasol)
5:11.0,Defensive rebound by B. McLemore,,68-89,,
5:05.0,J. Green misses 2-pt shot from 12 ft,,68-89,,
5:01.0,,,68-89,,Defensive rebound by Team
4:49.0,,,68-89,,P. Patterson misses 3-pt shot from 22 ft
4:49.0,Defensive rebound by J. Green,,68-89,,
4:41.0,J. Martin makes 2-pt shot from 1 ft (assist by M. Chalmers),2,70-89,,
4:23.0,,,70-89,,P. George misses 2-pt shot from 19 ft
4:21.0,,,70-89,,Offensive rebound by Team
4:21.0,,,70-89,,J. Huestis enters the game for R. Felton
4:21.0,I. Rabb enters the game for J. Green,,70-89,,
4:15.0,,,70-89,,P. George misses 2-pt shot from 18 ft
4:13.0,Defensive rebound by J. Martin,,70-89,,
3:57.0,I. Rabb makes 2-pt shot from 13 ft (assist by M. Gasol),2,72-89,,
3:41.0,,,72-92,3,P. Patterson makes 3-pt shot from 25 ft (assist by P. George)
3:16.0,I. Rabb makes 2-pt shot from 6 ft (assist by M. Chalmers),2,74-92,,
3:02.0,,,74-92,,P. George misses 3-pt shot from 24 ft
3:00.0,Defensive rebound by I. Rabb,,74-92,,
2:38.0,B. McLemore makes 3-pt shot from 25 ft (assist by J. Martin),3,77-92,,
2:36.0,,,77-92,,Oklahoma City full timeout
2:36.0,,,77-92,,D. Johnson enters the game for P. Patterson
2:23.0,,,77-92,,J. Grant misses 2-pt shot from 3 ft
2:22.0,,,77-92,,Offensive rebound by D. Johnson
2:21.0,Personal foul by B. McLemore (drawn by D. Johnson),,77-92,,
2:11.0,,,77-92,,P. George misses 2-pt shot from 16 ft
2:08.0,Defensive rebound by Team,,77-92,,
1:58.0,,,77-92,,Personal foul by A. Abrines (drawn by B. McLemore)
1:58.0,B. McLemore makes free throw 1 of 2,1,78-92,,
1:58.0,B. McLemore makes free throw 2 of 2,1,79-92,,
1:43.0,,,79-94,2,J. Grant makes 2-pt shot from 1 ft (assist by P. George)
1:25.0,,,79-94,,Personal foul by J. Huestis (drawn by J. Martin)
1:25.0,J. Martin makes free throw 1 of 2,1,80-94,,
1:25.0,J. Martin misses free throw 2 of 2,,80-94,,
1:23.0,,,80-94,,Defensive rebound by D. Johnson
1:10.0,Personal foul by M. Chalmers (drawn by D. Johnson),,80-94,,
1:10.0,,,80-95,1,D. Johnson makes free throw 1 of 2
1:10.0,,,80-95,,D. Johnson misses free throw 2 of 2
1:08.0,Defensive rebound by M. Gasol,,80-95,,
0:50.0,M. Gasol misses 2-pt shot from 10 ft,,80-95,,
0:49.0,,,80-95,,Defensive rebound by P. George
0:31.0,,,80-95,,P. George misses 2-pt shot from 12 ft
0:27.0,,,80-95,,Offensive rebound by J. Grant
0:26.0,,,80-95,,J. Grant misses 2-pt shot from 3 ft (block by B. McLemore)
0:23.0,Defensive rebound by J. Martin,,80-95,,
0:06.0,M. Gasol misses 3-pt shot from 25 ft,,80-95,,
0:03.0,,,80-95,,Defensive rebound by J. Huestis
0:00.0,,,80-95,,A. Abrines misses 3-pt shot from 34 ft
0:00.0,,,80-95,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,Offensive foul by M. Chalmers (drawn by J. Grant),,80-95,,
11:38.0,Turnover by M. Chalmers (offensive foul),,80-95,,
11:30.0,,,80-95,,Shooting foul by I. Rabb (drawn by R. Felton)
11:30.0,,,80-96,1,R. Felton makes free throw 1 of 2
11:30.0,,,80-97,1,R. Felton makes free throw 2 of 2
11:15.0,B. McLemore misses 3-pt shot from 25 ft,,80-97,,
11:12.0,,,80-97,,Defensive rebound by J. Grant
11:00.0,,,80-97,,T. Ferguson misses 3-pt shot from 23 ft
10:56.0,Defensive rebound by I. Rabb,,80-97,,
10:43.0,T. Evans misses 2-pt shot from 4 ft,,80-97,,
10:40.0,,,80-97,,Defensive rebound by J. Grant
10:31.0,,,80-97,,Shooting foul by I. Rabb (drawn by J. Grant)
10:31.0,,,80-97,,J. Grant misses free throw 1 of 2
10:31.0,,,80-97,,Offensive rebound by Team
10:31.0,A. Harrison enters the game for M. Chalmers,,80-97,,
10:31.0,J. Martin enters the game for I. Rabb,,80-97,,
10:31.0,,,80-97,,J. Grant misses free throw 2 of 2
10:29.0,Defensive rebound by J. Martin,,80-97,,
10:14.0,J. Martin misses 2-pt shot from 18 ft,,80-97,,
10:12.0,,,80-97,,Defensive rebound by P. Patterson
9:58.0,,,80-97,,R. Felton misses 3-pt shot from 25 ft
9:55.0,Defensive rebound by J. Martin,,80-97,,
9:36.0,T. Evans misses 3-pt shot from 25 ft,,80-97,,
9:33.0,,,80-97,,Defensive rebound by R. Felton
9:13.0,,,80-99,2,J. Grant makes 2-pt shot from 2 ft
9:13.0,,,80-99,,Shooting foul by T. Evans (drawn by J. Grant)
9:13.0,D. Brooks enters the game for T. Evans,,80-99,,
9:13.0,,,80-100,1,J. Grant makes free throw 1 of 1
9:07.0,B. McLemore misses 3-pt shot from 24 ft,,80-100,,
9:04.0,,,80-100,,Defensive rebound by P. Patterson
8:51.0,,,80-102,2,T. Ferguson makes 2-pt shot from 1 ft (assist by R. Felton)
8:50.0,Memphis full timeout,,80-102,,
8:50.0,,,80-102,,S. Adams enters the game for J. Grant
8:50.0,M. Henry enters the game for J. Martin,,80-102,,
8:50.0,M. Gasol enters the game for B. McLemore,,80-102,,
8:30.0,M. Henry misses 3-pt shot from 23 ft,,80-102,,
8:27.0,,,80-102,,Defensive rebound by S. Adams
8:04.0,,,80-102,,Turnover by P. Patterson (lost ball; steal by A. Harrison)
7:46.0,J. Green misses 3-pt shot from 24 ft,,80-102,,
7:43.0,,,80-102,,Defensive rebound by R. Felton
7:38.0,Personal foul by A. Harrison (drawn by R. Felton),,80-102,,
7:38.0,M. Chalmers enters the game for A. Harrison,,80-102,,
7:26.0,,,80-105,3,T. Ferguson makes 3-pt shot from 23 ft (assist by R. Felton)
7:08.0,M. Henry misses 3-pt shot from 24 ft,,80-105,,
7:05.0,,,80-105,,Defensive rebound by S. Adams
6:59.0,,,80-105,,R. Felton misses 2-pt shot from 2 ft
6:57.0,,,80-105,,Offensive rebound by S. Adams
6:56.0,,,80-107,2,S. Adams makes 2-pt shot from 1 ft
6:56.0,,,80-107,,Shooting foul by D. Brooks (drawn by S. Adams)
6:56.0,,,80-107,,S. Adams misses free throw 1 of 1
6:54.0,Defensive rebound by D. Brooks,,80-107,,
6:40.0,,,80-107,,Personal foul by T. Ferguson (drawn by D. Brooks)
6:40.0,,,80-107,,A. Abrines enters the game for R. Felton
6:29.0,M. Henry makes 2-pt shot at rim,2,82-107,,
6:29.0,Shooting foul by A. Abrines (drawn by M. Henry),,82-107,,
6:29.0,M. Henry makes free throw 1 of 1,1,83-107,,
6:07.0,,,83-107,,A. Abrines misses 2-pt shot from 5 ft (block by M. Gasol)
6:05.0,,,83-107,,Offensive rebound by S. Adams
6:05.0,,,83-107,,Turnover by Team (shot clock)
5:51.0,Turnover by D. Brooks (bad pass; steal by P. Patterson),,83-107,,
5:39.0,,,83-107,,Turnover by A. Abrines (lost ball; steal by M. Chalmers)
