time,Milwaukee,pts.away,score,pts.home,Miami
5:48.0,S. Kilpatrick makes free throw 2 of 2,1,36-31,,
5:45.0,,,36-31,,Miami full timeout
5:45.0,,,36-31,,T. Johnson enters the game for K. Olynyk
5:45.0,,,36-31,,J. Johnson enters the game for B. Adebayo
5:45.0,,,36-31,,H. Whiteside enters the game for J. Winslow
5:27.0,,,36-31,,G. Dragic misses 3-pt shot from 24 ft
5:24.0,Defensive rebound by S. Kilpatrick,,36-31,,
5:12.0,T. Maker misses 2-pt shot from 22 ft,,36-31,,
5:09.0,,,36-31,,Defensive rebound by G. Dragic
5:00.0,,,36-31,,Shooting foul by E. Bledsoe (drawn by H. Whiteside)
5:00.0,,,36-31,,H. Whiteside misses free throw 1 of 2
5:00.0,,,36-31,,Offensive rebound by Team
5:00.0,M. Brogdon enters the game for E. Bledsoe,,36-31,,
5:00.0,,,36-32,1,H. Whiteside makes free throw 2 of 2
4:42.0,G. Antetokounmpo makes 2-pt shot from 13 ft,2,38-32,,
4:42.0,Shooting foul by J. Johnson (drawn by G. Antetokounmpo),,38-32,,
4:42.0,G. Antetokounmpo makes free throw 1 of 1,1,39-32,,
4:30.0,Personal foul by S. Kilpatrick (drawn by T. Johnson),,39-32,,
4:26.0,Personal foul by M. Brogdon (drawn by G. Dragic),,39-32,,
4:26.0,,,39-32,,G. Dragic misses free throw 1 of 2
4:26.0,,,39-32,,Offensive rebound by Team
4:26.0,,,39-33,1,G. Dragic makes free throw 2 of 2
4:02.0,M. Brogdon makes 2-pt shot from 2 ft,2,41-33,,
3:38.0,,,41-33,,J. Johnson misses 2-pt shot from 17 ft
3:34.0,Defensive rebound by S. Kilpatrick,,41-33,,
3:29.0,M. Brogdon misses 3-pt shot from 24 ft,,41-33,,
3:26.0,,,41-33,,Defensive rebound by W. Ellington
3:19.0,,,41-33,,W. Ellington misses 3-pt shot from 25 ft
3:16.0,Defensive rebound by M. Brogdon,,41-33,,
3:07.0,T. Maker misses 3-pt shot from 23 ft,,41-33,,
3:05.0,,,41-33,,Defensive rebound by T. Johnson
2:52.0,,,41-33,,Shooting foul by T. Maker (drawn by H. Whiteside)
2:52.0,,,41-33,,B. Adebayo enters the game for J. Johnson
2:52.0,J. Henson enters the game for T. Maker,,41-33,,
2:52.0,K. Middleton enters the game for S. Brown,,41-33,,
2:52.0,,,41-34,1,H. Whiteside makes free throw 1 of 2
2:52.0,,,41-34,,J. Richardson enters the game for W. Ellington
2:52.0,,,41-34,,H. Whiteside misses free throw 2 of 2
2:49.0,Defensive rebound by G. Antetokounmpo,,41-34,,
2:38.0,S. Kilpatrick misses 3-pt shot from 24 ft,,41-34,,
2:36.0,,,41-34,,Defensive rebound by H. Whiteside
2:27.0,,,41-36,2,T. Johnson makes 2-pt shot from 11 ft
2:27.0,,,41-36,,Shooting foul by S. Kilpatrick (drawn by T. Johnson)
2:27.0,,,41-37,1,T. Johnson makes free throw 1 of 1
2:13.0,Turnover by K. Middleton (traveling),,41-37,,
2:06.0,,,41-37,,T. Johnson misses 3-pt shot from 25 ft
2:05.0,Defensive rebound by Team,,41-37,,
1:46.0,M. Brogdon makes 2-pt shot from 5 ft (assist by G. Antetokounmpo),2,43-37,,
1:36.0,,,43-37,,G. Dragic misses 2-pt shot from 19 ft
1:35.0,Defensive rebound by Team,,43-37,,
1:35.0,,,43-37,,W. Ellington enters the game for J. Richardson
1:18.0,K. Middleton misses 2-pt shot from 18 ft,,43-37,,
1:14.0,,,43-37,,Defensive rebound by T. Johnson
0:56.0,,,43-37,,Shooting foul by G. Antetokounmpo (drawn by H. Whiteside)
0:56.0,,,43-38,1,H. Whiteside makes free throw 1 of 2
0:56.0,,,43-39,1,H. Whiteside makes free throw 2 of 2
0:41.0,G. Antetokounmpo misses 2-pt shot from 15 ft,,43-39,,
0:38.0,,,43-39,,Defensive rebound by H. Whiteside
0:32.0,,,43-39,,Turnover by G. Dragic (bad pass; steal by G. Antetokounmpo)
0:26.0,G. Antetokounmpo misses 2-pt shot from 1 ft,,43-39,,
0:22.0,,,43-39,,Defensive rebound by H. Whiteside
0:01.0,,,43-41,2,G. Dragic makes 2-pt shot from 10 ft
0:00.0,J. Henson misses 3-pt shot from 34 ft,,43-41,,
0:00.0,Offensive rebound by Team,,43-41,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,K. Middleton misses 3-pt shot from 22 ft,,43-41,,
11:43.0,,,43-41,,Defensive rebound by J. Johnson
11:22.0,,,43-41,,Turnover by Team (shot clock)
11:08.0,M. Brogdon misses 2-pt shot from 9 ft,,43-41,,
11:06.0,Offensive rebound by M. Brogdon,,43-41,,
11:02.0,E. Bledsoe misses 3-pt shot from 22 ft,,43-41,,
10:59.0,,,43-41,,Defensive rebound by J. Richardson
10:38.0,,,43-41,,J. Richardson misses 2-pt shot from 18 ft
10:35.0,Defensive rebound by G. Antetokounmpo,,43-41,,
10:30.0,E. Bledsoe misses 3-pt shot from 24 ft,,43-41,,
10:27.0,,,43-41,,Defensive rebound by J. Richardson
10:11.0,,,43-41,,J. Johnson misses 3-pt shot from 23 ft
10:08.0,Defensive rebound by J. Henson,,43-41,,
9:55.0,J. Henson misses 2-pt shot at rim,,43-41,,
9:52.0,,,43-41,,Defensive rebound by H. Whiteside
9:45.0,Jump ball: H. Whiteside vs. K. Middleton (E. Bledsoe gains possession),,,,Jump ball: H. Whiteside vs. K. Middleton (E. Bledsoe gains possession)
9:45.0,,,43-41,,Turnover by H. Whiteside (turnover; steal by K. Middleton)
9:37.0,K. Middleton misses 3-pt shot from 24 ft,,43-41,,
9:34.0,,,43-41,,Defensive rebound by J. Johnson
9:30.0,,,43-44,3,J. Richardson makes 3-pt shot from 25 ft (assist by J. Johnson)
9:04.0,Offensive foul by J. Henson (drawn by J. Richardson),,43-44,,
9:04.0,Turnover by J. Henson (offensive foul),,43-44,,
8:44.0,,,43-44,,J. Johnson misses 2-pt shot from 8 ft
8:41.0,Defensive rebound by J. Henson,,43-44,,
8:35.0,K. Middleton misses 2-pt shot from 12 ft,,43-44,,
8:31.0,,,43-44,,Defensive rebound by H. Whiteside
8:22.0,,,43-44,,Turnover by H. Whiteside (lost ball; steal by E. Bledsoe)
8:18.0,Turnover by E. Bledsoe (bad pass; steal by T. Johnson),,43-44,,
8:11.0,,,43-44,,G. Dragic misses 2-pt shot at rim
8:09.0,Defensive rebound by K. Middleton,,43-44,,
8:06.0,E. Bledsoe misses 2-pt shot at rim (block by J. Johnson),,43-44,,
8:03.0,Offensive rebound by K. Middleton,,43-44,,
8:03.0,Shooting foul by J. Johnson (drawn by G. Antetokounmpo),,43-44,,
8:03.0,G. Antetokounmpo makes free throw 1 of 2,1,44-44,,
8:03.0,G. Antetokounmpo makes free throw 2 of 2,1,45-44,,
7:57.0,Personal foul by M. Brogdon (drawn by G. Dragic),,45-44,,
7:55.0,Personal foul by G. Antetokounmpo (drawn by J. Richardson),,45-44,,
7:49.0,,,45-44,,Shooting foul by M. Brogdon (drawn by G. Dragic)
7:49.0,,,45-45,1,G. Dragic makes free throw 1 of 2
7:49.0,,,45-46,1,G. Dragic makes free throw 2 of 2
7:37.0,E. Bledsoe misses 2-pt shot from 4 ft,,45-46,,
7:34.0,Offensive rebound by E. Bledsoe,,45-46,,
7:33.0,M. Brogdon makes 3-pt shot from 22 ft (assist by E. Bledsoe),3,48-46,,
7:13.0,,,48-49,3,T. Johnson makes 3-pt shot from 24 ft (assist by J. Johnson)
6:58.0,Turnover by K. Middleton (bad pass; steal by H. Whiteside),,48-49,,
6:48.0,,,48-49,,J. Richardson misses 2-pt shot at rim
6:48.0,,,48-49,,Offensive rebound by H. Whiteside
6:46.0,,,48-51,2,H. Whiteside makes 2-pt shot at rim
6:33.0,Turnover by E. Bledsoe (step out of bounds),,48-51,,
6:33.0,,,48-51,,Miami full timeout
6:33.0,T. Snell enters the game for K. Middleton,,48-51,,
6:23.0,,,48-51,,J. Johnson misses 2-pt shot from 1 ft
6:21.0,Defensive rebound by G. Antetokounmpo,,48-51,,
6:15.0,,,48-51,,W. Ellington enters the game for J. Richardson
5:57.0,E. Bledsoe misses 3-pt shot from 24 ft,,48-51,,
5:51.0,,,48-51,,Defensive rebound by W. Ellington
5:44.0,,,48-53,2,H. Whiteside makes 2-pt shot from 4 ft
5:44.0,,,48-53,,Shooting foul by E. Bledsoe (drawn by H. Whiteside)
5:44.0,,,48-54,1,H. Whiteside makes free throw 1 of 1
5:29.0,T. Snell misses 3-pt shot from 25 ft,,48-54,,
5:26.0,,,48-54,,Defensive rebound by T. Johnson
5:16.0,,,48-56,2,G. Dragic makes 2-pt shot from 12 ft
5:02.0,Turnover by E. Bledsoe (bad pass),,48-56,,
4:52.0,,,48-56,,Turnover by W. Ellington (step out of bounds)
4:41.0,Offensive foul by G. Antetokounmpo (drawn by T. Johnson),,48-56,,
4:41.0,Turnover by G. Antetokounmpo (offensive foul),,48-56,,
4:31.0,,,48-56,,G. Dragic misses 2-pt shot from 3 ft
4:27.0,Defensive rebound by M. Brogdon,,48-56,,
4:23.0,Turnover by G. Antetokounmpo (bad pass; steal by H. Whiteside),,48-56,,
4:15.0,,,48-58,2,H. Whiteside makes 2-pt shot at rim (assist by J. Johnson)
4:15.0,Milwaukee full timeout,,48-58,,
4:02.0,E. Bledsoe misses 3-pt shot from 24 ft,,48-58,,
3:59.0,,,48-58,,Defensive rebound by G. Dragic
3:43.0,,,48-60,2,G. Dragic makes 2-pt shot from 10 ft (assist by J. Johnson)
3:29.0,Shooting foul by J. Johnson (drawn by G. Antetokounmpo),,48-60,,
3:29.0,G. Antetokounmpo makes free throw 1 of 2,1,49-60,,
3:29.0,,,49-60,,B. Adebayo enters the game for J. Johnson
3:29.0,G. Antetokounmpo makes free throw 2 of 2,1,50-60,,
3:09.0,,,50-60,,Turnover by W. Ellington (bad pass; steal by J. Henson)
3:02.0,M. Brogdon misses 2-pt shot from 1 ft,,50-60,,
3:00.0,,,50-60,,Defensive rebound by H. Whiteside
2:54.0,,,50-60,,T. Johnson misses 3-pt shot from 22 ft
2:54.0,Defensive rebound by M. Brogdon,,50-60,,
2:46.0,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by M. Brogdon),2,52-60,,
2:24.0,,,52-62,2,H. Whiteside makes 2-pt shot at rim (assist by G. Dragic)
2:03.0,M. Brogdon makes 2-pt shot at rim (assist by E. Bledsoe),2,54-62,,
1:44.0,,,54-64,2,G. Dragic makes 2-pt shot at rim
1:25.0,,,54-64,,J. Richardson enters the game for G. Dragic
1:25.0,,,54-64,,K. Olynyk enters the game for H. Whiteside
1:25.0,T. Maker enters the game for J. Henson,,54-64,,
1:21.0,G. Antetokounmpo misses 2-pt shot from 19 ft,,54-64,,
1:18.0,,,54-64,,Defensive rebound by K. Olynyk
1:10.0,Personal foul by M. Brogdon (drawn by J. Richardson),,54-64,,
1:10.0,,,54-65,1,J. Richardson makes free throw 1 of 2
1:10.0,,,54-65,,J. Winslow enters the game for T. Johnson
1:10.0,S. Brown enters the game for M. Brogdon,,54-65,,
1:10.0,,,54-66,1,J. Richardson makes free throw 2 of 2
0:57.0,G. Antetokounmpo makes 2-pt shot from 8 ft,2,56-66,,
0:57.0,Shooting foul by K. Olynyk (drawn by G. Antetokounmpo),,56-66,,
0:57.0,G. Antetokounmpo makes free throw 1 of 1,1,57-66,,
0:37.0,,,57-68,2,K. Olynyk makes 2-pt shot from 1 ft (assist by J. Winslow)
0:37.0,,,57-68,,Shooting foul by T. Maker (drawn by K. Olynyk)
0:37.0,,,57-69,1,K. Olynyk makes free throw 1 of 1
0:30.0,E. Bledsoe misses 3-pt shot from 24 ft,,57-69,,
0:27.0,,,57-69,,Defensive rebound by W. Ellington
0:09.0,,,57-71,2,J. Richardson makes 2-pt shot from 2 ft (assist by B. Adebayo)
0:01.0,,,57-71,,Personal foul by B. Adebayo (drawn by G. Antetokounmpo)
0:01.0,G. Antetokounmpo makes free throw 1 of 2,1,58-71,,
0:01.0,G. Antetokounmpo makes free throw 2 of 2,1,59-71,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,,,59-73,2,W. Ellington makes 2-pt shot from 13 ft (assist by B. Adebayo)
11:20.0,M. Dellavedova makes 2-pt shot from 9 ft,2,61-73,,
10:53.0,,,61-73,,B. Adebayo misses 2-pt shot from 1 ft
10:51.0,Defensive rebound by S. Brown,,61-73,,
10:44.0,K. Middleton misses 3-pt shot from 24 ft,,61-73,,
10:41.0,,,61-73,,Defensive rebound by J. Winslow
10:27.0,,,61-75,2,J. Richardson makes 2-pt shot from 19 ft (assist by B. Adebayo)
10:00.0,T. Maker misses 2-pt shot from 4 ft,,61-75,,
9:58.0,,,61-75,,Defensive rebound by J. Richardson
9:42.0,,,61-77,2,B. Adebayo makes 2-pt shot at rim (assist by J. Winslow)
9:42.0,Milwaukee full timeout,,61-77,,
9:23.0,K. Middleton makes 2-pt shot from 12 ft,2,63-77,,
9:23.0,Shooting foul by B. Adebayo (drawn by K. Middleton),,63-77,,
9:23.0,K. Middleton makes free throw 1 of 1,1,64-77,,
9:00.0,,,64-79,2,B. Adebayo makes 2-pt shot from 6 ft (assist by J. Winslow)
8:45.0,T. Maker misses 2-pt shot from 3 ft,,64-79,,
8:43.0,Offensive rebound by T. Maker,,64-79,,
8:42.0,T. Maker misses 2-pt shot from 1 ft,,64-79,,
8:38.0,,,64-79,,Defensive rebound by W. Ellington
8:29.0,Personal foul by S. Brown (drawn by J. Winslow),,64-79,,
8:17.0,,,64-82,3,J. Winslow makes 3-pt shot from 24 ft (assist by B. Adebayo)
8:03.0,K. Middleton misses 3-pt shot from 25 ft,,64-82,,
7:59.0,,,64-82,,Defensive rebound by K. Olynyk
7:43.0,,,64-82,,B. Adebayo misses 2-pt shot from 1 ft
7:41.0,Defensive rebound by K. Middleton,,64-82,,
7:38.0,K. Middleton makes 2-pt shot from 20 ft,2,66-82,,
7:11.0,,,66-82,,W. Ellington misses 3-pt shot from 25 ft
7:08.0,,,66-82,,Offensive rebound by K. Olynyk
7:05.0,,,66-82,,J. Winslow misses 2-pt shot from 1 ft
7:02.0,Defensive rebound by K. Middleton,,66-82,,
6:55.0,S. Brown makes 3-pt shot from 22 ft (assist by T. Maker),3,69-82,,
6:31.0,,,69-82,,J. Winslow misses 2-pt shot from 20 ft
6:30.0,Defensive rebound by Team,,69-82,,
6:30.0,,,69-82,,Loose ball foul by K. Olynyk (drawn by M. Dellavedova)
6:17.0,Shooting foul by B. Adebayo (drawn by T. Maker),,69-82,,
6:17.0,T. Maker makes free throw 1 of 2,1,70-82,,
6:17.0,,,70-82,,G. Dragic enters the game for J. Richardson
6:17.0,E. Bledsoe enters the game for T. Snell,,70-82,,
6:17.0,M. Brogdon enters the game for M. Dellavedova,,70-82,,
6:17.0,T. Maker makes free throw 2 of 2,1,71-82,,
6:14.0,,,71-82,,Miami full timeout
6:14.0,,,71-82,,T. Johnson enters the game for J. Winslow
6:14.0,G. Antetokounmpo enters the game for T. Maker,,71-82,,
6:04.0,,,71-82,,K. Olynyk misses 3-pt shot from 24 ft
6:01.0,Defensive rebound by S. Brown,,71-82,,
5:52.0,K. Middleton misses 2-pt shot from 18 ft,,71-82,,
5:48.0,Offensive rebound by G. Antetokounmpo,,71-82,,
5:44.0,S. Brown misses 3-pt shot from 23 ft,,71-82,,
5:41.0,,,71-82,,Defensive rebound by K. Olynyk
5:19.0,,,71-85,3,G. Dragic makes 3-pt shot from 29 ft
5:11.0,Shooting foul by K. Olynyk (drawn by K. Middleton),,71-85,,
5:11.0,K. Middleton makes free throw 1 of 2,1,72-85,,
5:11.0,,,72-85,,J. Johnson enters the game for K. Olynyk
5:11.0,K. Middleton makes free throw 2 of 2,1,73-85,,
4:58.0,,,73-87,2,G. Dragic makes 2-pt shot at rim
4:40.0,E. Bledsoe makes 2-pt shot from 1 ft,2,75-87,,
4:16.0,,,75-90,3,G. Dragic makes 3-pt shot from 28 ft (assist by W. Ellington)
4:13.0,Milwaukee full timeout,,75-90,,
3:59.0,E. Bledsoe misses 2-pt shot from 4 ft (block by T. Johnson),,75-90,,
3:57.0,,,75-90,,Defensive rebound by B. Adebayo
3:35.0,,,75-90,,T. Johnson misses 3-pt shot from 24 ft
3:30.0,Defensive rebound by S. Brown,,75-90,,
3:27.0,Shooting foul by J. Johnson (drawn by K. Middleton),,75-90,,
3:27.0,K. Middleton makes free throw 1 of 2,1,76-90,,
