time,Atlanta,pts.away,score,pts.home,Chicago
7:05.0,,,29-28,,Personal foul by L. Markkanen (drawn by M. Muscala)
7:05.0,M. Muscala makes free throw 1 of 2,1,30-28,,
7:05.0,M. Muscala makes free throw 2 of 2,1,31-28,,
6:53.0,,,31-28,,D. Nwaba misses 2-pt shot from 6 ft (block by D. Dedmon)
6:51.0,,,31-28,,Offensive rebound by C. Felicio
6:51.0,,,31-28,,C. Felicio misses 2-pt shot from 3 ft
6:51.0,Defensive rebound by Team,,31-28,,
6:30.0,M. Delaney misses 2-pt shot from 18 ft,,31-28,,
6:26.0,,,31-28,,Defensive rebound by J. Holiday
6:18.0,,,31-28,,Shooting foul by T. Waller-Prince (drawn by J. Holiday)
6:18.0,,,31-29,1,J. Holiday makes free throw 1 of 2
6:18.0,,,31-29,,R. Lopez enters the game for C. Felicio
6:18.0,,,31-29,,J. Holiday misses free throw 2 of 2
6:15.0,Defensive rebound by D. Dedmon,,31-29,,
5:53.0,M. Belinelli makes 2-pt shot at rim (assist by D. Dedmon),2,33-29,,
5:44.0,,,33-29,,L. Markkanen misses 3-pt shot from 25 ft
5:39.0,,,33-29,,Offensive rebound by R. Lopez
5:38.0,,,33-29,,R. Lopez misses 2-pt shot from 1 ft
5:28.0,,,33-29,,Offensive rebound by R. Lopez
5:28.0,,,33-31,2,R. Lopez makes 2-pt shot at rim
5:19.0,Turnover by T. Waller-Prince (turnover),,33-31,,
4:59.0,,,33-31,,L. Markkanen misses 3-pt shot from 25 ft
4:54.0,Defensive rebound by D. Dedmon,,33-31,,
4:40.0,M. Belinelli misses 2-pt shot from 9 ft,,33-31,,
4:33.0,Offensive rebound by D. Dedmon,,33-31,,
4:28.0,M. Delaney misses 3-pt shot from 23 ft,,33-31,,
4:23.0,,,33-31,,Defensive rebound by L. Markkanen
4:20.0,,,33-31,,J. Holiday misses 3-pt shot from 22 ft
4:14.0,,,33-31,,Offensive rebound by R. Lopez
4:01.0,,,33-31,,Shooting foul by M. Belinelli (drawn by J. Grant)
4:01.0,K. Bazemore enters the game for M. Delaney,,33-31,,
4:01.0,J. Collins enters the game for D. Dedmon,,33-31,,
4:01.0,,,33-32,1,J. Grant makes free throw 1 of 2
4:01.0,,,33-32,,J. Grant misses free throw 2 of 2
4:01.0,Defensive rebound by J. Collins,,33-32,,
4:01.0,,,33-32,,D. Valentine enters the game for D. Nwaba
3:41.0,M. Belinelli misses 3-pt shot from 24 ft,,33-32,,
3:35.0,,,33-32,,Defensive rebound by D. Valentine
3:32.0,,,33-32,,J. Holiday misses 3-pt shot from 25 ft
3:23.0,Defensive rebound by J. Collins,,33-32,,
3:20.0,J. Collins makes 2-pt shot from 18 ft (assist by T. Waller-Prince),2,35-32,,
3:19.0,,,35-32,,Chicago full timeout
3:19.0,M. Delaney enters the game for T. Waller-Prince,,35-32,,
3:05.0,,,35-35,3,J. Holiday makes 3-pt shot from 23 ft (assist by L. Markkanen)
2:46.0,Turnover by J. Collins (traveling),,35-35,,
2:24.0,,,35-37,2,R. Lopez makes 2-pt shot from 4 ft (assist by J. Grant)
2:07.0,M. Muscala misses 2-pt shot from 19 ft,,35-37,,
2:03.0,Offensive rebound by J. Collins,,35-37,,
1:54.0,K. Bazemore misses 2-pt shot from 20 ft,,35-37,,
1:47.0,,,35-37,,Defensive rebound by J. Holiday
1:45.0,,,35-37,,L. Markkanen misses 3-pt shot from 25 ft
1:39.0,Defensive rebound by M. Delaney,,35-37,,
1:36.0,M. Belinelli makes 2-pt shot from 20 ft (assist by M. Muscala),2,37-37,,
1:17.0,,,37-37,,Turnover by J. Grant (bad pass; steal by K. Bazemore)
1:08.0,M. Muscala makes 2-pt shot from 13 ft (assist by K. Bazemore),2,39-37,,
0:54.0,Personal foul by K. Bazemore (drawn by J. Holiday),,39-37,,
0:54.0,,,39-37,,Q. Pondexter enters the game for L. Markkanen
0:54.0,L. Babbitt enters the game for M. Belinelli,,39-37,,
0:44.0,,,39-37,,Turnover by J. Grant (lost ball; steal by M. Delaney)
0:35.0,K. Bazemore misses 3-pt shot from 24 ft,,39-37,,
0:30.0,,,39-37,,Defensive rebound by J. Grant
0:26.0,,,39-37,,D. Valentine misses 2-pt shot from 14 ft
0:19.0,Defensive rebound by K. Bazemore,,39-37,,
0:01.0,K. Bazemore misses 2-pt shot from 15 ft,,39-37,,
0:00.0,,,39-37,,Defensive rebound by Q. Pondexter
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,,,39-40,3,D. Valentine makes 3-pt shot from 22 ft (assist by J. Grant)
11:27.0,Turnover by K. Bazemore (bad pass; steal by J. Grant),,39-40,,
11:26.0,,,39-42,2,J. Grant makes 2-pt shot at rim
11:26.0,,,39-42,,Shooting foul by M. Delaney (drawn by J. Grant)
11:26.0,,,39-42,,J. Grant misses free throw 1 of 1
11:14.0,Defensive rebound by D. Dedmon,,39-42,,
11:03.0,D. Dedmon misses 2-pt shot from 20 ft,,39-42,,
10:58.0,,,39-42,,Defensive rebound by L. Markkanen
10:50.0,,,39-42,,D. Valentine misses 3-pt shot from 24 ft
10:44.0,Defensive rebound by T. Waller-Prince,,39-42,,
10:31.0,M. Delaney makes 2-pt shot from 16 ft,2,41-42,,
10:02.0,,,41-42,,D. Valentine misses 3-pt shot from 21 ft
10:02.0,,,41-42,,Offensive rebound by Team
9:45.0,,,41-42,,R. Lopez misses 2-pt shot from 3 ft
9:40.0,Defensive rebound by M. Muscala,,41-42,,
9:32.0,K. Bazemore misses 2-pt shot from 5 ft,,41-42,,
9:28.0,,,41-42,,Defensive rebound by L. Markkanen
9:25.0,,,41-42,,J. Grant misses 2-pt shot from 15 ft
9:22.0,,,41-42,,Offensive rebound by L. Markkanen
9:22.0,Personal foul by M. Delaney (drawn by J. Grant),,41-42,,
9:04.0,,,41-42,,L. Markkanen misses 3-pt shot from 22 ft
9:00.0,Defensive rebound by D. Dedmon,,41-42,,
8:51.0,M. Muscala makes 3-pt shot from 25 ft (assist by D. Dedmon),3,44-42,,
8:33.0,,,44-44,2,L. Markkanen makes 2-pt shot at rim (assist by D. Valentine)
8:33.0,,,44-44,,Shooting foul by D. Dedmon (drawn by L. Markkanen)
8:33.0,,,44-45,1,L. Markkanen makes free throw 1 of 1
8:19.0,M. Muscala misses 2-pt shot from 8 ft,,44-45,,
8:15.0,,,44-45,,Defensive rebound by J. Grant
8:04.0,,,44-45,,J. Holiday misses 3-pt shot from 23 ft
7:59.0,,,44-45,,Offensive rebound by R. Lopez
7:59.0,Personal foul by D. Dedmon (drawn by J. Holiday),,44-45,,
7:59.0,J. Collins enters the game for D. Dedmon,,44-45,,
7:44.0,,,44-45,,R. Lopez misses 2-pt shot at rim
7:43.0,,,44-45,,Offensive rebound by R. Lopez
7:43.0,,,44-45,,R. Lopez misses 2-pt shot at rim
7:40.0,Defensive rebound by Team,,44-45,,
7:39.0,,,44-45,,Loose ball foul by R. Lopez (drawn by M. Muscala)
7:28.0,J. Collins misses 2-pt shot from 2 ft (block by R. Lopez),,44-45,,
7:24.0,,,44-45,,Defensive rebound by D. Valentine
7:10.0,,,44-47,2,R. Lopez makes 2-pt shot from 1 ft (assist by J. Grant)
7:03.0,Offensive charge foul by K. Bazemore (drawn by J. Holiday),,44-47,,
7:03.0,Turnover by K. Bazemore (offensive foul),,44-47,,
7:03.0,M. Belinelli enters the game for K. Bazemore,,44-47,,
6:48.0,,,44-49,2,L. Markkanen makes 2-pt shot at rim (assist by J. Grant)
6:43.0,Atlanta full timeout,,44-49,,
6:32.0,J. Collins makes 2-pt shot from 1 ft,2,46-49,,
6:14.0,,,46-52,3,J. Holiday makes 3-pt shot from 25 ft (assist by R. Lopez)
5:54.0,M. Delaney makes 2-pt shot from 2 ft (assist by M. Muscala),2,48-52,,
5:42.0,,,48-52,,D. Valentine misses 2-pt shot from 15 ft
5:37.0,,,48-52,,Offensive rebound by J. Grant
5:31.0,,,48-52,,J. Grant misses 2-pt shot from 8 ft (block by M. Muscala)
5:31.0,,,48-52,,Offensive rebound by J. Holiday
5:31.0,,,48-52,,Turnover by Team (shot clock)
5:30.0,,,48-52,,D. Nwaba enters the game for D. Valentine
5:15.0,M. Muscala misses 2-pt shot from 9 ft,,48-52,,
5:10.0,,,48-52,,Defensive rebound by J. Holiday
5:02.0,,,48-54,2,L. Markkanen makes 2-pt shot from 1 ft (assist by J. Grant)
4:53.0,M. Delaney misses 2-pt shot from 15 ft,,48-54,,
4:46.0,,,48-54,,Defensive rebound by L. Markkanen
4:35.0,,,48-54,,Shooting foul by J. Collins (drawn by J. Holiday)
4:35.0,,,48-55,1,J. Holiday makes free throw 1 of 3
4:35.0,,,48-56,1,J. Holiday makes free throw 2 of 3
4:35.0,L. Babbitt enters the game for M. Delaney,,48-56,,
4:35.0,I. Taylor enters the game for M. Muscala,,48-56,,
4:35.0,,,48-56,,J. Holiday misses free throw 3 of 3
4:30.0,Defensive rebound by J. Collins,,48-56,,
4:23.0,Shooting foul by J. Holiday (drawn by M. Belinelli),,48-56,,
4:23.0,M. Belinelli makes free throw 1 of 2,1,49-56,,
4:23.0,M. Belinelli makes free throw 2 of 2,1,50-56,,
4:10.0,,,50-56,,Turnover by R. Lopez (turnover)
3:56.0,M. Belinelli misses 2-pt shot from 5 ft (block by R. Lopez),,50-56,,
3:47.0,Offensive rebound by I. Taylor,,50-56,,
3:43.0,I. Taylor misses 3-pt shot from 23 ft,,50-56,,
3:43.0,,,50-56,,Defensive rebound by D. Nwaba
3:43.0,,,50-58,2,J. Grant makes 2-pt shot from 1 ft
3:43.0,,,50-58,,Shooting foul by I. Taylor (drawn by J. Grant)
3:43.0,,,50-58,,Q. Pondexter enters the game for L. Markkanen
3:43.0,,,50-59,1,J. Grant makes free throw 1 of 1
3:32.0,J. Collins makes 2-pt shot from 1 ft,2,52-59,,
3:32.0,Shooting foul by R. Lopez (drawn by J. Collins),,52-59,,
3:32.0,J. Collins makes free throw 1 of 1,1,53-59,,
3:21.0,,,53-61,2,J. Holiday makes 2-pt shot from 1 ft (assist by R. Lopez)
3:08.0,Shooting foul by D. Nwaba (drawn by J. Collins),,53-61,,
3:08.0,J. Collins makes free throw 1 of 2,1,54-61,,
3:08.0,,,54-61,,K. Felder enters the game for J. Grant
3:08.0,J. Collins misses free throw 2 of 2,,54-61,,
3:05.0,,,54-61,,Defensive rebound by D. Nwaba
2:50.0,,,54-63,2,Q. Pondexter makes 2-pt shot from 2 ft (assist by R. Lopez)
2:48.0,Turnover by I. Taylor (turnover),,54-63,,
2:48.0,,,54-63,,Chicago full timeout
2:48.0,K. Bazemore enters the game for T. Waller-Prince,,54-63,,
2:41.0,,,54-63,,K. Felder misses 2-pt shot from 1 ft
2:38.0,Defensive rebound by L. Babbitt,,54-63,,
2:32.0,K. Bazemore makes 2-pt shot from 17 ft,2,56-63,,
2:14.0,,,56-63,,Shooting foul by J. Collins (drawn by D. Nwaba)
2:14.0,,,56-64,1,D. Nwaba makes free throw 1 of 2
2:14.0,,,56-65,1,D. Nwaba makes free throw 2 of 2
2:02.0,Shooting foul by R. Lopez (drawn by J. Collins),,56-65,,
2:02.0,J. Collins makes free throw 1 of 2,1,57-65,,
2:02.0,J. Collins misses free throw 2 of 2,,57-65,,
1:57.0,,,57-65,,Defensive rebound by D. Nwaba
1:45.0,,,57-65,,Turnover by Q. Pondexter (traveling)
1:34.0,K. Bazemore makes 2-pt shot from 21 ft (assist by I. Taylor),2,59-65,,
1:15.0,,,59-65,,Q. Pondexter misses 3-pt shot from 24 ft
1:07.0,,,59-65,,Offensive rebound by R. Lopez
1:07.0,,,59-65,,R. Lopez misses 2-pt shot at rim
1:03.0,,,59-65,,Offensive rebound by J. Holiday
0:47.0,,,59-65,,J. Holiday misses 2-pt shot from 9 ft
0:44.0,Defensive rebound by I. Taylor,,59-65,,
0:38.0,K. Bazemore misses 2-pt shot from 15 ft,,59-65,,
0:34.0,,,59-65,,Defensive rebound by J. Holiday
0:32.0,,,59-65,,Turnover by J. Holiday (lost ball; steal by I. Taylor)
0:24.0,K. Bazemore misses 3-pt shot from 23 ft,,59-65,,
0:20.0,,,59-65,,Defensive rebound by D. Nwaba
0:01.0,,,59-65,,R. Lopez misses 2-pt shot from 20 ft
0:00.0,Defensive rebound by I. Taylor,,59-65,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,59-65,,Personal foul by K. Felder (drawn by I. Taylor)
11:35.0,M. Belinelli makes 2-pt shot from 16 ft,2,61-65,,
11:24.0,,,61-65,,K. Felder misses 3-pt shot from 25 ft
11:20.0,Defensive rebound by M. Belinelli,,61-65,,
11:12.0,J. Collins makes 2-pt shot at rim (assist by K. Bazemore),2,63-65,,
10:57.0,,,63-67,2,C. Felicio makes 2-pt shot from 1 ft (assist by D. Valentine)
10:44.0,M. Belinelli misses 3-pt shot from 25 ft,,63-67,,
10:40.0,,,63-67,,Defensive rebound by Q. Pondexter
10:35.0,,,63-67,,D. Nwaba misses 2-pt shot from 2 ft
10:30.0,,,63-67,,Offensive rebound by Q. Pondexter
10:26.0,,,63-67,,D. Valentine misses 3-pt shot from 25 ft
10:23.0,,,63-67,,Offensive rebound by Q. Pondexter
10:20.0,,,63-67,,D. Valentine misses 2-pt shot from 9 ft
10:20.0,,,63-67,,Offensive rebound by Team
10:20.0,Loose ball foul by T. Waller-Prince (drawn by C. Felicio),,63-67,,
10:20.0,D. Dedmon enters the game for J. Collins,,63-67,,
10:10.0,,,63-67,,C. Felicio misses 2-pt shot from 1 ft (block by K. Bazemore)
10:04.0,Defensive rebound by D. Dedmon,,63-67,,
9:57.0,K. Bazemore misses 3-pt shot from 25 ft,,63-67,,
9:56.0,,,63-67,,Defensive rebound by D. Nwaba
9:56.0,Personal foul by D. Dedmon (drawn by D. Nwaba),,63-67,,
9:56.0,M. Delaney enters the game for M. Belinelli,,63-67,,
9:46.0,Personal foul by I. Taylor (drawn by C. Felicio),,63-67,,
9:38.0,,,63-70,3,D. Nwaba makes 3-pt shot from 24 ft (assist by D. Valentine)
9:14.0,Turnover by T. Waller-Prince (bad pass; steal by D. Valentine),,63-70,,
9:08.0,,,63-70,,Turnover by D. Nwaba (lost ball; steal by I. Taylor)
8:56.0,M. Delaney makes 2-pt shot from 13 ft (assist by I. Taylor),2,65-70,,
8:38.0,,,65-70,,Turnover by Team (shot clock)
8:38.0,M. Muscala enters the game for K. Bazemore,,65-70,,
8:36.0,,,65-70,,Q. Pondexter misses 2-pt shot from 16 ft (block by I. Taylor)
8:36.0,Defensive rebound by T. Waller-Prince,,65-70,,
8:26.0,D. Dedmon makes 2-pt shot from 11 ft (assist by M. Delaney),2,67-70,,
7:52.0,,,67-72,2,D. Nwaba makes 2-pt shot from 1 ft (assist by Q. Pondexter)
7:45.0,T. Waller-Prince misses 2-pt shot from 6 ft (block by Q. Pondexter),,67-72,,
7:38.0,,,67-72,,Defensive rebound by C. Felicio
7:38.0,,,67-75,3,D. Valentine makes 3-pt shot from 26 ft (assist by K. Felder)
7:38.0,Atlanta full timeout,,67-75,,
7:38.0,,,67-75,,L. Markkanen enters the game for K. Felder
7:38.0,,,67-75,,J. Grant enters the game for Q. Pondexter
7:38.0,K. Bazemore enters the game for T. Waller-Prince,,67-75,,
7:38.0,M. Belinelli enters the game for I. Taylor,,67-75,,
7:21.0,M. Belinelli makes 3-pt shot from 23 ft (assist by D. Dedmon),3,70-75,,
7:08.0,,,70-75,,Shooting foul by M. Muscala (drawn by L. Markkanen)
7:08.0,,,70-75,,L. Markkanen misses free throw 1 of 2
7:08.0,,,70-75,,Offensive rebound by Team
7:08.0,,,70-76,1,L. Markkanen makes free throw 2 of 2
7:00.0,K. Bazemore makes 2-pt shot from 1 ft,2,72-76,,
6:43.0,,,72-76,,Shooting foul by M. Belinelli (drawn by D. Nwaba)
6:43.0,,,72-76,,D. Nwaba misses free throw 2 of 2
6:43.0,,,72-76,,Offensive rebound by Team
6:43.0,,,72-77,1,D. Nwaba makes free throw 1 of 2
6:05.0,K. Bazemore makes 3-pt shot from 26 ft (assist by M. Delaney),3,75-77,,
5:57.0,,,75-77,,J. Grant misses 3-pt shot from 25 ft
5:53.0,Defensive rebound by M. Belinelli,,75-77,,
5:53.0,M. Muscala makes 3-pt shot from 23 ft (assist by D. Dedmon),3,78-77,,
5:53.0,,,78-77,,Chicago full timeout
5:53.0,,,78-77,,R. Lopez enters the game for C. Felicio
5:53.0,,,78-77,,J. Holiday enters the game for D. Nwaba
5:32.0,,,78-77,,J. Grant misses 3-pt shot from 26 ft
5:28.0,Defensive rebound by M. Muscala,,78-77,,
5:20.0,M. Delaney misses 3-pt shot from 23 ft,,78-77,,
5:15.0,,,78-77,,Defensive rebound by J. Holiday
5:09.0,Personal foul by M. Delaney (drawn by J. Grant),,78-77,,
5:09.0,,,78-78,1,J. Grant makes free throw 1 of 2
5:09.0,J. Collins enters the game for D. Dedmon,,78-78,,
5:09.0,,,78-79,1,J. Grant makes free throw 2 of 2
4:56.0,M. Belinelli misses 2-pt shot from 16 ft,,78-79,,
4:52.0,,,78-79,,Defensive rebound by L. Markkanen
4:32.0,,,78-79,,D. Valentine misses 2-pt shot from 22 ft
4:25.0,Defensive rebound by K. Bazemore,,78-79,,
4:19.0,Turnover by K. Bazemore (bad pass; steal by D. Valentine),,78-79,,
4:19.0,Personal foul by J. Collins (drawn by D. Valentine),,78-79,,
4:19.0,,,78-80,1,D. Valentine makes free throw 1 of 2
4:19.0,,,78-81,1,D. Valentine makes free throw 2 of 2
3:55.0,K. Bazemore misses 2-pt shot from 2 ft,,78-81,,
