time,Milwaukee,pts.away,score,pts.home,Oklahoma City
9:37.0,E. Bledsoe misses 3-pt shot from 24 ft,,61-51,,
9:34.0,,,61-51,,Defensive rebound by A. Roberson
9:21.0,,,61-53,2,S. Adams makes 2-pt shot at rim (assist by R. Westbrook)
9:20.0,Milwaukee full timeout,,61-53,,
9:10.0,,,61-53,,Personal foul by C. Anthony (drawn by T. Snell)
8:54.0,J. Henson makes 2-pt shot from 9 ft (assist by K. Middleton),2,63-53,,
8:31.0,,,63-53,,R. Westbrook misses 2-pt shot from 19 ft
8:28.0,Defensive rebound by G. Antetokounmpo,,63-53,,
8:23.0,Turnover by G. Antetokounmpo (out of bounds lost ball),,63-53,,
8:00.0,,,63-55,2,C. Anthony makes 2-pt shot from 18 ft
7:35.0,E. Bledsoe misses 3-pt shot from 23 ft,,63-55,,
7:31.0,,,63-55,,Defensive rebound by R. Westbrook
7:26.0,,,63-57,2,R. Westbrook makes 2-pt shot from 2 ft
7:04.0,T. Snell misses 3-pt shot from 24 ft,,63-57,,
7:00.0,Offensive rebound by E. Bledsoe,,63-57,,
6:53.0,E. Bledsoe misses 2-pt shot from 2 ft,,63-57,,
6:52.0,,,63-57,,Defensive rebound by A. Roberson
6:43.0,,,63-57,,C. Anthony misses 3-pt shot from 28 ft
6:42.0,,,63-57,,Offensive rebound by Team
6:42.0,Loose ball foul by K. Middleton (drawn by A. Roberson),,63-57,,
6:42.0,,,63-57,,Oklahoma City full timeout
6:38.0,Personal foul by J. Henson (drawn by R. Westbrook),,63-57,,
6:26.0,,,63-57,,R. Westbrook misses 2-pt shot from 20 ft
6:22.0,Defensive rebound by G. Antetokounmpo,,63-57,,
6:04.0,K. Middleton misses 3-pt shot from 24 ft,,63-57,,
6:03.0,Offensive rebound by G. Antetokounmpo,,63-57,,
6:02.0,G. Antetokounmpo makes 2-pt shot at rim,2,65-57,,
5:38.0,,,65-57,,J. Huestis misses 3-pt shot from 25 ft
5:38.0,Defensive rebound by J. Henson,,65-57,,
5:36.0,,,65-57,,Personal foul by A. Roberson (drawn by J. Henson)
5:36.0,J. Henson misses free throw 1 of 2,,65-57,,
5:36.0,Offensive rebound by Team,,65-57,,
5:36.0,J. Henson misses free throw 2 of 2,,65-57,,
5:33.0,,,65-57,,Defensive rebound by R. Westbrook
5:22.0,,,65-57,,S. Adams misses 2-pt shot from 4 ft (block by J. Henson)
5:18.0,Defensive rebound by E. Bledsoe,,65-57,,
5:12.0,Turnover by G. Antetokounmpo (lost ball; steal by A. Roberson),,65-57,,
5:08.0,,,65-59,2,A. Roberson makes 2-pt shot from 1 ft (assist by R. Westbrook)
4:40.0,G. Antetokounmpo misses 2-pt shot from 9 ft,,65-59,,
4:39.0,,,65-59,,Defensive rebound by C. Anthony
4:34.0,,,65-62,3,J. Huestis makes 3-pt shot from 22 ft (assist by R. Westbrook)
4:08.0,K. Middleton misses 2-pt shot from 13 ft (block by J. Huestis),,65-62,,
4:06.0,,,65-62,,Defensive rebound by S. Adams
4:01.0,,,65-62,,R. Westbrook misses 3-pt shot from 24 ft
3:59.0,Defensive rebound by Team,,65-62,,
3:48.0,T. Snell misses 3-pt shot from 23 ft,,65-62,,
3:47.0,Offensive rebound by E. Bledsoe,,65-62,,
3:46.0,E. Bledsoe makes 2-pt shot at rim,2,67-62,,
3:24.0,,,67-62,,C. Anthony misses 2-pt shot from 18 ft
3:21.0,Defensive rebound by J. Henson,,67-62,,
3:06.0,Turnover by K. Middleton (bad pass; steal by S. Adams),,67-62,,
2:54.0,,,67-62,,A. Roberson misses 2-pt shot from 2 ft (block by J. Henson)
2:50.0,Defensive rebound by K. Middleton,,67-62,,
2:43.0,J. Henson makes 2-pt shot from 6 ft (assist by K. Middleton),2,69-62,,
2:14.0,,,69-62,,A. Roberson misses 2-pt shot from 3 ft (block by J. Henson)
2:12.0,Defensive rebound by J. Henson,,69-62,,
2:09.0,K. Middleton makes 2-pt shot at rim (assist by G. Antetokounmpo),2,71-62,,
2:09.0,,,71-62,,Oklahoma City full timeout
2:09.0,,,71-62,,R. Felton enters the game for A. Roberson
2:09.0,M. Dellavedova enters the game for K. Middleton,,71-62,,
2:09.0,T. Maker enters the game for J. Henson,,71-62,,
2:09.0,M. Brogdon enters the game for E. Bledsoe,,71-62,,
1:49.0,,,71-64,2,C. Anthony makes 2-pt shot at rim
1:35.0,,,71-64,,Personal foul by C. Anthony (drawn by T. Maker)
1:35.0,T. Maker misses free throw 1 of 2,,71-64,,
1:35.0,Offensive rebound by Team,,71-64,,
1:35.0,,,71-64,,J. Grant enters the game for S. Adams
1:35.0,T. Maker misses free throw 2 of 2,,71-64,,
1:34.0,,,71-64,,Defensive rebound by R. Westbrook
1:16.0,,,71-66,2,R. Westbrook makes 2-pt shot from 1 ft (assist by R. Felton)
1:16.0,,,71-66,,Shooting foul by T. Maker (drawn by R. Westbrook)
1:16.0,,,71-66,,A. Roberson enters the game for J. Huestis
1:16.0,,,71-66,,P. Patterson enters the game for C. Anthony
1:16.0,,,71-67,1,R. Westbrook makes free throw 1 of 1
0:52.0,M. Dellavedova misses 2-pt shot from 7 ft,,71-67,,
0:50.0,,,71-67,,Defensive rebound by R. Westbrook
0:44.0,,,71-67,,Offensive foul by A. Roberson (drawn by M. Dellavedova)
0:44.0,,,71-67,,Turnover by A. Roberson (offensive foul)
0:31.0,G. Antetokounmpo makes 2-pt shot at rim (assist by T. Maker),2,73-67,,
0:11.0,,,73-67,,R. Felton misses 3-pt shot from 22 ft
0:07.0,Defensive rebound by T. Maker,,73-67,,
0:00.0,G. Antetokounmpo misses 2-pt shot from 2 ft,,73-67,,
0:00.0,Offensive rebound by T. Maker,,73-67,,
0:00.0,T. Maker misses 2-pt shot at rim,,73-67,,
0:00.0,Offensive rebound by Team,,73-67,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:37.0,M. Dellavedova misses 3-pt shot from 24 ft,,73-67,,
11:33.0,Offensive rebound by T. Maker,,73-67,,
11:25.0,,,73-67,,Def 3 sec tech foul by A. Roberson
11:25.0,K. Middleton misses technical free throw,,73-67,,
11:25.0,Offensive rebound by Team,,73-67,,
11:25.0,J. Terry enters the game for T. Snell,,73-67,,
11:14.0,J. Terry makes 3-pt shot from 25 ft (assist by M. Dellavedova),3,76-67,,
10:49.0,,,76-69,2,P. Patterson makes 2-pt shot from 13 ft
10:35.0,Turnover by M. Brogdon (bad pass),,76-69,,
10:20.0,,,76-69,,Turnover by P. Patterson (lost ball; steal by J. Terry)
10:15.0,K. Middleton makes 3-pt shot from 24 ft (assist by M. Brogdon),3,79-69,,
9:49.0,,,79-69,,J. Grant misses 2-pt shot from 4 ft
9:47.0,Defensive rebound by J. Terry,,79-69,,
9:37.0,K. Middleton makes 2-pt shot from 10 ft (assist by M. Dellavedova),2,81-69,,
9:16.0,,,81-69,,J. Huestis misses 3-pt shot from 23 ft
9:15.0,,,81-69,,Offensive rebound by Team
9:15.0,,,81-69,,R. Westbrook enters the game for A. Roberson
9:04.0,,,81-69,,R. Westbrook misses 3-pt shot from 24 ft
9:00.0,Defensive rebound by K. Middleton,,81-69,,
8:53.0,K. Middleton makes 2-pt shot from 7 ft,2,83-69,,
8:40.0,Personal foul by M. Dellavedova (drawn by J. Huestis),,83-69,,
8:35.0,,,83-69,,R. Felton misses 2-pt shot from 3 ft (block by T. Maker)
8:32.0,Defensive rebound by J. Terry,,83-69,,
8:21.0,K. Middleton misses 2-pt shot from 9 ft (block by R. Felton),,83-69,,
8:19.0,,,83-69,,Defensive rebound by P. Patterson
8:14.0,,,83-71,2,J. Grant makes 2-pt shot from 1 ft (assist by R. Westbrook)
7:48.0,K. Middleton misses 3-pt shot from 24 ft,,83-71,,
7:44.0,,,83-71,,Defensive rebound by R. Felton
7:37.0,,,83-73,2,R. Westbrook makes 2-pt shot from 20 ft
7:21.0,M. Brogdon makes 2-pt shot from 1 ft (assist by M. Dellavedova),2,85-73,,
7:21.0,,,85-73,,Violation by J. Grant (def goaltending)
7:11.0,,,85-73,,R. Westbrook misses 2-pt shot at rim
7:10.0,,,85-73,,Offensive rebound by J. Grant
7:10.0,,,85-75,2,J. Grant makes 2-pt shot from 1 ft (assist by R. Westbrook)
6:50.0,M. Brogdon misses 2-pt shot from 1 ft,,85-75,,
6:49.0,,,85-75,,Defensive rebound by J. Grant
6:42.0,,,85-75,,R. Felton misses 3-pt shot from 25 ft
6:38.0,,,85-75,,Offensive rebound by R. Westbrook
6:38.0,,,85-75,,Shooting foul by M. Brogdon (drawn by R. Westbrook)
6:38.0,,,85-75,,Oklahoma City full timeout
6:38.0,,,85-75,,C. Anthony enters the game for P. Patterson
6:38.0,E. Bledsoe enters the game for J. Terry,,85-75,,
6:38.0,G. Antetokounmpo enters the game for T. Maker,,85-75,,
6:38.0,,,85-76,1,R. Westbrook makes free throw 1 of 2
6:38.0,,,85-77,1,R. Westbrook makes free throw 2 of 2
6:24.0,,,85-77,,Personal foul by C. Anthony (drawn by M. Dellavedova)
6:09.0,K. Middleton misses 3-pt shot from 24 ft,,85-77,,
6:06.0,,,85-77,,Defensive rebound by R. Felton
5:48.0,,,85-79,2,R. Westbrook makes 2-pt shot from 1 ft
5:24.0,G. Antetokounmpo misses 2-pt shot from 9 ft,,85-79,,
5:20.0,,,85-79,,Defensive rebound by C. Anthony
5:05.0,,,85-79,,R. Westbrook misses 2-pt shot from 16 ft
5:02.0,Defensive rebound by M. Brogdon,,85-79,,
5:02.0,,,85-79,,Personal foul by R. Westbrook (drawn by M. Brogdon)
5:02.0,,,85-79,,S. Adams enters the game for J. Grant
5:02.0,J. Henson enters the game for M. Dellavedova,,85-79,,
5:02.0,T. Snell enters the game for M. Brogdon,,85-79,,
4:47.0,J. Henson makes 2-pt shot at rim (assist by E. Bledsoe),2,87-79,,
4:33.0,,,87-82,3,C. Anthony makes 3-pt shot from 25 ft (assist by R. Westbrook)
4:12.0,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by E. Bledsoe),2,89-82,,
3:54.0,,,89-82,,C. Anthony misses 2-pt shot from 21 ft
3:51.0,Defensive rebound by J. Henson,,89-82,,
3:34.0,J. Henson misses 2-pt shot from 6 ft,,89-82,,
3:32.0,,,89-82,,Defensive rebound by S. Adams
3:21.0,,,89-85,3,R. Westbrook makes 3-pt shot from 25 ft (assist by R. Felton)
3:02.0,E. Bledsoe makes 2-pt shot from 1 ft,2,91-85,,
2:36.0,,,91-85,,Shooting foul by E. Bledsoe (drawn by R. Felton)
2:36.0,Milwaukee full timeout,,91-85,,
2:36.0,,,91-85,,A. Roberson enters the game for J. Huestis
2:36.0,,,91-86,1,R. Felton makes free throw 1 of 3
