time,Phoenix,pts.away,score,pts.home,LA Lakers
3:01.0,,,24-23,,J. Randle enters the game for K. Kuzma
3:01.0,,,24-23,,J. Clarkson enters the game for L. Ball
3:01.0,D. Bender enters the game for M. Chriss,,24-23,,
2:44.0,,,24-23,,B. Lopez misses 3-pt shot from 25 ft
2:39.0,Defensive rebound by D. Bender,,24-23,,
2:25.0,A. Len misses 2-pt shot from 1 ft,,24-23,,
2:21.0,,,24-23,,Defensive rebound by B. Lopez
2:17.0,,,24-23,,J. Randle misses 2-pt shot from 2 ft (block by J. Jackson)
2:15.0,Defensive rebound by A. Len,,24-23,,
2:03.0,Phoenix full timeout,,24-23,,
2:03.0,,,24-23,,C. Brewer enters the game for B. Lopez
1:59.0,D. Booker misses 2-pt shot from 5 ft,,24-23,,
1:55.0,Offensive rebound by A. Len,,24-23,,
1:54.0,A. Len misses 2-pt shot from 3 ft (block by B. Ingram),,24-23,,
1:50.0,,,24-23,,Defensive rebound by J. Clarkson
1:41.0,,,24-25,2,J. Randle makes 2-pt shot from 2 ft (assist by B. Ingram)
1:21.0,J. Jackson makes 2-pt shot from 13 ft,2,26-25,,
1:21.0,Shooting foul by B. Ingram (drawn by J. Jackson),,26-25,,
1:21.0,T. Daniels enters the game for D. Booker,,26-25,,
1:21.0,J. Jackson makes free throw 1 of 1,1,27-25,,
0:58.0,,,27-25,,J. Clarkson misses 3-pt shot from 26 ft
0:56.0,Defensive rebound by D. Bender,,27-25,,
0:35.0,D. Bender misses 2-pt shot from 16 ft,,27-25,,
0:32.0,,,27-25,,Defensive rebound by B. Ingram
0:30.0,,,27-25,,Shooting foul by J. Jackson (drawn by B. Ingram)
0:30.0,,,27-26,1,B. Ingram makes free throw 1 of 2
0:30.0,T. Warren enters the game for J. Jackson,,27-26,,
0:30.0,,,27-26,,B. Ingram misses free throw 2 of 2
0:28.0,Defensive rebound by A. Len,,27-26,,
0:14.0,T. Warren misses 2-pt shot from 11 ft,,27-26,,
0:12.0,Offensive rebound by A. Len,,27-26,,
0:12.0,A. Len makes 2-pt shot from 1 ft,2,29-26,,
0:12.0,Shooting foul by B. Ingram (drawn by A. Len),,29-26,,
0:12.0,,,29-26,,K. Kuzma enters the game for B. Ingram
0:12.0,A. Len misses free throw 1 of 1,,29-26,,
0:10.0,,,29-26,,Defensive rebound by J. Randle
0:00.0,,,29-28,2,J. Randle makes 2-pt shot from 6 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,T. Daniels makes 2-pt shot from 15 ft (assist by M. James),2,31-28,,
11:31.0,,,31-31,3,J. Randle makes 3-pt shot from 26 ft (assist by A. Bogut)
11:07.0,M. James misses 3-pt shot from 27 ft,,31-31,,
11:02.0,,,31-31,,Defensive rebound by K. Kuzma
10:55.0,,,31-31,,J. Randle misses 2-pt shot from 3 ft
10:53.0,Defensive rebound by A. Len,,31-31,,
10:49.0,T. Daniels misses 3-pt shot from 25 ft,,31-31,,
10:46.0,,,31-31,,Defensive rebound by A. Bogut
10:37.0,Personal foul by T. Warren (drawn by A. Bogut),,31-31,,
10:37.0,,,31-31,,T. Ennis enters the game for K. Kuzma
10:27.0,,,31-31,,J. Randle misses 2-pt shot from 2 ft (block by A. Len)
10:27.0,Defensive rebound by T. Daniels,,31-31,,
10:13.0,T. Warren makes 2-pt shot from 13 ft,2,33-31,,
9:54.0,Personal foul by M. James (drawn by A. Bogut),,33-31,,
9:45.0,,,33-33,2,T. Ennis makes 2-pt shot from 18 ft
9:36.0,M. James makes 2-pt shot from 2 ft,2,35-33,,
9:21.0,,,35-35,2,J. Clarkson makes 2-pt shot from 16 ft (assist by J. Randle)
9:03.0,T. Warren makes 2-pt shot from 3 ft (assist by M. James),2,37-35,,
8:48.0,,,37-37,2,J. Randle makes 2-pt shot from 2 ft (assist by A. Bogut)
8:32.0,D. Bender misses 3-pt shot from 26 ft,,37-37,,
8:29.0,,,37-37,,Defensive rebound by T. Ennis
8:24.0,,,37-39,2,J. Randle makes 2-pt shot from 2 ft (assist by J. Clarkson)
8:05.0,M. James makes 2-pt shot from 13 ft,2,39-39,,
7:53.0,,,39-39,,Turnover by V. Blue (traveling)
7:38.0,T. Daniels makes 2-pt shot from 19 ft (assist by M. James),2,41-39,,
7:18.0,,,41-39,,J. Randle misses 3-pt shot from 25 ft
7:15.0,Defensive rebound by M. James,,41-39,,
7:03.0,T. Warren misses 2-pt shot from 2 ft (block by A. Bogut),,41-39,,
7:03.0,Offensive rebound by Team,,41-39,,
7:03.0,G. Monroe enters the game for A. Len,,41-39,,
6:56.0,M. James makes 2-pt shot from 2 ft,2,43-39,,
6:56.0,Shooting foul by T. Ennis (drawn by M. James),,43-39,,
6:56.0,,,43-39,,LA Lakers full timeout
6:56.0,,,43-39,,L. Ball enters the game for T. Ennis
6:56.0,,,43-39,,K. Kuzma enters the game for V. Blue
6:56.0,,,43-39,,B. Ingram enters the game for J. Randle
6:56.0,M. James makes free throw 1 of 1,1,44-39,,
6:43.0,,,44-41,2,J. Clarkson makes 2-pt shot from 15 ft
6:24.0,T. Warren makes 2-pt shot from 13 ft (assist by D. Bender),2,46-41,,
6:16.0,,,46-41,,Turnover by L. Ball (bad pass)
5:52.0,M. James misses 3-pt shot from 25 ft,,46-41,,
5:49.0,,,46-41,,Defensive rebound by A. Bogut
5:42.0,,,46-41,,Turnover by A. Bogut (bad pass)
5:25.0,T. Daniels misses 3-pt shot from 28 ft,,46-41,,
5:21.0,,,46-41,,Defensive rebound by L. Ball
5:13.0,,,46-41,,Turnover by B. Ingram (lost ball; steal by T. Daniels)
5:09.0,Turnover by G. Monroe (out of bounds lost ball),,46-41,,
5:09.0,,,46-41,,B. Lopez enters the game for J. Clarkson
5:09.0,,,46-41,,K. Caldwell-Pope enters the game for A. Bogut
5:09.0,D. Booker enters the game for T. Daniels,,46-41,,
5:09.0,T. Ulis enters the game for M. James,,46-41,,
4:58.0,,,46-43,2,B. Lopez makes 2-pt shot from 1 ft (assist by L. Ball)
4:38.0,T. Warren misses 2-pt shot from 17 ft (block by B. Ingram),,46-43,,
4:37.0,,,46-43,,Defensive rebound by K. Kuzma
4:33.0,,,46-43,,Shooting foul by G. Monroe (drawn by K. Kuzma)
4:33.0,,,46-44,1,K. Kuzma makes free throw 1 of 2
4:33.0,M. Chriss enters the game for G. Monroe,,46-44,,
4:33.0,A. Len enters the game for D. Bender,,46-44,,
4:33.0,,,46-45,1,K. Kuzma makes free throw 2 of 2
4:22.0,D. Booker makes 3-pt shot from 22 ft (assist by A. Len),3,49-45,,
4:10.0,,,49-45,,Turnover by L. Ball (bad pass; steal by T. Ulis)
4:05.0,Turnover by T. Ulis (bad pass; steal by L. Ball),,49-45,,
3:59.0,,,49-45,,K. Kuzma misses 2-pt shot from 5 ft
3:54.0,Defensive rebound by T. Ulis,,49-45,,
3:50.0,D. Booker misses 3-pt shot from 27 ft,,49-45,,
3:49.0,,,49-45,,Defensive rebound by Team
3:34.0,,,49-48,3,K. Caldwell-Pope makes 3-pt shot from 25 ft (assist by B. Ingram)
3:21.0,T. Ulis makes 2-pt shot from 3 ft,2,51-48,,
3:14.0,,,51-48,,K. Caldwell-Pope misses 3-pt shot from 25 ft
3:13.0,Defensive rebound by A. Len,,51-48,,
3:05.0,T. Warren misses 2-pt shot from 1 ft,,51-48,,
3:03.0,,,51-48,,Defensive rebound by B. Lopez
3:00.0,,,51-48,,L. Ball misses 2-pt shot at rim (block by M. Chriss)
2:56.0,Defensive rebound by M. Chriss,,51-48,,
2:52.0,A. Len makes 2-pt shot at rim (assist by T. Warren),2,53-48,,
2:31.0,,,53-48,,K. Kuzma misses 3-pt shot from 23 ft
2:31.0,Defensive rebound by A. Len,,53-48,,
2:30.0,T. Ulis misses 2-pt shot from 13 ft,,53-48,,
2:28.0,Offensive rebound by Team,,53-48,,
2:28.0,,,53-48,,Loose ball foul by B. Ingram (drawn by T. Warren)
2:28.0,Phoenix full timeout,,53-48,,
2:28.0,,,53-48,,C. Brewer enters the game for B. Ingram
2:17.0,D. Booker makes 2-pt shot from 20 ft (assist by T. Ulis),2,55-48,,
2:09.0,Personal foul by D. Booker (drawn by K. Caldwell-Pope),,55-48,,
2:00.0,,,55-48,,Turnover by B. Lopez (traveling)
1:52.0,,,55-48,,Personal foul by C. Brewer (drawn by D. Booker)
1:45.0,D. Booker misses 3-pt shot from 22 ft,,55-48,,
1:43.0,Offensive rebound by Team,,55-48,,
1:37.0,T. Ulis makes 2-pt shot from 16 ft,2,57-48,,
1:23.0,,,57-51,3,K. Caldwell-Pope makes 3-pt shot from 24 ft (assist by C. Brewer)
1:08.0,T. Warren makes 2-pt shot from 3 ft,2,59-51,,
0:54.0,,,59-51,,K. Kuzma misses 2-pt shot from 5 ft
0:51.0,Defensive rebound by A. Len,,59-51,,
0:43.0,Turnover by T. Ulis (bad pass),,59-51,,
0:35.0,,,59-51,,K. Caldwell-Pope misses 2-pt shot from 17 ft
0:32.0,Defensive rebound by M. Chriss,,59-51,,
0:15.0,D. Booker makes 3-pt shot from 25 ft,3,62-51,,
0:07.0,,,62-53,2,L. Ball makes 2-pt shot from 1 ft
0:03.0,D. Booker makes 3-pt shot from 29 ft (assist by T. Ulis),3,65-53,,
0:00.0,,,65-53,,L. Ball misses 3-pt shot from 37 ft
0:00.0,,,65-53,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,G. Monroe makes 2-pt shot from 19 ft (assist by T. Ulis),2,67-53,,
11:21.0,,,67-53,,Turnover by B. Ingram (bad pass; steal by G. Monroe)
11:15.0,D. Booker misses 3-pt shot from 26 ft,,67-53,,
11:12.0,,,67-53,,Defensive rebound by L. Ball
11:04.0,,,67-53,,B. Ingram misses 2-pt shot from 16 ft
11:02.0,Defensive rebound by D. Booker,,67-53,,
10:56.0,D. Booker misses 2-pt shot from 1 ft,,67-53,,
10:53.0,Offensive rebound by G. Monroe,,67-53,,
10:52.0,G. Monroe makes 2-pt shot from 1 ft,2,69-53,,
10:48.0,,,69-55,2,K. Kuzma makes 2-pt shot from 2 ft (assist by L. Ball)
10:25.0,M. Chriss misses 3-pt shot from 25 ft,,69-55,,
10:25.0,,,69-55,,Defensive rebound by B. Lopez
10:19.0,,,69-57,2,L. Ball makes 2-pt shot from 3 ft
10:05.0,T. Warren misses 2-pt shot from 8 ft,,69-57,,
10:04.0,,,69-57,,Defensive rebound by L. Ball
10:04.0,,,69-57,,Shooting foul by D. Booker (drawn by K. Caldwell-Pope)
10:04.0,,,69-58,1,K. Caldwell-Pope makes free throw 1 of 2
10:04.0,,,69-59,1,K. Caldwell-Pope makes free throw 2 of 2
9:46.0,M. Chriss misses 2-pt shot from 15 ft,,69-59,,
9:43.0,,,69-59,,Defensive rebound by B. Lopez
9:37.0,,,69-61,2,K. Kuzma makes 2-pt shot from 1 ft (assist by L. Ball)
9:23.0,D. Booker makes 2-pt shot from 3 ft,2,71-61,,
9:23.0,Shooting foul by K. Caldwell-Pope (drawn by D. Booker),,71-61,,
9:23.0,D. Booker makes free throw 1 of 1,1,72-61,,
9:18.0,,,72-61,,Shooting foul by T. Ulis (drawn by L. Ball)
9:18.0,,,72-61,,L. Ball misses free throw 1 of 2
9:18.0,,,72-61,,Offensive rebound by Team
9:18.0,,,72-61,,L. Ball misses free throw 2 of 2
9:16.0,Defensive rebound by T. Warren,,72-61,,
8:55.0,M. Chriss misses 2-pt shot from 2 ft,,72-61,,
8:53.0,,,72-61,,Defensive rebound by B. Lopez
8:45.0,,,72-63,2,K. Kuzma makes 2-pt shot from 2 ft (assist by K. Caldwell-Pope)
8:30.0,D. Booker misses 2-pt shot from 5 ft (block by B. Lopez),,72-63,,
8:28.0,,,72-63,,Defensive rebound by B. Lopez
8:26.0,,,72-66,3,K. Kuzma makes 3-pt shot from 25 ft (assist by K. Caldwell-Pope)
8:26.0,Phoenix full timeout,,72-66,,
8:26.0,D. Bender enters the game for M. Chriss,,72-66,,
8:10.0,G. Monroe makes 2-pt shot from 1 ft (assist by T. Warren),2,74-66,,
7:48.0,,,74-66,,K. Kuzma misses 2-pt shot from 2 ft
7:46.0,Defensive rebound by D. Booker,,74-66,,
7:39.0,T. Warren misses 2-pt shot from 18 ft,,74-66,,
7:37.0,,,74-66,,Defensive rebound by K. Kuzma
7:32.0,,,74-66,,B. Ingram misses 3-pt shot from 26 ft
7:32.0,,,74-66,,Offensive rebound by K. Kuzma
7:23.0,,,74-68,2,K. Kuzma makes 2-pt shot at rim
7:05.0,T. Warren makes 2-pt shot from 14 ft (assist by D. Bender),2,76-68,,
6:50.0,,,76-70,2,B. Ingram makes 2-pt shot from 1 ft
6:32.0,G. Monroe misses 2-pt shot from 2 ft (block by L. Ball),,76-70,,
6:32.0,Offensive rebound by Team,,76-70,,
6:25.0,G. Monroe misses 2-pt shot from 18 ft,,76-70,,
6:22.0,,,76-70,,Defensive rebound by K. Kuzma
6:10.0,,,76-70,,K. Kuzma misses 3-pt shot from 26 ft
6:06.0,Defensive rebound by T. Warren,,76-70,,
5:53.0,T. Ulis misses 2-pt shot from 17 ft,,76-70,,
5:51.0,,,76-70,,Defensive rebound by B. Lopez
5:48.0,,,76-70,,Turnover by K. Caldwell-Pope (bad pass)
5:29.0,D. Booker misses 3-pt shot from 24 ft,,76-70,,
5:25.0,,,76-70,,Defensive rebound by L. Ball
5:18.0,,,76-72,2,K. Kuzma makes 2-pt shot from 1 ft
5:17.0,Shooting block foul by G. Monroe (drawn by K. Kuzma),,76-72,,
5:17.0,A. Len enters the game for G. Monroe,,76-72,,
5:17.0,J. Jackson enters the game for T. Warren,,76-72,,
5:17.0,,,76-73,1,K. Kuzma makes free throw 1 of 1
5:04.0,T. Ulis misses 3-pt shot from 26 ft,,76-73,,
5:01.0,,,76-73,,Defensive rebound by L. Ball
4:49.0,,,76-73,,B. Lopez misses 3-pt shot from 26 ft
4:47.0,Defensive rebound by Team,,76-73,,
4:47.0,,,76-73,,Loose ball foul by L. Ball (drawn by J. Jackson)
4:47.0,M. James enters the game for T. Ulis,,76-73,,
4:36.0,,,76-73,,Def 3 sec tech foul by B. Ingram
4:36.0,D. Booker misses technical free throw,,76-73,,
4:36.0,Offensive rebound by Team,,76-73,,
4:31.0,D. Booker misses 2-pt shot from 2 ft (block by B. Lopez),,76-73,,
4:31.0,Offensive rebound by Team,,76-73,,
4:23.0,D. Booker misses 2-pt shot from 11 ft,,76-73,,
4:20.0,Offensive rebound by D. Bender,,76-73,,
4:18.0,D. Bender misses 2-pt shot from 2 ft,,76-73,,
4:16.0,,,76-73,,Defensive rebound by B. Ingram
4:11.0,,,76-73,,B. Lopez misses 3-pt shot from 26 ft
4:07.0,Defensive rebound by D. Bender,,76-73,,
4:04.0,J. Jackson makes 2-pt shot from 1 ft (assist by M. James),2,78-73,,
4:04.0,,,78-73,,LA Lakers full timeout
3:48.0,,,78-73,,B. Ingram misses 2-pt shot from 3 ft (block by A. Len)
3:41.0,,,78-73,,Offensive rebound by B. Lopez
3:41.0,,,78-75,2,B. Lopez makes 2-pt shot at rim
3:26.0,D. Booker makes 2-pt shot from 18 ft,2,80-75,,
3:11.0,,,80-78,3,B. Lopez makes 3-pt shot from 24 ft (assist by L. Ball)
3:03.0,A. Len makes 2-pt shot from 1 ft (assist by M. James),2,82-78,,
3:03.0,Shooting foul by K. Kuzma (drawn by A. Len),,82-78,,
3:03.0,,,82-78,,J. Randle enters the game for K. Kuzma
3:03.0,,,82-78,,C. Brewer enters the game for L. Ball
3:03.0,,,82-78,,J. Clarkson enters the game for B. Lopez
3:03.0,A. Len makes free throw 1 of 1,1,83-78,,
3:03.0,T. Daniels enters the game for D. Booker,,83-78,,
2:45.0,,,83-78,,J. Clarkson misses 2-pt shot from 16 ft
2:43.0,Defensive rebound by A. Len,,83-78,,
2:37.0,M. James misses 2-pt shot from 11 ft,,83-78,,
2:34.0,,,83-78,,Defensive rebound by J. Randle
2:32.0,,,83-78,,Turnover by C. Brewer (bad pass)
2:21.0,Turnover by M. James (bad pass; steal by K. Caldwell-Pope),,83-78,,
2:18.0,,,83-78,,K. Caldwell-Pope misses 3-pt shot from 23 ft
2:17.0,Defensive rebound by D. Bender,,83-78,,
2:17.0,,,83-78,,Personal foul by K. Caldwell-Pope (drawn by D. Bender)
2:05.0,D. Bender makes 3-pt shot from 26 ft (assist by M. James),3,86-78,,
1:47.0,Personal foul by J. Jackson (drawn by B. Ingram),,86-78,,
1:44.0,,,86-78,,Shooting foul by A. Len (drawn by B. Ingram)
1:44.0,,,86-78,,B. Ingram misses free throw 1 of 2
1:44.0,,,86-78,,Offensive rebound by Team
1:44.0,T. Warren enters the game for A. Len,,86-78,,
1:44.0,,,86-79,1,B. Ingram makes free throw 2 of 2
1:21.0,M. James misses 2-pt shot from 1 ft,,86-79,,
1:21.0,,,86-79,,Defensive rebound by B. Ingram
1:12.0,,,86-79,,B. Ingram misses 2-pt shot from 6 ft
1:12.0,,,86-79,,Offensive rebound by B. Ingram
1:10.0,,,86-79,,B. Ingram misses 2-pt shot from 5 ft (block by D. Bender)
1:10.0,Defensive rebound by Team,,86-79,,
1:03.0,J. Jackson misses 2-pt shot from 2 ft,,86-79,,
1:03.0,,,86-79,,Defensive rebound by K. Caldwell-Pope
1:00.0,,,86-79,,Turnover by K. Caldwell-Pope (bad pass)
0:49.0,,,86-79,,Personal foul by B. Ingram (drawn by D. Bender)
0:49.0,D. Bender misses free throw 1 of 2,,86-79,,
0:49.0,Offensive rebound by Team,,86-79,,
0:49.0,,,86-79,,L. Ball enters the game for B. Ingram
0:49.0,D. Bender makes free throw 2 of 2,1,87-79,,
0:39.0,,,87-79,,J. Clarkson misses 2-pt shot from 2 ft
0:36.0,,,87-79,,Offensive rebound by J. Randle
0:34.0,,,87-81,2,L. Ball makes 2-pt shot from 1 ft (assist by C. Brewer)
0:11.0,T. Warren misses 2-pt shot from 15 ft,,87-81,,
0:11.0,,,87-81,,Defensive rebound by Team
0:11.0,Loose ball foul by D. Bender (drawn by C. Brewer),,87-81,,
0:11.0,D. Booker enters the game for J. Jackson,,87-81,,
0:11.0,,,87-81,,C. Brewer misses free throw 1 of 2
0:11.0,,,87-81,,Offensive rebound by Team
0:11.0,,,87-82,1,C. Brewer makes free throw 2 of 2
0:00.0,Shooting foul by K. Caldwell-Pope (drawn by M. James),,87-82,,
0:00.0,M. James makes free throw 1 of 2,1,88-82,,
0:00.0,M. James makes free throw 2 of 2,1,89-82,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,,,89-82,,J. Clarkson misses 2-pt shot from 17 ft
11:45.0,Defensive rebound by J. Jackson,,89-82,,
11:38.0,,,89-82,,Personal foul by C. Brewer (drawn by T. Warren)
11:33.0,T. Daniels makes 3-pt shot from 26 ft (assist by M. James),3,92-82,,
11:19.0,,,92-82,,Turnover by L. Ball (bad pass; steal by T. Warren)
11:17.0,Shooting foul by C. Brewer (drawn by T. Warren),,92-82,,
11:17.0,T. Warren misses free throw 1 of 2,,92-82,,
11:17.0,Offensive rebound by Team,,92-82,,
11:17.0,T. Warren makes free throw 2 of 2,1,93-82,,
11:04.0,,,93-82,,Shooting foul by T. Warren (drawn by C. Brewer)
11:04.0,,,93-83,1,C. Brewer makes free throw 1 of 2
11:04.0,,,93-84,1,C. Brewer makes free throw 2 of 2
10:49.0,D. Bender makes 3-pt shot from 27 ft (assist by T. Warren),3,96-84,,
10:30.0,,,96-86,2,K. Kuzma makes 2-pt shot from 5 ft
10:19.0,T. Daniels misses 3-pt shot from 27 ft,,96-86,,
10:19.0,,,96-86,,Defensive rebound by J. Clarkson
10:09.0,,,96-88,2,J. Randle makes 2-pt shot at rim (assist by J. Clarkson)
9:47.0,M. James misses 3-pt shot from 27 ft,,96-88,,
9:41.0,,,96-88,,Defensive rebound by K. Kuzma
9:35.0,,,96-88,,L. Ball misses 2-pt shot from 2 ft
9:32.0,Defensive rebound by T. Warren,,96-88,,
9:29.0,T. Daniels makes 3-pt shot from 25 ft (assist by T. Warren),3,99-88,,
9:26.0,,,99-88,,LA Lakers full timeout
9:14.0,,,99-88,,Turnover by J. Clarkson (lost ball; steal by J. Jackson)
9:14.0,,,99-88,,Personal foul by J. Clarkson (drawn by J. Jackson)
8:56.0,D. Bender misses 2-pt shot from 2 ft,,99-88,,
8:53.0,,,99-88,,Defensive rebound by C. Brewer
8:50.0,,,99-90,2,C. Brewer makes 2-pt shot from 1 ft
8:35.0,J. Jackson misses 3-pt shot from 24 ft,,99-90,,
8:33.0,,,99-90,,Defensive rebound by J. Randle
8:27.0,,,99-90,,K. Kuzma misses 2-pt shot from 3 ft
8:24.0,Defensive rebound by T. Warren,,99-90,,
8:21.0,T. Warren misses 2-pt shot from 2 ft,,99-90,,
8:18.0,,,99-90,,Defensive rebound by C. Brewer
8:14.0,,,99-90,,Shooting foul by T. Daniels (drawn by K. Kuzma)
8:14.0,,,99-91,1,K. Kuzma makes free throw 1 of 2
8:14.0,G. Monroe enters the game for T. Daniels,,99-91,,
8:14.0,T. Ulis enters the game for M. James,,99-91,,
8:14.0,D. Booker enters the game for J. Jackson,,99-91,,
8:14.0,,,99-92,1,K. Kuzma makes free throw 2 of 2
8:04.0,Turnover by T. Ulis (bad pass; steal by C. Brewer),,99-92,,
8:03.0,,,99-94,2,C. Brewer makes 2-pt shot from 2 ft
8:03.0,Phoenix full timeout,,99-94,,
8:03.0,M. Chriss enters the game for D. Bender,,99-94,,
7:48.0,Turnover by G. Monroe (out of bounds lost ball),,99-94,,
7:38.0,Personal foul by M. Chriss (drawn by J. Randle),,99-94,,
7:30.0,,,99-96,2,C. Brewer makes 2-pt shot from 1 ft (assist by J. Randle)
7:26.0,D. Booker makes 2-pt shot from 1 ft,2,101-96,,
7:26.0,Shooting foul by J. Clarkson (drawn by D. Booker),,101-96,,
7:26.0,A. Len enters the game for G. Monroe,,101-96,,
7:26.0,D. Bender enters the game for M. Chriss,,101-96,,
7:26.0,,,101-96,,B. Ingram enters the game for J. Clarkson
7:26.0,D. Booker misses free throw 1 of 1,,101-96,,
7:24.0,,,101-96,,Defensive rebound by K. Kuzma
7:17.0,,,101-96,,C. Brewer misses 3-pt shot from 26 ft
7:15.0,Defensive rebound by A. Len,,101-96,,
7:09.0,D. Bender makes 3-pt shot from 25 ft (assist by D. Booker),3,104-96,,
