time,Houston,pts.away,score,pts.home,New Orleans
2:36.0,Defensive rebound by C. Capela,,102-104,,
2:34.0,L. Mbah a Moute makes 2-pt shot at rim (assist by J. Harden),2,104-104,,
2:34.0,,,104-104,,New Orleans full timeout
2:34.0,,,104-104,,D. Miller enters the game for D. Liggins
2:24.0,,,104-104,,Shooting foul by J. Harden (drawn by A. Davis)
2:24.0,,,104-105,1,A. Davis makes free throw 1 of 2
2:24.0,,,104-106,1,A. Davis makes free throw 2 of 2
2:11.0,Turnover by L. Mbah a Moute (lost ball; steal by D. Cousins),,104-106,,
1:52.0,,,104-109,3,D. Miller makes 3-pt shot from 25 ft (assist by D. Cousins)
1:51.0,Houston full timeout,,104-109,,
1:51.0,E. Gordon enters the game for L. Mbah a Moute,,104-109,,
1:37.0,C. Paul makes 2-pt shot from 17 ft,2,106-109,,
1:24.0,,,106-109,,Turnover by D. Cousins (bad pass; steal by E. Gordon)
1:17.0,T. Ariza makes 3-pt shot from 24 ft (assist by E. Gordon),3,109-109,,
1:04.0,,,109-111,2,J. Holiday makes 2-pt shot from 9 ft
0:43.0,J. Harden misses 2-pt shot from 19 ft,,109-111,,
0:39.0,,,109-111,,Defensive rebound by A. Davis
0:17.0,,,109-111,,E. Moore misses 3-pt shot from 22 ft
0:15.0,,,109-111,,Offensive rebound by D. Cousins
0:15.0,,,109-113,2,D. Cousins makes 2-pt shot from 1 ft
0:15.0,,,109-113,,Shooting foul by C. Capela (drawn by D. Cousins)
0:15.0,,,109-113,,D. Cousins misses free throw 1 of 1
0:11.0,Defensive rebound by J. Harden,,109-113,,
0:08.0,Shooting foul by A. Davis (drawn by C. Paul),,109-113,,
0:08.0,,,109-113,,New Orleans full timeout
0:08.0,,,109-113,,D. Liggins enters the game for D. Cousins
0:08.0,C. Paul makes free throw 1 of 3,1,110-113,,
0:08.0,C. Paul makes free throw 2 of 3,1,111-113,,
0:08.0,C. Paul makes free throw 3 of 3,1,112-113,,
0:04.0,Personal take foul by J. Harden (drawn by D. Miller),,112-113,,
0:04.0,,,112-114,1,D. Miller makes free throw 1 of 2
0:04.0,,,112-115,1,D. Miller makes free throw 2 of 2
0:04.0,Houston full timeout,,112-115,,
0:04.0,N. Hilario enters the game for C. Capela,,112-115,,
0:01.0,,,112-115,,Personal foul by D. Miller (drawn by J. Harden)
0:01.0,J. Harden makes free throw 1 of 2,1,113-115,,
0:01.0,,,113-115,,D. Cunningham enters the game for D. Liggins
0:01.0,C. Capela enters the game for T. Ariza,,113-115,,
0:01.0,J. Harden misses free throw 2 of 2,,113-115,,
0:01.0,,,113-115,,Defensive rebound by Team
0:01.0,Personal take foul by C. Paul (drawn by J. Holiday),,113-115,,
0:01.0,T. Ariza enters the game for C. Paul,,113-115,,
0:01.0,,,113-115,,J. Holiday misses free throw 1 of 2
0:01.0,,,113-115,,Offensive rebound by Team
0:01.0,,,113-115,,J. Holiday misses free throw 2 of 2
0:00.0,,,113-115,,Offensive rebound by D. Cunningham
