time,Memphis,pts.away,score,pts.home,Brooklyn
1:05.0,,,27-29,2,S. Dinwiddie makes 2-pt shot from 2 ft (assist by J. Harris)
1:05.0,,,27-29,,Shooting foul by D. Brooks (drawn by S. Dinwiddie)
1:05.0,,,27-30,1,S. Dinwiddie makes free throw 1 of 1
0:54.0,B. Weber makes 2-pt shot from 7 ft,2,29-30,,
0:35.0,,,29-30,,Shooting foul by D. Brooks (drawn by S. Dinwiddie)
0:35.0,,,29-31,1,S. Dinwiddie makes free throw 1 of 2
0:35.0,A. Harrison enters the game for D. Brooks,,29-31,,
0:35.0,,,29-32,1,S. Dinwiddie makes free throw 2 of 2
0:18.0,I. Rabb makes 2-pt shot from 1 ft (assist by W. Selden),2,31-32,,
0:02.0,,,31-32,,Q. Acy misses 3-pt shot from 27 ft
0:02.0,Defensive rebound by I. Rabb,,31-32,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,B. Weber makes 2-pt shot from 19 ft,2,33-32,,
11:26.0,,,33-34,2,C. LeVert makes 2-pt shot from 9 ft (assist by S. Dinwiddie)
11:14.0,,,33-34,,Personal foul by C. LeVert (drawn by B. Weber)
11:10.0,B. Weber misses 3-pt shot from 24 ft,,33-34,,
11:06.0,,,33-34,,Defensive rebound by J. Allen
11:00.0,,,33-34,,Turnover by D. Carroll (lost ball; steal by B. Weber)
10:56.0,Shooting foul by S. Dinwiddie (drawn by A. Harrison),,33-34,,
10:56.0,A. Harrison makes free throw 1 of 2,1,34-34,,
10:56.0,A. Harrison misses free throw 2 of 2,,34-34,,
10:54.0,,,34-34,,Defensive rebound by J. Allen
10:44.0,,,34-34,,Turnover by J. Harris (bad pass)
10:32.0,Turnover by B. McLemore (turnover),,34-34,,
10:31.0,Loose ball foul by B. McLemore (drawn by J. Harris),,34-34,,
10:18.0,,,34-34,,J. Allen misses 2-pt shot at rim
10:16.0,Defensive rebound by B. McLemore,,34-34,,
10:09.0,I. Rabb misses 2-pt shot from 2 ft (block by C. LeVert),,34-34,,
10:08.0,Offensive rebound by W. Selden,,34-34,,
10:06.0,I. Rabb makes 2-pt shot at rim (assist by W. Selden),2,36-34,,
9:48.0,,,36-34,,Turnover by J. Harris (step out of bounds)
9:48.0,J. Green enters the game for W. Selden,,36-34,,
9:36.0,J. Green makes 2-pt shot at rim (assist by A. Harrison),2,38-34,,
9:15.0,,,38-34,,S. Dinwiddie misses 3-pt shot from 27 ft
9:12.0,,,38-34,,Offensive rebound by D. Carroll
9:11.0,,,38-37,3,C. LeVert makes 3-pt shot from 24 ft (assist by D. Carroll)
8:53.0,J. Green makes 2-pt shot at rim (assist by I. Rabb),2,40-37,,
8:38.0,,,40-40,3,C. LeVert makes 3-pt shot from 25 ft (assist by J. Allen)
8:21.0,A. Harrison makes 2-pt shot from 4 ft,2,42-40,,
8:05.0,,,42-40,,Turnover by S. Dinwiddie (bad pass; steal by J. Green)
7:53.0,B. McLemore makes 2-pt shot at rim (assist by A. Harrison),2,44-40,,
7:52.0,,,44-40,,Brooklyn full timeout
7:52.0,D. Davis enters the game for B. Weber,,44-40,,
7:52.0,J. Martin enters the game for I. Rabb,,44-40,,
7:41.0,,,44-40,,Turnover by J. Harris (out of bounds lost ball)
7:27.0,B. McLemore makes 3-pt shot from 25 ft (assist by A. Harrison),3,47-40,,
7:12.0,,,47-40,,R. Hollis-Jefferson enters the game for S. Dinwiddie
7:12.0,,,47-40,,D. Russell enters the game for D. Carroll
7:12.0,C. Parsons enters the game for J. Green,,47-40,,
7:00.0,,,47-40,,J. Harris misses 3-pt shot from 24 ft
6:59.0,Defensive rebound by B. McLemore,,47-40,,
6:53.0,Turnover by B. McLemore (turnover),,47-40,,
6:53.0,Loose ball foul by B. McLemore (drawn by C. LeVert),,47-40,,
6:41.0,Personal foul by B. McLemore (drawn by R. Hollis-Jefferson),,47-40,,
6:41.0,J. Green enters the game for B. McLemore,,47-40,,
6:27.0,,,47-40,,D. Russell misses 3-pt shot from 29 ft
6:24.0,Defensive rebound by J. Green,,47-40,,
6:18.0,A. Harrison misses 3-pt shot from 24 ft,,47-40,,
6:15.0,,,47-40,,Defensive rebound by C. LeVert
6:10.0,,,47-43,3,C. LeVert makes 3-pt shot from 24 ft
5:58.0,,,47-43,,Personal foul by C. LeVert (drawn by J. Martin)
5:58.0,,,47-43,,A. Crabbe enters the game for J. Harris
5:58.0,,,47-43,,Q. Acy enters the game for C. LeVert
5:58.0,,,47-43,,S. Dinwiddie enters the game for J. Allen
5:48.0,A. Harrison misses 2-pt shot from 18 ft,,47-43,,
5:46.0,,,47-43,,Defensive rebound by A. Crabbe
5:38.0,,,47-45,2,R. Hollis-Jefferson makes 2-pt shot at rim (assist by D. Russell)
5:23.0,J. Martin makes 3-pt shot from 23 ft (assist by C. Parsons),3,50-45,,
5:05.0,,,50-45,,Q. Acy misses 3-pt shot from 24 ft
5:01.0,Defensive rebound by J. Green,,50-45,,
4:54.0,A. Harrison makes 2-pt shot at rim,2,52-45,,
4:39.0,Personal foul by A. Harrison (drawn by A. Crabbe),,52-45,,
4:39.0,B. Weber enters the game for A. Harrison,,52-45,,
4:26.0,,,52-47,2,A. Crabbe makes 2-pt shot from 13 ft (assist by Q. Acy)
4:06.0,B. Weber makes 2-pt shot from 7 ft,2,54-47,,
3:46.0,Violation by D. Davis (def goaltending),,54-47,,
3:46.0,,,54-49,2,D. Russell makes 2-pt shot from 8 ft
3:46.0,,,54-49,,Shooting foul by J. Martin (drawn by D. Russell)
3:46.0,D. Brooks enters the game for J. Martin,,54-49,,
3:46.0,,,54-50,1,D. Russell makes free throw 1 of 1
3:37.0,Offensive foul by D. Davis (drawn by D. Russell),,54-50,,
3:37.0,Turnover by D. Davis (offensive foul),,54-50,,
3:19.0,,,54-52,2,D. Russell makes 2-pt shot from 22 ft
3:03.0,D. Brooks makes 2-pt shot from 10 ft,2,56-52,,
2:47.0,,,56-54,2,D. Russell makes 2-pt shot from 14 ft
2:38.0,Turnover by C. Parsons (out of bounds lost ball),,56-54,,
2:38.0,Memphis full timeout,,56-54,,
2:13.0,,,56-54,,R. Hollis-Jefferson misses 2-pt shot from 3 ft (block by J. Green)
2:11.0,,,56-54,,Offensive rebound by R. Hollis-Jefferson
2:10.0,,,56-54,,R. Hollis-Jefferson misses 2-pt shot from 1 ft
2:10.0,,,56-54,,Offensive rebound by R. Hollis-Jefferson
2:08.0,,,56-57,3,A. Crabbe makes 3-pt shot from 22 ft (assist by R. Hollis-Jefferson)
1:49.0,C. Parsons makes 3-pt shot from 23 ft (assist by D. Davis),3,59-57,,
1:35.0,,,59-57,,Shooting foul by D. Davis (drawn by A. Crabbe)
1:35.0,,,59-58,1,A. Crabbe makes free throw 1 of 3
1:35.0,,,59-59,1,A. Crabbe makes free throw 2 of 3
1:35.0,I. Rabb enters the game for D. Davis,,59-59,,
1:35.0,,,59-60,1,A. Crabbe makes free throw 3 of 3
1:20.0,J. Green makes 2-pt shot from 7 ft,2,61-60,,
0:57.0,,,61-62,2,S. Dinwiddie makes 2-pt shot from 8 ft (assist by Q. Acy)
0:57.0,,,61-62,,Shooting foul by D. Brooks (drawn by S. Dinwiddie)
0:57.0,W. Selden enters the game for D. Brooks,,61-62,,
0:57.0,,,61-63,1,S. Dinwiddie makes free throw 1 of 1
0:42.0,W. Selden misses 3-pt shot from 24 ft,,61-63,,
0:39.0,,,61-63,,Defensive rebound by D. Russell
0:33.0,,,61-63,,A. Crabbe misses 3-pt shot from 24 ft
0:31.0,Defensive rebound by J. Green,,61-63,,
0:15.0,B. Weber makes 2-pt shot from 20 ft,2,63-63,,
0:04.0,,,63-63,,Q. Acy misses 3-pt shot from 24 ft
0:02.0,,,63-63,,Offensive rebound by R. Hollis-Jefferson
0:01.0,,,63-65,2,R. Hollis-Jefferson makes 2-pt shot from 1 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,A. Harrison makes 2-pt shot from 17 ft,2,65-65,,
11:26.0,,,65-68,3,D. Russell makes 3-pt shot from 24 ft (assist by D. Carroll)
11:14.0,Turnover by D. Davis (lost ball; steal by D. Russell),,65-68,,
11:09.0,,,65-70,2,A. Crabbe makes 2-pt shot from 1 ft (assist by D. Russell)
10:57.0,Turnover by J. Green (step out of bounds),,65-70,,
10:48.0,,,65-70,,Shooting foul by J. Martin (drawn by R. Hollis-Jefferson)
10:48.0,,,65-71,1,R. Hollis-Jefferson makes free throw 1 of 2
10:48.0,W. Selden enters the game for J. Martin,,65-71,,
10:48.0,,,65-71,,R. Hollis-Jefferson misses free throw 2 of 2
10:46.0,Defensive rebound by J. Green,,65-71,,
10:31.0,D. Brooks misses 2-pt shot from 5 ft (block by J. Allen),,65-71,,
10:30.0,Offensive rebound by Team,,65-71,,
10:28.0,Turnover by W. Selden (bad pass),,65-71,,
10:19.0,Personal foul by D. Davis (drawn by D. Russell),,65-71,,
10:19.0,I. Rabb enters the game for D. Davis,,65-71,,
10:06.0,,,65-71,,D. Russell misses 3-pt shot from 24 ft
10:03.0,Defensive rebound by J. Green,,65-71,,
9:55.0,D. Brooks makes 2-pt shot from 1 ft,2,67-71,,
9:40.0,,,67-71,,D. Russell misses 3-pt shot from 24 ft
9:36.0,,,67-71,,Offensive rebound by D. Carroll
9:27.0,,,67-74,3,D. Carroll makes 3-pt shot from 23 ft (assist by R. Hollis-Jefferson)
9:06.0,D. Brooks misses 2-pt shot from 12 ft,,67-74,,
9:03.0,,,67-74,,Defensive rebound by R. Hollis-Jefferson
8:59.0,,,67-74,,D. Carroll misses 3-pt shot from 24 ft
8:56.0,Defensive rebound by D. Brooks,,67-74,,
8:53.0,W. Selden makes 2-pt shot at rim (assist by D. Brooks),2,69-74,,
8:36.0,,,69-74,,A. Crabbe misses 3-pt shot from 23 ft
8:33.0,Defensive rebound by J. Green,,69-74,,
8:29.0,W. Selden misses 2-pt shot from 6 ft,,69-74,,
8:26.0,,,69-74,,Defensive rebound by D. Carroll
8:14.0,,,69-74,,Turnover by D. Carroll (bad pass; steal by I. Rabb)
8:00.0,I. Rabb misses 2-pt shot from 7 ft,,69-74,,
7:57.0,,,69-74,,Defensive rebound by D. Russell
7:45.0,,,69-74,,D. Carroll misses 3-pt shot from 23 ft
7:42.0,Defensive rebound by J. Green,,69-74,,
7:39.0,D. Brooks makes 2-pt shot from 1 ft (assist by J. Green),2,71-74,,
7:23.0,,,71-74,,D. Russell misses 2-pt shot from 7 ft (block by A. Harrison)
7:23.0,,,71-74,,Offensive rebound by Team
7:23.0,B. Weber enters the game for A. Harrison,,71-74,,
7:16.0,,,71-77,3,A. Crabbe makes 3-pt shot from 25 ft (assist by D. Russell)
7:01.0,D. Brooks misses 2-pt shot from 19 ft (block by A. Crabbe),,71-77,,
6:59.0,,,71-77,,Defensive rebound by R. Hollis-Jefferson
6:56.0,,,71-79,2,D. Carroll makes 2-pt shot from 2 ft (assist by A. Crabbe)
6:55.0,Memphis full timeout,,71-79,,
6:42.0,I. Rabb misses 2-pt shot from 7 ft (block by D. Russell),,71-79,,
6:38.0,Offensive rebound by J. Green,,71-79,,
6:38.0,Shooting foul by J. Allen (drawn by D. Brooks),,71-79,,
6:38.0,D. Brooks makes free throw 1 of 1,1,72-79,,
6:38.0,D. Brooks makes 2-pt shot from 1 ft (assist by J. Green),2,74-79,,
6:17.0,,,74-79,,Turnover by D. Carroll (lost ball; steal by J. Green)
6:13.0,B. Weber makes 2-pt shot from 1 ft (assist by J. Green),2,76-79,,
5:53.0,Personal foul by B. Weber (drawn by D. Russell),,76-79,,
5:53.0,,,76-79,,Q. Acy enters the game for D. Carroll
5:53.0,,,76-79,,S. Dinwiddie enters the game for J. Allen
5:49.0,,,76-79,,R. Hollis-Jefferson misses 2-pt shot from 1 ft
5:46.0,Defensive rebound by J. Green,,76-79,,
5:32.0,,,76-79,,Personal foul by R. Hollis-Jefferson (drawn by J. Green)
5:32.0,A. Harrison enters the game for D. Brooks,,76-79,,
5:18.0,A. Harrison misses 3-pt shot from 24 ft,,76-79,,
5:15.0,,,76-79,,Defensive rebound by D. Russell
5:08.0,,,76-79,,D. Russell misses 2-pt shot from 1 ft (block by I. Rabb)
5:08.0,Defensive rebound by B. Weber,,76-79,,
4:59.0,B. Weber misses 2-pt shot from 1 ft,,76-79,,
4:59.0,Offensive rebound by I. Rabb,,76-79,,
4:56.0,I. Rabb makes 2-pt shot from 1 ft,2,78-79,,
4:49.0,,,78-79,,Brooklyn full timeout
4:49.0,,,78-79,,J. Harris enters the game for D. Russell
4:49.0,,,78-79,,C. LeVert enters the game for A. Crabbe
4:49.0,B. McLemore enters the game for J. Green,,78-79,,
4:32.0,,,78-79,,Offensive foul by J. Harris (drawn by B. Weber)
4:32.0,,,78-79,,Turnover by J. Harris (offensive foul)
4:10.0,A. Harrison makes 2-pt shot from 13 ft,2,80-79,,
3:48.0,,,80-82,3,C. LeVert makes 3-pt shot from 24 ft (assist by S. Dinwiddie)
3:37.0,B. Weber misses 2-pt shot from 3 ft (block by Q. Acy),,80-82,,
3:34.0,Offensive rebound by W. Selden,,80-82,,
3:28.0,I. Rabb misses 2-pt shot from 3 ft (block by Q. Acy),,80-82,,
3:26.0,Offensive rebound by I. Rabb,,80-82,,
3:26.0,Shooting foul by Q. Acy (drawn by I. Rabb),,80-82,,
3:26.0,I. Rabb makes free throw 1 of 2,1,81-82,,
3:26.0,I. Rabb makes free throw 2 of 2,1,82-82,,
3:13.0,,,82-82,,C. LeVert misses 2-pt shot from 1 ft
3:11.0,Defensive rebound by I. Rabb,,82-82,,
3:06.0,W. Selden makes 3-pt shot from 25 ft (assist by A. Harrison),3,85-82,,
2:48.0,,,85-82,,Q. Acy misses 2-pt shot from 16 ft
2:46.0,Defensive rebound by B. Weber,,85-82,,
2:39.0,A. Harrison makes 2-pt shot from 1 ft,2,87-82,,
2:39.0,Shooting foul by J. Harris (drawn by A. Harrison),,87-82,,
2:39.0,,,87-82,,D. Carroll enters the game for R. Hollis-Jefferson
2:39.0,A. Harrison makes free throw 1 of 1,1,88-82,,
2:26.0,Personal foul by B. McLemore (drawn by J. Harris),,88-82,,
2:26.0,D. Brooks enters the game for W. Selden,,88-82,,
2:20.0,,,88-85,3,J. Harris makes 3-pt shot from 25 ft (assist by C. LeVert)
1:59.0,Turnover by I. Rabb (out of bounds lost ball),,88-85,,
1:44.0,,,88-85,,Turnover by C. LeVert (out of bounds lost ball)
1:33.0,B. Weber makes 2-pt shot from 16 ft,2,90-85,,
1:20.0,,,90-85,,Offensive foul by J. Harris (drawn by B. Weber)
1:20.0,,,90-85,,Turnover by J. Harris (offensive foul)
1:20.0,,,90-85,,R. Hollis-Jefferson enters the game for J. Harris
1:01.0,D. Brooks misses 2-pt shot from 3 ft (block by R. Hollis-Jefferson),,90-85,,
0:59.0,Offensive rebound by B. Weber,,90-85,,
0:59.0,B. Weber makes 2-pt shot from 1 ft,2,92-85,,
0:51.0,,,92-85,,Q. Acy misses 3-pt shot from 25 ft
0:49.0,Defensive rebound by I. Rabb,,92-85,,
0:43.0,A. Harrison misses 2-pt shot from 1 ft,,92-85,,
0:40.0,,,92-85,,Defensive rebound by Q. Acy
0:40.0,Personal foul by B. Weber (drawn by C. LeVert),,92-85,,
0:40.0,,,92-86,1,C. LeVert makes free throw 1 of 2
0:40.0,J. Green enters the game for I. Rabb,,92-86,,
0:40.0,,,92-87,1,C. LeVert makes free throw 2 of 2
0:25.0,Shooting foul by D. Carroll (drawn by A. Harrison),,92-87,,
0:25.0,A. Harrison misses free throw 1 of 2,,92-87,,
0:25.0,Offensive rebound by Team,,92-87,,
0:25.0,A. Harrison makes free throw 2 of 2,1,93-87,,
0:06.0,,,93-87,,Turnover by C. LeVert (lost ball; steal by J. Green)
0:01.0,Shooting foul by S. Dinwiddie (drawn by A. Harrison),,93-87,,
0:01.0,A. Harrison makes free throw 1 of 2,1,94-87,,
0:01.0,A. Harrison misses free throw 2 of 2,,94-87,,
0:00.0,,,94-87,,Defensive rebound by Q. Acy
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,,,94-87,,S. Dinwiddie misses 3-pt shot from 28 ft
11:34.0,Defensive rebound by I. Rabb,,94-87,,
11:29.0,D. Brooks misses 2-pt shot from 19 ft,,94-87,,
11:26.0,,,94-87,,Defensive rebound by R. Hollis-Jefferson
11:21.0,,,94-90,3,D. Carroll makes 3-pt shot from 22 ft (assist by S. Dinwiddie)
11:02.0,Turnover by B. McLemore (bad pass; steal by Q. Acy),,94-90,,
11:01.0,Personal foul by J. Martin (drawn by R. Hollis-Jefferson),,94-90,,
10:40.0,,,94-93,3,Q. Acy makes 3-pt shot from 25 ft (assist by S. Dinwiddie)
10:22.0,B. Weber misses 3-pt shot from 25 ft,,94-93,,
10:20.0,,,94-93,,Defensive rebound by Q. Acy
10:03.0,,,94-93,,Shooting foul by J. Martin (drawn by R. Hollis-Jefferson)
10:03.0,J. Green enters the game for J. Martin,,94-93,,
10:03.0,D. Davis enters the game for I. Rabb,,94-93,,
10:03.0,,,94-94,1,R. Hollis-Jefferson makes free throw 1 of 2
10:03.0,,,94-94,,R. Hollis-Jefferson misses free throw 2 of 2
10:01.0,Defensive rebound by J. Green,,94-94,,
9:51.0,D. Brooks makes 3-pt shot from 24 ft (assist by B. Weber),3,97-94,,
9:36.0,,,97-94,,Turnover by S. Dinwiddie (bad pass; steal by B. McLemore)
9:33.0,,,97-94,,Personal foul by Q. Acy (drawn by B. McLemore)
9:33.0,,,97-94,,J. Harris enters the game for C. LeVert
9:31.0,Turnover by D. Brooks (bad pass; steal by R. Hollis-Jefferson),,97-94,,
9:25.0,,,97-94,,S. Dinwiddie misses 3-pt shot from 25 ft
9:22.0,Defensive rebound by D. Davis,,97-94,,
9:12.0,J. Green misses 3-pt shot from 24 ft,,97-94,,
9:09.0,,,97-94,,Defensive rebound by D. Carroll
8:45.0,,,97-97,3,D. Carroll makes 3-pt shot from 23 ft (assist by S. Dinwiddie)
8:31.0,B. McLemore misses 3-pt shot from 25 ft,,97-97,,
8:28.0,,,97-97,,Defensive rebound by D. Carroll
8:10.0,,,97-97,,Turnover by S. Dinwiddie (bad pass; steal by B. Weber)
8:04.0,Memphis full timeout,,97-97,,
8:04.0,,,97-97,,D. Russell enters the game for S. Dinwiddie
8:04.0,,,97-97,,J. Allen enters the game for R. Hollis-Jefferson
8:04.0,A. Harrison enters the game for B. Weber,,97-97,,
7:53.0,A. Harrison makes 3-pt shot from 25 ft,3,100-97,,
7:27.0,,,100-97,,D. Russell misses 3-pt shot from 25 ft
7:23.0,Defensive rebound by B. McLemore,,100-97,,
7:13.0,A. Harrison misses 2-pt shot from 6 ft,,100-97,,
7:11.0,,,100-97,,Defensive rebound by Q. Acy
7:07.0,,,100-97,,Shooting foul by B. McLemore (drawn by D. Carroll)
7:07.0,,,100-98,1,D. Carroll makes free throw 1 of 3
7:07.0,,,100-99,1,D. Carroll makes free throw 2 of 3
7:07.0,B. Weber enters the game for B. McLemore,,100-99,,
7:07.0,,,100-100,1,D. Carroll makes free throw 3 of 3
6:54.0,,,100-100,,Def 3 sec tech foul by J. Allen
6:54.0,D. Brooks makes technical free throw,1,101-100,,
6:54.0,,,101-100,,R. Hollis-Jefferson enters the game for D. Carroll
6:54.0,,,101-100,,A. Crabbe enters the game for Q. Acy
6:46.0,D. Brooks misses 2-pt shot from 16 ft,,101-100,,
6:43.0,,,101-100,,Defensive rebound by A. Crabbe
6:31.0,,,101-102,2,J. Allen makes 2-pt shot from 1 ft (assist by A. Crabbe)
6:11.0,D. Brooks misses 2-pt shot from 9 ft,,101-102,,
6:09.0,,,101-102,,Defensive rebound by Team
6:09.0,,,101-102,,C. LeVert enters the game for J. Harris
5:44.0,,,101-102,,D. Russell misses 3-pt shot from 26 ft
5:41.0,,,101-102,,Offensive rebound by R. Hollis-Jefferson
