time,Philadelphia,pts.away,score,pts.home,Cleveland
9:09.0,Turnover by B. Simmons (bad pass; steal by L. Nance),,36-34,,
9:06.0,,,36-36,2,L. Nance makes 2-pt shot at rim
8:53.0,R. Covington makes 2-pt shot at rim (assist by J. Embiid),2,38-36,,
8:42.0,,,38-36,,Shooting foul by B. Simmons (drawn by J. Clarkson)
8:42.0,,,38-36,,J. Clarkson misses free throw 1 of 2
8:42.0,,,38-36,,Offensive rebound by Team
8:42.0,,,38-37,1,J. Clarkson makes free throw 2 of 2
8:42.0,A. Johnson enters the game for J. Embiid,,38-37,,
8:28.0,M. Belinelli makes 3-pt shot from 25 ft (assist by E. Ilyasova),3,41-37,,
8:14.0,,,41-37,,Offensive foul by J. Green (drawn by E. Ilyasova)
8:14.0,,,41-37,,Turnover by J. Green (offensive foul)
8:03.0,R. Covington misses 3-pt shot from 27 ft,,41-37,,
8:03.0,,,41-37,,Defensive rebound by J. Clarkson
7:49.0,,,41-39,2,L. Nance makes 2-pt shot at rim (assist by J. Clarkson)
7:40.0,B. Simmons misses 2-pt shot from 2 ft,,41-39,,
7:40.0,,,41-39,,Defensive rebound by L. Nance
7:26.0,,,41-39,,J. Clarkson misses 2-pt shot from 7 ft
7:25.0,Defensive rebound by Team,,41-39,,
7:16.0,Shooting foul by R. Hood (drawn by E. Ilyasova),,41-39,,
7:16.0,E. Ilyasova makes free throw 1 of 2,1,42-39,,
7:16.0,E. Ilyasova makes free throw 2 of 2,1,43-39,,
7:16.0,,,43-39,,L. James enters the game for J. Green
6:59.0,,,43-39,,R. Hood misses 2-pt shot from 4 ft (block by R. Covington)
6:55.0,Defensive rebound by A. Johnson,,43-39,,
6:52.0,E. Ilyasova misses 2-pt shot from 2 ft,,43-39,,
6:52.0,,,43-39,,Defensive rebound by Team
6:52.0,Loose ball foul by A. Johnson (drawn by L. Nance),,43-39,,
6:52.0,,,43-39,,Cleveland full timeout
6:52.0,D. Saric enters the game for E. Ilyasova,,43-39,,
6:45.0,Personal foul by D. Saric (drawn by L. Nance),,43-39,,
6:31.0,,,43-39,,L. Nance misses 2-pt shot from 8 ft
6:28.0,Defensive rebound by R. Covington,,43-39,,
6:20.0,R. Covington makes 2-pt shot from 22 ft (assist by B. Simmons),2,45-39,,
6:07.0,,,45-39,,Turnover by R. Hood (out of bounds lost ball)
6:07.0,,,45-39,,G. Hill enters the game for R. Hood
6:07.0,,,45-39,,C. Osman enters the game for J. Clarkson
6:07.0,,,45-39,,T. Thompson enters the game for L. Nance
5:43.0,M. Belinelli misses 2-pt shot from 21 ft,,45-39,,
5:40.0,,,45-39,,Defensive rebound by L. James
5:32.0,,,45-39,,G. Hill misses 2-pt shot from 8 ft (block by A. Johnson)
5:29.0,Defensive rebound by B. Simmons,,45-39,,
5:26.0,R. Covington misses 3-pt shot from 28 ft,,45-39,,
5:23.0,,,45-39,,Defensive rebound by T. Thompson
5:15.0,,,45-39,,K. Korver misses 3-pt shot from 29 ft
5:12.0,Defensive rebound by B. Simmons,,45-39,,
5:05.0,Turnover by M. Belinelli (out of bounds lost ball),,45-39,,
5:05.0,T. McConnell enters the game for M. Belinelli,,45-39,,
5:05.0,J. Redick enters the game for R. Covington,,45-39,,
4:53.0,Personal foul by B. Simmons (drawn by L. James),,45-39,,
4:43.0,,,45-42,3,L. James makes 3-pt shot from 25 ft
4:33.0,D. Saric makes 3-pt shot from 25 ft (assist by B. Simmons),3,48-42,,
4:12.0,,,48-45,3,L. James makes 3-pt shot from 26 ft
4:02.0,B. Simmons makes 2-pt shot from 4 ft,2,50-45,,
3:48.0,,,50-45,,G. Hill misses 3-pt shot from 23 ft
3:45.0,,,50-45,,Offensive rebound by T. Thompson
3:43.0,,,50-47,2,T. Thompson makes 2-pt shot from 1 ft
3:42.0,Philadelphia full timeout,,50-47,,
3:42.0,,,50-47,,R. Hood enters the game for K. Korver
3:42.0,J. Embiid enters the game for A. Johnson,,50-47,,
3:42.0,R. Covington enters the game for B. Simmons,,50-47,,
3:26.0,D. Saric misses 2-pt shot from 3 ft,,50-47,,
3:24.0,Offensive rebound by D. Saric,,50-47,,
3:24.0,D. Saric misses 2-pt shot from 1 ft (block by G. Hill),,50-47,,
3:24.0,Offensive rebound by Team,,50-47,,
3:23.0,J. Redick makes 3-pt shot from 22 ft (assist by T. McConnell),3,53-47,,
2:54.0,,,53-47,,Turnover by L. James (bad pass; steal by R. Covington)
2:49.0,J. Redick misses 3-pt shot from 25 ft,,53-47,,
2:49.0,Offensive rebound by D. Saric,,53-47,,
2:49.0,Shooting foul by C. Osman (drawn by D. Saric),,53-47,,
2:49.0,D. Saric makes free throw 1 of 2,1,54-47,,
2:49.0,D. Saric makes free throw 2 of 2,1,55-47,,
2:34.0,,,55-47,,C. Osman misses 3-pt shot from 26 ft
2:31.0,Defensive rebound by R. Covington,,55-47,,
2:11.0,J. Embiid makes 2-pt shot from 14 ft,2,57-47,,
1:41.0,,,57-47,,L. James misses 3-pt shot from 27 ft
1:41.0,,,57-47,,Offensive rebound by Team
1:41.0,Loose ball foul by D. Saric (drawn by T. Thompson),,57-47,,
1:41.0,,,57-48,1,T. Thompson makes free throw 1 of 2
1:41.0,,,57-48,,J. Green enters the game for C. Osman
1:41.0,,,57-49,1,T. Thompson makes free throw 2 of 2
1:28.0,J. Redick misses 2-pt shot at rim,,57-49,,
1:21.0,Offensive rebound by J. Embiid,,57-49,,
1:21.0,J. Embiid misses 2-pt shot at rim,,57-49,,
1:21.0,,,57-49,,Defensive rebound by L. James
1:08.0,,,57-51,2,L. James makes 2-pt shot from 1 ft
1:03.0,J. Embiid makes 2-pt shot at rim (assist by J. Redick),2,59-51,,
0:55.0,,,59-51,,G. Hill misses 3-pt shot from 25 ft
0:55.0,,,59-51,,Offensive rebound by L. James
0:48.0,,,59-51,,J. Green misses 3-pt shot from 24 ft
0:46.0,,,59-51,,Offensive rebound by G. Hill
