time,Boston,pts.away,score,pts.home,Philadelphia
2:17.0,Turnover by A. Horford (bad pass),,16-16,,
1:58.0,,,16-16,,J. Embiid misses 2-pt shot from 4 ft
1:56.0,Defensive rebound by J. Brown,,16-16,,
1:53.0,Shooting foul by M. Belinelli (drawn by J. Brown),,16-16,,
1:53.0,J. Brown makes free throw 1 of 2,1,17-16,,
1:53.0,A. Baynes enters the game for A. Horford,,17-16,,
1:53.0,J. Brown makes free throw 2 of 2,1,18-16,,
1:38.0,,,18-16,,R. Covington misses 2-pt shot from 10 ft
1:36.0,Defensive rebound by A. Baynes,,18-16,,
1:36.0,,,18-16,,Personal foul by R. Covington (drawn by A. Baynes)
1:36.0,A. Baynes misses free throw 1 of 2,,18-16,,
1:36.0,Offensive rebound by Team,,18-16,,
1:36.0,A. Baynes makes free throw 2 of 2,1,19-16,,
1:26.0,,,19-18,2,J. Redick makes 2-pt shot from 17 ft (assist by J. Embiid)
1:20.0,Boston full timeout,,19-18,,
1:20.0,T. Rozier enters the game for S. Larkin,,19-18,,
1:03.0,M. Morris misses 2-pt shot from 14 ft,,19-18,,
1:01.0,,,19-18,,Defensive rebound by T. McConnell
0:51.0,,,19-18,,J. Redick misses 3-pt shot from 25 ft
0:48.0,,,19-18,,Offensive rebound by J. Embiid
0:46.0,,,19-21,3,J. Redick makes 3-pt shot from 23 ft (assist by J. Embiid)
0:37.0,,,19-21,,Personal foul by T. McConnell (drawn by T. Rozier)
0:37.0,T. Rozier makes free throw 1 of 2,1,20-21,,
0:37.0,T. Rozier misses free throw 2 of 2,,20-21,,
0:35.0,,,20-21,,Defensive rebound by M. Belinelli
0:28.0,,,20-21,,J. Redick misses 3-pt shot from 26 ft
0:25.0,Defensive rebound by M. Smart,,20-21,,
0:05.0,M. Smart makes 2-pt shot from 11 ft,2,22-21,,
0:00.0,,,22-21,,T. McConnell misses 2-pt shot from 10 ft
0:00.0,Defensive rebound by A. Baynes,,22-21,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,,,22-21,,J. Embiid misses 2-pt shot from 10 ft
11:38.0,Defensive rebound by J. Tatum,,22-21,,
11:28.0,M. Morris misses 2-pt shot from 7 ft,,22-21,,
11:25.0,,,22-21,,Defensive rebound by J. Redick
11:18.0,,,22-21,,J. Redick misses 2-pt shot from 10 ft
11:15.0,Defensive rebound by M. Morris,,22-21,,
11:03.0,M. Smart misses 2-pt shot from 5 ft (block by D. Saric),,22-21,,
11:00.0,Offensive rebound by M. Smart,,22-21,,
11:00.0,Shooting foul by R. Covington (drawn by A. Baynes),,22-21,,
11:00.0,A. Baynes makes free throw 1 of 2,1,23-21,,
11:00.0,,,23-21,,M. Belinelli enters the game for R. Covington
11:00.0,A. Baynes makes free throw 2 of 2,1,24-21,,
10:52.0,Violation by J. Tatum (kicked ball),,24-21,,
10:43.0,Personal foul by M. Morris (drawn by J. Embiid),,24-21,,
10:29.0,,,24-23,2,D. Saric makes 2-pt shot from 8 ft
10:12.0,M. Smart makes 3-pt shot from 24 ft (assist by J. Tatum),3,27-23,,
10:00.0,,,27-23,,M. Belinelli misses 2-pt shot from 16 ft
9:56.0,Defensive rebound by A. Baynes,,27-23,,
9:45.0,M. Smart makes 2-pt shot from 17 ft,2,29-23,,
9:23.0,,,29-25,2,D. Saric makes 2-pt shot from 8 ft
9:08.0,J. Tatum misses 2-pt shot from 2 ft,,29-25,,
9:07.0,Offensive rebound by J. Tatum,,29-25,,
9:05.0,J. Tatum makes 2-pt shot from 1 ft,2,31-25,,
8:42.0,,,31-27,2,T. McConnell makes 2-pt shot from 3 ft
8:17.0,M. Morris misses 2-pt shot from 6 ft,,31-27,,
8:15.0,,,31-27,,Defensive rebound by T. McConnell
8:10.0,,,31-27,,J. Redick misses 3-pt shot from 27 ft
8:07.0,Defensive rebound by A. Baynes,,31-27,,
7:47.0,M. Smart misses 2-pt shot from 9 ft,,31-27,,
7:44.0,,,31-27,,Defensive rebound by J. Embiid
7:43.0,Personal foul by M. Smart (drawn by J. Embiid),,31-27,,
7:43.0,,,31-27,,B. Simmons enters the game for T. McConnell
7:43.0,,,31-27,,E. Ilyasova enters the game for J. Embiid
7:43.0,T. Rozier enters the game for M. Morris,,31-27,,
7:43.0,J. Brown enters the game for M. Smart,,31-27,,
7:43.0,A. Horford enters the game for A. Baynes,,31-27,,
7:31.0,Personal foul by J. Brown (drawn by D. Saric),,31-27,,
7:22.0,,,31-27,,B. Simmons misses 2-pt shot from 5 ft
7:21.0,,,31-27,,Offensive rebound by E. Ilyasova
7:19.0,,,31-27,,E. Ilyasova misses 2-pt shot from 2 ft
7:17.0,Defensive rebound by T. Rozier,,31-27,,
7:14.0,T. Rozier makes 2-pt shot from 16 ft,2,33-27,,
7:05.0,,,33-27,,B. Simmons misses 2-pt shot from 6 ft
7:02.0,Defensive rebound by A. Horford,,33-27,,
7:01.0,Offensive foul by J. Tatum (drawn by J. Redick),,33-27,,
7:01.0,Turnover by J. Tatum (offensive foul),,33-27,,
7:01.0,,,33-27,,T. McConnell enters the game for J. Redick
6:51.0,,,33-27,,M. Belinelli misses 3-pt shot from 26 ft
6:48.0,Defensive rebound by J. Brown,,33-27,,
6:40.0,Turnover by J. Brown (traveling),,33-27,,
6:40.0,,,33-27,,Philadelphia full timeout
6:40.0,M. Morris enters the game for J. Tatum,,33-27,,
6:27.0,,,33-29,2,M. Belinelli makes 2-pt shot from 2 ft (assist by D. Saric)
6:11.0,Turnover by M. Morris (bad pass; steal by M. Belinelli),,33-29,,
5:56.0,Personal foul by S. Ojeleye (drawn by M. Belinelli),,33-29,,
5:41.0,,,33-31,2,B. Simmons makes 2-pt shot from 3 ft
5:20.0,T. Rozier misses 2-pt shot from 6 ft,,33-31,,
5:19.0,,,33-31,,Defensive rebound by B. Simmons
5:15.0,Personal block foul by S. Ojeleye (drawn by E. Ilyasova),,33-31,,
5:15.0,,,33-31,,E. Ilyasova misses free throw 1 of 2
5:15.0,,,33-31,,Offensive rebound by Team
5:15.0,,,33-32,1,E. Ilyasova makes free throw 2 of 2
4:55.0,A. Horford makes 2-pt shot from 9 ft,2,35-32,,
4:40.0,,,35-32,,E. Ilyasova misses 3-pt shot from 25 ft
4:37.0,Defensive rebound by T. Rozier,,35-32,,
4:30.0,M. Morris makes 3-pt shot from 26 ft (assist by T. Rozier),3,38-32,,
4:21.0,,,38-34,2,D. Saric makes 2-pt shot from 7 ft (assist by B. Simmons)
4:21.0,,,38-34,,Shooting foul by M. Morris (drawn by D. Saric)
4:21.0,,,38-34,,J. Redick enters the game for M. Belinelli
4:21.0,,,38-34,,J. Embiid enters the game for E. Ilyasova
4:21.0,A. Baynes enters the game for J. Brown,,38-34,,
4:21.0,,,38-35,1,D. Saric makes free throw 1 of 1
4:00.0,M. Morris misses 2-pt shot from 12 ft,,38-35,,
3:56.0,Offensive rebound by A. Horford,,38-35,,
3:56.0,Turnover by A. Horford (step out of bounds),,38-35,,
3:56.0,,,38-35,,E. Ilyasova enters the game for D. Saric
3:50.0,Personal foul by M. Morris (drawn by J. Redick),,38-35,,
3:50.0,,,38-35,,J. Redick misses free throw 1 of 2
3:50.0,,,38-35,,Offensive rebound by Team
3:50.0,,,38-35,,J. Redick misses free throw 2 of 2
3:47.0,Defensive rebound by A. Horford,,38-35,,
3:28.0,A. Baynes misses 2-pt shot from 17 ft,,38-35,,
3:24.0,,,38-35,,Defensive rebound by T. McConnell
3:17.0,,,38-35,,T. McConnell misses 2-pt shot from 5 ft
3:12.0,,,38-35,,Offensive rebound by T. McConnell
3:11.0,,,38-37,2,T. McConnell makes 2-pt shot from 3 ft
2:59.0,A. Baynes misses 3-pt shot from 23 ft,,38-37,,
2:56.0,,,38-37,,Defensive rebound by J. Embiid
2:51.0,Personal block foul by A. Baynes (drawn by J. Embiid),,38-37,,
2:51.0,Boston full timeout,,38-37,,
2:51.0,,,38-37,,M. Belinelli enters the game for T. McConnell
2:51.0,J. Brown enters the game for S. Ojeleye,,38-37,,
2:51.0,M. Smart enters the game for A. Baynes,,38-37,,
2:51.0,,,38-37,,J. Embiid misses free throw 1 of 2
2:51.0,,,38-37,,Offensive rebound by Team
2:51.0,,,38-38,1,J. Embiid makes free throw 2 of 2
2:40.0,Turnover by M. Smart (lost ball; steal by B. Simmons),,38-38,,
2:40.0,Loose ball foul by M. Smart (drawn by B. Simmons),,38-38,,
2:40.0,,,38-39,1,B. Simmons makes free throw 1 of 2
2:40.0,J. Tatum enters the game for M. Smart,,38-39,,
2:40.0,,,38-40,1,B. Simmons makes free throw 2 of 2
2:27.0,Offensive foul by T. Rozier (drawn by J. Redick),,38-40,,
2:27.0,Turnover by T. Rozier (offensive foul),,38-40,,
2:18.0,,,38-43,3,J. Embiid makes 3-pt shot from 25 ft (assist by B. Simmons)
1:53.0,T. Rozier makes 3-pt shot from 26 ft (assist by J. Brown),3,41-43,,
1:40.0,Personal foul by J. Brown (drawn by M. Belinelli),,41-43,,
1:40.0,,,41-44,1,M. Belinelli makes free throw 1 of 2
1:40.0,,,41-45,1,M. Belinelli makes free throw 2 of 2
1:25.0,J. Tatum misses 2-pt shot from 5 ft,,41-45,,
1:23.0,,,41-45,,Defensive rebound by E. Ilyasova
1:20.0,,,41-45,,J. Redick misses 3-pt shot from 23 ft
1:17.0,,,41-45,,Offensive rebound by Team
1:17.0,,,41-45,,D. Saric enters the game for E. Ilyasova
1:04.0,,,41-45,,M. Belinelli misses 2-pt shot from 21 ft
1:00.0,Defensive rebound by A. Horford,,41-45,,
0:48.0,Turnover by A. Horford (bad pass),,41-45,,
0:35.0,,,41-45,,J. Embiid misses 2-pt shot from 10 ft (block by A. Horford)
0:31.0,,,41-45,,Offensive rebound by J. Embiid
0:28.0,,,41-45,,J. Embiid misses 2-pt shot from 13 ft
0:26.0,Defensive rebound by A. Horford,,41-45,,
0:17.0,T. Rozier makes 2-pt shot from 1 ft,2,43-45,,
0:01.0,,,43-47,2,J. Embiid makes 2-pt shot at rim (assist by J. Redick)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,,,43-47,,J. Embiid misses 2-pt shot from 12 ft
11:43.0,Defensive rebound by A. Baynes,,43-47,,
11:30.0,Turnover by M. Smart (bad pass; steal by J. Redick),,43-47,,
11:25.0,,,43-47,,Turnover by B. Simmons (bad pass; steal by A. Horford)
11:06.0,M. Smart misses 3-pt shot from 26 ft,,43-47,,
11:03.0,,,43-47,,Defensive rebound by T. McConnell
10:55.0,,,43-49,2,B. Simmons makes 2-pt shot from 1 ft (assist by T. McConnell)
10:37.0,J. Tatum makes 2-pt shot from 2 ft,2,45-49,,
10:15.0,,,45-51,2,T. McConnell makes 2-pt shot from 10 ft (assist by D. Saric)
9:52.0,Turnover by J. Tatum (lost ball; steal by B. Simmons),,45-51,,
9:45.0,,,45-53,2,D. Saric makes 2-pt shot from 13 ft (assist by T. McConnell)
9:24.0,J. Tatum makes 2-pt shot from 2 ft,2,47-53,,
9:03.0,,,47-53,,B. Simmons misses 2-pt shot at rim (block by A. Horford)
9:00.0,,,47-53,,Offensive rebound by B. Simmons
8:57.0,,,47-55,2,B. Simmons makes 2-pt shot at rim (assist by T. McConnell)
8:36.0,A. Baynes makes 3-pt shot from 22 ft (assist by A. Horford),3,50-55,,
8:20.0,,,50-55,,D. Saric misses 2-pt shot from 14 ft (block by J. Tatum)
8:18.0,Defensive rebound by A. Horford,,50-55,,
8:15.0,T. Rozier misses 3-pt shot from 26 ft,,50-55,,
8:13.0,,,50-55,,Defensive rebound by T. McConnell
8:08.0,,,50-57,2,T. McConnell makes 2-pt shot from 1 ft
7:55.0,,,50-57,,Personal foul by B. Simmons (drawn by J. Tatum)
7:55.0,J. Brown enters the game for T. Rozier,,50-57,,
7:55.0,,,50-57,,Personal foul by J. Embiid (drawn by M. Smart)
7:46.0,A. Horford makes 2-pt shot from 5 ft,2,52-57,,
7:40.0,Personal foul by A. Baynes (drawn by J. Embiid),,52-57,,
7:28.0,,,52-59,2,B. Simmons makes 2-pt shot from 1 ft (assist by D. Saric)
7:09.0,J. Tatum makes 2-pt shot from 20 ft (assist by M. Smart),2,54-59,,
7:01.0,,,54-62,3,D. Saric makes 3-pt shot from 25 ft (assist by T. McConnell)
6:40.0,A. Baynes misses 3-pt shot from 22 ft,,54-62,,
6:37.0,,,54-62,,Defensive rebound by B. Simmons
6:29.0,,,54-62,,B. Simmons misses 2-pt shot from 7 ft (block by A. Horford)
6:25.0,Defensive rebound by A. Baynes,,54-62,,
6:21.0,J. Brown misses 2-pt shot from 3 ft,,54-62,,
6:19.0,,,54-62,,Defensive rebound by D. Saric
6:15.0,,,54-62,,Philadelphia full timeout
6:15.0,,,54-62,,E. Ilyasova enters the game for J. Redick
6:15.0,,,54-62,,M. Belinelli enters the game for J. Embiid
6:15.0,M. Morris enters the game for A. Baynes,,54-62,,
6:15.0,T. Rozier enters the game for M. Smart,,54-62,,
5:58.0,,,54-62,,B. Simmons misses 2-pt shot from 15 ft
5:57.0,Defensive rebound by Team,,54-62,,
5:57.0,,,54-62,,Loose ball foul by E. Ilyasova (drawn by T. Rozier)
5:44.0,J. Brown misses 3-pt shot from 26 ft,,54-62,,
5:42.0,,,54-62,,Defensive rebound by D. Saric
5:27.0,,,54-62,,Shooting foul by A. Horford (drawn by D. Saric)
5:27.0,,,54-63,1,D. Saric makes free throw 1 of 2
5:27.0,,,54-64,1,D. Saric makes free throw 2 of 2
5:17.0,M. Morris misses 3-pt shot from 27 ft,,54-64,,
5:12.0,,,54-64,,Defensive rebound by E. Ilyasova
5:09.0,,,54-64,,D. Saric misses 2-pt shot from 1 ft (block by M. Morris)
5:06.0,Defensive rebound by J. Tatum,,54-64,,
5:02.0,J. Tatum misses 2-pt shot from 8 ft (block by E. Ilyasova),,54-64,,
5:01.0,Offensive rebound by M. Morris,,54-64,,
5:01.0,,,54-64,,Personal foul by M. Belinelli (drawn by M. Morris)
4:46.0,M. Morris makes 3-pt shot from 27 ft (assist by A. Horford),3,57-64,,
4:36.0,Personal foul by J. Brown (drawn by D. Saric),,57-64,,
4:36.0,,,57-64,,R. Covington enters the game for B. Simmons
4:27.0,,,57-66,2,E. Ilyasova makes 2-pt shot from 1 ft (assist by R. Covington)
4:07.0,J. Brown makes 3-pt shot from 27 ft (assist by J. Tatum),3,60-66,,
3:42.0,,,60-66,,D. Saric misses 2-pt shot from 15 ft
3:40.0,Defensive rebound by T. Rozier,,60-66,,
3:34.0,T. Rozier makes 2-pt shot from 2 ft,2,62-66,,
3:19.0,,,62-68,2,E. Ilyasova makes 2-pt shot from 1 ft (assist by R. Covington)
3:19.0,,,62-68,,Shooting foul by J. Brown (drawn by E. Ilyasova)
3:19.0,,,62-68,,J. Embiid enters the game for D. Saric
3:19.0,,,62-69,1,E. Ilyasova makes free throw 1 of 1
3:18.0,Technical foul by J. Brown,,62-69,,
3:18.0,,,62-70,1,M. Belinelli makes technical free throw
3:18.0,,,62-71,1,M. Belinelli makes technical free throw
2:56.0,M. Morris misses 2-pt shot from 1 ft,,62-71,,
2:53.0,,,62-71,,Defensive rebound by R. Covington
2:50.0,,,62-71,,R. Covington misses 3-pt shot from 27 ft
2:46.0,,,62-71,,Offensive rebound by E. Ilyasova
2:45.0,,,62-71,,E. Ilyasova misses 2-pt shot at rim
2:42.0,,,62-71,,Offensive rebound by J. Embiid
2:41.0,,,62-73,2,J. Embiid makes 2-pt shot at rim
2:36.0,Boston full timeout,,62-73,,
2:36.0,G. Monroe enters the game for J. Brown,,62-73,,
2:36.0,M. Smart enters the game for A. Horford,,62-73,,
2:23.0,M. Smart misses 2-pt shot from 22 ft,,62-73,,
2:19.0,,,62-73,,Defensive rebound by J. Embiid
2:05.0,,,62-76,3,T. McConnell makes 3-pt shot from 25 ft (assist by M. Belinelli)
1:55.0,Turnover by J. Tatum (bad pass; steal by R. Covington),,62-76,,
1:51.0,,,62-76,,R. Covington misses 2-pt shot at rim
1:47.0,,,62-76,,Offensive rebound by T. McConnell
1:46.0,,,62-76,,T. McConnell misses 2-pt shot at rim
1:44.0,,,62-76,,Offensive rebound by R. Covington
1:43.0,,,62-76,,M. Belinelli misses 3-pt shot from 24 ft
1:41.0,Defensive rebound by T. Rozier,,62-76,,
1:36.0,M. Smart misses 2-pt shot from 3 ft (block by R. Covington),,62-76,,
1:36.0,Offensive rebound by Team,,62-76,,
1:30.0,J. Tatum makes 2-pt shot from 14 ft,2,64-76,,
1:11.0,,,64-76,,M. Belinelli misses 2-pt shot from 8 ft (block by M. Smart)
1:08.0,,,64-76,,Offensive rebound by R. Covington
1:05.0,,,64-76,,J. Embiid misses 3-pt shot from 28 ft
1:03.0,Defensive rebound by M. Smart,,64-76,,
0:52.0,J. Tatum misses 2-pt shot from 15 ft,,64-76,,
0:52.0,Offensive rebound by G. Monroe,,64-76,,
0:43.0,Turnover by G. Monroe (out of bounds lost ball),,64-76,,
0:34.0,,,64-76,,M. Belinelli misses 2-pt shot from 18 ft
0:31.0,Defensive rebound by T. Rozier,,64-76,,
0:28.0,Shooting foul by T. McConnell (drawn by T. Rozier),,64-76,,
0:28.0,T. Rozier misses free throw 1 of 2,,64-76,,
0:28.0,Offensive rebound by Team,,64-76,,
0:28.0,T. Rozier makes free throw 2 of 2,1,65-76,,
0:05.0,,,65-76,,J. Embiid misses 2-pt shot from 8 ft (block by G. Monroe)
0:05.0,,,65-76,,Offensive rebound by E. Ilyasova
0:04.0,,,65-76,,E. Ilyasova misses 2-pt shot from 15 ft (block by M. Morris)
0:04.0,,,65-76,,Offensive rebound by Team
0:04.0,,,65-76,,Turnover by Team (shot clock)
0:01.0,T. Rozier misses 3-pt shot from 31 ft,,65-76,,
0:01.0,Offensive rebound by Team,,65-76,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,G. Monroe misses 2-pt shot from 15 ft,,65-76,,
11:43.0,,,65-76,,Defensive rebound by R. Covington
11:28.0,,,65-76,,Turnover by J. Embiid (out of bounds lost ball)
11:24.0,,,65-76,,Shooting block foul by J. Redick (drawn by M. Smart)
11:24.0,M. Smart makes free throw 1 of 2,1,66-76,,
11:24.0,M. Smart misses free throw 2 of 2,,66-76,,
11:22.0,,,66-76,,Defensive rebound by J. Embiid
11:14.0,,,66-78,2,D. Saric makes 2-pt shot at rim
11:14.0,,,66-78,,Shooting foul by M. Morris (drawn by D. Saric)
11:14.0,,,66-79,1,D. Saric makes free throw 1 of 1
11:05.0,Turnover by G. Monroe (bad pass),,66-79,,
10:51.0,,,66-82,3,R. Covington makes 3-pt shot from 26 ft (assist by J. Redick)
10:33.0,M. Morris makes 2-pt shot from 15 ft,2,68-82,,
10:10.0,Personal foul by G. Monroe (drawn by J. Embiid),,68-82,,
10:02.0,,,68-84,2,T. McConnell makes 2-pt shot at rim
9:44.0,,,68-84,,Personal foul by J. Redick (drawn by J. Brown)
9:40.0,Offensive foul by M. Smart (drawn by J. Redick),,68-84,,
9:40.0,Turnover by M. Smart (offensive foul),,68-84,,
9:31.0,,,68-84,,J. Redick misses 3-pt shot from 23 ft
9:27.0,Defensive rebound by T. Rozier,,68-84,,
9:23.0,J. Brown misses 3-pt shot from 29 ft,,68-84,,
9:19.0,,,68-84,,Defensive rebound by J. Embiid
9:14.0,,,68-84,,R. Covington misses 3-pt shot from 27 ft
9:10.0,,,68-84,,Offensive rebound by J. Embiid
9:02.0,,,68-86,2,T. McConnell makes 2-pt shot from 1 ft
8:52.0,M. Morris makes 3-pt shot from 27 ft (assist by T. Rozier),3,71-86,,
8:33.0,,,71-86,,Turnover by R. Covington (bad pass; steal by M. Smart)
8:33.0,,,71-86,,Personal foul by T. McConnell (drawn by M. Smart)
8:33.0,,,71-86,,B. Simmons enters the game for T. McConnell
8:33.0,,,71-86,,M. Belinelli enters the game for J. Redick
8:33.0,J. Tatum enters the game for M. Smart,,71-86,,
8:33.0,A. Horford enters the game for G. Monroe,,71-86,,
8:25.0,Shooting foul by D. Saric (drawn by J. Tatum),,71-86,,
8:25.0,J. Tatum makes free throw 1 of 2,1,72-86,,
8:25.0,J. Tatum makes free throw 2 of 2,1,73-86,,
8:10.0,,,73-88,2,D. Saric makes 2-pt shot from 1 ft
7:55.0,Shooting foul by B. Simmons (drawn by M. Morris),,73-88,,
7:55.0,M. Morris misses free throw 1 of 2,,73-88,,
7:55.0,Offensive rebound by Team,,73-88,,
7:55.0,,,73-88,,E. Ilyasova enters the game for J. Embiid
7:55.0,M. Morris makes free throw 2 of 2,1,74-88,,
7:43.0,,,74-88,,D. Saric misses 3-pt shot from 25 ft
7:38.0,Defensive rebound by J. Brown,,74-88,,
7:33.0,M. Morris makes 2-pt shot from 1 ft (assist by J. Tatum),2,76-88,,
7:32.0,,,76-88,,Philadelphia full timeout
7:20.0,,,76-90,2,D. Saric makes 2-pt shot from 18 ft (assist by E. Ilyasova)
7:02.0,A. Horford makes 2-pt shot from 1 ft (assist by M. Morris),2,78-90,,
6:39.0,,,78-90,,M. Belinelli misses 2-pt shot at rim
6:39.0,,,78-90,,Offensive rebound by Team
6:39.0,M. Smart enters the game for J. Brown,,78-90,,
6:34.0,,,78-90,,B. Simmons misses 2-pt shot from 14 ft
6:31.0,Defensive rebound by T. Rozier,,78-90,,
