time,New York,pts.away,score,pts.home,Dallas
7:07.0,Defensive rebound by E. Kanter,,12-6,,
6:56.0,Turnover by K. Porzingis (lost ball; steal by W. Matthews),,12-6,,
6:42.0,,,12-6,,W. Matthews misses 2-pt shot from 3 ft
6:42.0,,,12-6,,Offensive rebound by S. Mejri
6:42.0,,,12-8,2,S. Mejri makes 2-pt shot from 2 ft
6:42.0,,,12-8,,Shooting foul by J. Jack (drawn by S. Mejri)
6:42.0,,,12-8,,Y. Ferrell enters the game for D. Smith
6:42.0,,,12-9,1,S. Mejri makes free throw 1 of 1
6:26.0,K. Porzingis makes 2-pt shot from 13 ft (assist by J. Jack),2,14-9,,
6:12.0,,,14-11,2,H. Barnes makes 2-pt shot from 21 ft (assist by W. Matthews)
5:54.0,E. Kanter makes 2-pt shot from 6 ft,2,16-11,,
5:34.0,,,16-11,,H. Barnes misses 2-pt shot from 10 ft
5:31.0,Defensive rebound by K. Porzingis,,16-11,,
5:25.0,J. Jack misses 2-pt shot from 6 ft,,16-11,,
5:22.0,,,16-11,,Defensive rebound by S. Mejri
5:07.0,,,16-11,,Y. Ferrell misses 2-pt shot from 3 ft
5:05.0,Defensive rebound by L. Thomas,,16-11,,
4:55.0,J. Jack makes 2-pt shot from 8 ft,2,18-11,,
4:55.0,Shooting foul by Y. Ferrell (drawn by J. Jack),,18-11,,
4:55.0,,,18-11,,J. Barea enters the game for M. Kleber
4:55.0,,,18-11,,D. Harris enters the game for Y. Ferrell
4:55.0,D. McDermott enters the game for L. Thomas,,18-11,,
4:55.0,J. Jack makes free throw 1 of 1,1,19-11,,
4:44.0,,,19-11,,S. Mejri misses 2-pt shot from 2 ft
4:44.0,Defensive rebound by J. Jack,,19-11,,
4:37.0,D. McDermott makes 3-pt shot from 23 ft (assist by J. Jack),3,22-11,,
4:25.0,,,22-11,,J. Barea misses 2-pt shot from 8 ft
4:23.0,,,22-11,,Offensive rebound by S. Mejri
4:15.0,,,22-13,2,H. Barnes makes 2-pt shot from 3 ft (assist by J. Barea)
3:52.0,K. Porzingis misses 2-pt shot from 15 ft,,22-13,,
3:50.0,Offensive rebound by E. Kanter,,22-13,,
3:48.0,E. Kanter misses 2-pt shot at rim,,22-13,,
3:48.0,,,22-13,,Defensive rebound by H. Barnes
3:45.0,,,22-15,2,W. Matthews makes 2-pt shot from 14 ft (assist by J. Barea)
3:45.0,Shooting block foul by D. McDermott (drawn by W. Matthews),,22-15,,
3:45.0,F. Ntilikina enters the game for J. Jack,,22-15,,
3:45.0,,,22-15,,W. Matthews misses free throw 1 of 1
3:43.0,Defensive rebound by D. McDermott,,22-15,,
3:24.0,E. Kanter makes 2-pt shot from 1 ft,2,24-15,,
3:07.0,,,24-17,2,S. Mejri makes 2-pt shot from 1 ft (assist by H. Barnes)
3:00.0,New York full timeout,,24-17,,
3:00.0,,,24-17,,D. Powell enters the game for H. Barnes
3:00.0,,,24-17,,D. Nowitzki enters the game for S. Mejri
3:00.0,L. Thomas enters the game for K. Porzingis,,24-17,,
2:46.0,L. Thomas makes 2-pt shot from 11 ft (assist by D. McDermott),2,26-17,,
2:31.0,,,26-19,2,W. Matthews makes 2-pt shot from 5 ft (assist by D. Nowitzki)
2:16.0,Turnover by E. Kanter (bad pass),,26-19,,
2:16.0,K. Porzingis enters the game for E. Kanter,,26-19,,
2:16.0,K. O'Quinn enters the game for L. Thomas,,26-19,,
2:04.0,,,26-19,,Shooting foul by F. Ntilikina (drawn by J. Barea)
2:04.0,,,26-20,1,J. Barea makes free throw 1 of 2
2:04.0,,,26-20,,Y. Ferrell enters the game for W. Matthews
2:04.0,,,26-21,1,J. Barea makes free throw 2 of 2
1:55.0,K. Porzingis makes 3-pt shot from 25 ft (assist by C. Lee),3,29-21,,
1:45.0,Personal foul by F. Ntilikina (drawn by D. Nowitzki),,29-21,,
1:45.0,,,29-22,1,D. Nowitzki makes free throw 1 of 2
1:45.0,R. Baker enters the game for C. Lee,,29-22,,
1:45.0,,,29-23,1,D. Nowitzki makes free throw 2 of 2
1:31.0,,,29-23,,Violation by D. Nowitzki (kicked ball)
1:26.0,Turnover by D. McDermott (lost ball; steal by J. Barea),,29-23,,
1:22.0,,,29-25,2,J. Barea makes 2-pt shot from 2 ft (assist by D. Harris)
1:08.0,K. Porzingis makes 2-pt shot from 17 ft (assist by R. Baker),2,31-25,,
0:56.0,,,31-25,,J. Barea misses 2-pt shot from 9 ft
0:54.0,Defensive rebound by K. O'Quinn,,31-25,,
0:46.0,K. Porzingis makes 2-pt shot from 16 ft (assist by F. Ntilikina),2,33-25,,
0:31.0,,,33-25,,Turnover by D. Harris (bad pass; steal by F. Ntilikina)
0:11.0,K. O'Quinn misses 2-pt shot from 11 ft,,33-25,,
0:09.0,,,33-25,,Defensive rebound by D. Powell
0:01.0,,,33-25,,Y. Ferrell misses 3-pt shot from 22 ft
0:01.0,Defensive rebound by K. O'Quinn,,33-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,Personal foul by D. McDermott (drawn by D. Harris),,33-25,,
11:48.0,,,33-25,,Offensive foul by D. Nowitzki (drawn by K. Porzingis)
11:48.0,,,33-25,,Turnover by D. Nowitzki (offensive foul)
11:31.0,F. Ntilikina misses 2-pt shot from 15 ft,,33-25,,
11:28.0,,,33-25,,Defensive rebound by D. Nowitzki
11:20.0,,,33-25,,D. Harris misses 3-pt shot from 27 ft
11:17.0,Defensive rebound by F. Ntilikina,,33-25,,
11:12.0,K. Porzingis misses 3-pt shot from 27 ft,,33-25,,
11:09.0,,,33-25,,Defensive rebound by D. Nowitzki
11:01.0,,,33-25,,Y. Ferrell misses 2-pt shot from 2 ft
10:59.0,Defensive rebound by D. McDermott,,33-25,,
10:48.0,K. Porzingis misses 2-pt shot from 14 ft,,33-25,,
10:44.0,,,33-25,,Defensive rebound by D. Harris
10:31.0,,,33-27,2,D. Harris makes 2-pt shot at rim (assist by J. Barea)
10:15.0,Shooting foul by D. Nowitzki (drawn by K. O'Quinn),,33-27,,
10:15.0,K. O'Quinn makes free throw 1 of 2,1,34-27,,
10:15.0,K. O'Quinn makes free throw 2 of 2,1,35-27,,
10:00.0,,,35-27,,J. Barea misses 3-pt shot from 25 ft
9:58.0,,,35-27,,Offensive rebound by D. Nowitzki
9:56.0,,,35-29,2,D. Nowitzki makes 2-pt shot from 3 ft
9:48.0,,,35-29,,Personal foul by J. Barea (drawn by F. Ntilikina)
9:42.0,K. O'Quinn makes 2-pt shot from 21 ft,2,37-29,,
9:15.0,,,37-29,,D. Harris misses 3-pt shot from 23 ft
9:13.0,Defensive rebound by F. Ntilikina,,37-29,,
9:07.0,,,37-29,,Personal block foul by D. Harris (drawn by K. Porzingis)
9:07.0,,,37-29,,D. Smith enters the game for Y. Ferrell
9:07.0,W. Hernangomez enters the game for K. Porzingis,,37-29,,
9:02.0,D. McDermott misses 3-pt shot from 28 ft,,37-29,,
8:59.0,,,37-29,,Defensive rebound by D. Nowitzki
8:48.0,,,37-29,,D. Harris misses 2-pt shot from 2 ft
8:46.0,Defensive rebound by K. O'Quinn,,37-29,,
8:43.0,Offensive foul by W. Hernangomez (drawn by D. Nowitzki),,37-29,,
8:43.0,Turnover by W. Hernangomez (offensive foul),,37-29,,
8:28.0,,,37-31,2,J. Barea makes 2-pt shot from 8 ft
8:28.0,,,37-31,,Shooting foul by K. O'Quinn (drawn by J. Barea)
8:28.0,,,37-32,1,J. Barea makes free throw 1 of 1
8:15.0,D. McDermott makes 2-pt shot from 2 ft (assist by K. O'Quinn),2,39-32,,
8:04.0,,,39-32,,Shooting foul by K. O'Quinn (drawn by D. Powell)
8:04.0,,,39-32,,D. Powell misses free throw 1 of 2
8:04.0,,,39-32,,Offensive rebound by Team
8:04.0,,,39-32,,W. Matthews enters the game for D. Harris
8:04.0,,,39-32,,D. Powell misses free throw 2 of 2
8:01.0,Defensive rebound by W. Hernangomez,,39-32,,
7:46.0,Turnover by K. O'Quinn (bad pass; steal by W. Matthews),,39-32,,
7:41.0,,,39-32,,W. Matthews misses 2-pt shot at rim
7:40.0,,,39-32,,Offensive rebound by D. Smith
7:37.0,,,39-34,2,D. Smith makes 2-pt shot at rim
7:19.0,K. O'Quinn makes 2-pt shot at rim (assist by F. Ntilikina),2,41-34,,
7:03.0,,,41-36,2,D. Powell makes 2-pt shot from 4 ft (assist by D. Smith)
6:43.0,K. O'Quinn makes 2-pt shot from 3 ft (assist by F. Ntilikina),2,43-36,,
6:42.0,,,43-36,,Dallas full timeout
6:42.0,,,43-36,,H. Barnes enters the game for D. Powell
6:42.0,,,43-36,,S. Mejri enters the game for D. Nowitzki
6:42.0,C. Lee enters the game for K. O'Quinn,,43-36,,
6:42.0,E. Kanter enters the game for R. Baker,,43-36,,
6:26.0,,,43-36,,D. Smith misses 2-pt shot from 19 ft
6:23.0,Defensive rebound by E. Kanter,,43-36,,
6:09.0,W. Hernangomez makes 2-pt shot from 7 ft (assist by C. Lee),2,45-36,,
5:52.0,,,45-38,2,H. Barnes makes 2-pt shot at rim
5:31.0,F. Ntilikina makes 3-pt shot from 24 ft (assist by E. Kanter),3,48-38,,
5:18.0,Shooting block foul by D. McDermott (drawn by W. Matthews),,48-38,,
5:18.0,,,48-39,1,W. Matthews makes free throw 1 of 3
5:18.0,,,48-40,1,W. Matthews makes free throw 2 of 3
5:18.0,J. Jack enters the game for D. McDermott,,48-40,,
5:18.0,,,48-41,1,W. Matthews makes free throw 3 of 3
5:05.0,Turnover by F. Ntilikina (bad pass; steal by D. Smith),,48-41,,
4:52.0,,,48-41,,H. Barnes misses 2-pt shot from 4 ft (block by J. Jack)
4:48.0,Defensive rebound by J. Jack,,48-41,,
4:46.0,C. Lee misses 3-pt shot from 24 ft,,48-41,,
4:43.0,,,48-41,,Defensive rebound by H. Barnes
4:40.0,,,48-41,,J. Barea misses 2-pt shot from 3 ft (block by F. Ntilikina)
4:40.0,Defensive rebound by F. Ntilikina,,48-41,,
4:33.0,Offensive foul by E. Kanter (drawn by S. Mejri),,48-41,,
4:33.0,Turnover by E. Kanter (offensive foul),,48-41,,
4:33.0,K. Porzingis enters the game for W. Hernangomez,,48-41,,
4:13.0,,,48-41,,D. Smith misses 2-pt shot from 19 ft
4:10.0,Defensive rebound by K. Porzingis,,48-41,,
4:00.0,K. Porzingis misses 2-pt shot from 12 ft,,48-41,,
3:55.0,,,48-41,,Defensive rebound by D. Smith
3:49.0,,,48-41,,J. Barea misses 3-pt shot from 25 ft
3:44.0,,,48-41,,Offensive rebound by H. Barnes
3:43.0,,,48-41,,H. Barnes misses 2-pt shot from 4 ft
3:43.0,,,48-41,,Offensive rebound by H. Barnes
3:31.0,,,48-41,,H. Barnes misses 2-pt shot from 1 ft (block by K. Porzingis)
3:28.0,Defensive rebound by E. Kanter,,48-41,,
3:23.0,K. Porzingis misses 2-pt shot from 1 ft,,48-41,,
3:21.0,,,48-41,,Defensive rebound by S. Mejri
3:13.0,,,48-41,,H. Barnes misses 2-pt shot from 18 ft
3:10.0,Defensive rebound by C. Lee,,48-41,,
3:05.0,New York full timeout,,48-41,,
3:05.0,,,48-41,,Y. Ferrell enters the game for J. Barea
3:05.0,L. Thomas enters the game for F. Ntilikina,,48-41,,
2:51.0,E. Kanter misses 2-pt shot from 5 ft,,48-41,,
2:50.0,Offensive rebound by E. Kanter,,48-41,,
2:49.0,E. Kanter misses 2-pt shot from 2 ft,,48-41,,
2:48.0,Offensive rebound by E. Kanter,,48-41,,
2:48.0,E. Kanter misses 2-pt shot from 2 ft,,48-41,,
2:47.0,Offensive rebound by E. Kanter,,48-41,,
2:46.0,E. Kanter misses 2-pt shot from 1 ft,,48-41,,
2:45.0,Offensive rebound by E. Kanter,,48-41,,
2:43.0,E. Kanter misses 2-pt shot at rim,,48-41,,
2:42.0,,,48-41,,Defensive rebound by Y. Ferrell
2:28.0,,,48-43,2,Y. Ferrell makes 2-pt shot from 21 ft
2:13.0,C. Lee makes 2-pt shot from 18 ft,2,50-43,,
1:51.0,,,50-43,,Shooting foul by J. Jack (drawn by H. Barnes)
1:51.0,,,50-44,1,H. Barnes makes free throw 1 of 2
1:51.0,,,50-45,1,H. Barnes makes free throw 2 of 2
1:37.0,Shooting foul by H. Barnes (drawn by K. Porzingis),,50-45,,
1:37.0,K. Porzingis makes free throw 1 of 2,1,51-45,,
1:37.0,K. Porzingis makes free throw 2 of 2,1,52-45,,
1:23.0,,,52-47,2,H. Barnes makes 2-pt shot from 22 ft (assist by D. Smith)
1:09.0,C. Lee misses 2-pt shot from 15 ft,,52-47,,
1:07.0,,,52-47,,Defensive rebound by S. Mejri
0:54.0,,,52-47,,D. Smith misses 3-pt shot from 25 ft
0:52.0,Defensive rebound by E. Kanter,,52-47,,
0:45.0,J. Jack makes 2-pt shot from 8 ft,2,54-47,,
0:33.0,,,54-49,2,S. Mejri makes 2-pt shot at rim (assist by D. Smith)
0:13.0,E. Kanter makes 2-pt shot from 3 ft,2,56-49,,
0:00.0,,,56-52,3,D. Smith makes 3-pt shot from 25 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,,,56-52,,D. Smith misses 2-pt shot from 2 ft
11:46.0,,,56-52,,Offensive rebound by M. Kleber
11:45.0,,,56-52,,M. Kleber misses 2-pt shot from 6 ft
11:43.0,Defensive rebound by C. Lee,,56-52,,
11:39.0,K. Porzingis makes 3-pt shot from 25 ft (assist by J. Jack),3,59-52,,
11:26.0,Def 3 sec tech foul by E. Kanter,,59-52,,
11:26.0,,,59-53,1,D. Nowitzki makes technical free throw
11:20.0,,,59-53,,D. Nowitzki misses 3-pt shot from 24 ft
11:20.0,Defensive rebound by J. Jack,,59-53,,
11:10.0,Turnover by J. Jack (lost ball; steal by D. Smith),,59-53,,
11:06.0,,,59-55,2,D. Smith makes 2-pt shot from 2 ft
10:52.0,K. Porzingis misses 2-pt shot from 13 ft,,59-55,,
10:48.0,,,59-55,,Defensive rebound by D. Nowitzki
10:38.0,,,59-55,,D. Smith misses 2-pt shot from 11 ft
10:35.0,Defensive rebound by E. Kanter,,59-55,,
10:28.0,C. Lee misses 3-pt shot from 23 ft,,59-55,,
10:24.0,,,59-55,,Defensive rebound by H. Barnes
10:19.0,,,59-55,,M. Kleber misses 3-pt shot from 23 ft
10:17.0,Defensive rebound by K. Porzingis,,59-55,,
9:54.0,K. Porzingis makes 2-pt shot from 13 ft,2,61-55,,
9:38.0,Personal foul by J. Jack (drawn by H. Barnes),,61-55,,
9:26.0,,,61-55,,H. Barnes misses 2-pt shot from 1 ft
9:23.0,Defensive rebound by E. Kanter,,61-55,,
9:16.0,K. Porzingis misses 2-pt shot from 2 ft (block by M. Kleber),,61-55,,
9:13.0,,,61-55,,Defensive rebound by D. Smith
9:10.0,,,61-57,2,D. Smith makes 2-pt shot from 2 ft
8:54.0,K. Porzingis makes 3-pt shot from 24 ft (assist by J. Jack),3,64-57,,
8:38.0,,,64-59,2,W. Matthews makes 2-pt shot from 11 ft (assist by D. Smith)
8:21.0,C. Lee makes 2-pt shot from 20 ft (assist by J. Jack),2,66-59,,
8:05.0,,,66-59,,W. Matthews misses 2-pt shot from 1 ft
8:04.0,Defensive rebound by E. Kanter,,66-59,,
7:57.0,C. Lee makes 3-pt shot from 25 ft (assist by K. Porzingis),3,69-59,,
7:55.0,,,69-59,,Dallas full timeout
7:41.0,,,69-59,,Shooting foul by L. Thomas (drawn by W. Matthews)
7:41.0,,,69-60,1,W. Matthews makes free throw 1 of 3
7:41.0,,,69-61,1,W. Matthews makes free throw 2 of 3
7:41.0,,,69-61,,W. Matthews misses free throw 3 of 3
7:39.0,Defensive rebound by K. Porzingis,,69-61,,
7:24.0,Turnover by J. Jack (bad pass),,69-61,,
7:04.0,,,69-63,2,D. Smith makes 2-pt shot from 22 ft
6:52.0,C. Lee misses 2-pt shot from 19 ft,,69-63,,
6:47.0,Offensive rebound by E. Kanter,,69-63,,
6:47.0,E. Kanter misses 2-pt shot at rim,,69-63,,
6:45.0,,,69-63,,Defensive rebound by W. Matthews
6:41.0,,,69-63,,W. Matthews misses 2-pt shot from 18 ft
6:41.0,Defensive rebound by E. Kanter,,69-63,,
6:33.0,,,69-63,,Personal foul by D. Smith (drawn by J. Jack)
6:26.0,K. Porzingis makes 2-pt shot from 6 ft (assist by J. Jack),2,71-63,,
6:04.0,,,71-63,,D. Smith misses 2-pt shot from 3 ft
6:03.0,Defensive rebound by C. Lee,,71-63,,
5:50.0,E. Kanter makes 2-pt shot from 5 ft (assist by J. Jack),2,73-63,,
5:28.0,,,73-63,,H. Barnes misses 2-pt shot from 16 ft
5:26.0,Defensive rebound by E. Kanter,,73-63,,
5:22.0,Turnover by L. Thomas (step out of bounds),,73-63,,
5:22.0,,,73-63,,Y. Ferrell enters the game for D. Smith
5:22.0,,,73-63,,D. Harris enters the game for W. Matthews
5:09.0,,,73-63,,Turnover by D. Harris (bad pass; steal by L. Thomas)
5:09.0,,,73-63,,Personal foul by M. Kleber (drawn by K. Porzingis)
5:09.0,,,73-63,,S. Mejri enters the game for D. Nowitzki
4:57.0,K. Porzingis misses 2-pt shot from 13 ft,,73-63,,
4:54.0,,,73-63,,Defensive rebound by S. Mejri
4:40.0,,,73-65,2,Y. Ferrell makes 2-pt shot from 13 ft (assist by S. Mejri)
4:29.0,J. Jack misses 3-pt shot from 25 ft,,73-65,,
4:26.0,,,73-65,,Defensive rebound by D. Harris
4:11.0,,,73-65,,Turnover by H. Barnes (out of bounds lost ball)
4:11.0,F. Ntilikina enters the game for K. Porzingis,,73-65,,
4:11.0,D. McDermott enters the game for J. Jack,,73-65,,
3:52.0,F. Ntilikina misses 3-pt shot from 25 ft,,73-65,,
3:48.0,,,73-65,,Defensive rebound by D. Harris
3:39.0,,,73-65,,Turnover by H. Barnes (bad pass; steal by E. Kanter)
3:34.0,D. McDermott misses 2-pt shot from 2 ft,,73-65,,
3:31.0,,,73-65,,Defensive rebound by Y. Ferrell
3:23.0,,,73-65,,D. Harris misses 2-pt shot from 6 ft
3:21.0,Defensive rebound by E. Kanter,,73-65,,
3:14.0,Turnover by E. Kanter (traveling),,73-65,,
3:04.0,Personal foul by L. Thomas (drawn by S. Mejri),,73-65,,
3:04.0,K. O'Quinn enters the game for E. Kanter,,73-65,,
2:53.0,,,73-67,2,Y. Ferrell makes 2-pt shot from 21 ft (assist by D. Harris)
2:52.0,New York full timeout,,73-67,,
2:40.0,D. McDermott misses 3-pt shot from 25 ft,,73-67,,
2:36.0,,,73-67,,Defensive rebound by M. Kleber
2:25.0,,,73-67,,Y. Ferrell misses 2-pt shot from 12 ft
2:22.0,Defensive rebound by L. Thomas,,73-67,,
2:15.0,F. Ntilikina misses 2-pt shot from 11 ft,,73-67,,
2:12.0,,,73-67,,Defensive rebound by D. Harris
2:09.0,,,73-69,2,S. Mejri makes 2-pt shot at rim (assist by D. Harris)
1:44.0,C. Lee misses 3-pt shot from 27 ft,,73-69,,
1:42.0,Offensive rebound by Team,,73-69,,
1:42.0,,,73-69,,Loose ball foul by D. Harris (drawn by L. Thomas)
1:42.0,,,73-69,,D. Powell enters the game for Y. Ferrell
1:42.0,,,73-69,,J. Barea enters the game for S. Mejri
1:42.0,K. Porzingis enters the game for L. Thomas,,73-69,,
1:34.0,K. Porzingis misses 3-pt shot from 26 ft,,73-69,,
1:30.0,,,73-69,,Defensive rebound by D. Powell
1:24.0,,,73-69,,H. Barnes misses 2-pt shot from 4 ft
1:22.0,Defensive rebound by K. Porzingis,,73-69,,
1:05.0,K. O'Quinn makes 2-pt shot from 2 ft (assist by F. Ntilikina),2,75-69,,
0:46.0,,,75-71,2,H. Barnes makes 2-pt shot from 3 ft
0:31.0,K. Porzingis misses 2-pt shot from 13 ft,,75-71,,
0:28.0,,,75-71,,Defensive rebound by D. Harris
0:08.0,,,75-71,,D. Powell misses 3-pt shot from 24 ft
0:04.0,Defensive rebound by F. Ntilikina,,75-71,,
0:00.0,C. Lee misses 2-pt shot from 18 ft,,75-71,,
0:00.0,Offensive rebound by Team,,75-71,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,F. Ntilikina makes 2-pt shot from 1 ft,2,77-71,,
11:27.0,,,77-73,2,D. Harris makes 2-pt shot from 7 ft
11:27.0,,,77-73,,Shooting foul by D. McDermott (drawn by D. Harris)
11:27.0,,,77-74,1,D. Harris makes free throw 1 of 1
11:15.0,F. Ntilikina misses 2-pt shot from 17 ft,,77-74,,
11:12.0,,,77-74,,Defensive rebound by D. Powell
11:06.0,,,77-74,,D. Harris misses 2-pt shot at rim (block by R. Baker)
11:03.0,Defensive rebound by K. O'Quinn,,77-74,,
10:55.0,,,77-74,,Shooting block foul by D. Powell (drawn by K. Porzingis)
10:55.0,K. Porzingis makes free throw 1 of 2,1,78-74,,
10:55.0,K. Porzingis makes free throw 2 of 2,1,79-74,,
10:48.0,Personal foul by K. Porzingis (drawn by D. Nowitzki),,79-74,,
10:41.0,,,79-74,,D. Nowitzki misses 3-pt shot from 25 ft
10:36.0,Defensive rebound by K. O'Quinn,,79-74,,
10:24.0,F. Ntilikina misses 2-pt shot from 22 ft,,79-74,,
10:21.0,,,79-74,,Defensive rebound by D. Powell
10:11.0,,,79-74,,D. Nowitzki misses 3-pt shot from 24 ft
10:07.0,Defensive rebound by K. O'Quinn,,79-74,,
9:51.0,Shooting foul by D. Harris (drawn by K. O'Quinn),,79-74,,
9:51.0,K. O'Quinn misses free throw 1 of 2,,79-74,,
9:51.0,Offensive rebound by Team,,79-74,,
9:51.0,K. O'Quinn makes free throw 2 of 2,1,80-74,,
9:42.0,,,80-74,,Y. Ferrell misses 2-pt shot from 12 ft
9:40.0,,,80-74,,Offensive rebound by Team
9:40.0,Loose ball foul by K. O'Quinn (drawn by D. Powell),,80-74,,
9:26.0,,,80-74,,D. Nowitzki misses 2-pt shot from 15 ft
9:22.0,Defensive rebound by K. Porzingis,,80-74,,
9:11.0,,,80-74,,Personal foul by D. Powell (drawn by K. Porzingis)
9:11.0,,,80-74,,W. Matthews enters the game for D. Nowitzki
9:05.0,K. Porzingis misses 2-pt shot from 19 ft,,80-74,,
9:02.0,Offensive rebound by K. O'Quinn,,80-74,,
8:53.0,K. Porzingis misses 2-pt shot from 15 ft (block by W. Matthews),,80-74,,
8:50.0,Offensive rebound by F. Ntilikina,,80-74,,
8:43.0,D. McDermott misses 2-pt shot from 17 ft,,80-74,,
8:39.0,,,80-74,,Defensive rebound by J. Barea
8:35.0,,,80-74,,J. Barea misses 2-pt shot from 1 ft (block by F. Ntilikina)
8:32.0,Defensive rebound by F. Ntilikina,,80-74,,
8:18.0,D. McDermott makes 2-pt shot from 2 ft (assist by K. O'Quinn),2,82-74,,
8:18.0,,,82-74,,Dallas full timeout
8:18.0,,,82-74,,S. Mejri enters the game for D. Powell
8:18.0,,,82-74,,D. Smith enters the game for Y. Ferrell
8:18.0,,,82-74,,H. Barnes enters the game for D. Harris
7:55.0,,,82-74,,J. Barea misses 3-pt shot from 24 ft
7:53.0,Defensive rebound by K. O'Quinn,,82-74,,
7:39.0,F. Ntilikina makes 2-pt shot from 22 ft,2,84-74,,
7:26.0,,,84-74,,W. Matthews misses 2-pt shot from 18 ft
7:23.0,Defensive rebound by F. Ntilikina,,84-74,,
7:08.0,K. O'Quinn makes 2-pt shot from 6 ft (assist by F. Ntilikina),2,86-74,,
6:56.0,,,86-74,,J. Barea misses 3-pt shot from 24 ft
6:53.0,Defensive rebound by K. O'Quinn,,86-74,,
6:39.0,Loose ball foul by K. Porzingis (drawn by W. Matthews),,86-74,,
6:39.0,Turnover by K. Porzingis (turnover),,86-74,,
6:39.0,,,86-74,,Y. Ferrell enters the game for J. Barea
6:28.0,,,86-77,3,H. Barnes makes 3-pt shot from 25 ft (assist by Y. Ferrell)
6:06.0,K. Porzingis misses 2-pt shot from 17 ft,,86-77,,
6:04.0,,,86-77,,Defensive rebound by H. Barnes
5:50.0,,,86-77,,D. Smith misses 2-pt shot at rim (block by K. O'Quinn)
5:47.0,Defensive rebound by K. O'Quinn,,86-77,,
5:43.0,,,86-77,,Personal foul by W. Matthews (drawn by K. Porzingis)
5:43.0,C. Lee enters the game for K. Porzingis,,86-77,,
5:43.0,W. Hernangomez enters the game for R. Baker,,86-77,,
5:38.0,D. McDermott makes 2-pt shot at rim (assist by K. O'Quinn),2,88-77,,
5:14.0,,,88-77,,Turnover by H. Barnes (bad pass)
4:49.0,K. O'Quinn makes 2-pt shot from 3 ft,2,90-77,,
4:48.0,,,90-77,,Dallas full timeout
4:48.0,,,90-77,,J. Barea enters the game for D. Smith
4:48.0,,,90-77,,D. Harris enters the game for Y. Ferrell
4:27.0,,,90-80,3,D. Harris makes 3-pt shot from 25 ft (assist by H. Barnes)
4:06.0,C. Lee misses 2-pt shot from 2 ft,,90-80,,
