time,Dallas,pts.away,score,pts.home,Sacramento
4:28.0,,,17-9,,Offensive rebound by K. Koufos
4:11.0,,,17-11,2,K. Koufos makes 2-pt shot from 2 ft (assist by B. Bogdanovic)
4:00.0,Dallas full timeout,,17-11,,
4:00.0,,,17-11,,F. Mason enters the game for D. Fox
4:00.0,,,17-11,,B. Hield enters the game for J. Jackson
4:00.0,Y. Ferrell enters the game for D. Smith,,17-11,,
4:00.0,S. Mejri enters the game for A. Harrison,,17-11,,
4:00.0,K. Collinsworth enters the game for M. Kleber,,17-11,,
3:52.0,D. McDermott makes 3-pt shot from 25 ft (assist by H. Barnes),3,20-11,,
3:35.0,,,20-11,,F. Mason misses 2-pt shot from 18 ft
3:32.0,Defensive rebound by S. Mejri,,20-11,,
3:14.0,Shooting foul by J. Sampson (drawn by Y. Ferrell),,20-11,,
3:14.0,Y. Ferrell misses free throw 1 of 3,,20-11,,
3:14.0,Offensive rebound by Team,,20-11,,
3:14.0,Y. Ferrell misses free throw 2 of 3,,20-11,,
3:14.0,Offensive rebound by Team,,20-11,,
3:14.0,Y. Ferrell makes free throw 3 of 3,1,21-11,,
3:02.0,,,21-14,3,B. Hield makes 3-pt shot from 22 ft (assist by F. Mason)
2:43.0,H. Barnes misses 3-pt shot from 25 ft,,21-14,,
2:40.0,,,21-14,,Defensive rebound by B. Bogdanovic
2:29.0,,,21-14,,J. Sampson misses 2-pt shot from 4 ft
2:25.0,Defensive rebound by K. Collinsworth,,21-14,,
2:19.0,K. Collinsworth makes 2-pt shot from 8 ft,2,23-14,,
2:04.0,,,23-14,,Turnover by F. Mason (lost ball; steal by S. Mejri)
1:53.0,S. Mejri misses 2-pt shot from 7 ft,,23-14,,
1:51.0,,,23-14,,Defensive rebound by B. Hield
1:46.0,,,23-14,,B. Hield misses 2-pt shot from 3 ft (block by S. Mejri)
1:43.0,,,23-14,,Offensive rebound by K. Koufos
1:40.0,,,23-16,2,K. Koufos makes 2-pt shot at rim
1:28.0,Y. Ferrell misses 3-pt shot from 25 ft,,23-16,,
1:26.0,,,23-16,,Defensive rebound by B. Bogdanovic
1:15.0,,,23-16,,F. Mason misses 2-pt shot from 6 ft
1:10.0,,,23-16,,Offensive rebound by K. Koufos
1:10.0,,,23-16,,K. Koufos misses 2-pt shot at rim
1:08.0,,,23-16,,Offensive rebound by K. Koufos
1:08.0,,,23-18,2,K. Koufos makes 2-pt shot at rim
0:49.0,Y. Ferrell misses 2-pt shot from 13 ft,,23-18,,
0:46.0,,,23-18,,Defensive rebound by B. Hield
0:40.0,,,23-18,,B. Hield misses 2-pt shot from 18 ft
0:37.0,Defensive rebound by H. Barnes,,23-18,,
0:29.0,H. Barnes makes 2-pt shot from 4 ft,2,25-18,,
0:08.0,,,25-20,2,K. Koufos makes 2-pt shot from 7 ft
0:01.0,Y. Ferrell misses 3-pt shot from 25 ft (block by F. Mason),,25-20,,
0:00.0,Offensive rebound by Team,,25-20,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,Y. Ferrell misses 3-pt shot from 25 ft,,25-20,,
11:42.0,,,25-20,,Defensive rebound by K. Koufos
11:30.0,,,25-22,2,K. Koufos makes 2-pt shot from 6 ft (assist by J. Sampson)
11:12.0,D. McDermott makes 3-pt shot from 23 ft (assist by K. Collinsworth),3,28-22,,
10:48.0,,,28-24,2,K. Koufos makes 2-pt shot from 10 ft (assist by F. Mason)
10:27.0,D. Nowitzki misses 3-pt shot from 25 ft,,28-24,,
10:24.0,,,28-24,,Defensive rebound by K. Koufos
10:16.0,,,28-24,,F. Mason misses 3-pt shot from 24 ft
10:12.0,Defensive rebound by D. McDermott,,28-24,,
10:08.0,Y. Ferrell misses 2-pt shot from 3 ft,,28-24,,
10:02.0,Offensive rebound by S. Mejri,,28-24,,
10:02.0,S. Mejri makes 2-pt shot at rim,2,30-24,,
9:47.0,,,30-24,,V. Carter misses 2-pt shot from 20 ft
9:44.0,Defensive rebound by Y. Ferrell,,30-24,,
9:38.0,D. Nowitzki misses 3-pt shot from 25 ft,,30-24,,
9:35.0,,,30-24,,Defensive rebound by K. Koufos
9:32.0,,,30-24,,Shooting foul by Y. Ferrell (drawn by F. Mason)
9:32.0,,,30-25,1,F. Mason makes free throw 1 of 2
9:32.0,,,30-26,1,F. Mason makes free throw 2 of 2
9:15.0,Shooting foul by F. Mason (drawn by S. Mejri),,30-26,,
9:15.0,S. Mejri makes free throw 1 of 2,1,31-26,,
9:15.0,S. Mejri makes free throw 2 of 2,1,32-26,,
9:01.0,,,32-28,2,K. Koufos makes 2-pt shot at rim (assist by F. Mason)
9:01.0,,,32-28,,Shooting foul by D. McDermott (drawn by K. Koufos)
9:01.0,,,32-29,1,K. Koufos makes free throw 1 of 1
8:41.0,S. Mejri misses 2-pt shot from 2 ft,,32-29,,
8:38.0,,,32-29,,Defensive rebound by F. Mason
8:34.0,,,32-29,,F. Mason misses 2-pt shot from 1 ft (block by K. Collinsworth)
8:34.0,,,32-29,,Offensive rebound by Team
8:34.0,,,32-29,,Sacramento full timeout
8:25.0,,,32-29,,B. Hield misses 2-pt shot from 2 ft
8:20.0,Defensive rebound by D. McDermott,,32-29,,
8:14.0,Shooting foul by B. Hield (drawn by K. Collinsworth),,32-29,,
8:14.0,K. Collinsworth misses free throw 1 of 2,,32-29,,
8:14.0,Offensive rebound by Team,,32-29,,
8:14.0,,,32-29,,J. Jackson enters the game for J. Sampson
8:14.0,K. Collinsworth misses free throw 2 of 2,,32-29,,
8:11.0,,,32-29,,Defensive rebound by J. Jackson
8:04.0,D. Smith enters the game for Y. Ferrell,,32-29,,
8:04.0,H. Barnes enters the game for D. McDermott,,32-29,,
7:54.0,,,32-29,,Turnover by V. Carter (step out of bounds)
7:36.0,H. Barnes makes 3-pt shot from 22 ft (assist by S. Mejri),3,35-29,,
7:22.0,,,35-29,,V. Carter misses 3-pt shot from 24 ft
7:19.0,Defensive rebound by D. Nowitzki,,35-29,,
7:10.0,S. Mejri misses 2-pt shot from 18 ft,,35-29,,
7:06.0,,,35-29,,Defensive rebound by J. Jackson
6:51.0,,,35-29,,K. Koufos misses 2-pt shot from 8 ft
6:49.0,,,35-29,,Offensive rebound by F. Mason
6:46.0,,,35-29,,J. Jackson misses 2-pt shot from 7 ft (block by S. Mejri)
6:42.0,Defensive rebound by H. Barnes,,35-29,,
6:38.0,D. Nowitzki misses 3-pt shot from 25 ft,,35-29,,
6:33.0,,,35-29,,Defensive rebound by F. Mason
6:31.0,,,35-29,,B. Hield misses 3-pt shot from 23 ft
6:28.0,Defensive rebound by K. Collinsworth,,35-29,,
6:18.0,H. Barnes misses 3-pt shot from 23 ft,,35-29,,
6:14.0,,,35-29,,Defensive rebound by F. Mason
6:09.0,,,35-29,,F. Mason misses 2-pt shot from 22 ft
6:05.0,Defensive rebound by K. Collinsworth,,35-29,,
5:57.0,Dallas full timeout,,35-29,,
5:57.0,,,35-29,,D. Fox enters the game for V. Carter
5:57.0,,,35-29,,W. Cauley-Stein enters the game for K. Koufos
5:57.0,J. Motley enters the game for K. Collinsworth,,35-29,,
5:57.0,A. Harrison enters the game for D. Nowitzki,,35-29,,
5:57.0,M. Kleber enters the game for S. Mejri,,35-29,,
5:43.0,Turnover by Team (shot clock),,35-29,,
5:36.0,,,35-32,3,J. Jackson makes 3-pt shot from 24 ft (assist by D. Fox)
5:12.0,A. Harrison misses 3-pt shot from 23 ft,,35-32,,
5:12.0,Offensive rebound by Team,,35-32,,
5:12.0,,,35-32,,Loose ball foul by W. Cauley-Stein (drawn by J. Motley)
5:07.0,Turnover by D. Smith (bad pass),,35-32,,
4:55.0,,,35-32,,Turnover by D. Fox (bad pass)
4:40.0,,,35-32,,Personal foul by D. Fox (drawn by J. Motley)
4:34.0,Shooting foul by W. Cauley-Stein (drawn by J. Motley),,35-32,,
4:34.0,J. Motley misses free throw 1 of 2,,35-32,,
4:34.0,Offensive rebound by Team,,35-32,,
4:34.0,J. Motley misses free throw 2 of 2,,35-32,,
4:25.0,,,35-32,,Defensive rebound by J. Jackson
4:11.0,,,35-34,2,B. Hield makes 2-pt shot from 3 ft
4:00.0,D. Smith misses 2-pt shot from 9 ft,,35-34,,
3:54.0,,,35-34,,Defensive rebound by W. Cauley-Stein
3:50.0,,,35-34,,D. Fox misses 3-pt shot from 24 ft
3:50.0,Defensive rebound by H. Barnes,,35-34,,
3:40.0,Shooting foul by F. Mason (drawn by D. Smith),,35-34,,
3:40.0,D. Smith makes free throw 1 of 2,1,36-34,,
3:40.0,,,36-34,,S. Labissiere enters the game for B. Hield
3:40.0,,,36-34,,B. Bogdanovic enters the game for W. Cauley-Stein
3:40.0,D. Smith makes free throw 2 of 2,1,37-34,,
3:27.0,,,37-34,,F. Mason misses 3-pt shot from 25 ft
3:24.0,,,37-34,,Offensive rebound by F. Mason
3:22.0,,,37-34,,F. Mason misses 2-pt shot from 4 ft (block by M. Kleber)
3:19.0,Defensive rebound by A. Harrison,,37-34,,
3:06.0,J. Motley makes 2-pt shot from 2 ft (assist by D. Smith),2,39-34,,
2:52.0,,,39-34,,Shooting foul by D. Smith (drawn by F. Mason)
2:52.0,,,39-35,1,F. Mason makes free throw 1 of 2
2:52.0,,,39-36,1,F. Mason makes free throw 2 of 2
2:34.0,Shooting foul by B. Bogdanovic (drawn by H. Barnes),,39-36,,
2:34.0,H. Barnes makes free throw 1 of 2,1,40-36,,
2:34.0,,,40-36,,K. Koufos enters the game for F. Mason
2:34.0,H. Barnes makes free throw 2 of 2,1,41-36,,
2:22.0,,,41-36,,S. Labissiere misses 2-pt shot from 7 ft
2:17.0,Defensive rebound by A. Harrison,,41-36,,
2:15.0,H. Barnes makes 3-pt shot from 25 ft (assist by D. Smith),3,44-36,,
1:56.0,,,44-38,2,S. Labissiere makes 2-pt shot from 3 ft (assist by D. Fox)
1:43.0,D. Smith makes 3-pt shot from 25 ft (assist by H. Barnes),3,47-38,,
1:32.0,,,47-40,2,B. Bogdanovic makes 2-pt shot from 16 ft
1:18.0,A. Harrison misses 3-pt shot from 25 ft,,47-40,,
1:15.0,,,47-40,,Defensive rebound by J. Jackson
1:11.0,,,47-42,2,S. Labissiere makes 2-pt shot from 1 ft (assist by D. Fox)
0:55.0,Shooting foul by D. Fox (drawn by H. Barnes),,47-42,,
0:55.0,H. Barnes makes free throw 1 of 2,1,48-42,,
0:55.0,H. Barnes makes free throw 2 of 2,1,49-42,,
0:45.0,,,49-42,,Shooting foul by A. Harrison (drawn by B. Bogdanovic)
0:45.0,,,49-42,,B. Bogdanovic misses free throw 1 of 2
0:45.0,,,49-42,,Offensive rebound by Team
0:45.0,,,49-43,1,B. Bogdanovic makes free throw 2 of 2
0:32.0,D. Smith misses 3-pt shot from 26 ft,,49-43,,
0:31.0,Offensive rebound by Team,,49-43,,
0:31.0,,,49-43,,Loose ball foul by K. Koufos (drawn by J. Motley)
0:31.0,J. Motley makes free throw 1 of 2,1,50-43,,
0:31.0,J. Motley makes free throw 2 of 2,1,51-43,,
0:12.0,,,51-43,,D. Fox misses 3-pt shot from 25 ft
0:09.0,,,51-43,,Offensive rebound by S. Labissiere
0:08.0,,,51-43,,Shooting foul by J. Motley (drawn by S. Labissiere)
0:08.0,,,51-44,1,S. Labissiere makes free throw 1 of 2
0:08.0,,,51-44,,F. Mason enters the game for D. Fox
0:08.0,,,51-45,1,S. Labissiere makes free throw 2 of 2
0:01.0,D. Smith makes 2-pt shot from 2 ft,2,53-45,,
0:00.0,,,53-45,,F. Mason misses 3-pt shot from 62 ft
0:00.0,,,53-45,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,M. Kleber makes 2-pt shot from 1 ft (assist by D. Nowitzki),2,55-45,,
11:29.0,Personal foul by M. Kleber (drawn by S. Labissiere),,55-45,,
11:21.0,,,55-47,2,W. Cauley-Stein makes 2-pt shot from 2 ft
11:10.0,M. Kleber misses 3-pt shot from 24 ft,,55-47,,
11:06.0,,,55-47,,Defensive rebound by J. Jackson
10:56.0,,,55-47,,D. Fox misses 2-pt shot from 7 ft
10:54.0,Defensive rebound by D. Nowitzki,,55-47,,
10:46.0,A. Harrison makes 3-pt shot from 24 ft (assist by D. Nowitzki),3,58-47,,
10:27.0,,,58-49,2,B. Bogdanovic makes 2-pt shot from 22 ft (assist by S. Labissiere)
10:15.0,Shooting foul by D. Fox (drawn by D. Smith),,58-49,,
10:15.0,D. Smith makes free throw 1 of 2,1,59-49,,
10:15.0,D. Smith makes free throw 2 of 2,1,60-49,,
10:01.0,,,60-49,,B. Bogdanovic misses 2-pt shot from 19 ft
9:58.0,Defensive rebound by M. Kleber,,60-49,,
9:51.0,A. Harrison misses 3-pt shot from 23 ft,,60-49,,
9:46.0,,,60-49,,Defensive rebound by J. Jackson
9:42.0,,,60-49,,J. Jackson misses 2-pt shot from 7 ft (block by D. Nowitzki)
9:42.0,,,60-49,,Offensive rebound by Team
9:40.0,,,60-49,,D. Fox misses 2-pt shot from 9 ft
9:37.0,Defensive rebound by M. Kleber,,60-49,,
9:30.0,D. Nowitzki misses 3-pt shot from 24 ft,,60-49,,
9:27.0,,,60-49,,Defensive rebound by S. Labissiere
9:16.0,,,60-51,2,B. Bogdanovic makes 2-pt shot from 19 ft (assist by W. Cauley-Stein)
9:02.0,D. Nowitzki makes 2-pt shot from 21 ft (assist by D. Smith),2,62-51,,
8:43.0,,,62-53,2,W. Cauley-Stein makes 2-pt shot from 3 ft
8:28.0,D. Smith misses 3-pt shot from 24 ft,,62-53,,
8:25.0,Offensive rebound by M. Kleber,,62-53,,
8:22.0,D. Nowitzki misses 3-pt shot from 24 ft,,62-53,,
8:20.0,,,62-53,,Defensive rebound by S. Labissiere
8:13.0,,,62-53,,Shooting foul by D. Nowitzki (drawn by W. Cauley-Stein)
8:13.0,,,62-53,,W. Cauley-Stein misses free throw 1 of 2
8:13.0,,,62-53,,Offensive rebound by Team
8:13.0,,,62-53,,W. Cauley-Stein misses free throw 2 of 2
8:10.0,Defensive rebound by M. Kleber,,62-53,,
7:57.0,Turnover by D. Smith (bad pass; steal by W. Cauley-Stein),,62-53,,
7:49.0,,,62-53,,J. Jackson misses 3-pt shot from 24 ft
7:46.0,Defensive rebound by D. Nowitzki,,62-53,,
7:42.0,Offensive foul by M. Kleber (drawn by D. Fox),,62-53,,
7:42.0,Turnover by M. Kleber (offensive foul),,62-53,,
7:32.0,,,62-55,2,D. Fox makes 2-pt shot from 2 ft
7:32.0,,,62-55,,Shooting foul by D. Nowitzki (drawn by D. Fox)
7:32.0,,,62-56,1,D. Fox makes free throw 1 of 1
7:19.0,H. Barnes misses 2-pt shot from 20 ft,,62-56,,
7:15.0,,,62-56,,Defensive rebound by S. Labissiere
7:08.0,,,62-56,,B. Bogdanovic misses 2-pt shot from 12 ft
7:04.0,Defensive rebound by A. Harrison,,62-56,,
7:03.0,,,62-56,,Personal foul by B. Bogdanovic (drawn by A. Harrison)
6:52.0,A. Harrison makes 2-pt shot from 2 ft,2,64-56,,
6:41.0,,,64-56,,D. Fox misses 3-pt shot from 22 ft
6:37.0,Defensive rebound by H. Barnes,,64-56,,
6:21.0,D. Smith makes 2-pt shot at rim,2,66-56,,
6:03.0,,,66-56,,S. Labissiere misses 2-pt shot from 9 ft
6:01.0,Defensive rebound by D. Nowitzki,,66-56,,
5:43.0,,,66-56,,Personal foul by B. Bogdanovic (drawn by M. Kleber)
5:43.0,,,66-56,,Sacramento full timeout
5:39.0,,,66-56,,Personal foul by J. Jackson (drawn by H. Barnes)
5:35.0,Turnover by D. Smith (bad pass; steal by W. Cauley-Stein),,66-56,,
5:34.0,,,66-56,,Shooting foul by D. Smith (drawn by W. Cauley-Stein)
5:34.0,,,66-57,1,W. Cauley-Stein makes free throw 1 of 2
5:34.0,,,66-57,,W. Cauley-Stein misses free throw 2 of 2
5:31.0,Defensive rebound by D. Nowitzki,,66-57,,
5:10.0,D. Nowitzki misses 3-pt shot from 74 ft,,66-57,,
5:09.0,Offensive rebound by Team,,66-57,,
5:09.0,Turnover by Team (shot clock),,66-57,,
4:53.0,,,66-57,,Turnover by B. Bogdanovic (bad pass; steal by M. Kleber)
4:42.0,H. Barnes makes 3-pt shot from 22 ft (assist by D. Smith),3,69-57,,
4:29.0,,,69-57,,Turnover by J. Jackson (step out of bounds)
4:29.0,K. Collinsworth enters the game for A. Harrison,,69-57,,
4:20.0,D. Nowitzki makes 3-pt shot from 24 ft (assist by D. Smith),3,72-57,,
3:57.0,,,72-59,2,S. Labissiere makes 2-pt shot from 8 ft
3:39.0,D. Smith misses 2-pt shot from 4 ft (block by D. Fox),,72-59,,
3:36.0,,,72-59,,Defensive rebound by D. Fox
3:31.0,,,72-61,2,S. Labissiere makes 2-pt shot from 13 ft (assist by J. Jackson)
3:30.0,Dallas full timeout,,72-61,,
3:30.0,S. Mejri enters the game for D. Smith,,72-61,,
3:30.0,Y. Ferrell enters the game for D. Nowitzki,,72-61,,
3:30.0,D. McDermott enters the game for M. Kleber,,72-61,,
3:20.0,,,72-61,,Violation by W. Cauley-Stein (kicked ball)
3:13.0,Y. Ferrell misses 2-pt shot from 15 ft,,72-61,,
3:08.0,,,72-61,,Defensive rebound by D. Fox
2:55.0,,,72-61,,S. Labissiere misses 2-pt shot from 7 ft
2:51.0,Defensive rebound by S. Mejri,,72-61,,
2:31.0,S. Mejri misses 2-pt shot from 3 ft (block by S. Labissiere),,72-61,,
2:28.0,,,72-61,,Defensive rebound by W. Cauley-Stein
2:23.0,,,72-61,,Turnover by W. Cauley-Stein (bad pass; steal by Y. Ferrell)
2:10.0,H. Barnes misses 3-pt shot from 25 ft,,72-61,,
2:06.0,,,72-61,,Defensive rebound by B. Bogdanovic
2:01.0,,,72-61,,J. Jackson misses 2-pt shot from 9 ft
1:59.0,,,72-61,,Offensive rebound by J. Jackson
1:58.0,,,72-61,,J. Jackson misses 2-pt shot from 6 ft
1:56.0,,,72-61,,Offensive rebound by S. Labissiere
1:47.0,,,72-63,2,S. Labissiere makes 2-pt shot from 19 ft (assist by W. Cauley-Stein)
1:30.0,D. McDermott makes 2-pt shot at rim (assist by Y. Ferrell),2,74-63,,
1:18.0,,,74-66,3,J. Jackson makes 3-pt shot from 25 ft (assist by B. Bogdanovic)
0:52.0,H. Barnes misses 2-pt shot from 3 ft,,74-66,,
0:48.0,,,74-66,,Defensive rebound by D. Fox
0:42.0,,,74-68,2,W. Cauley-Stein makes 2-pt shot from 2 ft (assist by D. Fox)
0:42.0,Dallas full timeout,,74-68,,
0:42.0,,,74-68,,B. Hield enters the game for D. Fox
0:42.0,,,74-68,,F. Mason enters the game for B. Bogdanovic
0:33.0,D. McDermott misses 3-pt shot from 24 ft,,74-68,,
0:33.0,,,74-68,,Defensive rebound by Team
0:23.0,,,74-70,2,B. Hield makes 2-pt shot from 19 ft (assist by J. Jackson)
0:02.0,,,74-70,,Personal foul by B. Hield (drawn by H. Barnes)
0:02.0,H. Barnes misses free throw 1 of 2,,74-70,,
0:02.0,Offensive rebound by Team,,74-70,,
0:02.0,H. Barnes makes free throw 2 of 2,1,75-70,,
0:00.0,,,75-70,,J. Jackson misses 3-pt shot from 51 ft
0:00.0,,,75-70,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,,,75-70,,B. Caboclo misses 3-pt shot from 25 ft
11:36.0,,,75-70,,Offensive rebound by W. Cauley-Stein
11:35.0,,,75-72,2,W. Cauley-Stein makes 2-pt shot from 8 ft
11:17.0,Turnover by D. McDermott (out of bounds lost ball),,75-72,,
11:03.0,,,75-72,,B. Hield misses 3-pt shot from 25 ft
10:59.0,Defensive rebound by H. Barnes,,75-72,,
10:52.0,Y. Ferrell makes 2-pt shot from 19 ft,2,77-72,,
10:37.0,,,77-72,,Turnover by W. Cauley-Stein (lost ball; steal by Y. Ferrell)
10:32.0,D. McDermott makes 3-pt shot from 21 ft (assist by S. Mejri),3,80-72,,
10:15.0,,,80-72,,Shooting foul by S. Mejri (drawn by W. Cauley-Stein)
10:15.0,,,80-73,1,W. Cauley-Stein makes free throw 1 of 2
10:15.0,M. Kleber enters the game for H. Barnes,,80-73,,
10:15.0,,,80-74,1,W. Cauley-Stein makes free throw 2 of 2
9:57.0,D. McDermott makes 2-pt shot from 2 ft (assist by Y. Ferrell),2,82-74,,
9:48.0,,,82-76,2,J. Jackson makes 2-pt shot from 16 ft (assist by F. Mason)
9:29.0,D. McDermott makes 2-pt shot from 2 ft (assist by K. Collinsworth),2,84-76,,
9:10.0,,,84-76,,F. Mason misses 2-pt shot from 17 ft
9:10.0,Defensive rebound by Team,,84-76,,
9:10.0,,,84-76,,J. Sampson enters the game for J. Jackson
8:56.0,Dallas full timeout,,84-76,,
8:51.0,M. Kleber misses 2-pt shot from 3 ft,,84-76,,
8:49.0,,,84-76,,Defensive rebound by W. Cauley-Stein
8:32.0,,,84-76,,B. Hield misses 2-pt shot from 17 ft
8:27.0,Defensive rebound by M. Kleber,,84-76,,
8:17.0,Y. Ferrell makes 3-pt shot from 25 ft (assist by S. Mejri),3,87-76,,
7:57.0,,,87-76,,F. Mason misses 2-pt shot from 7 ft (block by Y. Ferrell)
7:57.0,,,87-76,,Offensive rebound by Team
7:57.0,,,87-76,,S. Labissiere enters the game for W. Cauley-Stein
7:50.0,,,87-78,2,F. Mason makes 2-pt shot from 19 ft (assist by B. Hield)
7:32.0,S. Mejri makes 2-pt shot from 1 ft,2,89-78,,
7:32.0,,,89-78,,Violation by B. Caboclo (def goaltending)
7:14.0,,,89-78,,F. Mason misses 2-pt shot from 22 ft
7:12.0,Defensive rebound by D. McDermott,,89-78,,
6:54.0,M. Kleber misses 3-pt shot from 23 ft,,89-78,,
6:51.0,,,89-78,,Defensive rebound by J. Sampson
6:36.0,,,89-80,2,S. Labissiere makes 2-pt shot from 9 ft (assist by B. Hield)
6:16.0,K. Collinsworth misses 2-pt shot from 6 ft (block by J. Sampson),,89-80,,
6:16.0,,,89-80,,Defensive rebound by S. Labissiere
6:09.0,,,89-80,,Turnover by B. Caboclo (bad pass; steal by D. McDermott)
6:00.0,Y. Ferrell makes 3-pt shot from 25 ft,3,92-80,,
5:42.0,,,92-80,,B. Hield misses 3-pt shot from 26 ft
5:40.0,Defensive rebound by D. McDermott,,92-80,,
5:23.0,,,92-80,,Personal foul by S. Labissiere (drawn by S. Mejri)
5:23.0,J. Motley enters the game for S. Mejri,,92-80,,
5:15.0,J. Motley makes 2-pt shot from 6 ft (assist by Y. Ferrell),2,94-80,,
5:03.0,,,94-80,,J. Sampson misses 3-pt shot from 25 ft
4:58.0,Defensive rebound by K. Collinsworth,,94-80,,
4:49.0,M. Kleber makes 2-pt shot from 6 ft (assist by K. Collinsworth),2,96-80,,
4:48.0,,,96-80,,Sacramento full timeout
4:48.0,J. Jones enters the game for K. Collinsworth,,96-80,,
4:24.0,,,96-80,,S. Labissiere misses 2-pt shot from 17 ft
4:23.0,Defensive rebound by Team,,96-80,,
4:10.0,Y. Ferrell misses 3-pt shot from 24 ft,,96-80,,
4:07.0,,,96-80,,Defensive rebound by S. Labissiere
4:01.0,Personal foul by J. Motley (drawn by S. Labissiere),,96-80,,
4:01.0,K. Collinsworth enters the game for Y. Ferrell,,96-80,,
3:52.0,,,96-80,,B. Hield misses 3-pt shot from 25 ft
3:49.0,Defensive rebound by K. Collinsworth,,96-80,,
