time,LA Clippers,pts.away,score,pts.home,Minnesota
11:25.0,,,34-31,3,K. Towns makes 3-pt shot from 22 ft (assist by D. Rose)
11:13.0,,,34-31,,Personal foul by G. Dieng (drawn by B. Marjanovic)
10:59.0,Turnover by S. Kilpatrick (bad pass; steal by K. Towns),,34-31,,
10:47.0,,,34-31,,K. Towns misses 2-pt shot from 3 ft
10:45.0,Defensive rebound by B. Marjanovic,,34-31,,
10:39.0,B. Marjanovic misses 2-pt shot from 2 ft (block by K. Towns),,34-31,,
10:37.0,,,34-31,,Defensive rebound by G. Dieng
10:32.0,,,34-33,2,D. Rose makes 2-pt shot from 1 ft
10:15.0,L. Williams makes 2-pt shot from 16 ft,2,36-33,,
10:03.0,,,36-33,,Offensive foul by J. Crawford (drawn by S. Kilpatrick)
10:03.0,,,36-33,,Turnover by J. Crawford (offensive foul)
10:03.0,M. Teodosic enters the game for S. Kilpatrick,,36-33,,
9:42.0,M. Harrell misses 2-pt shot from 2 ft,,36-33,,
9:40.0,,,36-33,,Defensive rebound by G. Dieng
9:30.0,Personal foul by B. Marjanovic (drawn by K. Towns),,36-33,,
9:24.0,Personal foul by M. Harrell (drawn by K. Towns),,36-33,,
9:21.0,,,36-33,,D. Rose misses 2-pt shot from 2 ft (block by B. Marjanovic)
9:17.0,Defensive rebound by B. Marjanovic,,36-33,,
9:12.0,B. Marjanovic makes 2-pt shot at rim (assist by L. Williams),2,38-33,,
8:59.0,,,38-35,2,D. Rose makes 2-pt shot from 1 ft
8:57.0,L. Williams makes technical free throw,1,39-35,,
8:46.0,A. Rivers makes 2-pt shot at rim,2,41-35,,
8:37.0,,,41-37,2,J. Crawford makes 2-pt shot from 2 ft
8:16.0,Turnover by M. Harrell (bad pass; steal by T. Jones),,41-37,,
8:13.0,,,41-39,2,D. Rose makes 2-pt shot from 1 ft (assist by T. Jones)
8:13.0,,,41-39,,Shooting foul by M. Harrell (drawn by D. Rose)
8:13.0,,,41-39,,J. Teague enters the game for T. Jones
8:13.0,T. Harris enters the game for M. Harrell,,41-39,,
8:13.0,,,41-40,1,D. Rose makes free throw 1 of 1
8:01.0,L. Williams misses 2-pt shot from 18 ft,,41-40,,
7:57.0,,,41-40,,Defensive rebound by G. Dieng
7:49.0,,,41-42,2,J. Crawford makes 2-pt shot from 19 ft
7:34.0,Shooting foul by G. Dieng (drawn by A. Rivers),,41-42,,
7:34.0,A. Rivers makes free throw 1 of 2,1,42-42,,
7:34.0,,,42-42,,T. Gibson enters the game for G. Dieng
7:34.0,D. Jordan enters the game for B. Marjanovic,,42-42,,
7:34.0,A. Rivers misses free throw 2 of 2,,42-42,,
7:31.0,,,42-42,,Defensive rebound by K. Towns
7:20.0,,,42-44,2,D. Rose makes 2-pt shot from 22 ft
7:10.0,Turnover by D. Jordan (bad pass),,42-44,,
7:10.0,S. Thornwell enters the game for M. Teodosic,,42-44,,
6:59.0,,,42-44,,D. Rose misses 2-pt shot from 19 ft
6:57.0,Defensive rebound by D. Jordan,,42-44,,
6:47.0,A. Rivers misses 2-pt shot from 8 ft,,42-44,,
6:46.0,Offensive rebound by D. Jordan,,42-44,,
6:43.0,D. Jordan misses 2-pt shot from 1 ft,,42-44,,
6:43.0,,,42-44,,Defensive rebound by K. Towns
6:32.0,,,42-46,2,T. Gibson makes 2-pt shot from 4 ft (assist by J. Teague)
6:05.0,A. Rivers misses 2-pt shot from 8 ft,,42-46,,
6:05.0,Offensive rebound by D. Jordan,,42-46,,
6:05.0,,,42-46,,Personal foul by K. Towns (drawn by D. Jordan)
6:05.0,,,42-46,,Minnesota full timeout
6:05.0,M. Teodosic enters the game for L. Williams,,42-46,,
5:52.0,A. Rivers makes 2-pt shot at rim,2,44-46,,
5:28.0,,,44-46,,Offensive charge foul by D. Rose (drawn by M. Teodosic)
5:28.0,,,44-46,,Turnover by D. Rose (offensive foul)
5:28.0,,,44-46,,A. Wiggins enters the game for D. Rose
5:12.0,D. Jordan makes 2-pt shot at rim (assist by S. Thornwell),2,46-46,,
4:57.0,,,46-48,2,K. Towns makes 2-pt shot from 1 ft (assist by J. Teague)
4:45.0,D. Jordan makes 2-pt shot at rim (assist by M. Teodosic),2,48-48,,
4:24.0,,,48-48,,J. Teague misses 2-pt shot from 6 ft
4:23.0,,,48-48,,Offensive rebound by Team
4:20.0,Personal foul by M. Teodosic (drawn by J. Teague),,48-48,,
4:16.0,Def 3 sec tech foul by T. Harris,,48-48,,
4:16.0,,,48-49,1,J. Teague makes technical free throw
4:06.0,,,48-51,2,K. Towns makes 2-pt shot from 8 ft (assist by T. Gibson)
3:57.0,D. Jordan makes 2-pt shot at rim (assist by M. Teodosic),2,50-51,,
3:46.0,,,50-51,,Turnover by J. Teague (lost ball; steal by D. Jordan)
3:42.0,Shooting foul by T. Gibson (drawn by S. Thornwell),,50-51,,
3:42.0,S. Thornwell makes free throw 1 of 2,1,51-51,,
3:42.0,,,51-51,,N. Bjelica enters the game for J. Crawford
3:42.0,S. Thornwell makes free throw 2 of 2,1,52-51,,
3:28.0,,,52-51,,Turnover by T. Gibson (traveling)
3:15.0,A. Rivers misses 2-pt shot from 1 ft (block by A. Wiggins),,52-51,,
3:15.0,Offensive rebound by Team,,52-51,,
3:05.0,T. Harris misses 3-pt shot from 25 ft,,52-51,,
3:02.0,,,52-51,,Defensive rebound by A. Wiggins
2:59.0,,,52-53,2,A. Wiggins makes 2-pt shot from 4 ft
2:41.0,T. Harris makes 2-pt shot from 17 ft (assist by D. Jordan),2,54-53,,
2:25.0,,,54-53,,A. Wiggins misses 2-pt shot from 16 ft
2:23.0,Defensive rebound by D. Jordan,,54-53,,
2:16.0,M. Teodosic misses 2-pt shot from 17 ft,,54-53,,
2:13.0,,,54-53,,Defensive rebound by K. Towns
2:10.0,Personal foul by T. Harris (drawn by K. Towns),,54-53,,
2:10.0,LA Clippers full timeout,,54-53,,
2:10.0,L. Williams enters the game for M. Teodosic,,54-53,,
2:10.0,,,54-54,1,K. Towns makes free throw 1 of 2
2:10.0,,,54-55,1,K. Towns makes free throw 2 of 2
1:54.0,Turnover by T. Harris (bad pass; steal by K. Towns),,54-55,,
1:36.0,,,54-57,2,K. Towns makes 2-pt shot from 3 ft (assist by J. Teague)
1:21.0,D. Jordan makes 2-pt shot from 2 ft (assist by L. Williams),2,56-57,,
1:18.0,Personal foul by L. Williams (drawn by T. Gibson),,56-57,,
1:18.0,,,56-58,1,T. Gibson makes free throw 1 of 2
1:18.0,,,56-58,,G. Dieng enters the game for K. Towns
1:18.0,,,56-59,1,T. Gibson makes free throw 2 of 2
1:09.0,L. Williams misses 3-pt shot from 27 ft,,56-59,,
1:06.0,,,56-59,,Defensive rebound by A. Wiggins
0:58.0,,,56-59,,G. Dieng misses 2-pt shot from 21 ft
0:56.0,Defensive rebound by D. Jordan,,56-59,,
0:43.0,D. Jordan makes 2-pt shot from 1 ft (assist by S. Thornwell),2,58-59,,
0:20.0,,,58-59,,J. Teague misses 3-pt shot from 25 ft
0:18.0,Defensive rebound by D. Jordan,,58-59,,
0:02.0,T. Harris misses 2-pt shot from 19 ft,,58-59,,
0:02.0,,,58-59,,Defensive rebound by N. Bjelica
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,M. Teodosic misses 3-pt shot from 25 ft,,58-59,,
11:37.0,,,58-59,,Defensive rebound by N. Bjelica
11:25.0,,,58-59,,K. Towns misses 3-pt shot from 25 ft
11:21.0,Defensive rebound by M. Teodosic,,58-59,,
11:19.0,Shooting foul by A. Wiggins (drawn by S. Thornwell),,58-59,,
11:19.0,S. Thornwell misses free throw 1 of 2,,58-59,,
11:19.0,Offensive rebound by Team,,58-59,,
11:19.0,S. Thornwell makes free throw 2 of 2,1,59-59,,
11:03.0,,,59-61,2,A. Wiggins makes 2-pt shot from 1 ft (assist by K. Towns)
10:49.0,S. Thornwell misses 2-pt shot from 5 ft,,59-61,,
10:46.0,Offensive rebound by S. Thornwell,,59-61,,
10:44.0,T. Harris misses 3-pt shot from 25 ft,,59-61,,
10:39.0,,,59-61,,Defensive rebound by N. Bjelica
10:33.0,,,59-61,,K. Towns misses 3-pt shot from 25 ft
10:30.0,,,59-61,,Offensive rebound by T. Gibson
10:22.0,,,59-61,,A. Wiggins misses 2-pt shot from 3 ft
10:21.0,Defensive rebound by Team,,59-61,,
10:03.0,T. Harris misses 2-pt shot from 12 ft,,59-61,,
10:01.0,,,59-61,,Defensive rebound by Team
10:01.0,Loose ball foul by T. Harris (drawn by N. Bjelica),,59-61,,
9:51.0,,,59-63,2,K. Towns makes 2-pt shot at rim (assist by J. Teague)
9:51.0,,,59-63,,Shooting foul by T. Harris (drawn by K. Towns)
9:51.0,M. Harrell enters the game for T. Harris,,59-63,,
9:51.0,,,59-64,1,K. Towns makes free throw 1 of 1
9:29.0,M. Teodosic misses 2-pt shot from 20 ft,,59-64,,
9:25.0,,,59-64,,Defensive rebound by K. Towns
9:24.0,Personal foul by M. Teodosic (drawn by K. Towns),,59-64,,
9:16.0,,,59-64,,Shooting foul by M. Harrell (drawn by K. Towns)
9:16.0,,,59-64,,K. Towns misses free throw 1 of 2
9:16.0,,,59-64,,Offensive rebound by Team
9:16.0,,,59-65,1,K. Towns makes free throw 2 of 2
8:53.0,A. Rivers misses 3-pt shot from 25 ft,,59-65,,
8:52.0,Offensive rebound by Team,,59-65,,
8:52.0,Turnover by Team (shot clock),,59-65,,
8:41.0,,,59-67,2,J. Teague makes 2-pt shot at rim
8:40.0,LA Clippers full timeout,,59-67,,
8:40.0,L. Williams enters the game for M. Teodosic,,59-67,,
8:29.0,L. Williams misses 2-pt shot from 15 ft,,59-67,,
8:26.0,,,59-67,,Defensive rebound by A. Wiggins
8:14.0,,,59-69,2,J. Teague makes 2-pt shot from 3 ft
8:06.0,A. Rivers misses 2-pt shot from 2 ft,,59-69,,
8:04.0,,,59-69,,Defensive rebound by Team
8:04.0,S. Kilpatrick enters the game for A. Rivers,,59-69,,
7:52.0,,,59-72,3,A. Wiggins makes 3-pt shot from 22 ft (assist by J. Teague)
7:31.0,S. Kilpatrick misses 3-pt shot from 24 ft,,59-72,,
7:27.0,,,59-72,,Defensive rebound by N. Bjelica
7:22.0,,,59-72,,N. Bjelica misses 3-pt shot from 26 ft
7:20.0,Defensive rebound by D. Jordan,,59-72,,
7:07.0,M. Harrell makes 2-pt shot from 1 ft (assist by L. Williams),2,61-72,,
6:49.0,,,61-72,,Offensive charge foul by J. Teague (drawn by M. Harrell)
6:49.0,,,61-72,,Turnover by J. Teague (offensive foul)
6:49.0,A. Rivers enters the game for S. Thornwell,,61-72,,
6:38.0,Shooting foul by K. Towns (drawn by L. Williams),,61-72,,
6:38.0,L. Williams makes free throw 1 of 2,1,62-72,,
6:38.0,,,62-72,,J. Crawford enters the game for N. Bjelica
6:38.0,L. Williams makes free throw 2 of 2,1,63-72,,
6:25.0,,,63-72,,K. Towns misses 3-pt shot from 25 ft
6:22.0,Defensive rebound by S. Kilpatrick,,63-72,,
6:10.0,Turnover by L. Williams (bad pass),,63-72,,
6:00.0,,,63-74,2,J. Teague makes 2-pt shot from 10 ft
5:41.0,Turnover by L. Williams (turnover),,63-74,,
5:41.0,Personal foul by D. Jordan (drawn by J. Crawford),,63-74,,
5:41.0,LA Clippers full timeout,,63-74,,
5:41.0,,,63-75,1,J. Crawford makes free throw 1 of 2
5:41.0,,,63-76,1,J. Crawford makes free throw 2 of 2
5:22.0,S. Kilpatrick makes 3-pt shot from 25 ft,3,66-76,,
4:58.0,,,66-76,,A. Wiggins misses 2-pt shot from 9 ft (block by A. Rivers)
4:56.0,Defensive rebound by M. Harrell,,66-76,,
4:50.0,L. Williams makes 2-pt shot from 19 ft,2,68-76,,
4:43.0,,,68-76,,Minnesota full timeout
4:32.0,,,68-76,,A. Wiggins misses 2-pt shot from 4 ft (block by M. Harrell)
4:29.0,Defensive rebound by A. Rivers,,68-76,,
4:23.0,M. Harrell misses 2-pt shot from 6 ft,,68-76,,
4:17.0,Offensive rebound by D. Jordan,,68-76,,
4:17.0,D. Jordan makes 2-pt shot at rim,2,70-76,,
4:05.0,,,70-78,2,K. Towns makes 2-pt shot from 20 ft
3:53.0,S. Kilpatrick misses 3-pt shot from 22 ft,,70-78,,
3:51.0,,,70-78,,Defensive rebound by T. Gibson
3:45.0,,,70-81,3,A. Wiggins makes 3-pt shot from 26 ft (assist by J. Teague)
3:30.0,Shooting foul by T. Gibson (drawn by M. Harrell),,70-81,,
3:30.0,M. Harrell misses free throw 1 of 2,,70-81,,
3:30.0,Offensive rebound by Team,,70-81,,
3:30.0,M. Harrell makes free throw 2 of 2,1,71-81,,
3:19.0,,,71-83,2,J. Teague makes 2-pt shot from 11 ft
2:59.0,S. Kilpatrick makes 2-pt shot from 15 ft (assist by L. Williams),2,73-83,,
2:43.0,,,73-85,2,J. Teague makes 2-pt shot from 6 ft
2:19.0,M. Harrell makes 2-pt shot from 4 ft (assist by L. Williams),2,75-85,,
2:02.0,,,75-85,,Shooting foul by M. Harrell (drawn by A. Wiggins)
2:02.0,,,75-86,1,A. Wiggins makes free throw 1 of 2
2:02.0,S. Thornwell enters the game for S. Kilpatrick,,75-86,,
2:02.0,,,75-87,1,A. Wiggins makes free throw 2 of 2
1:49.0,M. Harrell misses 2-pt shot from 15 ft,,75-87,,
1:47.0,Offensive rebound by Team,,75-87,,
1:42.0,A. Rivers makes 3-pt shot from 25 ft (assist by S. Thornwell),3,78-87,,
1:21.0,,,78-90,3,A. Wiggins makes 3-pt shot from 23 ft (assist by K. Towns)
1:12.0,,,78-90,,Shooting block foul by J. Teague (drawn by L. Williams)
1:12.0,L. Williams makes free throw 1 of 2,1,79-90,,
1:12.0,L. Williams makes free throw 2 of 2,1,80-90,,
1:05.0,Personal foul by L. Williams (drawn by J. Crawford),,80-90,,
1:05.0,,,80-91,1,J. Crawford makes free throw 1 of 2
1:05.0,,,80-91,,N. Bjelica enters the game for A. Wiggins
1:05.0,,,80-92,1,J. Crawford makes free throw 2 of 2
0:59.0,Turnover by L. Williams (bad pass),,80-92,,
0:59.0,M. Teodosic enters the game for S. Thornwell,,80-92,,
0:50.0,,,80-92,,J. Crawford misses 2-pt shot from 16 ft
0:47.0,Defensive rebound by D. Jordan,,80-92,,
0:35.0,M. Harrell misses 2-pt shot from 2 ft,,80-92,,
0:32.0,,,80-92,,Defensive rebound by N. Bjelica
0:28.0,,,80-94,2,T. Gibson makes 2-pt shot from 1 ft (assist by J. Teague)
0:28.0,,,80-94,,Shooting foul by D. Jordan (drawn by T. Gibson)
0:28.0,,,80-94,,T. Jones enters the game for J. Teague
0:28.0,,,80-94,,G. Dieng enters the game for K. Towns
0:28.0,T. Harris enters the game for D. Jordan,,80-94,,
0:28.0,,,80-95,1,T. Gibson makes free throw 1 of 1
0:08.0,M. Teodosic makes 3-pt shot from 25 ft,3,83-95,,
0:00.0,,,83-95,,J. Crawford misses 3-pt shot from 24 ft
0:00.0,,,83-95,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,,,83-95,,N. Bjelica misses 3-pt shot from 22 ft
11:43.0,Defensive rebound by T. Harris,,83-95,,
11:38.0,Shooting foul by A. Wiggins (drawn by L. Williams),,83-95,,
11:38.0,L. Williams makes free throw 1 of 2,1,84-95,,
11:38.0,,,84-95,,K. Towns enters the game for T. Jones
11:38.0,,,84-95,,J. Teague enters the game for G. Dieng
11:38.0,L. Williams makes free throw 2 of 2,1,85-95,,
11:23.0,,,85-95,,J. Crawford misses 3-pt shot from 25 ft
11:20.0,Defensive rebound by T. Harris,,85-95,,
11:08.0,L. Williams misses 3-pt shot from 23 ft,,85-95,,
11:05.0,,,85-95,,Defensive rebound by J. Teague
10:50.0,,,85-97,2,J. Teague makes 2-pt shot from 1 ft
10:33.0,M. Teodosic makes 2-pt shot from 21 ft,2,87-97,,
10:17.0,,,87-97,,J. Teague misses 2-pt shot from 1 ft
10:15.0,Defensive rebound by M. Harrell,,87-97,,
10:08.0,A. Rivers misses 3-pt shot from 25 ft,,87-97,,
10:05.0,,,87-97,,Defensive rebound by K. Towns
10:00.0,,,87-99,2,N. Bjelica makes 2-pt shot from 1 ft
9:48.0,L. Williams makes 2-pt shot from 1 ft,2,89-99,,
9:33.0,,,89-99,,Shooting foul by M. Harrell (drawn by A. Wiggins)
9:33.0,,,89-100,1,A. Wiggins makes free throw 1 of 2
9:33.0,,,89-101,1,A. Wiggins makes free throw 2 of 2
9:24.0,M. Teodosic misses 3-pt shot from 24 ft,,89-101,,
9:22.0,,,89-101,,Defensive rebound by N. Bjelica
9:13.0,,,89-104,3,K. Towns makes 3-pt shot from 24 ft (assist by J. Teague)
8:56.0,T. Harris makes 2-pt shot from 2 ft,2,91-104,,
8:40.0,,,91-104,,Turnover by A. Wiggins (traveling)
8:40.0,D. Jordan enters the game for M. Harrell,,91-104,,
8:31.0,T. Harris misses 3-pt shot from 24 ft,,91-104,,
8:29.0,Offensive rebound by Team,,91-104,,
8:29.0,,,91-104,,Loose ball foul by K. Towns (drawn by D. Jordan)
8:29.0,,,91-104,,T. Gibson enters the game for N. Bjelica
8:20.0,T. Harris misses 3-pt shot from 24 ft,,91-104,,
8:17.0,,,91-104,,Defensive rebound by J. Teague
8:07.0,,,91-106,2,T. Gibson makes 2-pt shot at rim (assist by J. Teague)
8:05.0,LA Clippers full timeout,,91-106,,
7:51.0,T. Harris misses 2-pt shot at rim,,91-106,,
7:48.0,,,91-106,,Defensive rebound by J. Crawford
7:33.0,,,91-108,2,J. Teague makes 2-pt shot from 1 ft
7:24.0,J. Evans enters the game for M. Teodosic,,91-108,,
7:24.0,S. Kilpatrick enters the game for D. Jordan,,91-108,,
7:24.0,S. Dekker enters the game for L. Williams,,91-108,,
7:24.0,M. Harrell enters the game for A. Rivers,,91-108,,
7:24.0,W. Johnson enters the game for T. Harris,,91-108,,
7:10.0,J. Evans misses 2-pt shot from 20 ft,,91-108,,
7:08.0,,,91-108,,Defensive rebound by T. Gibson
6:50.0,,,91-110,2,J. Crawford makes 2-pt shot from 18 ft
6:31.0,S. Dekker misses 2-pt shot from 1 ft,,91-110,,
6:29.0,,,91-110,,Defensive rebound by T. Gibson
6:12.0,,,91-110,,J. Crawford misses 3-pt shot from 24 ft
6:10.0,,,91-110,,Offensive rebound by K. Towns
6:03.0,Personal foul by J. Evans (drawn by J. Teague),,91-110,,
5:49.0,,,91-110,,T. Gibson misses 2-pt shot from 8 ft
5:46.0,Defensive rebound by W. Johnson,,91-110,,
5:42.0,S. Dekker makes 2-pt shot from 1 ft (assist by W. Johnson),2,93-110,,
5:42.0,Shooting foul by A. Wiggins (drawn by S. Dekker),,93-110,,
5:42.0,S. Dekker misses free throw 1 of 1,,93-110,,
5:38.0,Offensive rebound by W. Johnson,,93-110,,
5:36.0,S. Kilpatrick misses 3-pt shot from 25 ft,,93-110,,
5:34.0,,,93-110,,Defensive rebound by K. Towns
5:15.0,,,93-113,3,J. Teague makes 3-pt shot from 25 ft
5:04.0,Turnover by J. Evans (bad pass; steal by A. Wiggins),,93-113,,
4:59.0,,,93-113,,Turnover by J. Crawford (bad pass; steal by J. Evans)
