time,Golden State,pts.away,score,pts.home,Brooklyn
8:03.0,Offensive rebound by K. Thompson,,6-8,,
8:03.0,K. Thompson makes 2-pt shot at rim,2,8-8,,
7:54.0,,,8-8,,R. Hollis-Jefferson misses 2-pt shot from 14 ft
7:52.0,Defensive rebound by O. Casspi,,8-8,,
7:45.0,D. Green misses 2-pt shot from 4 ft,,8-8,,
7:43.0,,,8-8,,Defensive rebound by R. Hollis-Jefferson
7:39.0,,,8-10,2,R. Hollis-Jefferson makes 2-pt shot from 1 ft
7:31.0,O. Casspi misses 2-pt shot at rim,,8-10,,
7:28.0,,,8-10,,Defensive rebound by S. Dinwiddie
7:23.0,,,8-10,,R. Hollis-Jefferson misses 2-pt shot from 9 ft
7:21.0,Defensive rebound by S. Curry,,8-10,,
7:17.0,S. Curry misses 3-pt shot from 28 ft,,8-10,,
7:14.0,,,8-10,,Defensive rebound by A. Crabbe
6:59.0,,,8-10,,T. Booker misses 2-pt shot from 7 ft (block by O. Casspi)
6:53.0,Defensive rebound by K. Thompson,,8-10,,
6:47.0,O. Casspi misses 2-pt shot from 2 ft,,8-10,,
6:45.0,,,8-10,,Defensive rebound by R. Hollis-Jefferson
6:40.0,,,8-10,,R. Hollis-Jefferson misses 2-pt shot from 2 ft
6:40.0,Defensive rebound by Z. Pachulia,,8-10,,
6:32.0,K. Thompson misses 2-pt shot from 3 ft,,8-10,,
6:32.0,Offensive rebound by O. Casspi,,8-10,,
6:31.0,O. Casspi makes 2-pt shot at rim,2,10-10,,
6:31.0,,,10-10,,Brooklyn full timeout
6:31.0,,,10-10,,T. Zeller enters the game for R. Hollis-Jefferson
6:31.0,,,10-10,,Q. Acy enters the game for T. Booker
6:21.0,,,10-10,,A. Crabbe misses 3-pt shot from 24 ft
6:18.0,Defensive rebound by K. Thompson,,10-10,,
6:08.0,S. Curry makes 2-pt shot from 20 ft (assist by Z. Pachulia),2,12-10,,
5:53.0,,,12-10,,Turnover by A. Crabbe (bad pass; steal by S. Curry)
5:49.0,S. Curry makes 2-pt shot from 2 ft,2,14-10,,
5:34.0,,,14-10,,T. Zeller misses 2-pt shot from 2 ft
5:32.0,Defensive rebound by O. Casspi,,14-10,,
5:26.0,K. Thompson makes 2-pt shot at rim (assist by D. Green),2,16-10,,
5:09.0,,,16-10,,Q. Acy misses 3-pt shot from 22 ft (block by D. Green)
5:09.0,,,16-10,,Offensive rebound by Team
5:09.0,A. Iguodala enters the game for O. Casspi,,16-10,,
5:09.0,J. McGee enters the game for Z. Pachulia,,16-10,,
5:04.0,,,16-12,2,A. Crabbe makes 2-pt shot from 20 ft (assist by S. Dinwiddie)
4:53.0,S. Curry misses 2-pt shot from 14 ft,,16-12,,
4:51.0,,,16-12,,Defensive rebound by D. Carroll
4:42.0,,,16-12,,S. Dinwiddie misses 3-pt shot from 29 ft
4:41.0,Defensive rebound by K. Thompson,,16-12,,
4:27.0,Shooting foul by S. Dinwiddie (drawn by S. Curry),,16-12,,
4:27.0,S. Curry makes free throw 1 of 2,1,17-12,,
4:27.0,N. Young enters the game for K. Thompson,,17-12,,
4:27.0,S. Curry misses free throw 2 of 2,,17-12,,
4:27.0,,,17-12,,J. Harris enters the game for A. Crabbe
4:25.0,,,17-12,,Offensive rebound by Q. Acy
4:10.0,,,17-12,,D. Carroll misses 3-pt shot from 24 ft
4:08.0,Defensive rebound by A. Iguodala,,17-12,,
4:03.0,A. Iguodala makes free throw 1 of 2,1,18-12,,
4:03.0,,,18-12,,C. LeVert enters the game for S. Dinwiddie
4:03.0,Shooting foul by S. Dinwiddie (drawn by A. Iguodala),,18-12,,
4:03.0,A. Iguodala misses free throw 2 of 2,,18-12,,
4:01.0,,,18-12,,Defensive rebound by T. Zeller
3:54.0,,,18-12,,T. Zeller misses 2-pt shot from 21 ft
3:51.0,Defensive rebound by J. McGee,,18-12,,
3:39.0,N. Young misses 2-pt shot from 16 ft,,18-12,,
3:36.0,Offensive rebound by S. Curry,,18-12,,
3:34.0,N. Young makes 3-pt shot from 22 ft (assist by S. Curry),3,21-12,,
3:23.0,,,21-15,3,J. Harris makes 3-pt shot from 24 ft (assist by D. Carroll)
3:11.0,J. McGee makes 2-pt shot from 1 ft (assist by D. Green),2,23-15,,
2:47.0,,,23-17,2,T. Zeller makes 2-pt shot from 1 ft (assist by C. LeVert)
2:47.0,,,23-17,,Shooting foul by D. Green (drawn by T. Zeller)
2:47.0,Golden State full timeout,,23-17,,
2:47.0,,,23-17,,S. Kilpatrick enters the game for D. Carroll
2:47.0,O. Casspi enters the game for D. Green,,23-17,,
2:47.0,,,23-17,,T. Zeller misses free throw 1 of 1
2:47.0,Defensive rebound by O. Casspi,,23-17,,
2:34.0,S. Curry makes 3-pt shot from 25 ft (assist by J. McGee),3,26-17,,
2:17.0,Personal foul by N. Young (drawn by Q. Acy),,26-17,,
2:05.0,,,26-17,,S. Kilpatrick misses 2-pt shot from 1 ft (block by J. McGee)
2:04.0,Defensive rebound by N. Young,,26-17,,
2:03.0,Turnover by N. Young (lost ball; steal by T. Zeller),,26-17,,
1:58.0,,,26-17,,S. Kilpatrick misses 3-pt shot from 24 ft
1:56.0,Defensive rebound by S. Curry,,26-17,,
1:51.0,S. Curry makes 3-pt shot from 24 ft,3,29-17,,
1:34.0,,,29-20,3,Q. Acy makes 3-pt shot from 24 ft (assist by S. Kilpatrick)
1:25.0,Turnover by S. Curry (lost ball; steal by C. LeVert),,29-20,,
1:09.0,,,29-20,,C. LeVert misses 2-pt shot from 16 ft
1:07.0,Defensive rebound by J. McGee,,29-20,,
1:02.0,N. Young makes 3-pt shot from 25 ft (assist by S. Curry),3,32-20,,
0:50.0,,,32-20,,J. Harris misses 3-pt shot from 25 ft
0:48.0,Defensive rebound by J. McGee,,32-20,,
0:48.0,,,32-20,,Loose ball foul by T. Zeller (drawn by J. McGee)
0:33.0,J. McGee misses 2-pt shot from 18 ft,,32-20,,
0:29.0,,,32-20,,Defensive rebound by C. LeVert
0:21.0,,,32-20,,C. LeVert misses 2-pt shot from 1 ft (block by J. McGee)
0:18.0,Defensive rebound by A. Iguodala,,32-20,,
0:04.0,S. Curry misses 3-pt shot from 25 ft,,32-20,,
0:02.0,,,32-20,,Defensive rebound by S. Kilpatrick
0:00.0,,,32-20,,S. Kilpatrick misses 3-pt shot from 25 ft
0:00.0,,,32-20,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,N. Young makes 2-pt shot from 18 ft (assist by A. Iguodala),2,34-20,,
11:35.0,,,34-20,,J. Harris misses 3-pt shot from 24 ft
11:35.0,,,34-20,,Offensive rebound by T. Zeller
11:33.0,,,34-20,,Shooting foul by A. Iguodala (drawn by J. Harris)
11:33.0,,,34-21,1,J. Harris makes free throw 1 of 2
11:33.0,,,34-21,,J. Harris misses free throw 2 of 2
11:31.0,Defensive rebound by K. Thompson,,34-21,,
11:19.0,D. West makes 2-pt shot from 20 ft (assist by A. Iguodala),2,36-21,,
10:54.0,,,36-21,,R. Hollis-Jefferson misses 2-pt shot from 2 ft (block by D. West)
10:51.0,Defensive rebound by K. Thompson,,36-21,,
10:46.0,N. Young misses 3-pt shot from 23 ft,,36-21,,
10:43.0,,,36-21,,Defensive rebound by C. LeVert
10:37.0,,,36-21,,C. LeVert misses 3-pt shot from 24 ft
10:33.0,Defensive rebound by N. Young,,36-21,,
10:24.0,A. Iguodala makes 2-pt shot from 18 ft (assist by D. West),2,38-21,,
10:23.0,,,38-21,,Brooklyn full timeout
10:01.0,,,38-21,,S. Kilpatrick misses 2-pt shot from 11 ft
9:58.0,Defensive rebound by N. Young,,38-21,,
9:35.0,D. West misses 2-pt shot from 16 ft,,38-21,,
9:32.0,,,38-21,,Defensive rebound by S. Kilpatrick
9:27.0,,,38-23,2,S. Kilpatrick makes 2-pt shot from 6 ft
9:09.0,N. Young misses 3-pt shot from 23 ft,,38-23,,
9:06.0,,,38-23,,Defensive rebound by S. Kilpatrick
9:02.0,,,38-23,,J. Harris misses 3-pt shot from 22 ft
9:00.0,Defensive rebound by A. Iguodala,,38-23,,
8:46.0,K. Thompson makes 2-pt shot from 1 ft (assist by D. West),2,40-23,,
8:28.0,,,40-23,,C. LeVert misses 2-pt shot from 10 ft
8:27.0,Defensive rebound by D. West,,40-23,,
8:17.0,,,40-23,,Q. Acy enters the game for T. Zeller
8:17.0,P. McCaw enters the game for N. Young,,40-23,,
8:12.0,K. Thompson makes 2-pt shot from 21 ft (assist by A. Iguodala),2,42-23,,
8:01.0,,,42-23,,S. Kilpatrick misses 3-pt shot from 26 ft
7:59.0,,,42-23,,Offensive rebound by R. Hollis-Jefferson
7:54.0,,,42-23,,R. Hollis-Jefferson misses 2-pt shot from 1 ft (block by D. West)
7:51.0,,,42-23,,Offensive rebound by R. Hollis-Jefferson
7:50.0,,,42-25,2,R. Hollis-Jefferson makes 2-pt shot from 1 ft
7:36.0,A. Iguodala misses 2-pt shot from 16 ft,,42-25,,
7:34.0,,,42-25,,Defensive rebound by S. Kilpatrick
7:29.0,,,42-25,,S. Kilpatrick misses 2-pt shot from 4 ft
7:26.0,Defensive rebound by D. West,,42-25,,
7:22.0,A. Iguodala misses 2-pt shot from 1 ft,,42-25,,
7:19.0,,,42-25,,Defensive rebound by Q. Acy
7:19.0,Personal foul by S. Livingston (drawn by R. Hollis-Jefferson),,42-25,,
7:19.0,,,42-25,,A. Crabbe enters the game for S. Kilpatrick
7:19.0,,,42-25,,S. Dinwiddie enters the game for C. LeVert
7:10.0,,,42-25,,Shooting foul by D. West (drawn by Q. Acy)
7:10.0,,,42-25,,Q. Acy misses free throw 1 of 3
7:10.0,,,42-25,,Offensive rebound by Team
7:10.0,,,42-26,1,Q. Acy makes free throw 2 of 3
7:10.0,D. Green enters the game for A. Iguodala,,42-26,,
7:10.0,,,42-27,1,Q. Acy makes free throw 3 of 3
7:00.0,K. Thompson makes 2-pt shot from 23 ft (assist by S. Livingston),2,44-27,,
6:47.0,,,44-27,,Shooting foul by D. Green (drawn by J. Harris)
6:47.0,,,44-28,1,J. Harris makes free throw 1 of 2
6:47.0,,,44-28,,D. Carroll enters the game for R. Hollis-Jefferson
6:47.0,,,44-29,1,J. Harris makes free throw 2 of 2
6:32.0,,,44-29,,Personal foul by A. Crabbe (drawn by K. Thompson)
6:32.0,K. Looney enters the game for D. West,,44-29,,
6:30.0,Turnover by S. Livingston (bad pass),,44-29,,
6:18.0,,,44-29,,A. Crabbe misses 2-pt shot from 21 ft
6:15.0,Defensive rebound by P. McCaw,,44-29,,
6:11.0,S. Livingston makes 2-pt shot from 16 ft,2,46-29,,
5:52.0,,,46-29,,Q. Acy misses 3-pt shot from 22 ft
5:50.0,Defensive rebound by D. Green,,46-29,,
5:44.0,Shooting foul by D. Carroll (drawn by D. Green),,46-29,,
5:44.0,D. Green makes free throw 1 of 2,1,47-29,,
5:44.0,,,47-29,,J. Allen enters the game for Q. Acy
5:44.0,S. Curry enters the game for K. Thompson,,47-29,,
5:44.0,D. Green makes free throw 2 of 2,1,48-29,,
5:27.0,,,48-29,,S. Dinwiddie misses 2-pt shot from 1 ft
5:25.0,Defensive rebound by D. Green,,48-29,,
5:22.0,Shooting foul by S. Dinwiddie (drawn by S. Curry),,48-29,,
5:22.0,S. Curry makes free throw 1 of 2,1,49-29,,
5:22.0,,,49-29,,C. LeVert enters the game for S. Dinwiddie
5:22.0,S. Curry makes free throw 2 of 2,1,50-29,,
5:06.0,,,50-29,,J. Allen misses 2-pt shot from 4 ft
5:04.0,Defensive rebound by S. Curry,,50-29,,
4:57.0,D. Green misses 3-pt shot from 25 ft,,50-29,,
4:55.0,,,50-29,,Defensive rebound by D. Carroll
4:47.0,,,50-29,,D. Carroll misses 2-pt shot from 3 ft (block by K. Looney)
4:47.0,,,50-29,,Offensive rebound by Team
4:39.0,,,50-29,,A. Crabbe misses 3-pt shot from 23 ft (block by D. Green)
4:37.0,Defensive rebound by S. Curry,,50-29,,
4:23.0,S. Curry misses 3-pt shot from 25 ft,,50-29,,
4:20.0,,,50-29,,Defensive rebound by J. Allen
4:12.0,,,50-32,3,D. Carroll makes 3-pt shot from 22 ft (assist by C. LeVert)
4:12.0,,,50-32,,Shooting foul by S. Curry (drawn by D. Carroll)
4:12.0,Golden State full timeout,,50-32,,
4:12.0,,,50-32,,T. Booker enters the game for J. Harris
4:12.0,A. Iguodala enters the game for S. Livingston,,50-32,,
4:12.0,,,50-32,,D. Carroll misses free throw 1 of 1
4:10.0,Defensive rebound by S. Curry,,50-32,,
3:59.0,K. Looney makes 2-pt shot from 2 ft (assist by S. Curry),2,52-32,,
3:59.0,,,52-32,,Shooting block foul by T. Booker (drawn by K. Looney)
3:59.0,K. Looney misses free throw 1 of 1,,52-32,,
3:57.0,,,52-32,,Defensive rebound by D. Carroll
3:35.0,,,52-35,3,A. Crabbe makes 3-pt shot from 24 ft (assist by C. LeVert)
3:20.0,S. Curry misses 3-pt shot from 23 ft,,52-35,,
3:16.0,Offensive rebound by K. Looney,,52-35,,
3:10.0,D. Green misses 3-pt shot from 24 ft,,52-35,,
3:07.0,,,52-35,,Defensive rebound by A. Crabbe
3:05.0,,,52-35,,Turnover by A. Crabbe (bad pass; steal by S. Curry)
3:03.0,K. Looney makes 2-pt shot at rim (assist by S. Curry),2,54-35,,
3:01.0,Shooting foul by A. Crabbe (drawn by K. Looney),,54-35,,
3:01.0,K. Looney misses free throw 1 of 1,,54-35,,
2:59.0,,,54-35,,Defensive rebound by A. Crabbe
2:48.0,Personal foul by S. Curry (drawn by D. Carroll),,54-35,,
2:48.0,,,54-36,1,D. Carroll makes free throw 1 of 2
2:48.0,J. Bell enters the game for P. McCaw,,54-36,,
2:48.0,K. Thompson enters the game for D. Green,,54-36,,
2:48.0,,,54-37,1,D. Carroll makes free throw 2 of 2
2:40.0,S. Curry makes 2-pt shot from 16 ft,2,56-37,,
2:22.0,,,56-39,2,C. LeVert makes 2-pt shot from 1 ft
2:11.0,S. Curry makes 3-pt shot from 24 ft,3,59-39,,
1:59.0,,,59-39,,A. Crabbe misses 3-pt shot from 24 ft
1:56.0,Defensive rebound by K. Looney,,59-39,,
1:51.0,S. Curry makes 2-pt shot from 1 ft,2,61-39,,
1:43.0,,,61-39,,Turnover by D. Carroll (step out of bounds)
1:27.0,K. Looney misses 2-pt shot from 1 ft (block by J. Allen),,61-39,,
1:24.0,,,61-39,,Defensive rebound by C. LeVert
1:21.0,,,61-39,,Turnover by A. Crabbe (step out of bounds)
1:09.0,K. Thompson misses 2-pt shot from 15 ft,,61-39,,
1:06.0,,,61-39,,Defensive rebound by J. Allen
0:48.0,,,61-41,2,D. Carroll makes 2-pt shot from 10 ft
0:43.0,S. Curry misses 2-pt shot from 22 ft,,61-41,,
0:41.0,Offensive rebound by S. Curry,,61-41,,
0:38.0,Offensive foul by S. Curry (drawn by A. Crabbe),,61-41,,
0:38.0,Turnover by S. Curry (offensive foul),,61-41,,
0:38.0,,,61-41,,J. Harris enters the game for T. Booker
0:38.0,P. McCaw enters the game for S. Curry,,61-41,,
0:32.0,,,61-41,,Shooting foul by K. Looney (drawn by D. Carroll)
0:32.0,,,61-42,1,D. Carroll makes free throw 1 of 2
0:32.0,,,61-42,,D. Carroll misses free throw 2 of 2
0:30.0,Defensive rebound by J. Bell,,61-42,,
0:10.0,A. Iguodala makes 3-pt shot from 25 ft,3,64-42,,
0:04.0,,,64-42,,C. LeVert misses 2-pt shot from 1 ft (block by K. Looney)
0:01.0,Defensive rebound by K. Thompson,,64-42,,
0:00.0,A. Iguodala misses 3-pt shot from 48 ft,,64-42,,
0:00.0,Offensive rebound by Team,,64-42,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,S. Curry makes 2-pt shot from 2 ft (assist by D. Green),2,66-42,,
11:24.0,,,66-42,,R. Hollis-Jefferson misses 2-pt shot from 8 ft
11:21.0,,,66-42,,Offensive rebound by D. Carroll
11:20.0,,,66-42,,D. Carroll misses 2-pt shot from 2 ft (block by O. Casspi)
11:20.0,,,66-42,,Offensive rebound by D. Carroll
11:18.0,,,66-42,,R. Hollis-Jefferson misses 2-pt shot from 1 ft
11:15.0,Defensive rebound by O. Casspi,,66-42,,
11:09.0,D. Green misses 2-pt shot from 12 ft,,66-42,,
11:06.0,,,66-42,,Defensive rebound by A. Crabbe
11:03.0,,,66-44,2,R. Hollis-Jefferson makes 2-pt shot from 1 ft (assist by S. Dinwiddie)
11:03.0,,,66-44,,Shooting foul by D. Green (drawn by R. Hollis-Jefferson)
11:03.0,,,66-45,1,R. Hollis-Jefferson makes free throw 1 of 1
10:48.0,Z. Pachulia makes 2-pt shot from 3 ft (assist by K. Thompson),2,68-45,,
10:48.0,Shooting foul by T. Zeller (drawn by Z. Pachulia),,68-45,,
10:48.0,Z. Pachulia makes free throw 1 of 1,1,69-45,,
10:32.0,,,69-45,,D. Carroll misses 3-pt shot from 22 ft
10:29.0,Defensive rebound by D. Green,,69-45,,
10:13.0,D. Green makes 3-pt shot from 25 ft (assist by Z. Pachulia),3,72-45,,
9:56.0,,,72-48,3,A. Crabbe makes 3-pt shot from 24 ft (assist by S. Dinwiddie)
9:48.0,O. Casspi makes 2-pt shot from 4 ft (assist by S. Curry),2,74-48,,
9:35.0,,,74-48,,A. Crabbe misses 3-pt shot from 23 ft
9:35.0,Defensive rebound by S. Curry,,74-48,,
9:27.0,S. Curry misses 2-pt shot from 7 ft,,74-48,,
9:24.0,,,74-48,,Defensive rebound by R. Hollis-Jefferson
9:13.0,,,74-50,2,S. Dinwiddie makes 2-pt shot from 1 ft
8:52.0,O. Casspi makes 2-pt shot from 2 ft (assist by Z. Pachulia),2,76-50,,
8:36.0,,,76-50,,R. Hollis-Jefferson misses 3-pt shot from 21 ft
8:34.0,Defensive rebound by O. Casspi,,76-50,,
8:27.0,S. Curry makes 2-pt shot from 18 ft,2,78-50,,
8:26.0,,,78-50,,Brooklyn full timeout
8:07.0,,,78-53,3,A. Crabbe makes 3-pt shot from 25 ft (assist by R. Hollis-Jefferson)
7:51.0,Turnover by D. Green (bad pass; steal by T. Zeller),,78-53,,
7:41.0,,,78-56,3,S. Dinwiddie makes 3-pt shot from 25 ft (assist by D. Carroll)
7:25.0,,,78-56,,Personal foul by D. Carroll (drawn by O. Casspi)
7:18.0,Z. Pachulia misses 2-pt shot from 14 ft,,78-56,,
7:15.0,Offensive rebound by S. Curry,,78-56,,
7:10.0,S. Curry misses 3-pt shot from 22 ft,,78-56,,
7:09.0,Offensive rebound by Team,,78-56,,
7:09.0,,,78-56,,Loose ball foul by T. Zeller (drawn by Z. Pachulia)
6:56.0,K. Thompson makes 2-pt shot from 14 ft,2,80-56,,
6:41.0,,,80-56,,Shooting foul by S. Curry (drawn by S. Dinwiddie)
6:41.0,,,80-57,1,S. Dinwiddie makes free throw 1 of 2
6:41.0,,,80-57,,Q. Acy enters the game for T. Zeller
6:41.0,,,80-58,1,S. Dinwiddie makes free throw 2 of 2
6:31.0,O. Casspi makes 2-pt shot from 8 ft (assist by S. Curry),2,82-58,,
6:22.0,,,82-58,,Offensive foul by R. Hollis-Jefferson (drawn by S. Curry)
6:22.0,,,82-58,,Turnover by R. Hollis-Jefferson (offensive foul)
6:02.0,Offensive foul by K. Thompson (drawn by Q. Acy),,82-58,,
6:02.0,Turnover by K. Thompson (offensive foul),,82-58,,
5:47.0,,,82-58,,Q. Acy misses 2-pt shot at rim
5:44.0,Defensive rebound by D. Green,,82-58,,
5:40.0,S. Curry misses 3-pt shot from 24 ft,,82-58,,
5:37.0,,,82-58,,Defensive rebound by R. Hollis-Jefferson
5:29.0,,,82-58,,Turnover by S. Dinwiddie (lost ball; steal by K. Thompson)
5:21.0,,,82-58,,Personal block foul by Q. Acy (drawn by S. Curry)
5:21.0,J. McGee enters the game for O. Casspi,,82-58,,
5:21.0,A. Iguodala enters the game for Z. Pachulia,,82-58,,
5:10.0,A. Iguodala makes 2-pt shot from 1 ft (assist by S. Curry),2,84-58,,
4:44.0,,,84-61,3,R. Hollis-Jefferson makes 3-pt shot from 22 ft (assist by S. Dinwiddie)
4:28.0,D. Green misses 2-pt shot from 13 ft,,84-61,,
4:26.0,,,84-61,,Defensive rebound by R. Hollis-Jefferson
4:20.0,,,84-64,3,A. Crabbe makes 3-pt shot from 24 ft (assist by R. Hollis-Jefferson)
4:19.0,Golden State full timeout,,84-64,,
4:19.0,,,84-64,,J. Harris enters the game for S. Dinwiddie
4:19.0,,,84-64,,C. LeVert enters the game for D. Carroll
4:19.0,N. Young enters the game for K. Thompson,,84-64,,
4:06.0,D. Green misses 3-pt shot from 22 ft,,84-64,,
4:03.0,,,84-64,,Defensive rebound by C. LeVert
3:40.0,,,84-66,2,A. Crabbe makes 2-pt shot from 3 ft (assist by R. Hollis-Jefferson)
3:21.0,S. Curry makes 2-pt shot from 14 ft,2,86-66,,
3:09.0,,,86-68,2,A. Crabbe makes 2-pt shot from 1 ft (assist by C. LeVert)
2:52.0,S. Curry makes 2-pt shot from 4 ft (assist by J. McGee),2,88-68,,
2:43.0,,,88-71,2,C. LeVert makes 3-pt shot from 24 ft (assist by R. Hollis-Jefferson)
2:28.0,S. Curry makes 3-pt shot from 25 ft,3,91-71,,
2:16.0,,,91-73,2,R. Hollis-Jefferson makes 2-pt shot from 1 ft
2:16.0,,,91-73,,Shooting foul by J. McGee (drawn by R. Hollis-Jefferson)
2:16.0,O. Casspi enters the game for J. McGee,,91-73,,
2:16.0,K. Looney enters the game for D. Green,,91-73,,
2:16.0,,,91-74,1,R. Hollis-Jefferson makes free throw 1 of 1
2:04.0,,,91-74,,Personal foul by C. LeVert (drawn by S. Curry)
2:04.0,S. Curry makes free throw 1 of 2,1,92-74,,
2:04.0,S. Curry makes free throw 2 of 2,1,93-74,,
1:55.0,,,93-74,,A. Crabbe misses 2-pt shot from 2 ft (block by K. Looney)
1:52.0,Defensive rebound by S. Curry,,93-74,,
1:40.0,A. Iguodala makes 3-pt shot from 24 ft (assist by O. Casspi),3,96-74,,
1:33.0,,,96-74,,Shooting foul by K. Looney (drawn by R. Hollis-Jefferson)
1:33.0,,,96-75,1,R. Hollis-Jefferson makes free throw 1 of 2
1:33.0,,,96-75,,S. Dinwiddie enters the game for A. Crabbe
1:33.0,,,96-75,,R. Hollis-Jefferson misses free throw 2 of 2
1:30.0,Defensive rebound by O. Casspi,,96-75,,
1:23.0,Turnover by S. Curry (bad pass; steal by C. LeVert),,96-75,,
1:19.0,Shooting block foul by O. Casspi (drawn by C. LeVert),,96-75,,
1:19.0,,,96-75,,C. LeVert misses free throw 1 of 2
1:19.0,,,96-75,,Offensive rebound by Team
1:19.0,,,96-75,,C. LeVert misses free throw 2 of 2
1:17.0,Defensive rebound by K. Looney,,96-75,,
1:11.0,,,96-75,,Personal foul by Q. Acy (drawn by K. Looney)
1:11.0,K. Looney misses free throw 1 of 2,,96-75,,
1:11.0,Offensive rebound by Team,,96-75,,
1:11.0,K. Looney misses free throw 2 of 2,,96-75,,
1:09.0,,,96-75,,Defensive rebound by Q. Acy
0:54.0,,,96-77,2,C. LeVert makes 2-pt shot at rim
0:43.0,,,96-77,,Personal foul by S. Dinwiddie (drawn by S. Curry)
0:43.0,S. Curry makes free throw 1 of 2,1,97-77,,
0:43.0,S. Curry makes free throw 2 of 2,1,98-77,,
0:33.0,,,98-77,,Shooting foul by K. Looney (drawn by S. Dinwiddie)
0:33.0,,,98-78,1,S. Dinwiddie makes free throw 1 of 2
0:33.0,,,98-79,1,S. Dinwiddie makes free throw 2 of 2
0:27.0,Turnover by S. Curry (bad pass; steal by S. Dinwiddie),,98-79,,
0:21.0,,,98-82,3,C. LeVert makes 3-pt shot from 24 ft (assist by R. Hollis-Jefferson)
0:07.0,Offensive charge foul by S. Curry (drawn by Q. Acy),,98-82,,
0:07.0,Turnover by S. Curry (offensive foul),,98-82,,
0:07.0,,,98-82,,A. Crabbe enters the game for R. Hollis-Jefferson
0:07.0,P. McCaw enters the game for S. Curry,,98-82,,
0:01.0,,,98-82,,Shooting foul by N. Young (drawn by S. Dinwiddie)
0:01.0,,,98-83,1,S. Dinwiddie makes free throw 1 of 2
0:01.0,,,98-83,,R. Hollis-Jefferson enters the game for A. Crabbe
0:01.0,,,98-84,1,S. Dinwiddie makes free throw 2 of 2
0:00.0,A. Iguodala misses 3-pt shot from 82 ft,,98-84,,
0:00.0,Offensive rebound by Team,,98-84,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,,,98-84,,J. Harris misses 3-pt shot from 23 ft
11:44.0,,,98-84,,Offensive rebound by Q. Acy
11:42.0,,,98-84,,J. Harris misses 3-pt shot from 25 ft
11:40.0,Defensive rebound by A. Iguodala,,98-84,,
11:19.0,D. West makes 2-pt shot from 7 ft,2,100-84,,
10:56.0,,,100-84,,J. Harris misses 3-pt shot from 25 ft
10:55.0,,,100-84,,Offensive rebound by Q. Acy
10:51.0,,,100-86,2,C. LeVert makes 2-pt shot from 2 ft
10:51.0,,,100-86,,Shooting foul by D. West (drawn by C. LeVert)
10:51.0,,,100-87,1,C. LeVert makes free throw 1 of 1
10:44.0,Turnover by K. Thompson (out of bounds lost ball),,100-87,,
10:31.0,,,100-87,,Shooting foul by D. West (drawn by S. Dinwiddie)
