time,Memphis,pts.away,score,pts.home,Washington
0:28.0,,,12-22,,Shooting foul by D. Davis (drawn by T. Satoransky)
0:28.0,,,12-22,,T. Satoransky misses free throw 1 of 1
0:27.0,Defensive rebound by B. McLemore,,12-22,,
0:06.0,M. Chalmers misses 3-pt shot from 25 ft,,12-22,,
0:03.0,,,12-22,,Defensive rebound by K. Oubre
0:00.0,,,12-22,,K. Oubre misses 2-pt shot from 12 ft
0:00.0,,,12-22,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,12-22,,J. Meeks misses 2-pt shot from 5 ft (block by J. Martin)
11:41.0,Defensive rebound by A. Harrison,,12-22,,
11:41.0,Shooting foul by T. Satoransky (drawn by A. Harrison),,12-22,,
11:41.0,A. Harrison misses free throw 1 of 2,,12-22,,
11:41.0,Offensive rebound by Team,,12-22,,
11:41.0,A. Harrison makes free throw 2 of 2,1,13-22,,
11:28.0,,,13-22,,K. Oubre misses 3-pt shot from 24 ft
11:24.0,,,13-22,,Offensive rebound by T. Satoransky
11:22.0,,,13-24,2,J. Smith makes 2-pt shot at rim (assist by T. Frazier)
11:00.0,B. McLemore misses 3-pt shot from 26 ft,,13-24,,
10:57.0,,,13-24,,Defensive rebound by J. Smith
10:36.0,,,13-24,,T. Frazier misses 2-pt shot from 19 ft
10:32.0,Defensive rebound by D. Davis,,13-24,,
10:25.0,J. Martin misses 3-pt shot from 26 ft,,13-24,,
10:21.0,Offensive rebound by D. Davis,,13-24,,
10:15.0,A. Harrison makes 2-pt shot from 1 ft,2,15-24,,
10:15.0,Shooting foul by T. Satoransky (drawn by A. Harrison),,15-24,,
10:15.0,D. Brooks enters the game for J. Ennis,,15-24,,
10:15.0,,,15-24,,B. Beal enters the game for T. Satoransky
10:15.0,A. Harrison makes free throw 1 of 1,1,16-24,,
10:03.0,,,16-26,2,J. Smith makes 2-pt shot from 13 ft (assist by T. Frazier)
9:42.0,Turnover by A. Harrison (bad pass; steal by B. Beal),,16-26,,
9:35.0,,,16-26,,Turnover by K. Oubre (lost ball; steal by A. Harrison)
9:29.0,,,16-26,,Personal foul by K. Oubre (drawn by B. McLemore)
9:17.0,D. Davis misses 2-pt shot from 19 ft,,16-26,,
9:14.0,,,16-26,,Defensive rebound by T. Frazier
8:59.0,Jump ball: B. Beal vs. D. Davis (J. Smith gains possession),,,,Jump ball: B. Beal vs. D. Davis (J. Smith gains possession)
8:57.0,,,16-26,,Turnover by J. Smith (lost ball; steal by D. Brooks)
8:52.0,D. Brooks makes 2-pt shot from 4 ft (assist by A. Harrison),2,18-26,,
8:42.0,Personal foul by A. Harrison (drawn by T. Frazier),,18-26,,
8:42.0,J. Green enters the game for D. Davis,,18-26,,
8:31.0,,,18-26,,Shooting foul by D. Brooks (drawn by B. Beal)
8:31.0,,,18-26,,B. Beal misses free throw 1 of 2
8:31.0,,,18-26,,Offensive rebound by Team
8:31.0,,,18-27,1,B. Beal makes free throw 2 of 2
8:13.0,J. Martin misses 2-pt shot from 18 ft,,18-27,,
8:11.0,,,18-27,,Defensive rebound by J. Meeks
8:01.0,,,18-27,,J. Smith misses 2-pt shot from 15 ft
8:01.0,Defensive rebound by J. Green,,18-27,,
7:53.0,,,18-27,,Personal foul by T. Frazier (drawn by A. Harrison)
7:53.0,M. Gasol enters the game for J. Martin,,18-27,,
7:53.0,C. Parsons enters the game for A. Harrison,,18-27,,
7:53.0,M. Chalmers enters the game for B. McLemore,,18-27,,
7:41.0,C. Parsons misses 2-pt shot from 4 ft,,18-27,,
7:39.0,,,18-27,,Defensive rebound by T. Frazier
7:29.0,,,18-29,2,J. Smith makes 2-pt shot from 1 ft (assist by B. Beal)
7:04.0,M. Chalmers makes 3-pt shot from 22 ft (assist by D. Brooks),3,21-29,,
6:50.0,,,21-29,,Turnover by J. Smith (bad pass; steal by M. Chalmers)
6:40.0,,,21-29,,Personal foul by J. Meeks (drawn by D. Brooks)
6:40.0,,,21-29,,Washington full timeout
6:40.0,,,21-29,,J. Wall enters the game for T. Frazier
6:40.0,D. Brooks makes free throw 1 of 2,1,22-29,,
6:40.0,D. Brooks makes free throw 2 of 2,1,23-29,,
6:24.0,,,23-29,,J. Smith misses 3-pt shot from 23 ft
6:18.0,Defensive rebound by J. Green,,23-29,,
6:06.0,M. Gasol misses 2-pt shot from 17 ft,,23-29,,
6:03.0,,,23-29,,Defensive rebound by K. Oubre
5:50.0,Personal foul by M. Gasol (drawn by B. Beal),,23-29,,
5:50.0,,,23-29,,M. Gortat enters the game for J. Smith
5:50.0,,,23-29,,O. Porter enters the game for J. Meeks
5:40.0,,,23-29,,J. Wall misses 2-pt shot at rim
5:39.0,Defensive rebound by J. Green,,23-29,,
5:28.0,,,23-29,,Def 3 sec tech foul by M. Gortat
5:28.0,M. Gasol makes technical free throw,1,24-29,,
5:14.0,M. Chalmers misses 3-pt shot from 27 ft,,24-29,,
5:10.0,,,24-29,,Defensive rebound by M. Gortat
5:06.0,,,24-29,,Shooting foul by D. Brooks (drawn by J. Wall)
5:06.0,,,24-29,,J. Wall misses free throw 1 of 2
5:06.0,,,24-29,,Offensive rebound by Team
5:06.0,,,24-29,,J. Wall misses free throw 2 of 2
5:03.0,Defensive rebound by J. Green,,24-29,,
4:52.0,J. Green makes 3-pt shot from 26 ft (assist by C. Parsons),3,27-29,,
4:39.0,,,27-31,2,J. Wall makes 2-pt shot from 1 ft
4:22.0,Turnover by M. Gasol (traveling),,27-31,,
4:09.0,,,27-31,,B. Beal misses 3-pt shot from 25 ft
4:06.0,Defensive rebound by M. Chalmers,,27-31,,
4:06.0,Turnover by M. Chalmers (bad pass),,27-31,,
3:53.0,,,27-31,,M. Gortat misses 2-pt shot from 1 ft
3:50.0,Defensive rebound by M. Gasol,,27-31,,
3:49.0,Offensive charge foul by C. Parsons (drawn by O. Porter),,27-31,,
3:49.0,Turnover by C. Parsons (offensive foul),,27-31,,
3:49.0,,,27-31,,J. Meeks enters the game for K. Oubre
3:34.0,,,27-34,3,J. Wall makes 3-pt shot from 22 ft (assist by O. Porter)
3:21.0,Offensive foul by M. Gasol (drawn by M. Gortat),,27-34,,
3:21.0,Turnover by M. Gasol (offensive foul),,27-34,,
3:12.0,,,27-36,2,J. Wall makes 2-pt shot from 1 ft
3:12.0,Memphis full timeout,,27-36,,
3:12.0,A. Harrison enters the game for M. Chalmers,,27-36,,
2:58.0,M. Gasol misses 2-pt shot from 7 ft,,27-36,,
2:54.0,,,27-36,,Defensive rebound by M. Gortat
2:38.0,Violation by M. Gasol (kicked ball),,27-36,,
2:31.0,,,27-36,,B. Beal misses 2-pt shot from 19 ft
2:28.0,Defensive rebound by J. Green,,27-36,,
2:15.0,M. Gasol misses 2-pt shot from 2 ft (block by O. Porter),,27-36,,
2:12.0,,,27-36,,Defensive rebound by J. Meeks
1:59.0,,,27-38,2,J. Wall makes 2-pt shot from 17 ft
1:32.0,Turnover by J. Green (lost ball; steal by J. Wall),,27-38,,
1:27.0,,,27-38,,J. Meeks misses 3-pt shot from 25 ft
1:22.0,,,27-38,,Offensive rebound by O. Porter
1:19.0,,,27-38,,J. Wall misses 3-pt shot from 25 ft
1:19.0,,,27-38,,Offensive rebound by J. Meeks
1:05.0,,,27-38,,J. Meeks misses 3-pt shot from 25 ft
1:02.0,,,27-38,,Offensive rebound by M. Gortat
0:59.0,,,27-41,3,O. Porter makes 3-pt shot from 26 ft (assist by M. Gortat)
0:40.0,C. Parsons misses 3-pt shot from 25 ft,,27-41,,
0:36.0,,,27-41,,Defensive rebound by M. Gortat
0:33.0,,,27-41,,J. Wall misses 3-pt shot from 25 ft
0:29.0,,,27-41,,Offensive rebound by O. Porter
0:28.0,,,27-41,,J. Meeks misses 3-pt shot from 23 ft
0:28.0,Defensive rebound by J. Green,,27-41,,
0:05.0,A. Harrison makes 2-pt shot from 21 ft,2,29-41,,
0:00.0,,,29-41,,J. Wall misses 2-pt shot from 20 ft
0:00.0,,,29-41,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:37.0,,,29-43,2,M. Gortat makes 2-pt shot from 2 ft
11:21.0,C. Parsons makes 2-pt shot from 19 ft,2,31-43,,
11:10.0,Personal foul by D. Brooks (drawn by B. Beal),,31-43,,
11:05.0,,,31-43,,B. Beal misses 2-pt shot from 3 ft
11:04.0,Defensive rebound by J. Green,,31-43,,
10:58.0,C. Parsons misses 3-pt shot from 23 ft,,31-43,,
10:54.0,,,31-43,,Defensive rebound by J. Wall
10:49.0,,,31-43,,M. Scott misses 3-pt shot from 23 ft
10:46.0,Defensive rebound by J. Green,,31-43,,
10:34.0,D. Brooks misses 2-pt shot from 19 ft,,31-43,,
10:30.0,,,31-43,,Defensive rebound by M. Scott
10:21.0,,,31-45,2,M. Gortat makes 2-pt shot from 1 ft (assist by J. Wall)
10:21.0,,,31-45,,Shooting foul by C. Parsons (drawn by M. Gortat)
10:21.0,B. McLemore enters the game for D. Brooks,,31-45,,
10:21.0,J. Ennis enters the game for C. Parsons,,31-45,,
10:21.0,,,31-46,1,M. Gortat makes free throw 1 of 1
10:04.0,M. Gasol makes 2-pt shot at rim (assist by J. Green),2,33-46,,
9:45.0,,,33-48,2,O. Porter makes 2-pt shot from 2 ft
9:32.0,J. Green misses 2-pt shot from 2 ft,,33-48,,
9:30.0,,,33-48,,Defensive rebound by M. Gortat
9:28.0,,,33-48,,Turnover by J. Wall (out of bounds lost ball)
9:14.0,M. Gasol misses 2-pt shot from 19 ft,,33-48,,
9:11.0,,,33-48,,Defensive rebound by O. Porter
9:06.0,,,33-48,,J. Wall misses 2-pt shot from 19 ft
9:02.0,Defensive rebound by B. McLemore,,33-48,,
8:52.0,A. Harrison misses 3-pt shot from 29 ft,,33-48,,
8:49.0,,,33-48,,Defensive rebound by O. Porter
8:45.0,,,33-48,,Turnover by O. Porter (bad pass; steal by J. Ennis)
8:40.0,,,33-48,,Personal foul by B. Beal (drawn by J. Ennis)
8:40.0,,,33-48,,Washington full timeout
8:32.0,B. McLemore misses 2-pt shot from 21 ft,,33-48,,
8:26.0,Offensive rebound by M. Gasol,,33-48,,
8:21.0,B. McLemore misses 2-pt shot from 1 ft (block by M. Gortat),,33-48,,
8:19.0,,,33-48,,Defensive rebound by B. Beal
7:59.0,,,33-50,2,O. Porter makes 2-pt shot from 20 ft
7:43.0,Shooting foul by M. Gortat (drawn by A. Harrison),,33-50,,
7:43.0,A. Harrison makes free throw 1 of 2,1,34-50,,
7:43.0,A. Harrison makes free throw 2 of 2,1,35-50,,
7:29.0,Personal foul by A. Harrison (drawn by B. Beal),,35-50,,
7:23.0,,,35-50,,O. Porter misses 2-pt shot from 20 ft
7:20.0,Defensive rebound by A. Harrison,,35-50,,
7:19.0,A. Harrison makes 2-pt shot from 2 ft,2,37-50,,
7:19.0,,,37-50,,Violation by J. Wall (def goaltending)
7:05.0,,,37-52,2,B. Beal makes 2-pt shot from 12 ft
6:50.0,J. Green makes 3-pt shot from 25 ft (assist by A. Harrison),3,40-52,,
6:26.0,,,40-54,2,M. Gortat makes 2-pt shot from 9 ft (assist by B. Beal)
6:05.0,Turnover by A. Harrison (bad pass; steal by J. Wall),,40-54,,
5:51.0,,,40-54,,B. Beal misses 2-pt shot from 15 ft
5:48.0,Defensive rebound by J. Green,,40-54,,
5:42.0,M. Gasol makes 3-pt shot from 25 ft (assist by A. Harrison),3,43-54,,
5:39.0,Technical foul by M. Gasol,,43-54,,
5:39.0,,,43-54,,B. Beal misses technical free throw
5:39.0,,,43-54,,Offensive rebound by Team
5:12.0,,,43-54,,J. Wall misses 2-pt shot from 18 ft (block by M. Gasol)
5:10.0,Defensive rebound by J. Ennis,,43-54,,
5:00.0,J. Green misses 2-pt shot from 15 ft,,43-54,,
4:59.0,,,43-54,,Defensive rebound by O. Porter
4:59.0,Personal foul by J. Ennis (drawn by O. Porter),,43-54,,
4:48.0,,,43-54,,Turnover by B. Beal (step out of bounds)
4:48.0,,,43-54,,T. Satoransky enters the game for J. Wall
4:35.0,M. Gasol makes 2-pt shot at rim (assist by A. Harrison),2,45-54,,
4:20.0,,,45-54,,Offensive charge foul by T. Satoransky (drawn by A. Harrison)
4:20.0,,,45-54,,Turnover by T. Satoransky (offensive foul)
4:08.0,M. Gasol misses 3-pt shot from 24 ft,,45-54,,
4:05.0,,,45-54,,Defensive rebound by O. Porter
3:50.0,,,45-54,,O. Porter misses 3-pt shot from 26 ft
3:47.0,Defensive rebound by M. Gasol,,45-54,,
3:40.0,A. Harrison makes 3-pt shot from 25 ft,3,48-54,,
3:26.0,,,48-54,,Shooting foul by J. Green (drawn by O. Porter)
3:26.0,,,48-54,,O. Porter misses free throw 1 of 2
3:26.0,,,48-54,,Offensive rebound by Team
3:26.0,,,48-54,,K. Oubre enters the game for M. Scott
3:26.0,M. Chalmers enters the game for A. Harrison,,48-54,,
3:26.0,,,48-55,1,O. Porter makes free throw 2 of 2
3:26.0,C. Parsons enters the game for J. Green,,48-55,,
3:07.0,J. Ennis makes 2-pt shot from 20 ft,2,50-55,,
2:47.0,,,50-57,2,M. Gortat makes 2-pt shot from 9 ft (assist by B. Beal)
2:23.0,C. Parsons makes 3-pt shot from 25 ft (assist by B. McLemore),3,53-57,,
2:03.0,,,53-57,,Shooting foul by B. McLemore (drawn by M. Gortat)
2:03.0,Memphis full timeout,,53-57,,
2:03.0,,,53-57,,J. Meeks enters the game for B. Beal
2:03.0,,,53-57,,M. Gortat misses free throw 1 of 2
2:03.0,,,53-57,,Offensive rebound by Team
2:03.0,,,53-58,1,M. Gortat makes free throw 2 of 2
1:50.0,C. Parsons misses 2-pt shot from 2 ft,,53-58,,
1:47.0,Offensive rebound by C. Parsons,,53-58,,
1:47.0,C. Parsons makes 2-pt shot at rim,2,55-58,,
1:32.0,,,55-58,,Turnover by O. Porter (out of bounds lost ball)
1:22.0,Turnover by C. Parsons (lost ball; steal by K. Oubre),,55-58,,
1:22.0,Personal foul by C. Parsons (drawn by K. Oubre),,55-58,,
1:22.0,,,55-59,1,K. Oubre makes free throw 1 of 2
1:22.0,,,55-59,,M. Scott enters the game for O. Porter
1:22.0,,,55-60,1,K. Oubre makes free throw 2 of 2
1:13.0,B. McLemore misses 2-pt shot from 13 ft,,55-60,,
1:10.0,,,55-60,,Defensive rebound by J. Meeks
1:01.0,,,55-60,,K. Oubre misses 2-pt shot from 19 ft
0:57.0,Defensive rebound by M. Chalmers,,55-60,,
0:51.0,B. McLemore makes 2-pt shot from 1 ft (assist by M. Chalmers),2,57-60,,
0:35.0,,,57-60,,M. Gortat misses 2-pt shot from 1 ft
0:33.0,Defensive rebound by M. Gasol,,57-60,,
0:27.0,M. Gasol misses 3-pt shot from 26 ft,,57-60,,
0:24.0,,,57-60,,Defensive rebound by J. Meeks
0:02.0,,,57-60,,K. Oubre misses 3-pt shot from 26 ft
0:01.0,Defensive rebound by C. Parsons,,57-60,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:50.0,M. Chalmers makes 2-pt shot from 1 ft,2,59-60,,
11:29.0,,,59-62,2,K. Oubre makes 2-pt shot from 2 ft (assist by T. Satoransky)
11:29.0,,,59-62,,Shooting foul by D. Davis (drawn by K. Oubre)
11:29.0,,,59-62,,K. Oubre misses free throw 1 of 1
11:26.0,Defensive rebound by J. Ennis,,59-62,,
11:10.0,B. McLemore makes 3-pt shot from 25 ft (assist by M. Chalmers),3,62-62,,
10:55.0,,,62-64,2,M. Scott makes 2-pt shot from 18 ft (assist by J. Meeks)
10:44.0,M. Chalmers misses 3-pt shot from 27 ft,,62-64,,
10:40.0,,,62-64,,Defensive rebound by J. Meeks
10:32.0,,,62-64,,Offensive foul by M. Scott (drawn by M. Chalmers)
10:32.0,,,62-64,,Turnover by M. Scott (offensive foul)
10:12.0,D. Davis misses 2-pt shot from 8 ft,,62-64,,
10:08.0,,,62-64,,Defensive rebound by M. Scott
10:05.0,,,62-64,,J. Smith misses 2-pt shot from 18 ft
10:01.0,Defensive rebound by B. McLemore,,62-64,,
9:57.0,J. Ennis misses 3-pt shot from 24 ft,,62-64,,
9:55.0,Offensive rebound by Team,,62-64,,
9:52.0,B. McLemore misses 2-pt shot from 1 ft,,62-64,,
9:50.0,,,62-64,,Defensive rebound by K. Oubre
9:49.0,,,62-64,,Shooting foul by M. Chalmers (drawn by T. Satoransky)
9:49.0,,,62-64,,T. Satoransky misses free throw 1 of 2
9:49.0,,,62-64,,Offensive rebound by Team
9:49.0,,,62-65,1,T. Satoransky makes free throw 2 of 2
9:33.0,J. Green misses 2-pt shot from 14 ft,,62-65,,
9:28.0,Offensive rebound by J. Ennis,,62-65,,
9:27.0,J. Ennis makes 2-pt shot from 1 ft,2,64-65,,
9:15.0,,,64-65,,Turnover by J. Smith (traveling)
9:05.0,,,64-65,,Personal foul by J. Meeks (drawn by M. Chalmers)
8:53.0,J. Ennis makes 3-pt shot from 27 ft (assist by J. Green),3,67-65,,
8:38.0,,,67-67,2,K. Oubre makes 2-pt shot from 5 ft
8:38.0,Away from play foul by J. Ennis (drawn by J. Smith),,67-67,,
8:38.0,Turnover by J. Ennis (turnover),,67-67,,
8:38.0,,,67-68,1,J. Smith makes free throw 1 of 1
8:38.0,,,67-68,,B. Beal enters the game for T. Satoransky
8:25.0,Turnover by B. McLemore (bad pass; steal by J. Meeks),,67-68,,
8:21.0,,,67-70,2,J. Meeks makes 2-pt shot from 1 ft
8:21.0,Memphis full timeout,,67-70,,
8:21.0,D. Brooks enters the game for D. Davis,,67-70,,
8:21.0,M. Gasol enters the game for B. McLemore,,67-70,,
8:04.0,J. Green misses 2-pt shot from 8 ft (block by M. Scott),,67-70,,
8:01.0,,,67-70,,Defensive rebound by M. Scott
7:45.0,,,67-73,3,M. Scott makes 3-pt shot from 26 ft (assist by B. Beal)
7:21.0,M. Chalmers misses 3-pt shot from 26 ft,,67-73,,
7:16.0,Offensive rebound by J. Ennis,,67-73,,
6:59.0,Turnover by J. Green (bad pass; steal by K. Oubre),,67-73,,
6:55.0,,,67-73,,J. Wall enters the game for J. Meeks
6:55.0,C. Parsons enters the game for M. Chalmers,,67-73,,
6:55.0,A. Harrison enters the game for J. Ennis,,67-73,,
6:39.0,,,67-76,3,B. Beal makes 3-pt shot from 26 ft
6:24.0,,,67-76,,Personal foul by J. Smith (drawn by M. Gasol)
6:16.0,C. Parsons misses 2-pt shot from 19 ft,,67-76,,
6:12.0,,,67-76,,Defensive rebound by J. Smith
6:09.0,Personal foul by A. Harrison (drawn by K. Oubre),,67-76,,
6:03.0,,,67-76,,B. Beal misses 2-pt shot from 21 ft
6:00.0,,,67-76,,Offensive rebound by Team
5:48.0,,,67-78,2,K. Oubre makes 2-pt shot from 1 ft (assist by J. Smith)
5:33.0,Shooting foul by K. Oubre (drawn by A. Harrison),,67-78,,
5:33.0,A. Harrison makes free throw 1 of 2,1,68-78,,
5:33.0,A. Harrison makes free throw 2 of 2,1,69-78,,
5:21.0,,,69-81,3,B. Beal makes 3-pt shot from 25 ft (assist by J. Wall)
5:00.0,J. Green makes 3-pt shot from 24 ft (assist by A. Harrison),3,72-81,,
4:42.0,,,72-81,,J. Smith misses 2-pt shot from 12 ft
4:39.0,Defensive rebound by M. Gasol,,72-81,,
4:30.0,Shooting foul by J. Smith (drawn by M. Gasol),,72-81,,
4:30.0,M. Gasol makes free throw 1 of 2,1,73-81,,
4:30.0,,,73-81,,O. Porter enters the game for M. Scott
4:30.0,M. Gasol makes free throw 2 of 2,1,74-81,,
4:09.0,,,74-83,2,J. Wall makes 2-pt shot from 12 ft (assist by B. Beal)
3:44.0,M. Gasol misses 3-pt shot from 24 ft,,74-83,,
3:40.0,Offensive rebound by J. Green,,74-83,,
3:39.0,J. Green makes 2-pt shot at rim,2,76-83,,
3:28.0,,,76-83,,Offensive foul by J. Smith (drawn by M. Gasol)
3:28.0,,,76-83,,Turnover by J. Smith (offensive foul)
3:28.0,,,76-83,,M. Gortat enters the game for J. Smith
3:28.0,M. Chalmers enters the game for D. Brooks,,76-83,,
3:11.0,,,76-83,,Personal foul by K. Oubre (drawn by C. Parsons)
3:11.0,C. Parsons makes free throw 1 of 2,1,77-83,,
3:11.0,C. Parsons makes free throw 2 of 2,1,78-83,,
3:01.0,,,78-83,,J. Wall misses 2-pt shot from 2 ft
2:45.0,Defensive rebound by C. Parsons,,78-83,,
2:45.0,A. Harrison misses 2-pt shot from 20 ft,,78-83,,
2:42.0,Offensive rebound by M. Gasol,,78-83,,
2:34.0,M. Gasol makes 2-pt shot at rim (assist by C. Parsons),2,80-83,,
2:34.0,,,80-83,,Washington full timeout
2:22.0,,,80-86,3,B. Beal makes 3-pt shot from 23 ft (assist by J. Wall)
2:01.0,M. Gasol misses 2-pt shot from 1 ft (block by K. Oubre),,80-86,,
1:58.0,,,80-86,,Defensive rebound by K. Oubre
1:38.0,,,80-86,,J. Wall misses 2-pt shot from 19 ft
1:34.0,Defensive rebound by C. Parsons,,80-86,,
1:27.0,Turnover by C. Parsons (bad pass),,80-86,,
