time,Orlando,pts.away,score,pts.home,Miami
5:19.0,,,13-20,,J. Johnson enters the game for K. Olynyk
5:19.0,,,13-21,1,G. Dragic makes free throw 2 of 2
5:06.0,E. Payton misses 2-pt shot from 10 ft,,13-21,,
5:03.0,,,13-21,,Defensive rebound by J. Winslow
4:51.0,,,13-21,,H. Whiteside misses 2-pt shot from 1 ft
4:45.0,Jump ball: H. Whiteside vs. B. Biyombo (J. Winslow gains possession),,,,Jump ball: H. Whiteside vs. B. Biyombo (J. Winslow gains possession)
4:45.0,,,13-21,,Offensive rebound by Team
4:35.0,,,13-21,,Turnover by T. Johnson (traveling)
4:35.0,M. Speights enters the game for B. Biyombo,,13-21,,
4:23.0,M. Speights misses 3-pt shot from 25 ft,,13-21,,
4:19.0,,,13-21,,Defensive rebound by G. Dragic
4:13.0,Shooting block foul by M. Speights (drawn by G. Dragic),,13-21,,
4:13.0,,,13-22,1,G. Dragic makes free throw 1 of 2
4:13.0,,,13-22,,B. Adebayo enters the game for J. Winslow
4:13.0,,,13-22,,W. Ellington enters the game for H. Whiteside
4:13.0,,,13-22,,G. Dragic misses free throw 2 of 2
4:11.0,Defensive rebound by M. Speights,,13-22,,
4:01.0,M. Hezonja misses 3-pt shot from 25 ft,,13-22,,
3:59.0,,,13-22,,Defensive rebound by B. Adebayo
3:44.0,,,13-22,,Shooting foul by S. Mack (drawn by B. Adebayo)
3:44.0,,,13-23,1,B. Adebayo makes free throw 1 of 2
3:44.0,,,13-24,1,B. Adebayo makes free throw 2 of 2
3:29.0,Shooting foul by B. Adebayo (drawn by S. Mack),,13-24,,
3:29.0,S. Mack makes free throw 1 of 2,1,14-24,,
3:29.0,S. Mack makes free throw 2 of 2,1,15-24,,
3:13.0,,,15-26,2,B. Adebayo makes 2-pt shot at rim (assist by W. Ellington)
3:13.0,,,15-26,,Shooting foul by E. Payton (drawn by B. Adebayo)
3:13.0,D. Augustin enters the game for E. Payton,,15-26,,
3:13.0,,,15-27,1,B. Adebayo makes free throw 1 of 1
2:47.0,M. Speights makes 2-pt shot from 6 ft (assist by S. Mack),2,17-27,,
2:31.0,,,17-27,,G. Dragic misses 3-pt shot from 23 ft
2:27.0,Defensive rebound by J. Simmons,,17-27,,
2:22.0,M. Speights misses 3-pt shot from 24 ft,,17-27,,
2:19.0,,,17-27,,Defensive rebound by T. Johnson
2:09.0,,,17-29,2,B. Adebayo makes 2-pt shot from 12 ft (assist by T. Johnson)
1:57.0,Shooting foul by J. Johnson (drawn by M. Hezonja),,17-29,,
1:57.0,,,17-29,,Miami full timeout
1:57.0,,,17-29,,J. Richardson enters the game for G. Dragic
1:57.0,M. Hezonja makes free throw 1 of 2,1,18-29,,
1:57.0,M. Hezonja makes free throw 2 of 2,1,19-29,,
1:44.0,,,19-31,2,T. Johnson makes 2-pt shot from 21 ft
1:26.0,M. Hezonja makes 2-pt shot from 11 ft,2,21-31,,
1:05.0,,,21-33,2,J. Richardson makes 2-pt shot from 16 ft
0:58.0,M. Hezonja makes 3-pt shot from 25 ft (assist by D. Augustin),3,24-33,,
0:33.0,,,24-35,2,J. Richardson makes 2-pt shot from 22 ft
0:28.0,D. Augustin makes 2-pt shot from 7 ft,2,26-35,,
0:28.0,Shooting foul by J. Johnson (drawn by D. Augustin),,26-35,,
0:28.0,W. Iwundu enters the game for J. Simmons,,26-35,,
0:28.0,D. Augustin misses free throw 1 of 1,,26-35,,
0:26.0,,,26-35,,Defensive rebound by B. Adebayo
0:01.0,,,26-35,,W. Ellington misses 3-pt shot from 24 ft
0:01.0,,,26-35,,Offensive rebound by B. Adebayo
0:00.0,,,26-35,,B. Adebayo misses 3-pt shot from 22 ft
0:00.0,,,26-35,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,,,26-35,,Shooting foul by D. Augustin (drawn by W. Ellington)
11:43.0,,,26-36,1,W. Ellington makes free throw 1 of 3
11:43.0,,,26-37,1,W. Ellington makes free throw 2 of 3
11:43.0,,,26-38,1,W. Ellington makes free throw 3 of 3
11:32.0,Turnover by M. Speights (bad pass),,26-38,,
11:10.0,,,26-38,,T. Johnson misses 2-pt shot from 1 ft (block by A. Afflalo)
11:08.0,Defensive rebound by A. Afflalo,,26-38,,
11:02.0,W. Iwundu makes 3-pt shot from 22 ft (assist by M. Speights),3,29-38,,
10:51.0,,,29-38,,W. Ellington misses 3-pt shot from 26 ft
10:49.0,,,29-38,,Offensive rebound by W. Ellington
10:28.0,,,29-38,,B. Adebayo misses 2-pt shot from 8 ft
10:23.0,Defensive rebound by A. Afflalo,,29-38,,
10:09.0,Shooting foul by W. Ellington (drawn by M. Speights),,29-38,,
10:09.0,M. Speights makes free throw 1 of 2,1,30-38,,
10:09.0,M. Speights makes free throw 2 of 2,1,31-38,,
10:01.0,,,31-40,2,T. Johnson makes 2-pt shot at rim
10:01.0,,,31-40,,Shooting foul by A. Afflalo (drawn by T. Johnson)
10:01.0,,,31-40,,T. Johnson misses free throw 1 of 1
10:00.0,Defensive rebound by Team,,31-40,,
9:46.0,Offensive charge foul by M. Speights (drawn by B. Adebayo),,31-40,,
9:46.0,Turnover by M. Speights (offensive foul),,31-40,,
9:46.0,K. Birch enters the game for M. Speights,,31-40,,
9:36.0,,,31-40,,Turnover by T. Johnson (bad pass; steal by D. Augustin)
9:30.0,A. Afflalo makes 2-pt shot from 1 ft (assist by D. Augustin),2,33-40,,
9:12.0,,,33-40,,J. Johnson misses 3-pt shot from 23 ft
9:10.0,Defensive rebound by S. Mack,,33-40,,
9:02.0,A. Afflalo misses 3-pt shot from 23 ft,,33-40,,
8:54.0,Jump ball: W. Ellington vs. W. Iwundu (D. Augustin gains possession),,,,Jump ball: W. Ellington vs. W. Iwundu (D. Augustin gains possession)
8:54.0,Defensive rebound by Team,,33-40,,
8:45.0,Turnover by A. Afflalo (bad pass; steal by J. Johnson),,33-40,,
8:28.0,,,33-42,2,B. Adebayo makes 2-pt shot from 5 ft (assist by W. Ellington)
8:28.0,,,33-42,,Shooting foul by A. Afflalo (drawn by B. Adebayo)
8:28.0,,,33-42,,B. Adebayo misses free throw 1 of 1
8:24.0,Defensive rebound by A. Afflalo,,33-42,,
8:15.0,S. Mack makes 2-pt shot from 10 ft,2,35-42,,
7:59.0,,,35-42,,Shooting foul by K. Birch (drawn by J. Johnson)
7:59.0,,,35-43,1,J. Johnson makes free throw 1 of 2
7:59.0,E. Fournier enters the game for S. Mack,,35-43,,
7:59.0,,,35-43,,J. Johnson misses free throw 2 of 2
7:57.0,Defensive rebound by E. Fournier,,35-43,,
7:37.0,D. Augustin makes 2-pt shot from 1 ft (assist by A. Afflalo),2,37-43,,
7:37.0,Shooting foul by J. Johnson (drawn by D. Augustin),,37-43,,
7:37.0,,,37-43,,J. Winslow enters the game for J. Johnson
7:37.0,D. Augustin makes free throw 1 of 1,1,38-43,,
7:30.0,,,38-43,,Turnover by J. Richardson (bad pass; steal by W. Iwundu)
7:27.0,Turnover by K. Birch (out of bounds lost ball),,38-43,,
7:20.0,,,38-45,2,J. Winslow makes 2-pt shot from 1 ft (assist by T. Johnson)
7:20.0,Shooting block foul by K. Birch (drawn by J. Winslow),,38-45,,
7:20.0,,,38-46,1,J. Winslow makes free throw 1 of 1
7:10.0,K. Birch makes 2-pt shot from 1 ft (assist by D. Augustin),2,40-46,,
7:03.0,,,40-46,,Miami full timeout
7:03.0,,,40-46,,G. Dragic enters the game for J. Richardson
7:03.0,,,40-46,,H. Whiteside enters the game for B. Adebayo
6:55.0,,,40-46,,W. Ellington misses 2-pt shot from 20 ft
6:53.0,Defensive rebound by W. Iwundu,,40-46,,
6:34.0,E. Fournier makes 2-pt shot from 10 ft,2,42-46,,
6:22.0,,,42-46,,T. Johnson misses 3-pt shot from 24 ft
6:20.0,Defensive rebound by K. Birch,,42-46,,
6:10.0,D. Augustin makes 3-pt shot from 25 ft,3,45-46,,
5:54.0,,,45-48,2,J. Winslow makes 2-pt shot from 1 ft (assist by G. Dragic)
5:43.0,D. Augustin misses 2-pt shot from 21 ft,,45-48,,
5:41.0,Offensive rebound by K. Birch,,45-48,,
5:35.0,K. Birch misses 2-pt shot from 1 ft,,45-48,,
5:34.0,,,45-48,,Defensive rebound by H. Whiteside
5:30.0,,,45-50,2,G. Dragic makes 2-pt shot from 7 ft (assist by J. Winslow)
5:30.0,Orlando full timeout,,45-50,,
5:16.0,E. Fournier makes 2-pt shot from 14 ft (assist by K. Birch),2,47-50,,
4:56.0,,,47-50,,H. Whiteside misses 2-pt shot from 1 ft
4:54.0,Defensive rebound by E. Fournier,,47-50,,
4:46.0,E. Fournier misses 3-pt shot from 25 ft,,47-50,,
4:44.0,,,47-50,,Defensive rebound by J. Winslow
4:35.0,,,47-50,,W. Ellington misses 3-pt shot from 23 ft
4:33.0,,,47-50,,Offensive rebound by H. Whiteside
4:30.0,,,47-50,,H. Whiteside misses 2-pt shot from 4 ft
4:28.0,Defensive rebound by E. Fournier,,47-50,,
4:12.0,W. Iwundu misses 2-pt shot from 7 ft,,47-50,,
4:11.0,Offensive rebound by K. Birch,,47-50,,
4:10.0,K. Birch misses 2-pt shot at rim,,47-50,,
4:09.0,,,47-50,,Defensive rebound by Team
3:54.0,,,47-50,,G. Dragic misses 3-pt shot from 25 ft
3:54.0,,,47-50,,Offensive rebound by H. Whiteside
3:53.0,,,47-50,,Shooting foul by D. Augustin (drawn by H. Whiteside)
3:53.0,,,47-50,,H. Whiteside misses free throw 1 of 2
3:53.0,,,47-50,,Offensive rebound by Team
3:53.0,,,47-50,,J. Richardson enters the game for T. Johnson
3:53.0,,,47-50,,H. Whiteside misses free throw 2 of 2
3:51.0,Defensive rebound by K. Birch,,47-50,,
3:36.0,D. Augustin misses 3-pt shot from 25 ft,,47-50,,
3:34.0,,,47-50,,Defensive rebound by G. Dragic
3:23.0,,,47-52,2,H. Whiteside makes 2-pt shot at rim (assist by G. Dragic)
3:12.0,K. Birch misses 2-pt shot from 9 ft,,47-52,,
3:10.0,,,47-52,,Defensive rebound by J. Winslow
3:05.0,,,47-52,,W. Ellington misses 3-pt shot from 25 ft
3:03.0,Defensive rebound by W. Iwundu,,47-52,,
2:48.0,E. Fournier makes 2-pt shot from 17 ft,2,49-52,,
2:30.0,Personal foul by E. Fournier,,49-52,,
2:30.0,Technical foul by E. Fournier,,49-52,,
2:30.0,,,49-53,1,W. Ellington makes technical free throw
2:30.0,M. Hezonja enters the game for A. Afflalo,,49-53,,
2:30.0,B. Biyombo enters the game for E. Fournier,,49-53,,
2:30.0,E. Payton enters the game for D. Augustin,,49-53,,
2:30.0,J. Simmons enters the game for K. Birch,,49-53,,
2:30.0,,,49-54,1,J. Richardson makes free throw 1 of 2
2:30.0,,,49-55,1,J. Richardson makes free throw 2 of 2
2:14.0,J. Simmons misses 2-pt shot from 2 ft,,49-55,,
2:13.0,,,49-55,,Defensive rebound by H. Whiteside
2:10.0,,,49-56,1,W. Ellington makes technical free throw
1:55.0,,,49-56,,H. Whiteside misses 2-pt shot at rim
1:52.0,,,49-56,,Offensive rebound by H. Whiteside
1:52.0,,,49-58,2,H. Whiteside makes 2-pt shot at rim
1:38.0,E. Payton misses 2-pt shot from 6 ft,,49-58,,
1:35.0,,,49-58,,Defensive rebound by H. Whiteside
1:28.0,,,49-58,,H. Whiteside misses 2-pt shot from 21 ft
1:25.0,Defensive rebound by B. Biyombo,,49-58,,
1:25.0,,,49-58,,Personal foul by J. Winslow (drawn by E. Payton)
1:25.0,,,49-58,,T. Johnson enters the game for J. Winslow
1:13.0,,,49-58,,Personal foul by G. Dragic (drawn by E. Payton)
1:13.0,E. Payton makes free throw 1 of 2,1,50-58,,
1:13.0,,,50-58,,B. Adebayo enters the game for G. Dragic
1:13.0,E. Payton makes free throw 2 of 2,1,51-58,,
0:59.0,,,51-58,,B. Adebayo misses 2-pt shot at rim
0:57.0,Defensive rebound by M. Hezonja,,51-58,,
0:55.0,W. Iwundu makes 2-pt shot at rim (assist by M. Hezonja),2,53-58,,
0:41.0,,,53-58,,T. Johnson misses 2-pt shot from 3 ft
0:38.0,Defensive rebound by B. Biyombo,,53-58,,
0:35.0,J. Simmons makes 3-pt shot from 25 ft (assist by E. Payton),3,56-58,,
0:11.0,,,56-60,2,H. Whiteside makes 2-pt shot from 9 ft (assist by J. Richardson)
0:01.0,J. Simmons makes 3-pt shot from 24 ft (assist by E. Payton),3,59-60,,
0:00.0,,,59-60,,B. Adebayo misses 3-pt shot from 74 ft
0:00.0,,,59-60,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:51.0,,,59-60,,J. Winslow misses 2-pt shot from 2 ft (block by B. Biyombo)
11:49.0,,,59-60,,Offensive rebound by H. Whiteside
11:47.0,,,59-60,,H. Whiteside misses 2-pt shot from 1 ft
11:47.0,Defensive rebound by M. Hezonja,,59-60,,
11:42.0,M. Hezonja misses 2-pt shot from 1 ft (block by J. Mickey),,59-60,,
11:38.0,,,59-60,,Defensive rebound by J. Richardson
11:33.0,,,59-60,,Turnover by G. Dragic (bad pass; steal by M. Hezonja)
11:30.0,Shooting foul by J. Mickey (drawn by E. Payton),,59-60,,
11:30.0,E. Payton makes free throw 1 of 2,1,60-60,,
11:30.0,E. Payton makes free throw 2 of 2,1,61-60,,
11:14.0,,,61-62,2,H. Whiteside makes 2-pt shot from 1 ft (assist by G. Dragic)
10:47.0,E. Payton misses 2-pt shot from 7 ft,,61-62,,
10:43.0,,,61-62,,Defensive rebound by J. Mickey
10:34.0,,,61-64,2,G. Dragic makes 2-pt shot from 1 ft
10:22.0,B. Biyombo makes 2-pt shot from 1 ft (assist by M. Hezonja),2,63-64,,
10:08.0,,,63-64,,Turnover by G. Dragic (bad pass; steal by E. Fournier)
10:06.0,E. Fournier misses 2-pt shot from 1 ft,,63-64,,
10:05.0,Offensive rebound by J. Simmons,,63-64,,
10:04.0,Shooting foul by J. Winslow (drawn by J. Simmons),,63-64,,
10:04.0,J. Simmons makes free throw 1 of 2,1,64-64,,
10:04.0,J. Simmons makes free throw 2 of 2,1,65-64,,
9:48.0,,,65-66,2,J. Winslow makes 2-pt shot at rim
9:35.0,E. Fournier makes 2-pt shot from 2 ft (assist by E. Payton),2,67-66,,
9:20.0,,,67-68,2,J. Richardson makes 2-pt shot from 1 ft
9:20.0,,,67-68,,Shooting foul by M. Hezonja (drawn by J. Richardson)
9:20.0,,,67-69,1,J. Richardson makes free throw 1 of 1
9:09.0,B. Biyombo makes 2-pt shot from 1 ft (assist by J. Simmons),2,69-69,,
9:09.0,Shooting foul by J. Winslow (drawn by B. Biyombo),,69-69,,
9:09.0,,,69-69,,T. Johnson enters the game for J. Winslow
9:09.0,B. Biyombo makes free throw 1 of 1,1,70-69,,
8:57.0,,,70-69,,Turnover by H. Whiteside (bad pass; steal by E. Payton)
8:46.0,J. Simmons misses 2-pt shot from 20 ft,,70-69,,
8:43.0,,,70-69,,Defensive rebound by H. Whiteside
8:41.0,Personal foul by J. Simmons (drawn by T. Johnson),,70-69,,
8:41.0,S. Mack enters the game for J. Simmons,,70-69,,
8:33.0,,,70-69,,Offensive charge foul by J. Mickey (drawn by B. Biyombo)
8:33.0,,,70-69,,Turnover by J. Mickey (offensive foul)
8:21.0,M. Hezonja misses 2-pt shot from 18 ft,,70-69,,
8:19.0,,,70-69,,Defensive rebound by Team
8:02.0,,,70-72,3,G. Dragic makes 3-pt shot from 25 ft (assist by T. Johnson)
7:48.0,M. Hezonja makes 3-pt shot from 25 ft (assist by E. Payton),3,73-72,,
7:30.0,,,73-72,,H. Whiteside misses 2-pt shot from 8 ft
7:28.0,Defensive rebound by E. Payton,,73-72,,
7:23.0,S. Mack makes 2-pt shot at rim,2,75-72,,
7:05.0,,,75-74,2,H. Whiteside makes 2-pt shot from 14 ft (assist by T. Johnson)
6:52.0,M. Hezonja makes 3-pt shot from 24 ft (assist by E. Payton),3,78-74,,
6:52.0,,,78-74,,Miami full timeout
6:52.0,,,78-74,,J. Johnson enters the game for J. Mickey
6:39.0,,,78-74,,T. Johnson misses 2-pt shot from 3 ft
6:35.0,Defensive rebound by S. Mack,,78-74,,
6:29.0,E. Fournier makes 2-pt shot from 9 ft,2,80-74,,
6:07.0,,,80-77,3,T. Johnson makes 3-pt shot from 24 ft (assist by G. Dragic)
5:52.0,E. Payton misses 3-pt shot from 25 ft,,80-77,,
5:50.0,,,80-77,,Defensive rebound by H. Whiteside
5:39.0,,,80-80,3,T. Johnson makes 3-pt shot from 24 ft (assist by J. Johnson)
5:30.0,,,80-80,,Personal foul by T. Johnson (drawn by B. Biyombo)
5:30.0,,,80-80,,W. Ellington enters the game for J. Richardson
5:22.0,E. Fournier makes 3-pt shot from 24 ft (assist by S. Mack),3,83-80,,
4:59.0,,,83-80,,W. Ellington misses 3-pt shot from 25 ft
4:59.0,,,83-80,,Offensive rebound by Team
4:59.0,Loose ball foul by E. Fournier (drawn by J. Johnson),,83-80,,
4:46.0,,,83-82,2,J. Johnson makes 2-pt shot from 2 ft
4:34.0,M. Hezonja makes 3-pt shot from 26 ft (assist by E. Payton),3,86-82,,
4:15.0,,,86-82,,T. Johnson misses 3-pt shot from 26 ft
4:12.0,Defensive rebound by B. Biyombo,,86-82,,
4:08.0,M. Hezonja misses 3-pt shot from 25 ft,,86-82,,
4:06.0,,,86-82,,Defensive rebound by Team
4:06.0,,,86-82,,B. Adebayo enters the game for H. Whiteside
3:45.0,J. Simmons enters the game for E. Fournier,,86-82,,
3:42.0,,,86-84,2,B. Adebayo makes 2-pt shot from 1 ft (assist by G. Dragic)
3:31.0,,,86-84,,Personal foul by G. Dragic (drawn by B. Biyombo)
3:31.0,B. Biyombo makes free throw 1 of 2,1,87-84,,
3:31.0,B. Biyombo misses free throw 2 of 2,,87-84,,
3:27.0,,,87-84,,Defensive rebound by J. Johnson
3:10.0,,,87-86,2,J. Johnson makes 2-pt shot from 1 ft
3:10.0,,,87-86,,Shooting foul by E. Payton (drawn by J. Johnson)
3:10.0,M. Speights enters the game for E. Payton,,87-86,,
3:10.0,D. Augustin enters the game for B. Biyombo,,87-86,,
3:10.0,,,87-87,1,J. Johnson makes free throw 1 of 1
2:51.0,J. Simmons makes 2-pt shot from 3 ft,2,89-87,,
2:38.0,,,89-87,,G. Dragic misses 2-pt shot from 4 ft
2:36.0,,,89-87,,Offensive rebound by G. Dragic
2:35.0,,,89-87,,G. Dragic misses 2-pt shot from 4 ft
2:34.0,,,89-87,,Offensive rebound by J. Johnson
2:31.0,,,89-87,,J. Johnson misses 2-pt shot from 1 ft (block by M. Hezonja)
2:31.0,,,89-87,,Offensive rebound by J. Johnson
2:23.0,,,89-87,,T. Johnson misses 3-pt shot from 25 ft
2:23.0,Defensive rebound by M. Hezonja,,89-87,,
2:16.0,D. Augustin misses 3-pt shot from 23 ft,,89-87,,
2:14.0,,,89-87,,Defensive rebound by B. Adebayo
2:05.0,,,89-87,,W. Ellington misses 3-pt shot from 25 ft
2:05.0,Defensive rebound by Team,,89-87,,
2:05.0,Orlando full timeout,,89-87,,
1:42.0,J. Simmons makes 2-pt shot from 7 ft,2,91-87,,
1:42.0,Shooting foul by W. Ellington (drawn by J. Simmons),,91-87,,
1:42.0,J. Simmons misses free throw 1 of 1,,91-87,,
1:39.0,,,91-87,,Defensive rebound by B. Adebayo
1:28.0,,,91-87,,Turnover by J. Johnson (bad pass)
1:28.0,,,91-87,,J. Richardson enters the game for G. Dragic
1:10.0,D. Augustin makes 2-pt shot from 3 ft,2,93-87,,
0:47.0,,,93-87,,J. Johnson misses 2-pt shot from 18 ft
0:45.0,Defensive rebound by M. Speights,,93-87,,
0:30.0,S. Mack misses 2-pt shot from 1 ft,,93-87,,
0:26.0,Offensive rebound by D. Augustin,,93-87,,
0:06.0,S. Mack misses 2-pt shot from 3 ft,,93-87,,
0:04.0,,,93-87,,Defensive rebound by W. Ellington
0:00.0,,,93-87,,B. Adebayo misses 2-pt shot from 1 ft (block by M. Speights)
0:00.0,Defensive rebound by M. Speights,,93-87,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:36.0,M. Speights makes 3-pt shot from 25 ft (assist by S. Mack),3,96-87,,
11:15.0,,,96-89,2,J. Richardson makes 2-pt shot from 17 ft
11:00.0,M. Speights makes 3-pt shot from 24 ft (assist by S. Mack),3,99-89,,
10:36.0,,,99-89,,B. Adebayo misses 2-pt shot from 4 ft
10:33.0,Defensive rebound by M. Speights,,99-89,,
10:27.0,M. Speights misses 3-pt shot from 26 ft,,99-89,,
10:25.0,,,99-89,,Defensive rebound by T. Johnson
10:18.0,,,99-89,,J. Richardson misses 2-pt shot from 7 ft
10:15.0,,,99-89,,Offensive rebound by B. Adebayo
10:15.0,,,99-89,,B. Adebayo misses 2-pt shot at rim
10:12.0,Defensive rebound by A. Afflalo,,99-89,,
10:08.0,D. Augustin makes 3-pt shot from 25 ft,3,102-89,,
10:08.0,,,102-89,,Miami full timeout
10:08.0,,,102-89,,J. Winslow enters the game for J. Johnson
9:56.0,,,102-91,2,T. Johnson makes 2-pt shot from 9 ft (assist by B. Adebayo)
9:28.0,M. Speights makes 2-pt shot from 12 ft (assist by A. Afflalo),2,104-91,,
9:14.0,,,104-91,,G. Dragic enters the game for T. Johnson
9:09.0,,,104-91,,W. Ellington misses 3-pt shot from 24 ft
9:07.0,Defensive rebound by A. Afflalo,,104-91,,
8:50.0,M. Speights misses 2-pt shot from 10 ft,,104-91,,
8:48.0,,,104-91,,Defensive rebound by B. Adebayo
8:44.0,,,104-91,,Shooting foul by M. Speights (drawn by B. Adebayo)
8:44.0,,,104-92,1,B. Adebayo makes free throw 1 of 2
8:44.0,,,104-93,1,B. Adebayo makes free throw 2 of 2
8:26.0,,,104-93,,Personal foul by G. Dragic (drawn by D. Augustin)
8:17.0,D. Augustin makes 3-pt shot from 26 ft (assist by S. Mack),3,107-93,,
7:56.0,,,107-93,,G. Dragic misses 2-pt shot from 15 ft
7:53.0,Defensive rebound by M. Speights,,107-93,,
7:47.0,D. Augustin misses 3-pt shot from 26 ft,,107-93,,
7:44.0,,,107-93,,Defensive rebound by J. Winslow
7:34.0,,,107-95,2,B. Adebayo makes 2-pt shot from 1 ft (assist by J. Richardson)
7:34.0,,,107-95,,Shooting foul by W. Iwundu (drawn by B. Adebayo)
7:34.0,,,107-96,1,B. Adebayo makes free throw 1 of 1
7:11.0,M. Speights misses 3-pt shot from 26 ft,,107-96,,
7:06.0,,,107-96,,Defensive rebound by W. Ellington
6:58.0,,,107-96,,J. Winslow misses 2-pt shot from 1 ft
6:56.0,,,107-96,,Offensive rebound by G. Dragic
6:56.0,,,107-96,,G. Dragic misses 2-pt shot from 2 ft
6:56.0,Defensive rebound by Team,,107-96,,
6:56.0,Orlando full timeout,,107-96,,
6:44.0,Offensive charge foul by M. Speights (drawn by J. Winslow),,107-96,,
