time,Orlando,pts.away,score,pts.home,Atlanta
3:27.0,,,16-24,,Defensive rebound by T. Cavanaugh
3:14.0,,,16-26,2,D. Bembry makes 2-pt shot from 1 ft (assist by D. Schroder)
2:58.0,Shooting foul by T. Cavanaugh (drawn by B. Biyombo),,16-26,,
2:58.0,B. Biyombo makes free throw 1 of 2,1,17-26,,
2:58.0,,,17-26,,I. Taylor enters the game for D. Schroder
2:58.0,B. Biyombo makes free throw 2 of 2,1,18-26,,
2:39.0,,,18-28,2,I. Taylor makes 2-pt shot from 1 ft (assist by D. Bembry)
2:23.0,J. Simmons makes 3-pt shot from 24 ft (assist by B. Biyombo),3,21-28,,
2:10.0,,,21-31,3,M. Belinelli makes 3-pt shot from 24 ft (assist by D. Bembry)
1:49.0,D. Augustin misses 3-pt shot from 25 ft,,21-31,,
1:48.0,Offensive rebound by Team,,21-31,,
1:48.0,,,21-31,,Loose ball foul by I. Taylor (drawn by B. Biyombo)
1:48.0,,,21-31,,M. Plumlee enters the game for T. Cavanaugh
1:41.0,J. Simmons misses 2-pt shot from 20 ft,,21-31,,
1:38.0,,,21-31,,Defensive rebound by L. Babbitt
1:31.0,,,21-31,,Turnover by M. Belinelli (traveling)
1:31.0,S. Mack enters the game for A. Afflalo,,21-31,,
1:10.0,B. Biyombo misses 2-pt shot from 17 ft,,21-31,,
1:06.0,,,21-31,,Defensive rebound by L. Babbitt
0:53.0,,,21-31,,Shooting foul by B. Biyombo (drawn by M. Plumlee)
0:53.0,,,21-31,,M. Plumlee misses free throw 1 of 2
0:53.0,,,21-31,,Offensive rebound by Team
0:53.0,,,21-32,1,M. Plumlee makes free throw 2 of 2
0:42.0,,,21-32,,Personal foul by D. Bembry (drawn by S. Mack)
0:42.0,S. Mack misses free throw 1 of 2,,21-32,,
0:42.0,Offensive rebound by Team,,21-32,,
0:42.0,S. Mack makes free throw 2 of 2,1,22-32,,
0:33.0,,,22-32,,I. Taylor misses 2-pt shot at rim
0:29.0,Defensive rebound by J. Simmons,,22-32,,
0:13.0,D. Augustin misses 2-pt shot from 18 ft,,22-32,,
0:05.0,Offensive rebound by B. Biyombo,,22-32,,
0:00.0,J. Simmons misses 2-pt shot from 23 ft,,22-32,,
0:00.0,Offensive rebound by Team,,22-32,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,M. Hezonja misses 2-pt shot from 1 ft (block by D. Bembry),,22-32,,
11:43.0,Offensive rebound by M. Hezonja,,22-32,,
11:42.0,W. Iwundu makes 3-pt shot from 24 ft (assist by M. Hezonja),3,25-32,,
11:28.0,,,25-32,,D. Bembry misses 2-pt shot at rim
11:25.0,Defensive rebound by W. Iwundu,,25-32,,
11:14.0,W. Iwundu misses 2-pt shot from 16 ft,,25-32,,
11:11.0,Offensive rebound by B. Biyombo,,25-32,,
11:10.0,B. Biyombo misses 2-pt shot from 2 ft,,25-32,,
11:07.0,,,25-32,,Defensive rebound by L. Babbitt
11:00.0,Personal foul by W. Iwundu (drawn by M. Belinelli),,25-32,,
10:53.0,,,25-32,,Shooting foul by S. Mack (drawn by D. Bembry)
10:53.0,,,25-33,1,D. Bembry makes free throw 1 of 2
10:53.0,,,25-34,1,D. Bembry makes free throw 2 of 2
10:43.0,D. Augustin misses 3-pt shot from 24 ft,,25-34,,
10:40.0,,,25-34,,Defensive rebound by L. Babbitt
10:33.0,,,25-34,,M. Belinelli misses 3-pt shot from 24 ft
10:30.0,Defensive rebound by D. Augustin,,25-34,,
10:19.0,B. Biyombo misses 2-pt shot from 11 ft,,25-34,,
10:14.0,,,25-34,,Defensive rebound by L. Babbitt
10:09.0,,,25-34,,M. Plumlee misses 2-pt shot from 1 ft
10:06.0,Defensive rebound by S. Mack,,25-34,,
9:58.0,M. Hezonja misses 2-pt shot from 18 ft,,25-34,,
9:56.0,,,25-34,,Defensive rebound by M. Plumlee
9:43.0,,,25-34,,Turnover by I. Taylor (bad pass; steal by D. Augustin)
9:33.0,Turnover by B. Biyombo (lost ball; steal by M. Plumlee),,25-34,,
9:29.0,Personal foul by D. Augustin (drawn by D. Bembry),,25-34,,
9:29.0,,,25-34,,T. Cavanaugh enters the game for L. Babbitt
9:29.0,,,25-34,,K. Bazemore enters the game for M. Plumlee
9:29.0,N. Vucevic enters the game for B. Biyombo,,25-34,,
9:24.0,,,25-34,,I. Taylor misses 2-pt shot from 1 ft
9:20.0,Defensive rebound by S. Mack,,25-34,,
9:10.0,N. Vucevic makes 2-pt shot from 12 ft (assist by D. Augustin),2,27-34,,
8:52.0,,,27-37,3,T. Cavanaugh makes 3-pt shot from 23 ft (assist by D. Bembry)
8:38.0,M. Hezonja misses 3-pt shot from 25 ft,,27-37,,
8:36.0,Offensive rebound by W. Iwundu,,27-37,,
8:35.0,W. Iwundu misses 2-pt shot from 1 ft,,27-37,,
8:35.0,Offensive rebound by N. Vucevic,,27-37,,
8:29.0,N. Vucevic makes 2-pt shot from 2 ft,2,29-37,,
8:18.0,,,29-37,,T. Cavanaugh misses 3-pt shot from 24 ft
8:15.0,Defensive rebound by N. Vucevic,,29-37,,
8:07.0,N. Vucevic misses 3-pt shot from 25 ft,,29-37,,
8:03.0,Offensive rebound by S. Mack,,29-37,,
8:03.0,N. Vucevic makes 2-pt shot from 1 ft (assist by S. Mack),2,31-37,,
8:03.0,Shooting foul by T. Cavanaugh (drawn by N. Vucevic),,31-37,,
8:03.0,,,31-37,,T. Waller-Prince enters the game for M. Belinelli
8:03.0,,,31-37,,D. Schroder enters the game for I. Taylor
8:03.0,,,31-37,,E. Ilyasova enters the game for D. Bembry
8:03.0,N. Vucevic makes free throw 1 of 1,1,32-37,,
7:43.0,,,32-37,,K. Bazemore misses 3-pt shot from 22 ft
7:37.0,Defensive rebound by N. Vucevic,,32-37,,
7:22.0,Shooting foul by E. Ilyasova (drawn by D. Augustin),,32-37,,
7:22.0,,,32-37,,Atlanta full timeout
7:22.0,D. Augustin makes free throw 1 of 2,1,33-37,,
7:22.0,D. Augustin makes free throw 2 of 2,1,34-37,,
7:07.0,,,34-37,,Turnover by K. Bazemore (bad pass; steal by D. Augustin)
7:03.0,W. Iwundu makes 2-pt shot from 2 ft (assist by D. Augustin),2,36-37,,
6:46.0,,,36-40,3,D. Schroder makes 3-pt shot from 25 ft (assist by E. Ilyasova)
6:29.0,,,36-40,,Personal foul by K. Bazemore (drawn by D. Augustin)
6:20.0,N. Vucevic makes 2-pt shot from 12 ft (assist by D. Augustin),2,38-40,,
6:12.0,,,38-42,2,T. Waller-Prince makes 2-pt shot from 1 ft (assist by K. Bazemore)
5:54.0,M. Hezonja makes 2-pt shot from 1 ft (assist by N. Vucevic),2,40-42,,
5:38.0,,,40-42,,K. Bazemore misses 2-pt shot from 2 ft
5:36.0,Defensive rebound by M. Hezonja,,40-42,,
5:29.0,S. Mack makes 3-pt shot from 22 ft (assist by D. Augustin),3,43-42,,
5:10.0,,,43-44,2,T. Cavanaugh makes 2-pt shot from 4 ft (assist by K. Bazemore)
4:57.0,N. Vucevic misses 2-pt shot from 20 ft,,43-44,,
4:54.0,,,43-44,,Defensive rebound by T. Cavanaugh
4:45.0,,,43-44,,D. Schroder misses 3-pt shot from 25 ft
4:42.0,,,43-44,,Offensive rebound by K. Bazemore
4:37.0,,,43-47,3,E. Ilyasova makes 3-pt shot from 24 ft (assist by K. Bazemore)
4:33.0,Orlando full timeout,,43-47,,
4:33.0,,,43-47,,D. Bembry enters the game for K. Bazemore
4:33.0,,,43-47,,L. Babbitt enters the game for T. Cavanaugh
4:09.0,W. Iwundu misses 2-pt shot from 16 ft,,43-47,,
4:06.0,,,43-47,,Defensive rebound by E. Ilyasova
3:45.0,,,43-47,,D. Schroder misses 2-pt shot from 2 ft (block by N. Vucevic)
3:40.0,Defensive rebound by D. Augustin,,43-47,,
3:36.0,S. Mack misses 2-pt shot from 2 ft,,43-47,,
3:32.0,,,43-47,,Defensive rebound by L. Babbitt
3:27.0,,,43-47,,L. Babbitt misses 2-pt shot from 15 ft
3:27.0,Defensive rebound by M. Hezonja,,43-47,,
3:18.0,Offensive foul by S. Mack (drawn by E. Ilyasova),,43-47,,
3:18.0,Turnover by S. Mack (offensive foul),,43-47,,
3:18.0,J. Simmons enters the game for S. Mack,,43-47,,
3:09.0,Personal foul by J. Simmons (drawn by T. Waller-Prince),,43-47,,
3:02.0,,,43-49,2,D. Schroder makes 2-pt shot at rim (assist by D. Bembry)
2:48.0,D. Augustin makes 3-pt shot from 24 ft (assist by W. Iwundu),3,46-49,,
2:31.0,,,46-51,2,T. Waller-Prince makes 2-pt shot from 1 ft (assist by D. Schroder)
2:20.0,D. Augustin misses 2-pt shot from 1 ft (block by T. Waller-Prince),,46-51,,
2:17.0,,,46-51,,Defensive rebound by T. Waller-Prince
2:15.0,,,46-51,,D. Schroder misses 3-pt shot from 24 ft
2:11.0,Defensive rebound by J. Simmons,,46-51,,
2:03.0,N. Vucevic makes 3-pt shot from 24 ft (assist by D. Augustin),3,49-51,,
1:47.0,,,49-54,3,T. Waller-Prince makes 3-pt shot from 26 ft (assist by D. Schroder)
1:26.0,W. Iwundu misses 2-pt shot from 1 ft (block by T. Waller-Prince),,49-54,,
1:26.0,,,49-54,,Defensive rebound by T. Waller-Prince
1:26.0,Personal foul by W. Iwundu (drawn by T. Waller-Prince),,49-54,,
1:26.0,,,49-54,,T. Waller-Prince misses free throw 1 of 2
1:26.0,,,49-54,,Offensive rebound by Team
1:26.0,,,49-54,,T. Cavanaugh enters the game for E. Ilyasova
1:26.0,,,49-54,,M. Belinelli enters the game for L. Babbitt
1:26.0,E. Payton enters the game for W. Iwundu,,49-54,,
1:26.0,,,49-55,1,T. Waller-Prince makes free throw 2 of 2
1:16.0,J. Simmons misses 3-pt shot from 24 ft,,49-55,,
1:12.0,Offensive rebound by J. Simmons,,49-55,,
1:10.0,M. Hezonja misses 3-pt shot from 25 ft,,49-55,,
1:08.0,,,49-55,,Defensive rebound by M. Belinelli
0:54.0,,,49-55,,Turnover by D. Schroder (lost ball; steal by D. Augustin)
0:51.0,D. Augustin makes 2-pt shot from 2 ft,2,51-55,,
0:33.0,,,51-55,,Turnover by D. Bembry (out of bounds lost ball)
0:23.0,,,51-55,,Def 3 sec tech foul by T. Waller-Prince
0:23.0,D. Augustin makes technical free throw,1,52-55,,
0:11.0,J. Simmons makes 2-pt shot from 16 ft (assist by M. Hezonja),2,54-55,,
0:00.0,,,54-57,2,D. Schroder makes 2-pt shot from 10 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,Turnover by J. Simmons (bad pass; steal by M. Plumlee),,54-57,,
11:39.0,,,54-59,2,D. Schroder makes 2-pt shot from 16 ft (assist by E. Ilyasova)
11:21.0,N. Vucevic makes 2-pt shot from 18 ft (assist by J. Simmons),2,56-59,,
10:59.0,,,56-59,,M. Plumlee misses 2-pt shot from 1 ft
10:56.0,Defensive rebound by J. Simmons,,56-59,,
10:52.0,N. Vucevic makes 3-pt shot from 25 ft (assist by J. Simmons),3,59-59,,
10:30.0,Personal foul by E. Payton (drawn by E. Ilyasova),,59-59,,
10:24.0,Personal foul by E. Payton (drawn by D. Schroder),,59-59,,
10:16.0,,,59-62,3,K. Bazemore makes 3-pt shot from 24 ft (assist by E. Ilyasova)
10:02.0,Turnover by M. Hezonja (bad pass; steal by D. Schroder),,59-62,,
9:54.0,,,59-64,2,E. Ilyasova makes 2-pt shot from 11 ft (assist by D. Schroder)
9:54.0,,,59-64,,Shooting foul by A. Afflalo (drawn by E. Ilyasova)
9:54.0,,,59-65,1,E. Ilyasova makes free throw 1 of 1
9:43.0,E. Payton misses 3-pt shot from 22 ft,,59-65,,
9:40.0,,,59-65,,Defensive rebound by T. Waller-Prince
9:35.0,Personal foul by A. Afflalo (drawn by K. Bazemore),,59-65,,
9:27.0,,,59-68,3,K. Bazemore makes 3-pt shot from 25 ft (assist by E. Ilyasova)
9:12.0,J. Simmons makes 2-pt shot from 9 ft (assist by N. Vucevic),2,61-68,,
8:59.0,,,61-68,,T. Waller-Prince misses 2-pt shot from 2 ft
8:56.0,,,61-68,,Offensive rebound by D. Schroder
8:54.0,,,61-68,,T. Waller-Prince misses 3-pt shot from 22 ft
8:54.0,Defensive rebound by M. Hezonja,,61-68,,
8:35.0,E. Payton makes 2-pt shot from 1 ft (assist by N. Vucevic),2,63-68,,
8:18.0,,,63-68,,D. Schroder misses 2-pt shot from 11 ft
8:16.0,,,63-68,,Offensive rebound by M. Plumlee
8:15.0,,,63-68,,Turnover by M. Plumlee (lost ball; steal by N. Vucevic)
8:15.0,,,63-68,,Personal foul by M. Plumlee (drawn by N. Vucevic)
8:15.0,,,63-68,,T. Cavanaugh enters the game for M. Plumlee
7:54.0,J. Simmons misses 2-pt shot from 19 ft,,63-68,,
7:52.0,,,63-68,,Defensive rebound by Team
7:52.0,Loose ball foul by M. Hezonja (drawn by T. Cavanaugh),,63-68,,
7:52.0,,,63-68,,T. Cavanaugh misses free throw 1 of 2
7:52.0,,,63-68,,Offensive rebound by Team
7:52.0,,,63-69,1,T. Cavanaugh makes free throw 2 of 2
7:39.0,J. Simmons makes 2-pt shot from 2 ft (assist by N. Vucevic),2,65-69,,
7:26.0,,,65-71,2,K. Bazemore makes 2-pt shot from 1 ft
7:10.0,N. Vucevic makes 3-pt shot from 24 ft (assist by J. Simmons),3,68-71,,
6:50.0,,,68-74,3,E. Ilyasova makes 3-pt shot from 22 ft (assist by D. Schroder)
6:37.0,J. Simmons makes 2-pt shot at rim (assist by N. Vucevic),2,70-74,,
6:26.0,,,70-74,,Offensive foul by K. Bazemore (drawn by A. Afflalo)
6:26.0,,,70-74,,Turnover by K. Bazemore (offensive foul)
6:26.0,,,70-74,,Atlanta full timeout
6:26.0,,,70-74,,D. Bembry enters the game for K. Bazemore
6:26.0,W. Iwundu enters the game for A. Afflalo,,70-74,,
6:10.0,N. Vucevic makes 2-pt shot from 14 ft (assist by J. Simmons),2,72-74,,
5:47.0,,,72-74,,T. Waller-Prince misses 3-pt shot from 25 ft
5:44.0,Defensive rebound by N. Vucevic,,72-74,,
5:29.0,J. Simmons misses 3-pt shot from 25 ft,,72-74,,
5:26.0,,,72-74,,Defensive rebound by T. Cavanaugh
5:17.0,,,72-74,,D. Schroder misses 2-pt shot from 16 ft
5:13.0,Defensive rebound by W. Iwundu,,72-74,,
5:04.0,E. Payton makes 2-pt shot from 12 ft,2,74-74,,
4:46.0,,,74-74,,D. Bembry misses 2-pt shot from 13 ft
4:44.0,,,74-74,,Offensive rebound by D. Bembry
4:42.0,,,74-74,,M. Belinelli enters the game for E. Ilyasova
4:42.0,,,74-74,,L. Babbitt enters the game for T. Waller-Prince
4:38.0,Jump ball: D. Bembry vs. M. Hezonja (N. Vucevic gains possession),,,,Jump ball: D. Bembry vs. M. Hezonja (N. Vucevic gains possession)
4:38.0,,,74-74,,Turnover by D. Bembry (turnover; steal by M. Hezonja)
4:19.0,Turnover by N. Vucevic (bad pass; steal by D. Schroder),,74-74,,
4:10.0,,,74-77,3,D. Bembry makes 3-pt shot from 24 ft (assist by D. Schroder)
3:56.0,E. Payton makes 2-pt shot from 19 ft,2,76-77,,
3:44.0,,,76-79,2,D. Schroder makes 2-pt shot from 12 ft (assist by D. Bembry)
3:34.0,,,76-79,,Personal foul by D. Schroder (drawn by E. Payton)
3:34.0,D. Augustin enters the game for E. Payton,,76-79,,
3:34.0,S. Mack enters the game for J. Simmons,,76-79,,
3:28.0,N. Vucevic makes 3-pt shot from 26 ft (assist by D. Augustin),3,79-79,,
3:12.0,,,79-79,,Shooting foul by M. Hezonja (drawn by D. Bembry)
3:12.0,,,79-80,1,D. Bembry makes free throw 1 of 2
3:12.0,A. Afflalo enters the game for M. Hezonja,,79-80,,
3:12.0,,,79-80,,D. Bembry misses free throw 2 of 2
3:10.0,Defensive rebound by N. Vucevic,,79-80,,
2:56.0,W. Iwundu makes 2-pt shot from 1 ft (assist by S. Mack),2,81-80,,
2:43.0,,,81-80,,M. Belinelli misses 3-pt shot from 22 ft
2:42.0,Defensive rebound by Team,,81-80,,
2:42.0,,,81-80,,Loose ball foul by T. Cavanaugh (drawn by N. Vucevic)
2:42.0,Orlando full timeout,,81-80,,
2:42.0,,,81-80,,I. Taylor enters the game for D. Schroder
2:30.0,N. Vucevic makes 2-pt shot from 20 ft (assist by S. Mack),2,83-80,,
2:07.0,,,83-82,2,M. Belinelli makes 2-pt shot from 19 ft
1:51.0,S. Mack makes 2-pt shot from 3 ft (assist by N. Vucevic),2,85-82,,
1:36.0,,,85-82,,Turnover by D. Bembry (palming)
1:23.0,N. Vucevic misses 2-pt shot from 10 ft,,85-82,,
1:20.0,,,85-82,,Defensive rebound by L. Babbitt
1:16.0,,,85-84,2,T. Cavanaugh makes 2-pt shot from 1 ft (assist by D. Bembry)
1:03.0,A. Afflalo makes 2-pt shot from 1 ft (assist by S. Mack),2,87-84,,
0:42.0,,,87-87,3,T. Cavanaugh makes 3-pt shot from 25 ft (assist by M. Belinelli)
0:37.0,,,87-87,,Personal foul by T. Cavanaugh (drawn by N. Vucevic)
0:37.0,,,87-87,,M. Plumlee enters the game for T. Cavanaugh
0:33.0,S. Mack misses 2-pt shot from 17 ft,,87-87,,
0:30.0,,,87-87,,Defensive rebound by L. Babbitt
0:14.0,,,87-87,,I. Taylor misses 3-pt shot from 24 ft
0:10.0,,,87-87,,Offensive rebound by M. Plumlee
0:01.0,,,87-89,2,I. Taylor makes 2-pt shot from 3 ft
0:00.0,D. Augustin misses 3-pt shot from 64 ft,,87-89,,
0:00.0,Offensive rebound by Team,,87-89,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,,,87-91,2,I. Taylor makes 2-pt shot from 8 ft (assist by M. Belinelli)
11:16.0,S. Mack makes 3-pt shot from 24 ft (assist by D. Augustin),3,90-91,,
11:03.0,,,90-91,,Shooting foul by A. Afflalo (drawn by M. Plumlee)
11:03.0,,,90-92,1,M. Plumlee makes free throw 1 of 2
11:03.0,,,90-92,,K. Bazemore enters the game for L. Babbitt
11:03.0,,,90-93,1,M. Plumlee makes free throw 2 of 2
10:52.0,D. Augustin misses 3-pt shot from 24 ft (block by I. Taylor),,90-93,,
10:52.0,Offensive rebound by Team,,90-93,,
10:43.0,W. Iwundu misses 3-pt shot from 24 ft,,90-93,,
10:40.0,,,90-93,,Defensive rebound by T. Waller-Prince
10:34.0,,,90-95,2,M. Belinelli makes 2-pt shot from 1 ft (assist by T. Waller-Prince)
10:19.0,B. Biyombo makes 2-pt shot at rim (assist by S. Mack),2,92-95,,
9:57.0,Personal foul by A. Afflalo (drawn by T. Waller-Prince),,92-95,,
9:48.0,,,92-95,,K. Bazemore misses 3-pt shot from 25 ft
9:44.0,Defensive rebound by B. Biyombo,,92-95,,
9:34.0,Turnover by S. Mack (traveling),,92-95,,
9:34.0,,,92-95,,T. Cavanaugh enters the game for M. Plumlee
9:24.0,,,92-95,,Turnover by K. Bazemore (bad pass)
9:19.0,,,92-95,,Personal block foul by I. Taylor (drawn by D. Augustin)
9:19.0,,,92-95,,D. Schroder enters the game for I. Taylor
9:19.0,J. Simmons enters the game for W. Iwundu,,92-95,,
9:02.0,A. Afflalo misses 3-pt shot from 22 ft,,92-95,,
8:58.0,Offensive rebound by J. Simmons,,92-95,,
8:57.0,J. Simmons makes 2-pt shot from 3 ft,2,94-95,,
8:40.0,,,94-98,3,M. Belinelli makes 3-pt shot from 24 ft (assist by T. Cavanaugh)
8:28.0,Turnover by A. Afflalo (lost ball; steal by K. Bazemore),,94-98,,
8:24.0,,,94-101,3,M. Belinelli makes 3-pt shot from 25 ft (assist by K. Bazemore)
8:23.0,Orlando full timeout,,94-101,,
8:23.0,,,94-101,,D. Bembry enters the game for T. Waller-Prince
8:23.0,N. Vucevic enters the game for B. Biyombo,,94-101,,
8:00.0,J. Simmons makes 2-pt shot from 1 ft (assist by S. Mack),2,96-101,,
7:43.0,,,96-104,3,K. Bazemore makes 3-pt shot from 23 ft (assist by T. Cavanaugh)
7:29.0,J. Simmons makes 2-pt shot from 3 ft (assist by N. Vucevic),2,98-104,,
7:10.0,,,98-104,,D. Bembry misses 2-pt shot from 9 ft
7:05.0,,,98-104,,Offensive rebound by D. Bembry
7:05.0,,,98-104,,D. Bembry misses 2-pt shot at rim
7:05.0,,,98-104,,Offensive rebound by T. Cavanaugh
7:02.0,,,98-104,,T. Cavanaugh misses 2-pt shot from 1 ft
7:01.0,Defensive rebound by N. Vucevic,,98-104,,
6:56.0,J. Simmons makes 2-pt shot from 1 ft (assist by S. Mack),2,100-104,,
6:29.0,,,100-104,,Turnover by M. Belinelli (lost ball; steal by S. Mack)
6:27.0,J. Simmons makes 2-pt shot from 1 ft (assist by S. Mack),2,102-104,,
6:27.0,,,102-104,,Atlanta full timeout
6:27.0,,,102-104,,E. Ilyasova enters the game for M. Belinelli
6:27.0,,,102-104,,T. Waller-Prince enters the game for D. Bembry
6:27.0,E. Payton enters the game for A. Afflalo,,102-104,,
6:27.0,M. Hezonja enters the game for D. Augustin,,102-104,,
6:12.0,,,102-104,,D. Schroder misses 2-pt shot from 12 ft
6:08.0,,,102-104,,Offensive rebound by T. Cavanaugh
6:04.0,,,102-104,,D. Schroder misses 2-pt shot from 11 ft
6:02.0,Defensive rebound by Team,,102-104,,
5:38.0,S. Mack misses 2-pt shot from 10 ft,,102-104,,
5:34.0,Offensive rebound by J. Simmons,,102-104,,
5:28.0,M. Hezonja misses 3-pt shot from 24 ft,,102-104,,
5:24.0,,,102-104,,Defensive rebound by T. Cavanaugh
5:03.0,,,102-104,,K. Bazemore misses 3-pt shot from 25 ft
4:59.0,Defensive rebound by N. Vucevic,,102-104,,
4:50.0,M. Hezonja makes 3-pt shot from 23 ft (assist by S. Mack),3,105-104,,
4:32.0,Personal foul by M. Hezonja (drawn by T. Waller-Prince),,105-104,,
4:32.0,,,105-104,,M. Belinelli enters the game for D. Schroder
4:26.0,,,105-106,2,E. Ilyasova makes 2-pt shot from 3 ft (assist by M. Belinelli)
4:15.0,Turnover by S. Mack (step out of bounds),,105-106,,
4:15.0,,,105-106,,D. Schroder enters the game for K. Bazemore
4:01.0,,,105-106,,D. Schroder misses 2-pt shot from 7 ft
3:58.0,Defensive rebound by N. Vucevic,,105-106,,
3:49.0,J. Simmons makes 3-pt shot from 25 ft (assist by N. Vucevic),3,108-106,,
3:28.0,,,108-106,,Turnover by T. Waller-Prince (bad pass; steal by J. Simmons)
3:13.0,Offensive foul by N. Vucevic (drawn by D. Schroder),,108-106,,
3:13.0,Turnover by N. Vucevic (offensive foul),,108-106,,
2:50.0,,,108-106,,M. Belinelli misses 3-pt shot from 25 ft
2:49.0,,,108-106,,Offensive rebound by E. Ilyasova
