time,Minnesota,pts.away,score,pts.home,Charlotte
4:44.0,,,69-71,,Turnover by M. Kidd-Gilchrist (lost ball; steal by J. Teague)
4:39.0,J. Teague makes 2-pt shot from 1 ft,2,71-71,,
4:26.0,,,71-71,,Turnover by D. Howard (out of bounds lost ball)
4:03.0,T. Gibson misses 2-pt shot from 15 ft,,71-71,,
3:58.0,,,71-71,,Defensive rebound by N. Batum
3:43.0,,,71-71,,M. Williams misses 2-pt shot from 1 ft (block by T. Gibson)
3:43.0,Defensive rebound by T. Gibson,,71-71,,
3:34.0,K. Towns misses 2-pt shot from 4 ft,,71-71,,
3:34.0,,,71-71,,Defensive rebound by D. Howard
3:22.0,,,71-71,,M. Williams misses 3-pt shot from 24 ft
3:22.0,,,71-71,,Offensive rebound by D. Howard
3:15.0,,,71-71,,M. Kidd-Gilchrist misses 2-pt shot from 6 ft
3:15.0,,,71-71,,Offensive rebound by D. Howard
3:13.0,,,71-73,2,D. Howard makes 2-pt shot at rim
3:13.0,Minnesota full timeout,,71-73,,
3:13.0,,,71-73,,J. Lamb enters the game for N. Batum
3:13.0,,,71-73,,F. Kaminsky enters the game for M. Williams
3:13.0,G. Dieng enters the game for K. Towns,,71-73,,
2:49.0,G. Dieng makes 3-pt shot from 24 ft (assist by A. Wiggins),3,74-73,,
2:26.0,,,74-75,2,M. Kidd-Gilchrist makes 2-pt shot from 15 ft (assist by J. Lamb)
2:18.0,,,74-75,,Personal foul by J. Lamb (drawn by J. Teague)
2:18.0,J. Teague misses free throw 1 of 2,,74-75,,
2:18.0,Offensive rebound by Team,,74-75,,
2:18.0,,,74-75,,C. Zeller enters the game for D. Howard
2:18.0,N. Bjelica enters the game for J. Butler,,74-75,,
2:18.0,J. Crawford enters the game for T. Gibson,,74-75,,
2:18.0,J. Teague makes free throw 2 of 2,1,75-75,,
2:01.0,,,75-75,,F. Kaminsky misses 2-pt shot from 6 ft
2:01.0,,,75-75,,Offensive rebound by Team
1:49.0,,,75-78,3,F. Kaminsky makes 3-pt shot from 25 ft (assist by J. Lamb)
1:25.0,J. Teague misses 2-pt shot from 6 ft (block by K. Walker),,75-78,,
1:22.0,,,75-78,,Defensive rebound by K. Walker
1:11.0,,,75-78,,K. Walker misses 2-pt shot from 2 ft
1:11.0,Defensive rebound by Team,,75-78,,
1:11.0,,,75-78,,M. Carter-Williams enters the game for K. Walker
0:58.0,Offensive foul by A. Wiggins (drawn by M. Kidd-Gilchrist),,75-78,,
0:58.0,Turnover by A. Wiggins (offensive foul),,75-78,,
0:58.0,Technical foul by Team,,75-78,,
0:58.0,,,75-79,1,J. Lamb makes technical free throw
0:58.0,T. Jones enters the game for J. Teague,,75-79,,
0:43.0,,,75-82,3,J. Lamb makes 3-pt shot from 22 ft (assist by C. Zeller)
0:35.0,J. Crawford makes 2-pt shot from 18 ft,2,77-82,,
0:17.0,,,77-84,2,C. Zeller makes 2-pt shot from 17 ft (assist by F. Kaminsky)
0:02.0,J. Crawford makes 3-pt shot from 29 ft,3,80-84,,
0:00.0,,,80-84,,M. Carter-Williams misses 3-pt shot from 27 ft
0:00.0,,,80-84,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
