time,Memphis,pts.away,score,pts.home,Miami
11:25.0,,,33-36,2,D. Wade makes 2-pt shot from 4 ft (assist by W. Ellington)
11:11.0,Shooting foul by D. Wade (drawn by A. Harrison),,33-36,,
11:11.0,A. Harrison makes free throw 1 of 2,1,34-36,,
11:11.0,A. Harrison makes free throw 2 of 2,1,35-36,,
10:50.0,,,35-36,,W. Ellington misses 3-pt shot from 25 ft
10:47.0,Defensive rebound by J. Green,,35-36,,
10:46.0,Turnover by J. Green (lost ball; steal by J. Richardson),,35-36,,
10:40.0,,,35-38,2,J. Richardson makes 2-pt shot from 13 ft
10:30.0,B. McLemore misses 2-pt shot from 5 ft,,35-38,,
10:27.0,,,35-38,,Defensive rebound by J. Johnson
10:25.0,,,35-40,2,J. Johnson makes 2-pt shot from 1 ft
10:25.0,,,35-40,,Shooting foul by B. McLemore (drawn by J. Johnson)
10:25.0,D. Brooks enters the game for B. McLemore,,35-40,,
10:25.0,,,35-41,1,J. Johnson makes free throw 1 of 1
10:15.0,M. Chalmers misses 2-pt shot from 1 ft,,35-41,,
10:12.0,,,35-41,,Defensive rebound by B. Adebayo
10:10.0,,,35-44,3,W. Ellington makes 3-pt shot from 24 ft (assist by J. Johnson)
10:08.0,Memphis full timeout,,35-44,,
9:46.0,D. Davis misses 2-pt shot from 11 ft,,35-44,,
9:44.0,,,35-44,,Defensive rebound by J. Johnson
9:37.0,,,35-44,,J. Richardson misses 2-pt shot from 5 ft
9:34.0,,,35-44,,Offensive rebound by D. Wade
9:32.0,,,35-44,,Turnover by D. Wade (bad pass; steal by M. Chalmers)
9:32.0,,,35-44,,Personal foul by J. Johnson (drawn by M. Chalmers)
9:18.0,J. Green misses 2-pt shot from 15 ft,,35-44,,
9:15.0,,,35-44,,Defensive rebound by B. Adebayo
9:07.0,,,35-44,,J. Richardson misses 2-pt shot from 1 ft
9:07.0,,,35-44,,Offensive rebound by Team
9:07.0,K. Simmons enters the game for A. Harrison,,35-44,,
9:07.0,M. Henry enters the game for M. Chalmers,,35-44,,
9:00.0,,,35-46,2,B. Adebayo makes 2-pt shot from 1 ft
8:47.0,D. Brooks makes 2-pt shot from 15 ft,2,37-46,,
8:28.0,,,37-46,,J. Richardson misses 3-pt shot from 25 ft
8:26.0,Defensive rebound by D. Davis,,37-46,,
8:21.0,,,37-46,,Personal foul by D. Wade (drawn by D. Brooks)
8:21.0,,,37-46,,T. Johnson enters the game for D. Wade
8:20.0,Turnover by M. Henry (bad pass; steal by J. Richardson),,37-46,,
8:16.0,,,37-48,2,J. Richardson makes 2-pt shot at rim
7:59.0,D. Brooks misses 2-pt shot from 8 ft,,37-48,,
7:54.0,Offensive rebound by D. Davis,,37-48,,
7:54.0,D. Davis makes 2-pt shot at rim,2,39-48,,
7:41.0,,,39-48,,Turnover by J. Johnson (bad pass; steal by M. Henry)
7:40.0,,,39-48,,G. Dragic enters the game for J. Richardson
7:40.0,,,39-48,,H. Whiteside enters the game for B. Adebayo
7:40.0,J. Martin enters the game for M. Henry,,39-48,,
7:27.0,D. Brooks misses 2-pt shot from 14 ft,,39-48,,
7:24.0,,,39-48,,Defensive rebound by G. Dragic
7:20.0,,,39-50,2,J. Johnson makes 2-pt shot from 12 ft
7:08.0,K. Simmons makes 2-pt shot from 1 ft,2,41-50,,
6:57.0,,,41-50,,Turnover by W. Ellington (bad pass; steal by D. Brooks)
6:53.0,,,41-50,,L. Babbitt enters the game for W. Ellington
6:53.0,,,41-50,,J. Winslow enters the game for J. Johnson
6:53.0,I. Rabb enters the game for D. Davis,,41-50,,
6:45.0,Shooting foul by J. Winslow (drawn by D. Brooks),,41-50,,
6:45.0,D. Brooks makes free throw 1 of 2,1,42-50,,
6:45.0,D. Brooks makes free throw 2 of 2,1,43-50,,
6:33.0,,,43-52,2,J. Winslow makes 2-pt shot from 5 ft (assist by G. Dragic)
6:17.0,Turnover by I. Rabb (bad pass; steal by H. Whiteside),,43-52,,
6:11.0,,,43-52,,L. Babbitt misses 3-pt shot from 24 ft
6:10.0,Defensive rebound by Team,,43-52,,
5:54.0,J. Martin misses 2-pt shot from 2 ft,,43-52,,
5:51.0,Offensive rebound by J. Green,,43-52,,
5:51.0,J. Green makes 2-pt shot at rim,2,45-52,,
5:51.0,,,45-52,,Miami full timeout
5:34.0,,,45-52,,T. Johnson misses 2-pt shot from 1 ft
5:33.0,Defensive rebound by J. Martin,,45-52,,
5:26.0,Turnover by D. Brooks (bad pass; steal by T. Johnson),,45-52,,
5:19.0,,,45-54,2,J. Winslow makes 2-pt shot from 1 ft (assist by L. Babbitt)
5:01.0,D. Brooks misses 2-pt shot from 9 ft,,45-54,,
4:58.0,,,45-54,,Defensive rebound by J. Winslow
4:44.0,,,45-54,,J. Winslow misses 2-pt shot from 10 ft
4:40.0,Defensive rebound by J. Green,,45-54,,
4:32.0,K. Simmons misses 2-pt shot from 15 ft,,45-54,,
4:30.0,Offensive rebound by J. Green,,45-54,,
4:28.0,J. Green misses 2-pt shot from 1 ft,,45-54,,
4:26.0,,,45-54,,Defensive rebound by H. Whiteside
4:12.0,,,45-54,,J. Winslow misses 2-pt shot from 5 ft
4:12.0,,,45-54,,Offensive rebound by H. Whiteside
4:04.0,,,45-54,,G. Dragic misses 2-pt shot from 13 ft
4:03.0,Defensive rebound by Team,,45-54,,
4:03.0,A. Harrison enters the game for K. Simmons,,45-54,,
4:03.0,M. Henry enters the game for D. Brooks,,45-54,,
4:00.0,,,45-54,,Loose ball foul by H. Whiteside (drawn by I. Rabb)
4:00.0,I. Rabb makes free throw 1 of 2,1,46-54,,
4:00.0,I. Rabb misses free throw 2 of 2,,46-54,,
3:58.0,,,46-54,,Defensive rebound by L. Babbitt
3:49.0,,,46-54,,L. Babbitt misses 3-pt shot from 23 ft
3:47.0,Defensive rebound by A. Harrison,,46-54,,
3:39.0,A. Harrison makes 2-pt shot from 6 ft,2,48-54,,
3:25.0,,,48-54,,Turnover by L. Babbitt (bad pass)
3:07.0,J. Martin misses 2-pt shot from 5 ft (block by H. Whiteside),,48-54,,
3:05.0,,,48-54,,Defensive rebound by G. Dragic
2:59.0,,,48-57,3,T. Johnson makes 3-pt shot from 23 ft (assist by J. Winslow)
2:48.0,,,48-57,,Personal foul by G. Dragic (drawn by A. Harrison)
2:48.0,A. Harrison misses free throw 1 of 2,,48-57,,
2:48.0,Offensive rebound by Team,,48-57,,
2:48.0,A. Harrison misses free throw 2 of 2,,48-57,,
2:46.0,,,48-57,,Defensive rebound by H. Whiteside
2:35.0,Personal foul by I. Rabb (drawn by H. Whiteside),,48-57,,
2:23.0,,,48-57,,H. Whiteside misses 2-pt shot from 1 ft
2:21.0,Defensive rebound by I. Rabb,,48-57,,
2:15.0,J. Martin misses 2-pt shot at rim,,48-57,,
2:11.0,,,48-57,,Defensive rebound by L. Babbitt
2:08.0,,,48-57,,G. Dragic misses 2-pt shot from 3 ft
2:05.0,Defensive rebound by I. Rabb,,48-57,,
1:56.0,I. Rabb makes 2-pt shot from 21 ft (assist by A. Harrison),2,50-57,,
1:34.0,,,50-60,3,J. Winslow makes 3-pt shot from 22 ft (assist by G. Dragic)
1:14.0,J. Green makes 2-pt shot from 6 ft,2,52-60,,
0:56.0,,,52-60,,H. Whiteside misses 2-pt shot from 6 ft
0:54.0,,,52-60,,Offensive rebound by L. Babbitt
0:36.0,,,52-60,,Turnover by T. Johnson (discontinued dribble)
0:36.0,,,52-60,,J. Richardson enters the game for H. Whiteside
0:36.0,,,52-60,,B. Adebayo enters the game for L. Babbitt
0:25.0,Turnover by J. Martin (out of bounds lost ball),,52-60,,
0:03.0,,,52-60,,G. Dragic misses 3-pt shot from 25 ft
0:02.0,,,52-60,,Offensive rebound by J. Winslow
0:01.0,,,52-60,,T. Johnson misses 3-pt shot from 24 ft (block by M. Henry)
0:01.0,,,52-60,,Offensive rebound by G. Dragic
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,D. Davis makes 2-pt shot from 18 ft (assist by D. Brooks),2,54-60,,
11:29.0,Personal foul by A. Harrison (drawn by G. Dragic),,54-60,,
11:23.0,Personal foul by D. Brooks (drawn by H. Whiteside),,54-60,,
11:14.0,,,54-62,2,J. Richardson makes 2-pt shot from 1 ft (assist by G. Dragic)
11:03.0,J. Martin misses 2-pt shot from 17 ft,,54-62,,
11:00.0,Offensive rebound by D. Davis,,54-62,,
10:59.0,J. Martin makes 2-pt shot at rim (assist by J. Green),2,56-62,,
10:38.0,,,56-62,,T. Johnson misses 3-pt shot from 25 ft
10:35.0,Defensive rebound by A. Harrison,,56-62,,
10:28.0,A. Harrison misses 2-pt shot from 9 ft,,56-62,,
10:25.0,Offensive rebound by A. Harrison,,56-62,,
10:24.0,J. Martin misses 3-pt shot from 24 ft,,56-62,,
10:20.0,,,56-62,,Defensive rebound by H. Whiteside
10:15.0,,,56-62,,G. Dragic misses 3-pt shot from 24 ft
10:12.0,Defensive rebound by D. Brooks,,56-62,,
10:05.0,Turnover by D. Brooks (bad pass),,56-62,,
9:51.0,,,56-62,,J. Richardson misses 3-pt shot from 25 ft
9:48.0,,,56-62,,Offensive rebound by H. Whiteside
9:46.0,,,56-64,2,H. Whiteside makes 2-pt shot from 9 ft
9:25.0,Turnover by J. Martin (lost ball; steal by J. Richardson),,56-64,,
9:20.0,,,56-66,2,J. Winslow makes 2-pt shot from 2 ft (assist by G. Dragic)
9:20.0,Memphis full timeout,,56-66,,
8:58.0,A. Harrison misses 2-pt shot from 15 ft,,56-66,,
8:57.0,Offensive rebound by Team,,56-66,,
8:51.0,A. Harrison misses 2-pt shot from 9 ft (block by H. Whiteside),,56-66,,
8:49.0,,,56-66,,Defensive rebound by J. Richardson
8:43.0,,,56-68,2,H. Whiteside makes 2-pt shot at rim (assist by G. Dragic)
8:43.0,,,56-68,,Shooting foul by D. Brooks (drawn by H. Whiteside)
8:43.0,,,56-68,,H. Whiteside misses free throw 1 of 1
8:41.0,Defensive rebound by D. Davis,,56-68,,
8:36.0,,,56-68,,Personal foul by G. Dragic (drawn by A. Harrison)
8:28.0,J. Martin misses 2-pt shot from 13 ft,,56-68,,
8:26.0,,,56-68,,Defensive rebound by J. Winslow
8:13.0,,,56-70,2,H. Whiteside makes 2-pt shot from 4 ft
7:58.0,J. Green misses 3-pt shot from 22 ft (block by H. Whiteside),,56-70,,
7:58.0,,,56-70,,Defensive rebound by J. Richardson
7:51.0,,,56-70,,T. Johnson misses 2-pt shot from 2 ft
7:49.0,,,56-70,,Offensive rebound by G. Dragic
7:38.0,,,56-70,,J. Winslow misses 2-pt shot from 6 ft
7:32.0,,,56-70,,Offensive rebound by H. Whiteside
7:32.0,,,56-70,,H. Whiteside misses 2-pt shot at rim
7:29.0,Defensive rebound by D. Davis,,56-70,,
7:25.0,A. Harrison makes 2-pt shot from 1 ft,2,58-70,,
7:10.0,,,58-70,,Shooting foul by D. Brooks (drawn by T. Johnson)
7:10.0,,,58-71,1,T. Johnson makes free throw 1 of 2
7:10.0,M. Chalmers enters the game for D. Brooks,,58-71,,
7:10.0,,,58-72,1,T. Johnson makes free throw 2 of 2
6:51.0,D. Davis misses 2-pt shot from 21 ft,,58-72,,
6:47.0,,,58-72,,Defensive rebound by H. Whiteside
6:38.0,,,58-72,,J. Winslow misses 3-pt shot from 24 ft
6:33.0,Defensive rebound by A. Harrison,,58-72,,
6:25.0,A. Harrison makes 2-pt shot from 14 ft,2,60-72,,
6:09.0,,,60-72,,J. Winslow misses 2-pt shot from 19 ft
6:06.0,Defensive rebound by J. Martin,,60-72,,
5:51.0,M. Chalmers makes 2-pt shot from 15 ft,2,62-72,,
5:51.0,,,62-72,,Miami full timeout
5:51.0,,,62-72,,W. Ellington enters the game for J. Richardson
5:51.0,B. McLemore enters the game for J. Green,,62-72,,
5:38.0,,,62-72,,Shooting foul by B. McLemore (drawn by H. Whiteside)
5:38.0,,,62-73,1,H. Whiteside makes free throw 1 of 2
5:38.0,,,62-74,1,H. Whiteside makes free throw 2 of 2
5:22.0,,,62-74,,Personal foul by H. Whiteside (drawn by D. Davis)
5:22.0,K. Simmons enters the game for A. Harrison,,62-74,,
5:16.0,M. Chalmers makes 2-pt shot from 21 ft,2,64-74,,
5:04.0,Personal foul by D. Davis (drawn by G. Dragic),,64-74,,
5:04.0,,,64-74,,G. Dragic misses free throw 1 of 2
5:04.0,,,64-74,,Offensive rebound by Team
5:04.0,,,64-75,1,G. Dragic makes free throw 2 of 2
4:48.0,,,64-75,,Personal foul by G. Dragic (drawn by M. Chalmers)
4:40.0,D. Davis misses 2-pt shot from 19 ft,,64-75,,
4:37.0,,,64-75,,Defensive rebound by J. Winslow
4:28.0,,,64-77,2,J. Winslow makes 2-pt shot from 4 ft (assist by W. Ellington)
4:19.0,Shooting foul by T. Johnson (drawn by K. Simmons),,64-77,,
4:19.0,K. Simmons makes free throw 1 of 2,1,65-77,,
4:19.0,I. Rabb enters the game for D. Davis,,65-77,,
4:19.0,K. Simmons makes free throw 2 of 2,1,66-77,,
4:06.0,,,66-79,2,T. Johnson makes 2-pt shot from 3 ft (assist by H. Whiteside)
3:50.0,K. Simmons misses 2-pt shot from 8 ft (block by G. Dragic),,66-79,,
3:47.0,,,66-79,,Defensive rebound by J. Winslow
3:45.0,,,66-81,2,T. Johnson makes 2-pt shot at rim (assist by J. Winslow)
3:29.0,Offensive foul by K. Simmons (drawn by G. Dragic),,66-81,,
3:29.0,Turnover by K. Simmons (offensive foul),,66-81,,
3:29.0,,,66-81,,D. Wade enters the game for G. Dragic
3:13.0,,,66-84,3,W. Ellington makes 3-pt shot from 23 ft (assist by H. Whiteside)
3:13.0,Memphis full timeout,,66-84,,
3:13.0,,,66-84,,J. Johnson enters the game for J. Winslow
2:55.0,M. Chalmers misses 2-pt shot from 12 ft,,66-84,,
2:49.0,,,66-84,,Defensive rebound by T. Johnson
2:40.0,,,66-84,,Shooting foul by I. Rabb (drawn by H. Whiteside)
2:40.0,,,66-84,,H. Whiteside misses free throw 1 of 2
2:40.0,,,66-84,,Offensive rebound by Team
2:40.0,A. Harrison enters the game for J. Martin,,66-84,,
2:40.0,,,66-85,1,H. Whiteside makes free throw 2 of 2
2:25.0,A. Harrison misses 3-pt shot from 24 ft,,66-85,,
2:21.0,Offensive rebound by I. Rabb,,66-85,,
2:20.0,Shooting foul by H. Whiteside (drawn by I. Rabb),,66-85,,
2:20.0,I. Rabb makes free throw 1 of 2,1,67-85,,
2:20.0,I. Rabb makes free throw 2 of 2,1,68-85,,
2:20.0,,,68-85,,B. Adebayo enters the game for H. Whiteside
2:05.0,,,68-88,3,W. Ellington makes 3-pt shot from 24 ft (assist by B. Adebayo)
1:45.0,Turnover by M. Chalmers (bad pass; steal by W. Ellington),,68-88,,
1:41.0,,,68-88,,W. Ellington misses 3-pt shot from 27 ft
1:35.0,,,68-88,,Offensive rebound by J. Johnson
1:28.0,Personal foul by B. McLemore (drawn by B. Adebayo),,68-88,,
1:28.0,,,68-89,1,B. Adebayo makes free throw 1 of 2
1:28.0,J. Green enters the game for K. Simmons,,68-89,,
1:28.0,,,68-89,,B. Adebayo misses free throw 2 of 2
1:25.0,Defensive rebound by I. Rabb,,68-89,,
1:23.0,Turnover by I. Rabb (bad pass; steal by J. Johnson),,68-89,,
1:11.0,,,68-89,,W. Ellington misses 3-pt shot from 23 ft
1:08.0,,,68-89,,Offensive rebound by D. Wade
1:02.0,,,68-89,,J. Johnson misses 3-pt shot from 28 ft
0:59.0,Defensive rebound by J. Green,,68-89,,
0:45.0,J. Green misses 2-pt shot from 18 ft,,68-89,,
0:42.0,,,68-89,,Defensive rebound by D. Wade
0:33.0,,,68-89,,D. Wade misses 2-pt shot from 16 ft
0:29.0,Defensive rebound by B. McLemore,,68-89,,
0:24.0,J. Green makes 2-pt shot from 19 ft (assist by A. Harrison),2,70-89,,
0:10.0,,,70-91,2,T. Johnson makes 2-pt shot from 12 ft (assist by D. Wade)
0:10.0,,,70-91,,Shooting foul by M. Chalmers (drawn by T. Johnson)
0:10.0,,,70-92,1,T. Johnson makes free throw 1 of 1
0:01.0,M. Chalmers misses 2-pt shot from 17 ft,,70-92,,
0:01.0,,,70-92,,Defensive rebound by J. Johnson
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,70-94,2,B. Adebayo makes 2-pt shot at rim (assist by W. Ellington)
11:31.0,,,70-94,,Personal foul by B. Adebayo (drawn by I. Rabb)
11:31.0,,,70-94,,J. Richardson enters the game for T. Johnson
11:20.0,M. Henry makes 3-pt shot from 25 ft (assist by J. Martin),3,73-94,,
10:53.0,,,73-97,3,J. Johnson makes 3-pt shot from 24 ft (assist by D. Wade)
10:40.0,M. Henry makes 3-pt shot from 25 ft (assist by A. Harrison),2,76-97,,
10:21.0,,,76-97,,Shooting foul by I. Rabb (drawn by B. Adebayo)
10:21.0,,,76-98,1,B. Adebayo makes free throw 1 of 2
10:21.0,D. Davis enters the game for I. Rabb,,76-98,,
10:21.0,,,76-99,1,B. Adebayo makes free throw 2 of 2
10:00.0,A. Harrison makes 2-pt shot from 5 ft,2,78-99,,
9:53.0,Personal foul by M. Henry (drawn by W. Ellington),,78-99,,
9:36.0,,,78-102,3,J. Richardson makes 3-pt shot from 25 ft (assist by W. Ellington)
9:20.0,Turnover by M. Henry (bad pass; steal by J. Johnson),,78-102,,
9:09.0,,,78-102,,W. Ellington misses 3-pt shot from 27 ft
9:06.0,,,78-102,,Offensive rebound by J. Richardson
8:50.0,Personal foul by A. Harrison (drawn by J. Richardson),,78-102,,
8:50.0,D. Brooks enters the game for J. Martin,,78-102,,
8:40.0,,,78-102,,B. Adebayo misses 2-pt shot from 4 ft
8:37.0,Defensive rebound by J. Green,,78-102,,
8:32.0,A. Harrison makes 2-pt shot from 19 ft,2,80-102,,
8:16.0,,,80-102,,J. Richardson misses 2-pt shot from 20 ft
8:14.0,Defensive rebound by M. Henry,,80-102,,
8:10.0,Turnover by J. Green (bad pass; steal by J. Richardson),,80-102,,
8:03.0,,,80-102,,J. Johnson misses 3-pt shot from 23 ft
8:03.0,Defensive rebound by Team,,80-102,,
7:44.0,Turnover by A. Harrison (bad pass; steal by B. Adebayo),,80-102,,
7:41.0,,,80-102,,J. Richardson misses 2-pt shot from 1 ft
7:41.0,,,80-102,,Offensive rebound by B. Adebayo
7:40.0,,,80-104,2,B. Adebayo makes 2-pt shot at rim
7:40.0,Memphis full timeout,,80-104,,
7:40.0,K. Simmons enters the game for M. Henry,,80-104,,
7:40.0,J. Martin enters the game for A. Harrison,,80-104,,
7:20.0,J. Martin misses 3-pt shot from 22 ft,,80-104,,
7:16.0,,,80-104,,Defensive rebound by W. Ellington
6:55.0,,,80-106,2,D. Wade makes 2-pt shot from 8 ft
6:41.0,D. Davis makes 2-pt shot at rim (assist by J. Martin),2,82-106,,
6:17.0,,,82-106,,D. Wade misses 2-pt shot from 13 ft
6:12.0,Defensive rebound by J. Green,,82-106,,
5:56.0,K. Simmons misses 2-pt shot at rim,,82-106,,
5:53.0,,,82-106,,Defensive rebound by B. Adebayo
5:47.0,,,82-108,2,J. Richardson makes 2-pt shot from 15 ft
5:28.0,D. Brooks misses 2-pt shot from 16 ft,,82-108,,
5:27.0,,,82-108,,Defensive rebound by Team
5:27.0,B. McLemore enters the game for J. Green,,82-108,,
5:05.0,,,82-108,,D. Wade misses 2-pt shot from 17 ft
5:01.0,Defensive rebound by B. McLemore,,82-108,,
4:54.0,Shooting foul by D. Wade (drawn by J. Martin),,82-108,,
4:54.0,J. Martin makes free throw 1 of 2,1,83-108,,
4:54.0,J. Martin makes free throw 2 of 2,1,84-108,,
