time,Philadelphia,pts.away,score,pts.home,Atlanta
4:52.0,Jump ball: T. Waller-Prince vs. B. Simmons (T. McConnell gains possession),,,,Jump ball: T. Waller-Prince vs. B. Simmons (T. McConnell gains possession)
4:50.0,T. McConnell misses 2-pt shot from 13 ft,,14-19,,
4:45.0,,,14-19,,Defensive rebound by M. Muscala
4:37.0,,,14-21,2,T. Dorsey makes 2-pt shot from 15 ft (assist by T. Waller-Prince)
4:21.0,E. Ilyasova makes 3-pt shot from 25 ft (assist by T. McConnell),3,17-21,,
4:08.0,,,17-21,,T. Waller-Prince misses 3-pt shot from 24 ft
4:06.0,Defensive rebound by M. Belinelli,,17-21,,
3:52.0,M. Belinelli misses 3-pt shot from 25 ft,,17-21,,
3:49.0,Offensive rebound by R. Holmes,,17-21,,
3:47.0,R. Holmes makes 2-pt shot from 1 ft (assist by B. Simmons),2,19-21,,
3:47.0,Shooting foul by M. Plumlee (drawn by R. Holmes),,19-21,,
3:47.0,M. Fultz enters the game for B. Simmons,,19-21,,
3:47.0,R. Holmes misses free throw 1 of 1,,19-21,,
3:47.0,,,19-21,,Defensive rebound by M. Plumlee
3:32.0,,,19-24,3,T. Dorsey makes 3-pt shot from 25 ft
3:18.0,M. Belinelli makes 2-pt shot from 20 ft (assist by E. Ilyasova),2,21-24,,
3:06.0,,,21-24,,M. Muscala misses 3-pt shot from 25 ft
3:04.0,Defensive rebound by M. Fultz,,21-24,,
3:02.0,R. Holmes makes 2-pt shot at rim (assist by M. Fultz),2,23-24,,
2:35.0,,,23-24,,T. Waller-Prince misses 3-pt shot from 24 ft
2:31.0,,,23-24,,Offensive rebound by M. Plumlee
2:24.0,,,23-26,2,I. Taylor makes 2-pt shot from 1 ft
2:08.0,E. Ilyasova misses 3-pt shot from 25 ft,,23-26,,
2:05.0,,,23-26,,Defensive rebound by T. Dorsey
2:00.0,Personal foul by M. Fultz (drawn by T. Dorsey),,23-26,,
2:00.0,R. Covington enters the game for T. McConnell,,23-26,,
2:00.0,J. Redick enters the game for E. Ilyasova,,23-26,,
2:00.0,,,23-26,,A. Cleveland enters the game for T. Waller-Prince
1:44.0,,,23-28,2,I. Taylor makes 2-pt shot from 15 ft
1:28.0,Shooting foul by I. Taylor (drawn by M. Fultz),,23-28,,
1:28.0,M. Fultz misses free throw 1 of 2,,23-28,,
1:28.0,Offensive rebound by Team,,23-28,,
1:28.0,M. Fultz misses free throw 2 of 2,,23-28,,
1:25.0,Offensive rebound by M. Fultz,,23-28,,
1:23.0,M. Fultz makes 2-pt shot from 1 ft,2,25-28,,
1:11.0,Personal foul by M. Belinelli (drawn by M. Plumlee),,25-28,,
1:11.0,,,25-29,1,M. Plumlee makes free throw 1 of 2
1:11.0,,,25-30,1,M. Plumlee makes free throw 2 of 2
1:01.0,J. Redick misses 3-pt shot from 24 ft,,25-30,,
0:58.0,,,25-30,,Defensive rebound by I. Taylor
0:54.0,,,25-32,2,M. Plumlee makes 2-pt shot from 1 ft (assist by I. Taylor)
0:45.0,R. Holmes makes 2-pt shot from 12 ft (assist by M. Fultz),2,27-32,,
0:30.0,,,27-32,,M. Muscala misses 3-pt shot from 22 ft
0:27.0,Defensive rebound by M. Fultz,,27-32,,
0:24.0,M. Belinelli misses 3-pt shot from 27 ft,,27-32,,
0:20.0,,,27-32,,Defensive rebound by T. Dorsey
0:00.0,,,27-32,,M. Muscala misses 2-pt shot from 8 ft
0:00.0,Defensive rebound by R. Holmes,,27-32,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,R. Covington makes 3-pt shot from 25 ft (assist by R. Holmes),3,30-32,,
11:38.0,,,30-32,,T. Dorsey misses 2-pt shot from 15 ft
11:33.0,Defensive rebound by R. Covington,,30-32,,
11:30.0,M. Fultz misses 2-pt shot from 4 ft,,30-32,,
11:25.0,Offensive rebound by M. Fultz,,30-32,,
11:25.0,M. Fultz makes 2-pt shot at rim,2,32-32,,
11:19.0,,,32-32,,I. Taylor misses 2-pt shot from 4 ft
11:14.0,,,32-32,,Offensive rebound by M. Muscala
11:14.0,,,32-34,2,M. Muscala makes 2-pt shot at rim
10:58.0,Shooting foul by M. Muscala (drawn by J. Redick),,32-34,,
10:58.0,J. Redick misses free throw 1 of 3,,32-34,,
10:58.0,Offensive rebound by Team,,32-34,,
10:58.0,J. Redick makes free throw 2 of 3,1,33-34,,
10:58.0,,,33-34,,J. Collins enters the game for M. Plumlee
10:58.0,A. Johnson enters the game for R. Holmes,,33-34,,
10:58.0,J. Redick makes free throw 3 of 3,1,34-34,,
10:45.0,,,34-34,,T. Dorsey misses 2-pt shot from 3 ft
10:42.0,Defensive rebound by A. Johnson,,34-34,,
10:35.0,M. Belinelli misses 2-pt shot from 2 ft,,34-34,,
10:31.0,Offensive rebound by A. Johnson,,34-34,,
10:29.0,A. Johnson makes 2-pt shot from 4 ft,2,36-34,,
10:12.0,,,36-36,2,I. Taylor makes 2-pt shot from 3 ft
9:53.0,J. Redick makes 2-pt shot from 19 ft,2,38-36,,
9:42.0,,,38-36,,Turnover by I. Taylor (bad pass; steal by A. Johnson)
9:36.0,M. Belinelli makes 3-pt shot from 22 ft (assist by J. Redick),3,41-36,,
9:35.0,,,41-36,,Atlanta full timeout
9:35.0,,,41-36,,D. Dedmon enters the game for A. Cleveland
9:35.0,,,41-36,,D. Bembry enters the game for T. Dorsey
9:35.0,,,41-36,,D. Lee enters the game for M. Muscala
9:10.0,,,41-36,,J. Collins misses 2-pt shot from 11 ft
9:07.0,Defensive rebound by R. Covington,,41-36,,
8:53.0,Turnover by J. Redick (lost ball; steal by J. Collins),,41-36,,
8:40.0,,,41-36,,I. Taylor misses 2-pt shot from 4 ft
8:37.0,Defensive rebound by A. Johnson,,41-36,,
8:36.0,B. Simmons enters the game for M. Belinelli,,41-36,,
8:36.0,E. Ilyasova enters the game for M. Fultz,,41-36,,
8:24.0,Jump ball: I. Taylor vs. J. Redick (D. Bembry gains possession),,,,Jump ball: I. Taylor vs. J. Redick (D. Bembry gains possession)
8:24.0,Turnover by E. Ilyasova (bad pass; steal by I. Taylor),,41-36,,
8:21.0,Personal foul by B. Simmons (drawn by D. Bembry),,41-36,,
8:09.0,,,41-38,2,D. Dedmon makes 2-pt shot from 3 ft (assist by D. Bembry)
8:09.0,,,41-38,,Shooting foul by B. Simmons (drawn by D. Dedmon)
8:09.0,T. McConnell enters the game for J. Redick,,41-38,,
8:09.0,,,41-39,1,D. Dedmon makes free throw 1 of 1
7:58.0,,,41-39,,Personal foul by D. Bembry (drawn by B. Simmons)
7:52.0,B. Simmons makes 2-pt shot from 1 ft,2,43-39,,
7:30.0,,,43-39,,D. Bembry misses 2-pt shot from 1 ft
7:27.0,Defensive rebound by R. Covington,,43-39,,
7:25.0,Turnover by B. Simmons (bad pass),,43-39,,
7:25.0,,,43-39,,T. Waller-Prince enters the game for D. Bembry
7:12.0,,,43-39,,I. Taylor misses 2-pt shot from 14 ft
7:10.0,Defensive rebound by E. Ilyasova,,43-39,,
7:00.0,Shooting foul by D. Dedmon (drawn by E. Ilyasova),,43-39,,
7:00.0,E. Ilyasova makes free throw 1 of 2,1,44-39,,
7:00.0,,,44-39,,T. Dorsey enters the game for I. Taylor
7:00.0,E. Ilyasova misses free throw 2 of 2,,44-39,,
6:55.0,Offensive rebound by T. McConnell,,44-39,,
6:51.0,R. Covington misses 3-pt shot from 22 ft,,44-39,,
6:49.0,Offensive rebound by E. Ilyasova,,44-39,,
6:47.0,E. Ilyasova makes 2-pt shot from 1 ft,2,46-39,,
6:39.0,,,46-39,,Shooting foul by A. Johnson (drawn by T. Waller-Prince)
6:39.0,,,46-39,,T. Waller-Prince misses free throw 1 of 2
6:39.0,,,46-39,,Offensive rebound by Team
6:39.0,M. Belinelli enters the game for R. Covington,,46-39,,
6:39.0,,,46-40,1,T. Waller-Prince makes free throw 2 of 2
6:32.0,B. Simmons makes 2-pt shot at rim (assist by A. Johnson),2,48-40,,
6:21.0,,,48-40,,T. Waller-Prince misses 3-pt shot from 25 ft
6:18.0,Defensive rebound by M. Belinelli,,48-40,,
6:13.0,E. Ilyasova makes 3-pt shot from 24 ft (assist by T. McConnell),3,51-40,,
6:05.0,,,51-40,,Atlanta full timeout
6:05.0,,,51-40,,M. Muscala enters the game for D. Dedmon
5:46.0,Personal foul by A. Johnson (drawn by J. Collins),,51-40,,
5:46.0,R. Holmes enters the game for A. Johnson,,51-40,,
5:41.0,,,51-40,,T. Waller-Prince misses 2-pt shot from 2 ft
5:38.0,,,51-40,,Offensive rebound by J. Collins
5:36.0,,,51-43,3,M. Muscala makes 3-pt shot from 22 ft (assist by J. Collins)
5:24.0,E. Ilyasova misses 3-pt shot from 25 ft,,51-43,,
5:20.0,,,51-43,,Defensive rebound by T. Waller-Prince
5:15.0,R. Covington enters the game for E. Ilyasova,,51-43,,
5:09.0,,,51-45,2,D. Lee makes 2-pt shot from 10 ft
5:02.0,B. Simmons misses 2-pt shot from 1 ft,,51-45,,
4:59.0,,,51-45,,Defensive rebound by D. Lee
4:51.0,,,51-45,,T. Dorsey misses 3-pt shot from 22 ft
4:47.0,Defensive rebound by T. McConnell,,51-45,,
4:43.0,,,51-45,,Personal foul by T. Dorsey (drawn by R. Holmes)
4:34.0,Turnover by R. Covington (bad pass; steal by T. Dorsey),,51-45,,
4:23.0,Personal foul by M. Belinelli (drawn by T. Dorsey),,51-45,,
4:23.0,,,51-45,,T. Dorsey misses free throw 1 of 2
4:23.0,,,51-45,,Offensive rebound by Team
4:23.0,,,51-45,,I. Taylor enters the game for D. Lee
4:23.0,J. Redick enters the game for T. McConnell,,51-45,,
4:23.0,,,51-46,1,T. Dorsey makes free throw 2 of 2
4:11.0,R. Covington misses 3-pt shot from 25 ft,,51-46,,
4:10.0,,,51-46,,Defensive rebound by Team
4:10.0,Loose ball foul by R. Holmes (drawn by J. Collins),,51-46,,
4:10.0,,,51-47,1,J. Collins makes free throw 1 of 2
4:10.0,,,51-47,,M. Plumlee enters the game for M. Muscala
4:10.0,,,51-48,1,J. Collins makes free throw 2 of 2
4:01.0,Offensive foul by R. Holmes (drawn by I. Taylor),,51-48,,
4:01.0,Turnover by R. Holmes (offensive foul),,51-48,,
4:01.0,,,51-48,,D. Bembry enters the game for T. Waller-Prince
4:01.0,,,51-48,,M. Muscala enters the game for J. Collins
3:49.0,,,51-48,,I. Taylor misses 3-pt shot from 25 ft
3:44.0,Defensive rebound by R. Holmes,,51-48,,
3:43.0,,,51-48,,Personal foul by T. Dorsey (drawn by B. Simmons)
3:43.0,B. Simmons misses free throw 1 of 2,,51-48,,
3:43.0,Offensive rebound by Team,,51-48,,
3:43.0,B. Simmons misses free throw 2 of 2,,51-48,,
3:39.0,,,51-48,,Defensive rebound by M. Muscala
3:25.0,,,51-48,,I. Taylor misses 2-pt shot from 17 ft
3:21.0,Defensive rebound by B. Simmons,,51-48,,
3:15.0,Turnover by R. Holmes (bad pass; steal by D. Bembry),,51-48,,
3:03.0,,,51-51,3,T. Dorsey makes 3-pt shot from 25 ft (assist by I. Taylor)
2:41.0,,,51-51,,Personal foul by I. Taylor (drawn by M. Belinelli)
2:41.0,M. Belinelli misses free throw 1 of 2,,51-51,,
2:41.0,Offensive rebound by Team,,51-51,,
2:41.0,,,51-51,,T. Waller-Prince enters the game for I. Taylor
2:41.0,M. Belinelli makes free throw 2 of 2,1,52-51,,
2:32.0,Personal foul by J. Redick (drawn by D. Bembry),,52-51,,
2:32.0,Technical foul by J. Redick,,52-51,,
2:32.0,,,52-52,1,T. Waller-Prince makes technical free throw
2:32.0,,,52-52,,D. Bembry misses free throw 1 of 2
2:32.0,,,52-52,,Offensive rebound by Team
2:32.0,,,52-52,,A. Cleveland enters the game for T. Dorsey
2:32.0,E. Ilyasova enters the game for R. Holmes,,52-52,,
2:32.0,,,52-53,1,D. Bembry makes free throw 2 of 2
2:22.0,J. Redick makes 2-pt shot from 14 ft (assist by B. Simmons),2,54-53,,
1:59.0,,,54-53,,T. Waller-Prince misses 3-pt shot from 24 ft
1:54.0,Defensive rebound by B. Simmons,,54-53,,
1:50.0,J. Redick makes 3-pt shot from 24 ft (assist by B. Simmons),3,57-53,,
1:27.0,,,57-53,,M. Muscala misses 3-pt shot from 23 ft
1:24.0,Defensive rebound by E. Ilyasova,,57-53,,
1:19.0,Philadelphia full timeout,,57-53,,
1:17.0,Shooting foul by A. Cleveland (drawn by B. Simmons),,57-53,,
1:17.0,B. Simmons misses free throw 1 of 2,,57-53,,
1:17.0,Offensive rebound by Team,,57-53,,
1:17.0,B. Simmons makes free throw 2 of 2,1,58-53,,
1:03.0,,,58-55,2,M. Muscala makes 2-pt shot from 11 ft (assist by D. Bembry)
0:39.0,M. Belinelli misses 3-pt shot from 22 ft,,58-55,,
0:37.0,,,58-55,,Defensive rebound by D. Bembry
0:34.0,,,58-55,,D. Bembry misses 2-pt shot at rim
0:31.0,Defensive rebound by J. Redick,,58-55,,
0:28.0,M. Belinelli misses 3-pt shot from 23 ft,,58-55,,
0:26.0,Offensive rebound by Team,,58-55,,
0:26.0,,,58-55,,Loose ball foul by M. Plumlee (drawn by E. Ilyasova)
0:26.0,E. Ilyasova misses free throw 1 of 2,,58-55,,
0:26.0,Offensive rebound by Team,,58-55,,
0:26.0,M. Fultz enters the game for M. Belinelli,,58-55,,
0:26.0,T. McConnell enters the game for B. Simmons,,58-55,,
0:26.0,E. Ilyasova makes free throw 2 of 2,1,59-55,,
0:15.0,,,59-55,,T. Waller-Prince misses 3-pt shot from 26 ft
0:12.0,Defensive rebound by Team,,59-55,,
0:12.0,,,59-55,,Loose ball foul by A. Cleveland (drawn by E. Ilyasova)
0:12.0,E. Ilyasova makes free throw 1 of 2,1,60-55,,
0:12.0,E. Ilyasova makes free throw 2 of 2,1,61-55,,
0:00.0,,,61-55,,T. Waller-Prince misses 2-pt shot from 8 ft (block by T. McConnell)
0:00.0,Defensive rebound by R. Covington,,61-55,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:51.0,J. Redick makes 3-pt shot from 25 ft (assist by A. Johnson),3,64-55,,
11:36.0,,,64-57,2,D. Bembry makes 2-pt shot from 12 ft
11:23.0,J. Redick makes 2-pt shot at rim (assist by A. Johnson),2,66-57,,
11:10.0,,,66-57,,D. Dedmon misses 2-pt shot from 11 ft
11:05.0,Defensive rebound by J. Redick,,66-57,,
11:01.0,J. Redick misses 3-pt shot from 25 ft,,66-57,,
10:59.0,,,66-57,,Defensive rebound by Team
10:45.0,,,66-60,3,T. Waller-Prince makes 3-pt shot from 25 ft (assist by J. Collins)
10:28.0,B. Simmons misses 2-pt shot from 1 ft,,66-60,,
10:22.0,,,66-60,,Defensive rebound by J. Collins
10:18.0,,,66-60,,D. Lee misses 3-pt shot from 25 ft
10:15.0,Defensive rebound by B. Simmons,,66-60,,
10:10.0,E. Ilyasova misses 2-pt shot from 1 ft,,66-60,,
10:06.0,,,66-60,,Defensive rebound by D. Dedmon
9:58.0,,,66-60,,Shooting foul by B. Simmons (drawn by D. Dedmon)
9:58.0,,,66-61,1,D. Dedmon makes free throw 1 of 3
9:58.0,,,66-61,,D. Dedmon misses free throw 2 of 3
9:58.0,,,66-61,,Offensive rebound by Team
9:58.0,,,66-62,1,D. Dedmon makes free throw 3 of 3
9:51.0,J. Redick misses 2-pt shot from 12 ft,,66-62,,
9:47.0,Offensive rebound by A. Johnson,,66-62,,
9:45.0,E. Ilyasova misses 2-pt shot from 16 ft,,66-62,,
9:43.0,Offensive rebound by Team,,66-62,,
9:38.0,A. Johnson makes 3-pt shot from 25 ft (assist by J. Redick),3,69-62,,
9:26.0,,,69-62,,T. Waller-Prince misses 3-pt shot from 23 ft
9:22.0,Defensive rebound by J. Redick,,69-62,,
9:19.0,R. Covington misses 3-pt shot from 24 ft,,69-62,,
9:16.0,,,69-62,,Defensive rebound by D. Bembry
9:13.0,,,69-64,2,T. Waller-Prince makes 2-pt shot from 1 ft (assist by D. Bembry)
8:55.0,E. Ilyasova misses 3-pt shot from 25 ft,,69-64,,
8:52.0,,,69-64,,Defensive rebound by T. Waller-Prince
8:46.0,,,69-64,,J. Collins misses 2-pt shot from 1 ft
8:38.0,,,69-64,,Offensive rebound by T. Waller-Prince
8:35.0,,,69-64,,D. Lee misses 3-pt shot from 24 ft
8:31.0,Defensive rebound by A. Johnson,,69-64,,
8:17.0,A. Johnson misses 3-pt shot from 25 ft,,69-64,,
8:14.0,,,69-64,,Defensive rebound by J. Collins
7:53.0,,,69-64,,Turnover by D. Bembry (lost ball; steal by E. Ilyasova)
7:51.0,Offensive foul by B. Simmons,,69-64,,
7:51.0,Turnover by B. Simmons (offensive foul),,69-64,,
7:51.0,T. McConnell enters the game for J. Redick,,69-64,,
7:51.0,M. Belinelli enters the game for R. Covington,,69-64,,
7:51.0,Technical foul by B. Simmons,,69-64,,
7:51.0,,,69-65,1,T. Waller-Prince makes technical free throw
7:51.0,M. Fultz enters the game for B. Simmons,,69-65,,
7:36.0,,,69-65,,Shooting foul by E. Ilyasova (drawn by D. Dedmon)
7:36.0,,,69-66,1,D. Dedmon makes free throw 1 of 2
7:36.0,,,69-67,1,D. Dedmon makes free throw 2 of 2
7:22.0,M. Fultz misses 2-pt shot at rim (block by D. Dedmon),,69-67,,
7:18.0,,,69-67,,Defensive rebound by D. Dedmon
7:18.0,,,69-67,,I. Taylor enters the game for D. Bembry
7:15.0,,,69-67,,Offensive foul by J. Collins (drawn by E. Ilyasova)
7:15.0,,,69-67,,Turnover by J. Collins (offensive foul)
6:53.0,A. Johnson makes 2-pt shot from 3 ft,2,71-67,,
6:53.0,,,71-67,,Violation by T. Waller-Prince (def goaltending)
6:32.0,,,71-67,,J. Collins misses 3-pt shot from 24 ft
6:28.0,Defensive rebound by M. Belinelli,,71-67,,
6:26.0,Philadelphia full timeout,,71-67,,
6:26.0,J. Redick enters the game for A. Johnson,,71-67,,
6:26.0,R. Holmes enters the game for T. McConnell,,71-67,,
6:14.0,E. Ilyasova misses 2-pt shot from 15 ft,,71-67,,
6:11.0,,,71-67,,Defensive rebound by J. Collins
5:57.0,,,71-69,2,T. Waller-Prince makes 2-pt shot from 13 ft
5:44.0,E. Ilyasova makes 3-pt shot from 25 ft (assist by J. Redick),3,74-69,,
5:26.0,,,74-71,2,I. Taylor makes 2-pt shot from 1 ft (assist by J. Collins)
5:06.0,M. Belinelli misses 3-pt shot from 23 ft,,74-71,,
5:02.0,Offensive rebound by R. Holmes,,74-71,,
5:01.0,R. Holmes misses 2-pt shot from 2 ft (block by D. Dedmon),,74-71,,
4:58.0,,,74-71,,Defensive rebound by D. Dedmon
4:51.0,,,74-71,,D. Lee misses 2-pt shot from 11 ft
4:49.0,Defensive rebound by E. Ilyasova,,74-71,,
4:49.0,,,74-71,,Personal foul by D. Lee (drawn by E. Ilyasova)
4:49.0,,,74-71,,M. Muscala enters the game for J. Collins
4:49.0,R. Covington enters the game for E. Ilyasova,,74-71,,
4:31.0,R. Covington makes 2-pt shot at rim,2,76-71,,
4:17.0,,,76-71,,T. Waller-Prince misses 3-pt shot from 26 ft
4:13.0,,,76-71,,Offensive rebound by T. Waller-Prince
4:07.0,,,76-73,2,D. Dedmon makes 2-pt shot from 3 ft (assist by M. Muscala)
4:07.0,,,76-73,,Shooting foul by R. Holmes (drawn by D. Dedmon)
4:07.0,,,76-73,,M. Plumlee enters the game for D. Lee
4:07.0,,,76-73,,T. Dorsey enters the game for M. Muscala
4:07.0,,,76-74,1,D. Dedmon makes free throw 1 of 1
3:57.0,R. Holmes makes 2-pt shot at rim,2,78-74,,
3:49.0,,,78-74,,T. Waller-Prince misses 2-pt shot at rim
3:46.0,Defensive rebound by R. Holmes,,78-74,,
3:45.0,Turnover by M. Belinelli (step out of bounds),,78-74,,
3:45.0,,,78-74,,A. Cleveland enters the game for T. Waller-Prince
3:45.0,,,78-74,,M. Muscala enters the game for D. Dedmon
3:26.0,,,78-74,,I. Taylor misses 2-pt shot from 13 ft
3:21.0,Defensive rebound by R. Covington,,78-74,,
3:16.0,M. Fultz misses 2-pt shot from 3 ft,,78-74,,
3:14.0,,,78-74,,Defensive rebound by Team
3:14.0,Loose ball foul by R. Holmes (drawn by M. Muscala),,78-74,,
3:14.0,T. McConnell enters the game for J. Redick,,78-74,,
2:58.0,,,78-74,,T. Dorsey misses 2-pt shot from 11 ft
2:55.0,Defensive rebound by R. Covington,,78-74,,
2:49.0,M. Belinelli makes 3-pt shot from 23 ft (assist by R. Covington),3,81-74,,
2:44.0,,,81-74,,Atlanta full timeout
2:44.0,A. Johnson enters the game for R. Holmes,,81-74,,
2:22.0,,,81-74,,Turnover by I. Taylor (out of bounds lost ball)
2:14.0,,,81-74,,Personal foul by A. Cleveland (drawn by M. Belinelli)
2:08.0,M. Belinelli makes 3-pt shot from 23 ft (assist by M. Fultz),3,84-74,,
1:54.0,,,84-74,,T. Dorsey misses 3-pt shot from 25 ft
1:52.0,Defensive rebound by Team,,84-74,,
1:39.0,T. McConnell misses 2-pt shot from 11 ft,,84-74,,
1:35.0,,,84-74,,Defensive rebound by M. Plumlee
1:18.0,,,84-76,2,T. Dorsey makes 2-pt shot from 3 ft
1:05.0,M. Belinelli makes 3-pt shot from 24 ft (assist by A. Johnson),3,87-76,,
0:50.0,,,87-79,3,T. Dorsey makes 3-pt shot from 25 ft (assist by M. Muscala)
0:33.0,M. Belinelli misses 3-pt shot from 24 ft,,87-79,,
0:31.0,,,87-79,,Defensive rebound by I. Taylor
0:27.0,,,87-79,,I. Taylor misses 2-pt shot from 1 ft (block by R. Covington)
0:27.0,,,87-79,,Offensive rebound by Team
0:19.0,,,87-79,,I. Taylor misses 2-pt shot from 10 ft (block by M. Belinelli)
0:17.0,Defensive rebound by R. Covington,,87-79,,
0:02.0,A. Johnson makes 2-pt shot from 8 ft (assist by R. Covington),2,89-79,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,,,89-81,2,A. Cleveland makes 2-pt shot from 15 ft
11:30.0,,,89-81,,Personal foul by A. Cleveland (drawn by J. Redick)
11:22.0,Turnover by M. Fultz (out of bounds lost ball),,89-81,,
11:04.0,,,89-81,,T. Dorsey misses 2-pt shot from 18 ft
11:01.0,Defensive rebound by M. Fultz,,89-81,,
10:54.0,A. Johnson makes 2-pt shot from 1 ft (assist by J. Redick),2,91-81,,
10:30.0,,,91-84,3,A. Cleveland makes 3-pt shot from 22 ft (assist by T. Dorsey)
10:21.0,M. Fultz misses 2-pt shot from 15 ft,,91-84,,
10:20.0,Offensive rebound by Team,,91-84,,
10:20.0,,,91-84,,Loose ball foul by A. Cleveland (drawn by M. Fultz)
10:20.0,,,91-84,,D. Lee enters the game for A. Cleveland
10:20.0,,,91-84,,J. Collins enters the game for M. Plumlee
10:09.0,T. McConnell misses 2-pt shot from 12 ft,,91-84,,
10:03.0,Offensive rebound by R. Covington,,91-84,,
10:03.0,R. Covington misses 2-pt shot at rim,,91-84,,
