time,Atlanta,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,Personal foul by D. Bembry (drawn by J. Grant),,28-28,,
11:34.0,,,28-31,3,R. Felton makes 3-pt shot from 25 ft
11:11.0,T. Cavanaugh misses 3-pt shot from 25 ft,,28-31,,
11:09.0,,,28-31,,Defensive rebound by P. Patterson
10:52.0,,,28-34,3,R. Felton makes 3-pt shot from 25 ft (assist by J. Huestis)
10:34.0,K. Bazemore enters the game for I. Taylor,,28-34,,
10:31.0,D. Bembry misses 2-pt shot at rim,,28-34,,
10:29.0,,,28-34,,Defensive rebound by J. Grant
10:11.0,,,28-34,,Shooting foul by T. Cavanaugh (drawn by P. George)
10:11.0,,,28-34,,P. George misses free throw 1 of 2
10:11.0,,,28-34,,Offensive rebound by Team
10:11.0,,,28-35,1,P. George makes free throw 2 of 2
9:58.0,Turnover by K. Bazemore (bad pass; steal by J. Huestis),,28-35,,
9:45.0,,,28-35,,Offensive foul by J. Grant (drawn by D. Bembry)
9:45.0,,,28-35,,Turnover by J. Grant (offensive foul)
9:45.0,M. Belinelli enters the game for M. Delaney,,28-35,,
9:29.0,M. Belinelli misses 2-pt shot from 7 ft,,28-35,,
9:28.0,,,28-35,,Defensive rebound by J. Grant
9:24.0,,,28-35,,Shooting foul by K. Bazemore (drawn by P. George)
9:24.0,,,28-35,,P. George misses free throw 1 of 2
9:24.0,,,28-35,,Offensive rebound by Team
9:24.0,,,28-36,1,P. George makes free throw 2 of 2
9:14.0,D. Bembry misses 2-pt shot at rim,,28-36,,
9:11.0,,,28-36,,Defensive rebound by R. Felton
9:00.0,,,28-36,,P. Patterson misses 2-pt shot from 6 ft
8:57.0,Defensive rebound by J. Collins,,28-36,,
8:43.0,M. Belinelli misses 3-pt shot from 23 ft,,28-36,,
8:42.0,Offensive rebound by J. Collins,,28-36,,
8:41.0,J. Collins makes 2-pt shot at rim,2,30-36,,
8:22.0,,,30-39,3,P. George makes 3-pt shot from 24 ft
8:10.0,Turnover by D. Bembry (bad pass),,30-39,,
8:10.0,,,30-39,,A. Roberson enters the game for R. Felton
8:10.0,,,30-39,,R. Westbrook enters the game for J. Huestis
8:10.0,T. Waller-Prince enters the game for D. Bembry,,30-39,,
8:02.0,,,30-42,3,P. George makes 3-pt shot from 22 ft (assist by R. Westbrook)
7:47.0,Shooting foul by J. Grant (drawn by K. Bazemore),,30-42,,
7:47.0,K. Bazemore makes free throw 1 of 2,1,31-42,,
7:47.0,,,31-42,,C. Anthony enters the game for J. Grant
7:47.0,E. Ilyasova enters the game for T. Cavanaugh,,31-42,,
7:47.0,K. Bazemore makes free throw 2 of 2,1,32-42,,
7:33.0,,,32-42,,P. George misses 2-pt shot at rim
7:32.0,Defensive rebound by K. Bazemore,,32-42,,
7:17.0,M. Belinelli makes 2-pt shot from 16 ft (assist by T. Waller-Prince),2,34-42,,
6:56.0,,,34-44,2,A. Roberson makes 2-pt shot at rim (assist by R. Westbrook)
6:32.0,Turnover by T. Waller-Prince (lost ball; steal by P. George),,34-44,,
6:26.0,,,34-47,3,C. Anthony makes 3-pt shot from 24 ft (assist by P. Patterson)
6:24.0,Atlanta full timeout,,34-47,,
6:24.0,,,34-47,,J. Huestis enters the game for P. George
6:24.0,M. Plumlee enters the game for J. Collins,,34-47,,
6:14.0,Turnover by K. Bazemore (bad pass; steal by P. Patterson),,34-47,,
6:10.0,,,34-47,,A. Roberson misses 2-pt shot from 1 ft
6:09.0,,,34-47,,Offensive rebound by J. Huestis
6:09.0,,,34-49,2,J. Huestis makes 2-pt shot at rim
5:41.0,Turnover by K. Bazemore (lost ball; steal by P. Patterson),,34-49,,
5:33.0,,,34-49,,J. Huestis misses 2-pt shot from 1 ft
5:33.0,Defensive rebound by Team,,34-49,,
5:23.0,,,34-49,,S. Adams enters the game for P. Patterson
5:23.0,M. Delaney enters the game for K. Bazemore,,34-49,,
5:20.0,M. Delaney makes 2-pt shot from 20 ft (assist by M. Belinelli),2,36-49,,
5:06.0,,,36-49,,R. Westbrook misses 2-pt shot from 13 ft
5:05.0,Defensive rebound by M. Plumlee,,36-49,,
4:55.0,M. Belinelli makes 3-pt shot from 23 ft (assist by T. Waller-Prince),3,39-49,,
4:53.0,,,39-49,,Oklahoma City full timeout
4:53.0,,,39-49,,P. George enters the game for J. Huestis
4:43.0,,,39-49,,Offensive foul by P. George (drawn by T. Waller-Prince)
4:43.0,,,39-49,,Turnover by P. George (offensive foul)
4:29.0,T. Waller-Prince misses 2-pt shot from 21 ft,,39-49,,
4:25.0,,,39-49,,Defensive rebound by A. Roberson
4:14.0,,,39-51,2,R. Westbrook makes 2-pt shot from 16 ft
3:57.0,Turnover by E. Ilyasova (bad pass; steal by R. Westbrook),,39-51,,
3:52.0,,,39-51,,Offensive foul by C. Anthony (drawn by M. Delaney)
3:52.0,,,39-51,,Turnover by C. Anthony (offensive foul)
3:38.0,E. Ilyasova makes 3-pt shot from 25 ft (assist by M. Delaney),3,42-51,,
3:24.0,Personal foul by M. Delaney (drawn by R. Westbrook),,42-51,,
3:24.0,,,42-51,,Technical foul by R. Westbrook
3:24.0,M. Belinelli makes technical free throw,1,43-51,,
3:12.0,,,43-51,,A. Roberson misses 2-pt shot from 3 ft (block by M. Belinelli)
3:12.0,,,43-51,,Offensive rebound by A. Roberson
3:06.0,,,43-51,,A. Roberson misses 2-pt shot from 1 ft
3:06.0,,,43-51,,Offensive rebound by A. Roberson
3:01.0,,,43-51,,C. Anthony misses 2-pt shot from 19 ft
3:01.0,Defensive rebound by M. Delaney,,43-51,,
2:48.0,M. Delaney misses 3-pt shot from 25 ft,,43-51,,
2:48.0,,,43-51,,Defensive rebound by A. Roberson
2:34.0,,,43-53,2,C. Anthony makes 2-pt shot from 17 ft
2:14.0,Turnover by M. Belinelli (bad pass; steal by S. Adams),,43-53,,
2:11.0,,,43-55,2,S. Adams makes 2-pt shot at rim (assist by R. Westbrook)
1:59.0,,,43-55,,Personal foul by A. Roberson (drawn by M. Belinelli)
1:59.0,I. Taylor enters the game for M. Belinelli,,43-55,,
1:56.0,T. Waller-Prince misses 2-pt shot from 11 ft,,43-55,,
1:56.0,,,43-55,,Defensive rebound by A. Roberson
1:47.0,,,43-57,2,R. Westbrook makes 2-pt shot from 11 ft
1:27.0,T. Waller-Prince misses 2-pt shot from 2 ft (block by P. George),,43-57,,
1:25.0,,,43-57,,Defensive rebound by R. Westbrook
1:25.0,,,43-57,,Turnover by R. Westbrook (lost ball; steal by I. Taylor)
1:23.0,M. Delaney makes 3-pt shot from 24 ft (assist by I. Taylor),3,46-57,,
1:09.0,,,46-59,2,R. Westbrook makes 2-pt shot from 1 ft
0:59.0,I. Taylor misses 2-pt shot at rim,,46-59,,
0:59.0,Offensive rebound by Team,,46-59,,
0:59.0,,,46-59,,Loose ball foul by C. Anthony (drawn by E. Ilyasova)
0:59.0,E. Ilyasova makes free throw 1 of 2,1,47-59,,
0:59.0,E. Ilyasova makes free throw 2 of 2,1,48-59,,
0:41.0,,,48-61,2,A. Roberson makes 2-pt shot from 1 ft (assist by R. Westbrook)
0:35.0,Turnover by M. Delaney (bad pass; steal by S. Adams),,48-61,,
0:25.0,,,48-64,3,C. Anthony makes 3-pt shot from 24 ft
0:06.0,M. Delaney makes 2-pt shot from 21 ft,2,50-64,,
0:00.0,,,50-64,,C. Anthony misses 3-pt shot from 28 ft
0:00.0,,,50-64,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,,,50-66,2,S. Adams makes 2-pt shot at rim (assist by R. Westbrook)
11:33.0,E. Ilyasova makes 2-pt shot from 17 ft (assist by M. Belinelli),2,52-66,,
11:16.0,,,52-66,,Turnover by A. Roberson (bad pass; steal by T. Waller-Prince)
11:06.0,M. Plumlee makes 2-pt shot from 1 ft (assist by T. Waller-Prince),2,54-66,,
10:50.0,Personal foul by M. Belinelli (drawn by S. Adams),,54-66,,
10:35.0,,,54-66,,P. George misses 3-pt shot from 24 ft
10:33.0,,,54-66,,Offensive rebound by Team
10:28.0,,,54-66,,C. Anthony misses 2-pt shot from 18 ft
10:25.0,Defensive rebound by E. Ilyasova,,54-66,,
10:22.0,Offensive foul by M. Plumlee (drawn by P. George),,54-66,,
10:22.0,Turnover by M. Plumlee (offensive foul),,54-66,,
10:02.0,,,54-66,,C. Anthony misses 2-pt shot from 18 ft
10:00.0,,,54-66,,Offensive rebound by Team
9:54.0,,,54-68,2,S. Adams makes 2-pt shot at rim (assist by R. Westbrook)
9:40.0,,,54-68,,Personal foul by P. George (drawn by T. Waller-Prince)
9:26.0,M. Belinelli misses 3-pt shot from 30 ft,,54-68,,
9:25.0,Offensive rebound by Team,,54-68,,
9:25.0,Turnover by Team (shot clock),,54-68,,
9:18.0,,,54-70,2,R. Westbrook makes 2-pt shot at rim
9:05.0,T. Waller-Prince makes 2-pt shot at rim,2,56-70,,
9:05.0,Shooting foul by S. Adams (drawn by T. Waller-Prince),,56-70,,
9:05.0,T. Waller-Prince makes free throw 1 of 1,1,57-70,,
8:45.0,,,57-70,,Turnover by P. George (bad pass)
8:29.0,M. Belinelli makes 2-pt shot from 20 ft (assist by M. Plumlee),2,59-70,,
8:11.0,,,59-72,2,R. Westbrook makes 2-pt shot from 16 ft
7:56.0,K. Bazemore misses 2-pt shot from 15 ft (block by C. Anthony),,59-72,,
7:53.0,,,59-72,,Defensive rebound by R. Westbrook
7:53.0,,,59-74,2,R. Westbrook makes 2-pt shot at rim
7:38.0,T. Waller-Prince misses 2-pt shot from 18 ft,,59-74,,
7:38.0,,,59-74,,Defensive rebound by R. Westbrook
7:31.0,,,59-74,,Shooting foul by M. Plumlee (drawn by A. Roberson)
7:31.0,Atlanta full timeout,,59-74,,
7:31.0,,,59-74,,A. Roberson misses free throw 1 of 2
7:31.0,,,59-74,,Offensive rebound by Team
7:31.0,,,59-74,,A. Roberson misses free throw 2 of 2
7:28.0,Defensive rebound by T. Waller-Prince,,59-74,,
7:08.0,E. Ilyasova makes 3-pt shot from 22 ft (assist by M. Belinelli),3,62-74,,
6:47.0,,,62-74,,Turnover by A. Roberson (lost ball; steal by M. Belinelli)
6:43.0,M. Belinelli makes 2-pt shot from 1 ft,2,64-74,,
6:43.0,Shooting foul by A. Roberson (drawn by M. Belinelli),,64-74,,
6:43.0,M. Belinelli makes free throw 1 of 1,1,65-74,,
6:34.0,,,65-74,,Turnover by R. Westbrook (out of bounds lost ball)
6:15.0,M. Belinelli makes 3-pt shot from 25 ft,3,68-74,,
6:08.0,,,68-74,,Oklahoma City full timeout
6:08.0,M. Delaney enters the game for T. Waller-Prince,,68-74,,
5:56.0,,,68-74,,R. Westbrook misses 2-pt shot from 16 ft
5:53.0,Defensive rebound by K. Bazemore,,68-74,,
5:43.0,M. Delaney misses 2-pt shot from 21 ft,,68-74,,
5:38.0,,,68-74,,Defensive rebound by S. Adams
5:31.0,,,68-74,,P. George misses 2-pt shot from 18 ft
5:27.0,Defensive rebound by M. Delaney,,68-74,,
5:12.0,Turnover by M. Belinelli (bad pass),,68-74,,
5:12.0,,,68-74,,J. Huestis enters the game for P. George
5:01.0,,,68-74,,Turnover by R. Westbrook (lost ball; steal by K. Bazemore)
4:58.0,K. Bazemore makes 2-pt shot at rim,2,70-74,,
4:44.0,,,70-76,2,A. Roberson makes 2-pt shot from 1 ft (assist by R. Westbrook)
4:31.0,M. Belinelli misses 3-pt shot from 24 ft,,70-76,,
4:31.0,,,70-76,,Defensive rebound by Team
4:31.0,J. Collins enters the game for M. Plumlee,,70-76,,
4:31.0,I. Taylor enters the game for K. Bazemore,,70-76,,
4:17.0,,,70-79,3,C. Anthony makes 3-pt shot from 24 ft (assist by R. Westbrook)
3:59.0,M. Delaney makes 3-pt shot from 23 ft (assist by I. Taylor),3,73-79,,
3:38.0,Personal foul by M. Delaney (drawn by R. Westbrook),,73-79,,
3:38.0,T. Waller-Prince enters the game for M. Belinelli,,73-79,,
3:25.0,,,73-79,,R. Westbrook misses 3-pt shot from 34 ft
3:20.0,,,73-79,,Offensive rebound by S. Adams
3:09.0,,,73-79,,Turnover by C. Anthony (lost ball; steal by E. Ilyasova)
3:05.0,I. Taylor misses 2-pt shot at rim (block by R. Westbrook),,73-79,,
3:02.0,,,73-79,,Defensive rebound by A. Roberson
2:55.0,,,73-79,,C. Anthony misses 3-pt shot from 25 ft
2:52.0,,,73-79,,Offensive rebound by A. Roberson
2:35.0,,,73-79,,Shooting foul by T. Waller-Prince (drawn by C. Anthony)
2:35.0,,,73-79,,C. Anthony misses free throw 1 of 2
2:35.0,,,73-79,,Offensive rebound by Team
2:35.0,,,73-79,,R. Felton enters the game for R. Westbrook
2:35.0,T. Cavanaugh enters the game for E. Ilyasova,,73-79,,
2:35.0,,,73-80,1,C. Anthony makes free throw 2 of 2
2:27.0,Shooting foul by J. Huestis (drawn by J. Collins),,73-80,,
2:27.0,J. Collins misses free throw 1 of 2,,73-80,,
2:27.0,Offensive rebound by Team,,73-80,,
2:27.0,,,73-80,,J. Grant enters the game for C. Anthony
2:27.0,,,73-80,,P. Patterson enters the game for S. Adams
2:27.0,J. Collins makes free throw 2 of 2,1,74-80,,
2:26.0,Personal take foul by I. Taylor (drawn by A. Roberson),,74-80,,
2:26.0,,,74-80,,A. Roberson misses free throw 1 of 2
2:26.0,,,74-80,,Offensive rebound by Team
2:26.0,,,74-80,,A. Roberson misses free throw 2 of 2
2:24.0,Defensive rebound by J. Collins,,74-80,,
2:13.0,I. Taylor makes 2-pt shot from 1 ft,2,76-80,,
2:13.0,,,76-80,,Oklahoma City full timeout
2:13.0,,,76-80,,P. George enters the game for A. Roberson
1:57.0,,,76-80,,R. Felton misses 2-pt shot from 14 ft
1:49.0,Defensive rebound by I. Taylor,,76-80,,
1:47.0,Shooting foul by J. Grant (drawn by I. Taylor),,76-80,,
1:47.0,J. Collins misses free throw 1 of 2,,76-80,,
1:47.0,Offensive rebound by Team,,76-80,,
1:47.0,J. Collins makes free throw 2 of 2,1,77-80,,
1:37.0,,,77-80,,Turnover by P. George (bad pass)
1:17.0,T. Cavanaugh misses 3-pt shot from 25 ft,,77-80,,
1:13.0,,,77-80,,Defensive rebound by P. George
1:00.0,,,77-80,,Shooting foul by T. Waller-Prince (drawn by P. George)
1:00.0,,,77-81,1,P. George makes free throw 1 of 2
1:00.0,,,77-82,1,P. George makes free throw 2 of 2
0:44.0,I. Taylor misses 2-pt shot from 4 ft,,77-82,,
0:41.0,Offensive rebound by I. Taylor,,77-82,,
0:40.0,I. Taylor misses 2-pt shot from 2 ft,,77-82,,
0:40.0,Offensive rebound by J. Collins,,77-82,,
0:40.0,J. Collins makes 2-pt shot at rim,2,79-82,,
0:33.0,,,79-82,,Turnover by J. Grant (lost ball; steal by T. Cavanaugh)
0:29.0,J. Collins makes 2-pt shot at rim (assist by I. Taylor),2,81-82,,
0:11.0,Personal block foul by I. Taylor (drawn by J. Grant),,81-82,,
0:11.0,,,81-82,,J. Grant misses free throw 1 of 2
0:11.0,,,81-82,,Offensive rebound by Team
0:11.0,M. Belinelli enters the game for T. Cavanaugh,,81-82,,
0:11.0,,,81-82,,A. Roberson enters the game for P. Patterson
0:11.0,,,81-82,,J. Grant misses free throw 2 of 2
0:09.0,Defensive rebound by J. Collins,,81-82,,
0:00.0,I. Taylor misses 2-pt shot from 4 ft,,81-82,,
0:00.0,Offensive rebound by Team,,81-82,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,T. Waller-Prince misses 2-pt shot from 2 ft (block by J. Huestis),,81-82,,
11:38.0,Offensive rebound by J. Collins,,81-82,,
11:35.0,M. Delaney misses 3-pt shot from 29 ft,,81-82,,
11:34.0,Offensive rebound by Team,,81-82,,
11:34.0,Turnover by Team (shot clock),,81-82,,
11:26.0,,,81-82,,P. George misses 2-pt shot from 18 ft
11:23.0,Defensive rebound by T. Cavanaugh,,81-82,,
11:17.0,I. Taylor misses 2-pt shot at rim,,81-82,,
11:16.0,,,81-82,,Defensive rebound by J. Huestis
11:09.0,,,81-84,2,R. Felton makes 2-pt shot from 13 ft
10:38.0,M. Delaney makes 2-pt shot from 1 ft,2,83-84,,
10:22.0,,,83-86,2,J. Grant makes 2-pt shot at rim (assist by R. Felton)
10:08.0,,,83-86,,Personal foul by P. George (drawn by J. Collins)
10:08.0,K. Bazemore enters the game for T. Waller-Prince,,83-86,,
10:00.0,T. Cavanaugh makes 2-pt shot from 1 ft (assist by J. Collins),2,85-86,,
9:48.0,,,85-86,,P. Patterson misses 3-pt shot from 24 ft
9:43.0,,,85-86,,Offensive rebound by P. George
9:42.0,,,85-88,2,J. Grant makes 2-pt shot at rim (assist by P. George)
9:27.0,M. Delaney makes 3-pt shot from 25 ft (assist by I. Taylor),3,88-88,,
9:12.0,,,88-88,,Turnover by R. Felton (bad pass; steal by J. Collins)
9:05.0,K. Bazemore makes 2-pt shot at rim,2,90-88,,
8:50.0,,,90-88,,Turnover by P. George (lost ball; steal by K. Bazemore)
8:49.0,K. Bazemore makes 2-pt shot at rim,2,92-88,,
8:49.0,,,92-88,,Oklahoma City full timeout
8:49.0,,,92-88,,R. Westbrook enters the game for R. Felton
8:49.0,T. Waller-Prince enters the game for M. Delaney,,92-88,,
8:40.0,,,92-90,2,R. Westbrook makes 2-pt shot at rim
8:40.0,,,92-90,,Shooting foul by J. Collins (drawn by R. Westbrook)
8:40.0,,,92-91,1,R. Westbrook makes free throw 1 of 1
8:26.0,Turnover by K. Bazemore (bad pass; steal by P. George),,92-91,,
8:20.0,,,92-93,2,J. Grant makes 2-pt shot from 1 ft (assist by R. Westbrook)
8:08.0,,,92-93,,Shooting block foul by J. Grant (drawn by I. Taylor)
8:08.0,I. Taylor misses free throw 1 of 2,,92-93,,
8:08.0,Offensive rebound by Team,,92-93,,
8:08.0,,,92-93,,C. Anthony enters the game for J. Grant
8:08.0,E. Ilyasova enters the game for J. Collins,,92-93,,
8:08.0,I. Taylor makes free throw 2 of 2,1,93-93,,
7:56.0,,,93-93,,Shooting foul by K. Bazemore (drawn by P. Patterson)
7:56.0,,,93-94,1,P. Patterson makes free throw 1 of 2
7:56.0,M. Belinelli enters the game for I. Taylor,,93-94,,
7:56.0,,,93-95,1,P. Patterson makes free throw 2 of 2
7:43.0,T. Cavanaugh misses 3-pt shot from 25 ft,,93-95,,
7:40.0,,,93-95,,Defensive rebound by J. Huestis
7:32.0,,,93-95,,Shooting foul by K. Bazemore (drawn by R. Westbrook)
7:32.0,,,93-96,1,R. Westbrook makes free throw 1 of 2
7:32.0,,,93-97,1,R. Westbrook makes free throw 2 of 2
7:15.0,E. Ilyasova makes 2-pt shot from 1 ft (assist by K. Bazemore),2,95-97,,
6:52.0,,,95-97,,J. Huestis misses 3-pt shot from 22 ft
6:50.0,,,95-97,,Offensive rebound by Team
6:50.0,,,95-97,,S. Adams enters the game for P. Patterson
6:46.0,,,95-99,2,P. George makes 2-pt shot from 15 ft (assist by R. Westbrook)
6:27.0,T. Waller-Prince makes 2-pt shot from 1 ft,2,97-99,,
6:12.0,,,97-99,,Shooting foul by T. Cavanaugh (drawn by S. Adams)
6:12.0,,,97-100,1,S. Adams makes free throw 1 of 2
6:12.0,,,97-100,,A. Roberson enters the game for J. Huestis
6:12.0,M. Delaney enters the game for K. Bazemore,,97-100,,
6:12.0,J. Collins enters the game for T. Cavanaugh,,97-100,,
6:12.0,,,97-101,1,S. Adams makes free throw 2 of 2
5:50.0,M. Belinelli misses 3-pt shot from 26 ft,,97-101,,
5:47.0,,,97-101,,Defensive rebound by R. Westbrook
5:40.0,,,97-101,,C. Anthony misses 3-pt shot from 24 ft
5:36.0,,,97-101,,Offensive rebound by P. George
5:34.0,,,97-104,3,C. Anthony makes 3-pt shot from 24 ft (assist by P. George)
5:26.0,Atlanta full timeout,,97-104,,
5:26.0,,,97-104,,J. Huestis enters the game for A. Roberson
5:20.0,M. Belinelli makes 2-pt shot from 10 ft (assist by M. Delaney),2,99-104,,
5:02.0,,,99-104,,C. Anthony misses 3-pt shot from 25 ft
4:59.0,,,99-104,,Offensive rebound by S. Adams
4:59.0,Personal foul by E. Ilyasova (drawn by S. Adams),,99-104,,
