time,New Orleans,pts.away,score,pts.home,San Antonio
7:29.0,Offensive rebound by E. Moore,,7-10,,
7:29.0,E. Moore misses 2-pt shot at rim,,7-10,,
7:28.0,,,7-10,,Defensive rebound by D. Green
7:26.0,,,7-12,2,P. Mills makes 2-pt shot from 17 ft
7:17.0,R. Rondo makes 2-pt shot from 1 ft,2,9-12,,
7:17.0,Shooting foul by L. Aldridge (drawn by R. Rondo),,9-12,,
7:17.0,R. Rondo misses free throw 1 of 1,,9-12,,
7:13.0,,,9-12,,Defensive rebound by D. Murray
7:03.0,,,9-12,,P. Mills misses 3-pt shot from 25 ft
6:59.0,Defensive rebound by R. Rondo,,9-12,,
6:52.0,J. Holiday makes 2-pt shot at rim (assist by R. Rondo),2,11-12,,
6:49.0,,,11-12,,San Antonio full timeout
6:49.0,,,11-12,,R. Gay enters the game for D. Bertans
6:33.0,,,11-14,2,L. Aldridge makes 2-pt shot from 14 ft
6:17.0,A. Davis misses 2-pt shot from 9 ft,,11-14,,
6:14.0,,,11-14,,Defensive rebound by R. Gay
6:00.0,,,11-14,,D. Green misses 3-pt shot from 22 ft
5:58.0,,,11-14,,Offensive rebound by L. Aldridge
5:56.0,,,11-14,,D. Green misses 3-pt shot from 24 ft
5:56.0,Defensive rebound by N. Mirotic,,11-14,,
5:44.0,A. Davis misses 2-pt shot from 20 ft,,11-14,,
5:41.0,,,11-14,,Defensive rebound by D. Murray
5:35.0,,,11-14,,D. Murray misses 2-pt shot from 1 ft
5:32.0,Defensive rebound by A. Davis,,11-14,,
5:24.0,N. Mirotic makes 2-pt shot from 1 ft (assist by J. Holiday),2,13-14,,
5:08.0,,,13-17,3,D. Green makes 3-pt shot from 22 ft (assist by R. Gay)
4:56.0,N. Mirotic makes 3-pt shot from 23 ft,3,16-17,,
4:43.0,,,16-19,2,D. Murray makes 2-pt shot from 1 ft
4:36.0,Turnover by R. Rondo (bad pass; steal by R. Gay),,16-19,,
4:30.0,,,16-21,2,D. Murray makes 2-pt shot at rim (assist by R. Gay)
4:16.0,R. Rondo misses 2-pt shot from 6 ft (block by D. Murray),,16-21,,
4:12.0,Offensive rebound by R. Rondo,,16-21,,
4:09.0,J. Holiday makes 2-pt shot from 15 ft,2,18-21,,
3:45.0,,,18-21,,D. Green misses 2-pt shot from 13 ft
3:39.0,,,18-21,,Offensive rebound by L. Aldridge
3:39.0,,,18-21,,L. Aldridge misses 2-pt shot at rim
3:38.0,Defensive rebound by A. Davis,,18-21,,
3:29.0,N. Mirotic misses 3-pt shot from 22 ft,,18-21,,
3:25.0,,,18-21,,Defensive rebound by D. Murray
3:16.0,,,18-21,,R. Gay misses 3-pt shot from 24 ft
3:14.0,Defensive rebound by A. Davis,,18-21,,
3:07.0,E. Moore misses 3-pt shot from 24 ft,,18-21,,
3:04.0,,,18-21,,Defensive rebound by R. Gay
3:02.0,Personal foul by R. Rondo (drawn by D. Murray),,18-21,,
3:02.0,,,18-21,,T. Parker enters the game for D. Murray
3:02.0,,,18-21,,J. Lauvergne enters the game for P. Mills
3:02.0,,,18-21,,M. Ginobili enters the game for L. Aldridge
3:02.0,I. Clark enters the game for R. Rondo,,18-21,,
3:02.0,D. Miller enters the game for E. Moore,,18-21,,
2:44.0,,,18-21,,R. Gay misses 2-pt shot from 6 ft
2:44.0,Defensive rebound by N. Mirotic,,18-21,,
2:44.0,,,18-21,,Personal foul by R. Gay (drawn by N. Mirotic)
2:44.0,New Orleans full timeout,,18-21,,
2:44.0,C. Diallo enters the game for A. Davis,,18-21,,
2:30.0,Turnover by N. Mirotic (lost ball; steal by D. Green),,18-21,,
2:15.0,,,18-23,2,M. Ginobili makes 2-pt shot from 19 ft
1:56.0,N. Mirotic makes 2-pt shot from 1 ft (assist by C. Diallo),2,20-23,,
1:56.0,Shooting foul by T. Parker (drawn by N. Mirotic),,20-23,,
1:56.0,N. Mirotic makes free throw 1 of 1,1,21-23,,
1:37.0,,,21-25,2,R. Gay makes 2-pt shot from 11 ft
1:24.0,J. Holiday makes 3-pt shot from 24 ft (assist by D. Miller),3,24-25,,
1:10.0,,,24-27,2,T. Parker makes 2-pt shot from 1 ft
1:00.0,I. Clark misses 3-pt shot from 25 ft,,24-27,,
0:58.0,,,24-27,,Defensive rebound by M. Ginobili
0:58.0,Personal foul by D. Miller (drawn by M. Ginobili),,24-27,,
0:58.0,"W. Lemon, Jr. enters the game for J. Holiday",,24-27,,
0:44.0,,,24-29,2,M. Ginobili makes 2-pt shot from 7 ft
0:30.0,"W. Lemon, Jr. misses 2-pt shot from 2 ft (block by R. Gay)",,24-29,,
0:30.0,,,24-29,,Defensive rebound by D. Green
0:21.0,,,24-29,,Turnover by R. Gay (bad pass)
0:02.0,C. Diallo misses 2-pt shot from 3 ft (block by R. Gay),,24-29,,
0:02.0,,,24-29,,Defensive rebound by R. Gay
0:00.0,,,24-29,,R. Gay misses 3-pt shot from 56 ft
0:00.0,,,24-29,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,24-29,,R. Gay misses 2-pt shot from 19 ft
11:41.0,Defensive rebound by C. Diallo,,24-29,,
11:34.0,Turnover by I. Clark (lost ball; steal by M. Ginobili),,24-29,,
11:28.0,,,24-29,,M. Ginobili misses 3-pt shot from 25 ft
11:25.0,,,24-29,,Offensive rebound by J. Lauvergne
11:23.0,,,24-31,2,J. Lauvergne makes 2-pt shot at rim
11:12.0,C. Diallo makes 2-pt shot from 1 ft (assist by N. Mirotic),2,26-31,,
10:54.0,,,26-31,,T. Parker misses 2-pt shot from 5 ft
10:51.0,,,26-31,,Offensive rebound by T. Parker
10:43.0,,,26-33,2,M. Ginobili makes 2-pt shot from 7 ft (assist by R. Gay)
10:19.0,,,26-33,,B. Forbes enters the game for D. Green
10:19.0,,,26-33,,K. Anderson enters the game for R. Gay
10:17.0,Turnover by N. Mirotic (bad pass),,26-33,,
10:03.0,,,26-33,,Turnover by M. Ginobili (bad pass; steal by C. Diallo)
9:57.0,"W. Lemon, Jr. makes 2-pt shot from 1 ft (assist by I. Clark)",2,28-33,,
9:40.0,,,28-35,2,J. Lauvergne makes 2-pt shot from 1 ft (assist by M. Ginobili)
9:16.0,N. Mirotic misses 2-pt shot from 1 ft (block by J. Lauvergne),,28-35,,
9:16.0,,,28-35,,Defensive rebound by J. Lauvergne
9:14.0,Personal foul by N. Mirotic (drawn by J. Lauvergne),,28-35,,
9:05.0,Personal foul by N. Mirotic (drawn by K. Anderson),,28-35,,
9:00.0,,,28-35,,T. Parker misses 2-pt shot from 1 ft (block by C. Diallo)
8:57.0,Defensive rebound by I. Clark,,28-35,,
8:54.0,C. Diallo makes 2-pt shot from 1 ft (assist by I. Clark),2,30-35,,
8:54.0,,,30-35,,San Antonio full timeout
8:54.0,,,30-35,,D. Murray enters the game for T. Parker
8:54.0,,,30-35,,P. Mills enters the game for M. Ginobili
8:42.0,,,30-35,,B. Forbes misses 3-pt shot from 26 ft
8:38.0,Defensive rebound by D. Miller,,30-35,,
8:34.0,I. Clark makes 2-pt shot from 1 ft,2,32-35,,
8:20.0,,,32-37,2,D. Murray makes 2-pt shot from 12 ft (assist by J. Lauvergne)
8:20.0,,,32-37,,"Shooting foul by W. Lemon, Jr. (drawn by D. Murray)"
8:20.0,,,32-38,1,D. Murray makes free throw 1 of 1
8:07.0,I. Clark misses 2-pt shot from 14 ft,,32-38,,
8:05.0,,,32-38,,Defensive rebound by J. Lauvergne
7:58.0,,,32-38,,D. Murray misses 2-pt shot from 15 ft
7:54.0,,,32-38,,Offensive rebound by J. Lauvergne
7:54.0,,,32-40,2,J. Lauvergne makes 2-pt shot at rim
7:39.0,Offensive foul by C. Diallo (drawn by B. Forbes),,32-40,,
7:39.0,Turnover by C. Diallo (offensive foul),,32-40,,
7:39.0,,,32-40,,L. Aldridge enters the game for J. Lauvergne
7:39.0,A. Davis enters the game for N. Mirotic,,32-40,,
7:39.0,"R. Rondo enters the game for W. Lemon, Jr.",,32-40,,
7:29.0,,,32-40,,P. Mills misses 2-pt shot from 20 ft
7:27.0,Defensive rebound by D. Miller,,32-40,,
7:15.0,D. Miller misses 2-pt shot from 17 ft,,32-40,,
7:11.0,,,32-40,,Defensive rebound by D. Murray
6:53.0,,,32-42,2,P. Mills makes 2-pt shot from 18 ft (assist by B. Forbes)
6:34.0,I. Clark misses 2-pt shot from 7 ft,,32-42,,
6:34.0,,,32-42,,Defensive rebound by D. Murray
6:34.0,Personal foul by C. Diallo (drawn by D. Murray),,32-42,,
6:34.0,E. Moore enters the game for C. Diallo,,32-42,,
6:34.0,J. Holiday enters the game for I. Clark,,32-42,,
6:21.0,,,32-42,,B. Forbes misses 2-pt shot from 21 ft
6:19.0,,,32-42,,Offensive rebound by K. Anderson
6:08.0,,,32-44,2,D. Murray makes 2-pt shot from 3 ft
6:00.0,A. Davis makes 2-pt shot from 20 ft (assist by D. Miller),2,34-44,,
5:46.0,,,34-47,3,P. Mills makes 3-pt shot from 22 ft (assist by B. Forbes)
5:38.0,D. Miller misses 3-pt shot from 23 ft,,34-47,,
5:33.0,Offensive rebound by A. Davis,,34-47,,
5:28.0,J. Holiday makes 2-pt shot from 14 ft,2,36-47,,
5:10.0,,,36-49,2,D. Murray makes 2-pt shot from 9 ft
4:57.0,J. Holiday makes 2-pt shot from 2 ft (assist by R. Rondo),2,38-49,,
4:37.0,,,38-49,,L. Aldridge misses 2-pt shot from 20 ft
4:33.0,Defensive rebound by D. Miller,,38-49,,
4:32.0,Turnover by E. Moore (bad pass),,38-49,,
4:14.0,,,38-49,,L. Aldridge misses 2-pt shot from 14 ft
4:14.0,Defensive rebound by Team,,38-49,,
3:57.0,R. Rondo misses 3-pt shot from 25 ft,,38-49,,
3:53.0,,,38-49,,Defensive rebound by B. Forbes
3:44.0,Personal foul by J. Holiday (drawn by P. Mills),,38-49,,
3:44.0,,,38-50,1,P. Mills makes free throw 1 of 2
3:44.0,,,38-51,1,P. Mills makes free throw 2 of 2
3:32.0,A. Davis makes 2-pt shot from 8 ft,2,40-51,,
3:20.0,,,40-53,2,K. Anderson makes 2-pt shot at rim (assist by D. Murray)
3:17.0,New Orleans full timeout,,40-53,,
3:17.0,,,40-53,,J. Lauvergne enters the game for L. Aldridge
3:04.0,A. Davis makes 2-pt shot from 7 ft (assist by R. Rondo),2,42-53,,
2:52.0,,,42-53,,B. Forbes misses 2-pt shot from 17 ft
2:49.0,Defensive rebound by A. Davis,,42-53,,
2:42.0,,,42-53,,Personal foul by D. Murray (drawn by J. Holiday)
2:42.0,,,42-53,,M. Ginobili enters the game for K. Anderson
2:42.0,,,42-53,,D. Green enters the game for D. Murray
2:42.0,,,42-53,,T. Parker enters the game for B. Forbes
2:37.0,A. Davis makes 2-pt shot from 1 ft (assist by R. Rondo),2,44-53,,
2:24.0,,,44-55,2,M. Ginobili makes 2-pt shot from 9 ft
2:13.0,E. Moore misses 2-pt shot from 10 ft (block by M. Ginobili),,44-55,,
2:13.0,Offensive rebound by E. Moore,,44-55,,
2:09.0,Shooting foul by M. Ginobili (drawn by E. Moore),,44-55,,
2:09.0,E. Moore makes free throw 1 of 2,1,45-55,,
2:09.0,E. Moore makes free throw 2 of 2,1,46-55,,
1:48.0,,,46-57,2,M. Ginobili makes 2-pt shot from 1 ft (assist by P. Mills)
1:41.0,J. Holiday misses 3-pt shot from 23 ft,,46-57,,
1:41.0,,,46-57,,Defensive rebound by J. Lauvergne
1:28.0,,,46-57,,D. Green misses 3-pt shot from 23 ft
1:28.0,Defensive rebound by A. Davis,,46-57,,
1:17.0,D. Miller makes 3-pt shot from 25 ft (assist by J. Holiday),3,49-57,,
1:05.0,,,49-57,,Turnover by M. Ginobili (out of bounds lost ball)
0:52.0,R. Rondo makes 2-pt shot from 1 ft,2,51-57,,
0:28.0,,,51-57,,Turnover by M. Ginobili (bad pass; steal by A. Davis)
0:24.0,Turnover by A. Davis (bad pass),,51-57,,
0:24.0,,,51-57,,R. Gay enters the game for J. Lauvergne
0:01.0,,,51-60,3,M. Ginobili makes 3-pt shot from 25 ft (assist by P. Mills)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:34.0,,,51-62,2,P. Mills makes 2-pt shot from 22 ft
11:24.0,R. Rondo misses 2-pt shot from 1 ft,,51-62,,
11:24.0,Offensive rebound by R. Rondo,,51-62,,
11:19.0,R. Rondo misses 2-pt shot from 2 ft,,51-62,,
11:18.0,Offensive rebound by E. Moore,,51-62,,
11:16.0,E. Moore makes 2-pt shot at rim,2,53-62,,
11:13.0,A. Davis makes technical free throw,1,54-62,,
11:13.0,A. Davis makes technical free throw,1,55-62,,
10:53.0,,,55-64,2,D. Green makes 2-pt shot from 10 ft (assist by D. Murray)
10:39.0,E. Moore makes 2-pt shot from 9 ft (assist by A. Davis),2,57-64,,
10:27.0,,,57-64,,D. Murray misses 2-pt shot at rim
10:25.0,Defensive rebound by J. Holiday,,57-64,,
10:15.0,A. Davis misses 2-pt shot from 14 ft,,57-64,,
10:13.0,,,57-64,,Defensive rebound by K. Anderson
10:05.0,,,57-64,,K. Anderson misses 2-pt shot from 10 ft
10:00.0,,,57-64,,Offensive rebound by K. Anderson
10:00.0,,,57-66,2,K. Anderson makes 2-pt shot at rim
9:44.0,A. Davis makes 2-pt shot at rim (assist by R. Rondo),2,59-66,,
9:31.0,,,59-68,2,J. Lauvergne makes 2-pt shot at rim
9:19.0,E. Moore makes 2-pt shot from 7 ft,2,61-68,,
8:55.0,,,61-68,,J. Lauvergne misses 2-pt shot from 4 ft
8:52.0,Defensive rebound by R. Rondo,,61-68,,
8:47.0,E. Moore misses 2-pt shot from 3 ft,,61-68,,
8:47.0,Offensive rebound by Team,,61-68,,
8:47.0,,,61-68,,Loose ball foul by J. Lauvergne (drawn by N. Mirotic)
8:44.0,A. Davis misses 2-pt shot from 3 ft,,61-68,,
8:39.0,Offensive rebound by A. Davis,,61-68,,
8:39.0,A. Davis misses 2-pt shot at rim (block by K. Anderson),,61-68,,
8:37.0,,,61-68,,Defensive rebound by D. Murray
8:31.0,,,61-68,,J. Lauvergne misses 2-pt shot from 1 ft (block by J. Holiday)
8:31.0,,,61-68,,Offensive rebound by J. Lauvergne
8:30.0,,,61-68,,Shooting foul by N. Mirotic (drawn by J. Lauvergne)
8:30.0,,,61-69,1,J. Lauvergne makes free throw 1 of 2
8:30.0,,,61-70,1,J. Lauvergne makes free throw 2 of 2
8:21.0,Turnover by A. Davis (lost ball; steal by K. Anderson),,61-70,,
8:21.0,Personal foul by J. Holiday (drawn by D. Murray),,61-70,,
8:07.0,,,61-70,,J. Lauvergne misses 2-pt shot from 8 ft
8:06.0,Defensive rebound by Team,,61-70,,
8:06.0,,,61-70,,Loose ball foul by D. Green (drawn by N. Mirotic)
7:58.0,R. Rondo misses 2-pt shot at rim,,61-70,,
7:56.0,,,61-70,,Defensive rebound by D. Murray
7:46.0,,,61-70,,D. Murray misses 2-pt shot from 1 ft
7:42.0,,,61-70,,Offensive rebound by J. Lauvergne
7:42.0,,,61-72,2,J. Lauvergne makes 2-pt shot at rim
7:31.0,N. Mirotic misses 3-pt shot from 26 ft,,61-72,,
7:31.0,Offensive rebound by Team,,61-72,,
7:24.0,N. Mirotic makes 3-pt shot from 26 ft (assist by R. Rondo),3,64-72,,
7:15.0,,,64-72,,Turnover by J. Lauvergne (bad pass; steal by A. Davis)
7:10.0,J. Holiday makes 3-pt shot from 24 ft,3,67-72,,
7:10.0,,,67-72,,San Antonio full timeout
7:10.0,,,67-72,,R. Gay enters the game for K. Anderson
7:10.0,,,67-72,,D. Bertans enters the game for J. Lauvergne
6:57.0,,,67-75,3,D. Bertans makes 3-pt shot from 23 ft (assist by D. Murray)
6:43.0,A. Davis misses 2-pt shot from 1 ft,,67-75,,
6:40.0,,,67-75,,Defensive rebound by D. Bertans
6:35.0,,,67-77,2,R. Gay makes 2-pt shot from 1 ft (assist by D. Murray)
6:25.0,J. Holiday misses 3-pt shot from 24 ft,,67-77,,
6:22.0,,,67-77,,Defensive rebound by D. Green
6:14.0,,,67-77,,R. Gay misses 3-pt shot from 24 ft
6:13.0,Defensive rebound by Team,,67-77,,
5:59.0,N. Mirotic misses 3-pt shot from 22 ft,,67-77,,
5:56.0,,,67-77,,Defensive rebound by D. Murray
5:53.0,,,67-77,,Turnover by D. Murray (bad pass; steal by N. Mirotic)
5:48.0,Turnover by A. Davis (lost ball; steal by D. Green),,67-77,,
5:43.0,,,67-80,3,D. Green makes 3-pt shot from 25 ft (assist by D. Bertans)
5:43.0,New Orleans full timeout,,67-80,,
5:43.0,,,67-80,,M. Ginobili enters the game for D. Green
5:43.0,D. Miller enters the game for R. Rondo,,67-80,,
5:43.0,I. Clark enters the game for E. Moore,,67-80,,
5:31.0,N. Mirotic makes 2-pt shot from 9 ft (assist by D. Miller),2,69-80,,
5:20.0,,,69-82,2,R. Gay makes 2-pt shot at rim (assist by D. Murray)
5:03.0,Turnover by J. Holiday (bad pass; steal by D. Bertans),,69-82,,
4:55.0,,,69-84,2,D. Murray makes 2-pt shot at rim (assist by D. Bertans)
4:36.0,A. Davis makes 2-pt shot from 1 ft,2,71-84,,
4:15.0,,,71-84,,Turnover by M. Ginobili (bad pass; steal by I. Clark)
4:11.0,,,71-84,,Personal foul by D. Bertans (drawn by I. Clark)
4:11.0,,,71-84,,T. Parker enters the game for D. Murray
4:11.0,E. Moore enters the game for N. Mirotic,,71-84,,
4:00.0,I. Clark makes 2-pt shot from 21 ft,2,73-84,,
3:49.0,Personal foul by J. Holiday (drawn by M. Ginobili),,73-84,,
3:49.0,,,73-84,,K. Anderson enters the game for P. Mills
3:38.0,,,73-86,2,M. Ginobili makes 2-pt shot from 2 ft
3:23.0,J. Holiday makes 2-pt shot from 17 ft,2,75-86,,
3:12.0,,,75-86,,M. Ginobili misses 3-pt shot from 25 ft
3:08.0,,,75-86,,Offensive rebound by D. Bertans
3:07.0,,,75-86,,D. Bertans misses 2-pt shot from 14 ft
3:07.0,Defensive rebound by A. Davis,,75-86,,
2:58.0,Turnover by J. Holiday (out of bounds lost ball),,75-86,,
2:41.0,,,75-86,,K. Anderson misses 2-pt shot from 7 ft
2:37.0,Defensive rebound by I. Clark,,75-86,,
2:29.0,I. Clark makes 2-pt shot from 9 ft,2,77-86,,
2:06.0,,,77-88,2,R. Gay makes 2-pt shot from 10 ft
2:00.0,J. Holiday makes 2-pt shot from 3 ft,2,79-88,,
2:00.0,Shooting foul by K. Anderson (drawn by J. Holiday),,79-88,,
2:00.0,J. Holiday makes free throw 1 of 1,1,80-88,,
1:45.0,,,80-90,2,R. Gay makes 2-pt shot at rim (assist by T. Parker)
1:34.0,I. Clark misses 3-pt shot from 25 ft,,80-90,,
1:31.0,,,80-90,,Defensive rebound by D. Bertans
1:13.0,,,80-90,,Shooting foul by A. Davis (drawn by M. Ginobili)
1:13.0,,,80-91,1,M. Ginobili makes free throw 1 of 2
1:13.0,R. Rondo enters the game for J. Holiday,,80-91,,
1:13.0,,,80-92,1,M. Ginobili makes free throw 2 of 2
1:06.0,A. Davis makes 2-pt shot from 7 ft (assist by R. Rondo),2,82-92,,
0:54.0,,,82-92,,M. Ginobili misses 2-pt shot at rim
0:51.0,Defensive rebound by R. Rondo,,82-92,,
0:43.0,D. Miller misses 3-pt shot from 26 ft,,82-92,,
0:43.0,,,82-92,,Defensive rebound by R. Gay
0:38.0,,,82-92,,Turnover by R. Gay (lost ball; steal by R. Rondo)
0:33.0,E. Moore misses 3-pt shot from 26 ft,,82-92,,
0:33.0,Offensive rebound by Team,,82-92,,
0:33.0,,,82-92,,Loose ball foul by D. Bertans (drawn by A. Davis)
0:33.0,A. Davis makes free throw 1 of 2,1,83-92,,
0:33.0,A. Davis makes free throw 2 of 2,1,84-92,,
0:19.0,,,84-95,3,R. Gay makes 3-pt shot from 25 ft (assist by M. Ginobili)
0:02.0,D. Miller makes 3-pt shot from 22 ft (assist by R. Rondo),3,87-95,,
0:00.0,,,87-95,,T. Parker misses 3-pt shot from 53 ft
0:00.0,,,87-95,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,I. Clark misses 3-pt shot from 23 ft,,87-95,,
11:42.0,Offensive rebound by I. Clark,,87-95,,
11:40.0,I. Clark makes 2-pt shot at rim,2,89-95,,
11:28.0,,,89-95,,M. Ginobili misses 2-pt shot from 2 ft (block by C. Diallo)
11:28.0,,,89-95,,Offensive rebound by Team
11:25.0,,,89-95,,M. Ginobili misses 2-pt shot from 12 ft
11:23.0,Defensive rebound by C. Diallo,,89-95,,
11:11.0,E. Moore makes 2-pt shot from 12 ft (assist by R. Rondo),2,91-95,,
10:50.0,,,91-97,2,J. Lauvergne makes 2-pt shot from 3 ft (assist by M. Ginobili)
10:38.0,,,91-97,,K. Anderson enters the game for M. Ginobili
10:38.0,,,91-97,,P. Mills enters the game for D. Bertans
10:33.0,E. Moore makes 2-pt shot from 10 ft (assist by R. Rondo),2,93-97,,
10:20.0,,,93-99,2,T. Parker makes 2-pt shot from 12 ft
10:09.0,R. Rondo misses 3-pt shot from 25 ft,,93-99,,
10:06.0,,,93-99,,Defensive rebound by K. Anderson
9:58.0,,,93-101,2,T. Parker makes 2-pt shot from 17 ft
9:35.0,I. Clark makes 2-pt shot from 14 ft,2,95-101,,
9:24.0,,,95-103,2,T. Parker makes 2-pt shot from 18 ft
9:08.0,R. Rondo makes 2-pt shot at rim,2,97-103,,
8:55.0,,,97-105,2,T. Parker makes 2-pt shot at rim
8:35.0,E. Moore makes 2-pt shot from 21 ft (assist by I. Clark),2,99-105,,
8:19.0,,,99-105,,T. Parker misses 2-pt shot from 11 ft
8:17.0,Defensive rebound by R. Rondo,,99-105,,
8:11.0,D. Miller makes 3-pt shot from 25 ft (assist by R. Rondo),3,102-105,,
8:06.0,,,102-105,,San Antonio full timeout
8:06.0,,,102-105,,D. Murray enters the game for T. Parker
8:06.0,,,102-105,,R. Gay enters the game for J. Lauvergne
8:06.0,A. Davis enters the game for I. Clark,,102-105,,
8:06.0,J. Holiday enters the game for C. Diallo,,102-105,,
7:53.0,,,102-105,,Shooting foul by R. Rondo (drawn by R. Gay)
7:53.0,,,102-105,,R. Gay misses free throw 1 of 2
7:53.0,,,102-105,,Offensive rebound by Team
7:53.0,,,102-106,1,R. Gay makes free throw 2 of 2
7:34.0,R. Rondo makes 2-pt shot from 5 ft,2,104-106,,
7:23.0,,,104-106,,P. Mills misses 3-pt shot from 25 ft
7:20.0,Defensive rebound by A. Davis,,104-106,,
7:01.0,E. Moore misses 3-pt shot from 24 ft,,104-106,,
6:58.0,,,104-106,,Defensive rebound by D. Green
6:35.0,,,104-106,,D. Murray misses 2-pt shot from 19 ft
6:34.0,,,104-106,,Offensive rebound by K. Anderson
6:34.0,,,104-106,,K. Anderson misses 2-pt shot at rim
6:32.0,Defensive rebound by J. Holiday,,104-106,,
6:23.0,D. Miller makes 2-pt shot from 1 ft (assist by R. Rondo),2,106-106,,
6:00.0,,,106-108,2,D. Murray makes 2-pt shot from 1 ft (assist by R. Gay)
5:47.0,D. Miller misses 2-pt shot from 18 ft,,106-108,,
5:44.0,,,106-108,,Defensive rebound by D. Green
5:32.0,,,106-111,3,R. Gay makes 3-pt shot from 25 ft (assist by K. Anderson)
5:13.0,R. Rondo misses 3-pt shot from 24 ft,,106-111,,
5:10.0,,,106-111,,Defensive rebound by P. Mills
5:02.0,,,106-111,,D. Green misses 2-pt shot from 13 ft
5:00.0,Defensive rebound by J. Holiday,,106-111,,
4:43.0,E. Moore misses 2-pt shot from 16 ft,,106-111,,
4:37.0,,,106-111,,Defensive rebound by D. Murray
4:22.0,,,106-111,,R. Gay misses 2-pt shot from 15 ft
4:20.0,Defensive rebound by A. Davis,,106-111,,
4:06.0,A. Davis misses 2-pt shot from 2 ft (block by R. Gay),,106-111,,
4:03.0,,,106-111,,Defensive rebound by P. Mills
4:00.0,,,106-111,,D. Murray misses 2-pt shot from 2 ft
3:56.0,Defensive rebound by R. Rondo,,106-111,,
3:50.0,R. Rondo makes 2-pt shot at rim (assist by E. Moore),2,108-111,,
3:45.0,,,108-111,,San Antonio full timeout
3:45.0,,,108-111,,M. Ginobili enters the game for K. Anderson
3:45.0,,,108-111,,D. Bertans enters the game for D. Green
3:45.0,I. Clark enters the game for R. Rondo,,108-111,,
3:34.0,,,108-111,,Shooting foul by I. Clark (drawn by R. Gay)
3:34.0,,,108-112,1,R. Gay makes free throw 1 of 2
3:34.0,,,108-113,1,R. Gay makes free throw 2 of 2
3:31.0,Turnover by A. Davis (bad pass; steal by D. Murray),,108-113,,
3:19.0,,,108-113,,P. Mills misses 3-pt shot from 24 ft
3:17.0,,,108-113,,Offensive rebound by R. Gay
