time,New York,pts.away,score,pts.home,Brooklyn
6:01.0,Defensive rebound by M. Beasley,,14-15,,
5:53.0,Turnover by M. Beasley (lost ball; steal by R. Hollis-Jefferson),,14-15,,
5:51.0,,,14-17,2,R. Hollis-Jefferson makes 2-pt shot from 1 ft (assist by S. Dinwiddie)
5:51.0,,,14-17,,Shooting foul by K. O'Quinn (drawn by R. Hollis-Jefferson)
5:51.0,,,14-18,1,R. Hollis-Jefferson makes free throw 1 of 1
5:34.0,L. Thomas misses 2-pt shot from 20 ft,,14-18,,
5:31.0,,,14-18,,Defensive rebound by S. Dinwiddie
5:26.0,Personal foul by L. Thomas (drawn by R. Hollis-Jefferson),,14-18,,
5:26.0,F. Ntilikina enters the game for J. Jack,,14-18,,
5:10.0,,,14-18,,Turnover by R. Hollis-Jefferson (out of bounds lost ball)
4:58.0,C. Lee makes 2-pt shot from 18 ft (assist by K. O'Quinn),2,16-18,,
4:45.0,,,16-18,,A. Crabbe misses 3-pt shot from 25 ft
4:42.0,,,16-18,,Offensive rebound by R. Hollis-Jefferson
4:40.0,,,16-18,,D. Carroll misses 3-pt shot from 24 ft
4:38.0,Defensive rebound by F. Ntilikina,,16-18,,
4:34.0,L. Thomas makes 2-pt shot from 1 ft (assist by F. Ntilikina),2,18-18,,
4:31.0,,,18-18,,Shooting foul by F. Ntilikina (drawn by D. Carroll)
4:31.0,,,18-19,1,D. Carroll makes free throw 1 of 2
4:31.0,,,18-19,,Q. Acy enters the game for S. Dinwiddie
4:31.0,,,18-19,,J. Allen enters the game for R. Hollis-Jefferson
4:31.0,,,18-19,,C. LeVert enters the game for T. Zeller
4:31.0,D. McDermott enters the game for L. Thomas,,18-19,,
4:31.0,,,18-20,1,D. Carroll makes free throw 2 of 2
4:21.0,M. Beasley misses 2-pt shot from 7 ft,,18-20,,
4:18.0,,,18-20,,Defensive rebound by J. Allen
4:00.0,,,18-20,,D. Carroll misses 2-pt shot from 1 ft
3:58.0,Defensive rebound by M. Beasley,,18-20,,
3:50.0,F. Ntilikina misses 3-pt shot from 24 ft,,18-20,,
3:47.0,,,18-20,,Defensive rebound by J. Allen
3:34.0,,,18-20,,Q. Acy misses 3-pt shot from 26 ft
3:31.0,Defensive rebound by K. O'Quinn,,18-20,,
3:25.0,D. McDermott makes 3-pt shot from 22 ft (assist by F. Ntilikina),3,21-20,,
3:06.0,,,21-20,,C. LeVert misses 2-pt shot from 3 ft
3:03.0,Defensive rebound by F. Ntilikina,,21-20,,
3:00.0,F. Ntilikina misses 2-pt shot at rim,,21-20,,
2:57.0,,,21-20,,Defensive rebound by J. Allen
2:53.0,,,21-20,,Q. Acy misses 3-pt shot from 22 ft
2:49.0,Defensive rebound by K. O'Quinn,,21-20,,
2:43.0,New York full timeout,,21-20,,
2:43.0,,,21-20,,J. Harris enters the game for D. Carroll
2:43.0,,,21-20,,N. Stauskas enters the game for A. Crabbe
2:43.0,R. Baker enters the game for C. Lee,,21-20,,
2:31.0,Turnover by F. Ntilikina (bad pass; steal by J. Allen),,21-20,,
2:15.0,Personal foul by R. Baker (drawn by J. Harris),,21-20,,
2:15.0,,,21-21,1,J. Harris makes free throw 1 of 2
2:15.0,,,21-22,1,J. Harris makes free throw 2 of 2
2:01.0,D. McDermott misses 3-pt shot from 25 ft,,21-22,,
1:58.0,,,21-22,,Defensive rebound by J. Allen
1:38.0,,,21-22,,C. LeVert misses 2-pt shot from 13 ft
1:36.0,Defensive rebound by K. O'Quinn,,21-22,,
1:25.0,Shooting foul by J. Allen (drawn by K. O'Quinn),,21-22,,
1:25.0,K. O'Quinn makes free throw 1 of 2,1,22-22,,
1:25.0,K. O'Quinn misses free throw 2 of 2,,22-22,,
1:22.0,,,22-22,,Defensive rebound by Q. Acy
1:06.0,,,22-22,,Q. Acy misses 2-pt shot from 2 ft (block by K. O'Quinn)
1:02.0,Defensive rebound by F. Ntilikina,,22-22,,
0:53.0,K. O'Quinn makes 2-pt shot from 5 ft (assist by M. Beasley),2,24-22,,
0:46.0,,,24-24,2,C. LeVert makes 2-pt shot from 9 ft
0:30.0,M. Beasley makes 2-pt shot at rim (assist by K. O'Quinn),2,26-24,,
0:09.0,,,26-24,,C. LeVert misses 2-pt shot from 1 ft
0:07.0,,,26-24,,Offensive rebound by C. LeVert
0:07.0,,,26-24,,C. LeVert misses 2-pt shot from 1 ft (block by M. Beasley)
0:07.0,Defensive rebound by D. McDermott,,26-24,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,R. Baker misses 3-pt shot from 22 ft,,26-24,,
11:43.0,,,26-24,,Defensive rebound by C. LeVert
11:33.0,,,26-24,,Q. Acy misses 3-pt shot from 24 ft
11:30.0,Defensive rebound by K. Porzingis,,26-24,,
11:21.0,Shooting foul by C. LeVert (drawn by D. McDermott),,26-24,,
11:21.0,D. McDermott misses free throw 1 of 2,,26-24,,
11:21.0,Offensive rebound by Team,,26-24,,
11:21.0,D. McDermott makes free throw 2 of 2,1,27-24,,
11:12.0,,,27-24,,C. LeVert misses 3-pt shot from 24 ft
11:09.0,Defensive rebound by K. O'Quinn,,27-24,,
10:54.0,F. Ntilikina makes 3-pt shot from 25 ft,3,30-24,,
10:39.0,,,30-26,2,J. Harris makes 2-pt shot from 1 ft
10:24.0,D. McDermott misses 2-pt shot from 1 ft (block by J. Okafor),,30-26,,
10:22.0,,,30-26,,Defensive rebound by A. Crabbe
10:18.0,,,30-26,,Turnover by A. Crabbe (bad pass; steal by R. Baker)
10:15.0,D. McDermott misses 2-pt shot from 1 ft (block by A. Crabbe),,30-26,,
10:15.0,Offensive rebound by Team,,30-26,,
10:14.0,Shooting foul by Q. Acy (drawn by K. Porzingis),,30-26,,
10:14.0,K. Porzingis misses free throw 1 of 2,,30-26,,
10:14.0,Offensive rebound by Team,,30-26,,
10:14.0,K. Porzingis misses free throw 2 of 2,,30-26,,
10:12.0,,,30-26,,Defensive rebound by Q. Acy
9:58.0,,,30-28,2,C. LeVert makes 2-pt shot from 1 ft
9:46.0,R. Baker misses 3-pt shot from 25 ft,,30-28,,
9:44.0,,,30-28,,Defensive rebound by A. Crabbe
9:32.0,W. Hernangomez enters the game for K. O'Quinn,,30-28,,
9:29.0,Jump ball: J. Harris vs. R. Baker (D. McDermott gains possession),,,,Jump ball: J. Harris vs. R. Baker (D. McDermott gains possession)
9:29.0,,,30-28,,Turnover by J. Harris (turnover; steal by R. Baker)
9:18.0,K. Porzingis makes 3-pt shot from 26 ft (assist by F. Ntilikina),3,33-28,,
9:04.0,,,33-31,3,Q. Acy makes 3-pt shot from 26 ft (assist by A. Crabbe)
8:49.0,Turnover by F. Ntilikina (bad pass; steal by C. LeVert),,33-31,,
8:45.0,,,33-31,,C. LeVert misses 2-pt shot from 1 ft
8:45.0,,,33-31,,Offensive rebound by Team
8:45.0,,,33-31,,R. Hollis-Jefferson enters the game for Q. Acy
8:38.0,,,33-31,,J. Harris misses 2-pt shot from 23 ft
8:37.0,,,33-31,,Offensive rebound by Team
8:37.0,Loose ball foul by W. Hernangomez (drawn by J. Okafor),,33-31,,
8:37.0,T. Burke enters the game for F. Ntilikina,,33-31,,
8:26.0,,,33-31,,Turnover by C. LeVert (lost ball; steal by W. Hernangomez)
8:08.0,T. Burke makes 2-pt shot from 20 ft (assist by W. Hernangomez),2,35-31,,
7:51.0,,,35-31,,J. Okafor misses 2-pt shot from 5 ft
7:49.0,Defensive rebound by K. Porzingis,,35-31,,
7:40.0,D. McDermott makes 3-pt shot from 26 ft (assist by R. Baker),3,38-31,,
7:19.0,,,38-31,,R. Hollis-Jefferson misses 2-pt shot from 1 ft
7:17.0,Defensive rebound by W. Hernangomez,,38-31,,
7:13.0,Turnover by D. McDermott (step out of bounds),,38-31,,
7:13.0,,,38-31,,Brooklyn full timeout
7:13.0,,,38-31,,S. Dinwiddie enters the game for C. LeVert
7:13.0,C. Lee enters the game for D. McDermott,,38-31,,
6:54.0,,,38-31,,Shooting foul by W. Hernangomez (drawn by J. Harris)
6:54.0,,,38-32,1,J. Harris makes free throw 1 of 2
6:54.0,,,38-32,,J. Harris misses free throw 2 of 2
6:50.0,Defensive rebound by W. Hernangomez,,38-32,,
6:30.0,K. Porzingis makes 2-pt shot from 18 ft (assist by T. Burke),2,40-32,,
6:23.0,,,40-32,,R. Hollis-Jefferson misses 2-pt shot at rim
6:20.0,,,40-32,,Offensive rebound by S. Dinwiddie
6:19.0,,,40-32,,S. Dinwiddie misses 3-pt shot from 25 ft
6:16.0,Defensive rebound by R. Baker,,40-32,,
5:58.0,Shooting foul by R. Hollis-Jefferson (drawn by T. Burke),,40-32,,
5:58.0,T. Burke makes free throw 1 of 2,1,41-32,,
5:58.0,,,41-32,,D. Carroll enters the game for A. Crabbe
5:58.0,M. Beasley enters the game for K. Porzingis,,41-32,,
5:58.0,T. Burke misses free throw 2 of 2,,41-32,,
5:54.0,Offensive rebound by T. Burke,,41-32,,
5:47.0,W. Hernangomez makes 2-pt shot from 5 ft (assist by T. Burke),2,43-32,,
5:31.0,,,43-34,2,R. Hollis-Jefferson makes 2-pt shot from 5 ft
5:11.0,M. Beasley misses 2-pt shot from 8 ft,,43-34,,
5:09.0,,,43-34,,Defensive rebound by J. Harris
5:03.0,,,43-34,,R. Hollis-Jefferson misses 2-pt shot from 7 ft
5:02.0,Defensive rebound by Team,,43-34,,
5:02.0,,,43-34,,Loose ball foul by J. Okafor (drawn by W. Hernangomez)
5:02.0,,,43-34,,J. Allen enters the game for J. Okafor
4:52.0,T. Burke misses 2-pt shot from 19 ft,,43-34,,
4:49.0,Offensive rebound by W. Hernangomez,,43-34,,
4:42.0,Shooting foul by J. Allen (drawn by W. Hernangomez),,43-34,,
4:42.0,W. Hernangomez misses free throw 1 of 2,,43-34,,
4:42.0,Offensive rebound by Team,,43-34,,
4:42.0,W. Hernangomez makes free throw 2 of 2,1,44-34,,
4:22.0,,,44-34,,Turnover by R. Hollis-Jefferson (bad pass)
4:04.0,M. Beasley makes 2-pt shot from 7 ft,2,46-34,,
3:47.0,,,46-36,2,S. Dinwiddie makes 2-pt shot from 1 ft
3:35.0,C. Lee misses 2-pt shot from 20 ft,,46-36,,
3:32.0,,,46-36,,Defensive rebound by S. Dinwiddie
3:24.0,,,46-38,2,J. Allen makes 2-pt shot at rim (assist by J. Harris)
3:18.0,New York full timeout,,46-38,,
3:18.0,,,46-38,,C. LeVert enters the game for J. Harris
3:18.0,L. Thomas enters the game for W. Hernangomez,,46-38,,
3:18.0,K. Porzingis enters the game for R. Baker,,46-38,,
2:59.0,M. Beasley misses 2-pt shot from 5 ft,,46-38,,
2:55.0,Offensive rebound by C. Lee,,46-38,,
2:55.0,C. Lee makes 2-pt shot at rim,2,48-38,,
2:49.0,,,48-38,,C. LeVert misses 2-pt shot from 19 ft
2:46.0,Defensive rebound by K. Porzingis,,48-38,,
2:40.0,Offensive foul by K. Porzingis (drawn by S. Dinwiddie),,48-38,,
2:40.0,Turnover by K. Porzingis (offensive foul),,48-38,,
2:20.0,,,48-38,,Shooting foul by K. Porzingis (drawn by R. Hollis-Jefferson)
2:20.0,,,48-39,1,R. Hollis-Jefferson makes free throw 1 of 2
2:20.0,F. Ntilikina enters the game for T. Burke,,48-39,,
2:20.0,,,48-40,1,R. Hollis-Jefferson makes free throw 2 of 2
1:55.0,C. Lee misses 3-pt shot from 24 ft,,48-40,,
1:51.0,,,48-40,,Defensive rebound by S. Dinwiddie
1:43.0,,,48-40,,J. Allen misses 2-pt shot from 6 ft
1:40.0,Defensive rebound by K. Porzingis,,48-40,,
1:34.0,K. Porzingis makes 2-pt shot from 7 ft,2,50-40,,
1:21.0,Personal foul by F. Ntilikina (drawn by S. Dinwiddie),,50-40,,
1:10.0,,,50-40,,S. Dinwiddie misses 3-pt shot from 25 ft
1:06.0,,,50-40,,Offensive rebound by C. LeVert
1:06.0,,,50-40,,Shooting foul by L. Thomas (drawn by D. Carroll)
1:06.0,,,50-41,1,D. Carroll makes free throw 1 of 2
1:06.0,,,50-42,1,D. Carroll makes free throw 2 of 2
0:53.0,M. Beasley misses 2-pt shot from 6 ft,,50-42,,
0:51.0,,,50-42,,Defensive rebound by D. Carroll
0:42.0,,,50-42,,Turnover by R. Hollis-Jefferson (bad pass)
0:26.0,Shooting foul by J. Allen (drawn by F. Ntilikina),,50-42,,
0:26.0,F. Ntilikina makes free throw 1 of 2,1,51-42,,
0:26.0,,,51-42,,Q. Acy enters the game for C. LeVert
0:26.0,,,51-42,,A. Crabbe enters the game for J. Allen
0:26.0,F. Ntilikina makes free throw 2 of 2,1,52-42,,
0:06.0,,,52-42,,S. Dinwiddie misses 2-pt shot from 4 ft
0:04.0,Defensive rebound by F. Ntilikina,,52-42,,
0:01.0,C. Lee misses 2-pt shot from 16 ft (block by Q. Acy),,52-42,,
0:01.0,Offensive rebound by Team,,52-42,,
0:01.0,,,52-42,,C. LeVert enters the game for A. Crabbe
0:00.0,C. Lee misses 2-pt shot from 16 ft,,52-42,,
0:00.0,Offensive rebound by Team,,52-42,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,J. Jack misses 2-pt shot from 20 ft,,52-42,,
11:42.0,,,52-42,,Defensive rebound by T. Zeller
11:19.0,,,52-42,,S. Dinwiddie misses 2-pt shot from 8 ft
11:17.0,Defensive rebound by K. Porzingis,,52-42,,
11:09.0,,,52-42,,Personal foul by D. Carroll (drawn by K. Porzingis)
10:59.0,E. Kanter makes 2-pt shot from 1 ft (assist by J. Jack),2,54-42,,
10:45.0,,,54-42,,A. Crabbe misses 3-pt shot from 24 ft
10:43.0,Defensive rebound by E. Kanter,,54-42,,
10:34.0,Shooting foul by S. Dinwiddie (drawn by K. Porzingis),,54-42,,
10:34.0,K. Porzingis makes free throw 1 of 2,1,55-42,,
10:34.0,K. Porzingis makes free throw 2 of 2,1,56-42,,
10:12.0,,,56-45,3,D. Carroll makes 3-pt shot from 25 ft (assist by R. Hollis-Jefferson)
9:56.0,Turnover by J. Jack (bad pass; steal by D. Carroll),,56-45,,
9:53.0,,,56-47,2,R. Hollis-Jefferson makes 2-pt shot from 1 ft (assist by D. Carroll)
9:53.0,,,56-47,,Shooting foul by J. Jack (drawn by R. Hollis-Jefferson)
9:53.0,,,56-48,1,R. Hollis-Jefferson makes free throw 1 of 1
9:31.0,,,56-48,,Personal foul by A. Crabbe (drawn by K. Porzingis)
9:21.0,C. Lee makes 3-pt shot from 24 ft,3,59-48,,
9:10.0,,,59-48,,S. Dinwiddie misses 2-pt shot from 1 ft (block by E. Kanter)
9:09.0,Defensive rebound by Team,,59-48,,
8:52.0,K. Porzingis makes 2-pt shot from 5 ft (assist by C. Lee),2,61-48,,
8:52.0,Shooting foul by R. Hollis-Jefferson (drawn by K. Porzingis),,61-48,,
8:52.0,K. Porzingis makes free throw 1 of 1,1,62-48,,
8:45.0,,,62-48,,Shooting foul by L. Thomas (drawn by D. Carroll)
8:45.0,,,62-49,1,D. Carroll makes free throw 1 of 3
8:45.0,,,62-49,,D. Carroll misses free throw 2 of 3
8:45.0,,,62-49,,Offensive rebound by Team
8:45.0,,,62-50,1,D. Carroll makes free throw 3 of 3
8:36.0,,,62-50,,Personal foul by R. Hollis-Jefferson (drawn by K. Porzingis)
8:36.0,K. Porzingis makes free throw 1 of 2,1,63-50,,
8:36.0,K. Porzingis makes free throw 2 of 2,1,64-50,,
8:30.0,,,64-50,,Shooting foul by J. Jack (drawn by S. Dinwiddie)
8:30.0,,,64-51,1,S. Dinwiddie makes free throw 1 of 2
8:30.0,,,64-51,,C. LeVert enters the game for A. Crabbe
8:30.0,,,64-52,1,S. Dinwiddie makes free throw 2 of 2
8:14.0,C. Lee misses 2-pt shot from 7 ft,,64-52,,
8:12.0,,,64-52,,Defensive rebound by R. Hollis-Jefferson
8:09.0,,,64-54,2,R. Hollis-Jefferson makes 2-pt shot from 9 ft (assist by S. Dinwiddie)
8:09.0,Shooting block foul by J. Jack (drawn by R. Hollis-Jefferson),,64-54,,
8:09.0,,,64-55,1,R. Hollis-Jefferson makes free throw 1 of 1
7:56.0,,,64-55,,Personal block foul by T. Zeller (drawn by E. Kanter)
7:56.0,E. Kanter makes free throw 1 of 2,1,65-55,,
7:56.0,E. Kanter misses free throw 2 of 2,,65-55,,
7:56.0,,,65-55,,Defensive rebound by Q. Acy
7:56.0,,,65-55,,Q. Acy enters the game for T. Zeller
7:56.0,C. Lee makes technical free throw,1,66-55,,
7:55.0,Personal foul by K. Porzingis (drawn by Q. Acy),,66-55,,
7:55.0,,,66-55,,Q. Acy misses free throw 1 of 2
7:55.0,,,66-55,,Offensive rebound by Team
7:55.0,,,66-56,1,Q. Acy makes free throw 2 of 2
7:38.0,J. Jack misses 2-pt shot from 7 ft,,66-56,,
7:37.0,Offensive rebound by K. Porzingis,,66-56,,
7:37.0,K. Porzingis misses 2-pt shot at rim,,66-56,,
7:36.0,,,66-56,,Defensive rebound by R. Hollis-Jefferson
7:29.0,,,66-56,,D. Carroll misses 3-pt shot from 24 ft
7:26.0,Defensive rebound by E. Kanter,,66-56,,
7:16.0,,,66-56,,Personal foul by S. Dinwiddie (drawn by K. Porzingis)
7:16.0,K. Porzingis misses free throw 1 of 2,,66-56,,
7:16.0,Offensive rebound by Team,,66-56,,
7:16.0,D. McDermott enters the game for E. Kanter,,66-56,,
7:16.0,K. O'Quinn enters the game for L. Thomas,,66-56,,
7:16.0,K. Porzingis makes free throw 2 of 2,1,67-56,,
7:11.0,,,67-56,,Shooting foul by D. McDermott (drawn by S. Dinwiddie)
7:11.0,,,67-57,1,S. Dinwiddie makes free throw 1 of 2
7:11.0,,,67-58,1,S. Dinwiddie makes free throw 2 of 2
6:53.0,C. Lee makes 2-pt shot from 18 ft,2,69-58,,
6:36.0,,,69-58,,Q. Acy misses 3-pt shot from 23 ft
6:33.0,,,69-58,,Offensive rebound by R. Hollis-Jefferson
6:29.0,,,69-58,,R. Hollis-Jefferson misses 2-pt shot from 1 ft (block by K. Porzingis)
6:26.0,,,69-58,,Offensive rebound by Q. Acy
6:24.0,,,69-61,3,C. LeVert makes 3-pt shot from 25 ft (assist by S. Dinwiddie)
6:09.0,J. Jack misses 2-pt shot from 18 ft,,69-61,,
6:05.0,,,69-61,,Defensive rebound by R. Hollis-Jefferson
5:49.0,,,69-61,,C. LeVert misses 2-pt shot at rim
5:48.0,,,69-61,,Offensive rebound by C. LeVert
5:48.0,,,69-63,2,C. LeVert makes 2-pt shot at rim
5:48.0,New York full timeout,,69-63,,
5:48.0,,,69-63,,J. Harris enters the game for D. Carroll
5:48.0,F. Ntilikina enters the game for J. Jack,,69-63,,
5:31.0,K. Porzingis misses 2-pt shot from 7 ft,,69-63,,
5:27.0,,,69-63,,Defensive rebound by J. Harris
5:20.0,,,69-63,,Q. Acy misses 3-pt shot from 24 ft
5:18.0,Defensive rebound by K. O'Quinn,,69-63,,
5:10.0,K. Porzingis makes 3-pt shot from 24 ft (assist by F. Ntilikina),3,72-63,,
4:52.0,,,72-63,,Shooting foul by K. Porzingis (drawn by Q. Acy)
4:52.0,,,72-64,1,Q. Acy makes free throw 1 of 2
4:52.0,M. Beasley enters the game for K. Porzingis,,72-64,,
4:52.0,,,72-65,1,Q. Acy makes free throw 2 of 2
4:38.0,D. McDermott misses 2-pt shot from 22 ft,,72-65,,
4:36.0,,,72-65,,Defensive rebound by C. LeVert
4:31.0,,,72-65,,S. Dinwiddie misses 3-pt shot from 25 ft
4:28.0,Defensive rebound by F. Ntilikina,,72-65,,
4:11.0,,,72-65,,Personal foul by R. Hollis-Jefferson (drawn by K. O'Quinn)
4:11.0,K. O'Quinn makes free throw 1 of 2,1,73-65,,
4:11.0,,,73-65,,A. Crabbe enters the game for S. Dinwiddie
4:11.0,,,73-65,,D. Carroll enters the game for R. Hollis-Jefferson
4:11.0,K. O'Quinn misses free throw 2 of 2,,73-65,,
4:08.0,,,73-65,,Defensive rebound by D. Carroll
4:01.0,,,73-65,,Shooting foul by K. O'Quinn (drawn by C. LeVert)
4:01.0,,,73-66,1,C. LeVert makes free throw 1 of 2
4:01.0,,,73-66,,C. LeVert misses free throw 2 of 2
3:57.0,Defensive rebound by F. Ntilikina,,73-66,,
3:52.0,M. Beasley makes 2-pt shot at rim (assist by C. Lee),2,75-66,,
3:40.0,,,75-69,3,Q. Acy makes 3-pt shot from 22 ft (assist by A. Crabbe)
3:22.0,Turnover by K. O'Quinn (bad pass; steal by J. Harris),,75-69,,
3:18.0,,,75-69,,Turnover by C. LeVert (bad pass; steal by F. Ntilikina)
3:13.0,C. Lee misses 2-pt shot from 1 ft,,75-69,,
3:11.0,,,75-69,,Defensive rebound by C. LeVert
3:04.0,,,75-69,,C. LeVert misses 2-pt shot from 1 ft (block by M. Beasley)
3:04.0,,,75-69,,Offensive rebound by Team
3:04.0,R. Baker enters the game for C. Lee,,75-69,,
3:01.0,,,75-69,,D. Carroll misses 2-pt shot from 2 ft (block by F. Ntilikina)
2:59.0,Defensive rebound by R. Baker,,75-69,,
2:54.0,K. O'Quinn makes 2-pt shot at rim (assist by F. Ntilikina),2,77-69,,
2:53.0,,,77-69,,Brooklyn full timeout
2:41.0,,,77-69,,J. Harris misses 3-pt shot from 25 ft
2:36.0,Defensive rebound by D. McDermott,,77-69,,
2:25.0,M. Beasley misses 2-pt shot from 6 ft,,77-69,,
2:24.0,,,77-69,,Defensive rebound by J. Harris
2:16.0,,,77-69,,Turnover by Q. Acy (traveling)
2:04.0,Shooting foul by D. Carroll (drawn by M. Beasley),,77-69,,
2:04.0,M. Beasley misses free throw 1 of 2,,77-69,,
2:04.0,Offensive rebound by Team,,77-69,,
2:04.0,M. Beasley makes free throw 2 of 2,1,78-69,,
1:51.0,Personal foul by R. Baker (drawn by A. Crabbe),,78-69,,
1:51.0,Technical foul by K. O'Quinn,,78-69,,
1:51.0,,,78-70,1,A. Crabbe makes technical free throw
1:51.0,,,78-71,1,A. Crabbe makes free throw 1 of 2
1:51.0,,,78-71,,J. Allen enters the game for Q. Acy
1:51.0,,,78-72,1,A. Crabbe makes free throw 2 of 2
1:37.0,D. McDermott misses 3-pt shot from 24 ft,,78-72,,
1:33.0,,,78-72,,Defensive rebound by D. Carroll
1:17.0,,,78-75,3,A. Crabbe makes 3-pt shot from 22 ft (assist by D. Carroll)
0:57.0,D. McDermott makes 2-pt shot at rim (assist by K. O'Quinn),2,80-75,,
0:49.0,,,80-75,,Shooting foul by M. Beasley (drawn by D. Carroll)
0:49.0,,,80-76,1,D. Carroll makes free throw 1 of 2
0:49.0,,,80-77,1,D. Carroll makes free throw 2 of 2
0:37.0,Shooting foul by A. Crabbe (drawn by K. O'Quinn),,80-77,,
0:37.0,K. O'Quinn misses free throw 1 of 2,,80-77,,
0:37.0,Offensive rebound by Team,,80-77,,
0:37.0,,,80-77,,Q. Acy enters the game for J. Allen
0:37.0,K. O'Quinn makes free throw 2 of 2,1,81-77,,
0:30.0,,,81-79,2,C. LeVert makes 2-pt shot from 19 ft
0:13.0,F. Ntilikina makes 2-pt shot from 18 ft,2,83-79,,
0:00.0,,,83-81,2,D. Carroll makes 2-pt shot from 18 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,,,83-81,,C. LeVert misses 2-pt shot from 12 ft (block by F. Ntilikina)
11:37.0,,,83-81,,Offensive rebound by J. Harris
11:34.0,,,83-81,,Turnover by D. Carroll (lost ball; steal by R. Baker)
11:15.0,R. Baker makes 3-pt shot from 24 ft (assist by M. Beasley),3,86-81,,
10:58.0,,,86-81,,C. LeVert misses 3-pt shot from 22 ft
10:56.0,Defensive rebound by M. Beasley,,86-81,,
10:40.0,M. Beasley misses 2-pt shot from 10 ft,,86-81,,
10:37.0,,,86-81,,Defensive rebound by D. Carroll
10:32.0,,,86-81,,D. Carroll misses 3-pt shot from 24 ft
10:29.0,Defensive rebound by R. Baker,,86-81,,
10:15.0,K. O'Quinn makes 2-pt shot from 2 ft,2,88-81,,
9:49.0,,,88-81,,A. Crabbe misses 3-pt shot from 23 ft
9:46.0,Defensive rebound by M. Beasley,,88-81,,
9:41.0,F. Ntilikina makes 3-pt shot from 26 ft,3,91-81,,
