time,Orlando,pts.away,score,pts.home,New Orleans
8:30.0,,,8-6,,Defensive rebound by D. Cousins
8:28.0,,,8-6,,Turnover by D. Cousins (bad pass; steal by T. Ross)
8:28.0,,,8-6,,Personal foul by D. Cousins (drawn by T. Ross)
8:14.0,N. Vucevic misses 2-pt shot from 21 ft,,8-6,,
8:11.0,,,8-6,,Defensive rebound by J. Holiday
8:01.0,,,8-6,,D. Cousins misses 3-pt shot from 26 ft
7:54.0,Defensive rebound by J. Isaac,,8-6,,
7:42.0,T. Ross misses 2-pt shot from 1 ft (block by D. Cunningham),,8-6,,
7:41.0,,,8-6,,Defensive rebound by Team
7:30.0,,,8-6,,D. Cousins misses 2-pt shot from 19 ft
7:24.0,Defensive rebound by J. Isaac,,8-6,,
7:22.0,Turnover by E. Fournier (bad pass; steal by E. Moore),,8-6,,
7:15.0,,,8-6,,A. Davis misses 2-pt shot at rim
7:11.0,Defensive rebound by N. Vucevic,,8-6,,
7:09.0,E. Fournier misses 3-pt shot from 23 ft,,8-6,,
7:02.0,,,8-6,,Defensive rebound by D. Cunningham
6:57.0,,,8-6,,D. Cunningham misses 3-pt shot from 25 ft
6:57.0,,,8-6,,Offensive rebound by Team
6:57.0,Loose ball foul by J. Isaac (drawn by D. Cousins),,8-6,,
6:57.0,,,8-6,,New Orleans full timeout
6:47.0,,,8-8,2,A. Davis makes 2-pt shot from 13 ft (assist by D. Cousins)
6:25.0,,,8-8,,Personal foul by J. Holiday (drawn by E. Fournier)
6:18.0,D. Augustin makes 2-pt shot from 18 ft,2,10-8,,
6:08.0,,,10-8,,E. Moore misses 2-pt shot from 6 ft
6:01.0,Defensive rebound by N. Vucevic,,10-8,,
5:59.0,N. Vucevic misses 2-pt shot from 13 ft,,10-8,,
5:53.0,Offensive rebound by J. Isaac,,10-8,,
5:52.0,J. Isaac makes 2-pt shot from 2 ft,2,12-8,,
5:46.0,,,12-8,,J. Holiday misses 2-pt shot from 11 ft
5:46.0,,,12-8,,Offensive rebound by A. Davis
5:30.0,,,12-8,,E. Moore misses 2-pt shot from 14 ft
5:25.0,,,12-8,,Offensive rebound by D. Cunningham
5:22.0,,,12-10,2,E. Moore makes 2-pt shot from 1 ft (assist by D. Cunningham)
5:17.0,,,12-10,,Personal foul by E. Moore (drawn by D. Augustin)
5:17.0,J. Simmons enters the game for T. Ross,,12-10,,
5:15.0,N. Vucevic makes 2-pt shot from 17 ft (assist by J. Simmons),2,14-10,,
5:04.0,,,14-10,,Shooting foul by J. Isaac (drawn by A. Davis)
5:04.0,,,14-11,1,A. Davis makes free throw 1 of 2
5:04.0,,,14-11,,J. Nelson enters the game for E. Moore
5:04.0,M. Speights enters the game for J. Isaac,,14-11,,
5:04.0,,,14-12,1,A. Davis makes free throw 2 of 2
4:51.0,E. Fournier misses 2-pt shot from 4 ft (block by A. Davis),,14-12,,
4:46.0,,,14-12,,Defensive rebound by D. Cousins
4:46.0,,,14-12,,Turnover by D. Cousins (bad pass)
4:33.0,E. Fournier makes 2-pt shot from 4 ft (assist by N. Vucevic),2,16-12,,
4:20.0,,,16-14,2,A. Davis makes 2-pt shot from 1 ft (assist by J. Nelson)
4:01.0,D. Augustin misses 3-pt shot from 26 ft,,16-14,,
4:00.0,,,16-14,,Defensive rebound by Team
4:00.0,,,16-14,,C. Diallo enters the game for D. Cousins
3:43.0,,,16-14,,Turnover by J. Holiday (bad pass; steal by D. Augustin)
3:43.0,,,16-14,,Personal foul by J. Nelson (drawn by D. Augustin)
3:43.0,D. Augustin makes free throw 1 of 2,1,17-14,,
3:43.0,D. Augustin makes free throw 2 of 2,1,18-14,,
3:33.0,,,18-14,,A. Davis misses 3-pt shot from 24 ft
3:27.0,Defensive rebound by M. Speights,,18-14,,
3:15.0,N. Vucevic misses 2-pt shot from 4 ft (block by A. Davis),,18-14,,
3:13.0,Offensive rebound by J. Simmons,,18-14,,
3:13.0,,,18-14,,Personal foul by C. Diallo (drawn by J. Simmons)
3:13.0,J. Simmons makes free throw 1 of 2,1,19-14,,
3:13.0,J. Simmons makes free throw 2 of 2,1,20-14,,
3:04.0,,,20-16,2,A. Davis makes 2-pt shot from 10 ft (assist by J. Nelson)
2:49.0,E. Fournier makes 3-pt shot from 25 ft (assist by M. Speights),3,23-16,,
2:39.0,,,23-18,2,A. Davis makes 2-pt shot from 21 ft (assist by J. Nelson)
2:27.0,Shooting foul by D. Cunningham (drawn by J. Simmons),,23-18,,
2:27.0,Orlando full timeout,,23-18,,
2:27.0,B. Biyombo enters the game for N. Vucevic,,23-18,,
2:27.0,J. Simmons makes free throw 1 of 2,1,24-18,,
2:27.0,J. Simmons makes free throw 2 of 2,1,25-18,,
2:27.0,,,25-18,,E. Moore enters the game for D. Cunningham
2:13.0,,,25-20,2,J. Holiday makes 2-pt shot from 21 ft
1:53.0,Turnover by J. Simmons (bad pass),,25-20,,
1:53.0,S. Mack enters the game for D. Augustin,,25-20,,
1:39.0,,,25-22,2,J. Holiday makes 2-pt shot from 7 ft (assist by A. Davis)
1:24.0,M. Speights makes 3-pt shot from 25 ft (assist by J. Simmons),3,28-22,,
1:11.0,,,28-22,,Turnover by J. Holiday (turnover)
1:02.0,E. Fournier makes 3-pt shot from 23 ft (assist by S. Mack),3,31-22,,
0:43.0,,,31-22,,J. Holiday misses 2-pt shot from 18 ft
0:39.0,Defensive rebound by J. Simmons,,31-22,,
0:35.0,J. Simmons makes 2-pt shot from 2 ft,2,33-22,,
0:27.0,Personal foul by B. Biyombo (drawn by A. Davis),,33-22,,
0:27.0,,,33-23,1,A. Davis makes free throw 1 of 2
0:27.0,,,33-23,,I. Clark enters the game for J. Holiday
0:27.0,,,33-24,1,A. Davis makes free throw 2 of 2
0:04.0,J. Simmons misses 2-pt shot from 12 ft,,33-24,,
0:00.0,,,33-24,,I. Clark misses 3-pt shot from 27 ft
0:00.0,,,33-24,,Offensive rebound by Team
0:00.0,,,33-24,,Offensive rebound by J. Nelson
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,Turnover by A. Gordon (lost ball; steal by E. Moore),,33-24,,
11:31.0,,,33-24,,I. Clark misses 2-pt shot from 16 ft
11:27.0,Defensive rebound by A. Gordon,,33-24,,
11:18.0,A. Gordon makes 3-pt shot from 25 ft,3,36-24,,
10:59.0,,,36-26,2,J. Nelson makes 2-pt shot at rim
10:52.0,A. Gordon misses 2-pt shot from 16 ft,,36-26,,
10:46.0,,,36-26,,Defensive rebound by C. Diallo
10:41.0,,,36-26,,I. Clark misses 3-pt shot from 25 ft
10:37.0,Defensive rebound by S. Mack,,36-26,,
10:37.0,Turnover by M. Hezonja (traveling),,36-26,,
10:19.0,,,36-28,2,D. Cousins makes 2-pt shot from 13 ft
10:19.0,,,36-28,,Shooting foul by B. Biyombo (drawn by D. Cousins)
10:19.0,,,36-28,,D. Cousins misses free throw 1 of 1
10:13.0,Defensive rebound by J. Simmons,,36-28,,
10:06.0,M. Hezonja makes 2-pt shot from 19 ft,2,38-28,,
9:49.0,,,38-28,,D. Cousins misses 2-pt shot from 4 ft
9:44.0,Defensive rebound by A. Gordon,,38-28,,
9:43.0,A. Gordon makes 2-pt shot from 1 ft,2,40-28,,
9:43.0,Shooting foul by I. Clark (drawn by A. Gordon),,40-28,,
9:43.0,,,40-28,,A. Davis enters the game for C. Diallo
9:43.0,A. Gordon misses free throw 1 of 1,,40-28,,
9:41.0,,,40-28,,Defensive rebound by E. Moore
9:29.0,,,40-30,2,D. Cousins makes 2-pt shot at rim (assist by I. Clark)
9:18.0,S. Mack misses 2-pt shot from 17 ft,,40-30,,
9:12.0,,,40-30,,Defensive rebound by D. Cousins
9:03.0,,,40-30,,Turnover by A. Davis (lost ball; steal by S. Mack)
8:57.0,A. Gordon misses 3-pt shot from 24 ft,,40-30,,
8:57.0,Offensive rebound by B. Biyombo,,40-30,,
8:57.0,Shooting foul by E. Moore (drawn by B. Biyombo),,40-30,,
8:57.0,B. Biyombo misses free throw 1 of 2,,40-30,,
8:57.0,Offensive rebound by Team,,40-30,,
8:57.0,B. Biyombo misses free throw 2 of 2,,40-30,,
8:55.0,,,40-30,,Defensive rebound by E. Moore
8:41.0,,,40-33,3,D. Cousins makes 3-pt shot from 26 ft (assist by J. Nelson)
8:29.0,A. Gordon makes 3-pt shot from 25 ft (assist by S. Mack),3,43-33,,
8:14.0,,,43-36,3,D. Cousins makes 3-pt shot from 26 ft (assist by J. Nelson)
7:50.0,,,43-36,,Personal foul by J. Nelson (drawn by A. Gordon)
7:50.0,,,43-36,,T. Allen enters the game for E. Moore
7:44.0,J. Simmons makes 2-pt shot from 16 ft,2,45-36,,
7:26.0,,,45-38,2,A. Davis makes 2-pt shot from 10 ft (assist by D. Cousins)
7:14.0,A. Gordon misses 2-pt shot from 9 ft,,45-38,,
7:11.0,,,45-38,,Defensive rebound by D. Cousins
7:08.0,,,45-40,2,T. Allen makes 2-pt shot from 1 ft (assist by D. Cousins)
7:08.0,Orlando full timeout,,45-40,,
6:54.0,Turnover by J. Simmons (discontinued dribble),,45-40,,
6:35.0,,,45-42,2,A. Davis makes 2-pt shot from 7 ft (assist by J. Nelson)
6:17.0,T. Ross enters the game for M. Hezonja,,45-42,,
6:17.0,N. Vucevic enters the game for B. Biyombo,,45-42,,
6:17.0,,,45-42,,J. Holiday enters the game for J. Nelson
6:16.0,S. Mack misses 2-pt shot from 2 ft,,45-42,,
6:16.0,Offensive rebound by Team,,45-42,,
6:05.0,N. Vucevic misses 2-pt shot from 18 ft,,45-42,,
6:01.0,,,45-42,,Defensive rebound by T. Allen
5:54.0,,,45-44,2,J. Holiday makes 2-pt shot from 2 ft (assist by I. Clark)
5:40.0,N. Vucevic makes 2-pt shot from 10 ft,2,47-44,,
5:27.0,,,47-46,2,I. Clark makes 2-pt shot from 10 ft
5:15.0,N. Vucevic misses 3-pt shot from 26 ft,,47-46,,
5:11.0,,,47-46,,Defensive rebound by A. Davis
5:00.0,,,47-46,,Turnover by I. Clark (bad pass; steal by A. Gordon)
4:59.0,,,47-46,,Personal foul by I. Clark (drawn by S. Mack)
4:59.0,E. Fournier enters the game for S. Mack,,47-46,,
4:59.0,D. Augustin enters the game for J. Simmons,,47-46,,
4:45.0,A. Gordon makes 2-pt shot from 15 ft,2,49-46,,
4:35.0,,,49-46,,Shooting foul by A. Gordon (drawn by A. Davis)
4:35.0,,,49-47,1,A. Davis makes free throw 1 of 2
4:35.0,J. Isaac enters the game for A. Gordon,,49-47,,
4:35.0,,,49-48,1,A. Davis makes free throw 2 of 2
4:19.0,D. Augustin misses 3-pt shot from 25 ft,,49-48,,
4:15.0,,,49-48,,Defensive rebound by A. Davis
4:14.0,,,49-48,,Shooting foul by J. Isaac (drawn by A. Davis)
4:14.0,,,49-49,1,A. Davis makes free throw 1 of 2
4:14.0,M. Speights enters the game for J. Isaac,,49-49,,
4:14.0,,,49-50,1,A. Davis makes free throw 2 of 2
4:04.0,T. Ross misses 2-pt shot from 10 ft,,49-50,,
4:00.0,,,49-50,,Defensive rebound by D. Cousins
3:55.0,,,49-50,,T. Allen misses 2-pt shot from 1 ft
3:45.0,,,49-50,,Offensive rebound by A. Davis
3:45.0,,,49-52,2,A. Davis makes 2-pt shot at rim
3:42.0,E. Fournier makes 2-pt shot from 2 ft (assist by D. Augustin),2,51-52,,
3:23.0,,,51-52,,D. Cousins misses 2-pt shot from 6 ft
3:19.0,Defensive rebound by N. Vucevic,,51-52,,
3:09.0,Turnover by T. Ross (traveling),,51-52,,
2:57.0,,,51-54,2,J. Holiday makes 2-pt shot from 1 ft (assist by D. Cousins)
2:46.0,Shooting foul by A. Davis (drawn by N. Vucevic),,51-54,,
2:46.0,,,51-54,,New Orleans full timeout
2:46.0,,,51-54,,J. Nelson enters the game for I. Clark
2:46.0,N. Vucevic misses free throw 1 of 2,,51-54,,
2:46.0,Offensive rebound by Team,,51-54,,
2:46.0,N. Vucevic makes free throw 2 of 2,1,52-54,,
2:34.0,,,52-54,,Shooting foul by M. Speights (drawn by A. Davis)
2:34.0,,,52-55,1,A. Davis makes free throw 1 of 2
2:34.0,,,52-56,1,A. Davis makes free throw 2 of 2
2:18.0,M. Speights misses 3-pt shot from 25 ft,,52-56,,
2:12.0,,,52-56,,Defensive rebound by D. Cousins
2:09.0,,,52-56,,J. Nelson misses 2-pt shot from 21 ft
2:05.0,Defensive rebound by D. Augustin,,52-56,,
2:05.0,,,52-56,,Personal foul by J. Nelson (drawn by D. Augustin)
2:05.0,D. Augustin makes free throw 1 of 2,1,53-56,,
2:05.0,,,53-56,,I. Clark enters the game for J. Nelson
2:05.0,D. Augustin makes free throw 2 of 2,1,54-56,,
1:51.0,,,54-56,,Turnover by I. Clark (bad pass; steal by D. Augustin)
1:42.0,D. Augustin misses 2-pt shot from 3 ft,,54-56,,
1:38.0,,,54-56,,Defensive rebound by I. Clark
1:34.0,,,54-59,3,I. Clark makes 3-pt shot from 27 ft
1:20.0,T. Ross makes 3-pt shot from 25 ft (assist by N. Vucevic),3,57-59,,
1:12.0,,,57-59,,T. Allen misses 3-pt shot from 24 ft
1:11.0,Defensive rebound by Team,,57-59,,
0:59.0,D. Augustin misses 2-pt shot from 2 ft,,57-59,,
0:54.0,,,57-59,,Defensive rebound by J. Holiday
0:51.0,,,57-59,,Turnover by J. Holiday (bad pass; steal by D. Augustin)
0:46.0,E. Fournier makes 3-pt shot from 25 ft (assist by D. Augustin),3,60-59,,
0:31.0,,,60-61,2,T. Allen makes 2-pt shot from 2 ft (assist by J. Holiday)
0:11.0,M. Speights misses 3-pt shot from 24 ft,,60-61,,
0:08.0,,,60-61,,Defensive rebound by D. Cousins
0:02.0,,,60-64,3,T. Allen makes 3-pt shot from 24 ft (assist by J. Holiday)
0:00.0,T. Ross misses 3-pt shot from 55 ft,,60-64,,
0:00.0,Offensive rebound by Team,,60-64,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,N. Vucevic makes 2-pt shot at rim (assist by E. Fournier),2,62-64,,
11:26.0,,,62-66,2,A. Davis makes 2-pt shot from 3 ft (assist by E. Moore)
11:12.0,A. Gordon makes 2-pt shot from 11 ft (assist by D. Augustin),2,64-66,,
10:59.0,,,64-66,,Turnover by A. Davis (bad pass; steal by E. Fournier)
10:51.0,A. Gordon misses 3-pt shot from 23 ft,,64-66,,
10:45.0,,,64-66,,Defensive rebound by D. Cousins
10:37.0,,,64-66,,A. Davis misses 2-pt shot from 8 ft
10:31.0,Defensive rebound by N. Vucevic,,64-66,,
10:27.0,N. Vucevic makes 3-pt shot from 25 ft (assist by D. Augustin),3,67-66,,
9:59.0,,,67-66,,Turnover by Team (shot clock)
9:44.0,Jump ball: E. Moore vs. E. Fournier (D. Cunningham gains possession),,,,Jump ball: E. Moore vs. E. Fournier (D. Cunningham gains possession)
9:44.0,Turnover by E. Fournier (turnover; steal by E. Moore),,67-66,,
9:35.0,,,67-66,,Offensive foul by D. Cousins (drawn by D. Augustin)
9:35.0,,,67-66,,Turnover by D. Cousins (offensive foul)
9:17.0,A. Gordon makes 3-pt shot from 23 ft (assist by T. Ross),3,70-66,,
9:01.0,,,70-66,,D. Cunningham misses 2-pt shot from 14 ft
8:57.0,Defensive rebound by N. Vucevic,,70-66,,
8:51.0,N. Vucevic makes 2-pt shot from 17 ft (assist by A. Gordon),2,72-66,,
8:50.0,,,72-66,,New Orleans full timeout
8:32.0,,,72-69,3,D. Cunningham makes 3-pt shot from 23 ft (assist by J. Holiday)
8:05.0,N. Vucevic misses 2-pt shot from 7 ft,,72-69,,
8:01.0,,,72-69,,Defensive rebound by A. Davis
7:59.0,Personal foul by N. Vucevic (drawn by D. Cousins),,72-69,,
7:49.0,,,72-72,3,D. Cunningham makes 3-pt shot from 23 ft (assist by D. Cousins)
7:37.0,A. Gordon makes 2-pt shot from 18 ft (assist by N. Vucevic),2,74-72,,
7:24.0,,,74-72,,D. Cousins misses 2-pt shot from 21 ft
7:21.0,Defensive rebound by E. Fournier,,74-72,,
7:15.0,Turnover by D. Augustin (bad pass; steal by J. Holiday),,74-72,,
7:10.0,,,74-74,2,E. Moore makes 2-pt shot at rim (assist by J. Holiday)
6:59.0,T. Ross misses 3-pt shot from 24 ft,,74-74,,
6:56.0,,,74-74,,Defensive rebound by A. Davis
6:45.0,,,74-76,2,J. Holiday makes 2-pt shot from 4 ft (assist by A. Davis)
6:45.0,Orlando full timeout,,74-76,,
6:25.0,E. Fournier misses 3-pt shot from 23 ft,,74-76,,
6:21.0,,,74-76,,Defensive rebound by D. Cunningham
6:12.0,,,74-76,,D. Cousins misses 3-pt shot from 24 ft
6:07.0,,,74-76,,Offensive rebound by D. Cunningham
5:51.0,,,74-76,,J. Holiday misses 3-pt shot from 25 ft
5:46.0,Defensive rebound by A. Gordon,,74-76,,
5:28.0,N. Vucevic makes 2-pt shot from 11 ft,2,76-76,,
5:13.0,,,76-76,,Offensive foul by D. Cunningham (drawn by E. Fournier)
5:13.0,,,76-76,,Turnover by D. Cunningham (offensive foul)
5:13.0,J. Simmons enters the game for T. Ross,,76-76,,
4:58.0,Turnover by A. Gordon (lost ball; steal by J. Holiday),,76-76,,
4:45.0,,,76-76,,J. Holiday misses 2-pt shot from 14 ft
4:41.0,Defensive rebound by A. Gordon,,76-76,,
4:20.0,A. Gordon misses 2-pt shot from 12 ft,,76-76,,
4:15.0,,,76-76,,Defensive rebound by D. Cousins
4:12.0,,,76-76,,D. Cunningham misses 3-pt shot from 22 ft
4:05.0,,,76-76,,Offensive rebound by A. Davis
4:05.0,,,76-76,,A. Davis misses 2-pt shot at rim
4:05.0,Defensive rebound by A. Gordon,,76-76,,
4:05.0,Offensive charge foul by A. Gordon (drawn by D. Cousins),,76-76,,
4:05.0,Turnover by A. Gordon (offensive foul),,76-76,,
4:05.0,,,76-76,,J. Nelson enters the game for E. Moore
4:05.0,S. Mack enters the game for A. Gordon,,76-76,,
4:05.0,J. Isaac enters the game for D. Augustin,,76-76,,
3:54.0,,,76-76,,D. Cousins misses 3-pt shot from 25 ft
3:50.0,Defensive rebound by E. Fournier,,76-76,,
3:40.0,N. Vucevic makes 2-pt shot from 8 ft (assist by E. Fournier),2,78-76,,
3:33.0,,,78-76,,Offensive charge foul by J. Holiday (drawn by E. Fournier)
3:33.0,,,78-76,,Turnover by J. Holiday (offensive foul)
3:29.0,,,78-76,,T. Allen enters the game for D. Cunningham
3:22.0,Turnover by E. Fournier (lost ball; steal by D. Cousins),,78-76,,
3:04.0,,,78-78,2,A. Davis makes 2-pt shot from 2 ft (assist by J. Holiday)
2:52.0,N. Vucevic makes 2-pt shot from 22 ft (assist by S. Mack),2,80-78,,
2:35.0,,,80-78,,D. Cunningham enters the game for D. Cousins
2:25.0,,,80-80,2,A. Davis makes 2-pt shot from 14 ft
2:14.0,S. Mack misses 3-pt shot from 25 ft,,80-80,,
2:10.0,,,80-80,,Defensive rebound by A. Davis
1:55.0,,,80-80,,A. Davis misses 2-pt shot from 15 ft
1:42.0,,,80-80,,Offensive rebound by T. Allen
1:41.0,,,80-82,2,T. Allen makes 2-pt shot from 2 ft
1:34.0,E. Fournier makes 2-pt shot from 19 ft,2,82-82,,
1:27.0,,,82-82,,D. Cunningham misses 2-pt shot from 1 ft
1:23.0,Defensive rebound by E. Fournier,,82-82,,
1:12.0,N. Vucevic misses 2-pt shot from 2 ft,,82-82,,
1:09.0,,,82-82,,Defensive rebound by A. Davis
1:08.0,,,82-82,,Shooting foul by J. Isaac (drawn by A. Davis)
1:08.0,,,82-82,,E. Moore enters the game for J. Holiday
1:08.0,M. Speights enters the game for N. Vucevic,,82-82,,
1:08.0,,,82-83,1,A. Davis makes free throw 1 of 2
1:08.0,,,82-83,,A. Davis misses free throw 2 of 2
1:05.0,Defensive rebound by J. Isaac,,82-83,,
0:52.0,J. Isaac makes 2-pt shot from 13 ft (assist by M. Speights),2,84-83,,
0:44.0,,,84-83,,J. Nelson misses 3-pt shot from 26 ft
0:39.0,Defensive rebound by M. Speights,,84-83,,
0:30.0,M. Speights makes 3-pt shot from 27 ft (assist by J. Simmons),3,87-83,,
0:11.0,,,87-83,,Shooting foul by E. Fournier (drawn by A. Davis)
0:11.0,,,87-83,,A. Davis misses free throw 2 of 2
0:11.0,Defensive rebound by Team,,87-83,,
0:11.0,,,87-84,1,A. Davis makes free throw 1 of 2
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,87-84,,Offensive charge foul by D. Cousins (drawn by M. Speights)
11:46.0,,,87-84,,Turnover by D. Cousins (offensive foul)
11:33.0,J. Simmons makes 2-pt shot from 1 ft,2,89-84,,
11:04.0,,,89-84,,D. Cunningham misses 3-pt shot from 23 ft
10:59.0,Defensive rebound by T. Ross,,89-84,,
10:50.0,Jump ball: D. Cousins vs. J. Isaac (J. Simmons gains possession),,,,Jump ball: D. Cousins vs. J. Isaac (J. Simmons gains possession)
10:35.0,M. Speights makes 3-pt shot from 27 ft (assist by J. Simmons),3,92-84,,
10:23.0,,,92-84,,E. Moore misses 2-pt shot from 8 ft (block by S. Mack)
10:21.0,Defensive rebound by J. Simmons,,92-84,,
10:21.0,J. Simmons makes 2-pt shot from 1 ft,2,94-84,,
10:21.0,Shooting foul by J. Nelson (drawn by J. Simmons),,94-84,,
10:21.0,,,94-84,,New Orleans full timeout
10:21.0,,,94-84,,A. Davis enters the game for D. Cunningham
10:21.0,J. Simmons makes free throw 1 of 1,1,95-84,,
9:58.0,,,95-84,,E. Moore misses 3-pt shot from 26 ft
9:52.0,Defensive rebound by M. Speights,,95-84,,
9:48.0,M. Speights makes 3-pt shot from 25 ft (assist by T. Ross),3,98-84,,
9:33.0,,,98-87,3,J. Nelson makes 3-pt shot from 24 ft (assist by E. Moore)
9:15.0,M. Speights makes 3-pt shot from 28 ft (assist by J. Isaac),3,101-87,,
8:57.0,,,101-89,2,D. Cousins makes 2-pt shot from 2 ft (assist by E. Moore)
8:38.0,,,101-89,,Personal foul by D. Cousins (drawn by J. Simmons)
8:29.0,,,101-89,,Personal foul by D. Cousins (drawn by J. Isaac)
8:19.0,M. Speights misses 3-pt shot from 25 ft,,101-89,,
8:16.0,,,101-89,,Defensive rebound by E. Moore
8:10.0,,,101-89,,Turnover by D. Cousins (lost ball; steal by J. Simmons)
8:06.0,J. Simmons makes 2-pt shot at rim (assist by T. Ross),2,103-89,,
7:53.0,,,103-89,,D. Cousins misses 3-pt shot from 22 ft
7:48.0,Defensive rebound by J. Simmons,,103-89,,
7:39.0,M. Speights misses 2-pt shot from 1 ft,,103-89,,
7:36.0,,,103-89,,Defensive rebound by E. Moore
7:33.0,,,103-89,,J. Nelson misses 3-pt shot from 24 ft
7:28.0,Defensive rebound by J. Isaac,,103-89,,
7:16.0,M. Speights makes 3-pt shot from 24 ft (assist by S. Mack),3,106-89,,
7:15.0,,,106-89,,New Orleans full timeout
7:15.0,,,106-89,,J. Holiday enters the game for T. Allen
7:02.0,,,106-91,2,A. Davis makes 2-pt shot at rim (assist by D. Cousins)
7:02.0,,,106-91,,Shooting foul by M. Speights (drawn by A. Davis)
7:02.0,,,106-92,1,A. Davis makes free throw 1 of 1
6:47.0,J. Simmons misses 2-pt shot from 2 ft,,106-92,,
6:44.0,Offensive rebound by J. Isaac,,106-92,,
6:44.0,Turnover by J. Simmons (bad pass),,106-92,,
6:35.0,,,106-92,,A. Davis misses 3-pt shot from 24 ft
6:31.0,Defensive rebound by T. Ross,,106-92,,
6:19.0,J. Isaac misses 3-pt shot from 23 ft,,106-92,,
6:15.0,,,106-92,,Defensive rebound by A. Davis
6:08.0,,,106-94,2,A. Davis makes 2-pt shot at rim (assist by J. Holiday)
6:07.0,Orlando full timeout,,106-94,,
6:07.0,N. Vucevic enters the game for J. Isaac,,106-94,,
6:07.0,E. Fournier enters the game for S. Mack,,106-94,,
5:49.0,M. Speights misses 3-pt shot from 28 ft,,106-94,,
5:45.0,,,106-94,,Defensive rebound by D. Cousins
5:43.0,,,106-94,,Turnover by J. Nelson (bad pass)
5:32.0,Turnover by J. Simmons (lost ball; steal by J. Holiday),,106-94,,
5:31.0,Personal foul by J. Simmons (drawn by J. Holiday),,106-94,,
5:26.0,,,106-94,,Turnover by J. Nelson (bad pass; steal by T. Ross)
5:19.0,T. Ross makes 2-pt shot at rim,2,108-94,,
5:02.0,,,108-94,,E. Moore misses 3-pt shot from 25 ft
4:58.0,Defensive rebound by M. Speights,,108-94,,
4:49.0,J. Simmons makes 3-pt shot from 25 ft (assist by E. Fournier),3,111-94,,
4:36.0,Personal foul by J. Simmons (drawn by D. Cousins),,111-94,,
4:25.0,,,111-94,,D. Cousins misses 3-pt shot from 25 ft
4:21.0,Defensive rebound by N. Vucevic,,111-94,,
4:06.0,Turnover by E. Fournier (lost ball; steal by D. Cousins),,111-94,,
4:03.0,Personal foul by N. Vucevic (drawn by D. Cousins),,111-94,,
3:55.0,,,111-94,,E. Moore misses 2-pt shot from 11 ft
3:51.0,Defensive rebound by T. Ross,,111-94,,
3:35.0,J. Simmons misses 2-pt shot from 4 ft,,111-94,,
3:32.0,,,111-94,,Defensive rebound by D. Cousins
3:29.0,,,111-94,,J. Nelson misses 3-pt shot from 24 ft
3:20.0,Defensive rebound by N. Vucevic,,111-94,,
3:10.0,E. Fournier misses 3-pt shot from 26 ft,,111-94,,
3:05.0,Offensive rebound by T. Ross,,111-94,,
2:52.0,J. Simmons misses 3-pt shot from 25 ft,,111-94,,
