time,LA Lakers,pts.away,score,pts.home,New Orleans
11:49.0,,,44-40,,A. Davis misses 3-pt shot from 23 ft
11:45.0,Defensive rebound by L. Ball,,44-40,,
11:40.0,L. Ball misses 3-pt shot from 26 ft,,44-40,,
11:35.0,,,44-40,,Defensive rebound by D. Miller
11:30.0,,,44-42,2,D. Miller makes 2-pt shot from 16 ft
11:16.0,T. Wear makes 3-pt shot from 24 ft (assist by L. Ball),3,47-42,,
11:04.0,,,47-44,2,I. Clark makes 2-pt shot from 9 ft
10:51.0,Turnover by I. Thomas (lost ball; steal by I. Clark),,47-44,,
10:46.0,,,47-44,,D. Miller misses 3-pt shot from 27 ft
10:42.0,Defensive rebound by T. Wear,,47-44,,
10:38.0,I. Thomas misses 3-pt shot from 28 ft,,47-44,,
10:35.0,,,47-44,,Defensive rebound by C. Diallo
10:23.0,,,47-47,3,I. Clark makes 3-pt shot from 30 ft (assist by D. Miller)
10:02.0,K. Kuzma misses 2-pt shot from 7 ft,,47-47,,
9:59.0,,,47-47,,Defensive rebound by C. Diallo
9:58.0,Personal foul by L. Ball (drawn by I. Clark),,47-47,,
9:41.0,,,47-49,2,A. Davis makes 2-pt shot from 2 ft (assist by D. Miller)
9:22.0,I. Thomas misses 3-pt shot from 26 ft,,47-49,,
9:19.0,,,47-49,,Defensive rebound by D. Liggins
9:12.0,,,47-52,3,D. Miller makes 3-pt shot from 26 ft (assist by I. Clark)
9:11.0,LA Lakers full timeout,,47-52,,
9:11.0,K. Caldwell-Pope enters the game for T. Wear,,47-52,,
9:11.0,J. Randle enters the game for I. Zubac,,47-52,,
8:58.0,L. Ball misses 2-pt shot from 6 ft (block by A. Davis),,47-52,,
8:53.0,,,47-52,,Defensive rebound by D. Liggins
8:53.0,,,47-52,,Turnover by D. Liggins (bad pass)
8:45.0,J. Randle makes 2-pt shot from 7 ft (assist by K. Kuzma),2,49-52,,
8:27.0,,,49-54,2,A. Davis makes 2-pt shot from 10 ft (assist by D. Miller)
8:14.0,K. Kuzma makes 3-pt shot from 27 ft (assist by J. Randle),3,52-54,,
7:54.0,,,52-54,,I. Clark misses 2-pt shot from 20 ft
7:51.0,Defensive rebound by I. Thomas,,52-54,,
7:47.0,I. Thomas makes 2-pt shot from 3 ft,2,54-54,,
7:23.0,,,54-54,,I. Clark misses 2-pt shot from 6 ft
7:20.0,Defensive rebound by J. Randle,,54-54,,
7:13.0,Shooting foul by A. Davis (drawn by J. Randle),,54-54,,
7:13.0,J. Randle misses free throw 1 of 2,,54-54,,
7:13.0,Offensive rebound by Team,,54-54,,
7:13.0,,,54-54,,E. Moore enters the game for I. Clark
7:13.0,,,54-54,,R. Rondo enters the game for C. Diallo
7:13.0,,,54-54,,S. Hill enters the game for D. Liggins
7:13.0,J. Randle makes free throw 2 of 2,1,55-54,,
7:10.0,Personal foul by J. Randle (drawn by A. Davis),,55-54,,
7:08.0,,,55-56,2,A. Davis makes 2-pt shot from 4 ft (assist by R. Rondo)
7:00.0,Shooting foul by R. Rondo (drawn by K. Kuzma),,55-56,,
7:00.0,K. Kuzma makes free throw 1 of 2,1,56-56,,
7:00.0,K. Kuzma makes free throw 2 of 2,1,57-56,,
6:57.0,,,57-56,,Shooting foul by J. Randle (drawn by A. Davis)
6:57.0,,,57-57,1,A. Davis makes free throw 1 of 2
6:57.0,,,57-58,1,A. Davis makes free throw 2 of 2
6:50.0,L. Ball misses 3-pt shot from 27 ft,,57-58,,
6:46.0,,,57-58,,Defensive rebound by A. Davis
6:32.0,,,57-58,,D. Miller misses 3-pt shot from 27 ft
6:29.0,Defensive rebound by L. Ball,,57-58,,
6:24.0,I. Thomas misses 2-pt shot from 6 ft,,57-58,,
6:24.0,Offensive rebound by J. Randle,,57-58,,
6:24.0,Shooting foul by S. Hill (drawn by J. Randle),,57-58,,
6:24.0,J. Randle makes free throw 1 of 2,1,58-58,,
6:24.0,,,58-58,,J. Holiday enters the game for D. Miller
6:24.0,J. Randle makes free throw 2 of 2,1,59-58,,
6:18.0,,,59-60,2,J. Holiday makes 2-pt shot from 14 ft
5:57.0,K. Kuzma makes 3-pt shot from 27 ft (assist by I. Thomas),3,62-60,,
5:48.0,,,62-62,2,E. Moore makes 2-pt shot from 5 ft
5:32.0,L. Ball makes 2-pt shot from 13 ft,2,64-62,,
5:21.0,,,64-62,,Offensive charge foul by R. Rondo (drawn by I. Thomas)
5:21.0,,,64-62,,Turnover by R. Rondo (offensive foul)
5:21.0,,,64-62,,N. Mirotic enters the game for A. Davis
5:09.0,I. Thomas makes 2-pt shot from 7 ft,2,66-62,,
4:49.0,,,66-62,,E. Moore misses 2-pt shot from 7 ft
4:47.0,,,66-62,,Offensive rebound by N. Mirotic
4:43.0,,,66-64,2,J. Holiday makes 2-pt shot from 7 ft (assist by R. Rondo)
4:31.0,Turnover by I. Thomas (bad pass; steal by R. Rondo),,66-64,,
4:24.0,,,66-64,,J. Holiday misses 3-pt shot from 28 ft
4:20.0,Defensive rebound by L. Ball,,66-64,,
4:19.0,,,66-64,,Personal foul by J. Holiday (drawn by K. Kuzma)
4:19.0,B. Lopez enters the game for J. Randle,,66-64,,
4:16.0,Shooting foul by S. Hill (drawn by K. Kuzma),,66-64,,
4:16.0,K. Kuzma makes free throw 1 of 3,1,67-64,,
4:16.0,K. Kuzma misses free throw 2 of 3,,67-64,,
4:16.0,Offensive rebound by Team,,67-64,,
4:16.0,K. Kuzma makes free throw 3 of 3,1,68-64,,
3:57.0,,,68-64,,R. Rondo misses 2-pt shot from 7 ft
3:55.0,Defensive rebound by K. Kuzma,,68-64,,
3:46.0,Turnover by L. Ball (bad pass; steal by N. Mirotic),,68-64,,
3:39.0,,,68-67,3,S. Hill makes 3-pt shot from 27 ft (assist by R. Rondo)
3:09.0,Turnover by I. Thomas (out of bounds lost ball),,68-67,,
2:55.0,,,68-69,2,R. Rondo makes 2-pt shot from 4 ft
2:49.0,Technical foul by I. Thomas,,68-69,,
2:49.0,,,68-69,,New Orleans full timeout
2:49.0,J. Randle enters the game for I. Thomas,,68-69,,
2:49.0,,,68-69,,J. Holiday misses technical free throw
2:49.0,Defensive rebound by Team,,68-69,,
2:38.0,Shooting foul by N. Mirotic (drawn by B. Lopez),,68-69,,
2:38.0,B. Lopez misses free throw 1 of 2,,68-69,,
2:38.0,Offensive rebound by Team,,68-69,,
2:38.0,,,68-69,,A. Davis enters the game for J. Holiday
2:38.0,B. Lopez makes free throw 2 of 2,1,69-69,,
2:26.0,,,69-71,2,A. Davis makes 2-pt shot from 3 ft (assist by E. Moore)
2:15.0,Offensive foul by J. Randle (drawn by S. Hill),,69-71,,
2:15.0,Turnover by J. Randle (offensive foul),,69-71,,
2:15.0,T. Wear enters the game for J. Randle,,69-71,,
2:03.0,Personal foul by L. Ball (drawn by N. Mirotic),,69-71,,
1:54.0,,,69-71,,N. Mirotic misses 2-pt shot from 7 ft
1:51.0,Defensive rebound by K. Kuzma,,69-71,,
1:39.0,B. Lopez makes 2-pt shot from 2 ft,2,71-71,,
1:17.0,,,71-71,,S. Hill misses 3-pt shot from 22 ft
1:12.0,Defensive rebound by L. Ball,,71-71,,
1:10.0,K. Caldwell-Pope misses 3-pt shot from 24 ft,,71-71,,
1:10.0,Offensive rebound by L. Ball,,71-71,,
1:01.0,B. Lopez makes 2-pt shot from 6 ft (assist by K. Kuzma),2,73-71,,
0:49.0,,,73-71,,N. Mirotic misses 2-pt shot from 13 ft
0:47.0,Defensive rebound by K. Caldwell-Pope,,73-71,,
0:30.0,B. Lopez misses 3-pt shot from 26 ft,,73-71,,
0:27.0,,,73-71,,Defensive rebound by N. Mirotic
0:13.0,,,73-71,,Turnover by R. Rondo (bad pass)
0:13.0,I. Thomas enters the game for L. Ball,,73-71,,
0:00.0,Turnover by T. Wear (bad pass; steal by N. Mirotic),,73-71,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,,,73-71,,Shooting foul by B. Lopez (drawn by A. Davis)
11:41.0,,,73-72,1,A. Davis makes free throw 1 of 2
11:41.0,,,73-73,1,A. Davis makes free throw 2 of 2
11:17.0,B. Lopez makes 2-pt shot from 5 ft,2,75-73,,
11:07.0,,,75-75,2,E. Moore makes 2-pt shot from 3 ft
10:49.0,K. Kuzma misses 2-pt shot from 15 ft,,75-75,,
10:46.0,,,75-75,,Defensive rebound by A. Davis
10:38.0,,,75-75,,E. Okafor misses 2-pt shot from 4 ft (block by L. Ball)
10:34.0,,,75-75,,Offensive rebound by E. Okafor
10:24.0,,,75-75,,R. Rondo misses 3-pt shot from 24 ft
10:20.0,Defensive rebound by B. Lopez,,75-75,,
10:16.0,J. Randle misses 2-pt shot from 5 ft,,75-75,,
10:14.0,,,75-75,,Defensive rebound by A. Davis
10:05.0,,,75-75,,A. Davis misses 2-pt shot from 20 ft
10:00.0,,,75-75,,Offensive rebound by E. Okafor
9:59.0,,,75-78,3,J. Holiday makes 3-pt shot from 27 ft (assist by E. Okafor)
9:47.0,B. Lopez makes 2-pt shot from 5 ft,2,77-78,,
9:47.0,Shooting foul by R. Rondo (drawn by B. Lopez),,77-78,,
9:47.0,B. Lopez makes free throw 1 of 1,1,78-78,,
9:38.0,Turnover by L. Ball (lost ball; steal by E. Okafor),,78-78,,
9:34.0,,,78-78,,Shooting foul by K. Caldwell-Pope (drawn by A. Davis)
9:34.0,,,78-79,1,A. Davis makes free throw 1 of 2
9:34.0,,,78-80,1,A. Davis makes free throw 2 of 2
9:16.0,Turnover by B. Lopez (bad pass; steal by R. Rondo),,78-80,,
9:08.0,,,78-82,2,J. Holiday makes 2-pt shot from 5 ft
8:45.0,B. Lopez misses 2-pt shot from 2 ft,,78-82,,
8:45.0,Offensive rebound by B. Lopez,,78-82,,
8:45.0,B. Lopez misses 2-pt shot from 2 ft,,78-82,,
8:42.0,,,78-82,,Defensive rebound by J. Holiday
8:34.0,,,78-82,,Turnover by R. Rondo (bad pass; steal by K. Kuzma)
8:29.0,Shooting foul by A. Davis (drawn by B. Lopez),,78-82,,
8:29.0,B. Lopez makes free throw 1 of 2,1,79-82,,
8:29.0,B. Lopez makes free throw 2 of 2,1,80-82,,
8:19.0,,,80-84,2,A. Davis makes 2-pt shot from 6 ft
8:08.0,Shooting foul by A. Davis (drawn by J. Randle),,80-84,,
8:08.0,J. Randle misses free throw 1 of 2,,80-84,,
8:08.0,Offensive rebound by Team,,80-84,,
8:08.0,J. Randle misses free throw 2 of 2,,80-84,,
8:04.0,Offensive rebound by J. Randle,,80-84,,
8:03.0,J. Randle misses 2-pt shot from 3 ft (block by E. Okafor),,80-84,,
8:00.0,,,80-84,,Defensive rebound by R. Rondo
7:59.0,,,80-86,2,R. Rondo makes 2-pt shot from 2 ft
7:47.0,K. Caldwell-Pope makes 2-pt shot from 17 ft,2,82-86,,
7:29.0,,,82-86,,A. Davis misses 3-pt shot from 26 ft
7:27.0,Defensive rebound by L. Ball,,82-86,,
7:24.0,K. Caldwell-Pope makes 3-pt shot from 28 ft (assist by L. Ball),3,85-86,,
7:14.0,,,85-86,,E. Moore misses 3-pt shot from 23 ft
7:14.0,Defensive rebound by Team,,85-86,,
7:12.0,Jump ball: A. Davis vs. B. Lopez (L. Ball gains possession),,,,Jump ball: A. Davis vs. B. Lopez (L. Ball gains possession)
7:01.0,,,85-86,,Personal foul by E. Okafor (drawn by J. Randle)
6:56.0,K. Kuzma makes 3-pt shot from 27 ft (assist by L. Ball),3,88-86,,
6:41.0,,,88-88,2,A. Davis makes 2-pt shot from 4 ft (assist by J. Holiday)
6:25.0,J. Randle makes 2-pt shot from 7 ft,2,90-88,,
6:04.0,,,90-88,,A. Davis misses 2-pt shot from 19 ft
6:04.0,Defensive rebound by Team,,90-88,,
6:04.0,,,90-88,,Personal foul by E. Okafor (drawn by K. Caldwell-Pope)
6:04.0,K. Caldwell-Pope makes free throw 1 of 2,1,91-88,,
6:04.0,K. Caldwell-Pope makes free throw 2 of 2,1,92-88,,
6:04.0,,,92-88,,New Orleans full timeout
6:04.0,,,92-88,,D. Miller enters the game for R. Rondo
6:04.0,,,92-88,,I. Clark enters the game for E. Moore
5:51.0,,,92-88,,I. Clark misses 2-pt shot from 17 ft
5:47.0,Defensive rebound by J. Randle,,92-88,,
5:37.0,J. Randle misses 2-pt shot from 8 ft,,92-88,,
5:33.0,,,92-88,,Defensive rebound by A. Davis
5:24.0,,,92-90,2,A. Davis makes 2-pt shot from 16 ft (assist by D. Miller)
5:00.0,L. Ball misses 3-pt shot from 26 ft,,92-90,,
5:00.0,Offensive rebound by B. Lopez,,92-90,,
4:49.0,K. Kuzma makes 3-pt shot from 22 ft (assist by B. Lopez),3,95-90,,
4:31.0,,,95-90,,J. Holiday misses 2-pt shot from 8 ft
4:28.0,Defensive rebound by J. Randle,,95-90,,
4:25.0,,,95-90,,Personal foul by J. Holiday (drawn by K. Kuzma)
4:25.0,K. Kuzma makes free throw 1 of 2,1,96-90,,
4:25.0,,,96-90,,N. Mirotic enters the game for E. Okafor
4:25.0,I. Thomas enters the game for L. Ball,,96-90,,
4:25.0,K. Kuzma makes free throw 2 of 2,1,97-90,,
4:13.0,,,97-92,2,J. Holiday makes 2-pt shot from 4 ft
3:56.0,J. Randle makes 2-pt shot from 3 ft,2,99-92,,
3:48.0,,,99-92,,Shooting foul by K. Caldwell-Pope (drawn by J. Holiday)
3:48.0,,,99-92,,J. Holiday misses free throw 1 of 2
3:48.0,,,99-92,,Offensive rebound by Team
3:48.0,,,99-93,1,J. Holiday makes free throw 2 of 2
3:35.0,B. Lopez makes 2-pt shot from 4 ft,2,101-93,,
3:16.0,,,101-95,2,I. Clark makes 2-pt shot from 9 ft (assist by J. Holiday)
2:54.0,K. Kuzma misses 2-pt shot from 17 ft,,101-95,,
2:50.0,,,101-95,,Defensive rebound by A. Davis
2:40.0,,,101-97,2,J. Holiday makes 2-pt shot from 7 ft
2:37.0,LA Lakers full timeout,,101-97,,
2:37.0,,,101-97,,E. Okafor enters the game for A. Davis
2:37.0,L. Ball enters the game for K. Kuzma,,101-97,,
2:22.0,L. Ball misses 3-pt shot from 26 ft,,101-97,,
2:16.0,,,101-97,,Defensive rebound by J. Holiday
2:12.0,,,101-97,,N. Mirotic misses 3-pt shot from 25 ft
2:09.0,Defensive rebound by L. Ball,,101-97,,
2:05.0,B. Lopez makes 2-pt shot from 1 ft (assist by L. Ball),2,103-97,,
1:47.0,,,103-97,,Turnover by E. Okafor (out of bounds lost ball)
1:47.0,T. Wear enters the game for J. Randle,,103-97,,
1:32.0,T. Wear misses 3-pt shot from 26 ft,,103-97,,
1:26.0,,,103-97,,Defensive rebound by E. Okafor
1:22.0,Personal foul by L. Ball (drawn by E. Okafor),,103-97,,
1:17.0,,,103-97,,N. Mirotic misses 2-pt shot from 4 ft
1:11.0,Defensive rebound by B. Lopez,,103-97,,
1:10.0,K. Caldwell-Pope makes 3-pt shot from 25 ft (assist by T. Wear),3,106-97,,
0:50.0,,,106-97,,D. Miller misses 3-pt shot from 28 ft
0:48.0,Defensive rebound by L. Ball,,106-97,,
0:44.0,I. Thomas misses 3-pt shot from 29 ft,,106-97,,
0:40.0,,,106-97,,Defensive rebound by N. Mirotic
0:34.0,,,106-97,,N. Mirotic misses 3-pt shot from 26 ft
0:31.0,Defensive rebound by L. Ball,,106-97,,
0:24.0,I. Thomas makes 2-pt shot from 15 ft,2,108-97,,
0:04.0,,,108-97,,N. Mirotic misses 2-pt shot from 11 ft
0:03.0,Defensive rebound by L. Ball,,108-97,,
0:01.0,K. Caldwell-Pope misses 3-pt shot from 28 ft,,108-97,,
0:01.0,Offensive rebound by Team,,108-97,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,Turnover by L. Ball (bad pass; steal by A. Davis),,108-97,,
11:39.0,,,108-99,2,R. Rondo makes 2-pt shot from 4 ft
11:39.0,Personal foul by T. Wear (drawn by R. Rondo),,108-99,,
11:39.0,,,108-100,1,R. Rondo makes free throw 1 of 1
11:23.0,K. Kuzma misses 3-pt shot from 28 ft,,108-100,,
11:20.0,,,108-100,,Defensive rebound by Team
11:03.0,,,108-102,2,A. Davis makes 2-pt shot from 5 ft (assist by D. Miller)
11:03.0,LA Lakers full timeout,,108-102,,
10:48.0,T. Wear misses 2-pt shot from 11 ft,,108-102,,
10:45.0,,,108-102,,Defensive rebound by A. Davis
10:39.0,,,108-104,2,R. Rondo makes 2-pt shot from 6 ft
10:26.0,L. Ball misses 3-pt shot from 27 ft,,108-104,,
10:21.0,,,108-104,,Defensive rebound by I. Clark
10:15.0,,,108-104,,Shooting foul by T. Wear (drawn by C. Diallo)
10:15.0,,,108-105,1,C. Diallo makes free throw 1 of 2
10:15.0,J. Randle enters the game for B. Lopez,,108-105,,
10:15.0,,,108-106,1,C. Diallo makes free throw 2 of 2
9:56.0,I. Thomas makes 3-pt shot from 26 ft,3,111-106,,
9:41.0,,,111-106,,E. Moore enters the game for D. Miller
9:41.0,K. Caldwell-Pope enters the game for T. Wear,,111-106,,
9:38.0,,,111-108,2,E. Moore makes 2-pt shot from 7 ft (assist by R. Rondo)
9:25.0,Turnover by J. Randle (bad pass; steal by A. Davis),,111-108,,
9:19.0,,,111-108,,A. Davis misses 2-pt shot from 7 ft
9:16.0,Defensive rebound by J. Randle,,111-108,,
9:10.0,K. Caldwell-Pope makes 3-pt shot from 26 ft (assist by L. Ball),3,114-108,,
8:51.0,,,114-110,2,R. Rondo makes 2-pt shot from 8 ft
8:36.0,J. Randle makes 2-pt shot from 3 ft,2,116-110,,
8:24.0,,,116-110,,R. Rondo misses 2-pt shot from 7 ft
8:22.0,Defensive rebound by K. Kuzma,,116-110,,
8:07.0,Turnover by I. Thomas (bad pass; steal by I. Clark),,116-110,,
8:02.0,,,116-113,3,E. Moore makes 3-pt shot from 25 ft (assist by R. Rondo)
7:45.0,I. Thomas misses 2-pt shot from 14 ft,,116-113,,
7:41.0,,,116-113,,Defensive rebound by C. Diallo
7:34.0,,,116-115,2,A. Davis makes 2-pt shot from 2 ft (assist by R. Rondo)
7:34.0,LA Lakers full timeout,,116-115,,
7:24.0,K. Kuzma misses 3-pt shot from 29 ft,,116-115,,
7:21.0,,,116-115,,Defensive rebound by A. Davis
7:04.0,,,116-115,,R. Rondo misses 2-pt shot from 12 ft
7:00.0,Defensive rebound by L. Ball,,116-115,,
6:54.0,Shooting foul by C. Diallo (drawn by J. Randle),,116-115,,
6:54.0,J. Randle makes free throw 1 of 2,1,117-115,,
6:54.0,J. Randle makes free throw 2 of 2,1,118-115,,
6:33.0,,,118-115,,I. Clark misses 3-pt shot from 28 ft
6:31.0,Defensive rebound by J. Randle,,118-115,,
6:24.0,K. Caldwell-Pope misses 3-pt shot from 28 ft,,118-115,,
6:21.0,,,118-115,,Defensive rebound by A. Davis
6:07.0,,,118-115,,A. Davis misses 2-pt shot from 12 ft
6:04.0,,,118-115,,Offensive rebound by C. Diallo
6:01.0,,,118-115,,E. Moore misses 3-pt shot from 24 ft
5:58.0,Defensive rebound by L. Ball,,118-115,,
5:48.0,J. Randle misses 2-pt shot from 3 ft,,118-115,,
5:46.0,,,118-115,,Defensive rebound by Team
5:46.0,,,118-115,,J. Holiday enters the game for I. Clark
5:32.0,,,118-117,2,A. Davis makes 2-pt shot from 3 ft (assist by R. Rondo)
